402.street,Ogden tS,Ogden St
384.locationvalue,"(418.30382, -87.67602)","(41.830382, -87.67602)"
560.street,Harrisona St,Harrison St
451.dateofcount,08/16/2060,08/16/2006
872.locationvalue,"(41.86852, -87.65679)","(41.86852, -87.656729)"
235.vehiclevolumebyeachdirectionoftraffic,ast Bound: 9100 / West Bound: 9000,East Bound: 9100 / West Bound: 9000
725.street,Wentowrth Ave,Wentworth Ave
230.vehiclevolumebyeachdirectionoftraffic,East Bound: 5900j / West Bound: 5800,East Bound: 5900 / West Bound: 5800
793.locationvalue,"(41.94542, -87.607689)","(41.794542, -87.607689)"
1164.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Bound: 8000***,North Bound: 7500 / South Bound: 8000
241.locationvalue,"(41.865062, -87.617934)","(41.860562, -87.617934)"
139.dateofcount,08i/22/2006,08/22/2006
46.trafficvolumecountlocationaddress,2816 Esat,2816 East
457.locationvalue,"41.934004, -87.663612)","(41.934004, -87.663612)"
1072.street,Addison ve,Addison Ave
1065.trafficvolumecountlocationaddress,44s45 North,4445 North
416.street,HomanAve,Homan Ave
622.dateofcount,10/23/200b6,10/23/2006
1104.locationvalue,"(41.80549, -87.642619)","(41.880549, -87.642619)"
317.locationvalue,"(42.00351, -87.66081)6","(42.00351, -87.660816)"
101.dateofcount,09f/19/2006,09/19/2006
343.vehiclevolumebyeachdirectionoftraffic,North Bound: 13100 / Suoth Bound: 13000,North Bound: 13100 / South Bound: 13000
1236.dateofcount,10/03/2060,10/03/2006
806.trafficvolumecountlocationaddress,2439 Wnest,2439 West
882.locationvalue,"(41.740553, -8n7.58573)","(41.740553, -87.58573)"
1061.dateofcount,10/25/2060,10/25/2006
273.vehiclevolumebyeachdirectionoftraffic,East Bound: 400 / West Bound: 5600,East Bound: 5400 / West Bound: 5600
810.locationvalue,"(41.982088,s -87.813919)","(41.982088, -87.813919)"
630.street,Va Buren St,Van Buren St
652.dateofcount,11/07/2p006,11/07/2006
753.vehiclevolumebyeachdirectionoftraffic,Nortwh Bound: 3400 / South Bound: 4100,North Bound: 3400 / South Bound: 4100
909.street,Cottage Gurove Ave,Cottage Grove Ave
275.dateofcount,08/10/2060,08/10/2006
814.dateofcount,10/02/206,10/02/2006
1065.locationvalue,"(41.92267, -87.727863)","(41.962267, -87.727863)"
693.dateofcount,1/14/2006,11/14/2006
451.vehiclevolumebyeachdirectionoftraffic,North Bond: 8300 / South Bound: 8000,North Bound: 8300 / South Bound: 8000
401.dateofcount,11/01/2060,11/01/2006
954.vehiclevolumebyeachdirectionoftraffic,Eas Bound: 9600 / West Bound: 9700,East Bound: 9600 / West Bound: 9700
320.locationvalue,"(41.737064, -78.575072)","(41.737064, -87.575072)"
618.dateofcount,10/19/2060,10/19/2006
982.locationvalue,"(41.870987, -87.606532)","(41.807987, -87.606532)"
786.street,Wells t,Wells St
759.locationvalue,"(41.878768, -87.72x5604)","(41.878768, -87.725604)"
326.street,Oden Ave,Ogden Ave
616.street,Balbo nAve,Balbo Ave
1132.locationvalue,"(418.25982, -87.617039)","(41.825982, -87.617039)"
216.street,Higgins vAe,Higgins Ave
162.trafficvolumecountlocationaddress,2w228 North,2228 North
71.locationvalue,"(j41.802072, -87.618178)","(41.802072, -87.618178)"
374.vehiclevolumebyeachdirectionoftraffic,North Bound: 8000 /z South Bound: 6800,North Bound: 8000 / South Bound: 6800
229.street,Centrtal Ave,Central Ave
216.dateofcount,08/22/0206,08/22/2006
682.trafficvolumecountlocationaddress,2455 Suoth,2455 South
325.trafficvolumecountlocationaddress,22 West,223 West
65.dateofcount,09/26/2006***,09/26/2006
309.trafficvolumecountlocationaddress,3935 Wlest,3935 West
1176.dateofcount,09/0/12006,09/01/2006
1204.street,Pulsaki Rd,Pulaski Rd
336.trafficvolumecountlocationaddress,8602 South,8620 South
551.vehiclevolumebyeachdirectionoftraffic,East Bound: 12200 / West Bound: 118o00,East Bound: 12200 / West Bound: 11800
1202.street,LakeSt,Lake St
783.locationvalue,"(41.955447, -87.72766)","(41.955447, -87.727666)"
1209.vehiclevolumebyeachdirectionoftraffic,West Bound: 11500/ Oneway Wset Bound,West Bound: 11500/ Oneway West Bound
263.trafficvolumecountlocationaddress,276d1 North,2761 North
1182.trafficvolumecountlocationaddress,38m15 West,3815 West
712.vehiclevolumebyeachdirectionoftraffic,East Boun: 8000 / West Bound: 8400,East Bound: 8000 / West Bound: 8400
780.dateofcount,1/016/2006,10/16/2006
66.street,71ts St,71st St
667.dateofcount,0/18/2006,10/18/2006
405.trafficvolumecountlocationaddress,505 Eat,505 East
590.dateofcount,092/0/2006,09/20/2006
802.trafficvolumecountlocationaddress,811 South,8121 South
1275.locationvalue,"(41.831081, -87.619334h)","(41.831081, -87.619334)"
1123.vehiclevolumebyeachdirectionoftraffic,North Bound: 3900 / Sout hBound: 4400,North Bound: 3900 / South Bound: 4400
1058.trafficvolumecountlocationaddress,1344 Wset,1344 West
801.vehiclevolumebyeachdirectionoftraffic,East Bound: 9900 / WestBound: 10600,East Bound: 9900 / West Bound: 10600
1090.street,Wellys St,Wells St
324.vehiclevolumebyeachdirectionoftraffic,East Bound: 4600 / West Bounld: 6200,East Bound: 4600 / West Bound: 6200
1169.trafficvolumecountlocationaddress,907 Enast,907 East
283.locationvalue,"(41.801293, -87e.667538)","(41.801293, -87.667538)"
817.vehiclevolumebyeachdirectionoftraffic,East Bound: 23400 / WestB ound: 23900,East Bound: 23400 / West Bound: 23900
39.locationvalue,"(41.q892388, -87.634088)","(41.892388, -87.634088)"
1157.locationvalue,"(41.765644, -7.618476)","(41.765644, -87.618476)"
774.vehiclevolumebyeachdirectionoftraffic,North Bound: 8100 / SouthBound: 7900,North Bound: 8100 / South Bound: 7900
992.street,Fullergton Ave,Fullerton Ave
918.locationvalue,"(41.946768, -87.857)","(41.946768, -87.6857)"
193.locationvalue,"(41.861478, 8-7.630255)","(41.861478, -87.630255)"
593.locationvalue,"(41.940877, -87.64994)","(41.940877, -87.649294)"
922.street,Des Plaines tS,Des Plaines St
647.locationvalue,"(41.896495, -87.77519)1","(41.896495, -87.775191)"
1269.dateofcount,10/04/l2006,10/04/2006
46.locationvalue,"(41.722709, -87.55587j)","(41.722709, -87.55587)"
356.street,Damen Aev,Damen Ave
158.vehiclevolumebyeachdirectionoftraffic,North Bound: 1490b0 / South Bound: 14600,North Bound: 14900 / South Bound: 14600
726.street,Kedie Ave,Kedzie Ave
165.locationvalue,"(41.876698, -87.63074)2","(41.876698, -87.630742)"
557.locationvalue,"(41.981601, -87.836581)","(41.986101, -87.836581)"
1171.dateofcount,10/16/0206,10/16/2006
1113.trafficvolumecountlocationaddress,174 East,1744 East
558.locationvalue,"(41.773201, -87.65919)1","(41.773201, -87.659191)"
1150.locationvalue,"41.80897, -87.694224)","(41.80897, -87.694224)"
1081.vehiclevolumebyeachdirectionoftraffic,North Bound: 18500/  South Bound: 18100,North Bound: 18500 / South Bound: 18100
487.street,lybourn Ave,Clybourn Ave
453.street,Lake Park Avte,Lake Park Ave
715.dateofcount,08/29/2r006,08/29/2006
878.trafficvolumecountlocationaddress,328 North,3228 North
59.locationvalue,"(41.753737, -87.653813)","(41.753377, -87.653813)"
550.locationvalue,"(41.765153, -87.674751)","(41.765153, -87.647751)"
6.street,Lak St,Lake St
348.locationvalue,"(41.8g86935, -87.631008)","(41.886935, -87.631008)"
42.vehiclevolumebyeachdirectionoftraffic,North Bound: 12800 / oSuth Bound: 13500,North Bound: 12800 / South Bound: 13500
366.dateofcount,0/28/2006,09/28/2006
227.vehiclevolumebyeachdirectionoftraffic,North Bound: 15400 / oSuth Bound: 16700,North Bound: 15400 / South Bound: 16700
123.street,ColumbusD r,Columbus Dr
1165.trafficvolumecountlocationaddress,120 Etast,120 East
242.vehiclevolumebyeachdirectionoftraffic,North Bound: 11600 / South ound: 10100,North Bound: 11600 / South Bound: 10100
173.dateofcount,09/19x/2006,09/19/2006
645.trafficvolumecountlocationaddress,211 sSouth,211 South
845.vehiclevolumebyeachdirectionoftraffic,North Bound: 530 0/ South Bound: 3600,North Bound: 5300 / South Bound: 3600
451.trafficvolumecountlocationaddress,1508 oNrth,1508 North
996.locationvalue,"(41.94035y6, -87.707649)","(41.940356, -87.707649)"
369.locationvalue,"(1.884893, -87.629469)","(41.884893, -87.629469)"
49.vehiclevolumebyeachdirectionoftraffic,East Bound: 5300  /West Bound: 3700,East Bound: 5300 / West Bound: 3700
783.dateofcount,09/18/20j06,09/18/2006
831.vehiclevolumebyeachdirectionoftraffic,South Bound: 11500/ neway South Bound,South Bound: 11500/ Oneway South Bound
632.street,Chlark St,Clark St
1248.street,Washingto St,Washington St
1022.street,Aams St,Adams St
340.dateofcount,10/16/2b006,10/16/2006
567.trafficvolumecountlocationaddress,200 West,2700 West
975.vehiclevolumebyeachdirectionoftraffic,North Bound: 7500 / South Boun:d 7000,North Bound: 7500 / South Bound: 7000
949.locationvalue,"(41931822, -87.648979)","(41.931822, -87.648979)"
1063.locationvalue,"(41.850595, -87.632745)","(41.850595, -87.623745)"
464.locationvalue,"(41.87890i8, -87.644032)","(41.878908, -87.644032)"
116.street,Iving Park Rd,Irving Park Rd
1021.locationvalue,"(41.78592, -87.68h3819)","(41.78592, -87.683819)"
70.trafficvolumecountlocationaddress,5420S outh,5420 South
340.vehiclevolumebyeachdirectionoftraffic,East Bound: 10400 / West Bund: 10500,East Bound: 10400 / West Bound: 10500
910.locationvalue,"(4.1873424, -87.627576)","(41.873424, -87.627576)"
920.locationvalue,"(41.809005, -7.637985)","(41.809005, -87.637985)"
740.trafficvolumecountlocationaddress,65 East,650 East
604.dateofcount,100/4/2006,10/04/2006
1023.street,NorthwestH wy,Northwest Hwy
483.dateofcount,1/18/2006,10/18/2006
35.locationvalue,"(41.851858, -87.666235)","(41.815858, -87.666235)"
738.locationvalue,"(418.29513, -87.646078)","(41.829513, -87.646078)"
978.trafficvolumecountlocationaddress,7531 Soueth,7531 South
847.street,Dr Martin Lutjher King Jr Dr,Dr Martin Luther King Jr Dr
268.street,Harrsion St,Harrison St
181.locationvalue,"(41.794916, -78.703597)","(41.794916, -87.703597)"
443.trafficvolumecountlocationaddress,t4401 South,4401 South
920.trafficvolumecountlocationaddress,4u52 West,452 West
1156.trafficvolumecountlocationaddress,108 East,1048 East
376.street,83qrd Street,83rd Street
395.street,Belmnt Ave,Belmont Ave
177.locationvalue,"(41.788356, -87.618837)","(41.878356, -87.618837)"
223.locationvalue,"(41.881836, -87.64208)","(41.881836, -87.642708)"
716.dateofcount,03/082006,03/08/2006
1256.vehiclevolumebyeachdirectionoftraffic,North Bound: 9400 / Sotuh Bound: 10900,North Bound: 9400 / South Bound: 10900
927.trafficvolumecountlocationaddress,4637 Wesyt,4637 West
303.vehiclevolumebyeachdirectionoftraffic,East ound: 7300 / West Bound: 9500,East Bound: 7300 / West Bound: 9500
848.vehiclevolumebyeachdirectionoftraffic,North Bound: 11400 / Souht Bound: 8900,North Bound: 11400 / South Bound: 8900
701.trafficvolumecountlocationaddress,113i56 South,11356 South
566.street,Jefferqy Ave,Jeffery Ave
385.locationvalue,"(41.917y263, -87.71828)","(41.917263, -87.71828)"
778.locationvalue,"(41w.795109, -87.59326)","(41.795109, -87.59326)"
569.locationvalue,"(4.794355, -87.742622)","(41.794355, -87.742622)"
1116.street,Brouadway,Broadway
1067.dateofcount,03/23/2060,03/23/2006
128.dateofcount,08/17/20g06,08/17/2006
619.vehiclevolumebyeachdirectionoftraffic,East Bound: 5900 / West Boun:d 5800,East Bound: 5900 / West Bound: 5800
76.locationvalue,"(41.808w006, -87.712716)","(41.808006, -87.712716)"
695.trafficvolumecountlocationaddress,680 South,6480 South
753.street,Sheridna Rd,Sheridan Rd
715.vehiclevolumebyeachdirectionoftraffic,East Bound: 7500 /W est Bound: 9000,East Bound: 7500 / West Bound: 9000
646.trafficvolumecountlocationaddress,323 Souuth,323 South
1095.dateofcount,11/092006,11/09/2006
867.locationvalue,"(4.1794069, -87.662159)","(41.794069, -87.662159)"
851.trafficvolumecountlocationaddress,5653North,5653 North
1101.dateofcount,09/2/12006,09/21/2006
579.trafficvolumecountlocationaddress,845 West,6845 West
172.street,Chiacgo Ave,Chicago Ave
1088.street,Garfield Bldv,Garfield Blvd
416.dateofcount,09/1/42006,09/14/2006
1261.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / outh Bound: 9800,North Bound: 8800 / South Bound: 9800
646.street,Centarl Ave,Central Ave
371.dateofcount,09/262006,09/26/2006
228.vehiclevolumebyeachdirectionoftraffic,North Bound: 1100 / Souh Bound: 1500,North Bound: 1100 / South Bound: 1500
889.locationvalue,"(41.877595, -87.668658)","(41.877595, -87.668568)"
281.vehiclevolumebyeachdirectionoftraffic,North Bound: 4500 / Souht Bound: 3100,North Bound: 4500 / South Bound: 3100
1089.dateofcount,03/232006,03/23/2006
1163.trafficvolumecountlocationaddress,2214 West,2124 West
60.trafficvolumecountlocationaddress,3610 aSouth,3610 South
45.dateofcount,11/01/2060,11/01/2006
302.street,Commercisal Ave,Commercial Ave
198.street,orth Ave,North Ave
119.vehiclevolumebyeachdirectionoftraffic,East Bound: 22000 / West Bound: 19300,East Bound: 20200 / West Bound: 19300
776.trafficvolumecountlocationaddress,3333 oSuth,3333 South
637.locationvalue,"(4m1.775215, -87.575158)","(41.775215, -87.575158)"
138.street,Dameen Ave,Damen Ave
1088.locationvalue,"(41.793556j, -87.701352)","(41.793556, -87.701352)"
288.locationvalue,"(41.876771, -87.639623i)","(41.876771, -87.639623)"
912.locationvalue,"(41.77426, -87.800934)","(41.778426, -87.800934)"
946.vehiclevolumebyeachdirectionoftraffic,East Bound: 6000 / West Bound: 5400,East Bound: 6000 / West Bound: 4500
368.locationvalue,"(41.92u8267, -87.716068)","(41.928267, -87.716068)"
560.trafficvolumecountlocationaddress,754 Wzest,754 West
586.vehiclevolumebyeachdirectionoftraffic,East Bound: 7800 / West mBound: 6800,East Bound: 7800 / West Bound: 6800
649.trafficvolumecountlocationaddress,750 Suoth,750 South
436.trafficvolumecountlocationaddress,200 South***,200 South
1156.vehiclevolumebyeachdirectionoftraffic,East Bonud: 8800 / West Bound: 8400,East Bound: 8800 / West Bound: 8400
8.dateofcount,08/222006,08/22/2006
154.trafficvolumecountlocationaddress,3513 North,3531 North
288.vehiclevolumebyeachdirectionoftraffic,West Bound: 10200/ Oneway Wst Bound ,West Bound: 10200/ Oneway West Bound 
88.vehiclevolumebyeachdirectionoftraffic,East Bomund: 4500 / / Oneway East Bound,East Bound: 4500 / / Oneway East Bound
503.vehiclevolumebyeachdirectionoftraffic,North Bound:4 300 / South Bound: 5400,North Bound: 4300 / South Bound: 5400
1133.locationvalue,"(41.760689, -87.61517)","(41.760689, -87.615174)"
1057.locationvalue,"(41846463, -87.681163)","(41.846463, -87.681163)"
734.street,Indiana Avre,Indiana Ave
71.street,51s tSt,51st St
434.vehiclevolumebyeachdirectionoftraffic,East Bound: 4600  / Oneway East Bound,East Bound: 4600 / / Oneway East Bound
722.trafficvolumecountlocationaddress,1301 Wbest,1301 West
1008.trafficvolumecountlocationaddress,4050 Nortkh,4050 North
1196.street,Narragasett Ave,Narragansett Ave
237.vehiclevolumebyeachdirectionoftraffic,West Bound: 8200/ Oneay West Bound,West Bound: 8200/ Oneway West Bound
139.trafficvolumecountlocationaddress,3098 West,3908 West
1051.vehiclevolumebyeachdirectionoftraffic,orth Bound: 7400 / / Oneway North Bound,North Bound: 7400 / / Oneway North Bound
1111.trafficvolumecountlocationaddress,7700 South***,7700 South
348.dateofcount,1/08/2006,11/08/2006
216.vehiclevolumebyeachdirectionoftraffic,East Bound: 7060 / West Bound: 9900,East Bound: 7600 / West Bound: 9900
423.street,31s St,31st St
557.street,Cmuberland Ave,Cumberland Ave
869.vehiclevolumebyeachdirectionoftraffic,North Bound: 5000 / South Bond: 4900,North Bound: 5000 / South Bound: 4900
625.vehiclevolumebyeachdirectionoftraffic,East Bound: 18400 / West Bund: 18700,East Bound: 18400 / West Bound: 18700
737.locationvalue,"(4.1699648, -87.641695)","(41.699648, -87.641695)"
70.vehiclevolumebyeachdirectionoftraffic,North Bound: 10300 / South ound: 9800,North Bound: 10300 / South Bound: 9800
815.trafficvolumecountlocationaddress,3050 outh,3050 South
305.locationvalue,"(41.796652, -87.622518)***","(41.796652, -87.622518)"
1253.vehiclevolumebyeachdirectionoftraffic,Nofrth Bound: 5700 / South Bound: 5600,North Bound: 5700 / South Bound: 5600
809.dateofcount,8/15/2006,08/15/2006
151.trafficvolumecountlocationaddress,6533South,6533 South
513.locationvalue,"(1.892773, -87.631157)","(41.892773, -87.631157)"
912.trafficvolumecountlocationaddress,336 South,6336 South
1222.trafficvolumecountlocationaddress,6820 Souh,6820 South
833.locationvalue,"q(41.838289, -87.627562)","(41.838289, -87.627562)"
641.vehiclevolumebyeachdirectionoftraffic,East Bound: 16600 / West oBund: 16600,East Bound: 16600 / West Bound: 16600
185.trafficvolumecountlocationaddress,105 East,1057 East
480.dateofcount,0/08/2006,03/08/2006
720.dateofcount,10/172/006,10/17/2006
1056.vehiclevolumebyeachdirectionoftraffic,East Bound: 1b0100 / West Bound: 13500,East Bound: 10100 / West Bound: 13500
1108.vehiclevolumebyeachdirectionoftraffic,Noth Bound: 5300 / South Bound: 5700,North Bound: 5300 / South Bound: 5700
853.trafficvolumecountlocationaddress,44 6West,446 West
434.dateofcount,11/07/2006***,11/07/2006
1094.locationvalue,"(14.899743, -87.66515)","(41.899743, -87.66515)"
772.vehiclevolumebyeachdirectionoftraffic,East Bound: 750 0/ West Bound: 7300,East Bound: 7500 / West Bound: 7300
482.street,107th pSt,107th St
471.dateofcount,10/192006,10/19/2006
638.dateofcount,b09/19/2006,09/19/2006
769.dateofcount,11/1/42006,11/14/2006
1097.vehiclevolumebyeachdirectionoftraffic,East Bound: 7700 / West Boudn: 7600,East Bound: 7700 / West Bound: 7600
408.vehiclevolumebyeachdirectionoftraffic,East Bound: 8030 / West Bound: 8600,East Bound: 8300 / West Bound: 8600
513.street,Clmark St,Clark St
917.locationvalue,"41.778712, -87.69338)","(41.778712, -87.69338)"
770.locationvalue,"(41.948956, -87.649538)","(41.948965, -87.649538)"
1249.vehiclevolumebyeachdirectionoftraffic,North Bound :6300 / South Bound: 5600,North Bound: 6300 / South Bound: 5600
67.street,Kimbal Ave,Kimball Ave
391.street,Wentworth Aev,Wentworth Ave
371.trafficvolumecountlocationaddress,w27 West,27 West
391.trafficvolumecountlocationaddress,12054 Saouth,12054 South
152.trafficvolumecountlocationaddress,2130 oSuth,2130 South
860.locationvalue,"(41.750997, -8.621988)","(41.750997, -87.621988)"
1202.locationvalue,"(41.884v876, -87.715267)","(41.884876, -87.715267)"
645.street,Cenrtal Ave,Central Ave
685.trafficvolumecountlocationaddress,506 mWest,506 West
640.vehiclevolumebyeachdirectionoftraffic,East Boundb: 9200 / West Bound: 9000,East Bound: 9200 / West Bound: 9000
637.vehiclevolumebyeachdirectionoftraffic,Northv Bound: 10600 / South Bound: 10600,North Bound: 10600 / South Bound: 10600
981.trafficvolumecountlocationaddress,724 West,3724 West
612.dateofcount,030/9/2006,03/09/2006
501.trafficvolumecountlocationaddress,2 East,52 East
439.vehiclevolumebyeachdirectionoftraffic,East Bound: 4300 / Wset Bound: 4300,East Bound: 4300 / West Bound: 4300
266.locationvalue,"(41.857869, 87.624476)","(41.857869, -87.624476)"
230.locationvalue,"(41.78671, -87.6g6752)","(41.78671, -87.66752)"
811.trafficvolumecountlocationaddress,5271 North,5217 North
457.dateofcount,g10/16/2006,10/16/2006
203.street,35th tS,35th St
38.street,icero Ave,Cicero Ave
84.vehiclevolumebyeachdirectionoftraffic,North Bound: 12500 /S outh Bound: 9100,North Bound: 12500 / South Bound: 9100
132.street,5f9th St,59th St
1047.vehiclevolumebyeachdirectionoftraffic,Easet Bound: 12100 / West Bound: 11500,East Bound: 12100 / West Bound: 11500
972.locationvalue,"(41.88085, -87.62687)","(41.88085, -87.622687)"
930.street,47ht St,47th St
316.trafficvolumecountlocationaddress,738 West,7368 West
1001.vehiclevolumebyeachdirectionoftraffic,North Bound: 4050 / South Bound: 5800,North Bound: 4500 / South Bound: 5800
1139.dateofcount,03/02/2006***,03/02/2006
881.vehiclevolumebyeachdirectionoftraffic,East Bound: 11900 / Wmest Bound: 12000,East Bound: 11900 / West Bound: 12000
889.trafficvolumecountlocationaddress,1645W est,1645 West
570.trafficvolumecountlocationaddress,39 West,839 West
28.vehiclevolumebyeachdirectionoftraffic,East Bound: 11300/ / Oneway East Bound ,East Bound: 11300 / / Oneway East Bound 
280.locationvalue,"(41.909705, -87.736946)","(41.909705, -87.739646)"
1094.dateofcount,m10/18/2006,10/18/2006
98.locationvalue,"(41.944085, -87.j766693)","(41.944085, -87.766693)"
1025.trafficvolumecountlocationaddress,4301West,4301 West
23.street,Washinton St,Washington St
815.street,Stafte St,State St
624.street,kRacine Ave,Racine Ave
1189.vehiclevolumebyeachdirectionoftraffic,North Bound: 8200 / South Boundw: 8500,North Bound: 8200 / South Bound: 8500
206.locationvalue,"j(41.834369, -87.623323)","(41.834369, -87.623323)"
672.locationvalue,"(41.946769, -87.7364m49)","(41.946769, -87.736449)"
567.locationvalue,"(41866535, -87.693471)","(41.866535, -87.693471)"
156.vehiclevolumebyeachdirectionoftraffic,North Bound: 1880 / South Bound: 21100,North Bound: 18800 / South Bound: 21100
1263.dateofcount,08/29/206,08/29/2006
948.street,nPershing Rd,Pershing Rd
222.locationvalue,"(41.859094, -87.7v04686)","(41.859094, -87.704686)"
789.street,76ht St,76th St
835.locationvalue,"(4.1876483, -87.629253)","(41.876483, -87.629253)"
939.trafficvolumecountlocationaddress,1728 Nortsh,1728 North
905.trafficvolumecountlocationaddress,7u732 South,7732 South
634.vehiclevolumebyeachdirectionoftraffic,Eyast Bound: 16800 / West Bound: 17700,East Bound: 16800 / West Bound: 17700
177.dateofcount,09/28h/2006,09/28/2006
965.street,ClarkSt,Clark St
284.trafficvolumecountlocationaddress,10 est,10 West
213.locationvalue,"(41.76448 ,-87.6541)","(41.76448, -87.6541)"
499.trafficvolumecountlocationaddress,7168 eWst,7168 West
1083.trafficvolumecountlocationaddress,10v58 West,1058 West
1250.dateofcount,03/e21/2006,03/21/2006
1114.street,Drexel Bvld,Drexel Blvd
298.dateofcount,03c/28/2006,03/28/2006
1078.vehiclevolumebyeachdirectionoftraffic,East Bound: 11900 / / Oneway East Boeund ,East Bound: 11900 / / Oneway East Bound 
593.dateofcount,0/16/2006,10/16/2006
848.street,DamenA ve,Damen Ave
916.vehiclevolumebyeachdirectionoftraffic,East Bound: 8500  West Bound: 7600,East Bound: 8500 / West Bound: 7600
285.vehiclevolumebyeachdirectionoftraffic,East Bound: 17600d / West Bound: 18500,East Bound: 17600 / West Bound: 18500
9.vehiclevolumebyeachdirectionoftraffic,North Bound: 8800 / South Boud: 10500,North Bound: 8800 / South Bound: 10500
709.trafficvolumecountlocationaddress,1300 oWest,1300 West
871.vehiclevolumebyeachdirectionoftraffic,North Bonud: 7500 / South Bound: 5000,North Bound: 7500 / South Bound: 5000
34.street,Madiosn St,Madison St
270.dateofcount,n09/19/2006,09/19/2006
788.dateofcount,1u0/04/2006,10/04/2006
73.trafficvolumecountlocationaddress,1055 Nroth,1055 North
728.trafficvolumecountlocationaddress,8221 South,8212 South
532.dateofcount,x05/05/2006,05/05/2006
389.dateofcount,03/28/206,03/28/2006
1206.vehiclevolumebyeachdirectionoftraffic,North Bound: 28100 / South Bound 25300,North Bound: 28100 / South Bound: 25300
137.street,Calrumet Ave,Calumet Ave
474.dateofcount,8/17/2006,08/17/2006
210.dateofcount,0h3/30/2006,03/30/2006
408.street,130rd St,103rd St
699.dateofcount,09/192/006,09/19/2006
529.street,Irving Park Rcd,Irving Park Rd
566.vehiclevolumebyeachdirectionoftraffic,North Bound: 13100 / South Boun:d 12800,North Bound: 13100 / South Bound: 12800
505.street,Ctentral Ave,Central Ave
681.street,Wsahington St,Washington St
106.vehiclevolumebyeachdirectionoftraffic,West Bound: 18800/ Oneway West oBund ,West Bound: 18800/ Oneway West Bound 
182.dateofcount,08/15/206,08/15/2006
704.street,Clark t,Clark St
440.dateofcount,10e/24/2006,10/24/2006
112.street,76th Srteet,76th Street
690.vehiclevolumebyeachdirectionoftraffic,North Bound: 950y0 / South Bound: 11900,North Bound: 9500 / South Bound: 11900
480.street,Arher Ave,Archer Ave
411.dateofcount,8/22/2006,08/22/2006
1183.street,Stakte St,State St
