OBJECTID,UNIQUE_ID,SYS_CD,SYS_TRTMNT_ID,TRTMNT_NM,TRTMNT_TYPE_CD,TRTMNT_SUBTYPE,TRTMNT_START_DT,TRTMNT_END_DT,TRTMNT_COMMENTS,BLM_ACRES,GIS_ACRES,ADMIN_ST,GlobalID,SHAPE_Length,SHAPE_Area
11,NISIMS03B8EEF4AFA44596,NISIMS,03B8EEF4AFA44596,RCG-03-NES,2,PESTICIDE,2011/09/14 00:00:00+00,2011/09/14 00:00:00+00,COMM_ID: 075-055PC01 VISIT_ID: 075-055V005 NES control reed canary grass using cutting and herbicide application,19.121706,19.121706,ES,{97FBEB8D-01C0-49D7-A013-A1027D9A6BE6},0.0115405125633845,8.88484763346897e-06
12,NISIMSD9F1491F760945FA,NISIMS,D9F1491F760945FA,RCG-04-BLM,2,PESTICIDE,2014/09/05 00:00:00+00,2014/09/05 00:00:00+00,COMM_ID: 075-055PC02 VISIT_ID: 075-055V006 NRS Strohl control reed canary grass using herbicide application,2.330102,2.330102,ES,{21816F56-8217-4DDC-80FA-2B8AC90DF7FB},0.0239223010512857,1.08268751531096e-06
13,NISIMSC7E081A935674BCD,NISIMS,C7E081A935674BCD,ALLPET-HESMAT-02-BLM,2,PESTICIDE,2012/03/29 00:00:00+00,2012/03/29 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V202 NRS Strohl/UWM students control mustards with herbicide,1.006765,1.006765,ES,{FE06FD93-F488-4888-96CE-5B6B6EED93BB},0.00291049897529923,4.50120501585549e-07
14,NISIMSA11885D91E4848BE,NISIMS,A11885D91E4848BE,ALLPET-HESMAT-03-BLM,2,PESTICIDE,2012/04/05 00:00:00+00,2012/04/05 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V203 NRS Strohl/UWM students control mustards with herbicide,1.006765,1.006765,ES,{DD435E73-C361-4E7A-B3C4-E3BC55030E16},0.00291049897529923,4.50120501585549e-07
15,NISIMS2DA82FF022054E4C,NISIMS,2DA82FF022054E4C,ALLPET-HESMAT-04-BLM,2,PESTICIDE,2012/04/17 00:00:00+00,2012/04/17 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V204 NRS Strohl/UWM students control mustards with herbicide,1.006765,1.006765,ES,{ACBAA5C2-9319-4710-85D1-545DF9BBD185},0.00291049897529923,4.50120501585549e-07
16,NISIMSD282328521E647F7,NISIMS,D282328521E647F7,ALLPET-HESMAT-05-BLM,2,PESTICIDE,2012/05/01 00:00:00+00,2012/05/01 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V205 NRS Strohl/UWM students control mustards with herbicide,1.006765,1.006765,ES,{87FA927A-7BBF-4199-B859-DFEB41851CC8},0.00291049897529923,4.50120501585549e-07
17,NISIMS6B39CF2199ED4785,NISIMS,6B39CF2199ED4785,trees-01-BLM,4,PLANT,2012/05/01 00:00:00+00,2012/05/01 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V205 NRS Strohl/UWM students plant trees,1.006765,1.006765,ES,{A8D6107B-FA09-49C1-81BD-83CD458CB326},0.00291049897529923,4.50120501585549e-07
18,NISIMS458DCB4FDF084D8C,NISIMS,458DCB4FDF084D8C,buckthorn-01-BLM,4,REMOVE,2010/09/25 00:00:00+00,2010/09/25 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V101 intern Luna Jones/UWM students control buckthorn with cut-and-treat,1.006765,1.006765,ES,{22845455-A350-4250-8F69-1725C477B35C},0.00291049897529923,4.50120501585549e-07
19,NISIMSE14174554EB24B48,NISIMS,E14174554EB24B48,buckthorn-02-BLM,4,REMOVE,2011/02/01 00:00:00+00,2011/02/01 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V102 NRS Strohl/UWM students control buckthorn using cut-and-treat,1.006765,1.006765,ES,{71E931C5-5080-4AD9-8441-1B578294782D},0.00291049897529923,4.50120501585549e-07
20,NISIMS83837694F513497E,NISIMS,83837694F513497E,ALLPET-HESMAT-01-BLM,2,PESTICIDE,2011/04/15 00:00:00+00,2011/04/15 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V104 NRS Strohl/UWM students treat mustards w/herbicide,1.006765,1.006765,ES,{F1AABF48-D024-4509-9365-70EC953C0E72},0.00291049897529923,4.50120501585549e-07
21,NISIMSC23CC235C19344C1,NISIMS,C23CC235C19344C1,seeding-01-BLM,4,PLANT,2011/04/15 00:00:00+00,2011/04/15 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V104 NRS Strohl/UWM students seeding,1.006765,1.006765,ES,{51C83D70-AC96-44CB-8DF4-7B5D202B9B3E},0.00291049897529923,4.50120501585549e-07
22,NISIMS1F3C19584B624BBB,NISIMS,1F3C19584B624BBB,ALLPET-HESMAT-06-BLM,2,PESTICIDE,2015/04/06 00:00:00+00,2015/04/06 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V207 NRS Strohl/Great Lakes CCC control mustards with herbicide,1.006765,1.006765,ES,{41B02CBC-489A-4B45-999F-696A7934D775},0.00291049897529923,4.50120501585549e-07
23,NISIMS7FACC8E49A774AE3,NISIMS,7FACC8E49A774AE3,ALLPET-HESMAT-06-BLM,2,PESTICIDE,2015/04/13 00:00:00+00,2015/04/13 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V208 NRS Strohl control mustards with herbicide,1.006765,1.006765,ES,{791EAE71-2B70-4DFC-829B-61BF3976C462},0.00291049897529923,4.50120501585549e-07
24,NISIMSFB009FAFCAE24A8A,NISIMS,FB009FAFCAE24A8A,trees-02-BLM,4,PLANT,2016/04/25 00:00:00+00,2016/04/25 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V209 NRS Kassander/Great Lakes CCC plant trees,1.006765,1.006765,ES,{C16D6576-A661-480A-AA62-5270BAD7751C},0.00291049897529923,4.50120501585549e-07
25,NISIMSF28C5F2F3CEE46D2,NISIMS,F28C5F2F3CEE46D2,honeysuckle-01-BLM,4,REMOVE,2011/09/14 00:00:00+00,2011/09/14 00:00:00+00,COMM_ID: 075-056PC01 VISIT_ID: 075-056V003 NRS Strohl control honeysuckle using cut-and-treat,0.518247,0.518247,ES,{9A42B90E-84D6-4F6B-8A39-DF147D18EE89},0.00288025675669218,2.41254014222468e-07
26,NISIMS9DE23E2C0522434C,NISIMS,9DE23E2C0522434C,ALLPET-HESMAT-02-BLM,2,PESTICIDE,2012/01/10 00:00:00+00,2012/01/10 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V201 NRS Strohl control mustards with herbicide,1.540235,1.540235,ES,{703EC071-52BE-442A-93F4-23857BCB31FD},0.00513585615742806,6.91389562621472e-07
27,NISIMS51F51A7D70EE459B,NISIMS,51F51A7D70EE459B,buckthorn-03-BLM,4,REMOVE,2015/10/04 00:00:00+00,2015/10/04 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V208 NRS Strohl/Kassander control buckthorn with cut-and-treat,1.540235,1.540235,ES,{5981B79E-AB0E-48F2-9507-24F0D4FA216B},0.00513585615742806,6.91389562621472e-07
28,NISIMSAF102FBCDEDC4E77,NISIMS,AF102FBCDEDC4E77,trees-01-BLM,4,PLANT,2012/05/03 00:00:00+00,2012/05/03 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V203 NRS Strohl plant trees,1.540235,1.540235,ES,{503AF80E-E51B-42EE-A7B6-8D039C281CBC},0.00513585615742806,6.91389562621472e-07
29,NISIMS35B24916EB8144E1,NISIMS,35B24916EB8144E1,ALLPET-HESMAT-01-BLM,2,PESTICIDE,2013/05/05 00:00:00+00,2013/05/05 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V110 NRS Strohl/UWM students control mustards with herbicide,1.540235,1.540235,ES,{ECF6CD70-36C1-4710-9656-D090A9B5E68E},0.00513585615742806,6.91389562621472e-07
30,NISIMSB47556AC3C574C56,NISIMS,B47556AC3C574C56,seed-01-BLM,4,PLANT,2012/06/16 00:00:00+00,2012/06/16 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V206 NRS Strohl/interns sow seed,1.540235,1.540235,ES,{53816565-52E5-4554-A87F-7D312D54006F},0.00513585615742806,6.91389562621472e-07
31,NISIMS84DFA00B2BC84B29,NISIMS,84DFA00B2BC84B29,ALLPET-HESMAT-02-BLM,2,PESTICIDE,2012/04/30 00:00:00+00,2012/04/30 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V202 NRS Strohl/UWM students control mustards with herbicide,1.540235,1.540235,ES,{42C9F00B-73BF-4067-9649-B6C2A9BFBCB6},0.00513585615742806,6.91389562621472e-07
32,NISIMS4D3D742847CD4BFF,NISIMS,4D3D742847CD4BFF,trees-02-BLM,4,PLANT,2016/04/18 00:00:00+00,2016/04/18 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V608 NRS Kassander/CCC plant trees,1.540235,1.540235,ES,{1AB76A04-02C9-400C-B12B-034C102BB45E},0.00513585615742806,6.91389562621472e-07
33,NISIMSA4E3419ADD8045C8,NISIMS,A4E3419ADD8045C8,RCG-01-BLM,4,REMOVE,2012/06/13 00:00:00+00,2012/06/13 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V204 NRS Strohl/interns control reed canary grass using mowing,1.540235,1.540235,ES,{03198F58-1E47-4A8D-BB06-A7C267FC3C37},0.00513585615742806,6.91389562621472e-07
34,NISIMS79D873169585432A,NISIMS,79D873169585432A,ALLPET-HESMAT-03-BLM,2,PESTICIDE,2016/05/02 00:00:00+00,2016/05/02 00:00:00+00,COMM_ID: 089-007PC00 VISIT_ID: 089-007V607 NRS Kassander/CCC control mustards with herbicide,1.540235,1.540235,ES,{BD1F4407-88B0-4A50-9BD9-E5AC5CDA04D5},0.00513585615742806,6.91389562621472e-07
35,NISIMS490BB691570043D3,NISIMS,490BB691570043D3,mustards-01-BLM,4,REMOVE,2016/09/01 00:00:00+00,2016/09/01 00:00:00+00,COMM_ID: 089-007PC02 VISIT_ID: 089-007V609 NRS Kassander/CCC control mustards by removing seeds,0.332916,0.332916,ES,{370A81AB-88E8-48D7-A829-96B6A8DC3560},0.00156173315377141,1.49443018280127e-07
36,NISIMS6A8BADA03B5F4667,NISIMS,6A8BADA03B5F4667,buckthorn-01-BLM,4,REMOVE,2010/08/21 00:00:00+00,2010/08/21 00:00:00+00,COMM_ID: 089-007PC03 VISIT_ID: 089-007V050 intern/UWM students control buckthorn using cut-and-treat,0.399465,0.399465,ES,{AADF86E5-870B-4215-BE56-9D48144E4440},0.00193465186857725,1.79315145684189e-07
37,NISIMS940333A887DE4BB3,NISIMS,940333A887DE4BB3,buckthorn-02-BLM,4,REMOVE,2011/02/17 00:00:00+00,2011/02/17 00:00:00+00,COMM_ID: 089-007PC03 VISIT_ID: 089-007V101 NRS Strohl/UWM students control buckthorn using cut-and-treat,0.399465,0.399465,ES,{99993FEA-62AE-4E6D-87C6-80D52C35660A},0.00193465186857725,1.79315145684189e-07
38,NISIMS6202DD1BFF184B24,NISIMS,6202DD1BFF184B24,buckthorn-01-BLM,4,REMOVE,2013/10/10 00:00:00+00,2013/10/10 00:00:00+00,COMM_ID: 089-009PC01 VISIT_ID: 089-009V003 NRS Strohl/Kellogg control buckthorn with cut-and-treat,0.614817,0.614817,ES,{3A90D834-75B0-42D2-A5B0-4766895FFE2B},0.00250771882612221,2.75843492288776e-07
39,NISIMSE32469DD9B924BA3,NISIMS,E32469DD9B924BA3,buckthorn-01-BLM,4,REMOVE,2016/09/24 00:00:00+00,2016/09/24 00:00:00+00,COMM_ID: 097-023PC01 VISIT_ID: 097-023V002 NRS Kassander/UWSP students control buckthorn using cut-and-treat,6.416776,6.416776,ES,{7A4C1D9A-153E-4336-9B56-B3176A002ACE},0.0111751584202164,2.93685164035735e-06
40,NISIMS61B53D211BF04821,NISIMS,61B53D211BF04821,buckthorn-01-BLM,4,REMOVE,2011/09/23 00:00:00+00,2011/09/23 00:00:00+00,COMM_ID: 105-001PC01 VISIT_ID: 105-001V003 NRS Strohl/OFS control buckthorn using cut-and-treat,8.803098,8.803098,ES,{BD3FF3A3-8485-4A06-905D-B256DF617ABB},0.00827846780586807,3.90243839464084e-06
41,NISIMSFBDE37AEB10B4B35,NISIMS,FBDE37AEB10B4B35,buckthorn-02-BLM,4,REMOVE,2015/03/28 00:00:00+00,2015/03/28 00:00:00+00,COMM_ID: 105-001PC02 VISIT_ID: 105-001V004 NRS Strohl/UWM students control buckthorn using cut-and-treat,1.501129,1.501129,ES,{BD210EF9-6EC3-4586-AF0F-D7297AD92690},0.0149778369920988,6.65451455128742e-07
42,NISIMS4BDBFA8471524557,NISIMS,4BDBFA8471524557,trees-01-BLM,4,PLANT,2016/05/05 00:00:00+00,2016/05/05 00:00:00+00,COMM_ID: 105-001PC02 VISIT_ID: 105-001V005 NRS Strohl/Kassander plant trees,1.501129,1.501129,ES,{605F7461-8ECD-49DE-B64C-8816FE189EF0},0.0149778369920988,6.65451455128742e-07
43,NISIMSBEB9A8E387104D5A,NISIMS,BEB9A8E387104D5A,ALLPET-HESMAT-01-BLM,2,PESTICIDE,2015/03/28 00:00:00+00,2015/03/28 00:00:00+00,COMM_ID: 105-001PC02 VISIT_ID: 105-001V005 NRS Strohl/Kassander control garlic mustard using herbicide,1.501129,1.501129,ES,{B56E2701-0329-41F3-92FB-101397347054},0.0149778369920988,6.65451455128742e-07
44,NISIMSE6A882DDCB5E4BE3,NISIMS,E6A882DDCB5E4BE3,buckthorn-01-BLM,4,REMOVE,2015/09/26 00:00:00+00,2015/09/26 00:00:00+00,COMM_ID: 141-020PC01 VISIT_ID: 141-020V002 NRS Schumacher/UWSP students control buckthorn using cut-and-treat,8.295082,8.295082,ES,{4E01948D-8586-47B6-8C04-ACDB34A7177C},0.00897880495276814,3.79110891295134e-06
45,NISIMS0725D44535F7446A,NISIMS,0725D44535F7446A,seed collection,4,PLANT,2015/09/26 00:00:00+00,2015/09/26 00:00:00+00,COMM_ID: 141-020PC01 VISIT_ID: 141-020V002 NRS Strohl/UWSP students collect native shrub seeds,8.295082,8.295082,ES,{935DC29B-9F02-428C-8DCC-935C87E787FF},0.00897880495276814,3.79110891295134e-06
46,NISIMS3DB816633CE34925,NISIMS,3DB816633CE34925,buckthorn-03-OFS,4,REMOVE,2012/09/18 00:00:00+00,2012/09/18 00:00:00+00,COMM_ID: 021-005WT05 VISIT_ID: 021_005V004 OFS control buckthorn using cut-and-treat,2.903276,2.903276,ES,{A5F9E453-7720-444E-ACDC-CB9ACA77519B},0.0094882959854006,1.30774848767834e-06
47,NISIMS9BC5535D31D74B93,NISIMS,9BC5535D31D74B93,seed-01-BLM/UWM,4,PLANT,2013/10/26 00:00:00+00,2013/10/26 00:00:00+00,COMM_ID: 021-005WT05 VISIT_ID: 021_005V005 NRS Strohl/UWM students sow seeds,2.903276,2.903276,ES,{0F629227-DE66-4D66-B3EA-0B0D19D26846},0.0094882959854006,1.30774848767834e-06
48,NISIMSCAE2AAB603E94B75,NISIMS,CAE2AAB603E94B75,buckthorn-02-BLM/OFS,4,REMOVE,2012/01/24 00:00:00+00,2012/01/24 00:00:00+00,COMM_ID: 055_006PC01 VISIT_ID: 055-006V003 NRS Strohl/OFS control buckthorn using cut-and-treat,0.872836,0.872836,ES,{84B2C696-61C3-4438-B1A1-98C832730623},0.00231937386293385,3.89425249727689e-07
49,NISIMS68DD19BCD8BC4B30,NISIMS,68DD19BCD8BC4B30,buckthorn- -BLM/FWS,4,REMOVE,2010/03/08 00:00:00+00,2010/03/08 00:00:00+00,COMM_ID: 079-002PC00 VISIT_ID: 079-002V099 NRS Strohl and FWS burn buckthorn piles,1.006765,1.006765,ES,{0EDE9DEA-4F48-4775-8330-967EB53FEE20},0.00291049897529923,4.50120501585549e-07
