228.sex,Feale,Female
141.noteoncount,Reporting standards not met. Either there are too fewcases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
156.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or he coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
161.raceethnicity,Hispaniec,Hispanic
32.noteoncount,Reportiung standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
143.raceethnicity,"Whte, non-Hispanic","White, non-Hispanic"
211.characteristic,"Total - Male, Two or more races, non-Hsipanic","Total - Male, Two or more races, non-Hispanic"
60.characteristic,Total ,"Total - Black, non-Hispanic "
108.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50p ercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
16.sex,Mael,Male
268.sex,aFemale,Female
227.noteoncount,Repoxrting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
293.noteoncount,Reporting standards not met. Either there are too few cases fo ra reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
70.characteristic,Total ,Total - Hispanic
112.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greate.r,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
93.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
258.sex,Fmale,Female
120.sex,Fmeale,Female
145.raceethnicity,"Black, non-Hispaic ","Black, non-Hispanic "
290.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
176.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 inclued Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
160.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 prcent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
9.sex,Feale,Female
47.characteristic,Total ,"Total - White, non-Hispanic"
284.sex,Femae,Female
54.characteristic,Total - Male,"Total - Black, non-Hispanic "
281.sex,Femae,Female
296.raceethnicity,"American Indian/Alaska Native, non-Hdispanic","American Indian/Alaska Native, non-Hispanic"
66.sex,Fmeale,Female
70.sex,Fqemale,Female
76.noteoncount,Reporting standards not emt. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
174.sex,Mle,Male
252.raceethnicity,iHspanic,Hispanic
99.noteoncount,Reporting fstandards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
2.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) eis 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
232.noteoncount,Reporting standards not met. Either there adre too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
68.noteoncount,Reporting standards not met.E ither there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
95.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
206.sex,Mael,Male
303.noteonearnings,Reporting standards not met. Either there are toof ew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
256.raceethnicity,Hispanci,Hispanic
82.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
200.noteoncount,Reporting standards not met. Either there are to few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
150.raceethnicity,"Blatck, non-Hispanic ","Black, non-Hispanic "
176.sex,ale,Male
302.noteoncount,Reporting standards not met. Either there are toao few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
220.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate r the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
89.characteristic,Total ,"Total - Asian, non-Hispanic"
126.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
41.noteoncount,Reporting standards not met. Either ther are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
234.noteoncount,Reporting standards not met. Eityher there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
35.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffiicent of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
90.characteristic,Total ,"Total - Asian, non-Hispanic"
297.raceethnicity,"Amercian Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
88.characteristic,Total - Female,"Total - Asian, non-Hispanic"
270.sex,emale,Female
55.characteristic,Total ,"Total - Black, non-Hispanic "
255.sex,Feamle,Female
148.raceethnicity,"Black, non-pHispanic ","Black, non-Hispanic "
77.noteoncount,Reporting standards not met. Either there are too few cases for a reliable esvtimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
178.sex,Mae,Male
44.characteristic,Total - Male,"Total - White, non-Hispanic"
205.raceethnicity,"American Indian/Alaska aNtive, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
89.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
224.noteoncount,Reporting standards not met. Either there are too few cases fro a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
94.noteoncount,Reporting standards not met. Either there are too few czases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
301.noteoncount,Daa not available.,Data not available.
272.raceethnicity,"Asian, non-Hisanic","Asian, non-Hispanic"
79.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
289.sex,Femalze,Female
127.characteristic,Total ,"Total - Two or more races, non-Hispanic"
280.sex,eFmale,Female
173.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data forc 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
200.sex,gMale,Male
65.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coeffiicent of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
250.sex,Fmale,Female
173.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacificr Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
244.raceethnicity,"Black, non-Hispanfic ","Black, non-Hispanic "
62.characteristic,Total - Male,"Total - Black, non-Hispanic "
146.noteoncount,Repogrting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
304.raceethnicity,"Two or moer races, non-Hispanic","Two or more races, non-Hispanic"
198.raceethnicity,"American Indian/Alaska Native, non-Hipsanic","American Indian/Alaska Native, non-Hispanic"
263.sex,emale,Female
245.sex,Femfale,Female
32.characteristic,"Total - Pacific Islander, non-Hispanic",Total - Female
306.raceethnicity,"Two or nmore races, non-Hispanic","Two or more races, non-Hispanic"
295.raceethnicity,"American Indian/Alaska Native,non-Hispanic","American Indian/Alaska Native, non-Hispanic"
24.sex,ale,Male
310.raceethnicity,"Two or more races, non-iHspanic","Two or more races, non-Hispanic"
242.sex,emale,Female
94.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
279.raceethnicity,"Pacific Islander, non-Hispanitc","Pacific Islander, non-Hispanic"
91.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
224.raceethnicity,"White, non-Hispainc","White, non-Hispanic"
276.noteoncount,Reporting standrads not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
161.noteoncount,Reporting standards notm et. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
224.sex,emale,Female
130.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
131.sex,Mnale,Male
231.raceethnicity,"White, non-Hisipanic","White, non-Hispanic"
269.raceethnicity,"Asian, non-iHspanic","Asian, non-Hispanic"
259.raceethnicity,Hispaic,Hispanic
126.noteoncount,Reporting standards not met. Either tere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
247.raceethnicity,"Black, nno-Hispanic ","Black, non-Hispanic "
10.sex,Fetmale,Female
253.raceethnicity,Hipsanic,Hispanic
105.characteristic,"Total - Pacific Islander, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
281.raceethnicity,"Paciifc Islander, non-Hispanic","Pacific Islander, non-Hispanic"
77.characteristic,Total ,Total - Hispanic
87.characteristic,Total ,"Total - Asian, non-Hispanic"
222.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greate.r,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
275.noteoncount,Data not availabl.e,Data not available.
171.raceethnicity,"sAian, non-Hispanic","Asian, non-Hispanic"
84.characteristic,Total - Female,"Total - Asian, non-Hispanic"
38.noteoncount,Reporting standards not met. Either there are too fewc ases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
312.sex,emale,Female
128.characteristic,"Total - Pacific Islander, non-Hispanic","Total - Two or more races, non-Hispanic"
232.raceethnicity,"White, non-Hisapnic","White, non-Hispanic"
118.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
84.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
207.sex,Mael,Male
302.sex,Femlae,Female
58.noteoncount,Reporting standards not met. Either there are too few casues for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.sex,jFemale,Female
128.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of yvariation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
109.sex,Fwemale,Female
190.noteoncount,Reporpting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
179.raceethnicity,"Asia,n non-Hispanic","Asian, non-Hispanic"
303.sex,oFemale,Female
308.raceethnicity,"Two ior more races, non-Hispanic","Two or more races, non-Hispanic"
280.raceethnicity,"Pacific Islander, non-Hispanixc","Pacific Islander, non-Hispanic"
65.characteristic,Total ,"Total - Black, non-Hispanic "
13.sex,emale,Female
56.characteristic,Total - Female,"Total - Black, non-Hispanic "
255.raceethnicity,Heispanic,Hispanic
121.noteonearnings,Reporting standards not met. Either there are too few cases foqr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
149.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thec oefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
40.sex,Femael,Female
115.characteristic,Total - Male,"Total - American Indian/Alaska Native, non-Hispanic"
20.sex,Mle,Male
99.characteristic,Total - Female,"Total - Pacific Islander, non-Hispanic"
135.sex,vMale,Male
59.noteoncount,Reporting standards not met. Eithaer there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
309.raceethnicity,"Two or more races, non-Hispnaic","Two or more races, non-Hispanic"
245.raceethnicity,"Blac, non-Hispanic ","Black, non-Hispanic "
135.characteristic,"Total -u Male, White, non-Hispanic","Total - Male, White, non-Hispanic"
179.sex,Maxle,Male
251.raceethnicity,Hisspanic,Hispanic
125.characteristic,Total - Male,"Total - Two or more races, non-Hispanic"
231.sex,emale,Female
4.sex,Feamle,Female
271.raceethnicity,"sian, non-Hispanic","Asian, non-Hispanic"
260.raceethnicity,Hisanic,Hispanic
22.characteristic,"Total - Pacific Islander, non-Hispanic",Total - Male
163.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate oyr the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
299.sex,emale,Female
149.raceethnicity,"Blac, non-Hispanic ","Black, non-Hispanic "
241.raceethnicity,"Black, cnon-Hispanic ","Black, non-Hispanic "
75.characteristic,Total - Male,Total - Hispanic
239.sex,eFmale,Female
203.raceethnicity,"American Indian/Alaska Natvie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
51.characteristic,Total - Male,"Total - White, non-Hispanic"
38.raceethnicity,"American Indian/Alaska Native,n on-Hispanic","American Indian/Alaska Native, non-Hispanic"
63.characteristic,Total ,"Total - Black, non-Hispanic "
199.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficientd of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
293.raceethnicity,American Indian/Alaska Native non-Hispanic,"American Indian/Alaska Native, non-Hispanic"
33.noteoncount,Reporting standards not met. Eitehr there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
182.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefifcient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
275.raceethnicity,"Pacific Islander, non-Hipanic","Pacific Islander, non-Hispanic"
42.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 pecrent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
285.sex,Fkemale,Female
86.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
26.characteristic,"Total - Pacific Islander, non-Hispanic",Total - Male
124.noteoncount,Reportnig standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
278.noteoncount,Reporting standards not met. Either there are too few acses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
292.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficiento f variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
174.raceethnicity,"Asian,non-Hispanic","Asian, non-Hispanic"
45.characteristic,Total ,"Total - White, non-Hispanic"
234.raceethnicity,"White, nonHispanic","White, non-Hispanic"
101.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
225.noteoncount,Reporting standards not met. Either there are to few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
299.raceethnicity,"American Indian/Alaska Native, non-Hsipanic","American Indian/Alaska Native, non-Hispanic"
140.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate o the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
226.raceethnicity,"White, non-Hspanic","White, non-Hispanic"
310.noteoncount,Reporting standards not met. Either there re too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
68.characteristic,Total ,Total - Hispanic
290.raceethnicity,"American Indian/Alaska Native, nonH-ispanic","American Indian/Alaska Native, non-Hispanic"
85.characteristic,Total - Male,"Total - Asian, non-Hispanic"
46.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 plercent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
272.sex,emale,Female
95.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficietn of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
117.characteristic,"Total - Asian, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
311.raceethnicity,"Two or more races, non-Hipanic","Two or more races, non-Hispanic"
48.characteristic,Total - Female,"Total - White, non-Hispanic"
80.characteristic,Total - Male,"Total - Asian, non-Hispanic"
119.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
46.characteristic,Total ,"Total - White, non-Hispanic"
81.characteristic,Total - Male,"Total - Asian, non-Hispanic"
246.raceethnicity,"Blck, non-Hispanic ","Black, non-Hispanic "
221.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficientof variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
242.raceethnicity,"Black, on-Hispanic ","Black, non-Hispanic "
134.characteristic,"Total - Male, White, non-Hisptanic","Total - Male, White, non-Hispanic"
