OBJECTID,serial_nr_full,ttl_case_acres,commodity_txt,case_disp_txt,disp_dt,GISacres,casetype,casetype_txt,GlobalID,Shape__Area,Shape__Length
18,CACA   059465,4724.92,GEOTHERMAL,PENDING,,6343.63606437,323000,GEO NOMINATION,{CC1DC382-AAE5-4B11-A37D-8394044463DD},25671784.3484543,25676.6028171523
19,CACA   059466,4980.75,GEOTHERMAL,PENDING,,9231.85261179,323000,GEO NOMINATION,{045FEF1D-2694-465B-B3FD-7DBD2486232B},37359982.0326722,42524.7448146999
20,CACA   059467,5075.7,GEOTHERMAL,PENDING,,7587.97290734,323000,GEO NOMINATION,{A5EB6DF7-FDF0-45B8-ACE4-3EF250176BCC},30707436.8930789,27956.5957173939
21,CACA   059468,3180,GEOTHERMAL,PENDING,,4804.48451448,323000,GEO NOMINATION,{B7153A7B-9DB6-45D4-BA5E-2EBC0523D154},19443059.0137379,46697.6484904243
22,CACA   059469,,GEOTHERMAL,PENDING,,3356.55004699,323000,GEO NOMINATION,{93BE237A-B14F-41D8-8885-7BD3091D8A00},13583476.1147674,32965.4958664137
23,CACA   059470,4570.18,GEOTHERMAL,PENDING,,7123.88837296,323000,GEO NOMINATION,{F6D9D7A9-16AC-4127-89FB-BC65478AE4C5},28829353.4145684,35608.4772931428
24,CACA   059471,1480,GEOTHERMAL,PENDING,,3918.78526192,323000,GEO NOMINATION,{CF6CCB64-518F-4AF3-84CA-0634A41898BE},15858761.3052005,29176.6733867996
25,CACA   059472,1040,GEOTHERMAL,PENDING,,3194.27127597,323000,GEO NOMINATION,{EABB755E-574A-40D9-9638-39B6C1C1B7C7},12926757.2280273,29095.1796696555
26,CACA   059473,3360,GEOTHERMAL,PENDING,,6441.45234564,323000,GEO NOMINATION,{8A564C9D-D6F8-4851-AEF2-AA4A5DFBE0C0},26067632.7945233,64554.2692059421
27,CACA   059474,2281.48,GEOTHERMAL,PENDING,,2629.98025999,323000,GEO NOMINATION,{E588CFF7-6EC1-42E2-961F-435A3C0D431C},10643152.5059371,26105.7437326491
28,CACA   051451,4960,GEOTHERMAL,PENDING,,5033.47982673,323000,GEO NOMINATION,{131B9D36-8AD7-461C-B864-C6A0D8B5D46B},20369770.1638312,20235.5504668365
29,CACA   051452,484.32,GEOTHERMAL,PENDING,,474.2289234,323000,GEO NOMINATION,{B94F70A3-DC91-464F-8962-9703860D8330},1919136.36434119,5605.88754235136
30,CACA   001032,640,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,645.60684788,321300,GEO LEASE - NONCOMPETITIV,{3C3C9C17-3533-480C-AC29-FF6A36542371},2612678.21869951,6465.52324921584
31,CACA   001033,320,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,319.83956078,321300,GEO LEASE - NONCOMPETITIV,{61DB0EE6-B464-4024-A212-47130BE95AD1},1294344.78067799,4828.51748014325
32,CACA   001034,1280,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,1276.50239454,321300,GEO LEASE - NONCOMPETITIV,{120B1F14-2FE5-4A13-B07F-A1A4885DF579},5165821.91356596,9652.81858218696
33,CACA   001036,1280,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,1284.24232124,321300,GEO LEASE - NONCOMPETITIV,{D884C40B-F72C-4342-8492-B9DF6A8AAB52},5197144.28563631,9680.456870202
34,CACA   001221,640,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,645.43164307,321300,GEO LEASE - NONCOMPETITIV,{26958F41-360B-4B7E-BCAC-AE7114C11684},2611969.18997978,6464.67247743787
35,CACA   001223,320,GEOTHERMAL,AUTHORIZED,1982/03/01 08:00:00+00,323.7047026,321300,GEO LEASE - NONCOMPETITIV,{B44E1C36-A189-4F41-8413-3B6E912C40A8},1309986.45466807,4853.72031304029
36,CACA   001224,638.08,GEOTHERMAL,AUTHORIZED,1982/04/01 08:00:00+00,641.89228474,321300,GEO LEASE - NONCOMPETITIV,{B99AB8C1-36CD-4EB4-8D34-AB95B29C3995},2597645.91500427,6444.19796464974
37,CACA   001230,480,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,481.9269866,321300,GEO LEASE - NONCOMPETITIV,{C2F2BE86-C6D4-42A6-B2DA-B157D4E5BD09},1950289.3208569,5640.69774047564
38,CACA   001232,640,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,642.09676742,321300,GEO LEASE - NONCOMPETITIV,{94A38875-11D7-4B5C-ADF2-EC0F11929ECC},2598473.42701861,6447.97869092704
39,CACA   002500,640,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,642.21242562,321300,GEO LEASE - NONCOMPETITIV,{45B5780E-2FCB-4AB8-B346-DF425A71BD2C},2598941.4791559,6448.50482165667
40,CACA   006111,640,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,643.1653621,321300,GEO LEASE - NONCOMPETITIV,{9C8404AD-EEFB-4058-807F-FB08011972E6},2602797.87629227,6453.43233881231
41,CACA   039724,800,GEOTHERMAL,AUTHORIZED,1982/02/01 08:00:00+00,808.32273238,321300,GEO LEASE - NONCOMPETITIV,{D383277B-ED6C-4505-8BBD-879155F74903},3271166.04090318,10500.2114164095
42,CACA   000949,2459.61,GEOTHERMAL,AUTHORIZED,1974/08/01 08:00:00+00,2395.13401144,322000,GEO LSE COMP PRE 2005,{D398EE42-4CEA-4E95-AE80-D7F3B15B3CE0},9692763.45672404,37434.3856156902
43,CACA   000950,1606.43,GEOTHERMAL,AUTHORIZED,1974/08/01 08:00:00+00,1565.1482049,322000,GEO LSE COMP PRE 2005,{E08891D4-F2C5-4AD5-AE2B-31927BC27B56},6333930.06500972,19034.8318948728
44,CACA   000956A,163.09,GEOTHERMAL,AUTHORIZED,1974/08/01 08:00:00+00,159.02234817,322000,GEO LSE COMP PRE 2005,{77E5BB43-A9D7-4431-9DF2-D3F776C2FA45},643540.61097722,4874.43848204443
45,CACA   000958,209.59,GEOTHERMAL,AUTHORIZED,1974/08/01 08:00:00+00,212.54922641,322000,GEO LSE COMP PRE 2005,{FAB79748-47B5-4685-9CAD-C6217DB0282B},860156.201964305,8240.06129650339
46,CACA   000964,1791.6,GEOTHERMAL,AUTHORIZED,1974/09/01 08:00:00+00,1794.69008591,322000,GEO LSE COMP PRE 2005,{17DD5FEB-8E31-4D50-BEE7-2430AEEFE007},7262853.10037952,12055.7362917657
47,CACA   000966,2549.09,GEOTHERMAL,AUTHORIZED,1974/08/01 08:00:00+00,2550.10416594,322000,GEO LSE COMP PRE 2005,{D0422425-9F3E-4D8B-AD1F-F9B2C1248BA8},10319905.4217096,13652.0614452597
48,CACA   001862,606.48,GEOTHERMAL,AUTHORIZED,1974/08/01 08:00:00+00,691.25678106,322000,GEO LSE COMP PRE 2005,{BB4F9731-B838-4926-928A-C4EF57056B70},2797416.94395138,11852.5602602019
49,CACA   001863,164.56,GEOTHERMAL,AUTHORIZED,1974/08/01 08:00:00+00,164.61306226,322000,GEO LSE COMP PRE 2005,{2D7251FD-BC19-466D-A598-526658D65C17},666165.42820152,4048.42779219518
50,CACA   001903,2240,GEOTHERMAL,AUTHORIZED,1974/09/01 08:00:00+00,2239.55421023,322000,GEO LSE COMP PRE 2005,{F186E4F8-F4F2-4E11-AC54-EEC64F269168},9063154.33896052,12871.904448998
51,CACA   005633,275.61,GEOTHERMAL,AUTHORIZED,1979/02/01 08:00:00+00,265.51937164,322000,GEO LSE COMP PRE 2005,{22FFEE20-AE1E-4737-BB0F-DD7BA5A35770},1074518.77440054,7048.45141523437
52,CACA   005634,353.07,GEOTHERMAL,AUTHORIZED,1979/02/01 08:00:00+00,347.51483728,322000,GEO LSE COMP PRE 2005,{63889E2D-60E4-4754-A15F-492EC93366A1},1406342.65111029,7050.76709729998
53,CACA   005635,280,GEOTHERMAL,AUTHORIZED,1979/01/01 08:00:00+00,277.33990786,322000,GEO LSE COMP PRE 2005,{48FE361C-4FA0-48F4-89E2-7474DF510989},1122354.78731348,5652.95686234217
54,CACA   005636,548.91,GEOTHERMAL,AUTHORIZED,1979/02/01 08:00:00+00,552.52496219,322000,GEO LSE COMP PRE 2005,{010D1535-6D60-4318-B371-15012EC825A3},2235989.19179331,7368.05144545902
55,CACA   005639,1267.33,GEOTHERMAL,AUTHORIZED,1979/02/01 08:00:00+00,1220.07871461,322000,GEO LSE COMP PRE 2005,{59604C9C-548E-4DCF-95DE-9073086885D8},4937483.38205063,26806.5969514828
56,CACA   006217,1600,GEOTHERMAL,AUTHORIZED,1979/07/01 08:00:00+00,1600.0748146,322000,GEO LSE COMP PRE 2005,{37E5655D-52D9-403A-91EA-EBD60FA858C7},6475273.03978531,11270.6666480265
57,CACA   006218,2486.04,GEOTHERMAL,AUTHORIZED,1979/07/01 08:00:00+00,2486.80576504,322000,GEO LSE COMP PRE 2005,{BD4D2557-444A-4066-AAE1-D132F9409DF0},10063745.8815146,16082.8924308476
58,CACA   006219,1920,GEOTHERMAL,AUTHORIZED,1979/07/01 08:00:00+00,1922.33850278,322000,GEO LSE COMP PRE 2005,{3C280F6B-81FF-4C0E-9C85-E71DFE2EC11A},7779427.91599913,12881.7934906417
59,CACA   009062,4.48,GEOTHERMAL,AUTHORIZED,2013/01/11 08:00:00+00,4.004095,322000,GEO LSE COMP PRE 2005,{4A91A497-BE58-46B3-B691-3FC9689C224A},16203.99754643,810.498581685592
60,CACA   011384,2555,GEOTHERMAL,AUTHORIZED,1987/01/20 08:00:00+00,2529.01509262,322000,GEO LSE COMP PRE 2005,{7AC7DBED-5C46-4A9C-A2F7-B3E9DF187892},10234560.9699353,23036.6640446178
61,CACA   011385,2430.95,GEOTHERMAL,AUTHORIZED,1987/01/20 08:00:00+00,2345.22367962,322000,GEO LSE COMP PRE 2005,{B7A84931-BC2C-4FB7-8C7D-DEE8ACEA8F3E},9490783.50981555,20836.4706140558
62,CACA   011402,2554.04,GEOTHERMAL,AUTHORIZED,1987/01/09 08:00:00+00,2416.9353863,322000,GEO LSE COMP PRE 2005,{A8669850-B806-4113-92D7-FB52223E2A13},9780990.49055746,22447.7583601972
63,CACA   011667,1590,GEOTHERMAL,AUTHORIZED,1982/03/01 08:00:00+00,1512.7175804,322000,GEO LSE COMP PRE 2005,{767AB567-094A-4215-9C00-02B113814335},6121750.85554035,20234.4886273473
64,CACA   011672,800,GEOTHERMAL,AUTHORIZED,1982/01/01 08:00:00+00,799.17801369,322000,GEO LSE COMP PRE 2005,{B1CBA527-9657-42BA-BD61-CE17597883DE},3234158.6773406,8900.44388284281
65,CACA   012756,320,GEOTHERMAL,AUTHORIZED,2013/05/31 08:00:00+00,321.43580769,322000,GEO LSE COMP PRE 2005,{842C5FA8-44FA-4F1B-AA64-10EB869D1B64},1300804.5627414,5643.77898683493
66,CACA   013800,160,GEOTHERMAL,AUTHORIZED,1983/06/01 08:00:00+00,147.19812435,322000,GEO LSE COMP PRE 2005,{FFAA172A-FC5D-4BAE-8DC2-7CE2084261D1},595689.67489102,4600.13004721576
67,CACA   014404,2542.91,GEOTHERMAL,AUTHORIZED,1985/02/01 08:00:00+00,2538.56448455,322000,GEO LSE COMP PRE 2005,{C7884A29-50E6-407A-9C97-FD79B83B3ACF},10273205.9879923,15977.0374280149
68,CACA   014405,2560,GEOTHERMAL,AUTHORIZED,1985/02/01 08:00:00+00,2557.34560529,322000,GEO LSE COMP PRE 2005,{02A5C5E5-F06E-4734-9D94-CAF56FCB28D3},10349210.487055,15290.1252823488
69,CACA   014406,2680,GEOTHERMAL,AUTHORIZED,1985/02/01 08:00:00+00,2669.83187843,322000,GEO LSE COMP PRE 2005,{44D3D7B2-79F3-49BF-B90D-7299A70CEF67},10804426.2839344,15264.974552851
70,CACA   014407,2561.25,GEOTHERMAL,AUTHORIZED,1985/02/01 08:00:00+00,2544.29203715,322000,GEO LSE COMP PRE 2005,{F9F79AA7-28DD-47F1-8845-6C8D5EF50A5E},10296384.5709997,16612.4700168434
71,CACA   014408,693.6,GEOTHERMAL,AUTHORIZED,1985/02/01 08:00:00+00,771.95234911,322000,GEO LSE COMP PRE 2005,{1B4914B6-5024-4CB7-943B-94C8B863181D},3123980.32178721,15332.68675041
72,CACA   017568,633.32,GEOTHERMAL,AUTHORIZED,1979/07/01 08:00:00+00,633.74378385,322000,GEO LSE COMP PRE 2005,{B90E50E5-0841-4A07-A211-4718869940E4},2564670.10182648,6405.5899198399
73,CACA   049122,320,GEOTHERMAL,AUTHORIZED,2007/10/01 08:00:00+00,334.34551665,322200,GEO LSE COMP POST 2005,{F77A47AE-9C29-47EE-8812-AB324AE36B6A},1353048.30134728,7373.65402858517
74,CACA   050999,948.93,GEOTHERMAL,AUTHORIZED,2009/10/01 08:00:00+00,935.43154021,322200,GEO LSE COMP POST 2005,{9F153345-C392-46C5-A460-23969730363A},3785557.13622088,14610.4115528579
75,CACA   055559,2585.46,GEOTHERMAL,AUTHORIZED,2014/10/01 08:00:00+00,2616.44955078,322200,GEO LSE COMP POST 2005,{8FB20B26-B790-4B8F-A346-5C16A408E3E0},10588395.6684737,26036.2121048621
76,NVN    100985,3400,GEOTHERMAL,PENDING,2021/12/10 08:00:00+00,3400.5624344,323000,GEO NOMINATION,{7C58E4E1-195D-4A6B-A3B4-7475CDF1DFBF},13761587.9274216,24131.6860080802
77,CACA   043993,2540,GEOTHERMAL,AUTHORIZED,2020/12/01 08:00:00+00,2404.28434439,321000,GEO LSE NONCOMP PRE 2005,{30290D22-3A99-4261-8933-AC015DF12E03},9729793.54036308,16090.0251859523
78,CACA   043998,1280,GEOTHERMAL,PENDING,2002/02/04 08:00:00+00,1285.92100758,321000,GEO LSE NONCOMP PRE 2005,{49BA43FD-1605-4C5E-B1B2-A83D35D0D770},5203937.68822412,9667.79503125386
79,CACA   044082,640,GEOTHERMAL,PENDING,2002/02/21 08:00:00+00,647.5203674,321000,GEO LSE NONCOMP PRE 2005,{7E86F152-C99E-433E-90FC-9C2F30D2CE6B},2620421.95744515,6490.04088062548
80,CACA   012366,1201.12,GEOTHERMAL,AUTHORIZED,1982/05/01 08:00:00+00,1201.43449152,322300,GEO LEASE - COMPETITIVE C,{B558E2D1-5F50-4F20-918B-BD1A8740D620},4862032.88808033,12882.3376226643
81,CACA   012367,160,GEOTHERMAL,AUTHORIZED,1982/05/01 08:00:00+00,487.30068368,322300,GEO LEASE - COMPETITIVE C,{52398C91-AF6D-4ABE-AB5C-50EE22485258},1972035.90138858,6486.13778557873
82,CACA   012368,2077.48,GEOTHERMAL,AUTHORIZED,1982/06/01 08:00:00+00,2105.54841816,322300,GEO LEASE - COMPETITIVE C,{8A190185-E552-4E7E-917F-B79EF77B57F5},8520852.13870585,20995.6567073462
83,CACA   012369,1958.74,GEOTHERMAL,AUTHORIZED,1982/06/01 08:00:00+00,1972.14153553,322300,GEO LEASE - COMPETITIVE C,{D3A9C144-8C03-4B89-9C6A-1213DE99F44D},7980973.63893205,17998.7270670564
84,CACA   012370,1319.92,GEOTHERMAL,AUTHORIZED,1982/05/01 08:00:00+00,1324.02511543,322300,GEO LEASE - COMPETITIVE C,{18600AF7-C3C1-443F-9B7B-6391D8768B13},5358139.54178345,9817.75584537408
85,CACA   012371,2582,GEOTHERMAL,AUTHORIZED,1982/06/01 08:00:00+00,2581.84166725,322300,GEO LEASE - COMPETITIVE C,{AE099B2B-368D-4220-9F64-3F2B5AF6B28E},10448342.5327445,16243.1288850619
86,CACA   012372,2560,GEOTHERMAL,AUTHORIZED,1982/06/01 08:00:00+00,2596.62536948,322300,GEO LEASE - COMPETITIVE C,{2FCCC063-38FE-420C-829E-13ADD35F36DA},10508170.0530584,16200.8395448078
87,CACA   013802,920,GEOTHERMAL,AUTHORIZED,1983/07/01 08:00:00+00,931.73255873,322300,GEO LEASE - COMPETITIVE C,{81964AEE-BE62-4026-9FD8-2CB4A96D8484},3770587.88927455,9793.08355200026
88,CACA   013803,640,GEOTHERMAL,AUTHORIZED,1983/07/01 08:00:00+00,650.10543096,322300,GEO LEASE - COMPETITIVE C,{1588D5E5-C6BB-4DCF-968E-1593D83FC0AD},2630883.33853381,6488.02119211532
89,CACA   013958,480,GEOTHERMAL,AUTHORIZED,1983/07/01 08:00:00+00,1297.80942768,322300,GEO LEASE - COMPETITIVE C,{BB77FEDA-3E9C-477E-863E-B3DD0F56BF83},5252048.417471,9713.72786530531
90,CACA   021925,2401.48,GEOTHERMAL,AUTHORIZED,1988/06/01 08:00:00+00,2400.6898928,322300,GEO LEASE - COMPETITIVE C,{9CDA31CA-8198-4BD1-B77E-CD8E8AD68E4A},9715247.31085116,17729.5311239195
91,CACA   021926,960,GEOTHERMAL,AUTHORIZED,1988/06/01 08:00:00+00,959.86619378,322300,GEO LEASE - COMPETITIVE C,{91670C4B-DFC9-4D54-9F07-C977051B806B},3884440.67093654,9665.46091320679
92,CACA   021929,637,GEOTHERMAL,AUTHORIZED,1988/07/01 08:00:00+00,639.8004494,322300,GEO LEASE - COMPETITIVE C,{6A349D81-D52C-45E8-8F98-A0CAA183A675},2589180.55772194,6436.30056685341
93,CACA   021932,320,GEOTHERMAL,AUTHORIZED,1988/06/01 08:00:00+00,320.53888056,322300,GEO LEASE - COMPETITIVE C,{3DD879D7-0213-4442-B48A-D42D5706BB80},1297174.82741664,4831.51852621531
94,CACA   021933,664,GEOTHERMAL,AUTHORIZED,1988/07/01 08:00:00+00,668.32738147,322300,GEO LEASE - COMPETITIVE C,{21887665-A8FC-45C4-98A0-C627294DCDA3},2704624.9559813,6579.74331761101
95,CACA   039725,720.44,GEOTHERMAL,AUTHORIZED,1982/05/01 08:00:00+00,721.37504101,322300,GEO LEASE - COMPETITIVE C,{AB77D3CE-2FB5-44B1-A0F3-99B11F9E352A},2919301.21768168,7251.96851166107
96,CACA   039726,320,GEOTHERMAL,AUTHORIZED,1982/05/01 08:00:00+00,324.85604658,322300,GEO LEASE - COMPETITIVE C,{F269278A-4297-498F-9857-A2CFA026D207},1314645.77843762,4868.19815390565
97,CACA   039727,2080,GEOTHERMAL,AUTHORIZED,1982/05/01 08:00:00+00,2099.57804788,322300,GEO LEASE - COMPETITIVE C,{6948A8AF-E033-483B-8444-98C3D2E0A2C1},8496690.90740239,12942.6659048082
98,CACA   039728,478.56,GEOTHERMAL,AUTHORIZED,1982/06/01 08:00:00+00,478.9419211,322300,GEO LEASE - COMPETITIVE C,{905C0093-422B-4BA9-AF7D-82BBB7DD1565},1938209.18935585,9652.45234257737
99,CACA   039729,1278.82,GEOTHERMAL,AUTHORIZED,1982/05/01 08:00:00+00,1305.11548879,322300,GEO LEASE - COMPETITIVE C,{5C96EA3A-954C-4FFA-B3AA-96F10C88A2FF},5281614.9977847,9781.28261185305
100,CACA   040830,160,GEOTHERMAL,AUTHORIZED,1983/07/01 08:00:00+00,162.57440742,322300,GEO LEASE - COMPETITIVE C,{3F132921-1EDE-4677-B89E-08CA984305E0},657915.28476663,3244.48689462533
101,CACA   040831,640,GEOTHERMAL,AUTHORIZED,1983/07/01 08:00:00+00,649.01385605,322300,GEO LEASE - COMPETITIVE C,{1F1858A7-6E2E-4D9E-93FB-E5D2E60FBAE6},2626465.8915642,8090.2248626818
