Induction year,Player,Inducted as
2014,BC Women’s Selects Field Lacrosse 1983-1993,Team
2015,Chris Gill,Box player
2015,Curt Malawsky,Box player
2015,Tom Patrick,Box player
2015,Jim Veltman,Box player
2015,Jeff Gombar,Field player
2015,Terry Sanderson (1952-2014),Builder
2015,Lindsay Sanderson,Builder
2015,Chris Hall (1950-2014),Builder
2015,Ed Goss,Veteran player
2015,Larry Lloyd,Veteran player
2015,Peterborough James Gang 1981-1983,Team
