Citing Patent,Filing date,Publication date,Applicant,Title
US8639635,"Oct 11, 2012","Jan 28, 2014","Personal Estate Manager, Inc.",Computer-implemented personal information manager method and system
US8639920,"May 11, 2010","Jan 28, 2014","Experian Marketing Solutions, Inc.",Systems and methods for providing anonymized user profile data
US8645161,"Jan 8, 2013","Feb 4, 2014","Mymedicalrecords, Inc.",Method and system for providing online records
US8677505,"Sep 6, 2007","Mar 18, 2014","Digital Doors, Inc.","Security system with extraction, reconstruction and secure recovery and storage of data"
US8725537,"Sep 4, 2008","May 13, 2014","Mymedicalrecords, Inc.",Method and system for providing online records
US8744956,"Aug 24, 2012","Jun 3, 2014","Experian Information Solutions, Inc.",Systems and methods for permission arbitrated transaction services
US8768725,"Oct 29, 2012","Jul 1, 2014","Mymedicalrecords, Inc.",Method and system for providing online records
US8781953,"Feb 9, 2010","Jul 15, 2014","Consumerinfo.Com, Inc.",Card management system and method
US8818888,"Jun 27, 2013","Aug 26, 2014","Consumerinfo.Com, Inc.",Application clusters
US8856539,"Jun 26, 2007","Oct 7, 2014","Universal Secure Registry, Llc",Universal secure registry
US8856894,"Mar 12, 2013","Oct 7, 2014","Consumerinfo.Com, Inc.",Always on authentication
US8914411 *,"Jan 10, 2002","Dec 16, 2014",Verizon Patent And Licensing Inc.,"Method, system and computer program product for controlling data access through question and answer mechanism"
US8931058,"Jul 1, 2011","Jan 6, 2015","Experian Information Solutions, Inc.",Systems and methods for permission arbitrated transaction services
US8966649,"Jan 23, 2014","Feb 24, 2015","Experian Marketing Solutions, Inc.",Systems and methods for providing anonymized user profile data
US9037637,"Feb 6, 2012","May 19, 2015",J.D. Power And Associates,Dual blind method and system for attributing activity to a user
US9058627,"Mar 26, 2014","Jun 16, 2015","Consumerinfo.Com, Inc.",Circular rotational interface for display of consumer credit information
US20010024425 *,"Jan 18, 2001","Sep 27, 2001",Tomohiro Tsunoda,Data communication system and receiving apparatus to be used for such system
US20010044903 *,"May 14, 2001","Nov 22, 2001","Sumitomo Heavy Industries, Ltd.",Information access method and network system
US20010054007 *,"Jan 19, 2001","Dec 20, 2001",Tetsuo Minakawa,Intermediation control apparatus and computer-readable storage medium storing intermediation control program
US20010056469 *,"Jun 18, 2001","Dec 27, 2001",Nec Corporation,Personal information providing system and personal information providing method
US20020016857 *,"Jun 19, 2001","Feb 7, 2002",Adi Harari,"Address contact information retrieval, synchronization, and storage system"
US20020152164 *,"Apr 12, 2001","Oct 17, 2002",International Business Machines Corporation,Method and apparatus for processing a check within a financial system
US20020152165 *,"Apr 12, 2001","Oct 17, 2002",International Business Machines Corporation,Method and apparatus for bill payments at an automatic teller machine
US20020152166 *,"Apr 12, 2001","Oct 17, 2002",International Business Machines Corporation,Method and apparatus for incorporating scanned checks into financial applications
US20020152169 *,"Apr 12, 2001","Oct 17, 2002",Rabindranath Dutta,Method and apparatus for facilitating transactions at an automatic teller machine
US20020152170 *,"Apr 12, 2001","Oct 17, 2002",International Business Machines Corporation,Method and apparatus for processing checks at an automatic teller machine for electronic transfer
US20040088579 *,"Nov 5, 2002","May 6, 2004",International Business Machines Corporation,"Method, system and program product for automatically managing information privacy"
US20040186807 *,"Mar 21, 2003","Sep 23, 2004",Nathans Michael G.,Credit data collection method and apparatus
US20040193685 *,"Mar 23, 2004","Sep 30, 2004","Sony Corporation/Sony Electronics, Inc.",Method and apparatus for managing and sharing personal identities in a peer-to-peer environment
US20040255301 *,"Jun 13, 2003","Dec 16, 2004",Andrzej Turski,Context association schema for computer system architecture
US20050028168 *,"Jun 26, 2003","Feb 3, 2005",Cezary Marcjan,Sharing computer objects with associations
US20050065950 *,"Nov 12, 2004","Mar 24, 2005",Naren Chaganti,Online repository for personal information
US20090276825 *,"Jun 12, 2007","Nov 5, 2009",Nec Corporation,"Sharing management system, sharing management method and program"
US20110145014 *,,"Jun 16, 2011",Suzette Jacqueline Avneri,International life-saving rapid retrieving tool
US20130297526 *,"Jun 7, 2013","Nov 7, 2013","United Parcel Service Of America, Inc.",Systems and methods for providing personalized delivery services
US20130332342 *,"May 28, 2013","Dec 12, 2013",Sheldon Kasower,"System and method for gathering, processing, authenticating and distributing personal information"
WO2004090685A2 *,"Mar 31, 2004","Oct 21, 2004",Andrew Mark Proehl,Method and apparatus for managing and sharing personal identities in a peer-to-peer environment
