Paketti,Tilanne,Tiedosto,Kääntäjä,Ryhmä
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-tcl/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-c++-gnome/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (2t;0f;0u),gettext-tools/examples/hello-php/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (6t;0f;0u),gettext-tools/examples/hello-c-gnome3/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gettext,100% (621t;0f;0u),gettext-tools/po/ru.po,Pavel Maryanov,gnu at mx dot ru
gettext,100% (41t;0f;0u),gettext-runtime/po/ru.po,Yuri Kozlov,gnu at mx dot ru
gconf,100% (497t;0f;0u),po/ru.po,Yuri Kozlov,gnome-cyr at gnome dot org
gvfs,100% (606t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
vim,100% (1882t;0f;0u),src/po/ru.cp1251.po,Sergey Alyoshin,
vim,100% (1882t;0f;0u),src/po/ru.po,Sergey Alyoshin,
pulseaudio,100% (551t;0f;0u),po/ru.po,Alexander Potashev,kde-russian at lists dot kde dot ru
texinfo,100% (19t;0f;0u),tp/maintain/lib/libintl-perl/sample/simplecal/po/ru.po,Guido Flohr,guido at imperia dot net
gcr,100% (254t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gtk+3.0,100% (1234t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gtk+3.0,100% (2110t;0f;0u),po-properties/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
glib2.0,100% (886t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
evolution-data-server,100% (1083t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
caribou,100% (57t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
debconf,100% (70t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
newt,100% (4t;0f;0u),po/ru.po,Nikolai Prokoschenko,debian-l10n-russian at lists dot debian dot org
atk1.0,100% (169t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
evince,100% (360t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
evince,100% (631t;0f;0u),help/ru/ru.po,Yuri Kozlov,gnome-cyr at gnome dot org
shadow,100% (558t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
gdk-pixbuf,100% (228t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
cogl,100% (80t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
rygel,100% (244t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
libgnome,100% (273t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
rhythmbox,100% (916t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
rhythmbox,100% (436t;0f;0u),help/ru/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-vfs,100% (305t;0f;0u),po/ru.po,Leonid Kanter,ru at li dot org
totem,100% (265t;0f;0u),help/ru/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
totem,100% (384t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
linux,100% (11t;0f;0u),debian/templates/po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
glib-networking,100% (29t;0f;0u),po/ru.po,Dmitriy S. Seregin,gnome-cyr at gnome dot org
gimp,100% (78t;0f;0u),po-python/ru.po,Александр Прокудин,gnome-cyr at lists dot gnome dot org
gimp,100% (429t;0f;0u),po-libgimp/ru.po,Yuri Myasoedov,gnome-cyr at lists dot gnome dot org
libgnome-keyring,100% (9t;0f;0u),po/ru.po,Leonid Kanter,ru at li dot org
colord,100% (202t;0f;0u),po/ru.po,vylekzhanin,Russian (http://www dot transifex dot com/projects/p/colord/language/ru/)
libsoup2.4,100% (25t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-online-accounts,100% (188t;0f;0u),telepathy-account-widgets/po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-online-accounts,100% (149t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
folks,100% (130t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
at-spi2-core,100% (2t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
brasero,100% (968t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
brasero,100% (147t;0f;0u),help/ru/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-themes-standard,100% (9t;0f;0u),po/ru.po,Yuri Myaseodov,gnome-cyr at gnome dot org
gst-plugins-good0.10,100% (190t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
libgphoto2,100% (75t;0f;0u),libgphoto2_port/po/ru.po,Yuri Kozlov,gnu at mx dot ru
libgnomekbd,100% (55t;0f;0u),po/ru.po,Yuri Myaseodov,gnome-cyr at gnome dot org
libgtop2,100% (40t;0f;0u),po/ru.po,Nickolay V. Shmyrev,gnome-cyr at gnome dot org
json-glib,100% (44t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
nautilus,100% (1046t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
vte3,100% (13t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gst-plugins-base1.0,100% (162t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
coreutils,100% (1638t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
clutter-1.0,100% (675t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
libwnck3,100% (231t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
libbonobo,100% (107t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
git,100% (2359t;0f;0u),po/ru.po,Dimitriy Ryazantcev,Russian (http://www dot transifex dot com/p/git-po-ru/language/ru/)
cheese,100% (115t;0f;0u),help/ru/ru.po,Yuri Myasoedov,Russian (gnome-cyr at gnome dot org)
cheese,100% (120t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-panel,100% (69t;0f;0u),help/fish/ru/ru.po,Yuri Kozlov,gnome-cyr at gnome dot org
gnome-panel,100% (115t;0f;0u),help/clock/ru/ru.po,Yuri Kozlov,gnome-cyr at gnome dot org
gnome-panel,100% (507t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
libpeas,100% (31t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-session,100% (60t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gnome-session,100% (6t;0f;0u),debian/po-up/ru.po,ALIAKSEI LABANAU,
gtksourceview3,100% (613t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
accountsservice,100% (10t;0f;0u),po/ru.po,Yuri Kozlov,Russian (http://www dot transifex dot com/projects/p/freedesktop/language/ru/)
grep,100% (112t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
adduser,100% (114t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
man-db,100% (201t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
cwidget,100% (14t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
psmisc,100% (85t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
gucharmap,100% (397t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gucharmap,100% (131t;0f;0u),help/ru/ru.po,Sergey Mironov,gnome-cyr at gnome dot org
gnome-menus,100% (27t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-keyring,100% (112t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
mutter,100% (124t;0f;0u),po/ru.po,Ivan Komaritsyn,gnome-cyr at gnome dot org
libwnck,100% (241t;0f;0u),po/ru.po,Nickolay V. Shmyrev,gnome-cyr at gnome dot org
xkeyboard-config,100% (1055t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
gnome-dictionary,100% (97t;0f;0u),help/ru/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gnome-dictionary,100% (188t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
whois,100% (30t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
libgnomecanvas,100% (95t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
libgnomeui,100% (334t;0f;0u),po/ru.po,Yuri Kozlov,gnome-cyr at gnome dot org
libbonoboui,100% (115t;0f;0u),po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
gnome-bluetooth,100% (81t;0f;0u),help/ru/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gnome-bluetooth,100% (102t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
vte,100% (13t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
iso-codes,100% (169t;0f;0u),iso_15924/ru.po,Yuri Kozlov,gnu at mx dot ru
iso-codes,100% (488t;0f;0u),iso_639/ru.po,Dmitry Sivachenko,gnu at mx dot ru
iso-codes,100% (275t;0f;0u),iso_4217/ru.po,Dmitry Sivachenko,gnu at mx dot ru
kbd,100% (302t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
shared-mime-info,100% (655t;0f;0u),po/ru.po,Yuri Kozlov,Russian (http://www dot transifex dot com/projects/p/freedesktop/language/ru/)
metacity,100% (310t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gtkhtml4.0,100% (317t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gsettings-desktop-schemas,100% (529t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gst-plugins-bad0.10,100% (14t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
yelp,100% (104t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
zenity,100% (190t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
zenity,100% (259t;0f;0u),help/ru/ru.po,Yuri Kozlov,gnome-cyr at gnome dot org
libgdata,100% (85t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
parted,100% (550t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
libgsf,100% (149t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
apt-listchanges,100% (31t;0f;0u),po/ru.po,Sergey Alyoshin,debian-l10n-russian at lists dot debian dot org
jbigkit,100% (9t;0f;0u),libjbig/po/ru.po,,
gnome-packagekit,100% (681t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
binutils,100% (97t;0f;0u),gprof/po/ru.po,Yuri Kozlov,gnu at mx dot ru
binutils,100% (1312t;0f;0u),bfd/po/ru.po,Yuri Kozlov,gnu at mx dot ru
binutils,100% (1496t;0f;0u),binutils/po/ru.po,Pavel Maryanov,gnu at mx dot ru
libsecret,100% (9t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
transmission,100% (494t;0f;0u),transmission-2.84/po/ru.po,Anton Shestakov,gnome-cyr at gnome dot org
gnome-desktop3,100% (23t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
sudo,100% (169t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
gnome-terminal,100% (440t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gnome-terminal,100% (517t;0f;0u),help/ru/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
gtk-vnc,100% (22t;0f;0u),po/ru.po,Andrew Grigorev,gnome-cyr at gnome dot org
gnome-control-center,100% (1467t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gnome-control-center,100% (756t;0f;0u),panels/datetime/po-timezones/ru.po,Yulia,Russian
gedit,100% (551t;0f;0u),help/ru/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gedit,100% (685t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
libsocialweb,100% (12t;0f;0u),po/ru.po,Yuri Nazarenko,
gdm3,100% (97t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
gdm3,100% (6t;0f;0u),debian/po-up/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
kdeplasma-addons,100% (23t;0f;0u),po/ru/plasma_applet_weather.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (7t;0f;0u),po/ru/plasma_applet_webslice.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (7t;0f;0u),po/ru/plasma_applet_org.kde.plasma.calculator.po,Yuri Efremov,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (162t;0f;0u),po/ru/plasma_applet_org.kde.plasma.fuzzyclock.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (4t;0f;0u),po/ru/plasma_runner_translator.po,Alexander Lakhin,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/plasma_runner_konquerorsessions.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (8t;0f;0u),po/ru/plasma_applet_leavenote.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (12t;0f;0u),po/ru/plasma_applet_org.kde.plasma.fifteenpuzzle.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (9t;0f;0u),po/ru/plasma_runner_CharacterRunner.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/plasma_runner_youtube.po,Yuri Efremov,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/plasma_applet_qstardict.po,Nick Shaforostoff,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (10t;0f;0u),po/ru/plasma_runner_spellcheckrunner.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (3t;0f;0u),po/ru/plasma_packagestructure_comic.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (1t;0f;0u),po/ru/plasma_applet_CharSelectApplet.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (1t;0f;0u),po/ru/plasma_runner_browserhistory.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (16t;0f;0u),po/ru/plasma_applet_fileWatcher.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (11t;0f;0u),po/ru/plasma_applet_bubblemon.po,Artem Sereda,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (18t;0f;0u),po/ru/plasma_applet_org.kde.plasma.notes.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (3t;0f;0u),po/ru/plasma_applet_magnifique.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (79t;0f;0u),po/ru/plasma_runner_audioplayercontrol.po,Julia Dronova,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (110t;0f;0u),po/ru/lancelot.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (5t;0f;0u),po/ru/plasma_applet_bookmarks.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (6t;0f;0u),po/ru/plasma_applet_previewer.po,Nick Shaforostoff,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (5t;0f;0u),po/ru/plasma_runner_contacts.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (13t;0f;0u),po/ru/plasma_applet_luna.po,Artem Sereda,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (8t;0f;0u),po/ru/plasma_runner_datetime.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (1t;0f;0u),po/ru/plasma_applet_showdashboard.po,Philip Bocharov,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (1t;0f;0u),po/ru/plasma_runner_mediawiki.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (25t;0f;0u),po/ru/plasma_applet_rssnow.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/plasma_runner_converterrunner.po,Yuri Chornoivan,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (5t;0f;0u),po/ru/plasma_applet_kolourpicker.po,Artem Sereda,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (67t;0f;0u),po/ru/liblancelot-datamodels.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (6t;0f;0u),po/ru/plasma_applet_spellcheck.po,Artem Sereda,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (41t;0f;0u),po/ru/plasma_runner_events.po,Alexander Lakhin,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/plasma_runner_konsolesessions.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/konqprofiles.po,Yuri Efremov,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (5t;0f;0u),po/ru/plasma_applet_groupingpanel.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (30t;0f;0u),po/ru/plasma_applet_microblog.po,Julia Dronova,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (13t;0f;0u),po/ru/plasma_applet_news.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (19t;0f;0u),po/ru/plasma_applet_incomingmsg.po,Artem Sereda,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (48t;0f;0u),po/ru/plasma_applet_plasmaboard.po,Julia Dronova,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (14t;0f;0u),po/ru/plasma_applet_knowledgebase.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (15t;0f;0u),po/ru/plasma_runner_kopete.po,Artem Sereda,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (10t;0f;0u),po/ru/plasma_applet_org.kde.plasma.timer.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (19t;0f;0u),po/ru/libplasma_groupingcontainment.po,Julia Dronova,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (34t;0f;0u),po/ru/libplasmaweather.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (3t;0f;0u),po/ru/plasma_runner_katesessions.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (13t;0f;0u),po/ru/plasma_applet_life.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (60t;0f;0u),po/ru/plasma_applet_org.kde.plasma.comic.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (43t;0f;0u),po/ru/plasma_applet_qalculate.po,Julia Dronova,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (29t;0f;0u),po/ru/plasma_applet_org.kde.plasma.systemloadviewer.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (30t;0f;0u),po/ru/plasma_applet_frame.po,Julia Dronova,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (17t;0f;0u),po/ru/plasma_applet_binaryclock.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (7t;0f;0u),po/ru/plasma_applet_weatherstation.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/plasma_applet_org.kde.plasma.showdesktop.po,Alexander Potashev,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/plasma_applet_unitconverter.po,Artem Sereda,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (2t;0f;0u),po/ru/konsoleprofiles.po,Yuri Efremov,kde-russian at lists dot kde dot ru
kdeplasma-addons,100% (4t;0f;0u),po/ru/plasma_runner_krunner_dictionary.po,Julia Dronova,kde-russian at lists dot kde dot ru
gnome-shell,100% (318t;0f;0u),po/ru.po,Stas Solovey,gnome-cyr at gnome dot org
empathy,100% (188t;0f;0u),telepathy-account-widgets/po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
empathy,100% (768t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
empathy,100% (115t;0f;0u),help/ru/ru.po,Nikita Belobrov,gnome-cyr at gnome dot org
udisks2,100% (413t;0f;0u),po/ru.po,Serge Vylekzhanin,Russian (http://www dot transifex dot com/projects/p/udisks/language/ru/)
libgweather,100% (146t;0f;0u),po/ru.po,Yuri Myasoedov,gnome-cyr at gnome dot org
libgweather,100% (4431t;0f;0u),po-locations/ru.po,vantu5z,vantu5z at mail dot ru
wine,100% (3195t;0f;0u),po/ru.po,Nikolay Sivov,none
gnash,100% (2t;0f;0u),./packaging/debian/po/ru.po,Yuri Kozlov,debian-l10n-russian at lists dot debian dot org
gstreamer1.0,100% (364t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
exo,100% (286t;0f;0u),po/ru.po,Sergey Alyoshin,Russian (http://www dot transifex dot com/projects/p/exo/language/ru/)
xdg-user-dirs,100% (28t;0f;0u),po/ru.po,Yuri Kozlov,gnu at mx dot ru
gnome-mime-data,100% (362t;0f;0u),po/ru.po,Dmitry G. Mastrukov,gnome-cyr at gnome dot org
postgresql-9.4,100% (32t;0f;0u),src/interfaces/ecpg/ecpglib/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (120t;0f;0u),src/interfaces/ecpg/preproc/po/ru.po,Dmitriy Olshevskiy,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (199t;0f;0u),src/interfaces/libpq/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (4142t;0f;0u),src/backend/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (144t;0f;0u),src/bin/pg_ctl/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (458t;0f;0u),src/bin/pg_dump/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (78t;0f;0u),src/bin/pg_controldata/po/ru.po,Dmitriy Olshevskiy,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (175t;0f;0u),src/bin/initdb/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (41t;0f;0u),src/bin/pg_config/po/ru.po,Dmitriy Olshevskiy,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (190t;0f;0u),src/bin/scripts/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
postgresql-9.4,100% (198t;0f;0u),src/bin/pg_basebackup/po/ru.po,Alexander Lakhin,pgtranslation-translators at pgfoundry dot org
