ObjectId,WEEKENDINGDATE,DOSE_1,DOSE_2,BOOSTER,LOADED
26,2021/06/05 03:59:59+00,6321,9026,11,2022/10/10 10:04:00+00
27,2021/06/12 03:59:59+00,6210,11606,12,2022/10/10 10:04:00+00
28,2021/06/19 03:59:59+00,4767,8276,9,2022/10/10 10:04:00+00
29,2021/06/26 03:59:59+00,4389,5498,12,2022/10/10 10:04:00+00
30,2021/07/03 03:59:59+00,4028,4474,12,2022/10/10 10:04:00+00
31,2021/07/10 03:59:59+00,3645,4014,24,2022/10/10 10:04:00+00
32,2021/07/17 03:59:59+00,4627,3376,6,2022/10/10 10:04:00+00
33,2021/07/24 03:59:59+00,6015,3052,6,2022/10/10 10:04:00+00
34,2021/07/31 03:59:59+00,6852,3010,26,2022/10/10 10:04:00+00
35,2021/08/07 03:59:59+00,7867,3814,27,2022/10/10 10:04:00+00
36,2021/08/14 03:59:59+00,7329,4586,101,2022/10/10 10:04:00+00
37,2021/08/21 03:59:59+00,7971,5307,1576,2022/10/10 10:04:00+00
38,2021/08/28 03:59:59+00,8712,5961,1957,2022/10/10 10:04:00+00
39,2021/09/04 03:59:59+00,8043,5816,2799,2022/10/10 10:04:00+00
40,2021/09/11 03:59:59+00,6229,5284,2487,2022/10/10 10:04:00+00
41,2021/09/18 03:59:59+00,6602,6101,2148,2022/10/10 10:04:00+00
42,2021/09/25 03:59:59+00,4574,5510,3457,2022/10/10 10:04:00+00
43,2021/10/02 03:59:59+00,5046,4495,10682,2022/10/10 10:04:00+00
44,2021/10/09 03:59:59+00,4613,4263,10855,2022/10/10 10:04:00+00
45,2021/10/16 03:59:59+00,4341,3562,9681,2022/10/10 10:04:00+00
46,2021/10/23 03:59:59+00,3876,2700,8947,2022/10/10 10:04:00+00
47,2021/10/30 03:59:59+00,6056,2695,11274,2022/10/10 10:04:00+00
48,2021/11/06 03:59:59+00,6082,2603,11439,2022/10/10 10:04:00+00
49,2021/11/13 05:00:00+00,9353,2308,11296,2022/10/10 10:04:00+00
50,2021/11/20 05:00:00+00,9931,2413,12863,2022/10/10 10:04:00+00
51,2021/11/27 05:00:00+00,7342,1988,10665,2022/10/10 10:04:00+00
52,2021/12/04 05:00:00+00,8223,5493,14346,2022/10/10 10:04:00+00
53,2021/12/11 05:00:00+00,7649,5009,13642,2022/10/10 10:04:00+00
54,2021/12/18 05:00:00+00,6031,3666,10796,2022/10/10 10:04:00+00
55,2021/12/25 05:00:00+00,5769,2521,9111,2022/10/10 10:04:00+00
56,2022/01/01 05:00:00+00,5390,2639,8726,2022/10/10 10:04:00+00
57,2022/01/08 05:00:00+00,5942,2852,9578,2022/10/10 10:04:00+00
58,2022/01/15 05:00:00+00,5543,2567,9513,2022/10/10 10:04:00+00
59,2022/01/22 05:00:00+00,3509,2210,6051,2022/10/10 10:04:00+00
60,2022/01/29 05:00:00+00,2832,2404,4147,2022/10/10 10:04:00+00
61,2022/02/05 05:00:00+00,1727,1972,2221,2022/10/10 10:04:00+00
62,2022/02/12 05:00:00+00,1873,2137,2459,2022/10/10 10:04:00+00
63,2022/02/19 05:00:00+00,1546,1555,1863,2022/10/10 10:04:00+00
64,2022/02/26 05:00:00+00,1412,1221,1629,2022/10/10 10:04:00+00
65,2022/03/05 05:00:00+00,1128,1004,1299,2022/10/10 10:04:00+00
66,2022/03/12 05:00:00+00,1041,941,1239,2022/10/10 10:04:00+00
67,2022/03/19 03:59:59+00,949,926,1134,2022/10/10 10:04:00+00
68,2022/03/26 03:59:59+00,860,694,938,2022/10/10 10:04:00+00
69,2022/04/02 03:59:59+00,910,1108,1101,2022/10/10 10:04:00+00
70,2022/04/09 03:59:59+00,1044,1395,1208,2022/10/10 10:04:00+00
71,2022/04/16 03:59:59+00,1021,1355,1195,2022/10/10 10:04:00+00
72,2022/04/23 03:59:59+00,895,1075,1159,2022/10/10 10:04:00+00
73,2022/04/30 03:59:59+00,999,1114,1008,2022/10/10 10:04:00+00
74,2022/05/07 03:59:59+00,764,803,775,2022/10/10 10:04:00+00
75,2022/05/14 03:59:59+00,981,1019,1018,2022/10/10 10:04:00+00
76,2022/05/21 03:59:59+00,1040,1230,1211,2022/10/10 10:04:00+00
77,2022/05/28 03:59:59+00,933,1013,1160,2022/10/10 10:04:00+00
78,2022/06/04 03:59:59+00,756,751,907,2022/10/10 10:04:00+00
79,2022/06/11 03:59:59+00,770,785,1081,2022/10/10 10:04:00+00
80,2022/06/18 03:59:59+00,729,687,849,2022/10/10 10:04:00+00
81,2022/06/25 03:59:59+00,1196,602,645,2022/10/10 10:04:00+00
82,2022/07/02 03:59:59+00,1413,602,719,2022/10/10 10:04:00+00
83,2022/07/09 03:59:59+00,1071,516,660,2022/10/10 10:04:00+00
84,2022/07/16 03:59:59+00,1231,939,957,2022/10/10 10:04:00+00
85,2022/07/23 03:59:59+00,1406,1329,1118,2022/10/10 10:04:00+00
86,2022/07/30 03:59:59+00,1373,1161,1090,2022/10/10 10:04:00+00
87,2022/08/06 03:59:59+00,1241,995,1021,2022/10/10 10:04:00+00
88,2022/08/13 03:59:59+00,1082,866,722,2022/10/10 10:04:00+00
89,2022/08/20 03:59:59+00,889,851,582,2022/10/10 10:04:00+00
90,2022/08/27 03:59:59+00,894,740,557,2022/10/10 10:04:00+00
91,2022/09/03 03:59:59+00,644,567,312,2022/10/10 10:04:00+00
92,2022/09/10 03:59:59+00,769,987,804,2022/10/10 10:04:00+00
93,2022/09/17 03:59:59+00,1138,1255,1417,2022/10/10 10:04:00+00
94,2022/09/24 03:59:59+00,1282,1382,1848,2022/10/10 10:04:00+00
95,2022/10/01 03:59:59+00,1567,1551,1915,2022/10/10 10:04:00+00
96,2022/10/08 03:59:59+00,818,806,1091,2022/10/10 10:04:00+00
