38.communityarea,62.0,68
6.storename,PATLE BROS,PATEL BROS
40.longitude,-87.6444202389,-87.6881717161
115.buffersize,nA,A
354.storename,TSEVE FOOD & LIQUOR,STEVE FOOD & LIQUOR
32.xcoordinate,1150549.397872218,1154227.4639737108
95.longitude,-104.75389953706875,-87.6723897932
38.address,4821 W NORTH AVE,7205 S HALSTED ST
12.latitude,41.712403787,41.8009692763
457.buffersize,pB,B
439.xcoordinate,1006955.5634958425,1169257.2758050784
438.buffersize,,B
188.longitude,-71.23032858377144,-87.6578282347
210.xcoordinate,991862.8312477677,1165101.0211875795
8.locationvalue,"(42.0047500731, -87.6994227766)","(41.968445246, -87.7194165758)"
198.buffersize,eA,A
432.xcoordinate,1655935.3770990712,1194459.428615965
462.zipcode,60735,60641
180.communityareaname,AUBUNR GRESHAM,AUBURN GRESHAM
344.buffersize,sA,A
174.buffersize,tB,B
233.address,1957 W LAWRENCE AEV,1957 W LAWRENCE AVE
406.address,935  E79TH ST,935 E 79TH ST
345.communityareaname,jNEW CITY,NEW CITY
261.buffersize,kA,A
9.longitude,-87.7597328373,-87.6051275894
264.communityareaname,CIHCAGO LAWN,CHICAGO LAWN
283.communityareaname,AUaSTIN,AUSTIN
505.storename,JEWEL FOOD SdTORE #3302,JEWEL FOOD STORE #3302
213.locationvalue,"(41.8193143113, -87.7236649419)","(41.8139143113, -87.7236649419)"
225.communityareaname,WESTj TOWN,WEST TOWN
44.latitude,41.9095051477,41.939309516
13.ycoordinate,1931689.479330876,1895578.037191168
434.address,3100 W ERMAK RD,3100 W CERMAK RD
307.locationvalue,"(41.9686702259, -87x.6951627475)","(41.9686702259, -87.6951627475)"
223.longitude,-87.47482360100346,-87.687213456
235.communityareaname,ILNCOLN PARK,LINCOLN PARK
39.ycoordinate,1910717.9026233568,1868781.9760705472
244.xcoordinate,605846.7473953239,1158768.527537624
401.buffersize,***,B
496.zipcode,60690,60608
462.latitude,124.9458951009,41.9458951009
460.locationvalue,"41.8153006937, -87.7020416008)","(41.8153006937, -87.7020416008)"
429.communityareaname,LjOWER WEST SIDE,LOWER WEST SIDE
387.communityarea,84,14
496.communityareaname,SOUTH LANDALE,SOUTH LAWNDALE
9.locationvalue,"(41.9977473006, -87.6952511581)","(41.712403787, -87.6051275894)"
36.ycoordinate,1903410.3057540525,1860686.2640671933
501.storename,JEWEL FOOD STOE #3114,JEWEL FOOD STORE #3114
334.buffersize,,B
66.xcoordinate,742539.1701870821,1152851.9808610491
190.communityareaname,WASHNIGTON HEIGHTS,WASHINGTON HEIGHTS
91.address,3609 W GRAND AVE,6309 W GRAND AVE
26.ycoordinate,1910717.9026233568,1933184.8910509632
259.communityareaname,WES TRIDGE,WEST RIDGE
175.ycoordinate,1914151.526732603,1914149.526732603
206.address,6009 N wBROADWAY,6009 N BROADWAY
291.address,5755 W ULLERTON AVE,5755 W FULLERTON AVE
292.buffersize,***,B
23.licenseid,1953613.0,1619464.0
3.ycoordinate,1942415.3164009475,1893985.7049883392
38.longitude,-87.7469599363,-87.644215021
210.longitude,-91.3047663873627,-87.6686545431
17.xcoordinate,1140427.8862632848,1197923.0118507417
48.storename,ADLI INC STORE #16,ALDI INC STORE #16
253.xcoordinate,1721341.6797235003,1136053.0143236292
398.locationvalue,(41.722466242 -87.5666730521),"(41.722466242, -87.5666730521)"
395.longitude,-79.7986910211585,-87.6946003939
188.address,1351 W 78TH ST,1351 W 87TH ST
23.locationvalue,"(41.8645211937, -87.6393040996)","(41.9607675196, -87.7339469271)"
164.buffersize,,A
64.communityareaname,GREATER GRAND CRSOSING,GREATER GRAND CROSSING
462.communityarea,86,15
146.locationvalue,"(41.8369472381, -87.7281r423632)","(41.8369472381, -87.7281423632)"
36.latitude,42.0047500731,41.7729575221
25.address,5345 W OHIO ST,6978 N CLARK ST
4.ycoordinate,1942415.3164009475,1869568.6744565165
75.longitude,-113.62736128600994,-87.6362008551
471.longitude,-46.88578547410815,-87.6345988555
445.xcoordinate,1169044.244367912,1168978.244367912
13.address,2534 W PETERSON AVE,1101 S CANAL ST
240.xcoordinate,1501013.474882003,1151510.737706785
265.longitude,-121.02518203860336,-87.668651628
66.storename,SUPER MERCADO LACHIQUITA,SUPER MERCADO LA CHIQUITA
17.ycoordinate,1931689.479330876,1839161.1525656912
9.address,1340 S CANAL ST,702 E 100TH PL
90.communityareaname,NE CITY,NEW CITY
187.address,2005 S MIsCHIGAN AVE,2005 S MICHIGAN AVE
331.address,513 E 47T HST,513 E 47TH ST
175.censusblock,1.70311913021066E14,1.70311913021018E14
182.communityareaname,NEWCITY,NEW CITY
205.longitude,-75.65308240854348,-87.70297606
31.address,5069 W MADISON ST,4759 N SHERIDAN RD
239.storename,SUPERMARKET & TAQUERIA ChARO,SUPERMARKET & TAQUERIA CARO
122.storename,Three Stars Lqiuors,Three Stars Liquors
80.buffersize,aA,A
292.address,2132 W WASHINGTONc BLVD,2132 W WASHINGTON BLVD
81.storename,JEWEL FOOD  SOTRE # 3345,JEWEL FOOD  STORE # 3345
23.address,2751 W PRATT BLVD,4229 W MONTROSE AVE
11.locationvalue,"(41.9095051477, -87.7469599363)","(41.8094238941, -87.620951802)"
21.ycoordinate,1910159.1206884224,1855768.9165432693
199.buffersize,,A
15.licenseid,822.0,15042.0
95.address,3501 N LNICOLN AVE,3501 N LINCOLN AVE
75.buffersize,,B
445.address,1840 N LCYBOURN AVE,1840 N CLYBOURN AVE
461.buffersize,,A
144.longitude,-58.62322320321716,-87.7704933793
14.ycoordinate,1903410.3057540525,1939808.8920842027
418.communityareaname,OSUTH LAWNDALE,SOUTH LAWNDALE
39.licenseid,1954411.0,1991275.0
99.longitude,-125.50198881755863,-87.6514349028
12.ycoordinate,1914149.526732603,1870722.7071781063
502.address,1627 N PULASKI D,1627 N PULASKI RD
424.address,459 S MILLARD AVE,2459 S MILLARD AVE
20.ycoordinate,1942415.3164009475,1907681.304795596
482.locationvalue,"(41.977359091, -87.6959288805)","(41.9977359091, -87.6959288805)"
4.locationvalue,"(41.8645211937, -87.6393040996)","(41.79799187, -87.7234437408)"
462.xcoordinate,1141194.008920079,1141134.008920079
416.storename,CRESPO'S FOOD MAT,CRESPO'S FOOD MART
41.longitude,-87.7751926809,-87.6430223096
227.xcoordinate,1316467.0368111085,1167219.016357534
493.locationvalue,"(41.81686514k81, -87.5986888442)","(41.8168651481, -87.5986888442)"
480.longitude,-113.90741168038167,-87.639926019
207.xcoordinate,1094345.2429255613,1167008.167197132
330.address,3256 N MLIWAUKEE AVE,3256 N MILWAUKEE AVE
13.squarefeet,6500.0,11310.0
257.address,7500 S EXCHANGE AE,7500 S EXCHANGE AVE
305.longitude,-89.41358943848951,-87.7763718583
336.buffersize,lB,B
352.locationvalue,(41.9024736738 -87.7168174653),"(41.9024736738, -87.7168174653)"
136.buffersize,yA,A
39.longitude,-87.6684278857,-87.7596833672
489.locationvalue,"(41.7713833198, -87.73095i33689)","(41.7713833198, -87.7309533689)"
2.ycoordinate,1942415.3164009475,1944958.748255934
42.locationvalue,"(41.9205964582, -87.7751926809)","(41.7978225881, -87.6645368783)"
230.locationvalue,"(41.9389859689, -87.80692906z48)","(41.9389859689, -87.8069290648)"
423.address,838 S PULASKI RD,5838 S PULASKI RD
40.address,5952 W GRAND AVE,4746 N LINCOLN AVE
384.storename,JOE'S FOOD AND LIQUOR gDEPOT,JOE'S FOOD AND LIQUOR DEPOT
276.communityareaname,EW CITY,NEW CITY
434.longitude,-57.470487286315006,-87.702875989
300.buffersize,***,B
254.communityareaname,SOUTH CHICAO,SOUTH CHICAGO
252.storename,UNRISE FOOD AND LIQUORS,SUNRISE FOOD AND LIQUORS
24.xcoordinate,1156542.5273663977,1144267.9933805217
23.squarefeet,64285.0,4500.0
416.xcoordinate,1465805.5692936997,1147155.4164315425
460.longitude,-53.3860260046922,-87.7020416008
293.communityarea,38,14
380.buffersize,rA,A
11.squarefeet,64285.0,5000.0
392.xcoordinate,993232.3888790066,1172894.1385008283
203.buffersize,uA,A
474.buffersize,***,A
35.address,5069 W MADISON ST,9361 S COTTAGE GROVE AVE
506.address,3311 W 26T ST,3311 W 26TH ST
74.xcoordinate,1578747.8758243658,1136654.0460147965
265.communityareaname,yEDGEWATER,EDGEWATER
32.longitude,-87.7064970959,-87.7083036873
505.address,3644 SA RCHER AVE,3644 S ARCHER AVE
33.ycoordinate,1910717.9026233568,1900270.4540166915
490.xcoordinate,1714616.2816543882,1175275.3228902228
18.ycoordinate,1942415.3164009475,1826818.2701945968
222.xcoordinate,1517723.876891056,1152182.029659277
228.locationvalue,"(41.9637889643, 8-7.6566064924)","(41.9637889643, -87.6566064924)"
175.buffersize,aB,B
472.storename,OGIES FOOD INC,"OGIES FOOD, INC"
433.communityareaname,BRIGHTON PAKR,BRIGHTON PARK
358.xcoordinate,1293618.5697217598,1132942.4846033207
37.latitude,42.0047500731,41.9030542001
20.address,2534 W PETERSON AVE,3855 W DIVISION ST
481.xcoordinate,629695.2739930265,1129966.4805599726
44.ycoordinate,1942415.3164009475,1921074.0369519007
20.storename,MID OTWN FOODS,MID TOWN FOODS
19.squarefeet,62603.0,5000.0
10.locationvalue,"(41.9905852147, -87.6935345218)","(41.9262969563, -87.785694824)"
318.communityareaname,SOTH SHORE,SOUTH SHORE
34.latitude,41.7960196245,41.85128849
67.buffersize,gA,A
440.communityarea,67,14
419.locationvalue,"(41.8924213661, -87.6228348711)","(41.8924213661, -87.6282348711)"
147.xcoordinate,1507828.9861276597,1165598.6391106143
314.address,l3607 W FULLERTON AVE,3607 W FULLERTON AVE
136.communityareaname,UPsTOWN,UPTOWN
362.communityareaname,AUSzTIN,AUSTIN
55.address,285b8 S LAWNDALE AVE,2858 S LAWNDALE AVE
34.ycoordinate,1903410.3057540525,1888988.907
369.longitude,-117.18926450177389,-87.6550576698
41.ycoordinate,1910159.1206884224,1828547.0195798825
1.longitude,-87.6625846787,-87.7524941982
9.licenseid,41674.0,66710.0
499.communityarea,21,14
30.longitude,-87.674080374,-87.6408000783
495.communityarea,107,70
358.storename,BERBATE FRUIT MAKET,BERBATE FRUIT MARKET
437.buffersize,,A
18.communityarea,2.0,75
423.locationvalue,"(41.7866084095, -87.231300289)","(41.7866084095, -87.7231300289)"
114.buffersize,dB,B
42.longitude,-87.785694824,-87.6645368783
458.communityareaname,LINCONL PARK,LINCOLN PARK
35.xcoordinate,1168808.076144931,1183247.9273338134
117.buffersize,nB,B
9.ycoordinate,1903410.3057540525,1838632.1930885287
165.address,3637 W DIVSION ST,3637 W DIVISION ST
445.ycoordinate,1912223.791821909,1912136.791821909
15.communityareaname,IRVING PARK,WEST TOWN
36.address,5829 S ARCHER AVE,615 E 67TH ST
18.latitude,41.7978225881,41.6803322053
26.locationvalue,"(41.9025838739, -87.7236192485)","(41.972213557, -87.6596091001)"
494.address,1601 W GARrFIELD BLVD,1601 W GARFIELD BLVD
112.locationvalue,"(41.96601140v13, -87.8368311691)","(41.9660114013, -87.8368311691)"
136.locationvalue,"(41.975473986, -87.6596970117)","(41.9754753986, -87.6596970117)"
460.buffersize,***,B
158.communityareaname,NEAR NlORTH SIDE,NEAR NORTH SIDE
201.communityareaname,ASUTIN,AUSTIN
19.licenseid,1678043.0,491.0
28.ycoordinate,1942415.3164009475,1938086.668967148
16.communityarea,28.0,25
327.buffersize,,B
16.squarefeet,3500.0,58000.0
5.ycoordinate,1903410.3057540525,1921997.1068875587
21.address,5069 W MADISON ST,7400 S HALSTED ST
255.address,281 W 71ST ST,1281 W 71ST ST
445.communityarea,8,7
33.address,2751 W PRATT BLVD,1 N HALSTED ST
287.storename,SUPERMERCADO LA VcILLA,SUPERMERCADO LA VILLA
12.address,2534 W PETERSON AVE,2551 W 51ST ST
80.storename,ALDI INC# 62,ALDI INC # 62
435.xcoordinate,579576.4257149897,1167414.1208496818
202.communityarea,87,71
175.ward,89,37
441.address,2911 S ARCnHER AVE,2911 S ARCHER AVE
466.buffersize,zB,B
109.buffersize,wA,A
31.locationvalue,"(41.9415658578, -87.6688604029)","(41.9690466747, -87.654674059)"
420.address,6107 S ARCER AVE,6107 S ARCHER AVE
405.communityarea,156,57
175.communityarea,107,19
34.licenseid,54059.0,1299911.0
106.buffersize,kA,A
478.communityareaname,MORAN PARK,MORGAN PARK
194.locationvalue,"(41.8598459614, -87.705338554)***","(41.8598459614, -87.705338554)"
30.address,2534 W PETERSON AVE,2427 N CLARK ST
159.longitude,-80.7006046876642,-87.8331668434
24.ycoordinate,1942415.3164009475,1926214.300471872
128.longitude,-102.57963575876803,-87.7466186972
19.address,1340 S CANAL ST,1515 W DEVON AVE
360.longitude,-49.64876008640829,-87.6142509361
462.ward,97,38
126.address,10500 S MdICHIGAN AVE,10500 S MICHIGAN AVE
53.locationvalue,"(41.9375646502, -87.786054368)","(41.9375646502, -87.7860543686)"
242.storename,ALDI OODS #91,ALDI FOODS #91
127.communityareaname,OODLAWN,WOODLAWN
15.locationvalue,"(41.9095051477, -87.7469599363)","(41.9105746696, -87.6622352294)"
206.buffersize,oA,A
192.buffersize,,A
22.longitude,-87.7194165758,-87.6993783779
276.locationvalue,"(41.8087654583, -87.661701084)","(41.8087654583, -87.6611701084)"
181.storename,Dominck's #1703,Dominick's #1703
343.buffersize,wA,A
481.longitude,-121.70688254073471,-87.7977603483
436.buffersize,,A
298.communityarea,110,14
6.address,4821 W NORTH AVE,2610 W DEVON AVE
461.locationvalue,"(41.7357448514,- 87.6587177057)","(41.7357448514, -87.6587177057)"
418.locationvalue,"(1.8463298609, -87.7125513997)","(41.8463298609, -87.7125513997)"
22.latitude,41.763181195,41.8981068159
502.xcoordinate,683874.9180578502,1149504.572
37.locationvalue,"(41.9905852147, -87.6935345218)","(41.9030542001, -87.6947704208)"
237.longitude,-126.17068387875459,-87.6701349439
20.xcoordinate,1156842.0502440669,1150230.934098818
143.storename,SAV-EA-LOT  #851,SAVE-A-LOT  #851
199.communityareaname,PORATGE PARK,PORTAGE PARK
157.xcoordinate,704408.6300992076,1164854.8124137202
453.xcoordinate,1544712.4518048314,1167382.7587465665
377.longitude,-48.44715248066671,-87.7129012497
263.buffersize,gA,A
371.xcoordinate,669941.8225040562,1162748.6020481898
484.xcoordinate,1532389.5132812578,1127497.707449469
297.locationvalue,"(41.8313499001, -87.675847847)","(41.8313499001, -87.6758478479)"
312.communityareaname,GREATRE GRAND CROSSING,GREATER GRAND CROSSING
18.locationvalue,"(41.9095051477, -87.7469599363)","(41.6803322053, -87.6625846787)"
47.xcoordinate,1637201.6266929007,1153106.483285793
264.locationvalue,"(41.7e789401249, -87.7118685723)","(41.7789401249, -87.7118685723)"
88.buffersize,***,B
489.storename,K BgUENA,K BUENA
255.locationvalue,"(41.7649841814, -87.6573078048)","(41.7648941814, -87.6573078048)"
290.communityareaname,SOUHT LAWNDALE,SOUTH LAWNDALE
487.locationvalue,"(41.786024401, -87.710047774)","(41.786024401, -87.7106047774)"
464.communityareaname,HUMBOLDT PkARK,HUMBOLDT PARK
152.communityareaname,NORHT CENTER,NORTH CENTER
339.storename,P & I rFOOD & LIQUOR INC.,P & I FOOD & LIQUOR INC.
108.buffersize,***,B
264.xcoordinate,1595845.032933057,1153755.8092024382
5.address,2751 W PRATT BLVD,3300 N ASHLAND AVE
476.address,733n3 S STATE ST,7333 S STATE ST
297.buffersize,,A
439.communityareaname,LINCOLN aPARK,LINCOLN PARK
323.storename,LOUI'S GROCERIES,LOUIS' GROCERIES
25.locationvalue,"(41.9535544384, -87.7450553112)","(42.0088564722, -87.674080374)"
26.squarefeet,3500.0,10001.0
445.buffersize,,A
207.communityareaname,ROGERS PAKR,ROGERS PARK
471.locationvalue,"(41.9123117952,- 87.6345988555)","(41.9123117952, -87.6345988555)"
360.communityareaname,WOODLAWyN,WOODLAWN
304.xcoordinate,1036814.6592823565,1161297.751233976
21.squarefeet,3500.0,10001.0
98.xcoordinate,1343203.4709926653,1143245.243909306
479.xcoordinate,1527988.4631288163,1179014.4573692612
302.xcoordinate,753959.0235181283,1175903.1287106676
254.address,2858 E 8l3RD ST,2858 E 83RD ST
10.xcoordinate,1155046.9425476384,1133277.021480193
74.buffersize,***,B
31.ycoordinate,1914149.526732603,1932041.4567324752
406.xcoordinate,1092884.933418691,1183972.0905254784
330.longitude,-70.31305427724988,-87.7258584348
130.xcoordinate,1478444.7577235354,1150082.915412821
27.communityareaname,AUSTIN,SOUTH LAWNDALE
462.longitude,11.243354147700003,-87.7566458523
167.locationvalue,"(41.79529732, -87.58728256)","(41.79529732, -87.58782256)"
175.longitude,3.2248073190999946,-87.7751926809
51.xcoordinate,1792070.4579943924,1154336.8155672683
169.address,6452 N MILWAUKEEy AVE,6452 N MILWAUKEE AVE
35.licenseid,1409.0,25165.0
419.xcoordinate,1224906.478442179,1176227.7531051838
386.address,7432 W FOSTER AVE,7342 W FOSTER AVE
25.storename,ROMAN BROS1  INC,ROMAN BROS 1 INC
274.longitude,-46.742363887601904,-87.6146113644
26.address,4821 W NORTH AVE,4925 N BROADWAY
1.ycoordinate,1942415.3164009475,1899505.113898537
387.buffersize,aB,B
39.locationvalue,"(41.8009692763, -87.6887220987)","(41.7960196245, -87.7596833672)"
12.communityareaname,WEST RIDGE,GAGE PARK
13.latitude,41.763181195,41.8688897111
9.squarefeet,68000.0,3000.0
322.storename,LA GERRERENSE,LA GUERRERENSE
298.locationvalue,"(41.9682556374, k-87.7168773813)","(41.9682556374, -87.7168773813)"
13.communityareaname,ALBANY PARK,NEAR WEST SIDE
490.buffersize,***,A
390.locationvalue,"(42.010o9629527, -87.6742146577)","(42.0109629527, -87.6742146577)"
203.communityareaname,AUSTNI,AUSTIN
328.address,330 W 63RD ST,3307 W 63RD ST
27.address,4821 W NORTH AVE,3239 W 26TH ST
281.buffersize,***,B
209.longitude,-56.932197378126006,-87.6863782179
15.address,204 E 47TH ST,1558 N ELSTON AVE
8.address,2534 W PETERSON AVE,3626 W LAWRENCE AVE
38.licenseid,34508.0,1682475.0
461.longitude,-98.918356572275,-87.6587177057
324.communityareaname,PORTAGE PAKR,PORTAGE PARK
281.xcoordinate,1361082.6532928166,1173256.2444677488
445.longitude,-36.654627843,-87.654627843
94.address,3260 W 55nTH ST,3260 W 55TH ST
40.ycoordinate,1910159.1206884224,1931499.896546644
496.communityarea,54,30
334.storename,RITEPRICE FOOD,RITE PRICE FOOD
293.storename,SAHAR INTERNATqIONAL SUPERMARKET,SAHAR INTERNATIONAL SUPERMARKET
19.locationvalue,"(41.8645211937, -87.6393040996)","(41.9979934597, -87.6684278857)"
381.communityareaname,LINCOLN SQUdARE,LINCOLN SQUARE
57.communityareaname,ALBANY PAsRK,ALBANY PARK
298.xcoordinate,1561180.1230856103,1151894.1866127106
28.locationvalue,"(41.8009692763, -87.6887220987)","(41.985638421, -87.6550943233)"
483.buffersize,yB,B
23.ycoordinate,1910717.9026233568,1928863.7077261591
145.storename,BOCKWINEKLS,BOCKWINKELS
113.storename,SUPERMERCADO EL cGUERO NO. 8,SUPERMERCADO EL GUERO NO. 8
359.communityareaname,HEGEISCH,HEGEWISCH
353.locationvalue,"(41.7k789315569, -87.6984170935)","(41.7789315569, -87.6984170935)"
415.xcoordinate,1756312.3212620749,1165111.722796189
229.buffersize,***,A
344.address,2021 W CHICAGO AVeE,2021 W CHICAGO AVE
43.locationvalue,"(41.9314609382, -87.473717307)","(41.9314609382, -87.743717307)"
32.locationvalue,"(41.9095051477, -87.7469599363)","(41.9676291597, -87.7083036873)"
150.xcoordinate,929488.0204354001,1165383.8992395352
43.latitude,41.8645211937,41.9314609382
380.storename,THE PRODUCEC ENTER,THE PRODUCE CENTER
32.ycoordinate,1914149.526732603,1931413.945335908
75.locationvalue,"(41.6779860017, -87.63k62008551)","(41.6779860017, -87.6362008551)"
252.locationvalue,"(41.895314759, -87.720198415)","(41.895314759, -87.7201998415)"
90.locationvalue,"(41.8015768439, -87.653788478)","(41.8015768439, -87.6537884728)"
198.storename,SAVE-A-LOT #852,SAVE-A-LOT  #852
351.locationvalue,"(41m.7868526305, -87.6646155793)","(41.7868526305, -87.6646155793)"
19.ycoordinate,1916208.3653716687,1942560.4934320904
4.latitude,41.8645211937,41.79799187
11.ycoordinate,1910159.1206884224,1873949.3843109088
166.storename,TRADER OJE'S EAST,TRADER JOE'S EAST
10.address,1340 S CANAL ST,2520 N NARRAGANSETT AVE
15.xcoordinate,1183074.9839932893,1166918.6504769705
202.address,1853 W8 7TH ST,1853 W 87TH ST
84.locationvalue,"(41.7520053919, -78.5540154169)","(41.7520053919, -87.5540154169)"
372.communityarea,141,57
26.communityareaname,WEST RIDGE,UPTOWN
45.ycoordinate,1910159.1206884224,1890264.227542948
395.locationvalue,"(41.9101322404, -87.694600939)","(41.9101322404, -87.6946003939)"
317.xcoordinate,972437.5972872723,1161387.699220223
461.communityareaname,AUBURN GREpSHAM,AUBURN GRESHAM
142.storename,"MY RANC, INC.","MY RANCH, INC."
5.communityarea,2.0,6
462.communityareaname,PRTAGE PARK,PORTAGE PARK
18.address,5345 W OHIO ST,11730 S MARSHFIELD AVE
496.ward,97,28
34.locationvalue,"(41.8802960895, -87.7524941982)","(41.85128849, -87.72385084)"
427.locationvalue,"(41.9241891458, 87.7582297412)","(41.9241891458, -87.7582297412)"
334.communityareaname,AUSTN,AUSTIN
432.storename,The Uznit,The Unit
243.address,6z520 W FULLERTON AVE,6520 W FULLERTON AVE
248.communityareaname,NORTH LAWDNALE,NORTH LAWNDALE
462.censusblock,1.70311510011069E14,1.70311510011E14
246.longitude,-83.3443575032131,-87.6715720734
274.buffersize,,A
37.ycoordinate,1910159.1206884224,1907909.8300203527
231.communityareaname,EAST GARFIELD PARtK,EAST GARFIELD PARK
39.communityarea,3.0,56
245.communityarea,80,71
306.address,3048 W 26HT ST,3048 W 26TH ST
31.licenseid,1409.0,2013420.0
175.latitude,118.92059645820001,41.9205964582
4.address,1340 S CANAL ST,5220 S PULASKI RD
421.longitude,-57.70392770432495,-87.7243821794
458.address,2550 N CLYBOUR NAVE,2550 N CLYBOURN AVE
452.buffersize,fA,A
170.longitude,-116.09243065299454,-87.699931619
308.buffersize,zB,B
446.communityareaname,EW CITY,NEW CITY
428.address,317 E GARFIELD BwLVD,317 E GARFIELD BLVD
38.locationvalue,"(41.9977473006, -87.6952511581)","(41.763181195, -87.644215021)"
184.address,22 W MnAPLE ST,22 W MAPLE ST
75.storename,HE WAREHOUSE,THE WAREHOUSE
152.storename,ODMINICK'S # 86/1086,DOMINICK'S # 86/1086
310.buffersize,,B
62.communityareaname,NEAR NORTH SIvDE,NEAR NORTH SIDE
325.longitude,-130.9560548135188,-87.7053434771
27.licenseid,41674.0,4749.0
81.buffersize,***,A
172.communityarea,26,14
19.xcoordinate,1181566.4243909956,1164985.8850150076
28.longitude,-87.6684278857,-87.6550943233
227.buffersize,,A
486.longitude,-107.46863480263252,-87.673819384
91.communityareaname,BELMONT CRAGNI,BELMONT CRAGIN
498.longitude,-111.4652599653553,-87.7306750125
11.xcoordinate,1173296.1226284578,1178461.6344048942
176.xcoordinate,1481929.0059383637,1141369.1955228336
410.storename,DOMINIpCK'S #153/2153,DOMINICK'S #153/2153
399.storename,MI MEICO GROCERY,MI MEXICO GROCERY
445.latitude,51.9144237141,41.9144237141
44.storename,LOS mPOTRILLOS,LOS POTRILLOS
488.xcoordinate,563119.6770169872,1143769.2028091776
10.communityarea,50.0,19
88.xcoordinate,1696755.9164236172,1127474.9754439709
402.buffersize,***,B
477.buffersize,rA,A
40.locationvalue,"(41.9905852147, -87.6935345218)","(41.9677536575, -87.6881717161)"
462.censustract,17031151069,17031151001
316.longitude,-121.64707519911488,-87.7255969017
101.buffersize,***,A
76.address,112 N MAY TS,112 N MAY ST
340.address,2140 N EWSTERN AVE,2140 N WESTERN AVE
35.ycoordinate,1914149.526732603,1842808.58250396
175.zipcode,60708,60639
445.communityareaname,LINCcOLN PARK,LINCOLN PARK
405.storename,GILMART'S  FOOD & LIQURO,GILMART'S  FOOD & LIQUOR
319.address,804  CALIFORNIA AVE,804 S CALIFORNIA AVE
74.longitude,-61.99975549420842,-87.7732414533
498.xcoordinate,853906.8346630478,1148469.2529375516
358.buffersize,***,B
33.licenseid,39791.0,1273445.0
36.longitude,-87.7751926809,-87.6099733981
