objectid,unitid,unitname,polygon_id,polygon_id_alt_c,mtrx_conservation_score,mtrx_consump_use_score,mtrx_signal,rac_hydro_final_rating,rac_veg_category,rac_calc_adjac,rac_model_recommend,rac_edge_desig,no_action_recommend,gis_acres_wiu,alternative_b_recommend,mtrx_recommnd,poly_desg,polygon_id_alt_a,polygon_id_alt_b,polygon_id_alt_d,contig_wsa,polygon_idmce,mce_proposed,paltlwcfeis,contig_wsa_alt_a,shape_length,shape_area
24.0,OR-034-024,Burnt Mountain,Burnt Mountain,Burnt Mountain,18.1,26.5,Strong,2,II,I,2,Not Considered,1,7711.54608909194,1,1,WIU,Burnt Mountain,Burnt Mountain,Burnt Mountain,No,Burnt Mountain,1,2,No,46267.8119814052,-31207607.3262289
25.0,OR-034-071,Deadman Creek,Deadman Creek,Deadman Creek,16.1,28.4,Divergent,NR,II,III,2,Not Considered,1,27799.0224885268,1,1,WIU,Deadman Creek,Deadman Creek,Deadman Creek,No,Deadman Creek,Not Considered,2,No,106225.59187274,-112498687.067026
26.0,OR-034-023,Sand Hollow,Sand Hollow,Sand Hollow,17.0,24.6,Weak,2,II,I,2,Not Considered,1,11868.1083749788,1,2,WIU,Sand Hollow,Sand Hollow,Sand Hollow,No,Sand Hollow,2,2,No,35243.7784933523,-48028569.9644432
27.0,OR-034-031,Trail Creek,Trail Creek,Trail Creek,17.9,23.799999,Divergent,1,II,II,2,Not Considered,1,11278.6481402716,1,2,WIU,Trail Creek,Trail Creek,Trail Creek,No,Trail Creek,2,2,No,54510.6979565512,-45643125.4562946
28.0,OR-034-095,Bannock Ridge,Bannock Ridge,Bannock Ridge,22.5,30.9,Strong,2,II,I,2,2,1,9652.43403752785,1,2,WIU,Bannock Ridge,Bannock Ridge,Bannock Ridge,Yes,Bannock Ridge,2,2,Yes,34076.7443397775,-39062074.9663791
29.0,OR-036-039,Blue Mountain,Blue Mountain,Blue Mountain,11.0,21.799999,Strong,ND,II,I,2,Not Considered,1,70429.2098888858,1,2,WIU,Blue Mountain,Blue Mountain,Blue Mountain,No,Blue Mountain,2,2,No,86580.1727893019,-285016951.024126
30.0,OR-034-120,Saddle Butte Cont,Saddle Butte Cont,Saddle Butte Cont,18.0,25.9,Strong,NR,II,I,2,2,1,5637.72250134062,1,1,WIU,Saddle Butte Cont,Saddle Butte Cont,Saddle Butte Cont,Yes,Saddle Butte Cont,2,2,Yes,29303.0010265002,-22815068.3358874
31.0,OR-034-060,Clark Ranch,Clark Ranch,Clark Ranch,19.799999,23.200001,Divergent,ND,II,I,1,1,1,17442.8842402613,1,1,WIU,Clark Ranch,Clark Ranch,Clark Ranch,Yes,Clark Ranch,2,1,Yes,46459.9225462091,-70588876.0150945
32.0,OR-036-095,Little Groundhog Reservoir,Little Groundhog Reservoir,Little Groundhog Reservoir,15.6,27.4,Divergent,1,II H,III,2,Not Considered,1,5196.5740455944,1,1,WIU,Little Groundhog Reservoir,Little Groundhog Reservoir,Little Groundhog Reservoir,No,Little Groundhog Reservoir,1,2,No,25837.4591099646,-21029803.7362372
33.0,OR-034-059,Rinehart Creek,Rinehart Creek,Rinehart Creek,23.5,31.200001,Strong,NR,II,I,1,1,1,2635.416803072,1,1,WIU,Rinehart Creek,Rinehart Creek,Rinehart Creek,Yes,Rinehart Creek,1,1,Yes,15080.0084372636,-10665185.7689003
34.0,OR-034-007,West Fork Bendire,West Fork Bendire,West Fork Bendire,16.299999,23.9,Weak,1,II H,II,1,Not Considered,1,10013.6177228602,1,1,WIU,West Fork Bendire,West Fork Bendire,West Fork Bendire,No,West Fork Bendire,1,1,No,51817.0886335208,-40523790.3265126
35.0,OR-036-028,Rattlesnake Creek,Rattlesnake Creek,Rattlesnake Creek,16.5,24.6,Divergent,1,II,I,1,Not Considered,1,64665.5921211608,1,2,WIU,Rattlesnake Creek,Rattlesnake Creek,Rattlesnake Creek,No,Rattlesnake Creek,2,1,No,82302.740100292,-261692435.617074
36.0,OR-036-087,Willow Creek Cont A,Willow Creek Cont A,Willow Creek Cont A,9.8999996,20.9,Strong,1,II,I,1,Not Considered,1,383.601498899151,1,1,WIU,Willow Creek Cont A,Willow Creek Cont A,Willow Creek Cont A,Yes,Willow Creek Cont A,Not Considered,1,Yes,7345.13065706193,-1552382.88946617
37.0,OR-036-087,Willow Creek Cont B,Willow Creek Cont B,Willow Creek Cont B,9.8999996,20.9,Strong,NR,II,I,1,1,1,2.00256133630993,1,1,WIU,Willow Creek Cont B,Willow Creek Cont B,Willow Creek Cont B,Yes,Willow Creek Cont B,Not Considered,1,Yes,531.222550620594,8104.07820509578
38.0,OR-036-087,Willow Creek Cont C,Willow Creek Cont C,Willow Creek Cont C,9.8999996,20.9,Strong,NR,II,I,1,1,1,0.810427052370226,1,1,WIU,Willow Creek Cont C,Willow Creek Cont C,Willow Creek Cont C,Yes,Willow Creek Cont C,Not Considered,1,Yes,305.246086973272,3279.68192177115
39.0,OR-036-091,Owyhee River Cont D,Owyhee River Cont D,Owyhee River Cont D,10.0,16.4,Divergent,NR,I,I,1,Not Considered,1,6006.12170538682,1,1,WIU,Owyhee River Cont D,Owyhee River Cont D,Owyhee River Cont D,Yes,Owyhee River Cont D,1,1,Yes,37669.7806697558,24305912.1971607
40.0,OR-036-091,Owyhee River Cont C,Owyhee River Cont C,Owyhee River Cont C,10.0,16.4,Strong,NR,II H,I,1,Not Considered,1,29.0171156761309,1,2,WIU,Owyhee River Cont C,Owyhee River Cont C,Owyhee River Cont C,Yes,Owyhee River Cont C,1,1,Yes,1629.88469340264,117428.100933474
41.0,OR-036-091,Owyhee River Cont B,Owyhee River Cont B,Owyhee River Cont B,10.0,16.4,Divergent,NR,II,I,2,2,1,434.868644237695,1,2,WIU,Owyhee River Cont B,Owyhee River Cont B,Owyhee River Cont B,Yes,Owyhee River Cont B,1,2,Yes,6854.97720465351,-1759860.47914365
42.0,OR-036-091,Owyhee River Cont A,Owyhee River Cont A,Owyhee River Cont A,10.0,16.4,Divergent,NR,II,I,2,2,1,467.199356309092,1,1,WIU,Owyhee River Cont A,Owyhee River Cont A,Owyhee River Cont A,Yes,Owyhee River Cont A,1,2,Yes,17387.1456879012,-1890699.17258073
43.0,OR-036-092,Jordan Crators Cont A,Jordan Crators Cont A,Jordan Crators Cont A,18.6,23.0,Divergent,NR,III,I,2,2,1,574.239751981169,1,1,WIU,Jordan Crators Cont A,Jordan Crators Cont A,Jordan Crators Cont A,Yes,Jordan Crators Cont A,1,2,Yes,7909.23780472506,-2323878.59239162
44.0,OR-036-092,Jordan Crators Cont B,Jordan Crators Cont B,Jordan Crators Cont B,18.6,23.0,Divergent,NR,II,I,2,2,1,922.35161787152,1,2,WIU,Jordan Crators Cont B,Jordan Crators Cont B,Jordan Crators Cont B,Yes,Jordan Crators Cont B,1,2,Yes,8820.871555822,-3732629.55137228
45.0,OR-034-113,Blue Canyon Cont A,Blue Canyon Cont A,Blue Canyon Cont A,17.5,22.4,Divergent,NR,II,I,1,1,1,648.981449871468,1,1,WIU,Blue Canyon Cont A,Blue Canyon Cont A,Blue Canyon Cont A,Yes,Blue Canyon Cont A,1,1,Yes,6482.75457211983,2626334.74843081
46.0,OR-034-113,Blue Canyon Cont B,Blue Canyon Cont B,Blue Canyon Cont B,17.5,22.4,Divergent,NR,II,I,2,2,1,39.2430684644934,1,1,WIU,Blue Canyon Cont B,Blue Canyon Cont B,Blue Canyon Cont B,Yes,Blue Canyon Cont B,1,2,Yes,2045.29780176345,158811.063650218
47.0,OR-034-116,Honeycomb Cont,Honeycomb Cont,Honeycomb Cont,25.6,29.9,Strong,NR,II,I,1,1,1,372.178705133766,1,1,WIU,Honeycomb Cont,Honeycomb Cont,Honeycomb Cont,Yes,Honeycomb Cont,1,1,Yes,8264.76677124812,-1506166.7489849
48.0,OR-034-117,Dry Creek Buttes Cont,Dry Creek Buttes Cont,Dry Creek Buttes Cont,20.6,23.799999,Divergent,NR,II,I,1,1,1,2411.86903787475,1,1,WIU,Dry Creek Buttes Cont,Dry Creek Buttes Cont,Dry Creek Buttes Cont,Yes,Dry Creek Buttes Cont,1,1,Yes,14470.7428566178,-9760496.31740695
49.0,OR-036-093,Alvord Desert Cont A,Alvord Desert Cont A,Alvord Desert Cont A,15.4,21.0,Strong,NR,I,I,1,Not Considered,1,24.7022918577821,1,2,WIU,Alvord Desert Cont A,Alvord Desert Cont A,Alvord Desert Cont A,Yes,Alvord Desert Cont A,2,1,Yes,1603.24412142241,-99967.1179432635
50.0,OR-036-093,Alvord Desert Cont B,Alvord Desert Cont B,Alvord Desert Cont B,15.4,21.0,Strong,NR,II,I,1,1,1,320.815985093872,1,2,WIU,Alvord Desert Cont B,Alvord Desert Cont B,Alvord Desert Cont B,Yes,Alvord Desert Cont B,2,1,Yes,4836.63998964021,1298296.22968572
51.0,OR-036-032,Cherry Well A,Cherry Well A,Cherry Well A,18.0,24.200001,Divergent,NR,II,I,1,1,1,110.595190949933,1,2,WIU,Cherry Well A,Cherry Well A,Cherry Well A,Yes,Cherry Well A,2,1,Yes,3812.45912796558,447562.85878229
52.0,OR-036-035,Oregon Canyon Cont A,Oregon Canyon Cont A,Oregon Canyon Cont A,16.799999,27.4,Divergent,NR,II,I,1,1,1,9.60726153085706,1,1,WIU,Oregon Canyon Cont A,Oregon Canyon Cont A,Oregon Canyon Cont A,Yes,Oregon Canyon Cont A,1,1,Yes,1078.32732409521,38879.2080278253
53.0,OR-036-035,Oregon Canyon Cont B,Oregon Canyon Cont B,Oregon Canyon Cont B,16.799999,27.4,Divergent,NR,II,I,2,2,1,4.71871793316935,1,1,WIU,Oregon Canyon Cont B,Oregon Canyon Cont B,Oregon Canyon Cont B,Yes,Oregon Canyon Cont B,1,2,Yes,761.670333086016,19095.9739733404
54.0,OR-036-035,Oregon Canyon Cont C,Oregon Canyon Cont C,Oregon Canyon Cont C,16.799999,27.4,Divergent,1,I,I,1,Not Considered,1,10881.4289374727,1,1,WIU,Oregon Canyon Cont C,Oregon Canyon Cont C,Oregon Canyon Cont C,Yes,Oregon Canyon Cont C,1,1,Yes,46336.2459387681,-44035628.0128142
55.0,OR-036-035,Oregon Canyon Cont D,Oregon Canyon Cont D,Oregon Canyon Cont D,16.799999,27.4,Divergent,1,II,I,1,Not Considered,1,197.212939209078,1,1,WIU,Oregon Canyon Cont D,Oregon Canyon Cont D,Oregon Canyon Cont D,Yes,Oregon Canyon Cont D,1,1,Yes,4064.11424455871,798092.449618639
56.0,OR-036-035,Oregon Canyon Cont E,Oregon Canyon Cont E,Oregon Canyon Cont E,16.799999,27.4,Divergent,NR,II,I,2,2,1,15.2425184550199,1,1,WIU,Oregon Canyon Cont E,Oregon Canyon Cont E,Oregon Canyon Cont E,Yes,Oregon Canyon Cont E,1,2,Yes,1491.066388283,61684.2837032479
57.0,OR-036-035,Oregon Canyon Cont F,Oregon Canyon Cont F,Oregon Canyon Cont F,16.799999,27.4,Divergent,2,II,I,1,1,1,4276.94679699559,1,1,WIU,Oregon Canyon Cont F,Oregon Canyon Cont F,Oregon Canyon Cont F,Yes,Oregon Canyon Cont F,1,1,Yes,36025.2913196619,17308189.6136847
58.0,OR-036-044,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,17.299999,24.799999,Weak,NR,II,I,2,2,1,2097.81433693361,1,1,WIU,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,Twelve Mile Creek Cont A,Yes,Twelve Mile Creek Cont A,1,2,Yes,15308.8432226277,8489553.42242259
59.0,OR-036-044,Twelve Mile Creek Cont B,Twelve Mile Creek Cont B,Twelve Mile Creek Cont B,17.299999,24.799999,Weak,NR,III,I,1,1,1,724.194332640325,1,1,WIU,Twelve Mile Creek Cont B,Twelve Mile Creek Cont B,Twelve Mile Creek Cont B,Yes,Twelve Mile Creek Cont B,1,1,Yes,9359.59089036675,-2930721.22900146
60.0,OR-036-044,Twelve Mile Creek Cont C,Twelve Mile Creek Cont C,Twelve Mile Creek Cont C,17.299999,24.799999,Weak,1,II,I,1,Not Considered,1,6704.09361417962,1,2,WIU,Twelve Mile Creek Cont C,Twelve Mile Creek Cont C,Twelve Mile Creek Cont C,Yes,Twelve Mile Creek Cont C,1,1,Yes,33531.5855868749,27130504.2989136
61.0,OR-036-077,Lower Owyhee Cont,Lower Owyhee Cont,Lower Owyhee Cont,17.9,24.5,Weak,NR,II,I,1,1,1,1797.11580464253,1,1,WIU,Lower Owyhee Cont,Lower Owyhee Cont,Lower Owyhee Cont,Yes,Lower Owyhee Cont,1,1,Yes,13317.7404488453,-7272688.14630715
62.0,OR-036-008,Black Butte,Black Butte,Black Butte,17.0,22.299999,Divergent,NR,II,I,1,1,1,11752.3468650181,1,2,WIU,Black Butte,Black Butte,Black Butte,Yes,Black Butte,1,1,Yes,31109.6126466898,-47560080.0560317
63.0,OR-036-002,Twin Butte,Twin Butte,Twin Butte,15.9,20.0,Strong,NR,II,I,1,Not Considered,1,17682.5314054771,1,2,WIU,Twin Butte,Twin Butte,Twin Butte,No,Twin Butte,1,1,No,41155.417437294,-71558718.649757
64.0,OR-036-003,"Cairn ""C""","Cairn ""C""","Cairn ""C""",15.6,25.799999,Divergent,1,II H,I,1,Not Considered,1,8615.61917865573,1,2,WIU,"Cairn ""C""","Cairn ""C""","Cairn ""C""",No,"Cairn ""C""",1,1,No,28169.8680725207,-34866202.468318
65.0,OR-036-004,Oregon Butte,Oregon Butte,Oregon Butte,17.0,27.299999,Moderate,1,II,I,1,Not Considered,1,31585.0456260813,1,2,WIU,Oregon Butte,Oregon Butte,Oregon Butte,No,Oregon Butte,1,1,No,53400.8294216707,-127820159.427477
66.0,OR-036-005,Deer Flat,Deer Flat,Deer Flat,15.9,26.4,Divergent,1,I,I,1,Not Considered,1,12019.3926929167,1,2,WIU,Deer Flat,Deer Flat,Deer Flat,No,Deer Flat,1,1,No,35390.7042415142,-48640780.8183896
67.0,OR-036-015,Coyote Wells,Coyote Wells,Coyote Wells,17.5,25.5,Moderate,NR,II,I,2,Not Considered,1,6731.44374672853,1,1,WIU,Coyote Wells,Coyote Wells,Coyote Wells,No,Coyote Wells,1,2,No,21728.176765819,-27241222.1222651
68.0,OR-034-115,Lower Owyhee Canyon Cont A,Lower Owyhee Canyon Cont A,Lower Owyhee Canyon Cont A,14.3,17.1,Strong,NR,II,I,1,1,1,10.458695833543,1,1,WIU,Lower Owyhee Canyon Cont A,Lower Owyhee Canyon Cont A,Lower Owyhee Canyon Cont A,Yes,Lower Owyhee Canyon Cont A,1,1,Yes,1038.11936328049,42324.8404039014
69.0,OR-034-115,Lower Owyhee Canyon Cont D,Lower Owyhee Canyon Cont D,Lower Owyhee Canyon Cont D,14.3,17.1,Strong,1,II,I,1,Not Considered,1,159.094935294783,1,1,WIU,Lower Owyhee Canyon Cont D,Lower Owyhee Canyon Cont D,Lower Owyhee Canyon Cont D,Yes,Lower Owyhee Canyon Cont D,1,1,Yes,4027.42005361367,643834.360669004
70.0,OR-034-115,Lower Owyhee Canyon Cont E,Lower Owyhee Canyon Cont E,Lower Owyhee Canyon Cont E,14.3,17.1,Strong,NR,II,I,1,1,1,84.6930340283929,1,2,WIU,Lower Owyhee Canyon Cont E,Lower Owyhee Canyon Cont E,Lower Owyhee Canyon Cont E,Yes,Lower Owyhee Canyon Cont E,1,1,Yes,4247.48320138572,342740.548690344
71.0,OR-036-094,Disaster Peak Cont,Disaster Peak Cont,Disaster Peak Cont,13.6,26.0,Divergent,NR,II,I,2,2,1,51.8489250724044,1,2,WIU,Disaster Peak Cont,Disaster Peak Cont,Disaster Peak Cont,Yes,Disaster Peak Cont,2,2,Yes,1948.85866948003,-209827.370627988
72.0,OR-034-030,Sourdough Mountain,Sourdough Mountain,Sourdough Mountain,19.0,25.4,Moderate,NR,II,II,2,Not Considered,1,15339.1116623183,1,2,WIU,Sourdough Mountain,Sourdough Mountain,Sourdough Mountain,No,Sourdough Mountain,2,2,No,42958.3938089949,-62075244.7772249
73.0,OR-034-119,Sperry Creek Cont,Sperry Creek Cont,Sperry Creek Cont,16.9,26.1,Divergent,1,II,I,1,Not Considered,1,122.551165909225,1,2,WIU,Sperry Creek Cont,Sperry Creek Cont,Sperry Creek Cont,Yes,Sperry Creek Cont,2,1,Yes,3615.05345329722,495946.972832354
74.0,OR-036-087,Willow Creek Cont D,Willow Creek Cont D,Willow Creek Cont D,9.8999996,20.9,Strong,1,I,I,1,Not Considered,1,1151.11985275601,1,2,WIU,Willow Creek Cont D,Willow Creek Cont D,Willow Creek Cont D,Yes,Willow Creek Cont D,Not Considered,1,Yes,16309.5091537859,-4658484.45667759
75.0,OR-036-032,Cherry Well B,Cherry Well B,Cherry Well B,18.0,24.200001,Divergent,NR,II,I,2,2,1,3085.28604534839,1,2,WIU,Cherry Well B,Cherry Well B,Cherry Well B,Yes,Cherry Well B,2,2,Yes,37785.4510061978,-12485734.8987317
76.0,OR-036-032,Cherry Well C,Cherry Well C,Cherry Well C,18.0,24.200001,Divergent,NR,II,I,2,2,1,4753.7639547669,1,2,WIU,Cherry Well C,Cherry Well C,Cherry Well C,Yes,Cherry Well C,2,2,Yes,26370.6845657615,19237800.1909221
77.0,OR-036-052,Lower Cow Lake A,Lower Cow Lake A,Lower Cow Lake A,16.5,24.6,Divergent,NR,II H,I,1,Not Considered,1,592.751496522971,1,2,WIU,Lower Cow Lake A,Lower Cow Lake A,Lower Cow Lake A,Yes,Lower Cow Lake A,1,1,Yes,10133.0017121245,-2398785.30006051
78.0,OR-034-113,Blue Canyon Cont D,Blue Canyon Cont D,Blue Canyon Cont D,17.5,22.4,Divergent,NR,II,I,1,1,1,1034.38043516968,1,1,WIU,Blue Canyon Cont D,Blue Canyon Cont D,Blue Canyon Cont D,Yes,Blue Canyon Cont D,1,1,Yes,9467.07093025439,-4186010.22122072
79.0,OR-036-091,Owyhee River Cont F,Owyhee River Cont F,Owyhee River Cont F,10.0,16.4,Strong,ND,II,I,1,1,1,264.317034858825,1,1,WIU,Owyhee River Cont F,Owyhee River Cont F,Owyhee River Cont F,Yes,Owyhee River Cont F,1,1,Yes,5499.64818834066,-1069666.43897584
80.0,OR-036-091,Owyhee River Cont E,Owyhee River Cont E,Owyhee River Cont E,10.0,16.4,Strong,NR,II,I,1,1,1,130.519136706094,1,1,WIU,Owyhee River Cont E,Owyhee River Cont E,Owyhee River Cont E,Yes,Owyhee River Cont E,1,1,Yes,3644.85049546166,528192.20662516
81.0,OR-036-052,Lower Cow Lake C,Lower Cow Lake C,Lower Cow Lake C,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1,22.1171895686257,1,1,WIU,Lower Cow Lake C,Lower Cow Lake C,Lower Cow Lake C,Yes,Lower Cow Lake C,1,1,Yes,1376.56339644227,89505.0906512311
82.0,OR-036-052,Lower Cow Lake D,Lower Cow Lake D,Lower Cow Lake D,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1,74.438669580756,1,1,WIU,Lower Cow Lake D,Lower Cow Lake D,Lower Cow Lake D,Yes,Lower Cow Lake D,1,1,Yes,5578.42102708814,301242.608067794
83.0,OR-036-052,Lower Cow Lake E,Lower Cow Lake E,Lower Cow Lake E,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1,0.116529586936872,1,1,WIU,Lower Cow Lake E,Lower Cow Lake E,Lower Cow Lake E,Yes,Lower Cow Lake E,1,1,Yes,94.6588964400944,471.578507295098
84.0,OR-036-052,Lower Cow Lake F,Lower Cow Lake F,Lower Cow Lake F,16.5,24.6,Divergent,NR,I,I,1,Not Considered,1,0.460361344080478,1,1,WIU,Lower Cow Lake F,Lower Cow Lake F,Lower Cow Lake F,Yes,Lower Cow Lake F,1,1,Yes,256.285785032851,1863.01626191678
85.0,OR-036-068,Grassey,Grassey,Grassey,15.6,27.299999,Divergent,NR,II,II,2,Not Considered,1,11614.5589052793,1,2,WIU,Grassey,Grassey,Grassey,No,Grassey,2,2,No,46727.7415772237,-47002562.8742249
