Rank,Country,STOCK OF NARROW MONEY,Date of Information
52,Israel,"$45,460,000,000",31 December 2014 est.
53,Nigeria,"$45,440,000,000",31 December 2014 est.
54,Zimbabwe,"$43,430,000,000",31 December 2014 est.
55,Hungary,"$41,160,000,000",31 December 2014 est.
56,Slovakia,"$40,590,000,000",31 December 2014 est.
57,Chile,"$40,100,000,000",31 December 2014 est.
58,Ukraine,"$33,970,000,000",31 December 2014 est.
59,Peru,"$33,710,000,000",31 December 2014 est.
60,New Zealand,"$33,650,000,000",31 December 2014 est.
61,Qatar,"$32,590,000,000",31 December 2014 est.
62,Kuwait,"$32,420,000,000",31 December 2014 est.
63,Romania,"$30,090,000,000",31 December 2014 est.
64,Angola,"$29,550,000,000",31 December 2014 est.
65,Iran,"$26,390,000,000",31 December 2014 est.
66,Bulgaria,"$20,850,000,000",31 December 2014 est.
67,Kazakhstan,"$20,400,000,000",31 December 2014 est.
68,Bangladesh,"$19,690,000,000",31 December 2014 est.
69,Azerbaijan,"$18,010,000,000",31 December 2014 est.
70,Lithuania,"$15,920,000,000",31 December 2014 est.
71,Burma,"$15,190,000,000",31 December 2014 est.
72,Jordan,"$13,520,000,000",31 December 2014 est.
73,Tunisia,"$13,220,000,000",31 December 2014 est.
74,Slovenia,"$12,080,000,000",31 December 2014 est.
75,Ethiopia,"$11,310,000,000",31 December 2014 est.
76,Kenya,"$11,300,000,000",31 December 2014 est.
77,Oman,"$11,180,000,000",31 December 2014 est.
78,Croatia,"$10,860,000,000",31 December 2014 est.
79,Ecuador,"$10,810,000,000",31 December 2014 est.
80,Estonia,"$10,800,000,000",31 December 2014 est.
81,Latvia,"$10,150,000,000",31 December 2014 est.
82,Guatemala,"$8,905,000,000",31 December 2014 est.
83,Sudan,"$8,459,000,000",31 December 2014 est.
84,Bolivia,"$8,362,000,000",31 December 2014 est.
85,Cote d'Ivoire,"$8,227,000,000",31 December 2014 est.
86,Bahrain,"$7,996,000,000",30 September 2014 est.
87,Uzbekistan,"$7,605,000,000",31 December 2014 est.
88,Macau,"$7,170,000,000",31 December 2014 est.
89,Trinidad and Tobago,"$7,095,000,000",31 December 2014 est.
90,Syria,"$7,001,000,000",31 December 2014 est.
91,Panama,"$6,887,000,000",31 December 2014 est.
92,Afghanistan,"$6,121,000,000",31 December 2012 est.
93,Yemen,"$5,845,000,000",31 December 2014 est.
94,Dominican Republic,"$5,621,000,000",31 December 2014 est.
95,Malta,"$5,574,000,000",31 December 2014 est.
96,Papua New Guinea,"$5,388,000,000",31 December 2014 est.
97,Mozambique,"$5,267,000,000",31 December 2014 est.
98,Uruguay,"$5,201,000,000",31 December 2014 est.
99,Lebanon,"$5,120,000,000",11 December 2014 est.
100,Ghana,"$5,119,000,000",31 December 2014 est.
101,Paraguay,"$4,899,000,000",31 December 2014 est.
102,Tanzania,"$4,799,000,000",31 December 2014 est.
103,Costa Rica,"$4,700,000,000",31 December 2014 est.
104,Bosnia and Herzegovina,"$4,663,000,000",31 December 2014 est.
105,Cyprus,"$4,554,000,000",31 December 2014 est.
106,Serbia,"$4,483,000,000",31 December 2014 est.
107,Iceland,"$4,310,000,000",31 December 2014 est.
108,Senegal,"$4,086,000,000",31 December 2014 est.
109,Sri Lanka,"$4,037,000,000",31 December 2014 est.
110,"Congo, Republic of the","$3,894,000,000",31 December 2014 est.
111,Namibia,"$3,867,000,000",31 December 2014 est.
112,Cameroon,"$3,861,000,000",31 December 2014 est.
113,Nepal,"$3,808,000,000",31 December 2014 est.
114,Belarus,"$3,753,000,000",31 December 2014 est.
115,Brunei,"$3,531,000,000",31 December 2014 est.
116,Equatorial Guinea,"$3,363,000,000",31 December 2014 est.
117,El Salvador,"$3,057,000,000",31 December 2014 est.
118,Gabon,"$2,983,000,000",31 December 2014 est.
119,Albania,"$2,895,000,000",31 December 2014 est.
120,Mali,"$2,833,000,000",31 December 2014 est.
121,Mauritius,"$2,666,000,000",31 December 2014 est.
122,Georgia,"$2,632,000,000",31 December 2014 est.
123,Benin,"$2,509,000,000",31 December 2014 est.
124,Zambia,"$2,466,000,000",31 December 2014 est.
125,Uganda,"$2,451,000,000",31 December 2014 est.
126,Moldova,"$2,102,000,000",31 December 2014 est.
127,Burkina Faso,"$2,013,000,000",31 December 2014 est.
128,Honduras,"$2,006,000,000",31 December 2014 est.
129,Jamaica,"$1,994,000,000",31 December 2014 est.
130,Eritrea,"$1,991,000,000",31 December 2014 est.
131,Fiji,"$1,931,000,000",31 December 2014 est.
132,Guinea,"$1,916,000,000",31 December 2014 est.
133,South Sudan,"$1,873,000,000",31 December 2013
134,Barbados,"$1,848,000,000",31 December 2014 est.
135,Chad,"$1,746,000,000",31 December 2014 est.
136,"Bahamas, The","$1,659,000,000",31 December 2014 est.
137,Laos,"$1,629,000,000",31 December 2014 est.
138,Madagascar,"$1,611,000,000",31 December 2014 est.
139,Tajikistan,"$1,598,000,000",31 December 2014 est.
140,Macedonia,"$1,568,000,000",31 December 2014 est.
141,Kyrgyzstan,"$1,563,000,000",31 December 2014 est.
142,Niger,"$1,534,000,000",31 December 2014 est.
143,Botswana,"$1,465,000,000",31 December 2014 est.
144,Armenia,"$1,378,000,000",31 December 2014 est.
145,Cambodia,"$1,354,000,000",31 December 2014 est.
146,Turkmenistan,"$1,255,000,000",31 December 2014 est.
147,"Congo, Democratic Republic of the","$1,231,000,000",31 December 2014 est.
148,Mongolia,"$1,184,000,000",31 December 2014 est.
149,Haiti,"$1,125,000,000",31 December 2014 est.
150,Togo,"$1,105,000,000",31 December 2014 est.
151,Djibouti,"$1,011,000,000",31 December 2014 est.
152,Aruba,"$957,900,000",31 December 2013 est.
153,Cuba,"$924,800,000",31 December 2014 est.
154,Nicaragua,"$919,600,000",31 December 2014 est.
155,Rwanda,"$833,000,000",31 December 2014 est.
156,Montenegro,"$749,000,000",31 December 2011 est.
157,Bhutan,"$636,000,000",31 December 2014 est.
158,Maldives,"$623,000,000",31 December 2013 est.
159,Guyana,"$603,400,000",31 December 2014 est.
160,Belize,"$583,500,000",31 December 2014 est.
161,Cabo Verde,"$579,400,000",31 December 2014 est.
162,Malawi,"$578,500,000",31 December 2014 est.
163,Liberia,"$512,000,000",31 December 2014 est.
164,Swaziland,"$453,500,000",31 December 2014 est.
165,Sierra Leone,"$448,300,000",31 December 2014 est.
166,Seychelles,"$435,100,000",31 December 2014 est.
167,Lesotho,"$425,900,000",31 December 2014 est.
168,Solomon Islands,"$404,900,000",31 December 2014 est.
169,Burundi,"$394,900,000",31 December 2014 est.
170,Guinea-Bissau,"$384,800,000",31 December 2014 est.
171,Cayman Islands,"$334,300,000",31 December 2008
172,Vanuatu,"$283,700,000",31 December 2014 est.
173,West Bank,"$269,200,000",31 December 2014 est.
174,Saint Lucia,"$257,300,000",31 December 2014 est.
175,Timor-Leste,"$241,400,000",31 December 2014 est.
176,Antigua and Barbuda,"$233,900,000",31 December 2014 est.
177,"Gambia, The","$217,500,000",31 December 2014 est.
178,Saint Kitts and Nevis,"$212,300,000",31 December 2014 est.
179,Central African Republic,"$196,600,000",31 December 2014 est.
180,Comoros,"$171,900,000",31 December 2014 est.
181,Saint Vincent and the Grenadines,"$151,700,000",31 December 2014 est.
182,Grenada,"$148,900,000",31 December 2014 est.
183,Samoa,"$106,900,000",31 December 2014 est.
184,Tonga,"$100,800,000",31 December 2014 est.
185,Dominica,"$88,000,000",31 December 2014 est.
186,Sao Tome and Principe,"$67,450,000",31 December 2014 est.
187,Cook Islands,"$38,990,000",31 December 2011 est.
188,Montserrat,"$21,760,000",31 December 2014 est.
189,Anguilla,"$16,700,000",31 December 2014 est.
190,Suriname,"$1,484,000",31 December 2014 est.
