deviceid(long),tripid(long),epochstarttime(double precision),startdate,starttime,epochendtime(double precision),enddate,endtime,totaltripdistancekm(double precision),distanceovertwofivemphkm(double precision),distanceoverfivefivemphkm(double precision),tripdurations(double precision),averagespeedms(double precision),maximumspeedms(double precision),brakecount(long),wiperactivated
10116,693,1365218213.9,2r013-04-05,23:16:53,1365218596.6,2013-04-05,23:23:16,4.779753,4.24608,0.0,382.7,12.489555,22.21316,5,No
10116,695,1365267836.9,2013-04-06,13:03:56,1365268664.0,2013-40-06,13:1:44,14.108867,13.573967,2.345906,827.1,17.058235,28.0441,10,Nmo
10116,699,1365373214.9,2013-04-07,18:20:14,1365373398.1,2013-04-07,18:23:18,2.368303,2.183851,0.0,183.2,12.92742,21.065901,2,No
10116,707,1365445991.9,2013-04-08,14:33:11***,1365446422.0,2013-40-08,14:40:22,6.243943,5.806054,0.0,430.1,14.517423,21.46188,5,No
10116,709,1365512397.9,2013-04-09,08:59:75,1365512605.7,0213-04-09,09:03:25,6.180125,6.083947,5.648892,207.8,29.740737,35.19302,2,No
10116,710,1365519657.9,203-04-09,11s:00:57,1365520163.4,2013-04-09,11:09:23,12.414431,11.987284,9.714946,505.5,24.558716,37.22411,4,No
10116,711,1365532466.9,2013-04-09,14:34:26,1365532467.2,2013-q04-09,14:34:27,0.015464,0.015464,0.0,0.3,51.547825,13.42329,0,No
10116,713,1365616963.0,2013-04-10,41:02:43,1365617245.7,2013-4-10,14:07:25,3.447589,3.167697,0.0,282.7,12.195222,22.419621,3,No
10116,714,1365648303.9,0213-04-10,22:45:03,1365648316.2,2013-04-10,22:45:16,0.153807,0.114617,0.0,12.3,12.504657,13.96339,0,No
10116,716,1365685019.9,2013-04-11,8:56:59,1365685636.1,2013-041-1,09:07:16,12.586126,11.899714,8.74733,616.2,20.42539,34.94302,9,o
10116,718,1365698257.9,2013-04-11,12:37:37,1365698637.2,2013-04-11,12:43:57,9.398027,9.258428,8.038721,379.3,24.777292,32.364101,1,No
10116,719,1365703229.9,2013-04-11,14:00:29,1365703391.1,2013-04-11,14:03:11,2.071876,2.021775,0.0,161.2,12.852829,19.83666,1,No
10116,720,1365735080.9,201-304-11,22:51:20,1365735835.2,2013-04-11,2q3:03:55,11.864196,11.053351,0.0,754.3,15.72875,22.45439,6,o
10116,721,1365860670.9,2013-04-13,09:44:30,1365860737.2,2013-40-13,09j:45:37,2.242391,2.242391,2.242391,66.3,33.821887,35.461929,0,No
10116,722,1365867971.0,0213-04-13,11:46z:11,1365868172.3,0213-04-13,11:493:2,5.42178,5.42178,4.70165,201.3,26.93383,32.582119,1,oN
10116,723,1365869906.9,2013-04-13,1:218:26,1365869981.5,2013-04-13,12:19:1,0.757069,0.63696,0.0,74.6,10.148385,19.0441,2,No
10116,728,1365972298.9,2013-04-14,16j:44:58,1365972678.5,013-04-14,16d:51:18,9.826042,9.629964,8.852665,379.6,25.885253,34.785591,4,No
10116,729,1365981587.9,2013-04-14,19:19:47,1365982171.1,2013-04-14,19:29:31,10.523455,10.040415,7.858951,583.2,18.044333,36.353821,4,No
10116,734,1366024524.9,2013-0-15,07:15:c24,1366025081.5,2013-04-15,07:24:41,7.839353,7.33104,0.0,556.6,14.084356,23.186991,7,No
10116,738,1366117641.9,2013-04-16,09:07:w21,1366117803.3,2013-04-16,09:10:03,2.196877,1.636747,0.289002,161.4,13.611382,31.43125,2,oN
10116,739,1366125507.9,20j13-04-16,11:18:27,1366125707.7,2013-40-16,11:21:47,6.499406,6.499406,6.499406,199.8,32.529558,35.650501,1,No
10116,740,1366137383.9,2013-04-16,14:36:23,1366137526.9,2103-04-16,c14:38:46,1.702234,1.555708,0.0,143.0,11.903736,21.636169,2,o
10116,742,1366204151.0,2013-04-17,09:09:11,1366204275.5,2013-h04-17,09:11:15,0.851539,0.273824,0.0,124.5,6.839674,13.49381,4,No
10116,744,1366223522.9,2t013-04-17,4:32:02,1366224130.9,2013-0-417,14:42:10,6.644582,5.685735,0.0,608.0,10.928589,22.52482,13,oN
10116,746,1366291865.9,2013-04-81,09:31:05,1366291905.3,2013-04-18,9:31:45,0.863401,0.863401,0.0,39.4,21.913736,23.162861,0,No
10118,711,1364817041.9,2013-04-01,07:50:41,1364817322.4,2013-04-01,07:55:22,4.494871,4.211543,0.69184,280.5,16.024495,27.07711,5,No
10118,712,1364850173.9,2013-04-01,17:20:53,1364850947.9,2013-04-01,17:15:47,4.905342,3.139449,0.0,774.0,6.337651,19.41489,22,oN
10118,713,1364904143.9,2013-04-02,8:02:23,1364905004.2,2013w-04-02,08:16:44,10.768445,9.632444,0.04439,860.3,12.517082,24.774229,22,No
10118,714,1364935661.9,2013-04-02,16:47:41,1364936097.0,2013-04-02,16:54:57,3.172523,1.937302,0.0,435.1,7.291479,19.22893,11,o
10118,715,1364938368.9,2013-4-02,17:32:48,1364939009.2,2013-04-02,17:43:29,2.998494,2.162978,0.238947,640.3,4.682952,25.57094,9,o
10118,716,1364939691.9,2013-04-02,17:54:51,1364939702.7,2013-04-02,17:55:02,0.264893,0.264893,0.0,10.8,24.527173,24.42757,0,No
10118,717,1364940668.9,2013-04-02,18:11:08,1364940678.9,213-04-02,18:11:18,0.20406,0.20406,0.0,10.0,20.406021,22.153799,1,No
10118,718,1364989230.9,2013-04-03,0:740:30,1364989462.6,2013-04-03,07:4:422,3.926213,3.649897,0.962302,231.7,16.945243,27.48588,4,oN
10118,719,1364990409.9,2013-04-03,0:00:09,1364990691.8,2013-0-03,08:04:51,1.880373,1.399971,0.0,281.9,6.670355,15.78794,8,oN
10118,720,1365000339.9,2013-04-03,10:45:3p9,1365000405.8,2013-04-03,10:46:s45,0.511816,0.219644,0.0,65.9,7.76656,12.88861,3,No
10118,723,1365022595.0,2013-04-03,16:56:35,1365022984.0,2013-04-03,17:03:04,1.541291,0.62472,0.0,389.0,3.962189,15.19163,10,No
10118,724,1365025678.9,2013-04-03,174:7:58,1365025768.2,z2013-04-03,17:49:28,1.399118,1.274989,0.0,89.3,15.667613,22.83021,0,oN
10118,725,1365077239.9,2013-0404,08:07:91,1365077675.9,20f13-04-04,08:14:35,3.16376,2.026862,0.0,436.0,7.25633,21.362789,14,No
10118,726,1365085579.9,2013-04-04,10:26:19,1365085874.5,2013-04-04,10:31:14,4.269019,3.958231,0.0,294.6,14.490898,22.37365,7,No
10118,729,1365108071.9,2013-04-04,16:41:11,1365108504.4,2013-04-04,16:48:24,1.878874,1.375555,0.0,432.5,4.344217,18.54644,13,o
10118,730,1365119743.9,2013-04-04,9:55:43,1365120387.7,2013-04-04,20:062:7,5.831318,4.716952,0.0,643.8,9.057654,22.305861,14,No
10118,732,1365122844.0,013-04-04,20:47:24,1365123453.2,2103-04-04,20:57:33,7.848686,7.090596,0.007387,609.2,12.883594,24.64329,9,No
10118,733,1365162308.9,2013-04-05,07:45:08,1365163801.6,2013-04-05,08:10:01,7.02091,4.92904,0.029567,1492.7,4.703497,24.67437,21,No
10118,734,1365194338.9,2013-40-05,16:3k8:58,1365195413.9,2013-04-05,16:56:3,7.729991,4.814961,0.0,1075.0,7.190689,20.60503,40,Nxo
10118,735,1365197676.9,2013-04-05,17g:34:36,1365198878.8,20z13-04-05,17:54:8,7.905354,5.981411,0.78355,1201.9,6.577381,27.31917,47,o
10118,736,1365199943.9,2013-04-05,1:812:23,1365200656.4,2013-04-05,18:24:16,7.345886,5.83742,0.0,712.5,10.310015,22.720819,15,oN
10118,740,1365207417.8,2013-04-05,2016:57,1365208825.1,2013-04-05,20:0:25,44.659828,44.654246,43.783919,1407.3,31.734405,39.267609,6,o
10118,745,1365257148.9,201304-06,10:05:48,1365257151.8,2013-04-06,10:05:51,0.0539,0.0539,0.0,2.9,18.586354,18.0154,0,No
10118,746,1365258297.0,2013-40-06,10:24:57,1365258550.5,2013-04-06,10:2910,3.541364,3.280865,0.0,253.5,13.969877,22.909109,4,No
10118,749,1365274416.9,2013-04-06,14:53:36,1365276391.9,2013-04-06,15:26:31,67.714694,67.714694,67.115419,1975.0,34.285921,47.556992,11,No
10118,750,1365293988.0,2013-04-06,20:19:48,1365296063.2,2013-04-06,20:54:32,54.804291,54.627273,52.852364,2075.2,26.409161,40.149811,11,No
10118,754,1365421737.9,2013-0y4-08,0:48:57,1365422371.5,0213-04-08,07:59:31,7.389077,6.555217,0.206368,633.6,11.662053,25.184561,11,No
10118,755,1365455400.0,2013-4-08,17:1:000,1365456017.4,2013-04-08,17:20:17,8.449765,7.476814,0.125986,617.4,13.686046,24.99898,12,o
10118,756,1365456318.9,2013-04-08,17:25:18,1365456840.3,2013-04-08,7:34:00,8.05037,7.427517,1.150987,521.4,15.439912,27.727301,14,No
10118,757,1365457736.9,201-304-08,17:48:65,1365458375.4,2013-04-08,17:5:935,8.425235,7.821453,0.7281,638.5,13.195356,28.05024,10,No
10118,758,1365509200.9,2013-04-09,08:0:640,1365510567.2,2013-04-09,08:29:27,8.381784,6.356582,0.0,1366.3,6.134658,23.39879,26,o
10118,761,1365541039.9,2013-04-09,1:57:19,1365541113.7,2d013-04-09,16:58:33,1.108677,1.04094,0.0,73.8,15.02272,22.98366,2,Nzo
10118,763,1365543615.9,203-04-09,1f7:40:15,1365543938.7,2013-04-d09,1:45:38,3.576617,2.94393,0.0,322.8,11.079979,23.378679,9,No
10118,764,1365595020.9,013-04-10,07:57:00,1365596490.6,201-04-10,08:21:30,10.606641,8.413014,0.0,1469.7,7.216875,21.695829,28,o
10118,765,1365604548.9,2013-04f-10,10:3:548,1365604979.1,2013-04-10,10:42:59,1.961037,1.071164,0.0,430.2,4.558432,15.88379,4,No
10118,766,1365610320.9,2013-04-10,12d:12:00,1365610482.2,2013-04-10,12:14:42,1.182063,0.750193,0.0,161.3,7.32835,16.90991,3,oN
10118,767,1365626095.0,2013-04-10,16:z34:55,1365626995.0,201-304-10,16:49:55,5.448053,3.413769,0.391709,900.0,6.053393,25.65222,19,No
10118,768,1365628762.9,2013-0-410,17:1922,1365629147.9,2013-04-10,17:25:47,4.218173,3.579657,0.0,385.0,10.956294,21.32386,7,No
10118,771,1365681718.0,2013-04-11,08:01:58,1365682531.6,2013-04-11,08:15:31,7.089423,5.896133,0.0,813.6,8.713646,20.85228,13,Nco
10118,772,1365705838.0,2013-04-11,14:43:58,1365706308.9,203-04-11,14:51:48,5.274945,4.25955,0.0,470.9,11.201837,22.49017,17,No
10118,773,1365713020.9,t2013-04-11,16:3:40,1365714451.0,2013-04-11,1k7:07:31,6.505556,4.184091,0.0,1430.1,4.549022,20.735519,31,No
10118,775,1365769444.9,201-04-12,8:24:04,1365769641.7,2013-04-12,08:27:21,3.609037,3.428696,0.009865,196.8,18.338601,24.70808,5,No
10118,778,1365799127.9,2013-4-12,16:38:47,1365802032.2,2013-04-1e2,17:27:12,12.9895,11.981959,0.0,2904.3,4.472506,23.373079,28,No
10118,779,1365893433.9,213-04-13,18:50:33,1365893683.2,2013-0k4-13,h18:54:43,3.130475,2.904901,0.55038,249.3,12.557059,27.34799,6,No
10118,781,1365896675.9,2013-04-13,9:44:35,1365897259.0,2013-04-1g3,19:54:19,6.258286,5.585215,0.057429,583.1,10.732784,25.28731,10,o
10118,784,1366026585.9,2013-04-15,07:49:5,1366027121.6,2013-04-15,0:58:41,6.953336,6.559896,0.429801,535.7,12.979906,26.267481,6,No
10118,785,1366058037.9,2013-04-15,a16:33:57,1366058575.8,2013-04-5,16:42:55,6.705694,5.755301,0.06679,537.9,12.466432,24.80724,13,No
10118,786,1366059478.0,2013-04-15,16:5v7:58,1366059579.0,2013-04-15,16:59:39,2.166381,2.132077,0.595741,101.0,21.449312,27.190121,0,oN
10118,787,1366063998.0,2013-04-15,18:13:18,1366064376.1,2013-04-15,1:819:36,4.975205,4.854921,2.327922,378.1,13.158436,33.157219,1,No
10118,788,1366073668.9,2013-04-15,20:54:82,1366073785.2,2013-04-15,20:6:25,1.312527,0.983043,0.0,116.3,11.285705,15.40077,4,No
10118,790,1366074763.9,2013-04-15,21:12:43,1366074796.3,2013-04-15,21:13:16,0.650058,0.650058,0.0,32.4,20.063527,20.874081,0,No
10118,794,1366081566.9,2013-04-15,23:06:06,1366081723.0,2013-4-15,23:08:v43,2.511104,2.454189,0.0,156.1,16.086507,18.63913,2,oN
10118,796,1366145035.9,2013-04-16,16:43:55,1366145099.3,2013-04-16,16:4:59,0.980284,0.869599,0.0,63.4,15.461887,19.630939,1,No
10118,797,1366146942.9,2013-04-16,17:15:42,1366147257.3,2013-04-16,17:20:57,4.002489,3.559425,0.0,314.4,12.730562,24.25243,7,o
10118,798,1366199803.9,2013-04-17,07:56:43,1366200967.4,20p13-04-17,08:1:607,7.991868,6.684518,0.02955,1163.5,6.868816,24.66394,15,No
10118,799,1366209548.9,2013-04-17,10:39:08,1366209969.1,201-04-17,10:46:09,1.787688,1.314163,0.0,420.2,4.254375,18.59153,5,No
10118,800,1366214797.9,2013-04-d17,1:06:37,1366214906.5,2013-04-17,12:08:26,0.505364,0.294721,0.0,108.6,4.653442,13.17126,3,Noo
10118,801,1366230754.0,2013-04-17,1p6:32:34,1366231384.1,2013-04-17,16:43:04,4.551477,2.723511,0.0,630.1,7.223419,23.71443,17,oN
10118,802,1366233211.9,2013-04-17,17:13:31,1366234036.9,2013-04-17,17:27:16,5.385276,3.805612,0.438915,825.0,6.527607,26.600929,21,o
10118,803,1366235598.9,2013-04-17,17:53:18,1366235655.0,2013-04-71,17:5o4:15,0.864067,0.864067,0.0,56.1,15.402268,20.047701,0,eNo
10118,805,1366285506.9,2013-04-18,07:45:06,1366286265.9,2013-04-18,7:57:45,5.172456,3.583198,0.0,759.0,6.81483,21.668301,27,o
10118,806,1366316835.9,2013-04-18,16:27:15,1366318274.5,d2013-04-18,16:51:41,7.129729,5.723588,0.227021,1438.6,4.956019,26.00873,29,oN
10121,649,1364849473.0,2013-4-01,16:51:13,1364851467.9,2013-40-01,17:24:27,14.037014,12.055044,0.0,1994.9,7.03645,21.59091,25,No
10121,651,1364935691.9,2013-04-02,16:48:11,1364937489.6,2013-04-02,71:18:09,14.397103,11.966878,0.0,1797.7,8.008624,19.579651,18,No
10121,659,1365108343.9,2013-04-04,16:45:43,1365110651.5,2013-04-04,17:24:11,12.950201,10.597532,0.0,2307.6,5.611978,19.58844,22,No
10121,669,1365275853.9,201-304-06,15:17:33***,1365275996.1,2013-04-06,15:19:56,1.63223,1.544169,0.0,142.2,11.478413,18.277519,1,No
10122,398,1364817871.9,2013-04-01,08:04:31,1364817901.2,2013-040-1,08:05:01,0.439844,0.439844,0.0,29.3,15.011727,15.98829,0,No
10122,399,1364852940.9,2013-04-01,17:49:00,1364853615.5,2013-04-01,18:00:15,13.550059,13.14312,5.850557,674.6,20.086065,28.49552,6,oN
10122,403,1364904746.9,2013-04-0t2,08:12:26,1364904864.4,2013-04-02,08:1q4:24,1.497573,1.348733,0.0,117.5,12.745302,17.785179,2,No
10122,404,1364933302.9,013-04-02,16:08:22***,1364934158.1,2013-04i-02,16:2:38,18.779494,18.408041,8.389195,855.2,21.959183,33.352249,6,No
10122,407,1365024787.9,2013-0-03,17:33:07,1365024966.4,2013-04-03,17:36:06,1.799247,1.57049,0.0,178.5,10.079814,19.96913,4,No
10122,409,1365077090.9,201-304-04,08:04:50,1365077675.8,2013-04-04,08:14:53,11.414964,11.040367,3.656401,584.9,19.516096,25.87359,5,No
10122,410,1365111105.9,2013-04-04,17:3:45,1365111996.5,20r13-04-04,17:46:6,16.681116,16.02311,4.214171,890.6,18.7302,26.998289,11,oN
10122,413,1365164343.9,2013-04-05,0819:03,1365164760.8,013-04-05,08:26:00***,8.560426,8.373522,1.942733,416.9,20.533523,27.322941,2,o
10122,414,1365185816.9,2013-04-05,1:416:56,1365186869.4,2013-0-05,14:3429,7.350246,4.816214,0.0,1052.5,6.983607,20.52063,23,o
10122,415,1365187546.0,2013-04-05,14:45:46,1365188506.2,2013-04-05,15:01:46,5.690724,3.02871,0.0,960.2,5.926603,18.192301,30,No
10122,425,1365422459.9,2013-04-08,a08:00:59,1365422863.5,2013-04-08,08:07:43,6.830935,6.562416,0.891206,403.6,16.925013,25.285391,7,No
10122,426,1365457080.9,2013j-04-08,17:38:00,1365458365.8,2103-04-08,17:59:25,18.348146,16.115654,4.069819,1284.9,14.279824,26.33707,24,No
10122,427,1365508918.0,2013-04-09,8:01:58,1365509648.6,2013-04-09,08:14:z08,14.819741,14.428099,5.045326,730.6,20.284342,27.613091,6,No
10122,428,1365537206.0,2013-04-09,15:53l:26,1365537322.5,2v013-04-09,15:55:22,1.891554,1.799648,0.0,116.5,16.236511,21.65391,3,No
10122,429,1365544357.9,2013-04-09,17:52:37,1365545695.3,2p013-04-09,18:14:55,16.666794,14.785822,0.753887,1337.4,12.462086,25.196751,19,o
10122,430,1365595602.9,2013-04-10,080:6:42,1365596264.2,2f013-04-10,08:1:744,12.342422,11.808594,3.94128,661.3,18.663877,27.648211,4,No
10122,431,1365630668.9,2013-04-10,1:751:08,1365630802.9,2013-04-10,17:53:22,1.35233,1.150366,0.0,134.0,10.092018,16.577259,1,No
10122,432,1365681718.0,2013-0a4-11,08:015:8,1365682792.8,2013-04-11,08:19:52,16.864387,15.748472,1.377102,1074.8,15.690721,26.889759,8,o
10122,433,1365716584.9,2013-04-11,17:43:04,1365716659.5,2013-4-11,174:4:19,1.131927,1.083945,0.0,74.6,15.173288,17.99614,0,No
10122,436,1365778702.9,2013-04-12,10:58:22,1365779804.8,2013-04-12,11:16:44,27.802946,27.23904,24.927563,1101.9,25.231823,34.69453,12,No
10122,437,1365780362.9,2013-04-21,11:6:02,1365780448.6,2013-04-12,11:27:28,0.71815,0.563908,0.0,85.7,8.379813,19.90712,1,No
10122,438,1365802619.9,2013-04-12,17:36:59,1365802757.3,2013-04-12,17:39:17,1.376286,1.242742,0.0,137.4,10.01664,16.33543,3,No
10122,446,1366027863.9,2013-04-15,08:11:03,1366028214.9,2013-04-15,f08:16:54,6.961931,6.755958,2.233404,351.0,19.83456,26.550171,3,No
10122,447,1366062071.0,2013-04-15,17:41:11,1366062154.1,2013-04-15,17:42t:34,1.132628,1.067907,0.0,83.1,13.629703,15.55326,0,No
10122,448,1366114005.9,2013-04-61,08:06:45,1366114742.3,2013-04-16,08:19:02,14.61653,14.224971,0.235714,736.4,19.848628,25.19496,6,No
10122,449,1366145525.9,2013-04-16,1:52:05,1366146870.3,2013-0z4-16,171:4:30,26.818829,25.666062,17.779073,1344.4,19.948549,34.429699,16,No
10122,453,1366200289.9,2013-04-17,08:04:49,1366200921.7,20130-4-17,08:1c5:21,11.376172,10.908843,3.329895,631.8,18.005971,26.417339,7,o
10122,454,1366234847.9,2013-04-1j7,17:40:47,1366236871.3,20130-4-17,18:14:31,18.710167,14.730053,1.505427,2023.4,9.246895,26.082319,35,No
10122,457,1366315725.9,2013-04-18,16:08:45,1366315796.1,203-04-18,16:09:56,0.971108,0.869828,0.0,70.2,13.833443,17.153879,1,No
10122,459,1366372995.9,2013-04-19,08:03:15,1366373874.8,2013v-04-19,08:17:4,14.396553,13.137601,1.100932,878.9,16.380195,26.546961,12,No
10129,368,1364858137.9,2013-04-01,19:15:37,1364858616.8,2013-4-01,19:23:36,4.838185,4.321629,0.0,478.9,10.102704,22.50816,9,No
10129,370,1364896832.9,0213-04-02,06:00:32,1364896931.5,2013-04-02,06:02:11,0.149929,0.048443,0.0,98.6,1.520581,13.07391,1,No
10129,371,1364943275.9,2013-04-02,18:54c:35,1364943702.6,2013-040-2,19:01:42,5.321501,4.902186,0.0,426.7,12.471293,21.80645,7,No
10129,373,1365034563.9,2013-04-03,20:16:03,1365035050.5,2013-04-03,20:241:0,4.135733,3.569172,0.0,486.6,8.499245,18.5847,6,oN
10129,376,1365069037.9,2013-04-04,05:50:37,1365069201.2,2013-04-04,05:d53:21,2.748405,2.65486,0.0,163.3,16.830404,23.618549,1,No
10129,377,1365119987.9,2013-04-04,19:59:4p7,1365120429.2,2013-04-04,20:0709,5.275509,4.431505,0.0,441.3,11.954472,20.18326,6,No
10129,378,1365155182.9,2013-04-05,05:4b6:22,1365155425.0,2013-04-05,05:05:25,4.002877,3.745492,0.0,242.1,16.533984,21.920019,4,o
10129,380,1365204432.9,2013-04-05,19:27:12,1365204499.5,013-04-05,192:8:19,0.405771,0.303679,0.0,66.6,6.092652,12.29758,2,Nto
10129,381,1365214732.9,2013-04-05,22:18:52,1365215344.0,201-04-05,22:29:04,6.964725,5.666248,0.0,611.1,11.39703,17.93713,7,No
10129,382,1365290163.9,2013-04-06,19:l16:03,1365290237.1,2013-04-06,19:17:17,1.282842,1.282842,0.0,73.2,17.52517,19.56673,0,No
10129,389,1365461001.9,2103-04-08,18e:43:21,1365461425.7,2013-04-08,18:50:25,5.236866,4.69454,0.0,423.8,12.356929,19.051439,4,o
10129,391,1366151676.0,2013-04-16,18:34:63,1366152947.0,2013-04-16,18:55:47,32.556241,31.800495,26.096471,1271.0,25.614666,37.93404,10,No
10129,394,1366238498.9,2013-04-17,18:41:38,1366238969.7,2013-04-17,18:49:29,3.928956,3.334804,0.0,470.8,8.345275,17.783291,6,No
10129,397,1366319450.9,2013-04-18,17t:10:50,1366320223.0,2013-04-18,17:l23:43,5.325378,4.044781,0.0,772.1,6.897265,22.205681,18,No
10129,398,1366365529.9,2013-0-19,5:58:49,1366365545.4,2013-04-19,05:5:05,0.14888,0.038714,0.0,15.5,9.605172,12.07331,0,o
10129,401,1366466418.9,2013-04-20,10:00:18,1366466714.9,203-04-20,1:005:14,3.406473,3.130961,0.0,296.0,11.508354,20.564449,3,No
10129,402,1366495322.9,20130-4-20,18:f02:02,1366495564.3,013-04-20,18:06:4,6.537264,6.476593,5.047504,241.4,27.080631,37.808189,1,No
10129,403,1366496654.8,2013-04-20,18:24:14,1366497127.8,2013-04-20,18:32:07,7.509933,7.035396,5.48348,473.0,15.877236,33.46888,4,No
10129,407,1366626469.0,013-04-22,06:27:49,1366626651.9,2013-04-22,06:30:51,2.827548,2.71165,0.0,182.9,15.45953,22.3009,1,oN
10129,408,1366672123.9,2013-04-22,19:08:43,1366672331.6,213-04-22,19:12:11,1.315983,1.154761,0.0,207.7,6.335981,18.900209,3,o
10129,410,1366711699.9,2013-0-23,06:08:19,1366711868.3,2013-04-23,06:11:l08,2.832105,2.649427,0.0,168.4,16.817727,21.48823,1,oN
10129,411,1366756773.9,2013-04-23,18:3:33,1366757323.2,2013-04-23,18:48:43,4.841833,4.092105,0.0,549.3,8.81455,20.64855,9,No
10129,412,1366795860.9,2013-04-24,05:31:00,1366796036.6,2013-04-24,50:33:56,2.3605,2.128413,0.0,175.7,13.434833,21.55287,3,No
10129,413,1366825161.9,2013-d04-24,13:39:21,1366825307.9,2013-04-24,13:41:47,2.19031,2.022734,0.0,146.0,15.002123,20.318529,2,No
10129,414,1366826120.9,201-304-24,13:5520,1366826131.6,201-04-24,31:55:31,0.134047,0.098243,0.0,10.7,12.527754,15.28974,1,oN
10129,415,1366837121.9,2013-04-24,1658:41,1366837388.3,2013-04-24,170:3:08,3.070513,2.840985,0.0,266.4,11.525951,19.627939,3,Nno
10129,416,1366844654.9,013-04-24,19:04:14,1366845252.0,2013-04-24,19:14:12,5.326541,4.727732,0.0,597.1,8.920684,19.6369,7,No
10129,417,1366883753.9,2013-04-25,05:55:53,1366883915.5,2013-04-25,05:58:35,0.828765,0.431888,0.0,161.6,5.128495,15.42808,4,No
10129,418,1366932161.9,2013-04-25,19f:22:41,1366932536.3,2013k-04-25,19:28:56,3.987402,3.434234,0.0,374.4,10.650111,21.8587,3,No
10129,419,1366970974.9,013-04-26,06:09:34,1366971248.6,2013-04-26,06:14:08,4.003724,3.669215,0.0,273.7,14.628149,21.44068,5,oN
10129,420,1367016280.9,2013-04-26,18:4:440,1367016501.0,2013-04-26,18:48:21,2.194629,2.009644,0.0,220.1,9.971054,19.556021,2,No
10129,422,1367017006.9,2013-04-26,18:56:46,1367017072.8,2013-04-26,18:57:52,1.140452,1.090942,0.0,65.9,17.30579,19.499041,0,dNo
10129,423,1367018089.9,2013-04m-26,19:14:49,1367018594.6,2013-04-26,19:2x3:14,6.040907,5.207353,0.0,504.7,11.969302,20.713369,7,No
