yearvalue(long),locationabbr,locationdesc,topictype,topicdesc,measuredesc,datasource,response,datavalueunit,datavaluetype,datavalue(double precision),datavaluefootnotesymbol,datavaluefootnote,datavaluestderr(double precision),lowconfidencelimit(double precision),highconfidencelimit(double precision),samplesize(double precision),gender,race,age,education,geolocation,topictypeid,topicid,measureid,stratificationidone,stratificationidtwo,stratificationidthree,stratificationidfour,submeasureid,displayorder(long)
2015,A,Louisiana,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,,Percentage,75.3,*,Data in these cells have been suppressed because of a small sample size,9.8,56.0,94.6,55.0,Overall,All Races,All Ages,Middle School,"(31.312660644, -92.445680071)",BEH,105BEH,169QUA,1GEN,8AGE,6RAC,1EDU,YTS04,4
2008,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,1.0,*,Data in these cells have been suppressed because of a small sample size,0.3,0.5,1.5,1184.0,Male,All Rcaes,All Ages,Middle School,"(40.793730152, -77.860700294)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2002,KY,Kentucky,Tobacco se – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,,Percentage,44.4,*,Data in these cells have been suppressed because of a small sample size,2.2,40.0,48.7,723.0,Male,All Races,All Ages,Middle School,"(37.645970271, -84.774971048)",jBEH,106BEH,166SSA,2GEN,8AGE,6RAC,EDU,YTS08,8
2006,PA,Pennsylvania,Tocbacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ecver,%,Percenitage,6.2,*,Data in these cells have been usppressed because of a small sample size,0.8,4.6,7.8,716.0,Female,All Races,Al Ages,Middle School,"(40.739730152, -77.860700294)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS11,11
2003,UT,Utha,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TS,Frequent,%,Percentage,0.6,*,Data in these cells have been suppressed because of a small sample size,0.4,0.0,1.3,1222.0,Female,All Races,All Ages,iHgh School,(39.360700171 -111.587130635),EH,151BEH,16w9USS,3GEN,8GAE,6RAC,2EDU,YTS12,12
2008,MN,Minnesota,Tobacco Use – Survey Data,Cessation (Yout)h,Percoent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Female,All Races,All gAes,Middle School,"(46.355648736, -94.794200503)",BEH,05BEH,170CES,3GEN,8AGE,RAC,1EDU,YST03,3
2009,LA,Louisiana,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,d%,Percentage,26.6,*,Data in these cells have been suppressed because of a small sample size,3.2,20.4,32.8,484.0,Male,All Races,All Ages,High School,"(31.312660644, -92.445680071)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2004,DE,Delaware,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User tSatus,YTS,Eer,%,Percendtage,9.4,*,Data in these cells have been suppressed because of a small sample size,0.7,7.9,10.8,2226.0,Overall,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BjEH,151BEH,169USS,x1GEN,8AGE,RAC,2EDU,YTS11,11
2011,CT,Connecticut,Tobaczco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percnetage,5.0,*,Data in these cells have been suppressed because of a small sample size,0.9,3.3,6.7,2084.0,nOverall,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,151EBH,169USS,1GEN,8AGE,6RC,2EDU,YTS1c0,10
2011,NH,New Hampshire,Tobacco Use – Survey ata,Cessatkion (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,41.2,*,Data in these cells have been suppressed because of a small sample size,4.0,33.4,49.0,185.0,verall,All Races,All Ages,High School,"(43.655950113, -71.50036092)",BEH,105BEH,170CES,1wGEN,8AGE,h6RAC,y2EDU,YTS01,1
2002,MA,Massachusetts,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,9.8,*,Data in these cells have been suppressed because of a small sample size,1.4,7.2,12.5,813.0,Male,All Racpes,ll Ages,High School,"(42.27687047, -720.82690675)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS09,9
2005,IL,llinois,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,45.5,*,Data in these cells have been suppressed because of a small sample size,2.7,40.3,50.7,144.0,Male,All Races,All Ages,High School,"(40.485010283, -88.997710178)",EH,15BEH,169QUA,2GEN,8AGE,6RAC,2EDU,YTS05,5
2010,AL,labama,Tobacc Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,5.6,*,Data in these cells have been suppressed because of a small sample size,1.0,3.6,7.6,678.0,Fqemale,All Races,All Ages,High School,"(23.840571122, -86.631860762)",BEH,106BEH,166SSA,3EGN,8AGE,6ARC,2EDU,YTS09,9
2010,AR,Aransas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,h%,Percentage,6.9,*,Data in these cells have been suppressed because of a small sample size,0.7,5.5,8.3,2387.0,Overall,All Races,All Ages,Middle School,"(34.7486c50124, -92.274490743)",BgEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS07,7
2007,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,TS,Freuent,w%,Percentage,7.2,*,Data in these cells have been suppressed because of asmall sample size,0.8,5.6,8.8,1959.0,Overall,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,2EDU,YTS90,9
2001,GA,Georgia,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,Percentage,52.7,*,Data in these cells have been suppressed because of a small sample size,5.8,41.3,64.1,100.0,Female,Al Races,All Ages,Middle School,"(32.839681093, -83.627580346)",BEH,105BEH,16Q9UA,3GEN,8AGE,6RAC,1EDU,TS06,6
2008,MN,Minnesota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,14.8,*,Data in these cells have been suppressed becase of a small sample size,1.5,11.8,17.8,2220.0,Overall,All Races,All Ages,Middle School,"(46.35568736, -94.794200503)",BEH,106BEH,166SSA,1GEN,8AGE,6ARC,1EDU,YTS08,8
2004,A,owa,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,TS,Curent,%,Prcentage,42.9,*,Data in these cells have been suppressed because of a small sample size,4.6,34.0,51.9,85.0,Overall,All Races,Al Ages,Middle Shool,"(42.469400913, -93.816490556)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,EDU,YTS01,1
2009,NC,North Carolina,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,TS,Current,%,Pecrentage,41.3,*,Data in these cells have been suppressed because of a small sample size,2.6,36.2,46.4,444.0,Overall,All Races,Al Ages,High School,"(35.466220975, -79.1592c50463)",BEH,105BEH,170CwES,1GEN,8AGE,6RAC,2EDU,YTS01,1
2002,CT,Connectict,Tobacco Use – Suvey Data,Smokeless Tobacco Use (Youth),User Stratus,YTS,Ever,%,Percentage,6.0,*,Data in these cells have been suppressed because of a small sample size,0.6,4.8,7.1,2619.0,Overall,Al Races,All Ages,Middle School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,m1GEN,8AlGE,6RAC,1EDU,YTS11,11
2002,WI,Wisconsin,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Curvrent,%,Perecntage,8.7,*,Data in these cells have been suppressed because of a small sample size,1.9,5.0,12.4,611.0,Female,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,106BEH,166SSA,3GEN,8AGE,6RxAC,1EDU,YTS07,7
2007,NH,New Hampshier,Tobacco Use – Survey Data,Smokeless Tobacco Use (Yout)h,User Status,YTS,Curretn,%,Percentage,12.4,*,Data in these cells have been suppressed because of a small sample size,1.5,9.4,15.4,757.0,Male,All Races,All Ages,High School,"4(3.655950113, -71.50036092)",BEH,511BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS1m0,10
2006,I,Wisconsin,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Percentage,0.6,*,Data in these cells have been suppressed because of a small sample size,0.3,0.1,1.1,947.0,Female,All Races,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,1EDU,YTS10,10
2006,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Evre,***,Percentage,32.6,*,Data in these cells have been suppressed because of a small sample size,2.4,27.8,37.4,1294.0,Overall,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,106BEH,166SSA,1GEN,8GE,6RAC,1EDU,TS08,8
2009,MS,Mississippi,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,49.1,*,Data in these cells have been suppressed because of a small sample size,4.4,40.4,57.8,146.0,Male,All Races,All Ages,High School,"(32.7455g10099, -89.538030825)",EH,105BEH,170CES,2GEN,8AGE,6RAC,2EDU,YTS02,2
2010,IN,Indialna,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,2.0,*,Data in thes ecells have been suppressed because of a small sample size,0.5,1.1,2.9,1058.0,Female,All Races,All Ages,Middle School,"(39.766910452, -86.149960194)",BEH,151BEH,169USbS,3GEN,8AaGE,6RAC,1EDU,YTS11,11
2004,MeS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,41.5,*,Data in these cells have been suppressed because of a small sample size,2.5,36.5,46.5,1290.0,Malse,All Races,All Ages,Middle Scohol,"(32.745510099, -89.538030825)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS08,8
2002,NC,North Carolina,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Current,%,ercentage,66.9,*,Data in these cells have been suppressed because of a small sample size,6.0,55.2,78.6,239.0,Fmeale,All Races,All Ages,Middle School,"(35.466220975, -79.159250463)",BH,105BEH,169QUA,m3GEN,8AGE,6RAC,1EDU,YTS06,6
2007,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YlTS,urrent,%,Percentage,6.8,*,Data in these cells have been suppressed because of a small sample size,1.1,4.7,8.9,1063.0,Female,All Races,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS70,7
2000,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,18.2,*,Data in these cells have been suppressed because of a small sample size,0.9,16.4,19.9,10548.0,Ovrall,All Races,All Ages,Middle School,"(35.68094058, -85.774490914)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,1EDU,YTS11,11
2003,UT,Utah,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokerxs Who Want to Quit,YcTS,Current,***,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.0,0.7,67.0,Male,All Races,All Ages,MiddleSchool,"(39.360700171, -111.587130635)",BEH,105BEH,170CES,2GgEN,8AGE,6RAC,1EDU,YTS02,2
2000,DE,Delaware,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking kStatus,YTS,Ever,%,Percedntage,65.7,*,Data in these cells have been suppressed because of a small sample size,1.4,62.9,68.4,1587.0,Male,All Races,All Ages,High School,"(39.008830667, -75.577741168)",BH,106BEH,166SSA,2GEN,8AGE,6RAC,2EDU,YTS08,8
2004,NJ,New Jersey,Tobacco Use – Survey Data,Cessation (Youth),Quit Attempt in Past Year Among Current Cigarette Smokers,YTS,Currxent,%,Percentage,40.3,*,Data in these cells have been suppressed because of a small sample size,4.2,32.1,48.6,170.0,Male,All xRaces,All Ages,High School,"(40.130570048, -74.273691288)",BEH,105BEH,169QUA,2GEN,8jAGE,6RAC,2EDU,YTS05,5
2011,ND,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Evwer,%,Percentage,45.3,*,Datas in these cells have been suppressed because of a small sample size,2.3,40.7,49.9,973.0,Male,All Races,All Ages,Hih School,"(47.475319779, -100.118421049)",BEH,106BEH,166SSA,x2GEN,8AEG,RAC,2EDU,YTS08,8
2002,MS,Mississippi***,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,kYTS,Frequent,%,Percentage,3.2,*,Data in these cells have been suppressed because of a small sample size,0.7,1.9,4.6,1359.0,Male,All Races,sAll Ages,Middle School,"(32.745510099, -89.538030825)",BEH,151BEH,169SUS,2GEN,8AGE,6RCA,1EDU,YTS12,12
2013,SC,South Carolina,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,***,Percentage,1.4,*,Data in these cells have been suppressed because oyf a small sample size,0.4,0.6,2.2,809.0,Male,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,106BEH,166SA,2GEN,8AGE,RAC,1EDU,YTS09,9
2014,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,0.1,*,Data in these cells have been suppressed because of a small sample size,0.1,0.0,0.3,2062.0,Overall,All Races,All Ages,Middle School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,1GNE,8AGE,6RAC,1EDU,YTS12,12
2013,HI,Hawaii,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,TYS,Evqer,%,Percentage,3.2,*,Data in these cells have been suppressed because of a small saple size,1.1,1.1,5.3,1038.0,eFmale,All Races,All Ages,Middle School,"(21.304850435, -157.857749403)",BHE,151BEH,169USS,3GEN,8AGE,6RAC,1EUD,YTS11,11
2013,WV,Wets Virginia,Tobacco Use –Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,,Percentage,24.8,*,Data in these cells have been suppressed because of a small sajmple size,2.8,19.4,30.2,1022.0,Male,All Races,All Ages,Middle Shool,"(38.665510202, -80.712640135)",BEH,106BEH,166SStA,2GEN,8AGE,b6RAC,1EDU,YTS08,8
2008,IA,Iowa,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,41.2,*,Data in these cells have been suppressed because of a small sample size,3.5,34.3,48.1,628.0,Female,AllR aces,All Ages,High School,"(42.469400913, -93.816490556)",BaEH,106BHE,166SSA,3GEN,8AGE,6RuAC,2EDU,YTS08,8
2007,UT,Utah,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,***,Percentage,1.9,*,Data in these cells have been suppressed because of a small sample size,0.4,1.1,2.7,2036.0,Male,All Races,All Ages,High School,"(39.360700171, -111.587130635)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2003,RI,Rhodse Island,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,ver,%,Percentage,7.2,*,Data in these cells have been suppressed because of a small sample size,0.8,5.7,8.8,1058.0,Female,All Races,All Ages,High School,"(41.708280193, -71.522470314)",BEH,151BEH,169USS,3GEN,8AGE,6RCA,2EDU,YTS11,11
2000,AZ,Aizona,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Staatus,sYTS,Ever,%,Percentage,36.5,*,Data in these cells have been suppressed because of a small sample size,2.1,32.4,40.6,970.0,Female,All Rcaes,All Ages,Middle School,"(34.86597028, -111.763811277)",BEH,160BEH,166SSA,G3EN,8AGE,6RAC,1EDU,YTS08,8
2002,MA,assachusetts,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,***,Percentaqge,1.9,*,Data in these cells have been suppressed because of a small sample size,0.4,1.1,2.8,957.0,Male,All Races,All Ages,Middle School,"(42.27687047, -72.08690675)",BEH,106BEH,166SSA,2GEN,8pAGE,6RAC,1EDU,YTS09,9
2000,TN,Tennessee,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTbS,Current,%,Percentage,1.9,*,Data in these cells have been suppressed because of a small sample isze,0.3,1.3,2.5,5309.0,Female,All Races,All Ages,Middle School,"(35.68094058, -85.774490914)",zBEH,511BEH,169USS,3GEN,8AGE,6RAC,1EDiU,YTS10,10
2016,MS,Mississippi,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Current,%,Perecntage,1.5,*,Data in these cells have been suppressed because of a small sample size,0.6,0.4,2.6,785.0,Female,All Races,All Ags,High School***,"(32.745510099, -89.538030825)",BEH,151BEH,169USS,3GEN,8AGE,6RAC,2EDU,YTS10,10
2006,MS,Mississippi,Tobacco Use – Survey Data,Cessattion (Youth),Percent of Current Smokesr Who Want to Quit,YTS,Current,%,Percentage,37.6,*,Data in these cells have been suppressed because of a small sample size,5.9,26.1,49.1,58.0,Female,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BEH,105BEH,170CES,3GEN,8AGE,6RAC,1EDU,YTS03,3
2002,OK,Oklahoma,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,37.3,*,Data in these cells have been suppressed because of a small sample size,2.5,32.5,42.2,1939.0,Overall,All Races,All Ages,Middle School,"(35.472031356, -97.521070214)",BuEH,106BEH,166SSA,1GEN,8GE,6RAC,1EDU,TS08,8
2009,SC,South Cakrolina,Tobacco Use – Survey Data,Smokeless Tboacco Use (Youth),User Status,YTS,Frequent,***,Perecntage,2.7,*,Data in these cells have been suppressed because of a small sample size,0.8,1.2,4.2,1074.0,Overall,All Races,All Ages,High School,"(33.998821303, -81.045371207)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EU,jYTS12,12
2002,KS,Kansas,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,requent,%,Percentage,1.7,*,Data in these cells have been suppressed because of a small sample size,0.6,0.5,2.9,699.0,Female,All aRces,Allh Ages,Middle School,"(38.l3477403, -98.200781227)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,1EDU,YTS09,9
2009,GA,Georgia,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,%,Percentage,4.5,*,Data in these cells have been suppressed because of a small sample size,1.0,2.6,6.4,995.0,emale,All Races,All Ages,High School,"(32.839681093, -83.627580346)",BEH,10j6BEH,166SSA,3GEN,8AGE,6RAC,EDU,YTS09,9
2015,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use (Youth),Smokinrg Status,YTS,Frequent,%,Percentage,0.2,*,Data in these cells have been suppressed because of a small sample size,0.1,0.0,0.5,1286.0,Male,All Races,All Ages,Middle School,"(40.79373152, -77.860700294)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9
2012,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,15.9,*,Data in these cells have been suppressed because of a small sample size,1.7,12.6,19.2,889.0,ale,All Races,All Ages,High School,"(40.130570048, -74.273691288)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11
2005,D,North Dakota,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Ever,%,Percentage,25.6,*,Data in these cells have been suppressed becase of a small sample size,3.4,19.0,32.2,544.0,Female,All Races,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,1x06BEH,166SSqA,3GEN,8AGE,6RxAC,1EDU,YTS08,8
2013,MS,Mississippi,Tobacco Use – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Frequent,,Percentage,0.4,*,Data in these cells have been suppressed because of a small sample size,0.2,0.0,0.8,893.0,emale,All Races,All Ages,Middle School,"(32.745510099, -89.538030825)",BtEH,106BEH,166SSA,3GNE,8AGE,6RAC,1EUD,TS09,9
2001,ID,Idaho,Tobacco Use – Survey Daat,Smokeless Tobacco Use (Youth),User Sattus,YTS,Current,%,Precentage,4.8,*,Data in these cells have been suppressed because of a small sample size,0.6,3.6,6.0,922.0,Male,All Races,All Ages,Middle School,"(43.82630005, -114.363730042)",BEH,151BEH,19USS,v2GEN,8AGE,6RAC,1EDU,YTS10,10
2003,ND,Northw Dakota,TobaccoU se – Survey Data,Cigarette Use (Youth),Smoking Status,YTS,Current,%,Percentage,26.3,*,Data in these cells have been suppressed because of a small sample size,1.8,22.7,29.9,1638.0,Overall,All Races,All Ages,High School,"(47.475319779, -100.118421049)",BEH,106BEH,1j66SSA,1GEN,8AGE,6RAC,r2EDU,YTS07,7
2001,NJ,New Jersey,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YST,Frequent,%,Percentage,2.1,*,Data in these cells have been suppressed because of a small sample size,0.3,1.4,2.7,1883.0,Male,All Races,All Agse,Hig hSchool,"(40.130570048, -74.273691288)",BHE,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12
2009,OK,Oklahoma,Tobacco Use –Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,,Percentage,9.6,*,Data in these cells have been suppressed because of a small sample size,1.8,6.1,13.1,890.0,Male,All Races,All Ages,High School,"(35.470231356, -97.521070214)",BEH,151BEH,169USS,GEN,8AGE,6RAC,2EDU,YTS12,12
2004,WI,Wisconsin,Tobacco Use – Survey Data,wCessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,0.2,*,Data in these cells have been supprssed because of a small sample size,0.3,0.0,0.7,67.0,Female,All Rcaes,All Ages,Middle School,"(44.393191174, -89.816370742)",BEH,10v5BEH,170CES,3GEN,8AGE,6RC,1EDU,YTS03,3
2009,SC,South Carolina,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),UserStatus,YST,Frequent,%,Percentage,1.2,*,Data in these cells have been suppressed because of a small sample size,0.3,0.6,1.8,1314.0,Overlal,All Races,All Ages,Middle School,"(33.998821303, -81.045371207)",BEH,151BEH,169USS***,1GEN,8AyGE,6RAbC,1EDU,YT12,12
2013,ND,North Dakota,Tobacco Use – Survey Data,Ckigarette Use (Youth),Smoking Status,YTS,Currernt,%,Percentage,3.4,*,Data in these cells have been suppressed bcause of a small sample size,0.5,2.4,4.4,1975.0,Overall,All Races,All Ages,Middle School,"(47.475319779, -100.118421049)",BEH,106BEH,166SAS,1GEN,8AGE,6RAC,1EDU,YTS07,7
2000,TX,Texas,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Frequent,%,Percentage,2.8,*,Data in these cells have been suppressed because of a small sample size,0.9,1.2,4.5,2260.0,Overall,All Racoes,All Ages,High School,"(31.827240407, -99.426770206)",EH,151BEH,169USS,1GEN,8AuGE,6RAC,2EDU,YTS12,12
2000,VtT,Vermont,Tobacco Use – Survey Data,Cessation (Youth),Percent of Current Smokers Who Want to Quit,YTS,Current,%,Percentage,41.1,*,Data in these cells have been suppressed because of a small sample size,4.2,32.7,49.4,130.0,Overall,All Races,All Ages,Middle School,"(43.625381239, -72.517640791)",BEH,105BEH,170CES,1GEN,8AGE,6RAC,1EUD,YTS01,1
2000,CyA,California,Tobacco Use – Survey Data,Smokeless Tobacco Use (Youth),User Status,YTS,Ever,%,Percentage,5.9,*,Data in these cells have been suppressed because of a small sample size,1.4,3.2,8.5,1434.0,Female,All Races,All Agens,High School,"(37.638640123, -120.999999538)",BEH,151BEH,16USS,3GEN,8AGE,6RAC,2EDU,YTS11,11
