X,Y,OBJECTID,NAME,ADDRESS,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
12144029.7230767,3420045.182577,400,Fire Station 5,451 Hanbury Rd W,coc,2014/07/11 19:35:12+00,VFOWLER,2020/05/11 19:44:41+00
12162347.60641,3420667.58257701,401,Fire Station 6,1109 Whittamore Rd,coc,2014/07/11 19:36:02+00,VFOWLER,2020/05/11 19:45:23+00
12121336.3397433,3395844.49091034,402,Fire Station 13,2900 Benefit Rd,coc,2014/07/11 19:36:56+00,coc,2014/07/11 19:37:11+00
12150982.33141,3447621.27424367,403,Fire Station 14,1200 Volvo Pkwy,coc,2014/07/11 19:37:45+00,VFOWLER,2020/05/11 19:41:20+00
12151224.2647433,3447563.94924366,404,Greenbrier Library,1214 Volvo Pkwy,coc,2014/07/11 19:38:05+00,coc,2014/07/11 19:38:56+00
12145925.9480767,3459842.89403534,407,Indian River Library,2320 Old Greenbrier Rd,coc,2014/07/11 19:39:31+00,coc,2014/07/11 19:39:57+00
12145791.9449517,3458332.44247283,408,Indian River Community Center,2250 Old Greenbrier Rd,coc,2014/07/11 19:40:09+00,COC,2018/04/26 16:47:31+00
12141075.8371392,3464114.82945201,409,Dr. Clarence V. Cuffee Comm Ctr,2019 Windy Rd,coc,2014/07/11 20:07:25+00,COC,2018/04/26 17:01:31+00
12143505.2272433,3446588.40549366,410,Police Station 5th Precinct,400 Volvo Pkwy,coc,2014/07/11 20:14:33+00,coc,2014/07/11 20:14:58+00
12089197.2131808,3474754.51747283,411,Police Station 4th Precinct,4764 Station House Dr,coc,2014/07/11 20:15:29+00,coc,2014/07/11 20:15:58+00
12132640.2538058,3453709.84716034,412,The Portlock at South Norfolk,3815 Bainbridge Blvd,coc,2014/07/11 20:26:26+00,coc,2014/07/11 21:11:07+00
12134074.7433892,3466560.04247284,413,South Norfolk Health Center,490 Liberty St,coc,2014/07/11 20:29:15+00,coc,2014/07/11 21:06:42+00
12136530.03141,3439235.37372284,414,River Crest Community Center,1001 River Walk Pkwy,coc,2014/07/11 20:36:35+00,COC,2018/04/26 16:44:28+00
12143125.6569308,3435159.03518116,415,Integrated Behavioral Healthcare,224 Great Bridge Blvd,coc,2014/07/11 20:43:49+00,coc,2014/07/11 20:44:52+00
12143288.23141,3435079.69872284,416,CIBH Coastal Clubhouse,216 Great Bridge Blvd,coc,2014/07/11 20:46:00+00,COC,2018/07/17 17:48:56+00
12146877.7267225,3454762.28622283,417,Conference Center,700 Conference Center Dr,coc,2014/07/11 20:48:07+00,VFOWLER,2020/05/11 19:30:56+00
12156597.4418267,3389135.16278534,418,Chesapeake Expressway Office,168 Toll Plaza Rd,coc,2014/07/11 20:51:59+00,coc,2014/07/11 20:52:46+00
12145347.1824517,3437982.44559784,419,Arboretum,624 Oak Grove Rd,coc,2014/07/11 20:54:41+00,coc,2014/07/11 20:55:38+00
12155404.8163058,3383617.52893117,420,NW River Water Treatment Plant,3550 Battlefield Blvd S,coc,2014/07/11 20:57:27+00,coc,2014/07/11 20:58:24+00
12080956.7262017,3448017.66122283,421,Lake Gaston Water Treatment Plant,5416 W Military Hwy,coc,2014/07/11 20:59:28+00,coc,2014/07/11 21:23:25+00
12141092.11891,3464277.70966034,1005,Dr. Clarence V. Cuffee Library,2726 Border Rd,coc,2014/08/28 19:24:28+00,coc,2014/08/28 19:28:22+00
12123636.4027642,3447227.52424367,1325,Mosquito Control Commission,1611 Shell Rd,COC,2016/04/29 16:59:03+00,VFOWLER,2020/05/11 20:24:15+00
12153963.9558892,3397552.02684784,1326,Public Works Hickory Yard,149 Benefit Rd,COC,2016/04/29 17:23:59+00,COC,2018/04/12 14:54:02+00
12138272.5293267,3451121.74716033,1645,Public Safety Operations Center,2130 S Military Hwy,COC,2017/04/21 15:36:34+00,COC,2018/07/17 17:52:10+00
12158195.2027642,3388487.60288951,1965,Mosquito Control St. Brides,332 Saint Brides Rd E,COC,2019/06/24 15:25:37+00,COC,2019/06/24 15:27:08+00
12094093.8803683,3451873.23986867,1966,Fire Station 10,4640 S Military Hwy,VFOWLER,2020/05/11 18:44:12+00,VFOWLER,2021/02/25 19:21:44+00
12093928.5678683,3451711.34820201,1967,Fire Logistics Warehouse,4609 Ridgeway Ave,VFOWLER,2020/05/11 18:46:51+00,VFOWLER,2021/02/25 19:21:59+00
12148620.3991183,3460336.42528534,1968,CIBH Highlands Place East,1829 Rokeby Ave,VFOWLER,2020/05/11 19:12:39+00,VFOWLER,2020/05/11 19:13:13+00
12154833.2637017,3385893.80653533,1969,Fire Station 7,3444 Battlefield Blvd S,VFOWLER,2020/06/17 18:53:05+00,VFOWLER,2021/06/02 16:28:03+00
12132848.0517225,3453763.84299366,1970,Fire Station 2 Fuel Station,1205 Freeman Ave,VFOWLER,2021/05/14 14:19:26+00,VFOWLER,2021/05/14 14:21:25+00
12148450.2043267,3442138.8903895,1971,Waste Management Fuel Station,912 Hollowell Ln,VFOWLER,2021/05/14 14:28:34+00,VFOWLER,2021/05/14 14:29:09+00
12141461.60016,3427113.68049367,1972,Voter Registrar,411 Cedar Rd,VFOWLER,2021/11/05 15:26:41+00,VFOWLER,2021/11/05 15:27:07+00
12148377.1850558,3441624.55028534,1973,Public Works Environmental Quality,900 Hollowell Ln,VFOWLER,2023/10/20 14:37:45+00,VFOWLER,2023/10/20 14:37:45+00
