characteristic,sex,raceethnicity,yearvalue,score,standarderroronscore,noteonscore
Total - Hispanic,Female,Hispanic,2005,235.0,4.0,Data not available.
Total - Hispanic,Female,Hispanic,2006,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2007,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2008,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2009,233.0,2.5,Data not available.
Total - Hispanic,Female,Hispanic,2010,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2011,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2012,230.0,2.2,Data not available.
Total - Hispanic,Female,Hispanic,2013,239.0,2.0,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,241.0,6.0,Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,243.0,2.5,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,245.0,3.4,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,257.0,2.0,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,258.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,230.0,6.0,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,226.0,5.0,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,230.0,3.0,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2013,234.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2003,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2004,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2006,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,231.0,3.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2010,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,230.0,2.2,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,240.0,2.8,Data not available.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,263.0,3.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,255.0,4.8,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,263.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,263.0,2.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2003,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2004,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,231.0,5.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2007,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,240.0,3.3,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,230.0,2.2,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2013,242.0,4.5,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2003,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2004,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2006,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2007,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2008,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2009,235.0,3.8,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2010,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2012,230.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2013,238.0,3.1,Data not available.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,230.0,2.2,Data not available. Data for 2002 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,230.0,2.2,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2002 through 2009 include Pacific Islanders.
