1164.facilityname,Presbyterian Intercommnity Hospital,Presbyterian Intercommunity Hospital
676.hai,"Healthcare Associated Infection, SurgicalSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
896.statevalue,aClifornia,California
827.facilityname,"Kaiser Foundation Hoszpital, South Sacramento","Kaiser Foundation Hospital, South Sacramento"
573.statevalue,aClifornia,California
765.operativeprocedure,Gallbaldder surgery,Gallbladder surgery
472.hai,"Healthcare Associated Infection, Surgica lSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1234.operativeprocedure,ectal surgery,Rectal surgery
684.facilityname,Memorial Medcical Center,Memorial Medical Center
141.statevalue,Californoia,California
301.hai,"Healthcare Associated Infection, Surgical Site Infectiosn (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
165.hai,"Healthcare Associated Infection, Surgical SiteI nfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
896.operativeprocedure,Gallbladder surgeery,Gallbladder surgery
949.facilityname,Rady Cihldren's Hospital - San Diego,Rady Children's Hospital - San Diego
1418.hai,"Healthcare Associated Infection, Surgical Site Infections (SS)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
994.facilityname,"Kaiser oundation Hospital, Redwood City","Kaiser Foundation Hospital, Redwood City"
487.hai,"Healthcre Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
314.operativeprocedure,"Bile duct, liver or pancreeatic surgery","Bile duct, liver or pancreatic surgery"
1165.statevalue,alifornia,California
346.county,Sacramenot,Sacramento
13.facilityname,Barton Memorial Hosiptal,Barton Memorial Hospital
676.operativeprocedure,xploratory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
675.facilityname,Lomav Linda University Children's Hospital,Loma Linda University Children's Hospital
351.operativeprocedure,Cardiacsurgery,Cardiac surgery
1091.hai,"Healthcarte Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
763.county,Kenr,Kern
1294.operativeprocedure,Smll bowel surgery,Small bowel surgery
1029.statevalue,Californiqa,California
612.county,Los Angelse,Los Angeles
349.statevalue,Cbalifornia,California
1373.county,Lost Angeles,Los Angeles
482.statevalue,Califronia,California
825.county,Santa lCara,Santa Clara
596.operativeprocedure,Colno surgery,Colon surgery
31.statevalue,Caldifornia,California
362.facilityname,Beverly Hosspital,Beverly Hospital
810.county,vContra Costa,Contra Costa
964.statevalue,Clifornia,California
156.statevalue,alifornia,California
1435.county,Alamepda,Alameda
1266.statevalue,Californa,California
524.statevalue,Califoria,California
620.hai,"Healthcarae Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
303.statevalue,Califrnia,California
922.statevalue,alifornia,California
901.operativeprocedure,Gallbladdre surgery,Gallbladder surgery
78.hai,"Healhcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1076.operativeprocedure,Open reducntion of fracture,Open reduction of fracture
596.statevalue,Califorxnia,California
577.operativeprocedure,jColon surgery,Colon surgery
1405.facilityname,lta Bates Summit Medical Center,Alta Bates Summit Medical Center
338.hai,"Healthcare Associated Infection, Surgical Site Infections (ySSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1245.county,rAlameda,Alameda
165.facilityname,Oak Valley Hospita District,Oak Valley Hospital District
284.facilityname,Zuckerberg San Francisco eGneral Hospital and Trauma Center,Zuckerberg San Francisco General Hospital and Trauma Center
528.statevalue,Californai,California
602.hai,"Healthcare Associated Infeciton, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1315.operativeprocedure,Smuall bowel surgery,Small bowel surgery
569.statevalue,Califorina,California
432.county,Santa Babara,Santa Barbara
864.facilityname,Pacific Alilance Medical Center,Pacific Alliance Medical Center
1129.county,Los Anglees,Los Angeles
120.county,Los Arngeles,Los Angeles
1021.county,Los Angelhes,Los Angeles
813.statevalue,Californai,California
353.facilityname,AdventistM edical Center - Reedley,Adventist Medical Center - Reedley
600.county,Los Afngeles,Los Angeles
268.county,aScramento,Sacramento
833.hai,"Haelthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
150.statevalue,Calsifornia,California
578.hai,"Healtchare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
223.hai,"Healthcare Associated Infection, Surgical Site Infections (SSI)***","Healthcare Associated Infection, Surgical Site Infections (SSI)"
737.statevalue,Caliornia,California
1213.operativeprocedure,Opne reduction of fracture,Open reduction of fracture
1467.operativeprocedure,Thoracci surgery,Thoracic surgery
1012.statevalue,Caliofrnia,California
1482.statevalue,Calnifornia,California
1424.hai,"Heathcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
914.operativeprocedure,Gallblradder surgery,Gallbladder surgery
955.hai,"Healthcare Associted Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
296.hai,Healthcare Associated Infection Surgical Site Infections (SSI),"Healthcare Associated Infection, Surgical Site Infections (SSI)"
570.operativeprocedure,olon surgery,Colon surgery
512.county,Scaramento,Sacramento
184.facilityname,Pfrovidence Holy Cross Medical Center,Providence Holy Cross Medical Center
1208.facilityname,"St. Mary Medicalo Center, Long Beach","St. Mary Medical Center, Long Beach"
470.facilityname,Providene Saint Joseph Medical Center,Providence Saint Joseph Medical Center
418.statevalue,Claifornia,California
764.operativeprocedure,Gallbladder surgerty,Gallbladder surgery
636.hai,"Healthcare Associated Infection, Surgical Ste Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
106.operativeprocedure,Appendix surgey,Appendix surgery
910.operativeprocedure,Gallbladder srgery,Gallbladder surgery
742.operativeprocedure,Explortory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
1410.facilityname,Cedrs-Sinai Medical Center,Cedars-Sinai Medical Center
965.county,San Deigo,San Diego
711.hai,"ealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
676.county,San Bernardno,San Bernardino
152.statevalue,Caifornia,California
243.statevalue,Californbia,California
1321.operativeprocedure,Small bowl surgery,Small bowel surgery
1412.hai,"Healthcare Associated Infectio, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
702.facilityname,Phrovidence Little Company of Mary Medical Center Torrance,Providence Little Company of Mary Medical Center Torrance
1271.operativeprocedure,Small bowel surgey,Small bowel surgery
1476.statevalue,Californai,California
888.operativeprocedure,Gallbladder surgerby,Gallbladder surgery
1306.county,Keurn,Kern
1067.county,Cntra Costa,Contra Costa
1213.facilityname,"Sutter Medical Cneter, Sacramento","Sutter Medical Center, Sacramento"
1471.statevalue,Californai,California
384.hai,"ealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
287.operativeprocedure,"Bilez duct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
915.statevalue,Cailfornia,California
53.operativeprocedure,Appendi surgery,Appendix surgery
1420.facilityname,Earl & Loraine Miller Children's Hospitjal,Earl & Loraine Miller Children's Hospital
886.hai,"Healthcare Associated Infection, Sugrical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
97.operativeprocedure,Appndix surgery,Appendix surgery
667.operativeprocedure,Exploratory abdomial surgery (laparotmoy),Exploratory abdomial surgery (laparotomy)
1049.operativeprocedure,Open reduction of fractuure,Open reduction of fracture
1259.hai,"Healthcare Associated Infectionz, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
202.county,Santa Claar,Santa Clara
39.facilityname,Desert Regiovnal Medical Center,Desert Regional Medical Center
1113.hai,"Heathcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
902.hai,"Heaalthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
19.operativeprocedure,Appendi surgery,Appendix surgery
405.facilityname,"Kaiser Foundation Hospital, wBaldwin Park","Kaiser Foundation Hospital, Baldwin Park"
460.county,Los Angles,Los Angeles
943.facilityname,Olympia Medicla Center,Olympia Medical Center
313.statevalue,Califorania,California
576.statevalue,alifornia,California
1040.county,Santa Claar,Santa Clara
164.hai,"Healthare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
914.statevalue,Califonia,California
1152.county,Orahnge,Orange
647.facilityname,Huntingtno Beach Hospital,Huntington Beach Hospital
716.hai,"Healthcare Associated Infection, Surgica lSite Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
710.operativeprocedure,Exploratory abdomial surgery (lapabrotomy),Exploratory abdomial surgery (laparotomy)
592.operativeprocedure,Colon suregry,Colon surgery
473.county,Sanrta Clara,Santa Clara
795.statevalue,Califorina,California
1194.county,Sa Diego,San Diego
1030.statevalue,Californiha,California
328.hai,"Healthcare Associated Infection, Surgical Site Infectiosn (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
425.county,uTlare,Tulare
1407.county,Los Angelse,Los Angeles
1207.county,Sa nBernardino,San Bernardino
1139.facilityname,Maria Regional Medical Center,Marian Regional Medical Center
513.statevalue,Cailfornia,California
398.hai,"eHalthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
246.statevalue,alifornia,California
62.statevalue,Californai,California
1167.facilityname,Porvidence Little Company of Mary Medical Center Torrance,Providence Little Company of Mary Medical Center Torrance
1300.operativeprocedure,Small owel surgery,Small bowel surgery
1138.operativeprocedure,Opn reduction of fracture,Open reduction of fracture
131.facilityname,Mad River Community Hospittal,Mad River Community Hospital
1342.hai,"Healthcvare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1123.statevalue,Calfiornia,California
700.operativeprocedure,Exlporatory abdomial surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
661.facilityname,"Kaiesr Foundation Hospital, Sacramento","Kaiser Foundation Hospital, Sacramento"
429.facilityname,LAC+USC Medical Ceanter,LAC+USC Medical Center
730.facilityname,South Cast Global Medical Center,South Coast Global Medical Center
1047.operativeprocedure,Open reduction of fractrue,Open reduction of fracture
1062.operativeprocedure,Open rgeduction of fracture,Open reduction of fracture
871.hai,"Haelthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
277.statevalue,aClifornia,California
1060.hai,"Healthcare Associated Infection, Surical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
854.operativeprocedure,Gallbladder surgery***,Gallbladder surgery
1092.operativeprocedure,Open reduction of fracutre,Open reduction of fracture
695.hai,"Healthcare Assoicated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
322.hai,"Healthcare Associaated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
363.county,Los Anrgeles,Los Angeles
818.county,Oraneg,Orange
1435.operativeprocedure,Thoracci surgery,Thoracic surgery
340.county,Los Angedles,Los Angeles
433.operativeprocedure,Cesarean usection,Cesarean section
683.statevalue,Californai,California
1414.hai,"Healthcare Associated Infection, Surgical Sit Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
157.facilityname,Montclair Hospital Medical Centr,Montclair Hospital Medical Center
640.county,Mendocion,Mendocino
274.facilityname,Vengtura County Medical Center,Ventura County Medical Center
339.county,Los Angles,Los Angeles
253.statevalue,Calfiornia,California
194.operativeprocedure,Appnedix surgery,Appendix surgery
538.statevalue,Caylifornia,California
1432.statevalue,Califonria,California
176.facilityname,Petwaluma Valley Hospital,Petaluma Valley Hospital
214.facilityname,Santa Ros aMemorial Hospital,Santa Rosa Memorial Hospital
320.operativeprocedure,"Bileduct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
1081.county,Monetrey,Monterey
451.facilityname,Metmhodist Hospital of Southern California,Methodist Hospital of Southern California
879.facilityname,Saint Agnes Meical Center,Saint Agnes Medical Center
483.hai,"Healthcare Associated Infcetion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
506.operativeprocedure,Cesarean secion,Cesarean section
928.county,Los Angels,Los Angeles
427.statevalue,Cailfornia,California
816.county,lameda,Alameda
436.facilityname,Maderaq Community Hospital,Madera Community Hospital
1479.operativeprocedure,Thoraci csurgery,Thoracic surgery
793.county,Riversied,Riverside
19.hai,"Healthcare Associatd Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
210.county,Conctra Costa,Contra Costa
346.statevalue,Clifornia,California
214.operativeprocedure,Appedix surgery,Appendix surgery
697.facilityname,Orang County Global Medical Center,Orange County Global Medical Center
1402.county,lVentura,Ventura
509.statevalue,Clifornia,California
1494.county,San rancisco,San Francisco
310.county,Riversied,Riverside
461.hai,"Healthcare Associated Infection, Surgicl Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1428.county,Lo sAngeles,Los Angeles
1265.hai,"uHealthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
491.hai,"Healthcare Associated Infection, Surgical Site Infections (SSIm)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
59.county,Los Angeels,Los Angeles
794.statevalue,alifornia,California
630.facilityname,ommunity Memorial Hospital - San Buenaventura,Community Memorial Hospital - San Buenaventura
350.county,Madmera,Madera
27.statevalue,Califorina,California
298.operativeprocedure,"Bile duct, liver or pancreatic surgry","Bile duct, liver or pancreatic surgery"
309.hai,"Healthcare Associated nIfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1091.statevalue,Caltifornia,California
1098.statevalue,Callifornia,California
300.hai,"Healthcare Associated Infectixon, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
314.county,Santva Barbara,Santa Barbara
939.operativeprocedure,Hip posthesis,Hip prosthesis
555.facilityname,"Kaiser Foudation Hospital, Los Angeles","Kaiser Foundation Hospital, Los Angeles"
86.hai,"Healthcare Associated Infection ,Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1206.facilityname,St. Joseph's Medical Centre Of Stockton,St. Joseph's Medical Center Of Stockton
55.hai,"Healthcare Associated Infection, Surgial Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
531.statevalue,Californai,California
827.operativeprocedure,Gallbaldder surgery,Gallbladder surgery
1469.county,Los Angelse,Los Angeles
584.statevalue,Califorina,California
734.hai,"Healthcare Associated Infecion, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1073.operativeprocedure,Open reduction of fracturce,Open reduction of fracture
199.facilityname,Saddleback Memorial Meydical Center,Saddleback Memorial Medical Center
373.operativeprocedure,Cesaran section,Cesarean section
1261.hai,"Healthcare Asociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
261.operativeprocedure,Appendix srugery,Appendix surgery
568.hai,"Healthcare Associate dInfection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
708.statevalue,Claifornia,California
296.operativeprocedure,"Bil educt, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
1312.operativeprocedure,Smallo bowel surgery,Small bowel surgery
291.statevalue,Californai,California
768.statevalue,Califoornia,California
196.county,Rivrside,Riverside
64.statevalue,Calfornia,California
1331.hai,"Healthcare Associated Infection, Surgical Site Infections (SSI)***","Healthcare Associated Infection, Surgical Site Infections (SSI)"
642.facilityname,Garfield edical Center,Garfield Medical Center
1464.facilityname,Rady Children'sH ospital - San Diego,Rady Children's Hospital - San Diego
241.hai,"Healthcare Associated Infection, Surgical SiteInfections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1340.county,Los Angdeles,Los Angeles
582.facilityname,Pomona Valley Hospital Medical Cenetr,Pomona Valley Hospital Medical Center
390.statevalue,Califorina,California
301.operativeprocedure,"Bie duct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
1075.statevalue,alifornia,California
1268.operativeprocedure,Rectal sxurgery,Rectal surgery
1354.county,Sanat Clara,Santa Clara
497.facilityname,Simi Valley Hospital & Health Care Servicens,Simi Valley Hospital & Health Care Services
592.statevalue,Califronia,California
224.facilityname,Shasta Regional Medical Centr,Shasta Regional Medical Center
1016.operativeprocedure,aminectomy,Laminectomy
1323.operativeprocedure,Small bowel surgeyr,Small bowel surgery
332.facilityname,Huntington Memorial Hosiptal,Huntington Memorial Hospital
273.operativeprocedure,Appendix ssurgery,Appendix surgery
1343.statevalue,Cailfornia,California
1230.statevalue,aClifornia,California
1334.operativeprocedure,Small bowels urgery,Small bowel surgery
405.operativeprocedure,Cesarean svection,Cesarean section
190.statevalue,Calfiornia,California
961.county,Sano Bernardino,San Bernardino
116.county,ern,Kern
1112.county,uSanta Clara,Santa Clara
926.operativeprocedure,Hip procsthesis,Hip prosthesis
1030.county,Scaramento,Sacramento
539.facilityname,Citrus Valley Medical Center -QV Campus,Citrus Valley Medical Center - QV Campus
71.hai,"Healthcare Asociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
660.facilityname,"Kaiser Foundation Hospital, oseville","Kaiser Foundation Hospital, Roseville"
1437.county,os Angeles,Los Angeles
328.operativeprocedure,jCardiac surgery,Cardiac surgery
1205.county,umboldt,Humboldt
788.operativeprocedure,allbladder surgery,Gallbladder surgery
1318.hai,"Healthcare Associated Infecton, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
272.county,os Angeles,Los Angeles
89.county,Los Angelse,Los Angeles
65.operativeprocedure,Appendixz surgery,Appendix surgery
72.statevalue,Clifornia,California
1390.statevalue,Cailfornia,California
863.county,Bute,Butte
479.operativeprocedure,Cesarean slection,Cesarean section
955.statevalue,Californiha,California
67.hai,"Healthcare Associated Infection, Surgical Site Infections p(SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
743.county,Sonoam,Sonoma
1211.facilityname,Sutter jCoast Hospital,Sutter Coast Hospital
605.operativeprocedure,Coplon surgery,Colon surgery
255.operativeprocedure,Appendix urgery,Appendix surgery
1242.operativeprocedure,Rctal surgery,Rectal surgery
1033.hai,"Healthcare Associated Infection, Surgical Site Infectios (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1250.hai,"Haelthcare Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1407.hai,"Healthcare Astsociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
987.county,SantaClara,Santa Clara
1070.statevalue,Caliofrnia,California
1205.facilityname,"St. Joseph Hosiptal, Eureka","St. Joseph Hospital, Eureka"
883.facilityname,San Joaquin CommunityH ospital,San Joaquin Community Hospital
755.statevalue,bCalifornia,California
241.statevalue,Californiia,California
1128.operativeprocedure,Open reduction of racture,Open reduction of fracture
1122.facilityname,"Kaiser Foundation Hospital, Wet LA","Kaiser Foundation Hospital, West LA"
530.county,San Bernarino,San Bernardino
163.county,Los ngeles,Los Angeles
730.statevalue,Califronia,California
1317.operativeprocedure,Small bowel urgery,Small bowel surgery
1421.hai,"Healthcare Associated Infection, Surgicael Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
601.operativeprocedure,Colon suurgery,Colon surgery
1178.hai,"Healthcare Associated Infectio,n Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
896.county,Rvierside,Riverside
353.statevalue,Caklifornia,California
1277.facilityname,Cuhildren's Hospital of Orange County,Children's Hospital of Orange County
1257.hai,"Healthcare Associated Infection, Surgical Site Infections S(SI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
792.facilityname,Eden Medical Centedr,Eden Medical Center
547.statevalue,Californa,California
1062.statevalue,Califorina,California
704.operativeprocedure,Exploratory abdomia surgery (laparotomy),Exploratory abdomial surgery (laparotomy)
555.operativeprocedure,Colon usrgery,Colon surgery
57.county,San Luis Oispo,San Luis Obispo
728.operativeprocedure,Exploratory abdomial surgery (laparotmoy),Exploratory abdomial surgery (laparotomy)
1139.hai,"Healthcare Asszociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1180.county,os Angeles,Los Angeles
788.county,Rivreside,Riverside
467.hai,"Healthcare Associated Inection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1172.county,Santa Claar,Santa Clara
900.hai,"Healthcare Assoicated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
1016.county,Los nAgeles,Los Angeles
659.hai,"HealthcareA ssociated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
57.statevalue,Califonia,California
817.county,Oqrange,Orange
1358.county,Orane,Orange
462.operativeprocedure,Cearean section,Cesarean section
765.county,El Droado,El Dorado
317.county,Sacramentpo,Sacramento
578.operativeprocedure,Colon surgrey,Colon surgery
992.statevalue,Caliornia,California
745.county,Tuare,Tulare
299.operativeprocedure,"Bileh duct, liver or pancreatic surgery","Bile duct, liver or pancreatic surgery"
1136.operativeprocedure,Open redction of fracture,Open reduction of fracture
760.county,os Angeles,Los Angeles
1481.facilityname,St. Elizabeth Community Hsopital,St. Elizabeth Community Hospital
929.hai,"Healthcafre Associated Infection, Surgical Site Infections (SSI)","Healthcare Associated Infection, Surgical Site Infections (SSI)"
