word;quantity;frequency
th;13;0.0003
tidy;4;0.0001
wash;8;0.0002
dish;4;0.0001
before;7;0.0002
sit;24;0.0006
r;1;0.0
rest;15;0.0004
still;13;0.0003
dirty;3;0.0001
tire;7;0.0002
hungry;4;0.0001
who;52;0.0014
c;6;0.0002
cover;4;0.0001
book;22;0.0006
paper;8;0.0002
garden;7;0.0002
free;5;0.0001
sun;3;0.0001
some;77;0.002
flower;13;0.0003
gr;1;0.0
grow;15;0.0004
yet;9;0.0002
two;110;0.0029
b;12;0.0003
lovely;14;0.0004
those;21;0.0005
toy;43;0.0011
place;5;0.0001
never;34;0.0009
three;55;0.0014
four;19;0.0005
seven;15;0.0004
picture;14;0.0004
father;2;0.0001
gir;2;0.0001
tha;4;0.0001
window;17;0.0004
what;556;0.0145
through;7;0.0002
side;11;0.0003
sleepy;5;0.0001
way;31;0.0008
finish;25;0.0007
Linda;6;0.0002
Dad;15;0.0004
keep;27;0.0007
dentist;1;0.0
tooth;2;0.0001
fill;3;0.0001
downstairs;2;0.0001
hide;10;0.0003
eee;2;0.0001
cannot;111;0.0029
which;17;0.0004
bite;64;0.0017
help;42;0.0011
drawer;5;0.0001
away;40;0.001
really;26;0.0007
mummie;69;0.0018
drive;7;0.0002
another;66;0.0017
hat;8;0.0002
say;72;0.0019
or;18;0.0005
somewhere;7;0.0002
else;35;0.0009
call;48;0.0013
very;11;0.0003
special;6;0.0002
read;23;0.0006
leave;21;0.0005
bear;14;0.0004
alone;2;0.0001
park;20;0.0005
par;1;0.0
lay;1;0.0
owl;2;0.0001
t;13;0.0003
take;51;0.0013
him;95;0.0025
sk;1;0.0
so;71;0.0019
let;97;0.0025
pond;3;0.0001
float;1;0.0
night;22;0.0006
home;19;0.0005
nice;11;0.0003
runned;6;0.0002
over;37;0.001
bounce;1;0.0
red;44;0.0011
tie;5;0.0001
only;15;0.0004
little;16;0.0004
Pocahontas;7;0.0002
video;12;0.0003
Pocahontus;3;0.0001
sock;6;0.0002
hello;22;0.0006
Granpa;2;0.0001
Pot;4;0.0001
Grandpa;2;0.0001
jigsaw;34;0.0009
puzzle;8;0.0002
want;240;0.0063
Noddy;16;0.0004
bad;14;0.0004
man;31;0.0008
kill;13;0.0003
Smith;2;0.0001
run;27;0.0007
about;26;0.0007
bare;2;0.0001
foot;8;0.0002
good;45;0.0012
friend;43;0.0011
tail;3;0.0001
lipstick;7;0.0002
use;10;0.0003
lose;13;0.0003
lie;11;0.0003
water;41;0.0011
elephant;6;0.0002
gettin;4;0.0001
awful;6;0.0002
mess;18;0.0005
show;30;0.0008
kid;2;0.0001
makin;3;0.0001
start;14;0.0004
other;110;0.0029
em;90;0.0024
chil;1;0.0
child;10;0.0003
spill;2;0.0001
orange;3;0.0001
trunk;3;0.0001
breakfast;6;0.0002
egg;6;0.0002
cup;6;0.0002
throw;14;0.0004
floor;5;0.0001
smash;3;0.0001
crash;16;0.0004
banana;8;0.0002
because;47;0.0012
gown;2;0.0001
roller;5;0.0001
sort;11;0.0003
thing;91;0.0024
cloud;1;0.0
comin;5;0.0001
pour;2;0.0001
tea;11;0.0003
drink;17;0.0004
bubble;4;0.0001
buy;31;0.0008
Barbie;6;0.0002
next;11;0.0003
page;1;0.0
toothbrush;2;0.0001
mornin;1;0.0
time;35;0.0009
squeeze;3;0.0001
naughty;2;0.0001
clean;3;0.0001
teeth;12;0.0003
whistle;1;0.0
open;28;0.0007
eye;13;0.0003
silly;15;0.0004
plump;1;0.0
pajama;20;0.0005
cross;2;0.0001
face;4;0.0001
give;63;0.0016
their;23;0.0006
sure;9;0.0002
Grandma;2;0.0001
Jones;1;0.0
stick;7;0.0002
kitten;1;0.0
telephone;4;0.0001
eat;66;0.0017
chocolate;8;0.0002
more;33;0.0009
tummy;2;0.0001
biscuit;5;0.0001
Wheatabix;4;0.0001
porridge;4;0.0001
huh;17;0.0004
wantin;1;0.0
cake;8;0.0002
recipe;1;0.0
cut;24;0.0006
knee;2;0.0001
hurt;17;0.0004
sore;11;0.0003
plaster;5;0.0001
clock;14;0.0004
ring;7;0.0002
cold;12;0.0003
sneeze;1;0.0
sandwich;1;0.0
phone;4;0.0001
sausage;6;0.0002
doin;5;0.0001
playin;4;0.0001
aw;4;0.0001
yuck;2;0.0001
rabbit;12;0.0003
slipper;4;0.0001
pair;1;0.0
Noddys;1;0.0
why;93;0.0024
own;7;0.0002
thank;10;0.0003
find;35;0.0009
piece;12;0.0003
enough;10;0.0003
room;25;0.0007
again;48;0.0013
nearly;9;0.0002
feelin;1;0.0
bit;9;0.0002
Dinah;2;0.0001
got_to;1;0.0
yellow;33;0.0009
hop;5;0.0001
hoppin;1;0.0
watchin;1;0.0
Mister;5;0.0001
Bean;1;0.0
Tweety;1;0.0
Pie;2;0.0001
necklace;10;0.0003
hers;2;0.0001
newspaper;2;0.0001
magazine;3;0.0001
basket;3;0.0001
bucket;4;0.0001
rock;6;0.0002
fire;16;0.0004
burn;8;0.0002
coal;1;0.0
durin;1;0.0
Santa;17;0.0004
by;3;0.0001
hear;14;0.0004
nothin;6;0.0002
goin;9;0.0002
jumpy;3;0.0001
jump;12;0.0003
hoppy;3;0.0001
wait;20;0.0005
vest;2;0.0001
button;9;0.0002
tryin;2;0.0001
pendant;1;0.0
out_of;20;0.0005
your;95;0.0025
doggy;5;0.0001
eggie;10;0.0003
noise;17;0.0004
scratch;2;0.0001
Buzz;3;0.0001
Lightyear;2;0.0001
Cathy;16;0.0004
bone;9;0.0002
sweetie;21;0.0005
crisp;3;0.0001
Pingu;2;0.0001
learn;1;0.0
knit;2;0.0001
bag;23;0.0006
dolly;15;0.0004
Cinders;1;0.0
Jill;1;0.0
Sarah;3;0.0001
Lisa;3;0.0001
Laura;3;0.0001
any;24;0.0006
juice;10;0.0003
hm;13;0.0003
last;16;0.0004
mouth;3;0.0001
draw;8;0.0002
teddy;12;0.0003
sittin;3;0.0001
sill;1;0.0
shell;3;0.0001
worm;1;0.0
feather;1;0.0
beach;7;0.0002
cow;15;0.0004
bird;1;0.0
sailin;1;0.0
boat;18;0.0005
cheese;13;0.0003
forget;15;0.0004
love;17;0.0004
smilin;1;0.0
itchy;2;0.0001
bruise;5;0.0001
lump;2;0.0001
try;37;0.001
different;12;0.0003
roll;4;0.0001
five;21;0.0005
six;14;0.0004
eight;7;0.0002
nine;8;0.0002
ten;12;0.0003
eleven;5;0.0001
fourteen;5;0.0001
number;3;0.0001
straw;3;0.0001
story;28;0.0007
if;37;0.001
themselves;23;0.0006
cloth;2;0.0001
clothe;8;0.0002
hair;26;0.0007
smack;1;0.0
sweet;4;0.0001
tap;1;0.0
mother;1;0.0
every;10;0.0003
tall;1;0.0
wing;7;0.0002
click;6;0.0002
dr;1;0.0
granny;23;0.0006
clown;3;0.0001
brother;3;0.0001
splash;22;0.0006
everywhere;1;0.0
Jungle;5;0.0001
Jims;1;0.0
pop;2;0.0001
watch;32;0.0008
share;3;0.0001
whatever;4;0.0001
tin;1;0.0
bump;5;0.0001
Rosie;5;0.0001
Jim;7;0.0002
along;4;0.0001
old;9;0.0002
Rag;1;0.0
duck;20;0.0005
quack;8;0.0002
sail;3;0.0001
sea;5;0.0001
Jack;3;0.0001
noggin;2;0.0001
pool;5;0.0001
fly;16;0.0004
onto;2;0.0001
barge;1;0.0
Jordan;2;0.0001
nip;2;0.0001
arm;10;0.0003
floppy;4;0.0001
flop;8;0.0002
swim;13;0.0003
something;17;0.0004
bike;23;0.0006
fast;8;0.0002
balloon;2;0.0001
noisy;2;0.0001
burny;1;0.0
smoke;3;0.0001
spider;6;0.0002
aeroplane;5;0.0001
present;19;0.0005
pillow;5;0.0001
pram;4;0.0001
Woody;7;0.0002
lion;33;0.0009
homework;7;0.0002
bring;46;0.0012
belly;3;0.0001
brush;5;0.0001
hard;8;0.0002
low;1;0.0
stop;17;0.0004
flied;3;0.0001
tootsie;1;0.0
snap;9;0.0002
boom;2;0.0001
hiya;1;0.0
warm;6;0.0002
talk;6;0.0002
bye;11;0.0003
fluffy;1;0.0
squawk;2;0.0001
sugar;3;0.0001
break;99;0.0026
Jurassic;4;0.0001
cartoon;4;0.0001
Tyranno;2;0.0001
live;12;0.0003
hill;1;0.0
church;1;0.0
tell;43;0.0011
workbook;1;0.0
our;13;0.0003
Conor;2;0.0001
till;10;0.0003
candle;4;0.0001
everyone;3;0.0001
ask;7;0.0002
King;12;0.0003
hyena;5;0.0001
zebra;3;0.0001
fun;6;0.0002
race;4;0.0001
Simba;1;0.0
tomorrow;4;0.0001
name;10;0.0003
birdie;2;0.0001
Power;36;0.0009
Ranger;18;0.0005
black;16;0.0004
Rangers;17;0.0004
Robocops;1;0.0
fight;9;0.0002
gun;4;0.0001
machine;3;0.0001
monster;31;0.0008
always;5;0.0001
somethin;1;0.0
shoot;4;0.0001
shootin;1;0.0
woof;1;0.0
minute;13;0.0003
sorry;4;0.0001
spread;1;0.0
lift;10;0.0003
write;2;0.0001
washin;1;0.0
hand;7;0.0002
great;4;0.0001
catch;46;0.0012
nanananana;1;0.0
woosh;2;0.0001
Fatty;3;0.0001
himself;6;0.0002
squ;1;0.0
cre;2;0.0001
creepy;10;0.0003
crawlies;3;0.0001
lizard;2;0.0001
cr;1;0.0
crawly;4;0.0001
cra;1;0.0
dead;3;0.0001
Batman;3;0.0001
until;38;0.001
Silver;1;0.0
Duplo;3;0.0001
frostie;2;0.0001
fr;2;0.0001
horse;16;0.0004
size;7;0.0002
might;7;0.0002
alright;6;0.0002
oo;7;0.0002
w;16;0.0004
bell;2;0.0001
tiny;8;0.0002
body;5;0.0001
white;21;0.0005
scale;1;0.0
first;19;0.0005
cookie;1;0.0
shooter;2;0.0001
green;22;0.0006
train;40;0.001
track;8;0.0002
bridge;2;0.0001
than;2;0.0001
set;6;0.0002
far;3;0.0001
scar;8;0.0002
raptor;4;0.0001
frosties;2;0.0001
ste;1;0.0
stegosaurus;1;0.0
giraffe;3;0.0001
tiger;6;0.0002
piggy;1;0.0
gorilla;1;0.0
snakie;1;0.0
naw;4;0.0001
taxi;2;0.0001
neenaw;1;0.0
engine;7;0.0002
tracker;3;0.0001
coat;3;0.0001
study;1;0.0
worry;1;0.0
anyone;1;0.0
pig;4;0.0001
mean;3;0.0001
Robocop;4;0.0001
ssh;5;0.0001
yeehah;2;0.0001
coke;5;0.0001
under;3;0.0001
behind;6;0.0002
ours;2;0.0001
party;12;0.0003
block;10;0.0003
tractor;14;0.0004
load;6;0.0002
box;13;0.0003
digger;6;0.0002
wheel;18;0.0005
must;10;0.0003
plane;4;0.0001
color;22;0.0006
scoop;1;0.0
fireman;4;0.0001
Daffy;1;0.0
yep;35;0.0009
Pingew;1;0.0
gra;1;0.0
grape;4;0.0001
wi;2;0.0001
reload;2;0.0001
seed;1;0.0
weed;3;0.0001
yeh;10;0.0003
dig;13;0.0003
funny;13;0.0003
d;16;0.0004
money;2;0.0001
bus;4;0.0001
bin;6;0.0002
men;6;0.0002
lorry;2;0.0001
indeed;1;0.0
fancy;1;0.0
mommy;5;0.0001
skateboard;2;0.0001
Adam;11;0.0003
mike;1;0.0
fish;34;0.0009
mouse;3;0.0001
moose;1;0.0
us;10;0.0003
Devil;1;0.0
ear;6;0.0002
lots_of;7;0.0002
tunnel;3;0.0001
tree;15;0.0004
pencil;4;0.0001
people;11;0.0003
soldier;4;0.0001
chug;6;0.0002
fix;15;0.0004
choo;127;0.0033
bug;3;0.0001
bunny;5;0.0001
best;8;0.0002
dinosaur;27;0.0007
Dazzle;2;0.0001
whee;4;0.0001
roar;2;0.0001
Chootie;2;0.0001
stay;20;0.0005
Stacie;1;0.0
game;5;0.0001
Aunt;1;0.0
June;1;0.0
nuh;4;0.0001
Chloe;1;0.0
Bill;1;0.0
seek;1;0.0
long;5;0.0001
maybe;13;0.0003
borrow;3;0.0001
bread;3;0.0001
g;8;0.0002
lamb;5;0.0001
Ethan;69;0.0018
zoo;7;0.0002
Granda;2;0.0001
leg;9;0.0002
new;20;0.0005
shoe;21;0.0005
flat;2;0.0001
shop;21;0.0005
soft;2;0.0001
brick;14;0.0004
stand;10;0.0003
trolley;3;0.0001
Courtney;2;0.0001
cheat;3;0.0001
stew;3;0.0001
potato;1;0.0
dip;1;0.0
spoon;5;0.0001
Sunday;1;0.0
measure;1;0.0
Mummys;1;0.0
pick;5;0.0001
climb;21;0.0005
cli;1;0.0
wood;2;0.0001
Mr;3;0.0001
Peter;17;0.0004
upon;6;0.0002
nose;4;0.0001
clever;8;0.0002
flip;3;0.0001
sing;9;0.0002
once;4;0.0001
alive;20;0.0005
finger;8;0.0002
hold;14;0.0004
farmer;2;0.0001
fee;4;0.0001
tape;3;0.0001
myself;5;0.0001
wear;6;0.0002
y;7;0.0002
sand;5;0.0001
whoop;3;0.0001
daisy;2;0.0001
harm;1;0.0
Saturday;1;0.0
Cindy;2;0.0001
birthday;7;0.0002
bake;1;0.0
none;3;0.0001
blow;3;0.0001
thank_you;13;0.0003
animal;17;0.0004
wreck;6;0.0002
dolphin;1;0.0
sheep;7;0.0002
farm;3;0.0001
Rose;2;0.0001
blouse;1;0.0
mind;6;0.0002
has_to;4;0.0001
grass;2;0.0001
sad;4;0.0001
meat;5;0.0001
hen;2;0.0001
happy;5;0.0001
chick;1;0.0
after;9;0.0002
food;16;0.0004
goose;2;0.0001
marry;4;0.0001
press;6;0.0002
momma;1;0.0
horsie;3;0.0001
cry;6;0.0002
ride;5;0.0001
someone;2;0.0001
pony;1;0.0
umbrella;2;0.0001
hey;11;0.0003
ticket;1;0.0
doctor;24;0.0006
scissor;8;0.0002
thermometer;1;0.0
glass;10;0.0003
sunglass;3;0.0001
tweezer;1;0.0
nurse;5;0.0001
nursery;9;0.0002
bottom;12;0.0003
skate;3;0.0001
outside;9;0.0002
music;3;0.0001
bowl;1;0.0
front;8;0.0002
rattle;1;0.0
chase;1;0.0
crocodile;2;0.0001
spring;1;0.0
wind;2;0.0001
guitar;1;0.0
scrap;4;0.0001
stink;1;0.0
pushy;1;0.0
many;17;0.0004
teacher;5;0.0001
toast;8;0.0002
grandfather;2;0.0001
Billy;1;0.0
Sally;2;0.0001
Lily;1;0.0
garage;8;0.0002
pill;2;0.0001
please;26;0.0007
breath;1;0.0
should;8;0.0002
blood;1;0.0
hospital;4;0.0001
upside;2;0.0001
feel;3;0.0001
chest;1;0.0
short;1;0.0
frame;3;0.0001
already;9;0.0002
Goldilocks;2;0.0001
taste;1;0.0
hot;5;0.0001
small;1;0.0
somebody;7;0.0002
waggly;1;0.0
sale;1;0.0
och;4;0.0001
miss;7;0.0002
chemist;1;0.0
speaker;1;0.0
listen;3;0.0001
Spain;5;0.0001
Sticker;5;0.0001
Stickerbricks;1;0.0
wha;3;0.0001
tv;2;0.0001
curler;10;0.0003
holiday;3;0.0001
bu;6;0.0002
amusement;3;0.0001
du;1;0.0
Roses;1;0.0
f;3;0.0001
squash;1;0.0
Ma;2;0.0001
trouser;2;0.0001
wh;1;0.0
dipper;1;0.0
Porta;1;0.0
Ventura;1;0.0
hole;7;0.0002
in_case;5;0.0001
dry;5;0.0001
push;9;0.0002
curly;3;0.0001
cool;1;0.0
carry;11;0.0003
wet;4;0.0001
Spot;9;0.0002
soak;1;0.0
cellotape;2;0.0001
rip;4;0.0001
pee;3;0.0001
pottie;1;0.0
tongue;2;0.0001
woodpecker;3;0.0001
butterfly;4;0.0001
carrot;6;0.0002
tomato;5;0.0001
tent;5;0.0001
snow;7;0.0002
storm;1;0.0
Justin;2;0.0001
Humpty;2;0.0001
Dumpty;2;0.0001
spanner;3;0.0001
work;47;0.0012
belong;2;0.0001
Easter;2;0.0001
Bob;7;0.0002
year;4;0.0001
week;10;0.0003
age;3;0.0001
soon;1;0.0
auntie;2;0.0001
America;1;0.0
United;1;0.0
Denver;13;0.0003
ball;2;0.0001
alien;1;0.0
Disney;2;0.0001
space;3;0.0001
ship;1;0.0
wooden;1;0.0
glue;1;0.0
class;3;0.0001
Mrs;17;0.0004
Robson;1;0.0
McCartney;1;0.0
dough;2;0.0001
crayon;3;0.0001
milk;7;0.0002
altogether;1;0.0
together;10;0.0003
bleep;1;0.0
move;10;0.0003
forever;2;0.0001
ever;3;0.0001
hundred;1;0.0
Dalmations;1;0.0
cute;2;0.0001
hiccup;1;0.0
smile;2;0.0001
infinity;1;0.0
magic;3;0.0001
sauce;1;0.0
Kathryn;5;0.0001
busy;5;0.0001
Slinky;2;0.0001
David;1;0.0
spit;1;0.0
shush;1;0.0
thirty;16;0.0004
twenty;9;0.0002
computer;1;0.0
ee;2;0.0001
aye;16;0.0004
line;4;0.0001
herself;1;0.0
eh;8;0.0002
slide;6;0.0002
steam;1;0.0
putt;1;0.0
fork;4;0.0001
mhm;9;0.0002
helicopter;3;0.0001
sting;9;0.0002
wasp;2;0.0001
happen;6;0.0002
grind;3;0.0001
even;3;0.0001
fence;3;0.0001
poinged;1;0.0
sky;5;0.0001
blind;2;0.0001
curtain;1;0.0
van;2;0.0001
uhuh;1;0.0
wake;4;0.0001
lace;3;0.0001
Ready;6;0.0002
Brek;2;0.0001
sink;1;0.0
gimme;4;0.0001
brr;2;0.0001
thingy;1;0.0
letter;1;0.0
clause;1;0.0
Sant;1;0.0
cement;5;0.0001
mixer;2;0.0001
hammer;3;0.0001
bang;15;0.0004
its;3;0.0001
Sam;3;0.0001
Judy;4;0.0001
yup;82;0.0021
packet;1;0.0
s;4;0.0001
wheelbarrow;1;0.0
bar;2;0.0001
ho;1;0.0
muddy;2;0.0001
zoom;1;0.0
chimney;1;0.0
ladder;8;0.0002
mitten;1;0.0
wallet;1;0.0
feed;2;0.0001
net;2;0.0001
bottle;5;0.0001
moo;4;0.0001
late;7;0.0002
cocoa;1;0.0
part;11;0.0003
nobody;7;0.0002
waken;1;0.0
giant;5;0.0001
boing;4;0.0001
mad;7;0.0002
muscle;1;0.0
bold;2;0.0001
knock;12;0.0003
hi;11;0.0003
bam;3;0.0001
card;1;0.0
Annie;1;0.0
Jimmy;1;0.0
agh;11;0.0003
shut;1;0.0
bother;2;0.0001
nope;2;0.0001
Aladdin;1;0.0
Katrina;1;0.0
pound;2;0.0001
realize;1;0.0
doggie;1;0.0
Steven;8;0.0002
smell;3;0.0001
dark;3;0.0001
light;3;0.0001
fireplace;1;0.0
marble;1;0.0
tool;1;0.0
Kelsey;4;0.0001
Chelsea;3;0.0001
swee;1;0.0
beat;2;0.0001
swan;2;0.0001
Mogli;1;0.0
necessity;1;0.0
ba;2;0.0001
da;1;0.0
swinger;1;0.0
v;1;0.0
p;5;0.0001
grrr;2;0.0001
save;1;0.0
vroom;2;0.0001
rarr;4;0.0001
boot;2;0.0001
yo;1;0.0
pack;2;0.0001
real;4;0.0001
match;11;0.0003
wobble;1;0.0
safe;4;0.0001
carriage;5;0.0001
Thomas;4;0.0001
ch;13;0.0003
shovel;2;0.0001
driver;2;0.0001
painter;1;0.0
yours;16;0.0004
Balou;2;0.0001
Village;1;0.0
Baywatch;1;0.0
Mandy;3;0.0001
Moore;1;0.0
sometimes;2;0.0001
trainman;1;0.0
bree;1;0.0
breeze;1;0.0
all_gone;3;0.0001
anything;9;0.0002
ahhah;3;0.0001
beep;1;0.0
wrong;2;0.0001
wonderful;1;0.0
wow;5;0.0001
heavy;7;0.0002
bunk;3;0.0001
Holly;5;0.0001
don;10;0.0003
clo;1;0.0
wearin;2;0.0001
everything;8;0.0002
Claire;4;0.0001
bracelet;1;0.0
town;4;0.0001
corner;2;0.0001
beside;5;0.0001
ano;10;0.0003
string;3;0.0001
suppose;5;0.0001
Evans;1;0.0
pretend;11;0.0003
hankie;1;0.0
jewelery;2;0.0001
brolly;2;0.0001
jew;1;0.0
doesn;7;0.0002
heart;2;0.0001
clip;4;0.0001
clap;1;0.0
pattern;1;0.0
nanny;9;0.0002
rollerskates;1;0.0
cou;2;0.0001
tray;1;0.0
makeup;4;0.0001
puttin;2;0.0001
fallin;1;0.0
Spice;6;0.0002
Girls;2;0.0001
nail;7;0.0002
trouble;1;0.0
lid;3;0.0001
faries;1;0.0
dollie;6;0.0002
annoy;1;0.0
Amy;7;0.0002
cheeky;8;0.0002
pushe;2;0.0001
hit;21;0.0005
bunkbeds;1;0.0
ta;1;0.0
Angelica;1;0.0
shove;1;0.0
Amber;3;0.0001
jus;3;0.0001
exactly;1;0.0
plant;2;0.0001
gorgeous;1;0.0
ya;1;0.0
nex;1;0.0
baa;2;0.0001
ruff;2;0.0001
chip;3;0.0001
pea;8;0.0002
butter;1;0.0
drin;1;0.0
cook;1;0.0
instead;2;0.0001
ach;1;0.0
screw;3;0.0001
coo;1;0.0
plate;7;0.0002
wine;4;0.0001
breakfas;1;0.0
yum;5;0.0001
smasher;1;0.0
Alan;16;0.0004
Ken;2;0.0001
boyfriend;3;0.0001
Barbies;1;0.0
either;2;0.0001
fishie;1;0.0
Hermit;1;0.0
fifteen;2;0.0001
veil;1;0.0
William;1;0.0
case;6;0.0002
remember;5;0.0001
baldy;1;0.0
Evan;4;0.0001
bong;2;0.0001
tablet;3;0.0001
Cinderella;1;0.0
wand;1;0.0
princess;1;0.0
better;8;0.0002
prince;1;0.0
diddle;4;0.0001
fiddle;2;0.0001
moon;3;0.0001
laugh;9;0.0002
such;1;0.0
sick;1;0.0
bandage;4;0.0001
prescription;1;0.0
check;2;0.0001
rocket;1;0.0
kite;1;0.0
plan;1;0.0
million;1;0.0
lunch;2;0.0001
dryin;1;0.0
lend;1;0.0
fishy;1;0.0
quite;1;0.0
bride;2;0.0001
blusher;4;0.0001
hidin;2;0.0001
Emma;4;0.0001
Posh;1;0.0
Desi;2;0.0001
melt;1;0.0
apple;7;0.0002
hum;1;0.0
billion;1;0.0
skirt;1;0.0
leggin;1;0.0
film;1;0.0
bobble;1;0.0
lock;2;0.0001
Jenny;3;0.0001
Kim;1;0.0
Debbie;1;0.0
Christine;1;0.0
shed;10;0.0003
picnic;4;0.0001
Shelly;1;0.0
Beccy;1;0.0
turtle;3;0.0001
hamster;4;0.0001
anyway;1;0.0
sleepin;1;0.0
wallpaper;2;0.0001
paintin;1;0.0
stain;1;0.0
ago;1;0.0
bumble;2;0.0001
bee;6;0.0002
slidin;1;0.0
twelve;3;0.0001
sixteen;1;0.0
seventeen;1;0.0
eighteen;1;0.0
nineteen;1;0.0
crab;1;0.0
near;1;0.0
hang;1;0.0
takin;1;0.0
countin;1;0.0
frog;2;0.0001
rainbow;3;0.0001
snail;4;0.0001
lookin;1;0.0
swing;6;0.0002
doc;1;0.0
Michelle;1;0.0
world;6;0.0002
anybody;7;0.0002
pipe;1;0.0
Lego;6;0.0002
strong;14;0.0004
pirate;9;0.0002
plenty;4;0.0001
Controller;3;0.0001
dear;2;0.0001
Harold;2;0.0001
Kenneth;2;0.0001
street;1;0.0
Stuart;4;0.0001
anymore;5;0.0001
sunny;1;0.0
yesterday;5;0.0001
wonder;4;0.0001
Tuesday;1;0.0
Kinder;1;0.0
dumper;2;0.0001
thirsty;1;0.0
spooky;3;0.0001
actually;1;0.0
spookies;1;0.0
scare;1;0.0
everybody;6;0.0002
Dopey;1;0.0
whoo;1;0.0
scary;2;0.0001
Bronagh;2;0.0001
Angeline;2;0.0001
road;19;0.0005
Christophers;1;0.0
dingdong;2;0.0001
radio;1;0.0
brilliant;3;0.0001
favorite;8;0.0002
ice;4;0.0001
banger;1;0.0
definitely;1;0.0
m;3;0.0001
fairy;1;0.0
wrap;1;0.0
Lauren;3;0.0001
yip;4;0.0001
din;1;0.0
Dalmation;1;0.0
both;2;0.0001
penguin;4;0.0001
onion;4;0.0001
Noel;2;0.0001
mate;2;0.0001
cousin;1;0.0
everyday;1;0.0
robot;2;0.0001
Pan;11;0.0003
lazy;1;0.0
sixty;1;0.0
seventy;1;0.0
quick;3;0.0001
Dalmatian;2;0.0001
remote;1;0.0
control;1;0.0
truck;10;0.0003
pet;2;0.0001
argh;1;0.0
kno;1;0.0
slee;1;0.0
ti;1;0.0
noodle;3;0.0001
doodle;1;0.0
escape;2;0.0001
giddyup;2;0.0001
waah;1;0.0
imitate;11;0.0003
hose;1;0.0
liar;1;0.0
while;1;0.0
coffee;5;0.0001
quickly;1;0.0
Lara;1;0.0
Brian;2;0.0001
McDonald;1;0.0
Skittles;1;0.0
shelve;1;0.0
job;1;0.0
n;1;0.0
Mummies;1;0.0
air;2;0.0001
ju;3;0.0001
half;1;0.0
hour;1;0.0
Turtles;2;0.0001
web;1;0.0
muck;2;0.0001
Rudolph;1;0.0
Trimble;8;0.0002
goody;3;0.0001
kick;1;0.0
baddie;1;0.0
hy;1;0.0
sharp;1;0.0
cub;4;0.0001
