225.sex,Feale,Female
229.noteoncount,Reporting standards not met. Either there are too few cases ofr a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
207.noteonearnings,Reporting standards not met. Either there aret oo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
33.sex,eFmale,Female
229.sex,Fmale,Female
56.characteristic,Total ,"Total - Black, non-Hispanic "
303.raceethnicity,"Two ormore races, non-Hispanic","Two or more races, non-Hispanic"
67.characteristic,Total - Male,Total - Hispanic
307.noteonearnings,Reporting standards not muet. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
179.characteristic,Total ,"Total - Male, Asian, non-Hispanic"
111.raceethnicity,"American Iendian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
144.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percento r greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
36.sex,emale,Female
121.characteristic,Total ,"Total - Two or more races, non-Hispanic"
79.characteristic,Total ,"Total - Asian, non-Hispanic"
103.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
232.sex,Fmale,Female
228.raceethnicity,"White, non-iHspanic","White, non-Hispanic"
182.characteristic,Total - Male,"Total - Male, Asian, non-Hispanic"
296.noteonearnings,Reporting standards not met. Eithern there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
215.raceethnicity,"Two or more races, non-Hispanjic","Two or more races, non-Hispanic"
173.sex,Malje,Male
171.sex,aMle,Male
114.raceethnicity,"American Indian/Alaska Native, nonv-Hispanic","American Indian/Alaska Native, non-Hispanic"
289.noteoncount,Reporting standards not met. Either there ar etoo few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
58.characteristic,Total - Male,"Total - Black, non-Hispanic "
177.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
152.characteristic,Total ,"Total - Male, Black, non-Hispanic "
61.characteristic,Total ,"Total - Black, non-Hispanic "
93.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
107.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient oyf variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.raceethnicity,"Asian, noni-Hispanic","Asian, non-Hispanic"
142.characteristic,Total ,"Total - Male, White, non-Hispanic"
38.raceethnicity,"American Indian/Alasa Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
297.raceethnicity,"American Indian/Alaska Native, non-Hispanilc","American Indian/Alaska Native, non-Hispanic"
208.noteonearnings,Rceporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
256.raceethnicity,Hipsanic,Hispanic
299.raceethnicity,"American Indian/Alaska Native, non-Hispanjic","American Indian/Alaska Native, non-Hispanic"
291.sex,emale,Female
57.characteristic,Total ,"Total - Black, non-Hispanic "
187.characteristic,Total ,"Total - Male, Pacific Islander, non-Hispanic"
26.sex,Mle,Male
107.characteristic,"Total - Asian, non-Hispanic","Total - American Indian/Alaska Native, non-Hispanic"
48.characteristic,Total - Male,"Total - White, non-Hispanic"
81.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
186.noteoncount,Reporting standards not met. Either theore are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
284.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficeint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
34.noteoncount,Rkeporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
140.noteonearnings,Reporting standards not met. Either therep are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
189.noteonearnings,Reporting standards not met. Eitherthere are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
181.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
109.raceethnicity,"Amjerican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
217.noteoncount,Reporting standards not met. Either therep are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
238.raceethnicity,"Black, non-Hispnaic ","Black, non-Hispanic "
102.sex,Femae,Female
312.sex,Femgale,Female
36.noteonearnings,Reporting standards nto met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
228.sex,Femarle,Female
288.raceethnicity,"American Indian/AlaskaNative, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
37.sex,Fmeale,Female
122.noteoncount,Reporting stadnards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
197.characteristic,"Total - Asian, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
182.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
299.noteonearnings,Reporting standarkds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
206.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or bgreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
146.characteristic,Total - Female,"Total - Male, Black, non-Hispanic "
130.characteristic,Total ,"Total - Two or more races, non-Hispanic"
281.noteonearnings,Reporting standards no met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
70.characteristic,Total - Female,Total - Hispanic
237.sex,Fmale,Female
30.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 precent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
204.raceethnicity,"American Indian/Alaksa Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
249.noteonearnings,Reporting standards not met .Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
65.characteristic,Total - Female,"Total - Black, non-Hispanic "
264.sex,Fmale,Female
268.raceethnicity,"Asian, nonH-ispanic","Asian, non-Hispanic"
236.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficientq of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
267.sex,Fmale,Female
198.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent por greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
93.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
164.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient osf variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
272.raceethnicity,"Asian, non-Hispanci","Asian, non-Hispanic"
108.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or thec oefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
80.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimaet or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
183.characteristic,Total - Male,"Total - Male, Pacific Islander, non-Hispanic"
113.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the cofficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
242.raceethnicity,"Black, non-Hispanci ","Black, non-Hispanic "
110.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of varriation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
210.noteonearnings,Data gnot available.,Data not available.
297.sex,Fetmale,Female
165.characteristic,Total ,"Total - Male, Hispanic"
47.characteristic,Total ,"Total - White, non-Hispanic"
280.noteoncount,Reporting standards not mett. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
296.sex,Fmeale,Female
165.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV )is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
253.noteoncount,Reporting standards not met. Either there are too few capses for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
188.characteristic,Total ,"Total - Male, Pacific Islander, non-Hispanic"
219.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is5 0 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
219.raceethnicity,"Tow or more races, non-Hispanic","Two or more races, non-Hispanic"
227.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variyation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
283.raceethnicity,"Pacific Islander, non-Hispnaic","Pacific Islander, non-Hispanic"
308.sex,Feale,Female
286.raceethnicity,"Paific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
258.sex,Feamale,Female
222.noteonearnings,Reporting standards not met. Either there are toofew cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
224.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or gsreater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
244.sex,Femwale,Female
269.raceethnicity,"Asian, non-Hipsanic","Asian, non-Hispanic"
53.noteoncount,Reporting standards not met. Either there are too few cases for a reliablfe estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
189.characteristic,Total - Female,"Total - Male, Pacific Islander, non-Hispanic"
95.characteristic,Total ,"Total - Pacific Islander, non-Hispanic"
47.noteoncount,Reporting standards nto met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
243.noteoncount,Reporting standards not met. Either there are too few casse for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
76.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficien of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
118.characteristic,Total ,"Total - Two or more races, non-Hispanic"
136.characteristic,Total - Female,"Total - Male, White, non-Hispanic"
183.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Data not available.
186.sex,ale,Male
82.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
39.noteoncount,Reporting standards not met. Either there are too few cases for a relibale estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
141.noteonearnings,Reporting standards not me.t Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
14.noteoncount,Reporeting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
98.noteoncount,Reorting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
162.noteonearnings,Reporting standards not met. Either there are too few cases for a relibale estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
68.noteoncount,Reporting standavrds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
154.noteonearnings,Reporting standrds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
203.sex,Mlae,Male
214.sex,tMale,Male
192.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CwV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
42.characteristic,Total - Male,"Total - White, non-Hispanic"
89.characteristic,Total ,"Total - Asian, non-Hispanic"
298.noteoncount,Reporting standards not met. Either there aer too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
186.characteristic,Total ,"Total - Male, Pacific Islander, non-Hispanic"
252.sex,Fuemale,Female
283.noteoncount,Reporting standards not met. Either there rae too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
37.raceethnicity,"American Indian/Alaska Native, non-Hispaic","American Indian/Alaska Native, non-Hispanic"
173.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
211.noteonearnings,Reporting stanadrds not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
169.characteristic,Total ,"Total - Male, Hispanic"
226.raceethnicity,"yWhite, non-Hispanic","White, non-Hispanic"
104.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable setimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
202.raceethnicity,"Amedrican Indian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
282.sex,emale,Female
109.sex,Femle,Female
104.characteristic,Total - Male,"Total - Pacific Islander, non-Hispanic"
168.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of vraiation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
178.noteonearnings,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
279.sex,emale,Female
55.characteristic,Total ,"Total - Black, non-Hispanic "
239.raceethnicity,"Black, non-Hispaniic ","Black, non-Hispanic "
50.noteoncount,Reporting standards not met Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
270.noteonearnings,Reporting standards not met. Either there are too few caess for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 and 2001 include Pacific Islanders.
232.raceethnicity,"Wheite, non-Hispanic","White, non-Hispanic"
45.noteoncount,Reporting standards not met. Either there aer too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
66.noteoncount,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficeint of variation (CV) is 50 percent or greater.,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
247.sex,Fmale,Female
