Avg_3Day_Confirmed_RatePer100K,Avg_3Day_Confirmed_RatePer100K_,Avg_3Day_Deceased_RatePer100K,Avg_3Day_Deceased_RatePer100K_D,CONFIRMED,Confirmed_RatePer100K,DECEASED,Deceased_RatePer100K,LOADED,RECOVERED,reported,TOTAL_CONFIRMED,TOTAL_DECEASED,Total_Population,TOTAL_RECOVERED,WEEKBEGINNINGDATE,WEEKENDINGDATE,YEAR_WEEK,ObjectId
3.127366,-0.3909,0.477766,0.086866,8,1.0425,3,0.3909,2021/02/25 11:17:00+00,11,2020/04/05 04:00:00+00,305,20,767419,71,2020/04/05 04:00:00+00,2020/04/11 04:00:00+00,202015,15
4.4739,1.346534,0.3909,-0.086866,67,8.7306,3,0.3909,2021/02/25 11:17:00+00,14,2020/04/06 04:00:00+00,372,23,767419,85,2020/04/05 04:00:00+00,2020/04/11 04:00:00+00,202015,16
7.036566,-1.4334,0.651533,0.1303,47,6.1244,4,0.5212,2021/02/25 11:17:00+00,44,2020/05/21 04:00:00+00,2144,150,767419,1393,2020/05/17 04:00:00+00,2020/05/23 04:00:00+00,202021,17
18.547033,-7.6881,0.434366,0.304066,184,23.9765,8,1.0425,2021/02/25 11:17:00+00,123,2020/07/28 04:00:00+00,6452,244,767419,4198,2020/07/26 04:00:00+00,2020/08/01 04:00:00+00,202031,18
21.978433,5.776967,0.5212,0.086867,154,20.0673,2,0.2606,2021/02/25 11:17:00+00,78,2020/09/11 04:00:00+00,14771,307,767419,8067,2020/09/06 04:00:00+00,2020/09/12 04:00:00+00,202037,19
5.255733,0.781833,0.434333,0.043433,46,5.9941,4,0.5212,2021/02/25 11:17:00+00,30,2020/04/07 04:00:00+00,402,27,767419,115,2020/04/05 04:00:00+00,2020/04/11 04:00:00+00,202015,20
7.9487,0.912134,0.6081,-0.043433,92,11.9882,2,0.2606,2021/02/25 11:17:00+00,37,2020/05/22 04:00:00+00,2233,152,767419,1432,2020/05/17 04:00:00+00,2020/05/23 04:00:00+00,202021,21
19.459166,0.912133,0.434366,0,91,11.8579,2,0.2606,2021/02/25 11:17:00+00,119,2020/07/29 04:00:00+00,6469,246,767419,4317,2020/07/26 04:00:00+00,2020/08/01 04:00:00+00,202031,22
24.454266,2.475833,0.477766,-0.043434,192,25.0189,5,0.6515,2021/02/25 11:17:00+00,98,2020/09/12 04:00:00+00,14953,313,767419,8163,2020/09/06 04:00:00+00,2020/09/12 04:00:00+00,202037,23
8.426533,3.1708,0.5212,0.086867,81,10.5549,5,0.6515,2021/02/25 11:17:00+00,14,2020/04/08 04:00:00+00,478,32,767419,128,2020/04/05 04:00:00+00,2020/04/11 04:00:00+00,202015,24
6.775933,-1.172767,0.304033,-0.304067,17,2.2152,1,0.1303,2021/02/25 11:17:00+00,45,2020/05/23 04:00:00+00,2249,153,767419,1477,2020/05/17 04:00:00+00,2020/05/23 04:00:00+00,202021,25
19.459166,0,0.434366,0,173,22.5431,0,0,2021/02/25 11:17:00+00,73,2020/07/30 04:00:00+00,6623,246,767419,4388,2020/07/26 04:00:00+00,2020/08/01 04:00:00+00,202031,26
20.067266,-4.387,0.347466,-0.1303,116,15.1156,1,0.1303,2021/02/25 11:17:00+00,65,2020/09/13 04:00:00+00,15066,314,767419,8225,2020/09/13 04:00:00+00,2020/09/19 04:00:00+00,202038,27
6.428466,-1.998067,0.564633,0.043433,21,2.7364,4,0.5212,2021/02/25 11:17:00+00,21,2020/04/09 04:00:00+00,495,36,767419,148,2020/04/05 04:00:00+00,2020/04/11 04:00:00+00,202015,28
5.559733,-1.2162,0.217166,-0.086867,19,2.4758,2,0.2606,2021/02/25 11:17:00+00,18,2020/05/24 04:00:00+00,2266,155,767419,1494,2020/05/24 04:00:00+00,2020/05/30 04:00:00+00,202022,29
22.586533,3.127367,0.173733,-0.260633,256,33.3586,2,0.2606,2021/02/25 11:17:00+00,77,2020/07/31 04:00:00+00,6871,248,767419,4464,2020/07/26 04:00:00+00,2020/08/01 04:00:00+00,202031,30
17.374233,-2.693033,0.2606,-0.086866,92,11.9882,0,0,2021/02/25 11:17:00+00,67,2020/09/14 04:00:00+00,15155,314,767419,8293,2020/09/13 04:00:00+00,2020/09/19 04:00:00+00,202038,31
5.776933,-0.651533,0.6515,0.086867,31,4.0395,6,0.7818,2021/02/25 11:17:00+00,23,2020/04/10 04:00:00+00,520,42,767419,171,2020/04/05 04:00:00+00,2020/04/11 04:00:00+00,202015,32
3.344533,-2.2152,0.2606,0.043434,41,5.3426,3,0.3909,2021/02/25 11:17:00+00,19,2020/05/25 04:00:00+00,2307,158,767419,1511,2020/05/24 04:00:00+00,2020/05/30 04:00:00+00,202022,33
25.974533,3.388,0.1303,-0.043433,169,22.0219,1,0.1303,2021/02/25 11:17:00+00,86,2020/08/01 04:00:00+00,7014,248,767419,4550,2020/07/26 04:00:00+00,2020/08/01 04:00:00+00,202031,34
15.1156,-2.258633,0.173733,-0.086867,140,18.243,3,0.3909,2021/02/25 11:17:00+00,165,2020/09/15 04:00:00+00,15303,308,767419,8454,2020/09/13 04:00:00+00,2020/09/19 04:00:00+00,202038,35
3.170766,-2.606167,0.477766,-0.173734,21,2.7364,1,0.1303,2021/02/25 11:17:00+00,24,2020/04/11 04:00:00+00,536,43,767419,195,2020/04/05 04:00:00+00,2020/04/11 04:00:00+00,202015,36
5.907233,2.5627,0.304033,0.043433,76,9.9033,2,0.2606,2021/02/25 11:17:00+00,33,2020/05/26 04:00:00+00,2376,160,767419,1538,2020/05/24 04:00:00+00,2020/05/30 04:00:00+00,202022,37
23.585566,-2.388967,0.1303,0,118,15.3762,0,0,2021/02/25 11:17:00+00,36,2020/08/02 04:00:00+00,7110,248,767419,4587,2020/08/02 04:00:00+00,2020/08/08 04:00:00+00,202032,38
13.161,-1.9546,0.1303,-0.043433,71,9.2518,0,0,2021/02/25 11:17:00+00,73,2020/09/16 04:00:00+00,15364,307,767419,8527,2020/09/13 04:00:00+00,2020/09/19 04:00:00+00,202038,39
3.170766,0,0.434333,-0.043433,21,2.7364,3,0.3909,2021/02/25 11:17:00+00,7,2020/04/12 04:00:00+00,554,46,767419,202,2020/04/12 04:00:00+00,2020/04/18 04:00:00+00,202016,40
7.731533,1.8243,0.347466,0.043433,61,7.9487,3,0.3909,2021/02/25 11:17:00+00,40,2020/05/27 04:00:00+00,2427,163,767419,1571,2020/05/24 04:00:00+00,2020/05/30 04:00:00+00,202022,41
17.852066,-5.7335,0.043433,-0.086867,124,16.1581,0,0,2021/02/25 11:17:00+00,41,2020/08/03 04:00:00+00,7221,248,767419,4628,2020/08/02 04:00:00+00,2020/08/08 04:00:00+00,202032,42
16.027766,2.866766,0.173733,0.043433,158,20.5885,1,0.1303,2021/02/25 11:17:00+00,64,2020/09/17 04:00:00+00,15509,307,767419,8584,2020/09/13 04:00:00+00,2020/09/19 04:00:00+00,202038,43
2.562666,-0.6081,0.347466,-0.086867,17,2.2152,4,0.5212,2021/02/25 11:17:00+00,17,2020/04/13 04:00:00+00,569,50,767419,219,2020/04/12 04:00:00+00,2020/04/18 04:00:00+00,202016,44
8.513366,0.781833,0.304033,-0.043433,59,7.6881,2,0.2606,2021/02/25 11:17:00+00,29,2020/05/28 04:00:00+00,2485,165,767419,1601,2020/05/24 04:00:00+00,2020/05/30 04:00:00+00,202022,45
20.414766,2.5627,0.1303,0.086867,228,29.71,3,0.3909,2021/02/25 11:17:00+00,68,2020/08/04 04:00:00+00,7343,251,767419,4682,2020/08/02 04:00:00+00,2020/08/08 04:00:00+00,202032,46
16.722733,0.694967,0.043433,-0.1303,156,20.3279,0,0,2021/02/25 11:17:00+00,69,2020/09/18 04:00:00+00,15658,306,767419,8652,2020/09/13 04:00:00+00,2020/09/19 04:00:00+00,202038,47
4.126366,1.5637,0.477766,0.1303,57,7.4275,4,0.5212,2021/02/25 11:17:00+00,26,2020/04/14 04:00:00+00,623,54,767419,245,2020/04/12 04:00:00+00,2020/04/18 04:00:00+00,202016,48
8.383066,-0.1303,0.304033,0,73,9.5124,2,0.2606,2021/02/25 11:17:00+00,43,2020/05/29 04:00:00+00,2550,167,767419,1643,2020/05/24 04:00:00+00,2020/05/30 04:00:00+00,202022,49
20.8057,0.390934,0.173733,0.043433,127,16.549,1,0.1303,2021/02/25 11:17:00+00,86,2020/08/05 04:00:00+00,7415,251,767419,4768,2020/08/02 04:00:00+00,2020/08/08 04:00:00+00,202032,50
21.848133,5.1254,0.1303,0.086867,189,24.628,2,0.2606,2021/02/25 11:17:00+00,61,2020/09/19 04:00:00+00,15831,308,767419,8708,2020/09/13 04:00:00+00,2020/09/19 04:00:00+00,202038,51
6.298166,2.1718,0.564633,0.086867,71,9.2518,5,0.6515,2021/02/25 11:17:00+00,32,2020/04/15 04:00:00+00,687,59,767419,276,2020/04/12 04:00:00+00,2020/04/18 04:00:00+00,202016,52
5.9941,-2.388966,0.173733,-0.1303,6,0.7818,0,0,2021/02/25 11:17:00+00,10,2020/05/30 04:00:00+00,2555,167,767419,1653,2020/05/24 04:00:00+00,2020/05/30 04:00:00+00,202022,53
22.108766,1.303066,0.173733,0,154,20.0673,0,0,2021/02/25 11:17:00+00,85,2020/08/06 04:00:00+00,7686,251,767419,4853,2020/08/02 04:00:00+00,2020/08/08 04:00:00+00,202032,54
18.199533,-3.6486,0.1303,0,74,9.6427,1,0.1303,2021/02/25 11:17:00+00,41,2020/09/20 04:00:00+00,15903,309,767419,8749,2020/09/20 04:00:00+00,2020/09/26 04:00:00+00,202039,55
7.644666,1.3465,0.477766,-0.086867,48,6.2547,2,0.2606,2021/02/25 11:17:00+00,20,2020/04/16 04:00:00+00,721,61,767419,296,2020/04/12 04:00:00+00,2020/04/18 04:00:00+00,202016,56
3.4314,-2.5627,0.086866,-0.086867,0,0,0,0,2021/02/25 11:17:00+00,25,2020/05/31 04:00:00+00,2555,167,767419,1678,2020/05/31 04:00:00+00,2020/06/06 04:00:00+00,202023,57
21.500666,-0.6081,0.043433,-0.1303,214,27.8857,0,0,2021/02/25 11:17:00+00,58,2020/08/07 04:00:00+00,7911,250,767419,4913,2020/08/02 04:00:00+00,2020/08/08 04:00:00+00,202032,58
14.7681,-3.431433,0.1303,0,77,10.0336,0,0,2021/02/25 11:17:00+00,36,2020/09/21 04:00:00+00,15978,309,767419,8785,2020/09/20 04:00:00+00,2020/09/26 04:00:00+00,202039,59
7.2103,-0.434366,0.477766,0,47,6.1244,4,0.5212,2021/02/25 11:17:00+00,17,2020/04/17 04:00:00+00,768,65,767419,314,2020/04/12 04:00:00+00,2020/04/18 04:00:00+00,202016,60
1.1293,-2.3021,0.173733,0.086867,20,2.6061,4,0.5212,2021/02/25 11:17:00+00,40,2020/06/01 04:00:00+00,2566,171,767419,1716,2020/05/31 04:00:00+00,2020/06/06 04:00:00+00,202023,61
26.843233,5.342567,0,-0.043433,250,32.5767,0,0,2021/02/25 11:17:00+00,76,2020/08/08 04:00:00+00,8156,250,767419,4990,2020/08/02 04:00:00+00,2020/08/08 04:00:00+00,202032,62
26.539166,-0.304067,0,0,147,19.1551,0,0,2021/02/25 11:17:00+00,46,2020/08/09 04:00:00+00,8298,250,767419,5036,2020/08/09 04:00:00+00,2020/08/15 04:00:00+00,202033,63
18.720733,-7.818433,0,0,34,4.4304,0,0,2021/02/25 11:17:00+00,47,2020/08/10 04:00:00+00,8326,250,767419,5083,2020/08/09 04:00:00+00,2020/08/15 04:00:00+00,202033,64
15.854,-2.866733,0.2606,0.2606,184,23.9765,6,0.7818,2021/02/25 11:17:00+00,92,2020/08/11 04:00:00+00,8506,256,767419,5176,2020/08/09 04:00:00+00,2020/08/15 04:00:00+00,202033,65
32.272666,16.418666,0.347466,0.086866,525,68.4111,2,0.2606,2021/02/25 11:17:00+00,123,2020/08/12 04:00:00+00,9025,258,767419,5296,2020/08/09 04:00:00+00,2020/08/15 04:00:00+00,202033,66
40.872933,8.600267,0.477766,0.1303,232,30.2312,3,0.3909,2021/02/25 11:17:00+00,78,2020/08/13 04:00:00+00,9242,261,767419,5373,2020/08/09 04:00:00+00,2020/08/15 04:00:00+00,202033,67
43.131566,2.258633,0.217166,-0.2606,236,30.7524,0,0,2021/02/25 11:17:00+00,55,2020/08/14 04:00:00+00,9458,261,767419,5427,2020/08/09 04:00:00+00,2020/08/15 04:00:00+00,202033,68
30.014,-13.117566,0.217166,0,223,29.0584,2,0.2606,2021/02/25 11:17:00+00,106,2020/08/15 04:00:00+00,9690,263,767419,5531,2020/08/09 04:00:00+00,2020/08/15 04:00:00+00,202033,69
27.494733,-2.519267,0.217166,0,174,22.6734,3,0.3909,2021/02/25 11:17:00+00,89,2020/08/16 04:00:00+00,9854,266,767419,5620,2020/08/16 04:00:00+00,2020/08/22 04:00:00+00,202034,70
22.890566,-4.604167,0.217166,0,130,16.9399,0,0,2021/02/25 11:17:00+00,36,2020/08/17 04:00:00+00,9979,266,767419,5656,2020/08/16 04:00:00+00,2020/08/22 04:00:00+00,202034,71
19.7632,-3.127366,0.217166,0,151,19.6763,2,0.2606,2021/02/25 11:17:00+00,107,2020/08/18 04:00:00+00,10122,269,767419,5762,2020/08/16 04:00:00+00,2020/08/22 04:00:00+00,202034,72
20.241,0.4778,0.086866,-0.1303,185,24.1068,0,0,2021/02/25 11:17:00+00,85,2020/08/19 04:00:00+00,10297,269,767419,5843,2020/08/16 04:00:00+00,2020/08/22 04:00:00+00,202034,73
25.800766,5.559766,0.1303,0.043434,258,33.6192,1,0.1303,2021/02/25 11:17:00+00,115,2020/08/20 04:00:00+00,10536,270,767419,5956,2020/08/16 04:00:00+00,2020/08/22 04:00:00+00,202034,74
30.882766,5.082,0.1303,0,268,34.9223,2,0.2606,2021/02/25 11:17:00+00,78,2020/08/21 04:00:00+00,10775,272,767419,6032,2020/08/16 04:00:00+00,2020/08/22 04:00:00+00,202034,75
33.532333,2.649567,0.2606,0.1303,246,32.0555,3,0.3909,2021/02/25 11:17:00+00,89,2020/08/22 04:00:00+00,11054,275,767419,6117,2020/08/16 04:00:00+00,2020/08/22 04:00:00+00,202034,76
29.058466,-4.473867,0.304033,0.043433,155,20.1976,2,0.2606,2021/02/25 11:17:00+00,47,2020/08/23 04:00:00+00,11196,277,767419,6166,2020/08/23 04:00:00+00,2020/08/29 04:00:00+00,202035,77
21.1966,-7.861866,0.217166,-0.086867,87,11.3367,0,0,2021/02/25 11:17:00+00,25,2020/08/24 04:00:00+00,11278,277,767419,6191,2020/08/23 04:00:00+00,2020/08/29 04:00:00+00,202035,78
19.8501,-1.3465,0.086866,-0.1303,215,28.016,0,0,2021/02/25 11:17:00+00,198,2020/08/25 04:00:00+00,11503,277,767419,6386,2020/08/23 04:00:00+00,2020/08/29 04:00:00+00,202035,79
19.0248,-0.8253,0.043433,-0.043433,136,17.7217,1,0.1303,2021/02/25 11:17:00+00,83,2020/08/26 04:00:00+00,11587,278,767419,6463,2020/08/23 04:00:00+00,2020/08/29 04:00:00+00,202035,80
23.4118,4.387,0.086866,0.043433,188,24.4977,1,0.1303,2021/02/25 11:17:00+00,133,2020/08/27 04:00:00+00,11767,279,767419,6593,2020/08/23 04:00:00+00,2020/08/29 04:00:00+00,202035,81
24.628,1.2162,0.086866,0,243,31.6646,0,0,2021/02/25 11:17:00+00,96,2020/08/28 04:00:00+00,11799,277,767419,6549,2020/08/23 04:00:00+00,2020/08/29 04:00:00+00,202035,82
29.6231,4.9951,0.043433,-0.043433,251,32.707,0,0,2021/02/25 11:17:00+00,71,2020/08/29 04:00:00+00,12223,279,767419,6761,2020/08/23 04:00:00+00,2020/08/29 04:00:00+00,202035,83
21.4572,-8.1659,0,-0.043433,0,0,0,0,2021/02/25 11:17:00+00,63,2020/08/30 04:00:00+00,12217,279,767419,6824,2020/08/30 04:00:00+00,2020/09/05 04:00:00+00,202036,84
17.2005,-4.2567,0,0,145,18.8945,0,0,2021/02/25 11:17:00+00,41,2020/08/31 04:00:00+00,12417,279,767419,6863,2020/08/30 04:00:00+00,2020/09/05 04:00:00+00,202036,85
18.199533,0.999033,0.1303,0.1303,274,35.7041,3,0.3909,2021/02/25 11:17:00+00,175,2020/09/01 04:00:00+00,12612,282,767419,7038,2020/08/30 04:00:00+00,2020/09/05 04:00:00+00,202036,86
28.971566,10.772033,0.564666,0.434366,248,32.3161,10,1.3031,2021/02/25 11:17:00+00,158,2020/09/02 04:00:00+00,12847,292,767419,7194,2020/08/30 04:00:00+00,2020/09/05 04:00:00+00,202036,87
31.751433,2.779867,0.912166,0.3475,209,27.2341,8,1.0425,2021/02/25 11:17:00+00,318,2020/09/03 04:00:00+00,13569,301,767419,7521,2020/08/30 04:00:00+00,2020/09/05 04:00:00+00,202036,88
31.534266,-0.217167,0.8253,-0.086866,269,35.0526,1,0.1303,2021/02/25 11:17:00+00,73,2020/09/04 04:00:00+00,14330,302,767419,7589,2020/08/30 04:00:00+00,2020/09/05 04:00:00+00,202036,89
26.148266,-5.386,0.390933,-0.434367,124,16.1581,0,0,2021/02/25 11:17:00+00,170,2020/09/06 04:00:00+00,13322,280,767419,7296,2020/09/06 04:00:00+00,2020/09/12 04:00:00+00,202037,90
18.937966,-7.2103,0.043433,-0.3475,43,5.6032,0,0,2021/02/25 11:17:00+00,56,2020/09/07 04:00:00+00,14263,294,767419,7645,2020/09/06 04:00:00+00,2020/09/12 04:00:00+00,202037,91
8.1659,-10.772066,0,-0.043433,21,2.7364,0,0,2021/02/25 11:17:00+00,147,2020/09/08 04:00:00+00,14287,296,767419,7803,2020/09/06 04:00:00+00,2020/09/12 04:00:00+00,202037,92
8.643666,0.477766,0.2606,0.2606,135,17.5914,6,0.7818,2021/02/25 11:17:00+00,99,2020/09/09 04:00:00+00,14414,302,767419,7904,2020/09/06 04:00:00+00,2020/09/12 04:00:00+00,202037,93
46.345833,-20.154133,0.8687,-0.217166,78,10.1639,1,0.1303,2021/02/25 11:17:00+00,40,2021/02/07 05:00:00+00,69759,845,767419,34260,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,94
47.996366,2.432366,0.5212,-0.086866,441,57.4653,3,0.3909,2021/02/25 11:17:00+00,175,2020/10/30 04:00:00+00,24761,402,767419,12783,2020/10/25 04:00:00+00,2020/10/31 04:00:00+00,202044,95
10.424533,-1.8243,0.086866,-0.2606,62,8.079,0,0,2021/03/29 10:29:00+00,63,2021/03/29 04:00:00+00,77580,990,767419,40492,2021/03/28 04:00:00+00,2021/04/03 04:00:00+00,202114,96
51.471233,-2.519267,0.825266,-0.390934,316,41.177,2,0.2606,2021/02/25 11:17:00+00,271,2020/12/19 05:00:00+00,47935,612,767419,25883,2020/12/13 05:00:00+00,2020/12/19 05:00:00+00,202051,97
12.856933,-1.911167,0.1303,0,145,18.8945,2,0.2606,2021/02/25 11:17:00+00,145,2020/09/22 04:00:00+00,16124,311,767419,8928,2020/09/20 04:00:00+00,2020/09/26 04:00:00+00,202039,98
34.183833,-12.162,0.781833,-0.086867,296,38.5708,1,0.1303,2021/02/25 11:17:00+00,90,2021/02/08 05:00:00+00,70058,843,767419,34348,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,99
7.9487,0.7384,0.3909,-0.086866,88,11.467,3,0.3909,2021/02/25 11:17:00+00,39,2020/04/18 04:00:00+00,854,68,767419,352,2020/04/12 04:00:00+00,2020/04/18 04:00:00+00,202016,100
47.909466,-0.0869,0.347466,-0.173734,354,46.1286,1,0.1303,2021/02/25 11:17:00+00,297,2020/10/31 04:00:00+00,24988,402,767419,12968,2020/10/25 04:00:00+00,2020/10/31 04:00:00+00,202044,101
10.2508,-0.173733,0.2606,0.173734,87,11.3367,6,0.7818,2021/03/30 10:29:00+00,66,2021/03/30 04:00:00+00,77649,996,767419,40554,2021/03/28 04:00:00+00,2021/04/03 04:00:00+00,202114,102
2.8233,1.694,0.3909,0.217167,45,5.8638,5,0.6515,2021/02/25 11:17:00+00,38,2020/06/02 04:00:00+00,2608,176,767419,1762,2020/05/31 04:00:00+00,2020/06/06 04:00:00+00,202023,103
18.4167,5.559767,0.347466,0.217166,202,26.322,6,0.7818,2021/02/25 11:17:00+00,120,2020/09/23 04:00:00+00,16321,317,767419,9048,2020/09/20 04:00:00+00,2020/09/26 04:00:00+00,202039,104
51.123766,-0.347467,0.651533,-0.173733,297,38.7012,0,0,2021/02/25 11:17:00+00,145,2020/12/20 05:00:00+00,48228,612,767419,26030,2020/12/20 05:00:00+00,2020/12/26 05:00:00+00,202052,105
36.746533,2.5627,0.304033,-0.4778,472,61.5049,5,0.6515,2021/02/25 11:17:00+00,198,2021/02/09 05:00:00+00,70516,849,767419,34528,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,106
7.427466,-0.521234,0.3909,0,36,4.691,2,0.2606,2021/02/25 11:17:00+00,11,2020/04/19 04:00:00+00,890,70,767419,363,2020/04/19 04:00:00+00,2020/04/25 04:00:00+00,202017,107
47.648866,-0.2606,0.173733,-0.173733,302,39.3527,0,0,2021/02/25 11:17:00+00,40,2020/11/01 04:00:00+00,25285,402,767419,13009,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,108
6.906266,-3.344534,0.304033,0.043433,10,1.3031,1,0.1303,2021/03/31 10:30:00+00,65,2021/03/31 04:00:00+00,77636,997,767419,40618,2021/03/28 04:00:00+00,2021/04/03 04:00:00+00,202114,109
5.472866,2.649566,0.5212,0.1303,61,7.9487,3,0.3909,2021/02/25 11:17:00+00,60,2020/06/03 04:00:00+00,2651,179,767419,1826,2020/05/31 04:00:00+00,2020/06/06 04:00:00+00,202023,110
20.805666,2.388966,0.477766,0.1303,132,17.2005,3,0.3909,2021/02/25 11:17:00+00,112,2020/09/24 04:00:00+00,16441,318,767419,9155,2020/09/20 04:00:00+00,2020/09/26 04:00:00+00,202039,111
32.576733,-18.547033,0.086866,-0.564667,137,17.852,0,0,2021/02/25 11:17:00+00,155,2020/12/21 05:00:00+00,48689,612,767419,26184,2020/12/20 05:00:00+00,2020/12/26 05:00:00+00,202052,112
45.9549,9.208367,0.304033,0,290,37.789,1,0.1303,2021/02/25 11:17:00+00,172,2021/02/10 05:00:00+00,70796,851,767419,34697,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,113
7.3406,-0.086866,0.347466,-0.043434,45,5.8638,3,0.3909,2021/02/25 11:17:00+00,35,2020/04/20 04:00:00+00,899,73,767419,399,2020/04/19 04:00:00+00,2020/04/25 04:00:00+00,202017,114
36.659666,-10.9892,0.043433,-0.1303,188,24.4977,0,0,2021/02/25 11:17:00+00,36,2020/11/02 05:00:00+00,25473,402,767419,13045,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,115
14.333766,7.4275,0.347466,0.043433,233,30.3615,1,0.1303,2021/04/01 10:30:00+00,61,2021/04/01 04:00:00+00,77863,998,767419,40680,2021/03/28 04:00:00+00,2021/04/03 04:00:00+00,202114,116
7.2103,1.737434,0.434333,-0.086867,60,7.8184,2,0.2606,2021/02/25 11:17:00+00,31,2020/06/04 04:00:00+00,2703,181,767419,1857,2020/05/31 04:00:00+00,2020/06/06 04:00:00+00,202023,117
23.498666,2.693,0.434333,-0.043433,207,26.9735,1,0.1303,2021/02/25 11:17:00+00,82,2020/09/25 04:00:00+00,16652,319,767419,9235,2020/09/20 04:00:00+00,2020/09/26 04:00:00+00,202039,118
54.1208,21.544067,0.217166,0.1303,812,105.8092,5,0.6515,2021/02/25 11:17:00+00,312,2020/12/22 05:00:00+00,49153,617,767419,26489,2020/12/20 05:00:00+00,2020/12/26 05:00:00+00,202052,119
48.821666,2.866766,0.477766,0.173733,362,47.1711,5,0.6515,2021/02/25 11:17:00+00,364,2021/02/11 05:00:00+00,71126,856,767419,35063,2021/02/07 05:00:00+00,2021/02/13 05:00:00+00,202107,120
6.298133,-1.042467,0.347466,0,64,8.3396,3,0.3909,2021/02/25 11:17:00+00,44,2020/04/21 04:00:00+00,907,76,767419,440,2020/04/19 04:00:00+00,2020/04/25 04:00:00+00,202017,121
36.616233,-0.043433,0.3475,0.304067,353,45.9983,8,1.0425,2021/02/25 11:17:00+00,155,2020/11/03 05:00:00+00,25813,410,767419,13194,2020/11/01 04:00:00+00,2020/11/07 05:00:00+00,202045,122
