330.fips,8123.0,12009
2508.countytwo,Stnley ,Stanley 
315.fips,1045.0,9003
2872.countytwo,Davi s,Davis 
3037.fipstwo,f5009,f50009
464.statefips,86,13
2562.county,Johnso ,Johnson 
2343.fipstwo,tf72043,f72043
239.statecounty,AK_Aleutians East Borough,CA_Solano
333.statecounty,AK_Prince of Wales-Hyder Census Area,FL_Charlotte
3058.countytwo,Garfeild ,Garfield 
325.fipstwo,f02185,f10005
263.statecounty,AK_Valdez-Cordova Census Area,CO_Crowley
349.county,Hadree ,Hardee 
105.county,North Slope Borough,Chicot 
3174.county,kHarrison ,Harrison 
190.statefips,2.0,4
1870.statevalue,jNE,NE
116.county,Anchorage Municipality,Dallas 
872.statevalue,NI,IN
188.fips,1023.0,4021
1005.statevalue,KzY,KY
2448.countytwo,Unio n,Union 
924.countytwo,Farnklin ,Franklin 
178.fips,2110.0,4003
185.statevalue,AyZ,AZ
1797.statecounty,ND_rOliver,ND_Oliver
2978.fipstwo,5f1121,f51121
247.fips,6059.0,6111
308.fips,2013.0,8115
2786.county,Navarroo ,Navarro 
1430.statecounty,MO_lCark,MO_Clark
38.county,Bristol Bay Borough,Chambers 
1583.statevalue,MaS,MS
249.fipstwo,f02240,f06115
194.fips,2150.0,6005
2420.fipstwo,fz45031,f45031
610.statefips,89,19
2897.county,Alubemarle ,Albemarle 
878.fipstwo,f18115,f18151
244.county,Anchorage Municipality,Trinity 
1965.county,Sa Juan ,San Juan 
84.county,Bristol Bay Borough,Pike 
1168.countytwo,St. aLndry ,St. Landry 
438.statefips,92,13
1132.statevalue,LzA,LA
2423.statecounty,SC_Edgfeield,SC_Edgefield
269.county,Bristol Bay Borough,Eagle 
1960.statevalue,M,NM
1296.fipstwo,f21617,f26117
2475.countytwo,Grnt ,Grant 
91.fips,2070.0,1123
181.fipstwo,f02016,f04009
1931.fipstwo,f34201,f34021
895.countytwo,Alen ,Allen 
249.statevalue,AC,CA
2698.statecounty,TXG_lasscock,TX_Glasscock
87.fips,2050.0,1117
21.statevalue,K,AK
446.statecounty,G_AEvans,GA_Evans
673.statevalue,DI,ID
61.statecounty,AK_Haines Borough,AL_Greene
1815.fipstwo,3f8101,f38101
327.county,Dillingham Census Area,Baker 
2964.fipstwo,f5f1103,f51103
775.statevalue,LI,IL
1419.countytwo,Buter ,Butler 
2920.countytwo,Charlottesvyille city,Charlottesville city
2512.statecounty,SgD_Turner,SD_Turner
1420.statecounty,MO_Caldywell,MO_Caldwell
2608.statecounty,NT_Weakley,TN_Weakley
56.fipstwo,f02110,f01053
2252.fipstwo,f40167,f41067
1309.fipstwo,f26413,f26143
380.statevalue,dFL,FL
2861.statecounty,TdX_Wood,TX_Wood
506.statevalue,AG,GA
1357.countytwo,La cqui Parle ,Lac qui Parle 
2573.statevalue,NT,TN
3002.statevalue,A,VA
20.fips,2020.0,2195
2670.fipstwo,4f8117,f48117
2861.countytwo,gWood ,Wood 
2283.fipstwo,f40257,f42057
367.statecounty,AK_Fairbanks North Star Borough,FL_Martin
1462.county,Lawrnce ,Lawrence 
2068.county,Columbiaina ,Columbiana 
1844.countytwo,Dvodge ,Dodge 
1733.fipstwo,f3737,f37137
1683.fipstwo,f3703m7,f37037
382.fipstwo,f02180,f12117
1216.county,Somerse ,Somerset 
2082.countytwo,Grenee ,Greene 
2566.county,Lawrecne ,Lawrence 
219.statefips,2.0,6
1884.county,Pawne e,Pawnee 
511.statevalue,A,GA
180.county,Matanuska-Susitna Borough,Gila 
544.statefips,47,13
214.fips,2110.0,6045
1529.county,mite ,Amite 
441.statefips,45,13
1985.countytwo,yon ,Lyon 
329.county,Bethel Census Area,Bradford 
2034.statevalue,YN,NY
2871.countytwo,Daggett ***,Daggett 
3127.statecounty,WI_Monrnoe,WI_Monroe
1828.fipstwo,31021,f31021
59.fips,2122.0,1059
3101.county,Dougdlas ,Douglas 
652.statefips,98,19
593.statefips,73,19
2636.statecounty,TX_Bronw,TX_Brown
2718.statecounty,TX_Hederson,TX_Henderson
546.statefips,38,13
2858.statevalue,nTX,TX
2645.statevalue,X,TX
2973.statecounty,VA_Manassas Park ctiy,VA_Manassas Park city
594.countytwo,reene ,Greene 
237.county,Aleutians East Borough,Sierra 
3168.statevalue,VW,WV
779.countytwo,Radolph ,Randolph 
551.statefips,97,13
2113.countytwo,Muskngum ,Muskingum 
274.fipstwo,f02016,f08047
2902.statecounty,VA_oAppomattox,VA_Appomattox
2424.county,airfield ,Fairfield 
1259.statevalue,IM,MI
683.county,Jerom e,Jerome 
290.fips,2050.0,8079
65.statecounty,AK_Kodiak Island Borough,AL_Jackson
1673.countytwo,Blaen ,Bladen 
968.fipstwo,2f0147,f20147
1466.statevalue,O,MO
373.statecounty,AK_Dillingham Census Area,FL_Orange
889.county,Warrick ***,Warrick 
502.statefips,92,13
2494.statecounty,SDt_McCook,SD_McCook
2694.statevalue,XT,TX
1098.county,Powlel ,Powell 
93.statecounty,AK_Valdez-Cordova Census Area,AL_Walker
1455.county,ackson ,Jackson 
1851.fipstwo,3f1067,f31067
30.statecounty,CO_Weld,AL_Autauga
347.county,Guf ,Gulf 
1397.statecounty,MN_Toidd,MN_Todd
231.fips,2105.0,6079
2225.statecounty,OR_rCook,OR_Crook
182.fips,5079.0,4011
245.fips,2016.0,6107
2263.county,Bcuks ,Bucks 
1544.countytwo,Forrset ,Forrest 
709.statevalue,LI,IL
2145.fipstwo,4f0007,f40007
1901.county,Santon ,Stanton 
1995.county,Brodome ,Broome 
867.statevalue,IrN,IN
29.statevalue,oAK,AK
2542.fipstwo,f4o7051,f47051
700.statevalue,IpD,ID
966.county,Ottaw a,Ottawa 
1090.county,icholas ,Nicholas 
29.county,Anchorage Municipality,Yukon-Koyukuk Census Area
215.statevalue,A,CA
340.fips,2050.0,12031
387.statecounty,AK_Kodiak Island Borough,FL_Taylor
960.fipstwo,df20131,f20131
1106.county,Simpso n,Simpson 
489.county,MDcuffie ,McDuffie 
167.statecounty,AK_Bristol Bay Borough,AR_Van Buren
224.fips,2060.0,6065
130.fips,2020.0,5067
22.county,Anchorage Municipality,Sitka City and Borough
318.county,New Hmaven ,New Haven 
456.countytwo,Gordo n,Gordon 
1591.fipstwo,28129,f28129
189.fips,2105.0,4023
1882.county,Nuckkolls ,Nuckolls 
136.fipstwo,f02170,f05079
2351.countytwo,Guayama Muicipio,Guayama Municipio
1963.fipstwo,zf35039,f35039
238.statefips,2.0,6
89.statecounty,AL_Blount,AL_Sumter
158.statecounty,AK_Dillingham Census Area,AR_Saline
2714.countytwo,Hacrtley ,Hartley 
117.statefips,2.0,5
359.fipstwo,f02150,f12069
184.fips,2070.0,4013
24.fips,2100.0,2240
3154.fipstwo,f5535,f55135
273.statefips,2.0,8
382.statecounty,AK_Denali Borough,FL_Seminole
2649.countytwo,Chlidress ,Childress 
204.statevalue,AC,CA
21.county,Anchorage Municipality,Prince of Wales-Hyder Census Area
182.statevalue,AK,AZ
2531.statecounty,NT_Cocke,TN_Cocke
2043.county,Sffolk ,Suffolk 
922.fipstwo,f20055***,f20055
1501.countytwo,kScotland ,Scotland 
335.county,Kenai Peninsula Borough,Clay 
70.county,Matanuska-Susitna Borough,Lee 
2261.statevalue,AP,PA
2923.county,Claurke ,Clarke 
2368.statecounty,PR_Manati Muncipio,PR_Manati Municipio
230.fips,2013.0,6077
1446.statecounty,MO_Greee,MO_Greene
59.statefips,2.0,1
744.statevalue,pIL,IL
175.fipstwo,f02050,f60040
342.fips,2013.0,12035
444.fipstwo,f1305,f13105
338.statevalue,oFL,FL
1148.statevalue,LwA,LA
2441.countytwo,Ocronee ,Oconee 
1706.county,alifax ,Halifax 
976.county,Rkooks ,Rooks 
30.county,Anchorage Municipality,Autauga 
2806.statevalue,X,TX
1711.countytwo,Hokee ,Hoke 
1125.countytwo,Beayuregard ,Beauregard 
2479.county,Han ,Hand 
2867.countytwo,Bevaer ,Beaver 
3125.fipstwo,5f5078,f55078
226.fipstwo,f02180,f06069
512.statecounty,GA_Randoluph,GA_Randolph
47.statevalue,LA,AL
3005.statecounty,VARockbridge,VA_Rockbridge
378.fipstwo,f08101,f12105
1813.statevalue,DN,ND
276.statevalue,CdO,CO
242.county,Bristol Bay Borough,Sutter 
242.statevalue,CqA,CA
2854.statevalue,XT,TX
272.fips,2068.0,8043
133.statefips,2.0,5
2733.statecounty,TX_Jeff avis,TX_Jeff Davis
2408.statevalue,C,SC
312.county,Anchorage Municipality,Weld 
170.fipstwo,f02170,f05147
422.statefips,93,13
252.county,Haines Borough,Arapahoe 
3073.countytwo,Perce ,Pierce 
257.statefips,2.0,8
1628.statevalue,qMT,MT
2817.statecounty,TX_Sane Saba,TX_San Saba
1724.countytwo,Mecklenbuurg ,Mecklenburg 
389.fipstwo,f08069,f12127
78.statefips,2.0,1
304.statevalue,CbO,CO
1047.statevalue,YK,KY
1034.statevalue,yKY,KY
152.statefips,2.0,5
1727.county,Mooer ,Moore 
594.fipstwo,1f9073,f19073
931.county,Geenwood ,Greenwood 
380.statecounty,AR_Ashley,FL_Santa Rosa
2308.county,Shuylkill ,Schuylkill 
118.statecounty,AK_Denali Borough,AR_Drew
1508.countytwo,St. Lois ,St. Louis 
282.statecounty,AK_Bethel Census Area,CO_Kit Carson
1404.fipstwo,tf27167,f27167
465.statevalue,AG,GA
1456.fipstwo,nf29097,f29097
3173.countytwo,Hardyw ,Hardy 
306.fips,2105.0,8111
1856.countytwo,lGreeley ,Greeley 
179.fipstwo,f01075,f04005
436.countytwo,DeKal ,DeKalb 
1144.statevalue,A,LA
500.statefips,30,13
1428.statevalue,OM,MO
2165.county,arfield ,Garfield 
3208.fipstwo,f5101,f54101
3191.fipstwo,yf54067,f54067
2266.statecounty,PA_pCameron,PA_Cameron
136.statefips,2.0,5
2938.fipstwo,5f1063,f51063
380.countytwo,Santa Rosda ,Santa Rosa 
1024.county,Clrk ,Clark 
1515.statevalue,OM,MO
250.statefips,2.0,8
1788.county,oLgan ,Logan 
1769.countytwo,Bohttineau ,Bottineau 
2971.statecounty,VA_Madisno,VA_Madison
3223.countytwo,Lramie ,Laramie 
1258.county,Delat ,Delta 
424.statefips,113,13
1707.countytwo,Harenett ,Harnett 
567.statefips,24,19
2156.statevalue,KO,OK
2323.county,Aguad Municipio,Aguada Municipio
73.fipstwo,f02016,f01087
3056.countytwo,Frery ,Ferry 
717.countytwo,Crwaford ,Crawford 
844.statecounty,IN_nox,IN_Knox
595.countytwo,Grlundy ,Grundy 
503.statefips,111,13
1633.fipstwo,f3004b9,f30049
170.fips,2016.0,5147
2295.statevalue,AP,PA
2756.statecounty,vTX_Leon,TX_Leon
58.statevalue,L,AL
2799.statevalue,pTX,TX
3198.county,Raleeigh ,Raleigh 
282.fips,2016.0,8063
876.fipstwo,f11841,f18141
570.statefips,35,19
3180.county,ogan ,Logan 
1817.statevalue,DN,ND
2225.fipstwo,f40113,f41013
54.statevalue,vAL,AL
2017.county,Laivingston ,Livingston 
3040.county,Lmaoille ,Lamoille 
90.fipstwo,f02164,f01121
1602.county,Washingtvon ,Washington 
351.statevalue,L,FL
1956.county,Lincol n,Lincoln 
154.statevalue,R,AR
297.fipstwo,f02170,f08093
1679.countytwo,mCamden ,Camden 
2152.statevalue,KO,OK
254.statefips,2.0,8
480.countytwo,Le e,Lee 
2166.fipstwo,f04049,f40049
1499.county,Saine ,Saline 
128.statevalue,RA,AR
1986.countytwo,Minreal ,Mineral 
337.statevalue,L,FL
2354.statevalue,R,PR
1243.fipstwo,fe26011,f26011
2203.statevalue,K,OK
164.fips,1045.0,5123
114.statefips,2.0,5
328.fipstwo,f02290,f12005
213.fipstwo,f01003,f06043
75.statefips,2.0,1
801.statecounty,LI_Winnebago,IL_Winnebago
2629.countytwo,osque ,Bosque 
578.countytwo,Clxay ,Clay 
182.county,Juneau City and Borough,Greenlee 
2925.fipstwo,f5p1580,f51580
236.statevalue,A,CA
507.statefips,100,13
1823.statevalue,EN,NE
255.fipstwo,f01055,f08011
643.statefips,111,19
3030.statevalue,xVI,VI
1924.county,Camdefn ,Camden 
2612.fipstwo,fq48001,f48001
110.statefips,2.0,5
2333.statecounty,P_RCabo Rojo Municipio,PR_Cabo Rojo Municipio
3035.fipstwo,f50005***,f50005
2903.countytwo,Arlibngton ,Arlington 
1840.countytwo,Dwaes ,Dawes 
157.fips,2060.0,5121
2543.statevalue,vTN,TN
375.fipstwo,f08013,f12099
732.statevalue,LI,IL
1206.fipstwo,f240f17,f24017
198.fips,2105.0,6013
158.fips,2016.0,5125
259.statecounty,AK_Denali Borough,CO_Cheyenne
56.statefips,2.0,1
254.fips,2070.0,8009
212.statefips,2.0,6
351.statecounty,AK_Anchorage Municipality,FL_Hernando
1889.countytwo,olk ,Polk 
323.fips,2050.0,10001
178.statefips,2.0,4
2920.statevalue,A,VA
2795.statevalue,TdX,TX
1440.statevalue,sMO,MO
1818.countytwo,dams ,Adams 
1712.county,Hyed ,Hyde 
239.county,Aleutians East Borough,Solano 
1263.statecounty,IM_Gladwin,MI_Gladwin
1517.statecounty,MO_Warrne,MO_Warren
1731.statecounty,aNC_Onslow,NC_Onslow
89.statevalue,LA,AL
388.statevalue,L,FL
331.fipstwo,f02180,f12011
52.statefips,2.0,1
231.statefips,2.0,6
1003.fipstwo,jf21007,f21007
2558.fipstwo,f7083,f47083
48.fipstwo,f01025,f01037
376.statecounty,AR_Lincoln,FL_Pasco
2774.fipstwo,fr48325,f48325
2252.statecounty,OR_Washingon,OR_Washington
139.fips,5079.0,5085
3070.statecounty,WA_kOanogan,WA_Okanogan
2448.statecounty,S_Union,SC_Union
1542.county,Covngton ,Covington 
2162.county,elaware ,Delaware 
1579.county,Oktibeha ,Oktibbeha 
261.statefips,2.0,8
473.statevalue,AG,GA
1831.fipstwo,31027,f31027
1477.statevalue,OM,MO
232.fipstwo,f02013,f06081
1963.countytwo,Rio Ariba ,Rio Arriba 
1897.statecounty,NE_Sewadr,NE_Seward
1681.countytwo,Cawell ,Caswell 
914.countytwo,Decautr ,Decatur 
1158.statecounty,LA_Poinet Coupee,LA_Pointe Coupee
1008.county,Bousrbon ,Bourbon 
2167.countytwo,Grayd ,Grady 
1632.fipstwo,f3004e7,f30047
2058.county,Athen s,Athens 
2415.countytwo,Chejrokee ,Cherokee 
155.fipstwo,f02060,f05117
299.countytwo,Ptikin ,Pitkin 
3089.countytwo,ayfield ,Bayfield 
2940.countytwo,Franklign ,Franklin 
695.fipstwo,f16707,f16077
272.fipstwo,f02100,f08043
2009.countytwo,Fultvon ,Fulton 
176.fips,2090.0,60050
601.statefips,109,19
412.statevalue,A,GA
2364.statevalue,wPR,PR
677.fipstwo,f1604j1,f16041
126.county,Kenai Peninsula Borough,Hot Spring 
201.fips,2060.0,6019
367.fipstwo,f02110,f12085
1663.fipstwo,f31009,f30109
1812.countytwo,Towenr ,Towner 
1044.county,Gerenup ,Greenup 
166.county,North Slope Borough,Union 
1042.fipstwo,f21058,f21085
45.fipstwo,f01019,f01031
1692.statecounty,NC_are,NC_Dare
3076.county,Skamnia ,Skamania 
2909.county,Bkotetourt ,Botetourt 
1285.countytwo,Luc e,Luce 
259.countytwo,Chyenne ,Cheyenne 
1146.fipstwo,f2t2053,f22053
527.statefips,60,13
281.statefips,2.0,8
3004.statevalue,A,VA
2676.county,oDnley ,Donley 
858.statecounty,N_Newton,IN_Newton
990.fipstwo,f20119,f20191
487.statecounty,GA_Madisn,GA_Madison
2118.county,Pickaay ,Pickaway 
2668.countytwo,Dallacs ,Dallas 
2333.county,Cabo Rojo Muynicipio,Cabo Rojo Municipio
419.statefips,73,13
3206.statecounty,WV_Ushur,WV_Upshur
774.statevalue,L,IL
2723.county,Hopins ,Hopkins 
399.statecounty,CA_San Joaquin,GA_Barrow
2566.countytwo,Lawrdence ,Lawrence 
2999.fipstwo,f51705,f51750
314.fipstwo,f01003,f09001
1129.countytwo,Calcasieeu ,Calcasieu 
381.statecounty,AK_Kenai Peninsula Borough,FL_Sarasota
72.statevalue,L,AL
836.statevalue,NI,IN
522.countytwo,pTalbot ,Talbot 
2228.countytwo,Douglaso ,Douglas 
645.statefips,21,19
2144.statecounty,OK_Agtoka,OK_Atoka
387.fipstwo,f08107,f12123
57.statevalue,AbL,AL
3105.fipstwo,f5503v9,f55039
1402.fipstwo,f72163,f27163
777.county,Puldaski ,Pulaski 
1537.statevalue,S,MS
269.fips,2068.0,8037
1050.countytwo,Hnderson ,Henderson 
3076.fipstwo,f53h059,f53059
306.statecounty,AK_Kodiak Island Borough,CO_San Juan
39.fips,2016.0,1019
1728.countytwo,Nsh ,Nash 
3098.fipstwo,55025,f55025
1758.statecounty,NCW_ashington,NC_Washington
197.fips,2150.0,6011
2774.countytwo,Medin a,Medina 
1873.statevalue,jNE,NE
619.statefips,74,19
109.statecounty,AK_Yukon-Koyukuk Census Area,AR_Cleveland
2229.county,Gillam ,Gilliam 
1513.fipstwo,f2911,f29211
2036.statevalue,Y,NY
967.fipstwo,fh20145,f20145
2918.countytwo,Charles iCty ,Charles City 
2186.statevalue,KO,OK
499.statefips,65,13
514.statevalue,AG,GA
1923.fipstwo,f4005,f34005
656.statefips,52,19
1433.statevalue,O,MO
1950.countytwo,Edyd ,Eddy 
3068.countytwo,iLncoln ,Lincoln 
2971.statevalue,A,VA
3018.statevalue,VmA,VA
36.county,Matanuska-Susitna Borough,Butler 
2779.county,Mtichell ,Mitchell 
53.county,North Slope Borough,Dallas 
139.statevalue,AlR,AR
1001.fipstwo,cf21003,f21003
2694.fipstwo,48165,f48165
44.fips,2068.0,1029
3113.statecounty,oWI_Jefferson,WI_Jefferson
328.fips,2013.0,12005
1872.statecounty,NE_Lancaser,NE_Lancaster
2972.statecounty,VA_Manassas ncity,VA_Manassas city
1033.statecounty,KY_Fayeytte,KY_Fayette
1310.countytwo,aSginaw ,Saginaw 
1199.statevalue,nMD,MD
1606.statecounty,M_Winston,MS_Winston
779.statevalue,LI,IL
2545.countytwo,Grianger ,Grainger 
588.county,Dubuqeu ,Dubuque 
1074.fipstwo,tf21155,f21155
108.fipstwo,f01133,f05023
1343.county,Fillmorle ,Fillmore 
2282.countytwo,rFanklin ,Franklin 
2835.county,Throkmorton ,Throckmorton 
516.statefips,18,13
264.statecounty,AK_Anchorage Municipality,CO_Custer
2827.county,Sterlingc ,Sterling 
25.statevalue,K,AK
97.statefips,2.0,5
990.statecounty,KS_Sumnmer,KS_Sumner
295.county,Aleutians West Census Area,Otero 
611.fipstwo,f1910u7,f19107
2822.statecounty,TX_Shermxan,TX_Sherman
489.statecounty,GA_cDuffie,GA_McDuffie
168.statevalue,fAR,AR
478.statevalue,GiA,GA
82.county,Haines Borough,Perry 
1030.fipstwo,21061,f21061
2308.statecounty,PA_cShuylkill,PA_Schuylkill
122.statecounty,AK_Matanuska-Susitna Borough,AR_Garland
385.fipstwo,f02180,f12119
2931.statevalue,VjA,VA
205.statecounty,AK_Nome Census Area,CA_Inyo
1297.fipstwo,26119,f26119
370.fipstwo,f08013,f12089
3216.county,Carbo ,Carbon 
3061.statevalue,A,WA
117.fipstwo,f01017,f05041
1423.countytwo,Cape Girardieau ,Cape Girardeau 
2155.statecounty,OK_lCeveland,OK_Cleveland
2832.statevalue,TmX,TX
162.fips,2100.0,5133
56.fips,2105.0,1053
3037.statevalue,VpT,VT
279.fips,2016.0,8057
1490.statevalue,OM,MO
2085.fipstwo,39063,f39063
201.fipstwo,f02050,f06019
1727.countytwo,More ,Moore 
809.fipstwo,f1801z3,f18013
89.county,Anchorage Municipality,Sumter 
336.fips,2013.0,12021
277.fipstwo,f02016,f08053
616.statefips,106,19
1927.countytwo,Essexj ,Essex 
1725.statevalue,CN,NC
2699.statecounty,TX_oliad,TX_Goliad
2891.statecounty,UT_tUah,UT_Utah
363.statecounty,AK_Anchorage Municipality,FL_Liberty
1838.countytwo,nCuster ,Custer 
575.statecounty,IA_Cheroee,IA_Cherokee
288.fips,2068.0,8075
162.fipstwo,f02164,f05133
195.fips,2070.0,6007
937.statecounty,KzS_Jackson,KS_Jackson
487.statefips,20,13
2665.county,Clrosby ,Crosby 
202.statecounty,AK_Ketchikan Gateway Borough,CA_Glenn
264.fips,2050.0,8027
2660.countytwo,Cooke ***,Cooke 
3165.countytwo,Clkay ,Clay 
2007.fipstwo,f63031,f36031
314.county,Juneau City and Borough,Fairfield 
1817.fipstwo,mf38105,f38105
67.county,Lamrar ,Lamar 
633.statefips,31,19
34.fips,2050.0,1009
46.statecounty,CO_Weld,AL_Colbert
624.statevalue,A,IA
2318.statecounty,PA_Wyane,PA_Wayne
2425.statevalue,SxC,SC
2686.statecounty,TX_Faeytte,TX_Fayette
720.countytwo,DaeKalb ,DeKalb 
2843.fipstwo,f4t8463,f48463
2206.fipstwo,f4129,f40129
2081.statecounty,H_Geauga,OH_Geauga
301.statecounty,AK_Denali Borough,CO_Pueblo
2410.fipstwo,4f5011,f45011
374.statecounty,AK_Hoonah-Angoon Census Area,FL_Osceola
1300.countytwo,Oaklan d,Oakland 
2805.county,Red Rivetr ,Red River 
1334.countytwo,lay ,Clay 
1565.county,aLwrence ,Lawrence 
2456.countytwo,rown ,Brown 
1690.countytwo,Cumberalnd ,Cumberland 
200.fips,2122.0,6017
2309.statevalue,A,PA
28.fips,2050.0,2282
1345.statecounty,MN_Goodheu,MN_Goodhue
828.county,Giblson ,Gibson 
2605.fipstwo,f4777,f47177
848.statecounty,IN_LaPorqte,IN_LaPorte
1193.countytwo,Nantucekt ,Nantucket 
372.statevalue,L,FL
234.statefips,2.0,6
944.statevalue,KcS,KS
436.fipstwo,f13098,f13089
400.statevalue,AG,GA
1085.statecounty,KY_Monore,KY_Monroe
3031.statecounty,VI_St. Jzohn Island,VI_St. John Island
2275.fipstwo,fk42041,f42041
64.fipstwo,f02105,f01069
2628.statecounty,TqX_Borden,TX_Borden
1808.statecounty,ND_Slpe,ND_Slope
989.statecounty,KS_Stevesn,KS_Stevens
617.countytwo,Lyonm ,Lyon 
112.statecounty,AK_Denali Borough,AR_Craighead
348.fips,1055.0,12047
2506.countytwo,Shanlnon ,Shannon 
2235.fipstwo,41033,f41033
3055.statecounty,WA_Dogulas,WA_Douglas
1584.county,ontotoc ,Pontotoc 
286.fips,2100.0,8071
141.county,Aleutians West Census Area,Marion 
815.statecounty,N_Crawford,IN_Crawford
3045.statecounty,VT_Widham,VT_Windham
302.statefips,2.0,8
589.county,Emet ,Emmet 
124.statecounty,AK_North Slope Borough,AR_Greene
224.statevalue,A,CA
2263.statecounty,PA_Bucsk,PA_Bucks
1696.county,Durhm ,Durham 
1156.county,Oachita Parish,Ouachita Parish
91.county,Bristol Bay Borough,Tallapoosa 
2960.countytwo,Jams City ,James City 
2486.county,Jrauld ,Jerauld 
356.statecounty,AK_Haines Borough,FL_Jackson
2542.countytwo,Franklign ,Franklin 
2018.fipstwo,f3t6053,f36053
2379.statecounty,PR_Pone Municipio,PR_Ponce Municipio
2982.countytwo,Nofrolk city,Norfolk city
1700.statecounty,NC_Gastno,NC_Gaston
2081.countytwo,mGeauga ,Geauga 
3170.statevalue,VW,WV
455.statecounty,GA_fGlynn,GA_Glynn
368.statefips,101,12
995.statevalue,fKS,KS
295.fipstwo,f02261,f08089
205.fips,2016.0,6027
2066.statecounty,OH_lCermont,OH_Clermont
309.fipstwo,f01015,f08117
234.county,Matanuska-Susitna Borough,Santa Clara 
2559.countytwo,Humhpreys ,Humphreys 
2478.county,Hamiln ,Hamlin 
1446.countytwo,Ghreene ,Greene 
2170.countytwo,aHrmon ,Harmon 
479.statecounty,GA_Lauerns,GA_Laurens
3107.countytwo,rant ,Grant 
2195.fipstwo,f4017,f40107
2892.countytwo,Wasathc ,Wasatch 
1303.statecounty,mMI_Ontonagon,MI_Ontonagon
2417.statecounty,SC_Chhesterfield,SC_Chesterfield
229.statecounty,AK_Bristol Bay Borough,CA_San Francisco
63.statecounty,AK_Fairbanks North Star Borough,AL_Henry
892.county,Wejlls ,Wells 
199.fips,2013.0,6015
2296.fipstwo,f4083,f42083
360.fips,2070.0,12071
1637.statecounty,MT_McCoen,MT_McCone
1340.statevalue,MrN,MN
828.countytwo,Gibso n,Gibson 
2093.statevalue,H,OH
2047.county,Ulstser ,Ulster 
310.fips,2130.0,8119
2327.fipstwo,f7201s1,f72011
1675.statecounty,NC_Buncomeb,NC_Buncombe
17.fips,2050.0,2180
614.county,Lin ,Linn 
1138.fipstwo,f2b2037,f22037
545.statevalue,GtA,GA
649.statevalue,A,IA
779.statecounty,IL_Rahndolph,IL_Randolph
1206.county,Charlse ,Charles 
601.countytwo,Henr ,Henry 
50.county,Aleutians West Census Area,Crenshaw 
3233.statecounty,WY_inta,WY_Uinta
1174.countytwo,Terrebone ,Terrebonne 
617.statefips,113,19
38.fips,2068.0,1017
314.fips,2122.0,9001
170.statevalue,RA,AR
2438.fipstwo,f45096,f45069
2946.statecounty,VA_Gloucestre,VA_Gloucester
1367.county,Meeekr ,Meeker 
1072.county,Madisno ,Madison 
1038.statecounty,KY_Gallain,KY_Gallatin
1257.countytwo,Cawford ,Crawford 
40.statefips,2.0,1
750.statecounty,L_LaSalle,IL_LaSalle
346.statevalue,L,FL
