gross,net,conventionalaccounting,economicsector,sector,category,subcategoryone,subcategorytwo,subcategorythree,yearvalue(long),gas,mtcotwoearfivetwozeroyr(long),mtcotwoearfouronezerozeroyr(long)
No,Yes,Yes,Net Eimssions,AFOLU,Net Emission Removals,Land Usbe,Forest,Forests Remaining Forests,2005,CO2,-26080000,-26080000
No,Yse,Yse,Net Emissions,AFOLU,Net Emission Reomvals,Land Use,Forest,Forests Remaining Forests,2006,CO2,-26010000,-26010000
No,Yes,Yes,Net Emissions,pAFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2007,OC2,-25930000,-25930000
No,es,Yes,Net Emissins,AFOLU,Net Emission Removals,Land Use,Forest,Forests Rmaining Forests,2008,C2O,-25860000,-25860000
No,Yse,es,Net Emisions,AFOUL,Net Emission Removals,Land Use,Fovrest,Forests Remaining Forests,2009,CO2,-25790000,-25790000
o,eYs,Yes,Net Emissions,AFOLU,Net Emissio Removals,Land Use,Foresmt,Forests Remaining Forests,2010,C2O,-25650000,-25650000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removasl,Land Use,Forest,Forests Remaining Forests,2011,gCO2,-25520000,-25520000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2012,CO2,-25380000,-25380000
No,Yes,Yes,Net Emissitons,AFOLU,Net Emission Removals,Land sUe,iForest,Forests Remaining Forests,2013,CO2,-25250000,-25250000
No,Yies,Yes,Net Emissions,AFOLU,Ntet Emission Removals,Land Use,Forets,Forests Remaining Forests,2014,CO2,-25110000,-25110000
o,Yes,eYs,Nect Emissions,AFOLU,Net Emission Removals,Land Use,orest,Forests Remaining Foresqts,2015,CpO2,-24980000,-24980000
No,Yves,Ys,Net Emissions,AFOUL,Net Emission Removals,Lhand Use,orest,Forests Remaining Forests,2016,O2,-24720000,-24720000
No,Yes,Yes,Net Emissions,AFOmLU,Net Emission Removals,Land Use,Forest,Forests Remaining Forests,2017,CO2,-24450000,-24450000
No,fYes,Yems,Net Emissions,AFOLU,Net Emission Removalbs,Land se,Forest,Forests Remaining Forests,2018,O2,-24190000,-24190000
No,Yes,Yes,Net Emissions,AFOUL,Net Emission Removals,Land Use,Forest,hForests Remaining Forests,2019,C2O,-23930000,-23930000
No,eYs,es,Net Emissions,FOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2015,CO2,-4110000,-4110000
No,Yes,eYs,eNt Emissions,AFOLU,Net Emission Removals,Land Use,ettlement,Urban Trees,2014,CO2,-4100000,-4100000
oN,es,Yse,Net Emissioens,AFOU,Net Emission Removakls,Lanid Use,Settlement,Urban Trees,2016,CO2,-4090000,-4090000
oN,Yes,Yes,Net Emissions,AFOLU,Net Emissbion Removals,Land Use,Settlement***,UrbanT rees,2017,OC2,-4090000,-4090000
No,Ymes,Yse,Net Emissions,FAOLU,Net Emission Removasl,Land bUse,Settlement,Urban Trees,2018,COy2,-4090000,-4090000
oN,Yes,Yes,Net Emissions,AFLU,Net Emsission Removals,Land Use,Settlement,Urbanr Trees,2019,CO2,-4090000,-4090000
No,Yes,Yefs,Net Emissions,AFLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2013,CO2,-4070000,-4070000
No,Yes,Yes,Net Emissions,AFOUL,Net Emission Removals,Land sUe,Settlemnet,Urban Trees,2011,CO2,-4030000,-4030000
No,Yes,Yes,Net cEmissions,AFOLU,Net Emission Removals,Lan Use,Settlement,Urban Trees,2012,CO2,-4030000,-4030000
o,Yes,Yes,Net Emissions,AFOUL,Net mEission Removals,and Use,Settulement,Urban Trees,2010,C2O,-4010000,-4010000
o,es,Yes,et Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban rTees,2009,CO2,-3980000,-3980000
o,Yes,Yse,NetE missions,AFOLU,Net Emission Rmeovals,Land fUse,Settlement,Urban Trees,2008,CO2,-3970000,-3970000
No,eYs,Yes,Net Emissiotns,AFOLU,Net Emsision Removals,Lapnd Use,Settlemnt,Urban fTrees,2007,COy2,-3950000,-3950000
o,Yse,eYs,Net Emissions,qAFOLU,Net Emission Removals,Lan dUse,Settlement,Urban Trees,2006,O2,-3930000,-3930000
No,Yes,Yes,Neqt Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,2005,CO2,-3910000,-3910000
No,Yes,Yes,Net Emissions,AFOLU,Net Emissin Removals,Land Use,Settlement,Urban Trees,2004,CO2,-3880000,-3880000
No,Yes,Yes,Net Emissions,AOFLU,Net Emission Removals,Land Ue,Setltement,Urban Trees,2003,CO2,-3850000,-3850000
No,Yes,Yes,Net Emissions,AFOLU,Net EmissionRemovals,Land Use,Settlement,Urban Trees,2002,C2O,-3830000,-3830000
oN,Yeqs,Yes,Net Emissiorns,AFOLU,Net Emission Removals,and Use,Settlement,Urban Trees,2001,CoO2,-3810000,-3810000
No,eYs,Yse,Net Emissions,AFOUL,Net Emission Removals,Land Use,Settlement,Urban Turees,2000,C2O,-3780000,-3780000
No,Yes,wYes,Nt Emissions,AFOnLU,Net Emission Removals,Land Use,Settlemenyt,rban Trees,1999,CO2,-3760000,-3760000
No,Yes,Yse,Net Emissions,AFOLU,Net Emission Removals,Lan dUse,Settlement,Urban Trees,1998,CO2,-3750000,-3750000
o,Yes,Yes,Net Emissions,AFOLU,Net Eimssion Removals,LandUse,Settlement,lUrban Trees,1997,C2O,-3730000,-3730000
No,Yes,Yegs,Net Emissions,AFOLU,Net Emission Remvoals,Land Use,Settlemetn,Urban Trese,1996,CO2,-3690000,-3690000
No,Ys,Yse,Net Emissionxs,AFOUL,NetEmission Removals,Land Use,Settlement,Urban Trees,1995,CO2,-3660000,-3660000
o,eYs,Yes,et Emissions,AFOLU,Net Emission Rmeovals,Land Ue,Settlement,Urban Trees,1994,CO2,-3610000,-3610000
No,Yes,eYs,Nte Emissions,AFOLU,Net Emission Remvoals,Land Use,Settelment,Urban Trees,1993,CO2,-3580000,-3580000
No,Yes,es,Net missions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Teres,1992,ChO2,-3550000,-3550000
Nro,Yes,es,Net Emissions,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trees,1991,CO2,-3540000,-3540000
No,Yes,Yes,Net Emissons,AFOLU,Net Emission Removals,Land Use,Settlement,Urban Trese,1990,CO2,-3520000,-3520000
No,Yes,Yes,Net Emissions,AOFLU,Net Emissionk Removals,aLnd Use,Forest,Land Converted to Forest,1990,CO2,-2160000,-2160000
oN,Yes,gYes,Net Emissions,AFOLU,Net Emisosion Removals,Lnad Use,Forest,Land Converted to Forest,1991,CO2,-2160000,-2160000
o,es,Yes,Net Emissions,AFOLU,Net Emission Removals,LandU se,Foerst,Land Convrted to Forest,1992,C2,-2160000,-2160000
No,Yes,es,Net Emissions,AFOLU,Net Emission Removals,aLnd Use,Forest,Land Converted to Forets,1993,OC2,-2160000,-2160000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land se,Frest,Land Converted to Forest,1994,CzO2,-2160000,-2160000
lNo,Yes,Yes,Net Emissions,AFOLU,Net Emission Removlas,Lnad Use,Froest,Land Converted to Forest,1995,iCO2,-2150000,-2150000
Nao,Yes,Yes,Net Emissons,AFOUL,Net Emission Removals,Ladn Use,Foret,Land Conxverted to Forest,1996,CO2,-2150000,-2150000
No,Yse,lYes,Net Emisqsions,AFOLU,Net Emission Removals,Land Use,Foerst,Land Converted to Forest,1997,CO2,-2140000,-2140000
No,Yes,Yes,Net Emxissions,FOLU,Net Emissin Removals,Land Ues,Forest,Land Cnoverted to Forest,1998,CO2,-2140000,-2140000
No,Yes,Yes,Net Emissions,AOLU,Net Emission Removals,Lhand Use,Forest,Land Converted to oFrest,1999,COo2,-2130000,-2130000
o,Yes,Yes,fNet Emissions,AFOLU,wNet Emission Removals,Land Use,orest,Land Converted to Forest,2000,OC2,-2130000,-2130000
No,Yes,Yse,Net Emissions,FAOLU,hNet Emission Removals,Lanyd Use,Foorest,Land Conveted to Forest,2001,CO2,-2130000,-2130000
Nto,Yes,Yes,Net Emissios,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted ot Forest,2002,C2O,-2130000,-2130000
qNo,Yezs,Yse,Net Emissions,AFOLU,Net Emission Removals,Lnad Use,Forest,Land Converted to Froest,2003,CO2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOU,Net Emission Removasl,Land Use,Forest,Lnad Converted to Forest,2004,CO2,-2130000,-2130000
No,Yes,Yes,Netc Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Convertedto Forest,2005,O2,-2130000,-2130000
No,Yes,Yes,Net Emissions,AFOLU,Net EmissionRemovals,Lnad Use,Forest,Land Converted to Forest,2006,CO2,-2130000,-2130000
No,zYes,Yse,Net Emissions,FOLU,Net Efmission Removals,Lad Use,Forest,Land Converted to Forest,2007,CO2,-2120000,-2120000
o,Yes,Yes,Net Emissions,AFOLU,Net Emssion Removals,Lnd Use,Forest,Land Converted to Forest,2008,CvO2,-2120000,-2120000
No,Yes,Yes,Net Emissiwons,AFOLU,Net Emission Removals,and Use,Forest,Land Converted to Forest,2009,CO2,-2110000,-2110000
o,Yes,Yes,Net Emissions,AFOU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2010,CO2,-2110000,-2110000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forqest,Land Converted to Forest,2011,CO2,-2100000,-2100000
o,eYs,Yqes,Net Emiassions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2012,CO2,-2090000,-2090000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2013,CO2,-2080000,-2080000
No,Yse,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Frest,Land Convreted to Forest,2014,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissins,FAOLU,Net Emission Removals,Lnd Use,Forest,Land Converted to Forest,2015,CO2,-2080000,-2080000
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2016,C2O,-2080000,-2080000
No,Yes,Yes,Net Emissions***,AFOLU,Net Emission Removals,LandU se,Forest,Land Converted nto Forest,2017,C2,-2080000,-2080000
oN,Yes,Yes,eNt Emissions,AFOLU,NetEmission Removals,Land Use,Froest,Land Converted to Forest,2018,O2,-2080000,-2080000
No,Yse,Yes,Net Emissions,AFOU,Net Emission Removals,Land Use,Forest,Land Converted to Forest,2019,CO2,-2080000,-2080000
Yse,Yes,eYs,Agricutlure,AFOLU,AgriculturalEmissions,Livehstock,Animal Feeding,Not Applicable,1990,CH4,11666172,3472075
Yse,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feedng,Not pplicable,1991,CH4,11715228,3486675
Yes,Yse,Yes,Agtriculture,AFOLU,Agricultural Emissions,Livbestock,Animla Feeding,Not Appalicable,1992,CH4,11835264,3522400
Yes,Yes,Yes,Agirculture,AOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicabgle,1993,C4H,11749668,3496925
es,Ys,es,Agriculture,AFOLU,AgriculturalEmissions,Livestock,Animal Feeding,Not Applicable,1994,CH4,11517828,3427925
Yes,Yes,es,Agriculture,AFOLU,Agricultural Emissions,Liviestock,Animal Feeding,Nto Applicable,1995,HC4,11394096,3391100
eYs,Yes,rYes,Agricyulture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,oNt Applicable,1996,CH4,11500608,3422800
Yes,Yes,Yes,Agriculturee,AFoOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicble,1997,CH4,11579652,3446325
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feedig,Not Applicable,1998,C4,11678436,3475725
Yes,Yes,Yes,Agriculture,FOLU,Agrciultural Emissions,Livestock,Animl Feeding,Not Applicable,1999,CH4,11726568,3490050
Ys,Yes,Ypes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applciable,2000,CH4,11746308,3495925
Yes,es,es,Agriculture,AFOLU,Agricultural Emissions,Livestock,nAimal Feeding,Not Applicable,2001,CH4,11317740,3368375
Yes,Yes,Yes,Agiculture,AFOLU,Argicultural Emissions,Livestck,eAnimal Feeding,Not Applicable,2002,CH4,11582844,3447275
Yeqs,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2003,CH4,11835012,3522325
Yes,Yes,Yes,Agriqculture,AFOUL,Agricultural Emissions,Livestock,Animl Feeding,Not Applicable,2004,CHx4,11624928,3459800
Yeqs,Yes,Yes,Agriculture,AFOLU,Agricultura lEmissions,Livestock,Animal Feeding,Not pApplicable,2005,CH4,11340252,3375075
Yes,Yes,Yes,Agriculture,FAOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2006,CH4,11352012,3378575
Yse,Yes,Yse,Agriculture,AFOLU,Agricultural Emissions,Leivestock,Animal Feeding,Not Applicable,2007,CH4,11425092,3400325
Yes,Yes,eYs,Argiculture,AFOLU,Agricultural Emissions,Livstock,Animal Feeding,Not Applicable,2008,CrH4,11622156,3458975
Yes,Yes,Yes,Agriculture,AFOU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2009,CH4,11387460,3389125
Yes,Yes,Yse,Agriculture,FAOLU,Agricultural Emissions,Livestock,nAimal Feeding,Not Applicable,2010,CH4,11567724,3442775
Yes,Ys,Yse,griculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2011,CH4,11596872,3451450
Ys,rYes,eYs,Agriculture,FOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2012,C4H,11747568,3496300
Yes,es,Ypes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2013,CH4,11810148,3514925
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestock,Aimal Feeding,Not Applicbale,2014,CjH4,12149592,3615950
No,Yes,Yes,Net Emissions,kAFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2019,O2,-1313861,-1313861
Yes,Yes,pYes,Agriculture,AFOU,Agricultural Emissions,Livestock,Animal Feedign,Not Applicable,2015,CH4,13058808,3886550
o,Yes,Yes,Nget Emissions,AFOLU,Net Emission Remoals,Ladn Use,Wetlands,Wetland Remaining Wetland (palustrione),2018,CO2,-1301156,-1301156
Yse,Yes,Yes,Agxriculture,AFOLU,Agrivcultural Emissions,Livestock,AnimalF eeding,Not Applicable,2016,CH4,13377756,3981475
No,Yes,Yes,Net Emisisons,FOLU,et Emission Removals,Land Ue,Wetlands,Weltand Remaining Wetland (palustrine),2017,CO2,-1288452,-1288452
Yes,Yes,Yes,Agriculture,AFOLU,Agricultural Emissions,Livestokc,Alnimal Feeding,Not Applicable,2017,C4,13625808,4055300
oN,Yes,Yes,Neti Emissions,AFOLU,Net mission Removals,Land Use,Wetlands,Wetlarnd Remaining Wetland (palustrine),2016,CO2,-1275747,-1275747
oN,Yevs,Yes,Net Emissions,AFOLU,Net Emission Rehmovals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2015,CO2,-1263043,-1263043
oN,Yes,Yhes,Net Eimssions,AFOLU,Net Emission Removals,Lad Use,Wetlands,Wetland Remaining Wetland (palustrine),2014,CO2,-1250338,-1250338
No,es,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlads,Wetland Remaining Wetland (palustrine),2013,CO2,-1237634,-1237634
qNo,Yes,eYs,Net Emissions,AFOLU,Net Emission Removals,cLand Use,Wetlanvds,Wetland Remaininhg Wetland (palustrine),2012,CO2,-1224929,-1224929
oN,Yse,Yes,Net Eimssions,FAOLU,Net Emission Removals,Land Use,Wetlsands,Wetland Remaining Wetland (palustrine),2011,CO2,-1212225,-1212225
Yes,Yes,Yes,Agiculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2018,CH4,13522656,4024600
o,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrinbe),2001,CO2,-1183398,-1183398
o,Yes,Yes,Nt Emissions,AFOLU,Net Emission Removals,Land Use,Wetlnds,Wetland Remaining Wetland (palustrine),2000,COj2,-1183047,-1183047
No,Yes,Ys,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1999,CO2,-1182695,-1182695
No,Yehs,Yes,Net Emissionds,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1998,OC2,-1182343,-1182343
o,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Ladn Use,Wetlnds,Wetland Remaining Wetland (palustrine),1997,CO2,-1181992,-1181992
No,eYs,Yes,Net Emissions,AFOLU,Net Emsision Removals,Land Ues,Wetlands,Wetland Remaining Wetland (palusrine),1990,CO2,-1180084,-1180084
No,Yes,es,Net Emissiones,AFOLU,Net Emission Removals,Land Use,etlands,Wetland Remaining Wetland (palustrine),1991,OC2,-1180084,-1180084
o,Yes,Ys,Net Emissions,AFOLU,Net Emission Removals,Land hUse,Wetlands,Wetland Remaining Wetland (palustrine),1992,C2,-1180084,-1180084
gNo,Yes,es,Net Emissions,AFOUL,Net Emission emovals,LandU se,Wetlands,Wetland Remaining Wetland (palustrine),1993,CO2,-1180084,-1180084
oN,Yes,oYes,Net Emissions,AFOzLU,Net Emission Removals,Lnad Use,Wetlands,Wetland Remaining Wetland (palustrine),1994,CO2,-1180084,-1180084
o,Yes,Yes,Net Emissions,AOLU,Net Emission Removals,Lan Use,Wetlands,Wetland Remaining Wetland (palustrine),1995,C2O,-1180084,-1180084
No,es,es,Net Eimssions,AFOLU,Net Emissoin Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),1996,CO2,-1180084,-1180084
No,Ymes,Yes,Net Emissions,AFOU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palusrine),2002,CO2,-1174126,-1174126
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Lansd Use,Wetlands,Wetland Remaining Wetland (palustrine),2003,CO2,-1172704,-1172704
oN,Yse,Yes,Net Emisions,FOLU,Net Emission Removals,aLnd Use,Wetlands,Wetland Remaining Wetland (palustrinem),2004,CO2,-1171282,-1171282
o,Ykes,Yes,Net Emissiosn,AFOdLU,Net Emissino Removals,Land Use,Wetlands,Wetland Remaining Wetland(palustrine),2005,CnO2,-1169860,-1169860
oN,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2006,CO2,-1168437,-1168437
Yes,Yes,Yse,Agriculture,AFOLU,Agricultural Emissions,Livestock,Animal Feeding,Not Applicable,2019,C4H,13415808,3992800
No,Yes,Yse,Net Emissions,FOLU,Net Emission Removas,Land Use,Wetlands,Wetland Remaining Wetloand (palustrine),2007,CO2,-1132090,-1132090
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Remoqvals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2008,CjO2,-1124231,-1124231
o,Yse,Yes,Net Emissions,AFOUL,Net Emission Removals,Land Use,Wetladns,Wetland Remaining Wetland (palustrine),2009,CO2,-1116372,-1116372
No,Yse,Yes,Net Emissions,AFOLU,Ne tEmission Removals,Land Use,Wetlands,Wetland Remaining Wetland (palustrine),2010,C2O,-1108513,-1108513
No,Yes,Yse,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2001,CO2,-85772,-85772
vNo,Yes,Yse,Net Emissions,AFLOU,Net Emission Removals,Lnad Use,Wetlands,Wetland Remaining Wetland (estuarine),2000,CO2,-85772,-85772
No,es,Yse,Net Emissions,AFOLU,nNet Emission Removals,Land Use,Wtelands,Wetland Remaining Wetland (estuaxrine),1999,COw2,-85772,-85772
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Lad Use,Wetlabnds,Wetland Remaning Wetland (estuarine),1998,CO2,-85771,-85771
nNo,Yes,Yes,Net Emissions,AFOLU,Net Eimssion Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1997,C2O,-85771,-85771
o,Yes,Yse,Net Emissions,AFOLU,Net Emission Removals,Lmand Use,Wetlands,Wetland Remaining Wetland (estuarine),1990,C2O,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1991,CO2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1992,O2,-85770,-85770
o,Yes,Yes,Ne tEmissions,AFOLrU,Nzet Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),1993,CO2,-85770,-85770
Nko,Yes,Yes,Net Emissions,AFOLU,Net Emission Removalvs,Land Use,etlands,Wetland Remaining Wetland (estuarine),1994,C2,-85770,-85770
Nno,Yeys,Ys,Net Emissions,AkFOLU,Net Emission Removals,Land Use,Wtlands,Wetland Reaining Wetland (estuarine),1995,C2O,-85770,-85770
No,Yse,Yes,Net Emissions,AoFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (setuarine),1996,OC2,-85770,-85770
No,Yes,Yes,Net Emissions,AFOLU,Net Emissino Removals,Land Use,Wetlamnds,Wetland Remainibng Wetland (estuarine),2007,CO2,-85119,-85119
No,Yes,es,Net Emissions,AFOLU,Net EmissionR emovals,Land Use,Wetlandhs,Wetland Remaining Wetland (estuarine),2008,CO2,-85105,-85105
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2009,CO2,-85091,-85091
No,Yes,Yes,Nt Emissions,AFOLU,Net Emission Removals,Land se,Wetlands,Wetland Remaining Wetland (estuarine),2010,CO2,-85077,-85077
Nao,Yes,Yes,et Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2002,COs2,-84500,-84500
o,Yes,Yes,Netc Emissions,AFOLU,Net Emission Removals,Land Ue,Wetlands,Wetland Remaining Wetland (estuarine),2011,C2O,-84409,-84409
oN,Yes,eYs,Net Emissions,AFOU,Net Emisqsion Removals,LandUse,Wtlands,Wetland Remaining Wetland (estuarine),2003,CO2,-84371,-84371
No,qYes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land se,Wetlans,Wetland Remalining Wetland (estuarine),2012,O2,-84357,-84357
No,Yes,Yes,cNet Emissions,AFOLU,Net Emission Removals,aLnd Use,Wetlands,Wetland Remaining Wetland (estuarine),2013,aCO2,-84306,-84306
No,Yes,Yes,Net Emisesions,AFOLU,Net Emsision Removals,Land Use,Wcetlands,Wetland Remaining Wetland (estuarine),2014,COd2,-84254,-84254
No,es,Yes,Net Emisions,AFOU,et Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (esturine),2004,CO2,-84241,-84241
No,Yces,tYes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetalnds,Wetland Remaining Wetland (estuarine),2015,CO2,-84202,-84202
No,Yes,es,Net Emissions,AFOeLU,Net Emission Removals,Ladn Use,qWetlands,Wteland Remaining Wetland (estuarine),2016,C2,-84151,-84151
xNo,Yes,Yes,et Emissions,AFLU,Net Emiscsion Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2005,CO2,-84112,-84112
o,Ys,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetland Remaining Wetland (esturine),2017,CO2,-84099,-84099
No,Yes,Yes,Net Emisrsions,AFOLU,Net Emisson Removals,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2018,CO2,-84047,-84047
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Use,Wetlands,Wetlnd Remaining Wetland (estuarine),2019,CO2,-83996,-83996
o,es,Ytes,NetE missions,aAFOLU,Net Emission Removas,Land Use,Wetlands,Wetland Remaining Wetland (estuarine),2006,CO2,-83983,-83983
No,Yes,es,Net Emissiosn,AFOLU,Net Emission Removals***,Land se,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2002,O2,-7346,-7346
oN,Yevs,eYs,Net Emissinos,AFOUL,Net Emission Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2003,CO2,-7346,-7346
No,Yes,Yes,Net Emissions,AFOLU,Net Emission Removals,Land Ue,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2004,CO2,-7346,-7346
No,es,Yes,Net Emsisions,AFOLU,Net Emission Removals,Land Ues,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2005,CO2,-7346,-7346
rNo,Yes,Yes,et Emissions,AFLU,Net Emission Removals,Land Use,Wetlahnds,"Wetand converted to Settlement, Grassland, Cropland, Other Land",2006,OC2,-7346,-7346
No,Yes,es,Net Emissions,AFOLU,Net Emsision Removals,Land Use,Wetlands,"Wetland converted to Settlement, Grassland, Cropland, Other Land",2007,CO2,-1827,-1827
oN,Yes,Yes,Net Emissions,AFOmLU,et Emission Removals,Land Use,Wetlands,"Wetland convertde to Settlement, Grassland, Cropland, Other Land",2008,CO2,-1827,-1827
