objectid,segmenttx,segment,highway,descriptio,zone,tier,length_mi,gisprcdt,effectvdt,shape_leng,shape_length
47,72,72.0,US-97,I-84 to US-197,Central,1,68.3866753523,6/15/2012,2012,361082.368025,156518.345007768
48,73,73.0,US-97,US-197 to US-26,Central,1,25.9443134237,6/15/2012,2012,136986.24885,58869.1773436805
49,74,74.0,US-97,US-26 to OR-126,Central,1,25.4860194317,6/15/2012,2012,134566.451732,57553.734949023
50,75,75.0,US-97,OR-126 to US-20,Central,1,13.3959485288,6/15/2012,2012,70730.7496938,30102.0466373201
51,76,76.0,US-97,US-20 to OR-58,Central,1,56.912583615,6/15/2012,2012,300499.042444,126853.073012285
52,77,77.0,US-97,OR-58 to OR-140,Central,1,87.7834552409,6/15/2012,2012,463497.570708,192986.745602495
53,78,78.0,US-97,OR-140 to CA Border,Central,1,13.6496052285,6/15/2012,2012,72070.0597464,29637.7951055356
54,80,80.0,US-26,OR-103 to OR-47,Coast,2,28.6523479973,6/15/2012,2012,151284.700019,66054.582556273
55,81,81.0,US-26,OR-47 to OR-217,Valley,2,18.8543700631,6/15/2012,2012,99551.2730356,43305.6458586643
56,82,82.0,US-26,OR-217 to I-405,Portland Metro,2,4.83429055996,6/15/2012,2012,25525.1052068,11088.1470689073
57,85,85.0,US-26,OR-212 to US-97,Cascades,2,97.1039630804,6/15/2012,2012,512709.950485,221421.363012367
58,86,86.0,OR-22,I-5 to Santiam Jct,Cascades,2,80.5856182791,6/15/2012,2012,425492.915499,182479.420128311
59,87,87.0,US-20,US-101 to OR-99W,Coast,3,52.0906389726,6/15/2012,2012,275039.123854,117724.349701434
60,88,88.0,OR-34,OR-99W to OR-99E,Valley,3,7.34099539757,6/15/2012,2012,38760.5332202,16562.4118448046
61,89,89.0,OR-34,OR-99E to I-5,Valley,3,2.42828785001,6/15/2012,2012,12821.3854908,5476.51923183984
62,93,93.0,US-20,OR-22 to OR-126,Cascades,2,25.8823425686,6/15/2012,2012,136659.04208,58287.389259472
63,94,94.0,US-20,OR-126 to US-97,Cascades,2,20.9998493277,6/15/2012,2012,110879.426209,47159.9804176257
64,95,95.0,OR-126,US-101 to OR-99W,Coast,2,58.9685695375,6/15/2012,2012,311354.669992,131936.612813261
65,98,98.0,OR-38,US-101 to I-5,Coast,1,56.7646404633,6/15/2012,2012,299717.901032,126237.392056374
66,99,99.0,OR-58,I-5 to US-97,Cascades,1,86.7158517519,6/15/2012,2012,457860.612971,193032.218340426
67,100,100.0,OR-42,US-101 to I-5,Coast,3,73.2737828883,6/15/2012,2012,386886.347423,161472.019297258
68,101,101.0,OR-140,I-5 to US-97,Cascades,2,74.367597033,6/15/2012,2012,392661.697658,161958.323917344
69,102,102.0,US-199,I-5 to CA Border,Coast,3,43.8921520545,6/15/2012,2012,231751.02635,95493.8337745443
70,103,103.0,OR-22,OR-18 to OR-99W,Coast,3,16.2829134769,6/15/2012,2012,85973.9551061,37040.3782003922
71,104,104.0,OR-22,OR-99W to OR-99E Bus.,Valley,3,9.61759347922,6/15/2012,2012,50780.9949373,21838.7306177269
72,107,107.0,OR-214,I-5 to OR-99E,Valley,2,2.47241437658,6/15/2012,2012,13054.3740528,5634.11360964089
73,6,6.0,I-5,OR-217 to I-205,Portland Metro,1,3.82469900037,6/15/2012,2012,20194.4510355,8778.63211883917
74,5,5.0,I-5,OR-99W to OR-217,Portland Metro,1,1.46122672834,6/15/2012,2012,7715.29266846,3356.01836814324
75,10,10.0,I-5,OR-99E Bus. to OR-22,Valley,1,4.73393038602,6/15/2012,2012,24995.2023737,10784.2691092025
76,12,12.0,I-5,OR-99E to OR-34,Valley,1,5.77617255877,6/15/2012,2012,30498.2519544,13080.9287371923
77,14,14.0,I-5,OR-569 to OR-126/OR-99,Valley,1,2.79551665012,6/15/2012,2012,14760.3575429,6274.15578778277
78,28,28.0,I-205,OR-212 to OR-99E,Portland Metro,1,3.31670841324,6/15/2012,2012,17512.2553041,7606.46319880413
79,29,29.0,I-205,OR-99E to OR-43,Portland Metro,1,0.485364244015,6/15/2012,2012,2562.72841043,1110.44875427805
80,38,38.0,OR-99W,OR-219 to OR-18,Valley,1,7.0021367414,6/15/2012,2012,36971.3558556,16012.2952459767
81,41,41.0,OR-99W,OR-18 to OR-22,Valley,2,18.2141630269,6/15/2012,2012,96170.9735058,41568.1805019037
82,56,56.0,OR-18,OR-99W to OR-99W,Valley,1,8.32661739219,6/15/2012,2012,43964.6276062,19005.0950850765
83,105,105.0,OR-22,OR-99E Bus. to I-5,Valley,1,3.40769335571,6/15/2012,2012,17992.6567788,7743.56409044121
84,109,109.0,OR-99E Bus,I-5 to OR-22,Valley,3,5.09908744188,6/15/2012,2012,26923.2357996,11611.8348255028
85,84,84.0,US-26,OR-99E to I-205,Portland Metro,3,8.31516145751,6/15/2012,2012,43904.1401811,19060.842578968
86,48,48.0,OR-99E,I-205 to OR-43,Portland Metro,2,0.508722251876,6/15/2012,2012,2686.05889398,1165.02094604549
87,9,9.0,I-5,OR-99E Bus. to OR-99E,Valley,1,1.157460176,6/15/2012,2012,6111.40196959,2637.64143003135
88,36,36.0,OR-99W,I-5 to OR-217,Portland Metro,1,1.13571619684,6/15/2012,2012,5996.59355408,2602.77494640169
89,79,79.0,US-26,US-101 to OR-103,Coast,2,21.6830458938,6/15/2012,2012,114486.711269,50097.3498903048
90,83,83.0,US-26,OR-43 to OR-99E,Portland Metro,3,0.660586609344,6/15/2012,2012,3487.90439591,1514.26366209209
91,106,106.0,OR-214,I-5 to OR-99E,Valley,3,16.0072029451,6/15/2012,2012,84518.2005507,36581.3911185783
92,37,37.0,OR-99W,OR-217 to OR-219,Valley,1,14.1021988171,6/15/2012,2012,74459.7584258,32299.1772248941
93,65a,65.0,US-101,US-26 to OR-18,Coast,2,19.0957984333,6/15/2012,2012,100826.01738,44114.0608699529
94,65b,65.0,US-101,US-26 to OR-18,Coast,3,23.6366357437,6/15/2012,2012,124801.686478,54393.3825344204
