OBJECTID,MTRS,MIN_YEAROBS,MAX_YEAROBS,LAST_COUNTY,Shape__Area,Shape__Length
48,H 18N 01W 23,2016,2022,Del Norte,4756880.8671875,8725.8736352197
49,H 18N 01E 20,2012,2022,Del Norte,4678517.109375,8659.51726305904
50,H 18N 01E 21,2019,2021,Del Norte,4635743.359375,8609.78423617349
51,H 18N 01E 19,2012,2022,Del Norte,4956486.359375,8932.24130628085
52,H 18N 06E 14,2008,2014,Siskiyou,4725988.53125,8704.91073398802
53,H 18N 06E 13,2012,2017,Siskiyou,4038551.5625,8154.94693342432
54,H 18N 04E 23,2020,2020,Del Norte,4322747.5,8326.26583343266
55,H 18N 01W 25,2021,2022,Del Norte,4495425.6171875,8476.89567027115
56,H 18N 01E 30,2012,2022,Del Norte,5125830.65625,9085.88756109536
57,H 18N 01E 29,2012,2022,Del Norte,4774852.8359375,8723.40068518725
58,H 18N 01E 28,2014,2021,Del Norte,4368336.625,8399.62793699675
59,H 18N 06E 24,2015,2015,Siskiyou,3960997.1953125,8036.47360820418
60,H 18N 01E 32,2012,2019,Del Norte,4866285.9375,8828.94161811202
61,H 18N 01W 36,2016,2021,Del Norte,4568341.2109375,8561.28395469796
62,H 18N 01E 31,2020,2021,Del Norte,4982826.8515625,8948.44439394809
63,H 18N 06E 28,2021,2021,Siskiyou,4583037.5859375,8565.5761971938
64,H 18N 06E 27,2019,2021,Siskiyou,4729361.25,8705.97297194875
65,H 18N 06E 26,2015,2015,Siskiyou,4746986.8046875,8745.53627597237
66,H 17N 01W 05,2016,2016,Del Norte,2801121.6484375,6815.24371555723
67,H 17N 01W 01,2021,2021,Del Norte,4374673.109375,8360.47259323675
68,H 17N 01E 05,2018,2018,Del Norte,4780524.5703125,8775.62714314301
69,H 18N 07E 32,2014,2015,Siskiyou,4710177.7265625,8683.6085284725
70,H 18N 07E 31,2020,2020,Siskiyou,4094191.90625,8107.29085075434
71,H 17N 04E 04,2019,2019,Del Norte,4032368.34375,8067.76048677815
72,H 17N 01W 12,2020,2020,Del Norte,4573816.9375,8562.2270886845
73,M 47N 11W 24,2010,2010,Siskiyou,4483217.8515625,8440.25945568265
74,H 17N 01E 07,2015,2021,Del Norte,4585207.6171875,8525.21195458913
75,H 17N 01E 08,2017,2020,Del Norte,4704549.5703125,8670.87417755506
76,H 17N 06E 01,2019,2019,Siskiyou,3916932.375,7954.77314418833
77,H 17N 03E 10,2017,2017,Del Norte,4697887.3125,8669.93271197788
78,H 17N 03E 12,2019,2019,Del Norte,4696515.9453125,8668.85750038308
79,H 17N 04E 08,2019,2019,Del Norte,4611028.875,8591.63393477156
80,H 17N 04E 09,2018,2018,Del Norte,4015098.7109375,8038.48207002895
81,H 17N 08E 06,2021,2021,Siskiyou,4356983.671875,8366.38200152331
82,M 47N 11W 28,2008,2008,Siskiyou,4279492.2578125,8275.53203051116
83,M 47N 11W 25,2008,2017,Siskiyou,4408650.359375,8404.08207208413
84,M 47N 10W 30,2017,2017,Siskiyou,4628232.8984375,8607.08329531647
85,H 17N 01E 18,2013,2018,Del Norte,4545359.46875,8528.23280113946
86,H 17N 01E 17,2015,2021,Del Norte,4711371.015625,8684.63942915454
87,M 47N 04W 23,2009,2009,Siskiyou,4717972.63671875,8688.7495943661
88,M 47N 04W 24,2011,2011,Siskiyou,4868215.96875,8821.24852017258
89,H 17N 03E 15,2019,2019,Del Norte,4786929.0859375,8753.10430504599
90,H 17N 03E 14,2011,2020,Del Norte,4830970.984375,8793.55138628627
91,H 17N 03E 13,2018,2019,Del Norte,4765312.53125,8733.6826837554
92,H 17N 04E 17,2018,2018,Del Norte,4548541.3828125,8535.20985738328
93,H 17N 08E 08,2021,2021,Siskiyou,4076837.671875,8111.77271436984
94,M 47N 11W 33,2008,2008,Siskiyou,6929515.4921875,10939.4569657795
95,H 17N 01W 22,2019,2021,Del Norte,4806448.84375,8771.6042458189
96,M 47N 11W 34,2008,2017,Siskiyou,7022665.640625,11008.7520410782
97,M 47N 11W 35,2021,2021,Siskiyou,7498388.9453125,11313.1719824192
98,M 47N 11W 36,2008,2016,Siskiyou,7042860.03125,11020.7793828645
99,H 17N 01E 19,2014,2020,Del Norte,4513528.3828125,8498.1325836749
100,H 17N 01E 20,2010,2021,Del Norte,4740580.515625,8714.57161667015
101,M 47N 10W 32,2018,2018,Siskiyou,7547935.4609375,11277.3645336572
102,M 47N 10W 33,2017,2017,Siskiyou,7215560.203125,11110.3970128795
103,M 47N 04W 25,2006,2011,Siskiyou,4852522.08984375,8812.00827493272
104,H 17N 06E 15,2015,2016,Siskiyou,4957545.4375,8952.97602833595
105,H 17N 06E 14,2017,2019,Siskiyou,4751278.7734375,8737.93280797522
106,H 17N 06E 13,2020,2020,Siskiyou,3709044.1640625,7743.99064255189
107,H 17N 07E 18,2020,2020,Siskiyou,4064260.5703125,8079.83195786909
108,H 17N 07E 17,2019,2019,Siskiyou,4266442.4375,8258.35372771309
109,H 17N 04E 20,2018,2018,Del Norte,4664011.7734375,8644.57311301713
110,H 17N 04E 21,2018,2018,Del Norte,4074556.8359375,8103.05214541485
111,M 47N 03W 28,2016,2016,Siskiyou,4826609.03515625,8788.25172206647
112,H 17N 01W 25,2021,2021,Del Norte,4566579.421875,8561.48610337548
113,H 17N 01E 29,2010,2022,Del Norte,4769294.8203125,8731.67360599629
114,M 47N 04W 35,2010,2010,Siskiyou,4744861.84375,8717.58711439052
115,M 47N 04W 36,2008,2010,Siskiyou,4777949.08984375,8743.98671992694
116,H 17N 01E 25,2021,2021,Del Norte,4491458.796875,8509.18521981201
117,H 17N 06E 23,2015,2020,Siskiyou,4610122.3359375,8588.96063058567
118,M 46N 11W 05,2017,2017,Siskiyou,4146272.921875,8155.4791141145
119,M 46N 11W 04,2010,2019,Siskiyou,4205837.765625,8219.39133444633
120,H 17N 08E 20,2021,2021,Siskiyou,4760066.96875,8730.71932497982
121,M 46N 11W 03,2012,2019,Siskiyou,4109132.6171875,8121.90149062547
122,M 46N 11W 02,2014,2014,Siskiyou,4105170.46875,8120.44313491581
123,H 17N 03E 26,2015,2015,Del Norte,4648503.6953125,8624.29304829919
124,M 47N 03W 32,2010,2010,Siskiyou,3761850.32421875,7802.85218155794
125,M 47N 03W 34,2014,2016,Siskiyou,4789158.75,8754.24485682234
126,H 17N 01W 36,1994,2003,Del Norte,4586924.265625,8551.24463272992
127,H 17N 01E 31,1985,1985,Del Norte,4524885.5,8508.7893673155
128,H 17N 01E 32,1998,2020,Del Norte,4609071.859375,8593.58595209815
129,M 46N 04W 01,2009,2009,Siskiyou,4877950.984375,8836.0904494052
130,M 46N 11W 09,2019,2019,Siskiyou,4646028.0234375,8623.01422125716
131,H 17N 06E 26,2017,2017,Siskiyou,4572904.6875,8552.80631136495
132,H 17N 02E 32,2019,2021,Del Norte,4582960.625,8572.33984585332
133,M 46N 11W 11,2014,2017,Siskiyou,4699387.953125,8671.49244954134
134,H 17N 02E 33,2015,2015,Del Norte,4569484.28125,8571.19813867453
135,M 46N 11W 12,2010,2021,Siskiyou,4393784.6015625,8426.06558679261
136,H 17N 02E 34,2014,2014,Del Norte,4470816.796875,8479.6016031741
137,H 17N 07E 28,2014,2017,Siskiyou,4706229.71875,8702.91063426924
138,H 17N 03E 34,2019,2019,Del Norte,4886016.2890625,8849.74148916829
139,H 17N 03E 35,2015,2018,Del Norte,4789370.9140625,8757.08097228604
140,M 46N 10W 07,2010,2010,Siskiyou,4454065.12109375,8412.03945811725
141,H 17N 03E 36,2007,2007,Del Norte,4707175.875,8679.37700138934
142,M 46N 03W 05,2005,2019,Siskiyou,3807597.26171875,7857.65127197807
143,M 46N 03W 04,2012,2019,Siskiyou,4857250.0859375,8816.50084390401
144,M 46N 03W 03,2009,2013,Siskiyou,4745444.58203125,8713.88765899675
145,M 46N 03W 02,2016,2016,Siskiyou,4522777.35546875,8507.37440707497
146,H 16N 01W 01,1995,1995,Del Norte,4416451.0234375,8414.04208508173
147,H 16N 01E 06,1999,2002,Del Norte,4246416.3359375,8263.14603901519
148,H 16N 01E 05,2001,2001,Del Norte,3849634.71875,7886.12708506082
149,M 46N 12W 16,2015,2016,Siskiyou,4762254.65625,8729.16727540345
150,M 46N 04W 12,2005,2018,Siskiyou,4778325.2109375,8744.50291235869
151,M 46N 04W 11,2005,2018,Siskiyou,4737917.28125,8704.95133370941
152,H 16N 02E 05,2018,2018,Del Norte,4640724.9921875,8619.86500865599
153,M 46N 11W 13,2018,2018,Siskiyou,4394748.04296875,8390.40893074445
154,H 17N 07E 32,2010,2010,Siskiyou,4284365.03125,8282.98985556349
155,M 46N 10W 18,2012,2012,Siskiyou,4383522.265625,8377.99139220117
156,H 17N 08E 31,2012,2021,Siskiyou,4906247.4609375,8884.48731638486
157,M 46N 03W 08,1999,2017,Siskiyou,3816798.1640625,7854.03322051698
158,M 46N 03W 09,2005,2016,Siskiyou,4798172.2265625,8762.40372396335
159,M 46N 03W 10,2008,2016,Siskiyou,4749982.9765625,8717.85653530204
160,M 46N 03W 11,2006,2014,Siskiyou,4674734.2265625,8649.2173627507
161,H 16N 01W 11,2019,2019,Del Norte,4658316.9921875,8637.57337909181
162,H 16N 01E 07,1995,1995,Del Norte,4651186.0546875,8649.88602471338
163,H 16N 01E 08,1999,1999,Del Norte,4702880.546875,8696.69068303419
164,H 16N 01E 09,1995,1995,Del Norte,4530478.8671875,8492.46944263836
165,M 46N 12W 20,2015,2015,Siskiyou,4674871.65625,8648.62074404393
166,M 46N 04W 15,2005,2005,Siskiyou,4638758.48828125,8621.56921727766
167,M 46N 04W 14,2005,2013,Siskiyou,4624652.28515625,8606.15973773746
168,M 46N 04W 13,2006,2011,Siskiyou,4694218.05859375,8669.60438407338
169,M 46N 12W 22,2009,2010,Siskiyou,4745231.796875,8713.55825722584
170,M 46N 11W 19,2016,2017,Siskiyou,4668308.99609375,8642.74981871995
171,H 16N 02E 07,2012,2012,Del Norte,4725860.984375,8741.04309038454
172,H 16N 02E 08,2018,2018,Del Norte,4454383.3203125,8443.00283228207
173,H 16N 08E 06,2009,2021,Siskiyou,4624901.1953125,8602.75758212222
174,M 46N 03W 16,2011,2020,Siskiyou,4828051.625,8789.27689728571
175,M 46N 03W 15,2008,2017,Siskiyou,4739023.0390625,8708.00013418911
176,M 46N 03W 14,1996,2004,Siskiyou,4738069.328125,8706.66892840014
177,M 46N 02W 18,2011,2020,Siskiyou,4696160.2578125,8669.2712311345
178,M 46N 02W 17,2013,2013,Siskiyou,4669238.38671875,8643.98482471962
179,H 16N 01W 13,1995,1995,Del Norte,4523674.734375,8502.8458125079
180,H 16N 01E 17,1995,2002,Del Norte,4580588.9140625,8563.99587772957
181,H 16N 01E 16,1992,2019,Del Norte,4503218.4453125,8492.04767217735
182,M 46N 12W 30,2015,2015,Siskiyou,6193634.4765625,10055.9682006475
183,M 46N 12W 29,2015,2016,Siskiyou,4635410.28125,8612.03823703828
184,M 46N 04W 23,2018,2018,Siskiyou,4861410.515625,8819.74073610954
185,M 46N 10W 27,2013,2013,Siskiyou,4525062.51953125,8520.29868455659
186,M 46N 09W 30,2016,2016,Siskiyou,4358117.4140625,8354.29853000737
187,M 46N 03W 21,2010,2010,Siskiyou,4837894.87890625,8798.93639302306
188,M 46N 03W 23,2005,2019,Siskiyou,4760446.22265625,8728.23932573536
189,M 46N 03W 24,2005,2018,Siskiyou,4754059.71484375,8722.4278990994
190,H 16N 01W 23,1992,1998,Del Norte,4604279.6875,8582.03193404448
191,M 46N 02W 19,2012,2021,Siskiyou,4569321.3203125,8550.79629398433
192,M 46N 02W 20,2020,2020,Siskiyou,4606561.3046875,8585.237842926
193,H 16N 01W 24,1981,2002,Del Norte,4559321.8515625,8544.0302511345
194,H 16N 01E 20,1995,1995,Del Norte,5040055.3359375,8996.16083388686
195,H 16N 01E 19,1995,2001,Del Norte,4830963.8359375,8801.83238088551
196,M 46N 12W 31,2017,2017,Siskiyou,3461797.6640625,8166.26287445443
197,H 16N 06E 13,2018,2018,Siskiyou,4121555.8359375,8330.25225881386
198,M 46N 04W 26,2012,2012,Siskiyou,4784756.11328125,8749.91191495736
199,H 16N 07E 17,2019,2020,Siskiyou,4368109.15625,8394.64256711659
200,H 16N 07E 16,2019,2019,Siskiyou,4543297.984375,8574.16301570298
201,H 16N 02E 23,2014,2021,Del Norte,4402736.15625,8393.36901022072
202,H 16N 07E 18,2018,2018,Siskiyou,4213150.5078125,8237.4726612533
203,M 46N 10W 34,2014,2018,Siskiyou,4641209.6171875,8625.04906279282
204,M 46N 10W 36,2016,2018,Siskiyou,4532832.93359375,8522.10134835936
205,M 46N 09W 31,2018,2018,Siskiyou,4397163.7890625,8400.46769740917
206,M 46N 09W 32,2014,2014,Siskiyou,4482256.53125,8471.5118742734
207,M 46N 09W 33,2014,2014,Siskiyou,4633197.88671875,8610.8856918107
208,M 46N 03W 29,2005,2005,Siskiyou,4159182.07421875,8183.0761502528
209,M 46N 03W 28,2004,2018,Siskiyou,4782735.96875,8749.33718835061
210,M 46N 03W 27,2004,2015,Siskiyou,4763519.546875,8734.52931697072
211,M 46N 03W 26,2011,2019,Siskiyou,4945917.72265625,8896.9310511178
212,M 46N 02W 29,2013,2015,Siskiyou,4704297.484375,8676.6703502079
213,H 16N 01W 25,1983,2002,Del Norte,4482331.4140625,8484.79209546607
214,M 46N 02W 28,2015,2015,Siskiyou,4716193.1484375,8687.0409044199
215,H 16N 01E 30,1995,1995,Del Norte,4669103.1953125,8638.54583637525
216,H 16N 01E 28,2019,2019,Del Norte,4878913.625,8845.66297197667
217,H 16N 02E 28,2021,2021,Del Norte,4351377.5,8343.61967312722
218,H 16N 07E 20,2011,2011,Siskiyou,4158518.1875,8182.36794524271
219,H 16N 07E 21,2018,2021,Siskiyou,4490730.46875,8522.6477635993
220,H 16N 07E 19,2018,2018,Siskiyou,3649132.75,7639.38581775185
221,M 45N 09W 05,2018,2018,Siskiyou,2160339.140625,6313.75463327674
222,M 46N 03W 33,2010,2017,Siskiyou,4559535.87109375,8541.52392546234
223,M 46N 03W 35,2013,2013,Siskiyou,5005055.46484375,8950.32151945911
224,H 16N 01W 36,1995,1995,Del Norte,4547589.25,8531.41052649349
225,M 46N 03W 34,2014,2014,Siskiyou,4552686.9296875,8538.48536636169
226,M 46N 02W 32,2013,2015,Siskiyou,4690766.21484375,8663.84991314934
227,H 16N 06E 25,2018,2021,Siskiyou,3488178.96875,7510.55512485791
228,H 16N 02E 34,2018,2018,Del Norte,4582341.9296875,8565.79863283945
229,H 16N 07E 30,2018,2019,Siskiyou,3790039.265625,7845.05408426441
230,H 16N 02E 36,2010,2010,Del Norte,4543181.1484375,8526.68173972
231,H 16N 03E 31,2021,2021,Del Norte,4492591.1484375,8478.47846482792
232,H 15N 01W 01,1992,2001,Del Norte,4573238.7109375,8532.2606744674
233,H 15N 01E 06,1992,1992,Del Norte,4609313.7109375,8587.04698117072
234,H 15N 01E 02,2019,2019,Del Norte,4488772.5546875,8475.24784183541
235,H 16N 07E 31,2009,2020,Siskiyou,5120656.078125,9062.96591966507
236,M 45N 01E 04,2011,2011,Siskiyou,4172598.125,8188.73546624715
237,M 45N 09W 16,2017,2017,Siskiyou,4761797.0703125,8726.02530297354
238,H 15N 03E 06,2010,2013,Del Norte,4334536.5546875,8333.19751111361
239,M 45N 03W 10,2013,2018,Siskiyou,4836685.9609375,8797.29455826013
240,H 15N 01W 12,1992,1992,Del Norte,4459419.1640625,8482.10376898105
241,H 15N 01E 07,1991,2001,Del Norte,4805613.03125,8771.48904213949
242,H 15N 06E 01,2018,2020,Siskiyou,4312078.28515625,8343.75207264178
243,H 15N 07E 06,2019,2019,Siskiyou,4635820.05078125,8612.01137877375
244,H 15N 07E 05,2021,2021,Siskiyou,4597503.57421875,8583.85990860483
245,M 45N 09W 19,2011,2016,Siskiyou,4483013.3125,8475.61266873897
246,M 45N 09W 20,2016,2016,Siskiyou,4612156.12109375,8596.15253994411
247,H 15N 02E 11,2013,2021,Del Norte,4276301.7109375,8272.49967568064
248,M 45N 10W 24,2010,2011,Siskiyou,4295907.24609375,8293.72632720091
249,H 15N 02E 12,2021,2021,Del Norte,4380461.5625,8372.62147359484
250,H 15N 07E 02,2017,2017,Siskiyou,4552437.0390625,8530.50953791068
251,M 45N 03W 16,2011,2014,Siskiyou,4734259.140625,8703.94069690248
252,M 45N 08W 20,2011,2011,Siskiyou,4211411.8828125,8214.17064836374
253,M 45N 07W 22,2018,2018,Siskiyou,4581606.68359375,8584.21050477023
254,H 15N 01W 14,1995,1995,Del Norte,1137909.921875,5870.63121820873
255,H 15N 01W 13,1995,1998,Del Norte,4619259.03125,8597.44809041057
256,H 15N 01E 18,1995,1997,Del Norte,4740701.09375,8707.84624840778
257,H 15N 01E 16,2000,2000,Del Norte,4496823.9609375,8493.3265084429
258,M 45N 10W 28,2018,2018,Siskiyou,4509883.1875,8480.84435853058
259,M 45N 10W 27,2011,2011,Siskiyou,4569795.1015625,8550.08982438967
260,M 45N 10W 25,2016,2016,Siskiyou,4561286.22265625,8544.31103014137
261,M 45N 09W 30,2010,2011,Siskiyou,4561909.70703125,8549.74829178741
262,H 15N 07E 11,2016,2019,Siskiyou,4475054.12109375,8463.80554070386
263,H 15N 07E 12,2016,2018,Siskiyou,4470270.7890625,8459.153248834
264,H 15N 03E 16,2007,2007,Del Norte,4689277.7890625,8662.04807652053
265,H 15N 01W 24,1995,1995,Del Norte,4680877.171875,8657.70699742455
266,H 15N 01E 19,1995,2002,Del Norte,4785384.8828125,8751.80606743652
267,H 15N 06E 16,2019,2019,Siskiyou,4693067.6796875,8666.53946309199
268,M 45N 10W 33,2017,2017,Siskiyou,4485148.18359375,8487.4375060595
269,M 45N 10W 34,2011,2018,Siskiyou,4405435.42578125,8394.81218537846
270,H 15N 02E 23,2020,2020,Del Norte,4331817.1171875,8333.02679654531
271,H 15N 01E 30,2019,2021,Del Norte,4861115.484375,8820.33887942464
272,H 15N 01E 29,2013,2022,Del Norte,4544934.2734375,8533.34891948836
273,H 15N 01E 28,2018,2020,Del Norte,4135795.0078125,8166.85227857411
274,H 15N 01E 27,2020,2021,Del Norte,4385780.2109375,8389.73932814017
275,H 15N 06E 23,2019,2019,Siskiyou,4748866.9296875,8716.89286782746
276,H 15N 06E 24,2018,2019,Siskiyou,4485424.296875,8475.77957490513
277,H 15N 08E 19,2016,2016,Siskiyou,4641956.66015625,8619.08798818522
278,H 15N 01E 33,2012,2022,Del Norte,5893079.875,9815.87777163418
279,H 15N 01E 34,2012,2021,Del Norte,6347699.2578125,10205.3515093827
280,H 15N 01W 36,1995,1995,Del Norte,2057690.8828125,6904.13427474057
281,H 15N 01E 31,2018,2021,Del Norte,4769863.6875,8736.40293225873
282,H 15N 01E 32,2015,2021,Del Norte,5064494.3046875,9055.34624777877
283,H 15N 01E 35,2014,2021,Del Norte,6334298.703125,10202.0785240154
284,H 15N 06E 26,2014,2019,Siskiyou,4788396.83984375,8758.01720443024
285,H 15N 07E 30,2009,2009,Siskiyou,4678441.375,8652.12779592089
286,H 14N 01E 06,2014,2022,Del Norte,4856159.03125,8759.66653655764
287,H 15N 06E 34,2019,2019,Siskiyou,4725473.57421875,8699.05691653443
288,H 14N 01E 05,2016,2022,Del Norte,4741641.4453125,8803.00176871768
289,H 15N 06E 35,2008,2020,Siskiyou,4789312.67578125,8757.18064715263
290,H 14N 01E 04,2015,2020,Del Norte,4318983.75,8324.05445835204
291,H 14N 01E 03,2014,2021,Del Norte,4682090.6875,8667.78182387578
292,H 14N 01E 02,2015,2022,Del Norte,4167957.75,8206.73571055679
293,H 14N 01E 01,2021,2021,Del Norte,3999941.4765625,8053.97398234911
294,H 14N 05E 04,1990,1996,Siskiyou,5487672.94140625,9400.82370523364
295,H 14N 05E 01,1990,1990,Siskiyou,5497723.46484375,9408.08177846685
296,H 14N 06E 05,2015,2019,Siskiyou,5452766.48046875,9349.48805667585
297,H 14N 06E 04,2008,2020,Siskiyou,5251532.515625,9198.86338091299
298,H 14N 01E 08,2003,2022,Del Norte,4552474.1015625,8559.50937333364
299,H 14N 06E 03,2012,2012,Siskiyou,5113044.453125,9071.42822557013
300,H 14N 01E 09,2017,2017,Del Norte,3894307.671875,7899.51786178534
301,H 14N 01E 11,2016,2022,Del Norte,4445534.3125,8479.3407723548
302,H 14N 01E 12,2022,2022,Del Norte,4459477.484375,8493.3257718384
303,M 44N 03W 18,2006,2022,Siskiyou,4639868.30859375,8617.7594350162
304,M 44N 11W 27,2018,2018,Siskiyou,4392923.01953125,8384.87224136397
305,H 14N 01E 17,2021,2022,Del Norte,4785418.1015625,8751.11321803035
306,M 44N 11W 26,2018,2018,Siskiyou,4601845.73046875,8581.78287185363
307,M 44N 10W 28,2018,2018,Siskiyou,4656657.25,8649.894481613
308,H 14N 01E 16,2016,2022,Del Norte,4462473.078125,8468.43482845512
309,H 14N 01E 15,2015,2021,Del Norte,4848784.015625,8831.51125506396
310,H 14N 01E 14,2001,2020,Del Norte,4599845.859375,8602.42335900903
311,H 14N 02E 17,2020,2020,Del Norte,4952679.8046875,8902.69814798989
312,H 14N 03E 17,2007,2007,Del Norte,4901537.85546875,8858.36202656537
313,M 44N 11W 32,2020,2020,Siskiyou,4668428.7890625,8646.13360330041
314,M 44N 11W 33,2018,2018,Siskiyou,4443421.7421875,8433.23334706919
315,M 44N 11W 34,2019,2019,Siskiyou,4432458.30859375,8424.3349668073
316,H 14N 01E 20,2021,2021,Del Norte,4810852.328125,8809.97770791792
317,H 14N 01E 21,2001,2001,Del Norte,4421346.8046875,8414.29815138646
318,H 14N 01E 22,2003,2022,Del Norte,4499594.515625,8485.20200311143
319,H 14N 01E 23,2020,2022,Del Norte,4680407.9921875,8662.56393759579
320,H 14N 02E 20,2018,2021,Del Norte,4975035.69921875,8923.05723782195
321,H 14N 02E 21,2020,2022,Del Norte,4984630.015625,8933.14747769811
322,H 14N 01E 28,2011,2011,Del Norte,4546940.078125,8481.83702233923
323,H 14N 01E 27,2011,2019,Del Norte,4547329.1796875,8562.69109414451
324,H 14N 01E 26,2017,2021,Del Norte,4561576.4296875,8548.25311292148
325,M 44N 15E 32,2019,2019,Modoc,3509613.4453125,7560.87507097213
326,H 14N 01E 25,2013,2013,Del Norte,4691002.71484375,8663.81788398146
327,M 44N 02E 28,2011,2011,Siskiyou,4730817.8671875,8703.4967060121
328,H 14N 02E 29,2015,2020,Del Norte,5042277.41015625,8982.89680549312
329,M 44N 02E 27,2017,2017,Siskiyou,4639187.6015625,8616.57555289369
330,M 44N 02E 26,2005,2017,Siskiyou,4690752.31640625,8663.61528581057
331,M 44N 02E 25,2011,2018,Siskiyou,4701637.06640625,8673.85038405348
332,H 14N 02E 28,2016,2019,Del Norte,5007072.24609375,8953.87420891927
333,M 44N 03E 30,2011,2011,Siskiyou,4570708.91015625,8553.39824197573
334,M 43N 10W 10,2000,2000,Siskiyou,4779617.3125,8750.85176228946
335,H 14N 06E 29,2015,2015,Siskiyou,4730906.45703125,8691.72478348777
336,H 14N 01E 34,2005,2021,Del Norte,4640285.45703125,8587.7433299953
337,H 14N 01E 35,2014,2021,Del Norte,4270068.125,8268.03178684383
338,M 44N 02E 31,2010,2017,Siskiyou,4740118.84375,8709.76840250563
339,H 14N 01E 36,2013,2020,Del Norte,4324035.5625,8323.00634251937
340,M 44N 02E 32,2011,2016,Siskiyou,4654330.6015625,8630.56242554819
341,M 44N 02E 33,2009,2009,Siskiyou,4827622.015625,8790.03287168814
342,M 44N 02E 34,2011,2016,Siskiyou,4932648.21484375,8884.14329903847
343,M 44N 02E 35,2005,2019,Siskiyou,4809756.08203125,8774.06560198686
344,M 44N 02E 36,2010,2016,Siskiyou,4840142.98828125,8801.31234948813
345,H 14N 02E 33,2019,2019,Del Norte,4868417.16015625,8830.06425582552
346,H 14N 02E 34,2017,2021,Del Norte,5073665.5234375,9029.50948449698
347,H 14N 06E 33,2006,2017,Siskiyou,4287567.9765625,8285.5247212401
