station(long),datevalue,latitude(double precision),longitude(double precision),elevation(double precision),namevalue,tempvalue(double precision),tempattributes(long),dewp(double precision),dewpattributes(long),slp(double precision),slpattributes(long),stp(double precision),stpattributes(long),visib(double precision),visibattributes(long),wdsp(double precision),wdspattributes(long),mxspd(double precision),gust(double precision),maxvalue(double precision),maxattributes,minvalue(double precision),minattributes,prcp(double precision),prcpattributes,sndp(double precision),frshtt(long)
72565003017,2018-01-11,34.678045610574074,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.0,24,18.9,24,498.6414647436704,23,829.3,25,9.9,24,8.4,24,22.9,32.1,57.0,,21.0,,0.17,G,999.9,11000
72565003017,2018-01-12,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.3,24,18.2,24,1017.1,24,832.4,24,10.0,19,9.5,20,18.1,22.9,46.0,,21.0,,0.0,G,999.9,11000
72565003017,2018-01-13,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.2,33,22.7,24,1025.9,22,839.5,24,9.7,24,5.8,24,14.0,999.9,48.0,,19.0,,0.03,G,999.9,1000
72565003017,2018-01-14,31.089438987335427,-63.59721695199043,858.8598055313354,"DENVER INTERNATIONAL AIRPORT, CO US",35.9,12,20.7,24,505.939654964544,24,839.2,24,10.0,25,7.0,12,9.9,999.9,55.9,,19.0,,0.0,G,999.9,0
101318576860,2018-01-15,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",24.8,24,16.0,18,1439.5519945205406,16,840.8,24,7.2,24,9.0,24,25.1,999.9,43.0,*,15.1,*,0.0,G,999.9,11000
72565003017,2018-01-16,39.38748812682244,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",10.3,24,-4.1,24,612.7444505203637,24,844.5,30,10.0,24,6.3,22,9.9,999.9,34.0,,-4.0,,0.03,G,999.9,0
72565003017,2018-01-17,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",27.1,24,7.5,28,1027.8,24,838.9,24,10.0,24,4.7,33,9.9,999.9,50.0,*,17.1,*,0.0,G,999.9,0
72565003017,2018-01-18,39.8328,-104.6575,2308.834358912054,"DENVER INTERNATIONAL AIRPORT, CO US",41.0,14,10.5,24,1020.0,24,835.5,34,10.0,24,9.1,24,15.9,999.9,64.9,,15.1,,0.0,G,999.9,0
72565003017,2018-01-19,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",49.8,24,14.5,24,1109.1628060241476,24,827.3,24,10.0,26,9.4,24,15.9,999.9,66.9,,26.2,,0.0,G,999.9,0
72565003017,2018-01-20,33.79169744078433,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.9,24,18.7,24,1004.2,24,824.5,24,10.0,24,9.0,21,14.0,999.9,66.9,,32.0,,0.0,G,999.9,0
72565003017,2018-01-21,39.8328,-95.63780626050276,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",26.9,24,23.4,24,1009.9,11,826.3,24,3.5,24,11.6,24,24.1,32.1,48.0,,23.0,,0.07,G,999.9,111000
72565003017,2018-01-22,32.27599663768129,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",26.1,24,11.1,16,1017.5,24,830.8,24,9.1,24,11.4,24,27.0,32.1,44.1,,9.0,,0.23,G,1.2,1000
72565003017,2018-01-23,39.8328,-99.70257428289396,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",29.1,24,9.3,24,883.9223404147361,24,835.7,24,10.0,24,5.8,24,11.1,999.9,44.1,,9.0,,0.0,G,3.9,0
72565003017,2018-01-24,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",29.5,24,12.6,15,1024.4,24,837.0,24,10.0,24,11.3,24,15.9,999.9,46.9,,14.0,,0.0,G,3.1,0
72565003017,2018-01-25,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.4,24,15.2,24,1013.5,24,830.8,24,10.0,24,14.0,24,25.1,33.0,54.0,*,34.0,*,0.0,G,3.1,0
72565003017,2018-01-26,39.8328,-104.6575,1766.5759111785,"DENVER INTERNATIONAL AIRPORT, CO US",35.9,24,12.5,24,1008.6,24,826.5,24,10.0,24,10.7,35,25.1,33.0,54.0,,25.0,,0.0,G,2.0,0
72565003017,2018-01-27,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",30.1,24,4.3,24,1023.9,24,837.2,24,10.0,24,8.4,24,15.9,999.9,45.0,,16.0,,0.0,G,999.9,0
72565003017,2018-01-28,39.8328,-139.639068191074,2362.578251897955,"DENVER INTERNATIONAL AIRPORT, CO US",35.2,24,14.1,24,1025.4,24,839.0,24,10.0,24,7.7,24,15.9,22.9,52.0,,16.0,,0.0,G,999.9,0
71041134618,2018-01-29,31.14793312556702,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.7,31,20.9,24,1030.2,24,843.3,24,10.0,13,6.3,24,12.0,999.9,57.9,,19.0,,0.0,G,999.9,0
73808862905,2018-01-30,39.8328,-93.72361891102923,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",47.2,14,14.3,20,1016.2,24,834.0,24,10.0,24,10.6,24,26.0,41.0,63.0,,21.9,,0.0,G,999.9,0
72565003017,2018-01-31,35.05812304190758,-104.6575,2160.728542260813,"DENVER INTERNATIONAL AIRPORT, CO US",43.2,24,18.5,24,812.8262102120981,24,827.3,24,10.0,24,9.2,24,25.1,36.9,63.0,,24.1,,0.0,G,999.9,0
72565003017,2018-02-01,40.12376425763497,-131.43715760226223,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",27.5,24,20.5,30,1020.2,17,834.6,24,8.4,24,7.8,24,12.0,999.9,36.0,*,24.1,*,0.01,G,999.9,1000
72565003017,2018-02-02,48.67203786785707,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.3,24,22.2,24,1021.5,16,836.0,24,5.8,24,5.9,24,14.0,999.9,60.1,,18.0,,0.01,G,999.9,101000
72565003017,2018-02-03,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.0,24,23.9,24,1501.1159840623686,24,828.8,24,9.7,24,10.1,24,22.9,36.9,60.1,,18.0,,0.0,G,999.9,0
72565003017,2018-02-04,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",29.3,24,18.5,24,1012.6,18,831.3,24,7.3,24,9.5,24,22.0,28.9,57.9,,10.0,,0.0,G,999.9,111000
72565003017,2018-02-05,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.8,24,23.1,24,1011.9,24,827.5,24,9.9,24,10.4,24,21.0,39.0,55.9,,10.0,,0.0,G,999.9,0
72565003017,2018-02-06,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",27.5,24,19.8,24,1015.6,21,830.6,35,6.7,24,7.6,24,17.1,22.0,55.9,,21.0,,0.0,G,999.9,1000
72565003017,2018-02-07,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.1,24,19.6,25,1022.0,24,835.9,24,9.1,24,7.6,24,11.1,999.9,53.1,,16.0,,0.0,G,999.9,100000
72565003017,2018-02-08,39.8328,-117.5388799024086,1134.0329112244735,"DENVER INTERNATIONAL AIRPORT, CO US",46.8,35,20.1,24,1019.2,24,836.2,15,10.0,24,11.8,24,22.9,33.0,60.1,*,36.0,*,0.0,G,999.9,0
72565003017,2018-02-09,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.2,24,20.9,24,1012.5,22,830.6,24,5.1,24,10.0,24,25.1,33.0,61.0,,19.0,,0.0,G,999.9,111000
72565003017,2018-02-10,22.424156138210463,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",15.2,24,11.8,24,1017.7,17,829.7,24,0.7,24,7.6,24,18.1,999.9,19.0,*,10.0,*,0.0,G,999.9,101000
72565003017,2018-02-11,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",18.2,24,9.5,24,1019.2,24,830.0,24,9.8,24,9.6,24,15.0,999.9,43.0,,0.0,,0.14,G,999.9,0
72565003017,2018-02-12,39.56034671964276,-104.6575,946.3103433211596,"DENVER INTERNATIONAL AIRPORT, CO US",20.7,24,15.4,24,1017.5,19,830.5,24,6.5,24,7.1,24,14.0,999.9,43.0,,0.0,,0.0,G,2.0,1000
72565003017,2018-02-13,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",30.9,24,18.5,24,1020.4,21,833.4,24,8.0,24,6.9,24,13.0,18.1,57.9,,14.0,,0.0,G,999.9,1000
72565003017,2018-02-14,24.378862028775483,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",45.9,14,19.4,24,1013.0,24,831.1,24,10.0,24,8.7,24,24.1,33.0,66.0,*,35.1,*,0.0,G,999.9,0
72565003017,2018-02-15,56.26693966416758,-133.39756056733555,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.0,24,22.4,24,1007.2,24,826.9,24,10.0,24,10.1,24,19.0,26.0,66.0,,25.0,,0.0,G,999.9,0
72565003017,2018-02-16,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",24.8,24,16.0,24,1021.7,20,835.7,24,8.5,24,9.2,24,19.0,28.9,48.0,,7.0,,0.02,G,999.9,1000
72565003017,2018-02-17,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",38.1,24,13.2,17,1423.6762899063335,24,829.6,24,10.0,26,9.5,24,22.9,33.0,55.0,*,28.0,*,0.0,G,999.9,0
72565003017,2018-02-18,39.8328,-112.5778210730145,2014.806062229907,"DENVER INTERNATIONAL AIRPORT, CO US",48.8,24,11.9,24,1000.6,24,821.1,24,10.0,15,11.7,17,17.1,999.9,69.1,,24.1,,0.0,G,999.9,0
83194591087,2018-02-19,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",20.6,24,12.4,24,607.3695979013073,17,820.3,24,3.4,24,10.1,24,22.0,28.0,9999.9,,10.0,*,0.0,G,999.9,101000
72565003017,2018-02-20,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",5.0,24,-0.4,24,1020.0,15,826.4,24,6.6,24,7.5,24,14.0,999.9,23.0,,-2.9,,0.11,G,999.9,101000
72565003017,2018-02-21,39.8328,-139.0439719152978,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",8.7,32,3.1,23,690.237052651145,22,835.7,24,8.9,25,5.8,24,12.0,999.9,21.9,,-7.1,,0.0,G,2.0,1000
81033278146,2018-02-22,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",16.3,24,9.7,24,1021.8,24,832.1,24,6.1,24,5.5,24,11.1,999.9,25.0,*,8.1,*,0.0,G,1.2,1000
72565003017,2018-02-23,39.8328,-70.72563250487983,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",20.8,24,16.8,24,1019.5,13,831.8,24,3.1,30,6.2,24,17.1,20.0,35.1,,8.1,,0.02,G,1.2,101000
72565003017,2018-02-24,39.8328,-67.2762357681959,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",26.9,24,13.9,24,1010.6,17,826.1,24,5.8,24,12.7,24,27.0,38.1,36.0,,8.1,,0.0,G,1.2,100000
72565003017,2018-02-25,28.81383082404107,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",27.5,24,2.6,27,1012.5,24,827.2,24,10.0,12,11.2,24,20.0,31.1,41.0,,15.1,,0.0,G,999.9,0
72565003017,2018-02-26,25.418810022488067,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.7,24,4.3,24,1013.4,24,829.1,24,10.0,24,7.7,24,14.0,999.9,57.0,,15.1,,0.0,G,999.9,0
73786022282,2018-02-27,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",38.2,24,10.6,20,1009.4,24,827.0,24,10.0,24,6.1,24,13.0,999.9,57.0,,18.0,,0.0,G,999.9,0
72565003017,2018-02-28,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.8,24,13.4,24,868.396304230426,24,826.4,24,10.0,24,6.9,24,14.0,17.1,55.9,,21.0,,0.0,G,999.9,0
85033752862,2018-03-01,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.6,31,16.1,24,1017.1,24,832.3,18,10.0,24,8.2,24,21.0,27.0,59.0,,18.0,,0.0,G,999.9,0
72565003017,2018-03-02,45.91062400510269,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",45.6,35,15.1,24,1011.1,24,829.3,24,10.0,24,11.9,24,21.0,28.0,70.0,,18.0,,0.0,G,999.9,0
72565003017,2018-03-03,39.8328,-104.6575,2099.7575348996497,"DENVER INTERNATIONAL AIRPORT, CO US",54.8,24,10.6,24,1006.2,23,827.5,24,10.0,24,10.0,24,19.0,28.0,71.1,*,45.0,*,0.0,G,999.9,0
51040078270,2018-03-04,26.587443760877026,-144.97888032128577,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",55.1,24,5.4,24,999.5,24,822.1,24,10.0,24,16.2,24,28.0,38.1,71.1,,35.1,,0.0,G,999.9,0
72565003017,2018-03-05,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.2,24,3.2,24,1010.8,24,828.8,24,10.0,29,20.5,12,32.1,52.1,53.1,*,26.1,*,0.0,G,999.9,0
72565003017,2018-03-06,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.8,29,1.6,34,1196.3874553336168,23,835.4,24,10.0,24,9.0,24,32.1,35.9,46.0,,17.1,,0.0,G,999.9,0
72565003017,2018-03-07,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",30.1,24,6.8,24,1023.6,24,836.9,24,10.0,24,8.1,24,13.0,21.0,51.1,,12.9,,0.0,G,999.9,0
58762766044,2018-03-08,39.8328,-104.6575,1056.3565072884608,"DENVER INTERNATIONAL AIRPORT, CO US",40.3,24,5.9,21,1016.2,24,832.4,24,10.0,24,7.7,24,14.0,999.9,64.0,,12.9,,0.0,G,999.9,0
51640895317,2018-03-09,21.30686879521336,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",52.1,24,13.8,24,1007.0,24,827.4,24,10.0,24,8.8,35,24.1,34.0,64.9,,24.1,,0.0,G,999.9,0
72565003017,2018-03-10,39.8328,-120.58107705537452,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",47.3,24,17.8,24,1008.3,24,828.3,24,10.0,24,11.8,24,24.1,34.0,64.9,,30.9,,0.0,G,999.9,0
72565003017,2018-03-11,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",32.9,24,13.8,24,1024.2,24,838.6,24,10.0,24,6.2,24,21.0,999.9,52.0,,16.0,,0.0,G,999.9,0
72565003017,2018-03-12,39.8328,-54.42873758978847,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.8,24,7.8,34,1022.8,23,838.4,24,10.0,24,8.0,27,15.9,21.0,57.0,,16.0,,0.0,G,999.9,0
72565003017,2018-03-13,39.8328,-104.6575,2438.177930194004,"DENVER INTERNATIONAL AIRPORT, CO US",40.5,24,18.3,24,1022.8,24,838.5,24,10.0,24,7.7,25,13.0,24.1,57.9,,23.0,,0.0,G,999.9,0
72565003017,2018-03-14,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",46.9,24,20.6,24,1014.9,24,832.8,24,10.0,24,8.7,24,20.0,28.0,66.9,,26.1,,0.0,G,999.9,0
72565003017,2018-03-15,39.8328,-104.6575,2223.148986957656,"DENVER INTERNATIONAL AIRPORT, CO US",51.2,24,20.9,24,1000.1,24,821.8,17,10.0,24,8.5,24,22.9,35.0,66.9,,30.0,,0.0,G,999.9,10000
72565003017,2018-03-16,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.5,24,28.4,24,1001.4,20,821.0,34,9.5,24,13.1,24,29.9,40.0,66.9,,30.9,,0.04,G,999.9,10000
72565003017,2018-03-17,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.0,24,15.8,24,1242.2645815731896,24,827.5,24,10.0,24,11.6,24,21.0,28.0,64.0,,25.0,,0.0,G,999.9,0
72565003017,2018-03-18,39.8328,-104.6575,869.7872902943385,"DENVER INTERNATIONAL AIRPORT, CO US",44.5,28,21.2,24,1002.6,24,823.1,24,10.0,31,9.0,24,25.1,33.0,64.0,,25.0,,0.0,G,999.9,10000
72565003017,2018-03-19,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",35.1,24,26.2,24,1012.8,24,829.2,24,7.4,21,14.0,24,24.1,32.1,52.0,,28.0,,0.33,G,999.9,11000
72565003017,2018-03-20,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",36.4,24,19.5,24,1016.2,24,832.1,24,10.0,24,9.2,24,19.0,28.9,52.0,,25.0,,0.0,G,1.2,0
72565003017,2018-03-21,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.0,24,18.8,24,1014.5,24,831.8,24,10.0,33,7.3,24,18.1,999.9,62.1,,25.0,,0.0,G,999.9,0
72565003017,2018-03-22,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",53.8,30,24.7,24,1014.0,24,833.3,24,10.0,12,7.2,13,13.0,20.0,73.0,,26.1,,0.0,G,999.9,0
72565003017,2018-03-23,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",60.0,24,31.4,24,1004.5,24,827.1,24,10.0,20,11.9,24,28.9,48.0,70.0,*,51.1,*,0.0,G,999.9,10000
54706928887,2018-03-24,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",49.9,24,27.5,21,1009.1,20,830.1,24,9.7,24,10.0,24,24.1,36.9,72.0,,30.0,,0.0,G,999.9,0
72565003017,2018-03-25,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",50.5,24,26.7,12,1003.2,24,824.4,24,10.0,24,11.3,27,24.1,34.0,68.0,,30.0,,0.0,G,999.9,0
71516390925,2018-03-26,55.5175201724372,-66.02937900694073,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.6,24,31.4,24,1007.0,20,826.4,24,8.3,24,8.2,24,22.9,34.0,66.0,,30.9,,0.0,G,999.9,10000
72565003017,2018-03-27,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",34.5,24,28.8,24,1018.4,18,834.4,12,6.8,12,9.3,24,20.0,28.0,55.0,,24.1,,0.32,G,999.9,11000
72565003017,2018-03-28,39.8328,-140.1735983617105,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",38.4,24,28.2,24,1012.5,22,829.2,24,9.6,24,9.9,24,21.0,999.9,46.9,,24.1,,0.05,G,1.2,111000
85143366729,2018-03-29,34.084199547038835,-104.6575,1250.0818081722882,"DENVER INTERNATIONAL AIRPORT, CO US",34.2,24,28.5,29,1016.2,18,832.2,32,6.1,24,8.5,24,24.1,34.0,46.9,,24.1,,0.31,G,999.9,111000
63936133489,2018-03-30,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",39.3,24,26.2,24,1018.6,24,834.6,24,9.6,24,7.1,24,18.1,999.9,63.0,,24.1,,0.02,G,1.2,1000
72565003017,2018-03-31,38.74162297769613,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",46.1,24,26.9,24,1013.9,24,832.4,24,10.0,12,9.5,24,25.1,34.0,63.0,,25.0,,0.0,G,999.9,0
72565003017,2018-04-01,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",33.2,24,22.5,26,1016.5,20,832.7,24,10.0,17,10.6,24,25.1,26.0,59.0,,23.0,,0.0,G,999.9,0
72565003017,2018-04-02,37.119800740209335,-52.99633541616897,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",50.1,15,24.0,24,999.5,24,820.3,24,10.0,24,6.5,24,17.1,999.9,73.9,,23.0,,0.0,G,999.9,0
72565003017,2018-04-03,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",43.6,24,12.2,24,1006.8,23,826.1,24,10.0,24,13.4,16,22.9,34.0,69.1,*,28.0,*,0.0,G,999.9,11000
72565003017,2018-04-04,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",40.2,24,8.2,24,1015.5,24,832.0,24,10.0,24,7.8,12,15.0,999.9,61.0,*,24.1,*,0.0,G,999.9,0
72565003017,2018-04-05,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",51.8,28,20.1,24,1011.4,24,830.9,24,10.0,24,7.9,24,14.0,22.0,64.9,,24.1,,0.0,G,999.9,0
72565003017,2018-04-06,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",38.4,24,25.9,24,1011.3,18,831.4,24,8.0,24,11.3,18,22.9,27.0,64.9,,21.9,,0.0,G,999.9,111000
72565003017,2018-04-07,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",31.0,24,23.9,24,1015.4,20,830.9,24,8.6,24,8.1,24,14.0,17.1,57.9,,21.0,,0.05,G,999.9,1000
72565003017,2018-04-08,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",53.3,24,30.9,24,1001.6,24,822.7,24,10.0,24,12.3,24,24.1,35.0,63.0,*,39.0,*,0.03,G,999.9,10000
96591433401,2018-04-09,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",45.0,24,29.8,24,1015.3,22,833.7,13,9.5,27,9.1,24,25.1,35.9,64.0,,33.1,,0.05,G,999.9,11000
72565003017,2018-04-10,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",50.3,24,25.2,24,1019.9,24,837.3,19,10.0,24,9.5,24,18.1,26.0,71.1,,32.0,,0.06,G,999.9,0
72565003017,2018-04-11,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",63.5,33,21.2,24,1007.0,24,829.4,12,10.0,24,11.6,24,20.0,31.1,78.1,*,48.9,*,0.0,G,999.9,0
73113047272,2018-04-12,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",58.2,24,26.0,24,996.9,24,821.0,24,10.0,24,10.0,24,20.0,28.9,79.0,,43.0,,0.0,G,999.9,0
72565003017,2018-04-13,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",44.2,15,24.2,24,999.5,17,821.0,15,9.1,35,20.8,24,39.0,49.0,72.0,*,33.1,*,0.1,G,999.9,11010
51056273673,2018-04-14,39.8328,-104.6575,831.0665172945425,"DENVER INTERNATIONAL AIRPORT, CO US",38.5,28,18.7,24,1018.3,24,834.1,20,10.0,24,23.2,24,29.9,42.0,55.9,,28.9,,0.05,G,999.9,0
72565003017,2018-04-15,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",42.6,24,23.9,24,1018.9,24,835.5,24,10.0,35,6.3,24,15.0,999.9,61.0,,26.1,,0.0,G,999.9,0
72565003017,2018-04-16,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",50.1,24,28.5,24,1010.7,24,830.1,19,10.0,24,7.4,15,15.0,19.0,73.0,,26.1,,0.0,G,999.9,0
72620775054,2018-04-17,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",61.9,35,18.9,24,997.5,23,821.2,24,9.2,24,20.0,24,38.1,58.1,72.0,*,50.0,*,0.0,G,999.9,0
72565003017,2018-04-18,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",41.9,24,14.0,24,1018.3,23,835.5,24,9.8,24,10.9,24,29.9,35.0,55.9,*,32.0,*,0.0,G,999.9,0
83073214233,2018-04-19,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",44.7,24,14.6,24,1527.806706365074,24,837.6,24,10.0,24,13.7,24,28.0,38.1,69.1,,25.0,,0.0,G,999.9,0
72565003017,2018-04-20,39.8328,-104.6575,1650.2,"DENVER INTERNATIONAL AIRPORT, CO US",50.9,24,23.7,24,1009.3,24,829.6,24,9.8,24,17.2,24,28.0,39.0,69.1,,27.0,,0.0,G,999.9,10000
