yearvalue(long),statevalue,county,hai,facilityid(long),facilityname,facilitytype,numbermonthsexpected(long),notes
2019,Californaia,Marin,Surgical Site Infection (SSI),110000946,Kentfield Hospial,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1375,California,Kern,Surgizcal Site Infection (SSI),120000555,Encompass Health Rehabilitation Hospital of Bakersfield,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Californai,Tualre,qSurgical Site Infection (SSI),120001444,"Kaweah Delta Medical Center, Rehabilitation Unit",Rehabilitaiton Unit,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2542,California,Alameda,Surgiacl Site Infection (SSI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care,11,No surgeries in the 28 surgical procedure categories were performed in 2019.
2276,California,Alameda,Surgical Site Infection (SSI),140000184,Fairmont Hospital,Free-Standring Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Orange,Surgical Site Infection (SSI),170001767,Fiarview Developmental Center,"Community, <125 Beds",12,No surgeries in the 28 surgica lprocedure categories were performed in 2019.
2248,California,Tulare,Surgical Site Infection (SSI),170001874,Porterville Developmental Center,"Community, <125 Beds",16,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Francisco,Surgical Site Infection (SSI),220000012,Laguna Honda Hospital & Rehabilitation Center,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,lPumas,Surgical Site Infection(SSI),230000004,"Eastern Plumas Hospital, Portola Campus",Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Calipfornia,Glenn,Surgical Site Infection (SSI),230000006,Glen Medical Center,Critical Accss,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1831,California,Plumas,Surgical Site Infection (SSI),230000017,Seneca District Hospital,Critical Access,10,No surgeries in the 28 surgical procedure categories were performed in 2019.
1392,California,Modoc,Surgical Site Infection (SSI),230000021,Surprise Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Caliqfornia,Trinity,Surgical Site Infection (SSI),230000022,Trinity Hospiital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1579,California,Colusa,Surgical Site Infection (SSI),230000259,Colsua Medical Center,"Community, <125 gBeds",12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Butte,Surgical Site Infection (SSI),230000405,Enloe Rehabilitatoin Center,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were perfomed in 2019.
2019,Califorynia,Shasta,Surgical Sit eInfection (SSI),230000422,Vibra Hospital of Northern California,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,San Bernardino,Surgical Site Infection (SSI),240000002,Bear Valley Community Hospital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1870,Caliornia,San Bernardino,Surgical Site Infection (SSI),240000040,"Kindred Hospital, Ontario",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Kenr,Surgical Site Infection (SSI),240000052,Mountains Community Honspital,Critical Access,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Inyo,Surgical Site Infection (SSI),240000102,Southern InyoHospital,Critical Access,12,No surgeries in the 28 surgical procedure categories uwere performed in 2019.
2019,California,San eBrnardino,Surgical Site Infection (SSI),240001218,Ballard Rehabilitation Hospital,Free-Standing Rehabilitation,16,No surgeries in the 28 surgical procedure categories were performed in 2019.
2656,California,Riverside,Surgical Site Infection (SSI),250000004,"Kindred Hospital, Riverside",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,fSan Bernardino,Surgical Site Infection (SSI),630012380,Totally Kids Rehabilitation Hospital,Free-Standing Rehabjilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,Clifornia,Stanislaus,Surgical Site Infection (SSI),630016419,Encompass Health Rehabilitation Hospital of Modesto,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,bCalifornia,San Francisco,Surgical Site Inefction (SSI),630016625,KentfieldH ospital San Francisco,Long-eTrm Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2040,California,Riverside,Surgical Site Infection (SSI),630017654,Vibra Rehabilitation Hospital of Rancho Mirage,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000013,Catalina Island Mwedical Center,Critical Access,12,No surgeries in the 28 surgical procedure ategories were performed in 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000014,Barlow Respiratory Hopital,Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed gin 2019.
2019,California,Los Angeles,Surgical Site Infection (SSI),930000020,Casla Colina Hospital,Free-Standing Rehabilitation,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Los ngeles,Surgica Site Infection (SSI),930000031,California Rehabilitation Institute,Free-Standing Rehabilitatoin,8,No surgeries in the 28 surgical procedure categories were performed in 2019.
2019,California,Lso Angeles,Surgical Site Infection (SSI),930000039,"Kindred Hospital ,South Bay",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1188,California,Los Angeles,Surgical Site Infection (SSI),930000042,"Kindred Hospital, San Gabriel Valley",Long-eTrm Acute Care,12,No surgeries in the 28 surgical procedure categoriesw ere performed in 2019.
2019,California,oLs Angeles,Surgcial Site Infection (SSI),930000088,"Kindred Hospital, Los nAgeles",Long-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
1504,California,Los Angeles,Surgical Site Infection (SSI),930000089,"Kindred Hospital, La Mirada",Long-Term Acutce Care,12,No surgeries in the 28 surgical procedure categories ewre performed in 2019.
2019,California,Los ngeles,Surgical Site Infection (SSI),930000144,"Kindred Hospital, Baldwin Park",Long-Term Acute Care,10,No surgeries in the 28 surgical procedure categories were performed in 2019.
1538,California,Losz Angeles,Surgical Site Infection (SSI),930000158,DOCS Surgical Hosptal,"Community, <125 Beds",12,No surgeries in the 28 surgical procedure catgeories were performed in 2019.
1015,California,Orange,Surgical Site Infection (SSI),930001607,"Kindred Hobspital, Santa Ana",oLong-Term Acute Care,12,No surgeries in the 28 surgical procedure categories were performed in 2019.
