Last Name,First Name,Company,Grade,Discharge Grade
Vickars,William,D,Private,Private
Vickers,J. C.,~,Private,Private
Vickers,John W.,C,Private,Private
Vickers,William,D,Private,Private
Vincent,Nat. B.,F,Private,Private
Vinson,N. B.,F,Private,Private
Vocus,E. O.,I,Private,Private
Wadkins,J. D.,B,Private,Private
Wadsworth,James C.,E,Private,Private
Wadsworth,W. J.,H,Private,Private
Wagner,H. C.,K,Private,Private
Wagner,W. S.,K,Private,Private
Wagnon,Hinton C.,K,Private,Private
Wagnon,William S.,K,Private,Private
Wagoner,H. C.,K,Private,Private
Waits,G. M. P.,B,Private,Private
Waits,George M. T.,B,Private,Private
Waits,William B.,B,Private,Private
Walby,S. E.,H,Private,Private
Walden,Francis M.,D,Private,Private
Walden,John D.,D,Private,Private
Walker,H. H.,~,Private,Private
Walker,Jonathan L.,I,Private,Private
Walker,Nathaniel S.,F&S,Assistant Surgeon,Assistant Surgeon
Walker,R. J.,E,Private,Private
Walker,Richard P.,K,Corporal,Corporal
Wallace,N.,A,Private,Private
Wallace,William F.,D,Private,Private
Wallace,William J.,H,Sergeant,Sergeant
Waller,Jarrot L.,E,Private,Private
Waller,Roan,B,Private,Private
Waller,William,G,Private,Private
Waller,William J.,H,Sergeant,Sergeant
Wallestine,Harman,E,Private,Private
Wallis,Nicholas G.,D,Private,Private
Wallis,William D.,D,Private,Private
Wallis,William F.,D,Private,Private
Walls,D. M.,F,Private,Private
Walls,George W.,F,Private,Private
Walls,J.,"F,K",Private,Private
Ward,Francis M.,B,Private,Private
Ward,Ira C.,E,Private,Private
Ward,John M.,C,Private,Private
Ward,John S.,K,Corporal,Corporal
Ward,Oliver H.,G,Private,Private
Ward,Paschal W.,F,Private,Private
Ward,Walter B.,F,Private,Private
Ward,William W.,H,Private,Private
Wardsworth,William J.,H,Private,Private
Watkins,John G.,B,Private,Private
Watson,Edward T.,H,Private,Private
Watson,J.M.,H,Private,Private
Watson,Robert N.,G,Private,Private
Watson,Thomas A.,G,First Sergeant,First Sergeant
Watson,W.D.,K,Private,Private
Watt,G.W.,H,Private,Private
Weaks,James D.,G,Private,Private
Weaver,D.F.,G,Private,Private
Weaver,Doctor F.,G,Private,Private
Webb,D.R.,K,Corporal,Corporal
Webb,George W.,B,Private,Private
Weeks,B.D.,G,Private,Private
Weems,Gilbert G.,A,First Sergeant,First Sergeant
Weems,J.W.,F&S,Sergeant Major,Sergeant Major
Weems,James R.,"A,H",Private,Private
Weems,John,A,Private,Private
Weems,P.G.,A,Private,Private
Welch,John,G,Private,Private
West,James A.,G,Private,Private
West,John J.,F,Private,Private
West,John M.,D,Private,Private
Wevems,J.W.,A,Private,Private
Whaley,Henry H.,H,Private,Private
Whaly,Wm.,G,Private,~
Whatley,James H.,H,Private,Private
Whatley,William H.,H,Private,Private
Whidby,William B.,H,Private,Private
White,David T.,I,Private,Private
White,Dennis,D,Private,Private
White,G.W.,F,Private,Private
White,J.,H,Private,Private
White,John J.,B,First Sergeant,First Sergeant
White,T.R.,F,Private,Private
Whitehead,Aaron,C,Private,Private
Whitehead,H.W.,C,Private,Private
Whitehead,Henry,C,Private,Private
Whitehead,James E.,C,Private,~
Whitehead,John J.,C,Private,Private
Whitehead,Lewis,C,Private,Private
Whitehead,William J.,C,Sergeant,Sergeant
Whitehead,William S.,C,Private,Private
Whitely,Z.,I,Private,Private
Whitley,Lazhanah,I,Private,Private
Whitley,Z.,I,Private,Private
Whitlock,James L.,G,Private,Private
Whitmore,E.E.,F,Private,Private
Whitney,Ebenezer,A,Private,Private
Whorton,W.F.,H,Private,~
Wicks,B.D.,G,Private,Private
Wilborn,James T.,B,Private,Private
Wilburn,James P.,B,Private,Private
Wiley,Charles M.,F&S,Adjutant,Adjutant
Wilkerson,B.H.,G,Corporal,Corporal
Wilkerson,William J.,G,Private,Private
Wilkins,Samuel J.,A,Second Lieutenant,Second Lieutenant
Wilkins,William J.,A,Brevet Second Lieutenant,Third Lieutenant
Willaby,Aaron,H,Private,Private
Willaby,James W.,H,Private,Private
Willaby,Nolan F.,H,Private,Private
Willaby,Solomon C.,H,Private,Private
Willeby,Noel F.,H,Private,Private
Willeby,S.C.,H,Private,Private
Williams,Browning,G,Private,Private
Williams,George W.,E,Musician,Musician
Williams,James M.,A,Corporal,Corporal
Williams,M.J.,G,Private,~
Williams,R.I.,C,Private,Private
Williams,Robert T.,C,Private,Private
Williams,Thomas J.,K,Private,Private
Williams,Wm C.,C,Private,~
Willingham,J.,~,Private,Private
Willingham,J.W.,B,Private,Private
Willingham,Jefferson,B,Private,Private
Willingham,Theophilus,B,Private,Private
Willis,John,D,Private,Private
Willis,John D.,D,~,~
Willoughby,A.,H,Private,Private
Willoughby,J.W.,H,Private,Private
Willoughby,William R.,C,Private,Private
Willougherby,David J.,C,Private,Private
Wilson,Jesse P.,K,Private,Private
Wilson,John,G,Private,Private
Wilson,William J.,G,Private,Private
Windham,John J.,H,Private,Private
Winfrey,Thomas E.,I,Private,Private
Winter,R.H.,A,Private,Private
Witherby,Sandbey C.,H,Private,Private
Wood,H.P.,B,Private,Private
Wood,John W.,I,Private,Private
Wood,W.H.,M,Private,Private
Woodward,Council E.,K,Private,Private
Wooten,Riley,B,Private,Private
Word,John M.,C,Private,~
Wright,Alexander H.,F,Brevet Second Lieutenant,Brevet Second Lieutenant
Wright,Asbury,H,Private,Private
Wright,J.M.,K,Private,Private
Wright,Jesse M.,K,Private,Private
Wright,William B.,D,Private,Private
Wright,William B.,D,Private,Private
Wright,William H.,K,First Sergeant,Second Lieutenant
Wright,Yelbertson P.,K,Private,Private
Wyatt,George W.,A,Private,Private
Wyatt,John P.,A,Private,Private
Wynn,J. Henry,K,Corporal,Corporal
Wynn,J.H.,K,Private,Private
Wynn,Oscar S.,F,Private,Private
Wynne,O.S.,F,Private,Hospital Steward
Yarbrough,Edward A.,H,Private,Private
Youngblood,Cincinnattus,I,Private,Private
Zachry,Asa J.,F,Private,Private
Zeigler,J.F.,E,Private,Private
Ziglen,J.T.,E,Private,Private
