123.block_group,"Block Group 3, Census Tract 5147, Hartford County, oCnnecticut","Block Group 3, Census Tract 5147, Hartford County, Connecticut"
283.namevalue,Presotn,Preston
49.namelsad,Blockz Group 3,Block Group 3
31.funcstat,gS,S
220.funcstat,***,S
125.block_group,"Block Group 2, Census Tractp 5147, Hartford County, Connecticut","Block Group 2, Census Tract 5147, Hartford County, Connecticut"
83.namevalue,Stamord,Stamford
94.funcstat,***,S
256.mtfcc,Gx5030,G5030
131.mtfcc,5030,G5030
73.namelsad,lBock Group 2,Block Group 2
294.funcstat,,S
260.namelsad,Blojck Group 2,Block Group 2
140.funcstat,yS,S
212.namelsad,Blocuk Group 1,Block Group 1
135.mtfcc,G5003,G5030
268.block_group,"Block Group 4, Census Tract 751.02, New London County, Connecticut","Block Group 4, Census Tract 7051.02, New London County, Connecticut"
137.block_group,"Block Group 1, Census Tract 4961, Hartfogrd County, Connecticut","Block Group 1, Census Tract 4961, Hartford County, Connecticut"
163.namevalue,Hambden,Hamden
189.namevalue,New aven,New Haven
186.funcstat,,S
276.mtfcc,5030,G5030
308.mtfcc,G503u0,G5030
174.mtfcc,G5003,G5030
73.block_group,"Block Group 2, Censu sTract 211, Fairfield County, Connecticut","Block Group 2, Census Tract 211, Fairfield County, Connecticut"
304.block_group,"Block Group 3, eCensus Tract 5303.01, Tolland County, Connecticut","Block Group 3, Census Tract 5303.01, Tolland County, Connecticut"
222.funcstat,***,S
49.block_group,"Block Group 3, Censu Tract 113, Fairfield County, Connecticut","Block Group 3, Census Tract 113, Fairfield County, Connecticut"
305.namelsad,Block Grioup 4,Block Group 4
304.mtfcc,G030,G5030
248.block_group,"Bolck Group 1, Census Tract 1407, New Haven County, Connecticut","Block Group 1, Census Tract 1407, New Haven County, Connecticut"
128.namevalue,Plainvlle,Plainville
144.funcstat,fS,S
178.mtfcc,rG5030,G5030
7.mtfcc,G030,G5030
104.block_group,"Block Group 1, Census Tract 4052, Hartford ounty, Connecticut","Block Group 1, Census Tract 4052, Hartford County, Connecticut"
51.block_group,"Block Group 2, Census Tratc 113, Fairfield County, Connecticut","Block Group 2, Census Tract 113, Fairfield County, Connecticut"
309.namelsad,Blcok Group 5,Block Group 5
262.namelsad,Block Goup 5,Block Group 5
214.mtfcc,Gp5030,G5030
168.funcstat,,S
48.namevalue,Greenwihc,Greenwich
71.funcstat,,S
314.block_group,"Block Group 2, Census Tract 3492, Litnchfield County, Connecticut","Block Group 2, Census Tract 3492, Litchfield County, Connecticut"
155.namevalue,Kigllingly,Killingly
122.mtfcc,G5003,G5030
44.namevalue,Greenich,Greenwich
179.namevalue,Mansfiedl,Mansfield
35.mtfcc,G530,G5030
46.namelsad,BlockGroup 2,Block Group 2
243.funcstat,,S
98.funcstat,***,S
64.namevalue,Stmford,Stamford
4.block_group,"Block Group 2, Census Tracjt 437, Fairfield County, Connecticut","Block Group 2, Census Tract 437, Fairfield County, Connecticut"
148.block_group,"Block Group 1, Census Tract 4731, Hartford County, Connectcut","Block Group 1, Census Tract 4731, Hartford County, Connecticut"
193.mtfcc,G5300,G5030
318.block_group,"Block Group 2,x Census Tract 1404, New Haven County, Connecticut","Block Group 2, Census Tract 1404, New Haven County, Connecticut"
229.namevalue,New aven,New Haven
56.namevalue,Shelon,Shelton
219.block_group,"Block Group 2, Cesus Tract 1416, New Haven County, Connecticut","Block Group 2, Census Tract 1416, New Haven County, Connecticut"
86.mtfcc,5G030,G5030
298.funcstat,***,S
103.mtfcc,G5i030,G5030
115.namevalue,Manchestper,Manchester
69.namelsad,Block roup 1,Block Group 1
262.funcstat,nS,S
254.namevalue,New Haevn,New Haven
86.namevalue,Branforrd,Branford
32.block_group,"Blokc Group 3, Census Tract 2102, Fairfield County, Connecticut","Block Group 3, Census Tract 2102, Fairfield County, Connecticut"
210.block_group,"Block Group i2, Census Tract 1427, New Haven County, Connecticut","Block Group 2, Census Tract 1427, New Haven County, Connecticut"
47.mtfcc,G030,G5030
53.namelsad,Block Goup 2,Block Group 2
146.namevalue,Windsr,Windsor
123.mtfcc,G50h30,G5030
147.mtfcc,hG5030,G5030
8.namelsad,lock Group 1,Block Group 1
184.funcstat,***,S
35.block_group,"Block Group 1, Census Tract 2113, Fairfield Count, Connecticut","Block Group 1, Census Tract 2113, Fairfield County, Connecticut"
110.namevalue,Efield,Enfield
220.mtfcc,G030,G5030
195.block_group,"Block Group 4, Census Tract 1407, New Haven County ,Connecticut","Block Group 4, Census Tract 1407, New Haven County, Connecticut"
56.mtfcc,G50d30,G5030
316.funcstat,,S
155.mtfcc,G5003,G5030
153.namevalue,Kiillingly,Killingly
55.namelsad,Bloc kGroup 1,Block Group 1
154.namelsad,lock Group 3,Block Group 3
269.namevalue,Stonvington,Stonington
111.mtfcc,G030,G5030
271.namelsad,Block Gropu 2,Block Group 2
79.mtfcc,G5003,G5030
254.namelsad,Blokc Group 2,Block Group 2
169.block_group,"Block Group 3, Censs Tract 1658.02, New Haven County, Connecticut","Block Group 3, Census Tract 1658.02, New Haven County, Connecticut"
88.block_group,"Block Group 2, Census Tract 1842, New Haven County, Connectiucut","Block Group 2, Census Tract 1842, New Haven County, Connecticut"
174.block_group,"Block Group 1, Census Tract 8815, Tolland County,Connecticut","Block Group 1, Census Tract 8815, Tolland County, Connecticut"
269.block_group,"Block Group 3, Censs Tract 7051.02, New London County, Connecticut","Block Group 3, Census Tract 7051.02, New London County, Connecticut"
143.mtfcc,G5003,G5030
221.namevalue,Ne Haven,New Haven
27.funcstat,,S
247.mtfcc,jG5030,G5030
54.block_group,"lBock Group 2, Census Tract 2456, Fairfield County, Connecticut","Block Group 2, Census Tract 2456, Fairfield County, Connecticut"
71.namelsad,Blok Group 3,Block Group 3
171.block_group,"Block Group 5, Census Tract 654, New Haven County, Connecticut","Block Group 5, Census Tract 1654, New Haven County, Connecticut"
27.mtfcc,G5v030,G5030
48.mtfcc,G030,G5030
307.mtfcc,G5003,G5030
41.funcstat,,S
242.namelsad,Blockk Group 1,Block Group 1
30.mtfcc,G530,G5030
165.namevalue,nHamden,Hamden
80.block_group,"lBock Group 1, Census Tract 221, Fairfield County, Connecticut","Block Group 1, Census Tract 221, Fairfield County, Connecticut"
6.namevalue,Norwalhk,Norwalk
20.funcstat,,S
169.mtfcc,5030,G5030
301.namelsad,lock Group 1,Block Group 1
192.mtfcc,G5300,G5030
22.mtfcc,G030,G5030
157.funcstat,wS,S
293.namelsad,Bljock Group 4,Block Group 4
24.namevalue,Dabnury,Danbury
302.mtfcc,G5003,G5030
216.namevalue,New Hvaen,New Haven
24.funcstat,aS,S
296.block_group,"Block Group 6, Census Tract 5351, Tolland County, Connetcicut","Block Group 6, Census Tract 5351, Tolland County, Connecticut"
39.mtfcc,5030,G5030
313.mtfcc,G500,G5030
307.block_group,"Block Group 3, Census Tract 8401, TollandCounty, Connecticut","Block Group 3, Census Tract 8401, Tolland County, Connecticut"
233.mtfcc,G500,G5030
183.mtfcc,G530,G5030
153.mtfcc,mG5030,G5030
220.block_group,"Block Group 3, Census Tract 1416, New Haven Conty, Connecticut","Block Group 3, Census Tract 1416, New Haven County, Connecticut"
78.funcstat,***,S
32.mtfcc,lG5030,G5030
298.namelsad,Block Group1,Block Group 1
29.namelsad,BlockGroup 3,Block Group 3
22.block_group,"Block Goup 1, Census Tract 2002, Fairfield County, Connecticut","Block Group 1, Census Tract 2002, Fairfield County, Connecticut"
198.namelsad,Blok Group 1,Block Group 1
118.funcstat,,S
76.namevalue,Stamfrod,Stamford
216.namelsad,Block Grioup 7,Block Group 7
70.namevalue,Stamsford,Stamford
291.block_group,"Block Group 1, Census Tract 5417, Middlesex Coutny, Connecticut","Block Group 1, Census Tract 5417, Middlesex County, Connecticut"
302.block_group,"Block Group 2, ensus Tract 5304, Tolland County, Connecticut","Block Group 2, Census Tract 5304, Tolland County, Connecticut"
287.block_group,"Block Group 2, Census Tract 5411,t Middlesex County, Connecticut","Block Group 2, Census Tract 5411, Middlesex County, Connecticut"
26.block_group,"Block Group 3, Census Tract 2107.02, Fairfield Couty, Connecticut","Block Group 3, Census Tract 2107.02, Fairfield County, Connecticut"
277.mtfcc,G500,G5030
276.namevalue,Colchster,Colchester
24.namelsad,Blok Group 1,Block Group 1
91.namelsad,Block Grou 3,Block Group 3
167.funcstat,oS,S
95.mtfcc,G030,G5030
164.block_group,"Block Grou 4, Census Tract 1655, New Haven County, Connecticut","Block Group 4, Census Tract 1655, New Haven County, Connecticut"
219.mtfcc,G503z0,G5030
265.funcstat,***,S
114.namevalue,Manchaester,Manchester
63.mtfcc,aG5030,G5030
298.namevalue,Stafofrd,Stafford
224.block_group,"Block Group 4, Cenuss Tract 1419, New Haven County, Connecticut","Block Group 4, Census Tract 1419, New Haven County, Connecticut"
299.namevalue,ernon,Vernon
85.mtfcc,tG5030,G5030
109.block_group,"Block Group 2, Census Tract 4806, Hartford County, onnecticut","Block Group 2, Census Tract 4806, Hartford County, Connecticut"
232.namelsad,Block Gropu 1,Block Group 1
8.namevalue,Norwlak,Norwalk
227.namevalue,ew Haven,New Haven
300.namelsad,Bloock Group 3,Block Group 3
115.namelsad,Block Grozup 1,Block Group 1
156.namelsad,Block uGroup 5,Block Group 5
49.namevalue,Grenwich,Greenwich
27.namelsad,Block Goup 1,Block Group 1
157.mtfcc,G503h0,G5030
293.mtfcc,G5003,G5030
268.namelsad,lock Group 4,Block Group 4
108.namevalue,Efield,Enfield
197.namelsad,Block Group3,Block Group 3
95.namevalue,Britsol,Bristol
77.mtfcc,5G030,G5030
145.funcstat,mS,S
110.mtfcc,G530,G5030
179.block_group,"Block Group 2, Census Tract 8811, Tlland County, Connecticut","Block Group 2, Census Tract 8811, Tolland County, Connecticut"
92.namevalue,mBristol,Bristol
11.namelsad,Block Gropu 4,Block Group 4
256.namelsad,Block Groukp 1,Block Group 1
297.namevalue,lElington,Ellington
43.block_group,"Block Goup 1, Census Tract 614, Fairfield County, Connecticut","Block Group 1, Census Tract 614, Fairfield County, Connecticut"
90.funcstat,mS,S
23.namevalue,gBethel,Bethel
92.funcstat,,S
201.block_group,"Block Group 3, Census Tract 1408, New Havn County, Connecticut","Block Group 3, Census Tract 1408, New Haven County, Connecticut"
38.funcstat,,S
71.block_group,"lBock Group 3, Census Tract 214, Fairfield County, Connecticut","Block Group 3, Census Tract 214, Fairfield County, Connecticut"
315.namelsad,Bloc kGroup 2,Block Group 2
148.mtfcc,G50t30,G5030
207.block_group,"Block Group 1, Cesus Tract 1426.03, New Haven County, Connecticut","Block Group 1, Census Tract 1426.03, New Haven County, Connecticut"
278.block_group,"Block Group 2, Census Tract 877.04, New London County, Connecticut","Block Group 2, Census Tract 8707.04, New London County, Connecticut"
180.mtfcc,5030,G5030
216.block_group,"Bock Group 7, Census Tract 1415, New Haven County, Connecticut","Block Group 7, Census Tract 1415, New Haven County, Connecticut"
37.namevalue,Dnbury,Danbury
13.funcstat,***,S
113.mtfcc,G500,G5030
245.namevalue,Netw Haven,New Haven
147.namelsad,uBlock Group 2,Block Group 2
289.namevalue,Mddletown,Middletown
15.namevalue,Norwlak,Norwalk
122.block_group,"Block Group 1, Census Tract 5147, Hyartford County, Connecticut","Block Group 1, Census Tract 5147, Hartford County, Connecticut"
57.mtfcc,G5e030,G5030
193.funcstat,,S
35.namevalue,Danury,Danbury
58.namelsad,Block Goup 2,Block Group 2
157.block_group,"Block roup 1, Census Tract 5703, Middlesex County, Connecticut","Block Group 1, Census Tract 5703, Middlesex County, Connecticut"
82.namelsad,Bock Group 1,Block Group 1
188.mtfcc,lG5030,G5030
203.namelsad,Block Group5 ,Block Group 5
101.namevalue,Bristtol,Bristol
49.mtfcc,5030,G5030
18.funcstat,qS,S
132.namevalue,Naugatukc,Naugatuck
233.namevalue,ew Haven,New Haven
177.funcstat,nS,S
254.mtfcc,G503x0,G5030
237.mtfcc,G50m30,G5030
251.funcstat,,S
211.namelsad,Block rGoup 4,Block Group 4
60.namelsad,Blcok Group 4,Block Group 4
129.mtfcc,G5300,G5030
50.block_group,"Block Group 5, Census Tract 105, Fairfield County, Ctonnecticut","Block Group 5, Census Tract 105, Fairfield County, Connecticut"
2.block_group,"Block Group 3, Census Tract 432, Fairfield County ,Connecticut","Block Group 3, Census Tract 432, Fairfield County, Connecticut"
10.block_group,"Block Group 2, Census Tract 442, FairfieldCounty, Connecticut","Block Group 2, Census Tract 442, Fairfield County, Connecticut"
274.block_group,"Block Group 3, Census Tract 501, Middlesex County, Connecticut","Block Group 3, Census Tract 5501, Middlesex County, Connecticut"
111.namelsad,Block Group1 ,Block Group 1
312.mtfcc,5030,G5030
154.block_group,"Block Group 3, Census Tract 9045, Wnidham County, Connecticut","Block Group 3, Census Tract 9045, Windham County, Connecticut"
45.namevalue,Greenwifch,Greenwich
178.funcstat,,S
171.funcstat,***,S
201.funcstat,cS,S
28.namevalue,Dnabury,Danbury
12.namelsad,Bock Group 1,Block Group 1
81.funcstat,***,S
295.mtfcc,G503p0,G5030
181.namelsad,Block Greoup 4,Block Group 4
90.block_group,"Block Group 3, Census Tract 5241, Hartford Conty, Connecticut","Block Group 3, Census Tract 5241, Hartford County, Connecticut"
112.namevalue,Manczhester,Manchester
263.funcstat,***,S
172.namevalue,Hanmden,Hamden
1.funcstat,pS,S
216.mtfcc,G5003,G5030
12.funcstat,***,S
279.funcstat,wS,S
240.funcstat,***,S
6.namelsad,lBock Group 2,Block Group 2
202.namelsad,Block Goup 4,Block Group 4
107.namevalue,nfield,Enfield
169.namevalue,eHamden,Hamden
281.mtfcc,Gg5030,G5030
231.block_group,"Block Group 1, Census Tract 1404, NewH aven County, Connecticut","Block Group 1, Census Tract 1404, New Haven County, Connecticut"
22.namelsad,Block Group1 ,Block Group 1
126.block_group,"Block Group 2, Census Tarct 5148, Hartford County, Connecticut","Block Group 2, Census Tract 5148, Hartford County, Connecticut"
270.namevalue,Wallingforkd,Wallingford
270.namelsad,Block Grup 3,Block Group 3
24.mtfcc,G5300,G5030
223.funcstat,,S
200.namelsad,Bock Group 2,Block Group 2
46.funcstat,mS,S
129.funcstat,,S
52.namelsad,Bloc Group 2,Block Group 2
318.namelsad,Block Gsroup 2,Block Group 2
261.namelsad,Block Grouhp 2,Block Group 2
225.namelsad,Blok Group 3,Block Group 3
66.funcstat,lS,S
208.mtfcc,5G030,G5030
121.block_group,"lock Group 5, Census Tract 5146, Hartford County, Connecticut","Block Group 5, Census Tract 5146, Hartford County, Connecticut"
118.mtfcc,G503q0,G5030
268.funcstat,,S
203.funcstat,***,S
78.mtfcc,G500,G5030
239.block_group,"Block Group 2, Census Tract 1413, New Haven County, Connetcicut","Block Group 2, Census Tract 1413, New Haven County, Connecticut"
209.namevalue,New Hjaven,New Haven
124.block_group,"Block Group 1, Census Tract 5148 ,Hartford County, Connecticut","Block Group 1, Census Tract 5148, Hartford County, Connecticut"
234.namevalue,New Havn,New Haven
196.block_group,"Block Group 2, Censusc Tract 1407, New Haven County, Connecticut","Block Group 2, Census Tract 1407, New Haven County, Connecticut"
85.block_group,"Block Group 1, Census Tract 3481.24, Ne wHaven County, Connecticut","Block Group 1, Census Tract 3481.24, New Haven County, Connecticut"
262.mtfcc,G500,G5030
317.namevalue,aterford,Waterford
109.namelsad,Blcock Group 2,Block Group 2
66.namelsad,Block Grop 1,Block Group 1
213.block_group,"Bliock Group 4, Census Tract 1413, New Haven County, Connecticut","Block Group 4, Census Tract 1413, New Haven County, Connecticut"
162.namevalue,aHmden,Hamden
55.namevalue,Shelotn,Shelton
137.namelsad,Bolck Group 1,Block Group 1
47.funcstat,,S
149.block_group,"Bolck Group 7, Census Tract 4737, Hartford County, Connecticut","Block Group 7, Census Tract 4737, Hartford County, Connecticut"
101.block_group,"Block Group 1, Census Trac 4056, Hartford County, Connecticut","Block Group 1, Census Tract 4056, Hartford County, Connecticut"
284.namevalue,lOd Saybrook,Old Saybrook
28.block_group,"Block Group 2, Census Tract 2101, Fairfiegld County, Connecticut","Block Group 2, Census Tract 2101, Fairfield County, Connecticut"
266.block_group,"Block Group 4, Census Tract 1503,New Haven County, Connecticut","Block Group 4, Census Tract 1503, New Haven County, Connecticut"
171.mtfcc,Gl5030,G5030
83.block_group,"Blokc Group 3, Census Tract 223, Fairfield County, Connecticut","Block Group 3, Census Tract 223, Fairfield County, Connecticut"
308.block_group,"Block Group 2, Census Tdract 8401, Tolland County, Connecticut","Block Group 2, Census Tract 8401, Tolland County, Connecticut"
292.namelsad,Bltock Group 2,Block Group 2
199.namelsad,lock Group 1,Block Group 1
66.block_group,"Block Group 1, Census Trac t218.02, Fairfield County, Connecticut","Block Group 1, Census Tract 218.02, Fairfield County, Connecticut"
193.namevalue,New Havne,New Haven
186.mtfcc,G5300,G5030
117.namevalue,Manhcester,Manchester
53.block_group,"Block Group 2, Census Tract 2201 Fairfield County, Connecticut","Block Group 2, Census Tract 2201, Fairfield County, Connecticut"
