zonename_eight_three,fipszone_eight_three,zone,statezo,abbrev,datum
AL_E,101,3101.0,"Alabama, East",AL_E,NULL
AL_W,102,3126.0,"Alabama, West",AL_W,NULL
ID_E,1101,3701.0,"Idaho, East",ID_E,NULL
ID_C,1102,3726.0,"Idaho, Central",ID_C,NULL
ID_W,1103,3751.0,"Idaho, West",ID_W,NULL
IL_E,1201,3776.0,"Illinois, East",IL_E,NULL
WA_S,4602,5626.0,"Washington, South",WA_S,NULL
WI_C,4802,5726.0,"Wisconsin, Central",WI_C,NULL
MA_M,2001,4151.0,"Massachusetts, Mainland",MA_M,NULL
IL_W,1202,3801.0,"Illinois, West",IL_W,NULL
