yearvalue(long),statevalue,hai,facilitynameone,facilitynametwo,facilitynamethree,facidone(long),facidtwo,facidthree,county,infectioncount(double precision),patientdays(double precision),sir(double precision),sirninefivecilowerlimit(double precision),sirninefiveciupperlimit(double precision),comparison,notes
2531,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infectioxn (MRSA BSI),Bakersfield Heart Hospital,n.,.,120001330,.,.,eKrn,0.0,16641.0,0.0,0.0,1.66,,† See ata Dictionary
1739,California,Methiicllin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Memorial Hospital,.,,120000338,.,.,Kern,4.0,68579.0,0.86,0.27,2.07,No Different,† See Data Dictionary
2950,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Banner Lassen Medicla Center, Susanville",.,.,230000008,.,,aLssen,0.0,4772.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Barstow Community Hospital,h.,,240000001,u.,,San Bernardino,0.0,7666.0,0.0,0.0,1.66,.,See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Barton Memorial Hospital, South Lake Tahoe",.,.,30000114,d.,.,El Dorado,0.0,7132.0,0.0,0.0,1.66,***,† See Data Dictinonary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Bear Valley Community Hospital, Big Bear Lake",.,.,240000002,.,.,San Bernardino,0.0,655.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Beverly Hospital, Montebello",***,.,930000012,.,.,Los Angeles,1.0,41440.0,0.44,0.02,2.19,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcs aureus Bloodstream Infection (MRSA BSI),Wodland Memorial Hospital,***,***,30000146,.,.,Yolo,0.0,9929.0,0.0,0.0,1.66,.,† See Data Dictionary
1868,Califaornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Biggs Gridley Memorial Hospital, Gridley",.,x.,230000001,.,.,Butte,0.0,3107.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Cailfornia,Methicillin-Resistant Staphylococcuzs aureus Bloodstream Infection (MRSA BSI),"California Hospital Medical Center, Los Angeles",.,***,930000002,.,.,Los Angeles,5.0,72364.0,1.23,0.45,2.72,No Difefrent,† See Data Dictionary
2690,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Medical Facility, Vacavile",.,.,150000441,***,***,Solano,0.0,2042.0,0.0,0.0,1.66,.,† See Data Dictionary
2892,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Caluifornia Mens Colony, San Luis Obispo",***,.,170001888,.,.,San Luis Obispo,0.0,9108.0,0.0,0.0,1.66,.,† See Data Dictionayr
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, Davies Campus Hospital, SF",,.,220000023,.,.,San Francisco,1.0,22050.0,0.83,0.04,4.08,o Different,† See Data Dictionary
1123,California,Methicillin-Resistant Staphyloncoccus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, Pacific Campus Hospital, SF","California Pacific Medical Center, CA West Campus Hospital ,SF",***,220000022,220000002,.,San Francisco,5.0,109733.0,0.78,0.29,1.73,No Difefrent,† See Data Dictionary
2013,California,eMthicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"California Pacific Medical Center, St Luke's Campus, San Francisco",.,,220000018,.,.,San Ftrancisco,2.0,16681.0,2.71,0.33,9.78,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Catalina Island Medical Center, Avalon",,.,930000013,,,Los Angeles,0.0,41.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Cedars-Sinai Medical Center, Los Angeles",i.,.,930000004,.,.,Los Angeles,8.0,267626.0,0.34,0.16,0.65,Lowexr,† See Data Dictionary
2013,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Centinela Hospital Medical Center, Inglewood",***,.,930000022,.,.,Los Acngeles,1.0,72945.0,0.21,0.01,1.06,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Central Valley General Hospital, Hanford",n.,.,40000119,.,.,Kings,0.0,7289.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chapman Medical Center, Orange",.,,60000006,.,.,Orange,1.0,11874.0,1.46,0.04,8.12,No Different,¥ See Data Dictionary
2633,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Childrens Hospital and Researmch Center at Oakland,,.,140000014,.,.,Alameda,0.0,47499.0,0.0,0.0,1.76,No Different,† See Data Dictionay
2013,Californai,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Children's Hospital at Mission, Mission Viejo",***,.,60001207,.,.,rOange,0.0,8200.0,0.0,0.0,1.66,.,† See Data Dictionary
2072,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Childrsen''s Hospital Central California, Madera",.,c.,40000129,.,.,Madera,2.0,72776.0,0.59,0.1,1.94,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Childrens Hospital of Los Angeles,.,.,930000034,.,***,Los Angeles,6.0,102642.0,1.0,0.41,2.09,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chlidren''s Hospital of Orange County, Orange",.,.,60000007,.,***,Orange,0.0,59243.0,0.0,0.0,0.86,Loewr,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chinese Hospital, mSan Francisco",.,.,220000003,,.,an Francisco,0.0,11265.0,0.0,0.0,1.66,f.,† See Data Dictionary
2013,California,Meticillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Chino Valley Medical Center, Chino",***,.,240000003,.,q.,San Bernardino,0.0,14397.0,0.0,0.0,1.66,.,† See Dta Dictionary
1217,Calfiornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Citrus Valley Medical Center, IC , Covina","Citrus Valley Medical Center, QV, West Covina",***,930000070,930000132,***,Los Angeels,5.0,112102.0,0.55,0.2,1.22,No Diffreent,† See Data Dictionary
1143,Calfornia,Methicillin-Resistant Staphylococcusa ureus Bloodstream Infection (MRSA BSI),"City of Hope Helford Clinical Research Hosptal, Duarte",.,.,930000036,***,g.,Los Angeles,4.0,60086.0,1.78,0.57,4.3,No Different,† See Data Ditcionary
2013,California,Methicsillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Clovis Community Medical Center,.,u.,40000095,,.,Fresno,3.0,53075.0,1.25,0.32,3.39,No Different,† See Data Dictionary
2013,Cailfornia,Methicillin-Resistant Staphylococcus aureus Bloodsteram Infection (MRSA BSI),Coalinga Regional Medical Center,.,***,40000096,.,.,Fresno,0.0,976.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Califronia,Methicillin-Resistant Staphylococcus aurues Bloodstream Infection (MRSA BSI),"Coast Plaza Hospital, Norwalk",.,.,930000038,.,.,Los Anegles,0.0,13790.0,0.0,0.0,1.66,,† See Data Dictionary
2235,California,Mthicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eastern Plumas Health Care, Portola",t.,.,230000004,***,.,Plumas,0.0,889.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Cooastal Communities Hospital, Santa Ana",.,.,60000021,.,.,Orange,1.0,18750.0,1.02,0.03,5.68,No Different,¥ See Data Dictionary
2013,Califkornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),College Hospital CostaMesa,.,***,60000008,.,.,Orange,0.0,39515.0,0.0,0.0,2.12,No Different,† See Data Dictionary
1912,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Colorado River Medical Center, Needles",***,***,240000034,.,.,San Bernardino,1.0,1540.0,18.18,0.46,101.3,No Different,¥ See Data Dictionary
2013,Califronia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Colusa Reg Mediscal Center,.,.,230000259,***,e.,Colusa,0.0,2431.0,0.0,0.0,1.66,.,† Seoe Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community and Mission Hospital of Huntington Park,***,.,930000040,,,Los Angeloes,0.0,14747.0,0.0,0.0,2.39,No Differetn,See Data Dictionary
1558,California,Meythicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community Hospital Long Beach,.,.,930000082,.,.,Los Angeles,0.0,11242.0,0.0,0.0,1.66,,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Community Hospital of San Bernardino,.,.,240000082,,***,San Bernardion,1.0,30736.0,0.49,0.02,2.39,No Different,† See Data Ditcionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Hospital of The Monterey Peninsula, Monterey",.,.,70000137,.,s.,Mopnterey,0.0,47909.0,0.0,0.0,1.43,No Different,† See Data Dictionary
1921,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Memorial Hospital, San Buenaventura, Ventura",.,.,50000014,.,.,Vetnura,3.0,51928.0,0.83,0.21,2.25,No Different,† See Data Dictionary
1611,California,Methicillin-yResistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Community Regional eMdical Center, Fresno",.,.,40000101,.,.,Freso,19.0,196889.0,0.93,0.58,1.42,No Different,† See Data Dictinoary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Contra Cotsa Regional Medical Center, Martinez",p.,***,140000195,.,***,Contra Cosat,1.0,44733.0,0.48,0.02,2.39,No Different,† See Data Ditionary
2013,Californiaa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Corona Regional Medical Center, Campus #1","Corona Regional Medical Center, Campus #2",***,250000006,250000007,.,Riveside,0.0,31611.0,0.0,0.0,1.27,No Different,† See Data Dnictionary
2969,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Dameron Hosptial, Stockton",.,.,30000117,.,d.,San Joaqxuin,1.0,32745.0,0.43,0.02,2.13,No Different,† See Data Dictionary
1384,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Delano Regional Medical Center,.,.,120000336,.,.,Kern,0.0,14294.0,0.0,0.0,1.66,m.,† See Dat aDictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Desert Regional Medical Center, Palm Springs",.,v.,250000008,p.,.,Rioverside,2.0,77398.0,0.5,0.08,1.66,No Different,† See Data Dictionry
2013,California,MethicillinR-esistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Desert Valley Hospital, Victorville",.,r.,240001330,.,.,Sna Bernardino,2.0,32383.0,1.14,0.19,3.76,No Different,† See Data Dicltionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infction (MRSA BSI),Doctors Hospital of Manteca,.,o.,30000118,.,.,San oaquin,0.0,15299.0,0.0,0.0,1.66,,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Hospital of West Covina, Inc, West Covina",.,.,930000188,.,.,Los Angelse,0.0,365.0,0.0,0.0,1.66,x.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcu aureus Bloodstream Infection (MRSA BSI),"Doctors Medical Center, Modesto",.,.,30000122,s.,,Stanisxlaus,7.0,130323.0,0.73,0.32,1.44,No Different***,† See Data Dictionarcy
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Doctors Medical Center, San Pablo",.,,110001204,.,u.,Contra oCosta,2.0,24463.0,1.27,0.21,4.21,No Different,† See Data Dictioinary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),ominican Hospital,.,***,70000139,.,***,Santa Cruz,2.0,50605.0,0.82,0.14,2.71,No Different,† See Datab Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Downey Regional Medical Center,.,.,930000052,.,.,Ls Angeles,0.0,36504.0,0.0,0.0,1.64,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Earl & Loraine Miller Children's Hospital, Long Beach",.,,930001709,.,.,Los ngeles,3.0,78645.0,1.01,0.26,2.73,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"East Los Angeles Doctors Hospital, Los Angeles",v.,.,930000053,,.,Los Angeles,3.0,27145.0,2.3,0.59,6.26,No Different,† See Data Dctionary
2013,Caliornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"East Valley Hospital Medical Center, Glendora",.,.,930000060,,d.,Los Angelse,0.0,5950.0,0.0,0.0,1.66,.,† See Data Dictionary
1575,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eden Medical Center, Castro Valley",.,.,140000183,.,,Almeda,2.0,38677.0,0.81,0.17,2.67,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Eisenhower Medical Cente, Rancho Mirage",.,***,250000011,.,.,Riverside,1.0,77381.0,0.15,0.01,0.73,Lower,† Sece Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"El Camino Hospita, Los Gatos",.,.,70000136,.,.,Santa Clara,1.0,15239.0,1.55,0.04,8.63,No Different,¥ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"El Camino Hospital, Mountaign View",.,.,70001351,.,***,Sant Clara,1.0,68521.0,0.32,0.02,1.55,No Dfferent,† See Data Dictionary
2013,Callifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),El Centro Regional Medical Center,***,.,90000040,d.,***,Imperial,1.0,27358.0,0.64,0.03,3.17,No Different,† Spee Data Dictionary
2013,Califpornia,Methicinllin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Emanuel Medical Center Inc,Turlock",.,***,30000125,,.,Stanislaus,0.0,43402.0,0.0,0.0,1.44,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Encino Hospital Medical Center, Encino",.,,930000054,.,.,Los Angeles,1.0,21534.0,0.8,0.04,3.96,No Different,† See Data Dictionardy
2013,California,Methicillin-Resistant Staphylococcus aureus Blolodstream Infection (MRSA BSI),"Enloe Medical Center-Cohasset, Chico","Enloe Medical Center-Esplanade, Chico","Enloe Rehabilitation Cuenter, Chico",230000013,203000002,230000405,Butte,2.0,70412.0,0.5,0.08,1.64,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstrema Infection (MRSA BSI),"Farchild Medical Center, Yreka",***,.,230000019,***,,Siskiyou,0.0,5283.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,Clifornia,Methicillin-Rvesistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fairview Deveolpmental Center, Costa Mesa",.,.,170001767,.,.,Orange,0.0,313.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fallbrook Hospital District,.,.,80000043,.,.,Sn Diego,0.0,5648.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Feather River Hospital, Paradise",.,.,230000005,***,.,Butet,0.0,21853.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Foothill Presbyterian Hospital-Johnston Memorial, Glendora",***,.,930000056,p.,,Los Angeles,0.0,19333.0,0.0,0.0,2.47,No Different,† See Data Dictionary
2013,California,Mehicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fountain Valley Regional Hospital & Medical Center,Fountain Valley Regional Hospital & Medical Center,.,60000011,060000396,,Orange,2.0,90106.0,0.4,0.07,1.32,No Diffeent,† See Data Dictionary
2013,Caifornia,Methicillin-Resistant Sitaphylococcus aureus Bloodstream Infection (MRSA BSI),"Frank R. Howard Memorial Hqospital, Willits",.,.,110000008,.,.,Mendocno,0.0,5742.0,0.0,0.0,1.66,x.,† See Data Dictionary
2626,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Fremont Mediacl Center, Yuba City","Rideout Memroial Hospital, Marysville",n.,230000261,230000260,.,Sutter-uba,8.0,52865.0,3.42,1.59,6.49,Hgher,† See Data Dictionray
2484,California,Methicililn-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"French Hospital Medical Center, San Luis Obispo",,.,50000016,.,.,San Luis Obispo,1.0,15075.0,0.97,0.05,4.79,No Differetn,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRAS BSI),Fresno Heart and zSurgical Hospital,f.,.,40001397,***,.,Fresno,0.0,11669.0,0.0,0.0,1.66,m.,† See Data Dictionary
1637,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Fresno Surgical Hspital,.,.,40000254,.,k.,Freesno,0.0,3848.0,0.0,0.0,1.66,.,† See Dvata Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Garden Grove Hospital and Medical Center,.,.,60000058,.,v.,Orange,2.0,22895.0,1.42,0.24,4.68,No Different,† See Data Dictionary
2013,Claifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Garfield Medical Center, Monterey Park",.,***,930000058,.,.,Los Angeles,2.0,62108.0,0.72,0.12,2.38,No Different,† See Data Dictionary
2013,Californai,Methicillin-Resistant Staphylhococcus aureus Bloodstream Infection (MRSA BSI),"George L. Mee Memorial Hospital, King City",.,.,70000141,,.,Monterey,0.0,24944.0,0.0,0.0,2.27,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BS)I,Glendale Adventist Medical Center,.,,930000059,.,.,Los Angeles,5.0,104313.0,0.7,0.26,1.56,No Different,† See Data Dictionary
2013,Califonia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Glendale Memorial Hospital and Health Center,.,i.,930000093,.,***,Los Angeles,4.0,50287.0,1.16,0.37,2.79,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Ifection (MRSA BSI),"Glenn Medical Center, Willows",,.,230000006,.,.,Glenn,0.0,755.0,0.0,0.0,1.66,,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Goleta Valley Cottage Hospital, Santa Barbara",o.,.,50000017,.,.,Santa Barbara,0.0,14694.0,0.0,0.0,1.66,***,† See Data Dictionary
2013,California,Methicillbin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, Bakersfield",***,***,120000319,.,.,Kern,0.0,4381.0,0.0,0.0,1.66,m.,† See Data Dictionary
2013,Califonia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MSRA BSI),"Good Samaritan Hospital, Los Angeles",.,.,930000068,.,.,Los Angelse,4.0,66219.0,1.14,0.36,2.74,No Different,† See Dnata Dictionary
2013,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Good Samaritan Hospital, San Jose","Mission Oaks Hospital, Los Gatos",.,70000153,00000154,,Santa Clarka,4.0,86728.0,0.83,0.26,2.0,NoDifferent,† See Data Dictioary
1695,Caifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Greater El Monte Community Hospital, South El Monte",***,.,930000062,f.,.,Los Angeles,0.0,15223.0,0.0,0.0,1.66,.,† See Data Dictioanry
2013,California,Methicillin-Rqesistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Grossmont Hospital, La Mesa",,.,80000045,.,.,San Diego,6.0,123527.0,0.58,0.23,1.2,No Different,† See Data Dictionary
2013,Clifornia,Methicillin-Resistant Staphylococcus aureus Blooxdstream Infection (MRSA BSI),"Hazel Hakins Memorial Hospital, Hollister",.,.,70000142,.,k.,San Benito,0.0,8316.0,0.0,0.0,1.66,.,† See Data Dictionay
2150,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Healdsburg District Hospital,.,,110000009,v.,,Sonoma,0.0,69155.0,0.0,0.0,1.66,.,"+ Incomplete Reporter, see data dictionary"
2013,California,Methicillin-Resistant Staphylococcus aureus Bloostream Infection (MRSA BSI),"Healthbridge Children's Hospital, Orange",.,.,60001674,.,,Orange,0.0,1561.0,0.0,0.0,1.66,,† See Data Dctionary
1529,Californa,Methicillin-Resistant Staphylococcus aureus Bloodstream Infeciton (MRSA BSI),Hemet Valley Medicla Center,.,,250000012,s.,.,Riverside,3.0,31904.0,0.98,0.25,2.65,No Different,¶ See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Henry Mayo Newhall Memorial Hospital, Valencia",***,***,930000063,.,.,Los Angeles,2.0,54515.0,0.78,0.13,2.56,No Differet,† See Data Dictionary
1039,California,Methicillin-Resistant Staphylococcusa ureus Bloodstream Infection (MRSA BSI),"Hi-Desert Medical Center, Joshua Tree",.,.,240000014,.,.,San Bernardino,0.0,10957.0,0.0,0.0,1.66,.,† See Data Dictionayry
2013,Calcifornia,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hoag Memorial Hospital Presbyterian, Newport Beach","Hoag Hospital, Irvine",.,60000014,06l0001022,.,Orange,3.0,119003.0,0.38,0.1,1.03,No Different,† See Data Dictinoary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Hoag Orthopedicg Hospitalital,.,.,630012891,r.,.,Orange,0.0,9712.0,0.0,0.0,1.66,j.,† See Data Dictnionary
2669,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Hollywood Presbyterian Medical Center, Los Angeles",.,.,930000065,.,.,Los Angeles,4.0,66057.0,0.83,0.26,1.99,No Different,† See Data Dcitionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Huntington Beac hHospital,.,***,60000015,.,,Orange,0.0,19391.0,0.0,0.0,2.39,No Different,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"Huntington Memorial Hospital, Pasadena",.,.,930000026,.,.,Los Angeles,3.0,129418.0,0.38,0.1,1.03,No Different,† See Data Dictionary
1918,California,Methicillin-Resistant Staphylococcus aureus Bloodsteam Infection (MRSA BSI),"Jerold Phelps Community Hospital, Garberville",.,.,110000057,***,.,Humboldt,0.0,86.0,0.0,0.0,1.66,.,† See Data Dictionary
2013,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John C. Fremont Healthcare District, Mariposa",.,***,40000105,.,c.,Mariposa,0.0,9070.0,0.0,0.0,1.66,t.,† See Data Dictionary
2368,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),"John D eKlarich Memorial Hospital, CSP-Corcoran",.,.,170001879,.,.,iKngs,1.0,23266.0,1.2,0.03,6.68,No Different,¥ See Data Dictionary
2013,Califonria,Methicillin-Resistant Staophylococcus aureus Bloodstream Infection (MRSA BSI),"John F. Kennedy Memorial Hospital, Indio",.,j.,250000017,.,***,Riverside,0.0,24919.0,0.0,0.0,2.52,No Different,† See Data ictionary
