Division,Name,Launch Date,Phase
Planets,"Cassini The Cassini Mission is in the midst of a detailed study of Saturn, its rings, its magnetosphere, its icy satellites, and its moon Titan. Cassini also delivered a probe (called Huygens, provided by the European Space Agency) to Titan, and ...","19971015 October 15, 1997",3Operating
Astrophysics,"CGRO Compton Gamma Ray Observatory mission studied very energetic celestial phenomena: solar flares, cosmic gamma-ray bursts, pulsars, nova and supernova explosions, accreting black holes of stellar dimensions, quasar emission, and interactions of cosmic rays with the interstellar medium. Compton left a ...","19910405 April 05, 1991",4Past
Earth,"CHAMP CHAMP generated, for the first time, simultaneously highly precise gravity and magnetic field measurements over a 10 year period. This allows the tracing of spatial and time variations of both fields for a long time. The provision of regularly radio ...","20000715 July 15, 2000",4Past
Astrophysics,"Chandra Chandra explores the hot turbulent regions in space with images 25 times sharper than previous x-ray pictures. Chandra is performing detailed studies of black holes, supernovas, and dark matter, to increase our understanding of the origin, evolution, and destiny of ...","19990723 July 23, 1999",3Operating
Planets,"Chandrayaan-1 (M3) The Moon Mineralogy Mapper (M3) is one of two instruments that NASA is contributing to India's first mission to the Moon, Chandrayaan-1, which is scheduled to be launched in 2008. This mission is part of SMD's Discovery Program. This mission ...","20081022 October 22, 2008",4Past
Astrophysics,"CHIPS CHIPS launched on January 12, 2003 and carried out an all-sky spectroscopy of the diffuse background at wavelengths from 90 to 260 Å.","20030112 January 12, 2003",4Past
Heliophysics,"CINDI/CNOFS The Coupled Ion-Neutral Dynamics Investigations (CINDI) is a mission to understand the dynamics of the Earth's ionosphere. CINDI will provide two instruments for the Communication/Navigation Outage Forecast System (C/NOFS) satellite, a project of the United States Air Force. This mission ...","20080416 April 16, 2008",3Operating
Earth,CLARREO The Climate Absolute Radiance and Refractivity Observatory (CLARREO) Mission has been recommended in the NRC Decadal Survey as a key component of the future climate observing system. This mission is part of SMD's Earth Systematic Missions program.,,1Under Study
Planets,"Clementine The Clementine mission was designed to test lightweight miniature sensors and advanced spacecraft components by exposing them, over a long period of time, to the difficult environment of outer space. Clementine also completed the complex task of mapping the moon.","19940125 January 25, 1994",4Past
Earth,"CloudSat CloudSat uses advanced radar to ""slice"" through clouds to see their vertical structure, providing a completely new observational capability from space. CloudSat is one of the first satellites to study clouds on a global basis. This mission is part of ...","20060428 April 28, 2006",3Operating
Heliophysics,"Cluster-II Cluster is a European Space Agency program with major NASA involvement. The 4 Cluster spacecraft are providing a detailed three-dimensional map of the magnetosphere, with surprising results. This mission is part of SMD's Heliophysics Research program.","20000716 July 16, 2000",3Operating
Astrophysics,"COBE The COBE satellite was developed to measure the diffuse infrared and microwave radiation from the early universe, to the limits set by our astrophysical environment.","19891118 November 18, 1989",4Past
Planets,CONTOUR The Comet Nucleus Tour (CONTOUR) was a mission intended to greatly expand what is known of comet nuclei and to assess their diversity. This mission is part of SMD's Discovery program.,"20020703 July 03, 2002",4Past
Earth,"CRRES The Combined Release and Radiation Effects Satellite (CRRES) was launched into a geosynchronous transfer orbit (GTO) for a nominal three-year mission to investigate fields, plasmas, and energetic particles inside the Earth's magnetosphere.","19900725 July 25, 1990",4Past
Earth,CYGNSS The Cyclone Global Navigation Satellite System (CYGNSS) will make frequent and accurate measurements of ocean surface winds throughout the life cycle of tropical storms and hurricanes. The goal is a fundamental improvement in hurricane forecasting. The CYGNSS data will enable ...,20161030 October 2016,2Development
Planets,"Dawn The Dawn mission intends to orbit Vesta and Ceres, two of the largest asteroids in the solar system. According to current theories, the very different properties of Vesta and Ceres are the result of the asteroids being formed and evolving ...","20070927 September 27, 2007",3Operating
Planets,"Deep Impact The Deep Impact mission was selected as a Discovery mission in 1999. The spacecraft was launched aboard a Delta II rocket on January 12, 2005 and left Earth’s orbit toward Comet Tempel 1. The spacecraft consists of two main sections, ...","20050112 January 12, 2005",4Past
Planets,"Deep Space 1 During its 11-month primary mission, DS1 successfully tested 12 revolutionary technologies destined for future missions. In 2001, DS-1 returned the best pictures and other scientific data ever collected at a comet.","19981024 October 24, 1998",4Past
Earth,"DISCOVER-AQ The overarching objective of the DISCOVER-AQ investigation is to improve the interpretation of satellite observations to diagnose near‐surface conditions relating to air quality. To diagnose air quality conditions from space, reliable satellite information on aerosols and ozone precursors is needed ...",20110701 July 2011,3Operating
Heliophysics,"DSCOVR The Deep Space Climate Observatory (DSCOVR) mission is a multi-agency (NOAA, United States Air Force [USAF], and NASA) mission with the primary goal of making unique space weather measurements from the Lagrange point L1.",20150211 February 2015,3Operating
Astrophysics,DXS The primary objective of the Diffuse X-ray Spectrometer (DXS) payload was to obtain measurements on the diffuse soft X-ray background radiation in the Milky Way Galaxy. DXS flew successfully in January 1993 as a shuttle cargo bay attached payload.,"19930113 January 13, 1993",4Past
Earth,"Dynamics Explorer The Dynamics Explorer Plasma Wave Investigator mission's general objective was to investigate the strong interactive processes coupling the hot, tenuous, convecting plasmas of the magnetosphere and the cooler, denser plasmas and gases corotating in the earth's ionosphere, upper atmosphere, and ...","19810803 August 03, 1981",4Past
Earth,Earth Observing-1 (NMP) The NMP EO-1 mission is an advanced land-imaging mission that will demonstrate new instruments and spacecraft systems. EO-1 will validate technologies contributing to the significant reduction in cost of follow-on Landsat missions. The future of Earth science measurements requires that ...,"20001121 November 21, 2000",3Operating
Earth,ECOSTRESS ECOSTRESS will provide critical insight into plant-water dynamics and how ecosystems change with climate via high spatiotemporal resolution thermal infrared radiometer measurements of evapotranspiration from the International Space Station (ISS).,20140901 September 2014,1Under Study
Planets,Epoxi Extrasolar Planet Observation and Deep Impact Extended Investigation EPOXI is a follow-on mission to Deep Impact. This mission is part of SMD's Discovery program.,"20050112 January 12, 2005",4Past
Heliophysics,"Equator-S Equator-S was a German Space Agency project, with contributions from ESA and NASA, related to the International Solar-Terrestrial Physics program. The mission provided high-resolution plasma, magnetic, and electric field measurements in several regions not adequately covered by any of the ...","19971202 December 02, 1997",4Past
Earth,"ERBS Earth Radiation Budget Satellite (ERBS), expected to have a two-year operation life, provided scientific data about the Earth's ozone layer for more than two decades. ERBS observations have also been used to determine how human activities such as the use ...","19841005 October 05, 1984",4Past
Earth,ESSA The Environmental Science Services Administration (ESSA) Satellite Program provided cloud-cover photography to the American National Meteorological Center from 1966 – 1972.,"19660203 February 03, 1966",4Past
Astrophysics,"Euclid Euclid is an ESA-led mission to map the geometry of the dark Universe. Using two cosmological probes (weak lensing and baryonic acoustic oscillations) in a wide-field survey, Euclid will precisely measure the growth of large-scale structure and the expansion history ...",20200101 2020,2Development
Astrophysics,"EUVE The Extreme-Ultraviolet Explorer (EUVE) was a part of NASA's Explorer spacecraft series, and designed to operate in the extreme ultraviolet (EUV) range of the spectrum, from 70 - 760 Angstroms. The science payload consisted of three grazing incidence scanning telescopes ...","19920607 June 07, 1992",4Past
Planets,"ExoMars Trace Gas Orbiter The European Space Agency plans for the ExoMars rover to grind samples of Martian soil to fine powder and deliver them to a suite of analytical instruments, including Urey that will search for signs of life.",,4Past
Heliophysics,"FAST Fast Auroral Snapshot Explorer (FAST) studies the detailed plasma physics of the Earth's auroral regions. Ground support campaigns coordinate satellite measurements with ground observations of the Aurora Borealis, commonly referred to as the Northern Lights. The science instruments on board ...","19960821 August 21, 1996",4Past
Astrophysics,"Fermi Fermi, NASA's most recent gamma-ray observatory has a wide window on the universe. Gamma rays are the highest-energy form of light, and the gamma-ray sky is spectacularly different from the one we perceive with our own eyes. With a huge ...","20080611 June 11, 2008",3Operating
Astrophysics,"FUSE Far Ultraviolet Spectroscopic Explorer (FUSE) studied the far ultraviolet portion of the electromagnetic spectrum from high orbit. This range provided an opportunity to answer important questions about many types of astrophysical objects, such as the nuclear regions of active galaxies ...","19990624 June 24, 1999",4Past
Astrophysics,GALEX GALEX explored the origin and evolution of galaxies and the origins of stars and heavy elements. It also conducted an all-sky ultraviolet survey.,"20030428 April 28, 2003",4Past
Planets,"Galileo The Galileo mission produced a string of discoveries about asteroids, a fragmented comet, Jupiter's atmosphere, Jupiter's magnetic environment, and especially about the geologic diversity of Jupiter's four largest moons. This mission is part of SMD's Outer Planets Flagship program.","19891018 October 18, 1989",4Past
Earth,GEDI The scientific goal of the Global Ecosystem Dynamics Investigation Lidar (GEDI) is to characterize the effects of changing climate and land use on ecosystem structure and dynamics to enable radically improved quantification and understanding of the Earth's carbon cycle and ...,20140901 September 2014,1Under Study
Astrophysics,GEMS GEMS was not confirmed to move into development. GEMS would have used an X-ray telescope to measure the polarization of the X-rays coming from the vicinity of compact objects in the universe.,,14Studied
Planets,Genesis The Genesis mission was designed to collect samples of the charged particles in the solar wind and return them to Earth laboratories for detailed analysis. This mission is part of SMD's Discovery program.,"20010808 August 08, 2001",4Past
Earth,"Geosat The U.S. Navy GEOdetic SATellite, GEOSAT, was launched on 12 March 1985, into an 800-km, 108-deg inclination orbit, carried an altimeter that was capable of measuring the distance from satellite to sea surface with a relative precision of about 5 ...","19850312 March 12, 1985",4Past
Heliophysics,Geotail The GEOTAIL mission is a collaborative project undertaken by the Japanese Institute of Space and Astronautical Science (ISAS) and NASA. Its primary objective is to study the tail of the Earth's magnetosphere. The information gathered is allowing scientists to model ...,"19920724 July 24, 1992",3Operating
Earth,"GOES A - C The launch of the prototype Synchronous Meteorological Satellite, SMS-A, in May 1974 inaugurated the series of geosynchronous satellites that has provided systematic, continuous observations of weather patterns. A second prototype, SMS-B, followed in February 1975. The GOES program formally began ...","19751016 October 16, 1975",4Past
Earth,"GOES D - H GOES-4 advanced meteorologists’ capabilities by continuously profiling vertical temperature and water vapor. This major advancement permitted, for the first time, the monitoring of frame-to-frame movement of water vapor concentrations, a technique introduced by the European Meteosat-1 satellite. These missions are ...","19800909 September 09, 1980",4Past
Earth,GOES I - M The GOES I-M satellites are the primary element of U.S. weather monitoring and forecast operations and are a key component of NOAA's National Weather Service operations and modernization program. These missions are part of the GOES / POES program.,"19940413 April 13, 1994",3Operating
Earth,"GOES N - P GOES - N/O/P is the next series of GOES satellites. The multi-mission GOES series N - P will be a vital contributor to weather, solar, and space operations and science. These missions are part of the GOES / POES program.","20100304 March 04, 2010",3Operating
Earth,"GOES-R GOES-R satellites will comprise improved spacecraft and instrument technologies, which will result in more timely and accurate weather forecasts, and improve support for the detection and observations of meteorological phenomena that directly affect public safety, protection of property, and ultimately, ...",20160301 2016,2Development
Heliophysics,GOLD The Global-scale Observations of the Limb and Disk (GOLD) mission of opportunity will fly an ultraviolet (UV) imaging spectrograph on a geostationary satellite to measure densities and temperatures in Earth's thermosphere and ionosphere.,20180401 April 2018,
Earth,"GPM GPM Constellation follows the success of Tropical Rainfall Measuring Mission (TRMM) in initiating the measurement of global precipitation, a key climate factor. Its science objectives are: to improve ongoing efforts to predict climate by providing near-global measurement of precipitation, its ...",20140227 February 2014,3Operating
Earth,GRACE The primary goal of the GRACE mission is to accurately map variations in the Earth's gravity field over its 5-year lifetime. This provides scientists from all over the world with an efficient and cost-effective way to map the Earth's gravity ...,"20020317 March 17, 2002",3Operating
Earth,"GRACE-FO The Gravity Recovery and Climate Experiment Follow-on (GRACE-FO) mission will allow scientists to gain new insights into the dynamic processes in Earth’s interior, into currents in the oceans, and into variations in the extent of ice coverage.",20180201 February 2018,2Development
Planets,GRAIL The Gravity Recovery and Interior Laboratory (GRAIL) mission is a Discovery Program mission to study the lunar interior. This mission is part of SMD's Discovery Program.,"20110910 September 10, 2011",4Past
Astrophysics,"Gravity Probe B (GP-B) The GP-B satellite was designed as a pristine, space-borne laboratory, whose primary task was to use four ultra-precise gyroscopes to measure directly two effects predicted by general relativity.","20040420 April 20, 2004",4Past
Earth,"GRIP The Genesis and Rapid Intensification Processes (GRIP) experiment is a NASA Earth science field experiment in 2010 that will be conducted to better understand how tropical storms form and develop into major hurricanes. NASA plans to use the DC-8 aircraft, ...","20100815 August 15, 2010",4Past
Astrophysics,"HALCA HALCA is a spacecraft with a radio telescope in orbit to co-observe astronomical objects with radio telescopes on Earth. The project synthesizes a radio telescope as large as the size of the satellite’s orbit - about 40,000 kilometers.","19970212 February 12, 1997",4Past
Planets,Hayabusa The objective of Hayabusa (formerly Muses-C) mission was to collect a surface sample of material from the small asteroid and return the sample to Earth for analysis.,"20030509 May 09, 2003",4Past
Astrophysics,"Herschel The Herschel Space Observatory was a space-based telescope that studied the light of the Universe in the far-infrared and submillimeter portions of the spectrum. It revealed new information about the earliest, most distant stars and galaxies, as well as those ...","20090514 May 14, 2009",4Past
Astrophysics,"HETE-1 The prime objective of the HETE spacecraft was to carry out the first multiwavelength study of gamma-ray bursts with Ultraviolet, X-ray and gamma ray instruments. A unique feature of the mission was its capability to localize bursts with several arc-second ...","19961104 November 04, 1996",4Past
Astrophysics,HETE-2 HETE-2 was a small scientific satellite designed to detect and localize gamma-ray bursts.,"20001009 October 09, 2000",4Past
Heliophysics,"Hinode (Solar-B) Hinode (formerly known as Solar-B) is a Japanese ISAS mission proposed as a follow-on to the highly successful Japan/US/UK Yohkoh (Solar-A) collaboration. The mission consists of a coordinated set of optical, EUV and X-ray instruments that are studying the interaction ...","20060923 September 23, 2006",3Operating
Astrophysics,"Hipparcos Hipparcos was a European Space Agency mission dedicated to the precise measurement of the positions, parallaxes and proper motions of the stars.","19890808 August 08, 1989",4Past
Earth,"HS3 Close to 100 million Americans now live within 50 miles of a coastline, thus exposing them to the potential destruction caused by a landfalling hurricane. While hurricane track prediction has improved in recent decades, improvements in hurricane intensity prediction have ...",20120801 August 2012,3Operating
Astrophysics,"Hubble Space Telescope (HST) Hubble Space Telescope (HST), an ultraviolet, visible and infrared orbiting telescope, has expanded our understanding of star birth, star death, and galaxy evolution, and has helped move black holes from theory to fact. It has recorded over 100,000 images in ...","19900424 April 24, 1990",3Operating
Heliophysics,"IBEX IBEX will be the first mission designed to detect the edge of the Solar System. As the solar wind from the sun flows out beyond Pluto, it collides with the material between the stars, forming a shock front. This mission ...","20081019 October 19, 2008",3Operating
Earth,"ICESat ICESat (Ice, Cloud, and land Elevation Satellite) was the benchmark Earth Observing System mission for measuring ice sheet mass balance, cloud and aerosol heights, as well as land topography and vegetation characteristics. This mission is part of SMD's Earth Systematic ...","20030112 January 12, 2003",4Past
Earth,"ICESat-2 ICESat (Ice, Cloud,and land Elevation Satellite) is the benchmark Earth Observing System mission for measuring ice sheet mass balance, cloud and aerosol heights, as well as land topography and vegetation characteristics. This mission is part of SMD's Earth Systematic Missions ...",20180601 June 2018,2Development
Heliophysics,ICON ICON is a single spacecraft mission dedicated to understanding neutral-ion coupling in the Earth’s upper atmosphere (thermosphere). It will resolve both long-standing and newly emerging questions about the mechanisms that control the daily development of plasma in Earth’s space environment.,20171001 October 2017,2Development
Astrophysics,IEH-3 Seven experiments made up the IEH-3 payload on the STS-95 Space Shuttle mission. The seven hitchhiker experiments were attached to a carrier system in the bay of the Shuttle orbiter for the flight in space.,"19981029 October 29, 1998",4Past
Heliophysics,"IMAGE IMAGE studied the global response of the magnetosphere to changes in the solar wind. Major changes occur to the configuration of the magnetosphere as a result of changes in and on the Sun, which in turn change the solar wind.","20000325 March 25, 2000",4Past
Heliophysics,"IMP-8 IMP 8 has deepened understanding of the space environment near Earth in many ways. Observations from IMP 8 provided insight into plasma physics, the Earth's magnetic field, the structure of the solar wind and the nature of cosmic rays.","19731026 October 26, 1973",4Past
Planets,InSight InSight is a Mars lander mission planned for launch in spring 2016. InSight will investigate fundamental issues of terrestrial planet formation and evolution with a study of the deep interior of Mars.,20160301 March 2016,2Development
Astrophysics,INTEGRAL International Gamma-Ray Astrophysics Laboratory (INTEGRAL) seeks to unravel the secrets of the highest-energy - and therefore the most violent - phenomena in the Universe.,"20021017 October 17, 2002",3Operating
Heliophysics,IRIS The primary goal of the Interface Region Imaging Spectrograph (IRIS) explorer is to understand how the solar atmosphere is energized. The IRIS investigation combines advanced numerical modeling with a high resolution UV imaging spectrograph.,"20130627 June 27, 2013",3Operating
Heliophysics,ISEE The ISEE (International Sun-Earth Explorer) program was an international cooperative program between NASA and ESA to study the interaction of the solar wind with the Earth's magnetosphere.,"19780812 August 12, 1978",4Past
Astrophysics,"ISO The Infrared Space Observatory (ISO), was a project of the European Space Agency (ESA), provided astronomers with a unique facility of unprecedented sensitivity for a detailed exploration of the universe ranging from objects in the solar system to the most ...","19951117 November 17, 1995",4Past
Astrophysics,IUE The International Ultraviolet Explorer (IUE) satellite launched in 1978 and was a unique space observatory in that it was operated like a ground-based observatory. Astronomers came to the Telescope Operations Center and directed their observations while observatory staff members commanded ...,"19780126 January 26, 1978",4Past
Astrophysics,"IXO The International X-ray Observatory (IXO) was an X-ray astronomy mission with joint participation from NASA, the European Space Agency (ESA), and the Japan Aerospace Exploration Agency (JAXA). IXO was a merger of NASA's Constellation-X and ESA's XEUS mission concepts.",,14Studied
Earth,"Jason-1 Jason was an oceanography mission to monitor global ocean circulation, improve global climate predictions, and monitor events such as El Nino conditions and ocean eddies. The Jason-1 satellite carried a radar altimeter, and it was a follow-on mission to the ...","20011207 December 07, 2001",4Past
Astrophysics,JDEM JDEM was a possible future mission to study the expansion history of the universe. It was not selected as one of the ranked recommendations of the 2010 Decadal survey.,,14Studied
Planets,JUICE NASA is collaborating with the European Space Agency (ESA) on this ESA-led mission to Ganymede and the Jupiter system.,20220401 2022,1Under Study
Planets,Juno The Juno mission is the next scientific investigation in the NASA New Frontiers Program. The mission's primary science goal is to significantly improve our understanding of the formation and structure of Jupiter.,"20110805 August 05, 2011",3Operating
Astrophysics,JWST James Webb Space Telescope (formerly the Next Generation Space Telescope) is designed for observations in the far visible to the mid infrared part of the spectrum. JWST will probe the era when stars and galaxies started to form; it will ...,20180101 2018,2Development
Astrophysics,KAO The Kuiper Airborne Observatory (KAO) was a national facility operated by NASA to support research in infrared astronomy. The observatory was a highly modified C141 cargo aircraft that acquired scientific data between 1975 and 1995.,"19750521 May 21, 1975",4Past
Astrophysics,Keck Interferometer (KI) The Keck Interferometer was part of NASA's overall effort to find planets. It combined the light from the twin Keck telescopes to make high resolution measurements of stars and galaxies and to measure the emission from dust orbiting nearby stars. ...,,4Past
Astrophysics,"Kepler The Kepler Mission, a NASA Discovery mission, is specifically designed to survey our region of the Milky Way Galaxy to detect and characterize hundreds of Earth-size and smaller planets in or nearby the habitable zone.","20090306 March 06, 2009",3Operating
Planets,LADEE Lunar Atmosphere and Dust Environment Explorer (LADEE) is a NASA mission that will orbit the Moon and its main objective is to characterize the atmosphere and lunar dust environment. This mission is part of SMD's Robotic Lunar Exploration program.,20130906 September 2013,4Past
Earth,"LAGEOS 1&2 LAGEOS, or Laser Geodynamics Satellites, are a series of satellites designed to provide an orbiting benchmark for geodynamical studies of the Earth. LAGEOS 1 & 2 provide long-term data sets to monitor the motion of the Earth's tectonic plates; measure ...","19760504 May 04, 1976",3Operating
Earth,"Landsat 7 Landsat 7 is a joint NASA/USGS mission that launched in April 1999 to extend the Landsat record of multispectral, medium resolution, seasonal global coverage or Earth's land surfaces. Since May 2003, a failed Scan Line Corrector has resulted in a ...","19990415 April 15, 1999",3Operating
Astrophysics,LBTI The Large Binocular Telescope Interferometer (LBTI) is part of NASA's effort to find planets and ultimately life beyond our solar system. It combines the light from the twin telescope mirrors to make high resolution measurements of stars and galaxies and ...,,3Operating
Earth,"LDCM/Landsat 8 Landsat 8 is the latest NASA/USGS mission to extend the Landsat record of multispectral, medium resolution, seasonal global coverage or Earth's land surfaces.","20130211 February 11, 2013",3Operating
Astrophysics,Leonid MAC Leonid MAC used two aircraft carrying a variety of instruments to examine the particles from the comet Tempel -Tuttle as well as the impact of these on the upper atmosphere.,"19981117 November 17, 1998",4Past
Astrophysics,"LISA The Laser Interferometer Space Antenna (LISA) is a space-based observatory that will allow us to view the Universe in a new spectrum, that of gravitational radiation. This mission is part of the Physics of the Cosmos Program.",,14Studied
Planets,Lunar Prospector Lunar Prospector was the third of NASA's Discovery missions. The project mapped the chemical composition of the lunar surface and the Moon's global magnetic and gravity fields at a level of detail greater than that achieved by previous missions. This ...,"19980107 January 07, 1998",4Past
Planets,Lunar Reconnaisance Orbiter The Lunar Reconnaissance Orbiter (LRO) is the first mission in NASA's plan to return to the moon and then to travel to Mars and beyond. This mission is part of SMD's Robotic Lunar Exploration program.,"20090617 June 17, 2009",3Operating
Planets,"Magellan The Magellan mission scientific objectives were to study land forms and tectonics, impact processes, erosion, deposition, chemical processes, and model the interior of Venus.","19890504 May 04, 1989",4Past
Planets,"Mariner Missions Between 1962 and 1973, NASA designed and built 10 spacecraft named Mariner to explore the inner solar system – visiting the planets Mercury, Venus, and Mars for the first time, and returning to Venus and Mars for additional close observations.","19620721 July 21, 1962",4Past
Planets,"Mars 2020 The proposed 2020 rover mission is part of NASA's Mars Exploration Program, a long-term effort of robotic exploration of the red planet.",20200816 August 2020,1Under Study
Planets,Mars Climate Orbiter Mars Climate Orbiter was designed to function as an interplanetary weather satellite and a communications relay for Mars Polar Lander. This mission is part of the Mars program.,"19981211 December 11, 1998",4Past
Planets,"Mars Exploration Rover - Opportunity The Mars Exploration Rover Opportunity was originally designed for a 90 Sol mission (a Sol, one Martian day, is slightly longer than an Earth day at 24 hours and 37 minutes). Its mission has been extended several times as it ...","20030707 July 07, 2003",3Operating
Planets,Mars Exploration Rover - Spirit Mars Exploration Rover Spirit landed in Gusev crater on Mars in January 2004. The rover carries a sophisticated set of instruments that allow it to search for evidence of liquid water that may have been present in the planet's past. ...,"20030610 June 10, 2003",4Past
Planets,Mars Express (ASPERA-3) Mars Express is exploring the atmosphere and surface of Mars from polar orbit. The mission's main objective is to search for sub-surface water from orbit and deploy a lander onto the Martian surface.,"20030602 June 02, 2003",3Operating
Planets,"Mars Global Surveyor Mars Global Surveyor is returning an unprecedented amount of data regarding Mars' surface features, atmosphere, and magnetic properties. Scientists are using the data gathered from this mission both to learn about the Earth by comparing it to Mars, and to ...","19961107 November 07, 1996",4Past
Planets,Mars Observer Mars Observer was designed to study the geoscience and climate of Mars. This mission is part of SMD's Mars Exploration program.,"19920925 September 25, 1992",4Past
Planets,"Mars Odyssey The 2001 Mars Odyssey is an orbiter carrying science experiments designed to make global observations of Mars to improve our understanding of the planet's climate and geologic history, including the search for water and evidence of life-sustaining environments.","20010407 April 07, 2001",3Operating
Planets,"Mars Pathfinder Mars Pathfinder launched December 2, 1996 and arrived on the surface of Mars on July 4, 1997. The mission was an engineering demonstration of key technologies and concepts for use in future missions to Mars; it also delivered science instruments ...","19961204 December 04, 1996",4Past
Planets,Mars Polar Lander The Mars Polar Lander was to touch down on the southern polar layered terrain and record local meteorological conditions near the martian south pole. This mission is part of SMD's Mars Exploration program.,"19990103 January 03, 1999",4Past
Planets,"Mars Reconnaissance Orbiter The Mars Reconnaissance Orbiter (MRO) will seek to find out about the history of water on Mars with its science instruments. They will zoom in for extreme close-up photography of the martian surface to analyze minerals, look for subsurface water, ...","20050812 August 12, 2005",3Operating
Planets,"Mars Science Laboratory NASA proposes to develop and to launch a roving long-range, long-duration science laboratory that will be a major leap in surface measurements and pave the way for a future sample return mission. The mission will also demonstrate the technology for ...","20111126 November 26, 2011",3Operating
Planets,"MAVEN The Mars Atmosphere and Volatile Evolution Mission (MAVEN), set to launch in 2013, will explore the planet’s upper atmosphere, ionosphere and interactions with the sun and solar wind. Scientists will use MAVEN data to determine the role that loss of ...","20131118 November 18, 2013",3Operating
