characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(long),countvalue(long)
"Total - Other race, non-Hsipanic",Female,"Other race, non-Hispanic",2009,626,13340
"Total - Other race, non-Hispanic",Femtale,"Other race, non-Hispanic",2010,504,12802
"Total - Othr race, non-Hispanic",Female,"Other race, non-Hispanic",2011,452,11648
"Total - Other race, non-Hispanic",Female,"Other rac,e non-Hispanic",2012,613,16478
"White, non-Hispanic",Male,"White, non-Hispanic",2000,639,55602
"White, non-Hispanic",Male,"White, non-Hispanic",2001,644,57102
"White, non-Hispanic",Male,"White, non-Hispanic",2002,647,58313
"White, non-Hispanic",Male,"White, non-Hispanic",2003,620,56733
"White, non-Hispanic",Male,"White, non-Hispanic",2004,598,55179
"White, non-Hispanc",xMale,"White, non-Hispanic",2005,566,52373
"White, non-Hipspanic",Male,"White, non-Hispanic",2006,535,49788
"White, nonq-Hispanic",Male,"Whitae, non-Hispanic",2007,514,47974
"White, nonHispanic",Male,"White, non-Hispanic",2008,504,47410
"White, non-Hispanic",Male,"White, non-Hispanic",2009,496,46577
"White, non-Hispanic",ale,"White, non-Hispanic",2010,504,45219
"White, non-Hispanic",Mae,"White, non-Hispanic",2011,484,43442
"White, on-Hispanic",Mzale,"White, non-Hispanic",2012,446,40090
"Blahck, non-Hispanic",Male,"Black, non-Hispaic",2000,5358,101521
"Black, non-Hispanic",Maqle,"Black, non-Hispanic",2001,5010,97890
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,4751,95276
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,4303,88175
"Black, non-Hisanic",Male,"Black, non-Hispanic",2004,4072,84670
"Black, non-Hispanic",Mae,"Black, non-Hispanic",2005,3653,76800
"Black, non-Hispanic",Mhale,"Black, non-Hispanic",2006,3541,75759
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,3491,76236
"Black, nno-Hispanic",Male,"Black, non-Hispanic",2008,3542,79183
"Black, non-Hispaic",Male,"Black, non-Hispanic",2009,3565,81033
"Bhlack, non-Hispanic",Male,"Black, non-Hispanic",2010,3588,80813
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,3396,78647
"Black, onn-Hispanic",Male,"Black, non-Hispanic",2012,3102,73224
Hispanic,Mazle,Hispanic,2000,1765,46949
Hispanic,aMle,Hispanic,2001,1781,48352
Hispanic,Male,Hispanic,2002,1790,49174
Hispanic,Mle,Hispanic,2003,1777,49180
Hispanic,Male,Hspanic,2004,1723,47798
Hispanci,Male,Hispainc,2005,1666,46265
Hispanic,Malhe,Hispanic,2006,1641,45848
Hispanic,Male,Hispanic,2007,1662,46830
Hispanic,ale,Hispanic,2008,1599,46023
Hispanic,ale,Hispanic,2009,1600,47140
Hispanpic,Male,Hispanic,2010,1405,46546
Hispanic,Male,Hispanic,2011,1308,44268
Hispanic,Male,Hispanic,2012,1165,39631
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2000,1557,14504
"Other race, non-Hispanic",Male,"Othre race, non-Hispanic",2001,1558,14897
"Other race,n on-Hispanic",Male,"Other race, non-Hispcanic",2002,1497,14699
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2003,1500,15010
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2004,1479,14976
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2005,1427,14565
"Other race, non-Hispanic",Mlae,"Other race, neon-Hispanic",2006,1395,14431
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2007,1300,13626
"Other race, non-Hispanic",ale,"Other race, non-Hispanic",2008,1226,13084
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2009,1121,12127
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2010,912,11651
"Other race, non-Hispanic",Male,"Other race, non-Hispanic",2011,824,10699
"Other race, non-Hispanic",Male,"Other raec, non-Hispanic",2012,1124,15227
"White, non-Hispanic",Female,"White, non-Hispanic",2000,41,3498
"Whixte, non-Hispanic",Female,"White, non-Hispanic",2001,43,3725
"White, non-Hispanic",Femalke,"White, non-Hispanic",2002,48,4165
"White, non-Hispanic",Female,"White, non-Hispanic",2003,49,4301
"White, non-Hispanic",Female,"White, non-Hispnic",2004,52,4560
"White, non-Hispanic",Female,"White, non-Hispaic",2005,53,4640
"White, non-Hispanic",Female,"White, non-Hispanic",2006,53,4684
"White, non-Hispanic",Female,"White, non-ispanic",2007,53,4695
"White, non-Hispanic",Femae,"White, non-Hispanic",2008,52,4656
"White, non-Hispanic",Female,"White, non-Hispanic",2009,54,4769
"hWite, non-Hispanic",Female,"White, non-Hispanic",2010,55,4757
"White, non-Hispanic",emale,"White, non-Hisanic",2011,55,4777
"White, non-Hispanic",Female,"White, non-Hispanic",2012,49,4219
"Black, non-Hispanic",Female,"Black, non-Hispanic",2000,180,3500
"lack, non-Hispanic",Female,"Black, non-Hispanic",2001,181,3575
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,177,3561
"Black, non-Hispanic",Female,"Black, non-Hispnic",2003,170,3466
"Black, non-Hispanic",Female,"Black, non-Hispganic",2004,166,3408
"Black, non-Hispanic",Femqale,"Black, non-Hispanic",2005,151,3100
"Black, non-Hispanic",Female,"Black, nohn-Hispanic",2006,145,3021
"Black, non-Hispafnic",Female,"Black, non-Hispanic",2007,143,3031
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,143,3104
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,145,3207
"Black ,non-Hispanic",Female,"Blackz, non-Hispanic",2010,142,3182
"Black, non-Hispanic",Female,"Black,n non-Hispanic",2011,135,3097
"Black, non-Hsipanic",emale,"Blackl, non-Hispanic",2012,118,2745
Hispanic,Feamle,Hispanic,2000,73,1596
Hispanic,Female,Hispanic,2001,75,1684
Hispanic,Female,Hispanic,2002,81,1841
Hispnic,Female,Hispanic,2003,84,1958
Hispanic,Female,Hispanic,2004,89,2100
Hispanci,Female,Hispanic,2005,94,2247
Hispanic,Feale,Hispanic,2006,99,2403
Hispanic,Femle,Hispanic,2007,100,2464
Hispanic,Femle,oHispanic,2008,94,2407
Hispanic,Female,Hispanic,2009,88,2303
Hispanic,Female,Hispanic,2010,78,2291
Hispanic,Feamle,Hispanci,2011,71,2166
Hispanic,Female,Hispanic,2012,60,1847
"Other race, non-Hispanic",Femlae,"Other race, non-Hispanic",2000,94,869
"Other rce, non-Hispanic",Female,"Other race, non-Hispanic",2001,104,988
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2002,108,1052
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2003,94,932
"Other race, non-Hispanic",Female,"Ohter race, non-Hispanic",2004,97,964
"Other rce, non-Hispanic",Female,"Other race, non-Hispanic",2005,129,1289
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2006,140,1410
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2007,140,1429
"Other race, non-Hispanic",Femae,"Other race, non-Hispanic",2008,132,1361
"Other race, non-Hispanic",Female,"Other race, non-Hispanic",2009,115,1208
"Other race, non-Hispanic",Feamle,"Other race, non-iHspanic",2010,91,1154
"Othxer race, non-Hispanic",Female,"Other race, non-Hispanic",2011,75,964
"Other rce, non-Hispanic",Fmale,"Other race, non-Hispanic",2012,95,1267
