334.address,302 E .6Th,302 E. 6Th
221.boardpresident,Cara Bethb Johnson,Cara Beth Johnson
433.boardpresident,Justin uPriest,Justin Priest
151.fax,(580) 885-73j07,(580) 885-7307
275.code,45-I02,45-I002
216.phone,(580) 937-446h6,(580) 937-4466
161.statevalue,K,OK
382.countyname,OSAGE       ***,OSAGE       
137.address,1720 OpalAve,1720 Opal Ave
500.districtname,OPTIMA         d               ,OPTIMA                        
105.superintendent,DeannaVoegeli,Deanna Voegeli
4.address,Route  Zion Road,Route 1 Zion Road
287.superintendentsemail,ajbrewer@washington.k12o.k.us,ajbrewer@washington.k12.ok.us
524.phone,9(18) 746-6800,(918) 746-6800
449.statevalue,KO,OK
256.address,17 Broadway,417 Broadway
404.city,Cuhsing,Cushing
446.superintendentsemail,cshaw@wantte.k12.ok.us,cshaw@wanette.k12.ok.us
149.superintendentsemail,dbrown@taloga.k12.o.kus,dbrown@taloga.k12.ok.us
545.superintendent,Jason Gostree,Jason Goostree
126.phone,(918) 8276100,(918) 827-6100
244.districtname,LE FLORE                     ,LE FLORE                      
33.address,200 East Setakley Street,200 East Steakley Street
187.address,605 W. Jane Jayre Blvd.,605 W. Jane Jayroe Blvd.
110.superintendent,Nahtaniel Meraz,Nathaniel Meraz
8.boardpresident,Chad aEgleton,Chad Eagleton
77.countyname,CHERKOEE    ,CHEROKEE    
237.websiteurl,www.spk12.rg,www.spk12.org
348.districtname,OKC CHARTER: HARPE RACADEMY   ,OKC CHARTER: HARPER ACADEMY   
335.websiteurl,www.graham.k12.ok.us***,www.graham.k12.ok.us
554.superintendentsemail,jthompson@smps.k12.iok.us,jthompson@smps.k12.ok.us
421.superintendentsemail,cox@quintonschools.com,dcox@quintonschools.com
123.fax,(981) 224-0617,(918) 224-0617
361.boardpresident,Jann Davenpmort,Jann Davenport
375.countyname,OKMULGE E   ,OKMULGEE    
186.statevalue,KO,OK
340.address,1508 N w106Th,1508 Nw 106Th
255.statevalue,KO,OK
361.superintendentsemail,joe.kitchens@westerneights.k12.ok.us,joe.kitchens@westernheights.k12.ok.us
299.districtname,EAGLoETOWN                     ,EAGLETOWN                     
396.phone,(981) 674-2501,(918) 674-2501
383.address,145 Cherokee Ave***,145 Cherokee Ave
364.websiteurl,http://ww.wbethanyschools.com,http://www.bethanyschools.com
141.phone,(18) 505-1000,(918) 505-1000
534.boardpresident,Pta Vanatta,Pat Vanatta
295.countyname,MCCURTtAIN   ,MCCURTAIN   
12.code,0k2-I046,02-I046
250.districtname,TALHINA                      ,TALIHINA                      
200.superintendentsemail,vnance@navajo.12.ok.us,vnance@navajo.k12.ok.us
256.city,avenport,Davenport
486.superintendentsemail,vsacledo@vian.k12.ok.us,vsalcedo@vian.k12.ok.us
526.phone,(918) 295-5700,(918) 259-5700
347.districtname,OKC CHARTER: DOVE SCIENCE S  ,OKC CHARTER: DOVE SCIENCE ES  
94.city,Movore,Moore
311.websiteurl,www.sulpurk12.org,www.sulphurk12.org
337.address,2401 North Air Depot Boulevrad,2401 North Air Depot Boulevard
432.phone,(580) 265-241,(580) 265-4241
87.superintendentsemail,supt@forttopwson.k12.ok.us,supt@forttowson.k12.ok.us
88.city,Sopr,Soper
503.city,Gumyon,Guymon
268.statevalue,K,OK
14.statevalue,K,OK
238.phone,(981) 658-3516,(918) 658-3516
151.districtname,ARNETT                        ***,ARNETT                        
26.fax,(5a80) 928-5538,(580) 928-5538
390.statevalue,KO,OK
62.phone,(580) 68-2955,(580) 668-2955
404.websiteurl,www.oakgrove.k1d2.ok.us,www.oakgrove.k12.ok.us
432.statevalue,K,OK
320.code,51-I0w46,51-I046
131.city,Kellvyille,Kellyville
80.phone,u(918) 458-1835,(918) 458-1835
43.superintendent,indy Hackney,Cindy Hackney
552.city,Woodwadr,Woodward
50.code,08I-167,08-I167
457.districtname,kCHEYENNE                      ,CHEYENNE                      
550.phone,(580) 8246561,(580) 824-6561
324.address,311 North Central***,311 North Central
42.phone,l(405) 457-6623,(405) 457-6623
17.address,801 Greathouse rDrive,801 Greathouse Drive
448.countyname,PUSHMATHA  ,PUSHMATAHA  
240.superintendentsemail,wmcgowen@fanshawee.k12.ok.us,wmcgowen@fanshawe.k12.ok.us
14.code,03-Cs021,03-C021
400.statevalue,KO,OK
511.boardpresident,Jmes Heap,James Heap
547.address,21 E Walk Street,216 E Walk Street
430.fax,(580)310-7206,(580) 310-7206
135.countyname,CUSfTER      ,CUSTER      
248.boardpresident,oRn Hall,Ron Hall
516.address,105 East 63Rd Stroeet North,105 East 63Rd Street North
104.address,120 East H Ave,102 East H Ave
176.statevalue,K,OK
418.superintendent,Rodne Karch,Rodney Karch
92.districtname,KEYES         t                ,KEYES                         
453.districtname,ANTLERS                      ,ANTLERS                       
27.superintendent,Jeff Kelly***,Jeff Kelly
450.countyname,PUSHAMTAHA  ,PUSHMATAHA  
259.statevalue,KO,OK
102.superintendentsemail,dtrent@flowrmound.k12.ok.us,dtrent@flowermound.k12.ok.us
516.phone,(918) 794-14e42,(918) 794-1442
214.districtname,MILBURN                      ,MILBURN                       
544.phone,(918r) 336-8600,(918) 336-8600
372.fax,(918) 33-2861,(918) 733-2861
378.statevalue,KO,OK
293.phone,(580t) 420-3232,(580) 420-3232
221.statevalue,ObK,OK
87.fax,(580y) 873-1053,(580) 873-1053
80.address,26622 South 520 vRoad,26622 South 520 Road
504.superintendent,Grge Faris,Greg Faris
315.statevalue,K,OK
225.superintendentsemail,jason.sternberger@kingfisher.k12.ok.su,jason.sternberger@kingfisher.k12.ok.us
430.address,324 W .20Th,324 W. 20Th
47.countyname,CADDO       ***,CADDO       
293.code,8-C023,48-C023
24.address,19693 Eats 1130 Road,19693 East 1130 Road
359.code,5q5-I012,55-I012
178.districtname,TUTTLE                       ,TUTTLE                        
183.city,amont,Lamont
511.countyname,ILLMAN     ,TILLMAN     
430.code,2-I019,62-I019
501.boardpresident,KurtBenfer,Kurt Benfer
549.city,lAva,Alva
465.phone,(918) 543-z2255,(918) 543-2255
104.phone,(80) 429-3266,(580) 429-3266
116.boardpresident,Dankdy Risman,Dandy Risman
27.districtname,ERICK                        ,ERICK                         
484.phone,(9x18) 875-3668,(918) 875-3668
537.phone,(918) 6822548,(918) 682-2548
37.fax,(80) 847-2787,(580) 847-2787
530.superintendent,Rck Thomas,Rick Thomas
467.boardpresident,arry Mallory,Larry Mallory
330.code,54-cC029,54-C029
196.city,Wetumkka,Wetumka
530.fax,(918) 96-1799,(918) 396-1799
552.superintendent,Kyle Reyenolds,Kyle Reynolds
370.code,55-Z0i04,55-Z004
144.boardpresident,Eldon qBrashear,Eldon Brashear
505.phone,5(80) 652-2162,(580) 652-2162
489.fax,918) 427-1785,(918) 427-1785
80.superintendent,Vol Wjoods,Vol Woods
427.boardpresident,oRbert Hammonds,Robert Hammonds
467.code,6-6I007,66-I007
129.superintendent,Matt Pousey,Matt Posey
286.boardpresident,Steve Lonqg,Steve Long
75.boardpresident,Lea Anall,Lea Arnall
338.websiteurl,http:/www.icmsokc.com,http://www.icmsokc.com
114.websiteurl,http://www.bgpasture.org,http://www.bigpasture.org
262.superintendentsemail,dgry@agra.k12.ok.us,dgray@agra.k12.ok.us
337.countyname,OLAHOMA    ,OKLAHOMA    
180.code,v26-I128,26-I128
149.statevalue,OyK,OK
31.websiteurl,hrttp://www.canton.k12.ok.us/,http://www.canton.k12.ok.us/
54.websiteurl,www.darlingtonpos.com,www.darlingtonps.com
42.boardpresident,ommy House,Tommy House
326.countyname,NOBLdE       ,NOBLE       
512.city,lGrandfield,Grandfield
413.address,4b85 Frink Rd,485 Frink Rd
113.statevalue,K,OK
519.websiteurl,www.collegiatehall.org***,www.collegiatehall.org
524.city,ulsa,Tulsa
46.fax,(58m0) 464-2445,(580) 464-2445
299.phone,(580) 835-2242***,(580) 835-2242
131.superintendentsemail,jpierce@kellvilleschools.org,jpierce@kellyvilleschools.org
246.statevalue,KO,OK
483.websiteurl,http://www.belfonlte.k12.ok.us/,http://www.belfonte.k12.ok.us/
400.fax,(918) u676-3594,(918) 676-3594
254.phone,(405) 694-3428,(405) 964-3428
415.statevalue,KO,OK
60.superintendent,Seawn Mcdaniel,Sean Mcdaniel
149.phone,(580)j 328-5577,(580) 328-5577
145.city,Collcord,Colcord
384.city,Sand Sprngs,Sand Springs
128.city,iefer,Kiefer
124.address,420 yNorth Main,420 North Main
442.districtname,EARLSBORO         a            ,EARLSBORO                     
470.city,Seminloe,Seminole
443.countyname,POTTcAWATOMIE,POTTAWATOMIE
518.address,2525 S. 101St .E Ave. ,2525 S. 101St E. Ave. 
548.countyname,WASIHTA     ,WASHITA     
488.superintendent,LarryC alloway,Larry Calloway
295.superintendent,Hrvey Brumley,Harvey Brumley
397.city,Commecre,Commerce
279.statevalue,OxK,OK
352.countyname,OKLAHOMA    ***,OKLAHOMA    
447.statevalue,K,OK
336.superintendent,Kim aLnier,Kim Lanier
290.superintendent,Ji Beckham,Jim Beckham
21.city,Balcko,Balko
78.superintendent,Stephen Hyanes,Stephen Haynes
337.statevalue,KO,OK
200.statevalue,zOK,OK
155.statevalue,K,OK
199.phone,(91) 546-2476,(918) 546-2476
116.superintendentsemail,hiseley@ketchumwarriors.com,phiseley@ketchumwarriors.com
116.city,Kektchum,Ketchum
31.phone,(58) 886-3516,(580) 886-3516
488.city,Gasn,Gans
523.boardpresident,Fredrck Artis,Fredrick Artis
537.city,kOay,Okay
66.fax,(580s) 657-4355,(580) 657-4355
39.boardpresident,Dapvid Jones,David Jones
550.city,Wayanoka,Waynoka
303.fax,(80) 584-9482,(580) 584-9482
390.fax,(91) 885-2538,(918) 885-2538
517.websiteurl,www.collegeboundscohol.org,www.collegeboundschool.org
434.superintendent,Blsake Moody,Blake Moody
544.boardpresident,Doug Divlbiss,Doug Divelbiss
133.superintendent,Robbjy Dorsey,Robby Dorsey
15.address,601 W. Mcgee Ckreek Rd.,601 W. Mcgee Creek Rd.
190.superintendent,Soctt Shepherd,Scott Shepherd
182.websiteurl,http://www.pondcreek-hunter.k12.ok.us/***,http://www.pondcreek-hunter.k12.ok.us/
411.superintendentsemail,nandeson@fsilc.k12.ok.us,nanderson@fsilc.k12.ok.us
285.boardpresident,Jamqes Albertson,James Albertson
232.statevalue,KO,OK
54.superintendent,Ceryl Garrison,Cheryl Garrison
333.boardpresident,Patti Migller,Patti Miller
212.websiteurl,www.millcree.kk12.ok.us,www.millcreek.k12.ok.us
327.websiteurl,okunion.k12.ok.s,okunion.k12.ok.us
539.countyname,WAGONER    ,WAGONER     
235.websiteurl,www.bpsd.org,www.bvpsd.org
258.websiteurl,ww.stroud.k12.ok.us,www.stroud.k12.ok.us
297.statevalue,gOK,OK
395.city,Wyandoxtte,Wyandotte
256.websiteurl,http://www.davenportk12h.com/,http://www.davenportk12.com/
205.phone,(850) 563-2632,(580) 563-2632
175.code,26-I56,26-I056
271.fax,(580) 883-2220***,(580) 883-2220
102.statevalue,KO,OK
134.countyname,CUSTR      ,CUSTER      
494.districtname,CkOMANCHE                      ,COMANCHE                      
474.countyname,SEMINOEL    ,SEMINOLE    
466.websiteurl,http:/www.sequoyaheagles.net,http://www.sequoyaheagles.net
511.websiteurl,www.frederikbombers.net,www.frederickbombers.net
515.superintendentsemail,wolfkill@kipptulsa.org,jwolfkill@kipptulsa.org
145.superintendentsemail,bsimmonsc@olcordschools.com,bsimmons@colcordschools.com
31.code,06I-105,06-I105
270.fax,(580r) 276-4037,(580) 276-4037
103.districtname,BISHOP               b         ,BISHOP                        
543.code,74-I081,74-I018
379.districtname,WISON                        ,WILSON                        
202.superintendentsemail,wrhill@altusps.com,rhill@altusps.com
48.address,2v01 S. Main,201 S. Main
126.superintendentsemail,agaches@moundspsc.om,agaches@moundsps.com
59.countyname,CApNADIAN    ,CANADIAN    
210.statevalue,K,OK
72.fax,(918)458-0647,(918) 458-0647
45.websiteurl,http://www.apache.k12ok.us/,http://www.apache.k12.ok.us/
28.statevalue,kOK,OK
294.countyname,MCCURTANI   ,MCCURTAIN   
459.address,802 Shockey t.,802 Shockey St.
370.superintendent,Sheryl Tatxum,Sheryl Tatum
158.city,Eznid,Enid
108.superintendentsemail,tom.deighan@lawonps.org,tom.deighan@lawtonps.org
393.city,oHminy,Hominy
392.countyname,sOSAGE       ,OSAGE       
208.superintendent,Kent oSuthward,Kent Southward
389.phone,(918) 8462-467,(918) 846-2467
548.fax,(580)832-1090,(580) 832-1090
409.phone,(580) 669-b4003,(580) 669-4003
431.statevalue,KO,OK
91.phone,(580) 26-2220,(580) 426-2220
407.superintendent,JamesR amsey,James Ramsey
526.districtname,BROKNE ARROW                  ,BROKEN ARROW                  
510.websiteurl,www.buffalok.12.ok.us,www.buffalo.k12.ok.us
135.districtname,THOMAS-FAY-CUSTER UNIFpIED DIST,THOMAS-FAY-CUSTER UNIFIED DIST
131.countyname,CREEK       ***,CREEK       
213.address,1300 East ain Street,1300 East Main Street
69.websiteurl,http://www.foxps.k12.okus/,http://www.foxps.k12.ok.us/
289.superintendent,Jason Mikdiff,Jason Midkiff
475.address,1199 Ns 3550,11929 Ns 3550
321.code,51-Ic074,51-I074
52.superintendentsemail,gdarner@riverside.k12.ok.us,dgarner@riverside.k12.ok.us
444.boardpresident,Keijth Sandlin,Keith Sandlin
95.superintendent,Joseph iano,Joseph Siano
506.websiteurl,tyrone@tyrone.k12.ook.us,tyrone@tyrone.k12.ok.us
38.city,aClera,Calera
530.city,Siatook,Skiatook
299.code,48-bI013,48-I013
389.countyname,OSAG       ,OSAGE       
24.superintendentsemail,dauhgertyj@merritt.k12.ok.us,daughertyj@merritt.k12.ok.us
158.statevalue,K,OK
154.websiteurl,www.kremlink.12.ok.us,www.kremlin.k12.ok.us
298.address,e604 East Lucas Street,604 East Lucas Street
492.boardpresident,Sandy Boden,Sandy Bowden
165.fax,(405) 756-8m819,(405) 756-8819
36.websiteurl,www.caddoisld.org,www.caddoisd.org
373.statevalue,OaK,OK
320.phone,(918) 487-265,(918) 487-5265
30.address,110 Southwes tEmbree Drive,110 Southwest Embree Drive
262.statevalue,KO,OK
388.superintendent,Rick Lgogins,Rick Loggins
512.statevalue,KO,OK
109.statevalue,OhK,OK
19.countyname,ATOKA       ***,ATOKA       
262.city,gAra,Agra
460.address,1902 East School Road,14902 East School Road
533.countyname,TULSnA       ,TULSA       
516.city,Tulas,Tulsa
28.websiteurl,http://okenee.k12.ok.us/,http://okeene.k12.ok.us/
252.city,Howfe,Howe
300.code,4-8I014,48-I014
399.fax,(918) 257c-4846,(918) 257-4846
346.statevalue,OjK,OK
57.fax,(405) 354-42e08,(405) 354-4208
547.superintendent,Lary Parrish,Larry Parrish
229.superintendentsemail,huntc@obart.k12.ok.us,huntc@hobart.k12.ok.us
551.phone,(508) 621-3271,(580) 621-3271
48.phone,(4m05) 489-3216,(405) 489-3216
132.fax,(918) 2278347,(918) 227-8347
318.boardpresident,John Baron,John Barton
455.phone,(58) 488-3424,(580) 488-3424
513.code,72-Ck015,72-C015
380.countyname,OKMULGEE    ***,OKMULGEE    
388.statevalue,OpK,OK
84.code,12a-C003,12-C003
116.countyname,RAIG       ,CRAIG       
513.city,SandSprings,Sand Springs
317.countyname,MUSKOEE    ,MUSKOGEE    
209.districtname,WAURIKA                       ***,WAURIKA                       
431.districtname,LATTA                         ***,LATTA                         
148.superintendent,Ryandy Seifried,Randy Seifried
218.superintendent,Bruce Shelrley,Bruce Shelley
126.city,Mounsd,Mounds
530.superintendentsemail,rthomas@skiatookshools.org,rthomas@skiatookschools.org
383.statevalue,KO,OK
406.superintendent,MarcMoore,Marc Moore
170.code,2y6-C096,26-C096
21.websiteurl,http:/www.balko.k12.ok.us/,http://www.balko.k12.ok.us/
39.superintendentsemail,duane.merideth@durantisd.rog,duane.merideth@durantisd.org
226.districtname,HENNESEY                     ,HENNESSEY                     
539.code,7q3-I019,73-I019
423.phone,(918) 34-3203,(918) 334-3203
318.address,202 West rBoadway Street,202 West Broadway Street
199.boardpresident,Bobdby Talley,Bobby Talley
36.countyname,BRYAN      ,BRYAN       
427.city,Agllen,Allen
47.phone,(405) 966-223k6,(405) 966-2236
373.address,316 E. 8Th Srteet ,316 E. 8Th Street 
488.statevalue,KO,OK
321.superintendentsemail,davidvinson@warner.k12.ok.zus,davidvinson@warner.k12.ok.us
378.superintendent,Allen Callahn,Allen Callahan
189.address,605 Se 2dN,605 Se 2Nd
537.address,8611 Nrth 49Th Street East,8611 North 49Th Street East
14.address,4926 S Benxtley Rd,4926 S Bentley Rd
525.superintendent,Lloyd Snwo,Lloyd Snow
416.address,605Se 2Nd,605 Se 2Nd
544.superintendentsemail,quivnngw@bps-ok.org,quinngw@bps-ok.org
333.districtname,OKEMAH  k                      ,OKEMAH                        
10.city,Bnuch,Bunch
95.statevalue,KO,OK
80.boardpresident,Radean Froeman,Radean Foreman
458.superintendent,Casey Reded,Casey Reed
135.phone,(5b80) 661-3527,(580) 661-3527
423.boardpresident,hester Mason,Chester Mason
377.fax,(18) 756-2122,(918) 756-2122
154.countyname,GARFIEDL    ,GARFIELD    
13.address,601 N.M ain,601 N. Main
99.districtname,COTTONWOOD                    ***,COTTONWOOD                    
143.districtname,GROVE  m                       ,GROVE                         
174.code,6-I051,26-I051
50.phone,(405) 6432-336,(405) 643-2336
447.superintendentsemail,jlmccormiyck@maud.k12.ok.us,jlmccormick@maud.k12.ok.us
505.city,ooker,Hooker
197.boardpresident,erry Swayze,Terry Swayze
478.superintendent,Dianez Parris,Diane Parris
256.districtname,DAVENPORT                     ***,DAVENPORT                     
132.statevalue,K,OK
523.superintendent,Rodneey Clark,Rodney Clark
132.city,Sapupla,Sapulpa
213.countyname,JOHNScTON    ,JOHNSTON    
100.fax,f(580) 927-2694,(580) 927-2694
349.statevalue,KO,OK
19.city,Canye,Caney
69.superintendentsemail,bphelps@foxps.k1.2ok.us,bphelps@foxps.k12.ok.us
263.websiteurl,http://ww.wguthrie.k12.ok.us,http://www.guthrie.k12.ok.us
501.superintendentsemail,steve.baird@straihgt.k12.ok.us,steve.baird@straight.k12.ok.us
330.boardpresident,Robert Georeg,Robert George
14.districtname,HARMONrY                       ,HARMONY                       
438.address,113 Norjth Main Street,113 North Main Street
551.statevalue,K,OK
435.districtname,GROVE                        ,GROVE                         
72.websiteurl,www.lowryey.k12.ok.us,www.lowrey.k12.ok.us
358.superintendent,Cahrl Johnson,Carl Johnson
22.code,04-1I23,04-I123
3.superintendent,Alicia Ktecher,Alicia Ketcher
364.statevalue,KO,OK
492.phone,580) 439-2467,(580) 439-2467
471.statevalue,K,OK
237.address,22883 Wheelus ,22838 Wheelus 
444.websiteurl,htt://www.shawnee.k12.ok.us/,http://www.shawnee.k12.ok.us/
410.code,6-0I103,60-I103
545.address,708 E. Washingyton,708 E. Washington
318.phone,(918m) 684-3700,(918) 684-3700
78.boardpresident,Billy Gibsvon,Billy Gibson
335.boardpresident,Kne Kelsey,Ken Kelsey
169.countyname,GRAYD       ,GRADY       
290.superintendentsemail,drbdeckham@blanchard.k12.ok.us,drbeckham@blanchard.k12.ok.us
491.phone,(918) 757-5525,(918) 775-5525
317.districtname,OKTAHA                        ***,OKTAHA                        
152.city,Shttuck,Shattuck
549.districtname,ALVA                         ,ALVA                          
283.superintendentsemail,lheltonlg.k12.ok.us,lhelton@lg.k12.ok.us
486.countyname,SEQoUOYAH    ,SEQUOYAH    
396.code,5m8-I014,58-I014
436.phone,(405)p 275-6092,(405) 275-6092
546.boardpresident,Jimmy Piecey,Jimmy Piercey
339.fax,(405)475-5561,(405) 475-5561
34.boardpresident,RogerW est,Roger West
503.boardpresident,Kevin Brur,Kevin Bruer
552.statevalue,KO,OK
108.address,753 Nw Fort Sil Blvd.,753 Nw Fort Sill Blvd.
311.code,50I-001,50-I001
222.districtname,NEWKIRK                       ***,NEWKIRK                       
219.websiteurl,www.blackwell.k12.ok.su,www.blackwell.k12.ok.us
63.superintendent,aNthaniel Bates,Nathaniel Bates
200.countyname,tJACKSON     ,JACKSON     
85.city,Suwink,Swink
491.city,allisaw,Sallisaw
362.fax,(05) 739-1615,(405) 739-1615
426.superintendent,Mone Madewell,Monte Madewell
22.superintendentsemail,tsmalts@forgan.k12.oku.s,tsmalts@forgan.k12.ok.us
146.superintendentsemail,oakssupt@oaksschools.com***,oakssupt@oaksschools.com
239.statevalue,K,OK
271.address,101 W. 5Teh,101 W. 5Th
472.districtname,BOWLEGS                       ***,BOWLEGS                       
226.address,604 EastO klahoma Street,604 East Oklahoma Street
284.fax,(98) 476-8538,(918) 476-8538
135.superintendentsemail,robthomas.k12.ok.us,rob@thomas.k12.ok.us
53.countyname,CANADIAN    ***,CANADIAN    
89.superintendentsemail,edalke@hugoschols.com,edalke@hugoschools.com
91.address,101 South Licoln,101 South Lincoln
432.city,Stoneall,Stonewall
427.address,05 N. Denver,105 N. Denver
125.superintendentsemail,aldvogels@mannford.k12.ok.us,waldvogels@mannford.k12.ok.us
263.code,42-I0y01,42-I001
15.phone,(580) 889-o2743,(580) 889-2743
19.statevalue,K,OK
53.superintendent,Larry Yrk,Larry York
54.address,408 North Highway 81,4408 North Highway 81
233.statevalue,K,OK
241.phone,(918)9 62-2463,(918) 962-2463
231.districtname,MOUNTAIN VIE-GOTEBO          ,MOUNTAIN VIEW-GOTEBO          
211.fax,(b580) 371-3067,(580) 371-3067
201.boardpresident,Rafe Hlal,Rafe Hall
53.superintendentsemail,jyork68@banner.k12.ok.us,ljyork68@banner.k12.ok.us
183.address,1192 Harrsion Avenue,1192 Harrison Avenue
364.superintendent,Kent Shellebnerger,Kent Shellenberger
185.statevalue,K,OK
477.websiteurl,www.strothe.rk12.ok.us,www.strother.k12.ok.us
315.countyname,MUSKOGE E   ,MUSKOGEE    
102.districtname,FLOWER MOUND                 ,FLOWER MOUND                  
398.city,Miaim,Miami
200.districtname,NAVAJO                       ,NAVAJO                        
7.phone,(18) 422-5311,(918) 422-5311
407.phone,(405) 547-5x703,(405) 547-5703
434.boardpresident,Rickey Gwin,Rickey Gowin
490.superintendentsemail,lmccrray@gorepublicschools.org,lmccrary@gorepublicschools.org
