rxdevice(long),fileid(long),txdevice(long),starttime(long),endtime(long),valuevalue(long)
1144,54034.0,31855,277383876105924,278276965988058.0,255
1112,24841.0,32749,277384776105722,277046376011948.0,255
1112,24837.0,5924,277425576141210,276387576062486.0,255
1112,24860.0,17538,277426176141414,277422576021761.0,255
1112,24845.0,20676,277425876141718,277189765955931.0,255
1112,24854.0,23947,277426476141239,276807876097228.0,255
1112,54037.0,-14080,277471476169530,276905376089894.0,255
1112,24851.0,-12738,277470576169435,276524376016804.0,255
1112,24840.0,-7402,277470876169546,276902676073996.0,255
1112,24850.0,2851,277471176169482,277471476069534.0,255
1112,54037.0,4988,277470276169762,276387576062486.0,255
1112,24845.0,-1211,277512876184570,277046376011948.0,255
1112,24817.0,4690,277512276184705,277512576084586.0,255
1112,54039.0,15349,277512576184591,277512876084564.0,255
1112,24849.0,30366,277513176184387,276387576062486.0,255
1112,24860.0,-12640,277557576120578,277046376011948.0,255
1112,24824.0,-4692,277556976104978,277557276020228.0,255
1112,24817.0,20132,277556676104425,277422576021761.0,255
1112,54040.0,29481,277557276120230,277175965960291.0,255
1112,54041.0,9666,277590876161025,277591176061138.0,255
1112,24836.0,-27206,277643076117760,276387576062486.0,255
1112,24846.0,-24946,277642776118048,277564776055062.0,255
1112,54042.0,-14180,277643376117802,277763076055191.0,255
1112,24824.0,23354,277643676118050,277762176055058.0,255
1112,24814.0,24363,277643976117898,277077876031133.0,255
1112,54044.0,-30336,277729176117162,277509265925291.0,255
1112,24837.0,-26666,277729776134222,276466176086601.0,255
1172,54044.0,-18454,277730076183070,278802565926701.0,255
1112,24850.0,-11381,277730376182840,277730676083412.0,255
1112,54044.0,18494,277729476116903,277509265925291.0,255
1112,24851.0,20,277764576112654,278802265926771.0,255
1112,24837.0,9055,277763676164798,277387465933130.0,255
1112,24854.0,13689,277764276181191,277175965960291.0,255
1112,24824.0,25649,277763976180807,277422576021761.0,255
1112,24824.0,-29443,277989276140546,278653165960165.0,255
1112,54058.0,-15847,277988376140422,276466176086601.0,255
1112,24849.0,-12792,277989576140480,277989876040847.0,255
1112,24860.0,4220,277988976140562,277509265925291.0,255
1112,24817.0,7857,277988676140645,276297576073022.0,255
1112,54060.0,2063,278005776122693,277129176056224.0,255
1112,24855.0,-28487,278023476167307,278023776067178.0,255
1112,24854.0,-12417,278023176167432,276871476076359.0,255
1112,24817.0,-770,278030676146479,276807876097228.0,255
1112,24824.0,8150,278030976146409,276524376016804.0,255
1112,54063.0,16295,278031276146377,276807876097228.0,255
1112,24848.0,21322,278031576146331,277323276041700.0,255
1112,24836.0,-3076,278075676104354,278075976004442.0,255
1112,24836.0,14722,278075376187383,278075676004367.0,255
1112,24832.0,20515,278075976104142,277509265925291.0,255
1112,24832.0,-21787,278108076120168,277106076056089.0,255
1112,24832.0,-29967,278111376198216,276466176086601.0,255
1112,24817.0,-27280,278111076198458,276466176086601.0,255
1112,54066.0,-3003,278111676198883,278111976098269.0,255
1112,54066.0,11940,278111976198506,276807876097228.0,255
1112,54066.0,23430,278110776198512,276387576062486.0,255
1112,24854.0,-24435,278161776113041,276297576073022.0,255
1112,54071.0,-11672,278161476112985,278639365921994.0,255
1112,24841.0,20982,278162376113470,278162676013158.0,255
1112,24836.0,26023,278162076112921,276387576062486.0,255
1112,54072.0,-31900,278196576170179,276387576062486.0,255
1112,54072.0,-29865,278195976170088,278196276070159.0,255
1159,54072.0,748,278196276170182,276736165973384.0,255
1152,54072.0,27324,278195676170798,276466176086601.0,255
1112,24814.0,29905,278196876170336,278197176070108.0,255
1112,24832.0,-28863,278248476117187,276902676073996.0,255
1112,24824.0,-2063,278247576143124,278247876058873.0,255
1112,24837.0,10541,278248176117009,278175865951196.0,255
1112,54076.0,19176,278247876158889,277129176056224.0,255
1112,24855.0,16526,278264076139192,276807876097228.0,255
1112,54079.0,-10910,278266776172155,276297576073022.0,255
1177,54080.0,-9801,278282676151529,277763076055191.0,255
1112,24849.0,8460,278283276169046,276466176086601.0,255
1112,54080.0,19779,278282976168804,278283276069046.0,255
1112,24814.0,31475,278282376151610,276297576073022.0,255
1112,24824.0,-31412,278334276197554,276807876097228.0,255
1112,24817.0,-13351,278334876113932,277046376011948.0,255
1112,24832.0,-12509,278333676196814,277046376011948.0,255
1112,24817.0,10935,278333976197897,276871476076359.0,255
1112,54081.0,11326,278334576112810,276902676073996.0,255
1112,24824.0,-29578,278351076186227,276466176086601.0,255
1200,54084.0,-150,278363976191652,277046376011948.0,255
1145,54084.0,12665,278364276191913,276524376016804.0,255
1112,24842.0,-23274,278369976118819,278370276038362.0,255
1112,24832.0,5141,278369676102678,276871476076359.0,255
1112,24845.0,13586,278370276138370,277564776055062.0,255
1112,54087.0,17653,278369376102505,276524376016804.0,255
1112,54106.0,-16841,278603676161569,276905376089894.0,255
1112,24846.0,-21002,278680476171184,276466176086601.0,255
1112,24814.0,-15959,278681076187072,277564776055062.0,255
1112,24849.0,3901,278680176155918,278680476071172.0,255
1136,54109.0,16928,278681376186876,277762176055058.0,255
1133,54109.0,27015,278679876156215,278680176055916.0,255
1114,54109.0,29660,278680776171266,276736465973388.0,255
1112,24846.0,-22192,278714976192291,277046376011948.0,255
1112,54110.0,-20658,278715576137975,276297576073022.0,255
1131,54110.0,-7880,278715276137907,276209965914102.0,255
1112,24832.0,-4593,278714376177360,278714676092167.0,255
1112,24842.0,-898,278714676192168,277106076056089.0,255
1112,24837.0,-29880,278767476176339,277323276041700.0,255
1154,54112.0,-13506,278766876176096,278767176076230.0,255
1125,54112.0,5508,278767176176194,278767476076292.0,255
1112,54112.0,12169,278766576176449,277106076056089.0,255
1166,54112.0,25180,278767776176128,276905376089894.0,255
1112,24824.0,-27415,278801076157439,276524376016804.0,255
1112,24814.0,-18409,278801676157576,276905376089894.0,255
1112,54113.0,22040,278800476157466,276466176086601.0,255
1112,24850.0,32277,278800776157660,278801076057453.0,255
1113,58653.0,-19349,276274476156925,276274776056494.0,255
1113,24846.0,24,276445176158172,276466176086601.0,255
1113,24840.0,-15747,276982476172610,278175865951196.0,255
1113,24832.0,23635,277060476168743,276297576073022.0,255
1113,24837.0,19736,277138176111075,277762176055058.0,255
1113,24854.0,-19206,277579776179497,278802265926771.0,255
1113,58804.0,1806,277579476179626,276524376016804.0,255
1113,24836.0,-7764,277669476185921,277669776068142.0,255
1113,24851.0,-4870,278088876109594,278089176009398.0,255
1113,24836.0,-15306,278175276128118,276524376016804.0,255
1113,58873.0,22010,278267376148521,277077876031133.0,255
1114,24840.0,-5450,276188376108037,277323276041700.0,255
1114,24840.0,11050,276188076107528,276188376008037.0,255
1114,24840.0,-23972,276192576191640,277046376011948.0,255
1114,24842.0,-30371,276302676103878,277046376011948.0,255
1114,24825.0,15040,276302376104493,277046376011948.0,255
1178,15437.0,-355,276347376155667,276347676055671.0,255
1114,24814.0,2803,276346776124743,276466176086601.0,255
1114,24817.0,18252,276347076155417,276347376055711.0,255
1114,24825.0,9367,276444276166037,276444576066077.0,255
1114,15446.0,-14033,276557076122353,276557376021761.0,255
1114,24840.0,3320,276556476106930,276524376016804.0,255
1114,24845.0,11417,276556776106749,276557076022095.0,255
1114,24837.0,22993,276557376121950,276557676050386.0,255
1114,24837.0,-16506,276569976120154,276570276020152.0,255
1114,24836.0,-9405,276571176120089,276571476019908.0,255
1114,15447.0,1659,276570276120054,278653165960165.0,255
1114,24842.0,14822,276570876120098,276902676073996.0,255
1114,24840.0,32339,276570576120005,278285965953540.0,255
1114,15448.0,-28607,276620976146271,276621276046597.0,255
1114,15450.0,-877,276635076201514,276736165973384.0,255
1141,15450.0,4074,276634776201099,276635076101678.0,255
1114,24824.0,-6860,276646176200848,276387576062486.0,255
1114,24848.0,12850,276661776156404,277046376011948.0,255
1114,15454.0,-31255,276700776201380,276701076102328.0,255
1114,15457.0,-20798,276726276183549,276726576083501.0,255
1114,24832.0,-14114,276725376183410,276466176086601.0,255
1114,24824.0,-11052,276725676183646,276902676073996.0,255
1118,15457.0,1023,276726876183532,277693765956247.0,255
1114,24824.0,22893,276725976183375,277077876031133.0,255
1114,24846.0,26289,276726576183445,276726876083575.0,255
1114,24851.0,-20530,276747576116748,276747876016535.0,255
1114,24850.0,-13643,276748176116530,277088076019619.0,255
1114,24836.0,-10257,276748476116874,276524376016804.0,255
1114,24850.0,15023,276747876116771,276905376089894.0,255
1114,24848.0,22730,276748776116881,276207865949104.0,255
1114,15461.0,-20470,276811176168269,277564776055062.0,255
1114,24824.0,-9273,276811476168448,276807876097228.0,255
1115,15851.0,-29002,276180576175521,277046376011948.0,255
1115,24814.0,18215,276188076154370,277762176055058.0,255
1115,24855.0,23443,276218076201737,276218376101175.0,255
1115,24814.0,-19976,276264276168339,276264576068671.0,255
1115,24860.0,6560,276263976168970,276297576073022.0,255
1115,24850.0,-29180,276304176153434,277046376011948.0,255
1115,24825.0,-21052,276349176153243,277762176055058.0,255
1115,24824.0,29304,276437976157932,276297576073022.0,255
1115,24841.0,17937,276476976156434,277323276041700.0,255
1115,24841.0,21239,276477276156522,276297576073022.0,255
1115,15874.0,-18582,276487176147492,276902676073996.0,255
1115,24837.0,-21745,276524376169005,277422576021761.0,255
1115,15879.0,-32253,276548976153635,277387465933130.0,255
1115,24854.0,-26707,276557676162540,277603165946963.0,255
1115,24850.0,-20286,276557976162534,276902676073996.0,255
1115,15880.0,-14921,276556776162706,277106076056089.0,255
1115,24825.0,-6260,276556176162553,276905376089894.0,255
1115,15880.0,8972,276555876162550,276524376016804.0,255
1200,15880.0,17251,276556476162779,276556776062673.0,255
1115,24832.0,22055,276555576162642,278639365921994.0,255
1115,24849.0,28175,276557376162633,278335165928660.0,255
1158,15880.0,28557,276555276162602,276905376089894.0,255
1115,24845.0,30890,276557076162665,276557376062629.0,255
1115,24848.0,-31230,276710976162597,276807876097228.0,255
1115,15891.0,-20629,276711876162503,278653165960165.0,255
1115,15891.0,3017,276711276162503,277763076055191.0,255
1139,15891.0,15072,276712176162503,276712476062703.0,255
1115,24851.0,27622,276711576162655,276711876062500.0,255
1115,15891.0,28786,276712476162705,276387576062486.0,255
1115,24855.0,5458,276720576183332,276524376016804.0,255
1115,15892.0,14645,276720276182906,276905376089894.0,255
1115,15893.0,-21328,276740976174864,276741276074118.0,255
1115,24836.0,-20403,276741576174118,276524376016804.0,255
1115,24814.0,2746,276741276174153,277387465933130.0,255
1115,24817.0,29128,276741876174230,277323276041700.0,255
1115,15895.0,-28202,276798876151016,277928065976672.0,255
1115,24841.0,-5848,276800376151013,277088076019619.0,255
1115,15895.0,17240,276799776150880,277564776055062.0,255
1115,24845.0,23245,276799476151208,277106076056089.0,255
1115,24825.0,26573,276799176150866,277509265925291.0,255
1115,15895.0,27352,276800076150953,276807876097228.0,255
1115,24854.0,5825,276806976196150,276807276096189.0,255
1115,15897.0,-14283,276822876152187,276823176052551.0,255
1191,15897.0,25760,276822576151834,276822876052181.0,255
1115,24846.0,31170,276823176152540,276902676073996.0,255
1115,15898.0,30841,276868476141619,278360665954297.0,255
1115,15901.0,-32732,276909276187659,277387465933130.0,255
1115,24855.0,-31611,276954876140117,276387576062486.0,255
1115,15909.0,-24510,277081776148121,277082076065260.0,255
1115,15911.0,-35,277128876154897,276871476076359.0,255
1115,24849.0,841,277148076179705,276466176086601.0,255
1115,15915.0,-19734,277157976189093,277046376011948.0,255
1115,24840.0,-4779,277178976124560,276905376089894.0,255
1115,24837.0,-24267,277187076145019,277187376045221.0,255
1115,24849.0,26376,277259376159006,276297576073022.0,255
1115,24836.0,-3140,277332276164118,277762176055058.0,255
1135,15927.0,-27523,277337376166056,278335465928666.0,255
1115,24841.0,28054,277337676165854,277337976065862.0,255
1115,24832.0,-7493,277391676121506,278335165928660.0,255
1115,15929.0,2753,277391076121504,277422576021761.0,255
1115,24832.0,21820,277391376121576,276387576062486.0,255
1117,1523.0,-5182,276282876130367,277762176055058.0,255
1117,1523.0,14072,276282576198662,276282876030631.0,255
1117,24840.0,-5182,276282876130367,276871476076359.0,255
1117,24845.0,14072,276282576198662,276387576062486.0,255
1117,24824.0,-8505,276287366039246,276524376016804.0,255
1117,190891.0,-1144,276286766039477,277323276041700.0,255
1117,24825.0,-130,276287066039367,276902676073996.0,255
1117,24860.0,-15223,276296066041186,276807876097228.0,255
1117,190893.0,30131,276296366041585,276736165973384.0,255
1117,24825.0,-4004,276390266092267,277088076019619.0,255
1117,190901.0,-24851,276404966110167,277106076056089.0,255
1117,190904.0,-20543,276615266033668,277129176056224.0,255
1117,24814.0,-11877,277169366073121,277169665949699.0,255
1117,24840.0,10616,277169666073139,277169965949673.0,255
1117,24846.0,-4436,277175666078414,277175965954562.0,255
1117,24842.0,8514,277175966077966,276297576073022.0,255
1120,190915.0,-8155,277250966099778,276807876097228.0,255
1117,190915.0,-6685,277251266099845,277175965960291.0,255
1117,190916.0,-30593,277253066093250,276297576073022.0,255
1117,24832.0,26150,277259966063616,276905376089894.0,255
1117,24849.0,-4525,277344566111359,277344865987977.0,255
1117,24849.0,8432,277344866111533,277564776055062.0,255
1117,24832.0,9257,277344266111434,277046376011948.0,255
1117,190922.0,-8230,277352366142999,276466176086601.0,255
1117,24855.0,-10567,277355066046773,278653165960165.0,255
1117,24837.0,12632,277426466084289,277129176056224.0,255
1117,190926.0,12750,277426766083187,276871476076359.0,255
1117,24840.0,28678,277429166061815,276297576073022.0,255
1117,24814.0,-21940,277431566035709,277564776055062.0,255
1117,24848.0,-12641,277432766112414,276807876097228.0,255
1117,24850.0,9062,277511666057220,276209965914102.0,255
1117,24825.0,-28284,277519166115840,276466176086601.0,255
1117,24825.0,-19955,277601066113837,277422576021761.0,255
1117,24842.0,447,277600766113854,276524376016804.0,255
1117,24854.0,-31965,278106866075442,276466176086601.0,255
1117,190939.0,-6721,278111066129102,278111366005712.0,255
