objectid,wsrctgy,nlcsname,nhdrchcd,adminst,createdate,modifydate,coordsrctype,coordsrc_two,deffettype,deffet_two,accuracyft,global_id,wsrsgmntno,createddate,lastediteddate,shape_length
38025,Suitable - Wild,Saltado Creek,14030003000112,CO,2012/04/24 00:00:00+00,2020/06/16 19:44:28+00,NHD,NHD,UNK,NHD Flowline,10,{2F3D38D6-4F2B-4FA8-94A5-85BE2F10D6EF},CO00000074,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,8944.25860688876
38852,Suitable - Scenic,Cottonwood Creek,14020005000133,CO,2012/04/25 00:00:00+00,2017/01/19 17:49:17+00,NHD,NHD,UNK,NHD Flowline,10,{3536EFA0-F2F7-4DEF-9246-14E981D10C1F},CO00000014,2016/05/26 21:51:41+00,2016/06/13 14:38:26+00,31039.0634539466
38896,Suitable - Wild,Potter Creek,14020005000141,CO,2012/04/25 00:00:00+00,2020/06/16 19:43:11+00,NHD,NHD,UNK,NHD Flowline,10,{CE00DC44-C984-43B0-8245-B94E83596150},CO00000065,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,15789.2359246149
39636,Suitable - Wild,Dolores River - McPhee to Bedrock Segment in Tres Rios Field Office,14030002001532,CO,2012/04/17 00:00:00+00,2017/08/15 19:47:14+00,NHD,NHD,UNK,NHD Flowline,10,{D112E261-61D0-47BF-9E72-DCE2DAAA4AEE},CO00000020,2016/05/26 21:51:41+00,2016/06/13 14:38:26+00,35166.2564449398
40437,Suitable - Recreational,Lower Dolores River,14030004000055,CO,2012/04/27 00:00:00+00,2016/11/30 21:08:31+00,NHD,NHD,UNK,NHD Flowline,10,{C0EE1715-6FD8-4BA9-80AC-C6C67112E50C},CO00000057,2016/05/26 21:51:41+00,2016/06/13 14:38:28+00,23904.9725209802
42916,Suitable - Wild,Beaver Creek,11020002000098,CO,2012/05/08 00:00:00+00,2016/12/13 19:27:03+00,UNK,NHD,UNK,NHD Flowline,10,{76AF34ED-6380-4933-9F01-DB37968C0772},CO00000008,2016/05/26 21:51:41+00,2016/06/13 14:38:28+00,3054.21347076671
42922,Suitable - Wild,East Beaver Creek,11020002000353,CO,2012/05/08 00:00:00+00,2016/11/17 20:34:06+00,NHD,NHD,UNK,NHD Flowline,10,{B4C45CE4-8109-4038-AC0B-E62C37156EC5},CO00000028,2016/05/26 21:51:41+00,2016/06/13 14:38:26+00,8919.73806964345
42959,Suitable - Wild,West Beaver Creek,11020002000100,CO,2012/05/08 00:00:00+00,2016/11/17 20:34:08+00,NHD,NHD,UNK,NHD Flowline,10,{1424BCFD-BD37-473E-9DB3-ACA1C0B133EB},CO00000089,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,13282.5711582537
44293,Suitable - Recreational,Arkansas River Segment 1,11020001000243,CO,2012/05/10 00:00:00+00,2016/11/17 20:34:05+00,UNK,NHD,UNK,NHD Flowline,10,{E5EDDD71-2AB4-4EA4-A483-EC7AE79AD96B},CO00000002,2016/05/26 21:51:41+00,2016/06/13 14:38:31+00,58614.3489067217
44295,Suitable - Recreational,Arkansas River Segment 3,11020001000159,CO,2012/05/10 00:00:00+00,2016/11/17 20:34:05+00,NHD,NHD,UNK,NHD Flowline,10,{5459696A-3752-45DF-90C8-716B9FE780EB},CO00000004,2016/05/26 21:51:41+00,2016/06/13 14:38:31+00,76629.6433133837
44331,Suitable - Recreational,Arkansas River Segment 2,11020001000178,CO,2012/05/10 00:00:00+00,2016/11/17 20:34:05+00,UNK,NHD,UNK,NHD Flowline,10,{8FA0B969-9B5A-4D7F-9AAA-6815836CA15F},CO00000003,2016/05/26 21:51:41+00,2016/06/13 14:38:31+00,46659.4555845533
52826,Eligible - Recreational,East Fork Arkansas River,11020001000265,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{5C73C691-E887-470E-A54A-F4B2167B2597},CO00000029,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,5834.54011838539
52829,Eligible - Scenic,East Gulch,11020001000937,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{85807A44-DEAA-4EE3-BA06-F821402818E6},CO00000032,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,7659.28080563401
52830,Eligible - Wild,Cottonwood Creek,11020001000040,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{52EC09A8-4CD6-493B-BD17-FB1E249FB505},CO00000013,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,12256.1528181788
52849,Eligible - Recreational,Fourmile Creek,11020002000147,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{9003BA0C-1EBD-4FB4-830E-ACE44FB30F7C},CO00000041,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,33955.8963144924
52858,Eligible - Recreational,Pass Creek,11020001000399,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:07+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{9A1024B6-7DC9-41D4-A4D1-DF61F90F0E65},CO00000064,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,2460.71477847745
52865,Eligible - Scenic,Grape Creek Segment 1,11020001000477,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{59A2BD90-B7F9-45FB-986C-46409F39ED60},CO00000043,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,8622.1940525783
52887,Eligible - Wild,Little High Creek,11020002000377,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:07+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{6C8E1C56-9B1C-403A-A1F2-CC6B249EC31B},CO00000056,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,2841.90959415359
52891,Eligible - Recreational,Eightmile Creek,11020002000125,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{CB872EA0-2F30-49DF-99BE-A7CC74B87692},CO00000034,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,24339.263763338
52982,Eligible - Wild,Red Creek,11020002000433,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:07+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{17694999-AFC6-4DBA-90F5-4F678D985B81},CO00000066,2016/05/26 21:51:41+00,2016/06/13 14:24:16+00,2515.01208153486
53018,Eligible - Scenic,Falls Gulch,11020001000989,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{35469A44-2509-4B48-A1DB-7D6A753D68D4},CO00000038,2016/05/26 21:51:41+00,2016/06/13 14:24:16+00,220.020389057471
53046,Eligible - Recreational,Grape Creek Segment 3,11020001000447,CO,9999/09/09 00:00:00+00,2016/11/17 20:34:06+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{DFD703F9-4B5C-41D9-AE46-32BE734DBD41},CO00000044,2016/05/26 21:51:41+00,2016/06/13 14:24:16+00,12776.0688764614
53317,Eligible - Recreational,Arkansas River Segment 4,11020001000005,CO,2016/08/30 18:15:52+00,2017/01/24 18:02:15+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{66B5E284-79B1-4EBB-9BDD-AFA196DD046E},CO00000005,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,13051.1599162137
53717,Suitable - Wild,Rio Grande River Segment A,13010002019184,CO,2016/10/20 16:11:45+00,2016/12/01 14:28:59+00,NHD,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{6970B9F8-50B0-40C5-A58B-BFA52521AE6C},CO00000067,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,30758.7992626515
53718,Suitable - Scenic,Rio Grande River Segment B,13010002006916,CO,2016/10/20 16:46:37+00,2021/03/10 22:26:46+00,NHD,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{0AB54C21-6050-4ED2-A455-D4E99F3F043F},CO00000068,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,23054.7581041447
53719,Suitable - Wild,Rio Grande River Segment C,13010002000003,CO,2016/10/20 16:50:22+00,2016/12/01 14:29:22+00,NHD,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{500BE7D5-9AAA-413B-BA55-4A65E74ABFCB},CO00000069,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,12710.6384271704
55338,Suitable - Wild,Beaver Creek,11020002000095,CO,2016/12/13 22:38:48+00,2016/12/13 22:46:37+00,NHD,NHD,UNK,NHD Flowline,10,{264B8BB2-81EB-4850-8F07-917CB9CCBD98},CO00000009,2016/05/26 21:51:41+00,2016/06/13 14:38:26+00,9319.5976337362
55744,Eligible - Recreational,Colorado River Segment 4,14010001000084,CO,2017/01/20 18:46:43+00,2017/01/20 20:33:29+00,NHD,NHD,UNK,NHD Flowline,10,{1459C121-9CFB-4972-ADE1-1A8AECCB9AA6},CO00000094,2016/05/26 21:51:41+00,2016/06/13 14:38:30+00,8577.83946188888
56138,Suitable - Recreational,Animas River,14080104000130,CO,2017/01/24 17:58:15+00,2017/01/24 17:59:01+00,NHD,NHD,UNK,NHD Flowline,10,{3804D2D6-CBA5-47EE-8E71-38F17B6C28E2},CO00000001,2016/05/26 21:51:41+00,2016/06/13 14:38:30+00,43763.8410553645
56140,Eligible - Recreational,Colorado River Segment 5,14010001000084,CO,2017/01/24 18:03:27+00,2017/01/24 18:05:48+00,NHD,NHD,UNK,NHD Flowline,10,{B5D15F16-7739-4557-A2BB-F4B768715710},CO00000010,2016/05/26 21:51:41+00,2016/06/13 14:38:30+00,24531.3734333805
56146,Suitable - Recreational,Mineral Creek,14080104000174,CO,2017/01/24 18:12:23+00,2017/01/24 18:12:53+00,NHD,NHD,UNK,NHD Flowline,10,{85132E43-78D8-41CC-8C11-B052AD42A999},CO00000059,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,13492.813207736
56148,Suitable - Wild,Monitor Creek,14020005000142,CO,2017/01/24 21:37:17+00,2020/06/16 19:43:11+00,UNK,NHD,UNK,NHD Flowline,10,{8D5C3F0B-4441-496C-B8CB-09CF74AEDA98},CO00000060,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,15197.4200425782
56150,Suitable - Wild,Roubideau Creek Segment 1,14020005000153,CO,2017/01/24 21:38:55+00,2020/06/16 19:43:11+00,UNK,NHD,UNK,NHD Flowline,10,{BAE1F042-9327-418B-B4B4-37A20E7639E8},CO00000071,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,17332.5762661122
56152,Suitable - Recreational,San Miguel River Segment 1,14030003000094,CO,2017/01/24 21:41:01+00,2020/06/16 19:44:08+00,NHD,NHD,UNK,NHD Flowline,10,{9AD7F308-0468-471E-B33A-31F5500519C0},CO00000075,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,43687.4498452755
56162,Eligible - Wild,Grape Creek Segment 2,11020001000476,CO,2017/01/24 21:46:15+00,2017/01/24 21:47:38+00,GIS,NAD 83 UTM Zone 13 N,OTH,NHD Flowline,10,{624FEAD0-BA98-40B1-A36B-0E2C125C916F},CO00000045,2016/05/26 21:51:41+00,2016/06/13 14:24:15+00,22781.583277329
56168,Eligible - Recreational,Colorado River Segment 6,14010001002640,CO,2017/01/24 21:49:33+00,2017/01/24 21:50:04+00,NHD,NHD,UNK,NHD Flowline,10,{A4F479A1-FC99-4097-A3D9-795DA502CB34},CO00000011,2016/05/26 21:51:41+00,2016/06/13 14:38:31+00,72861.6947075768
56170,Suitable - Scenic,Dolores River - McPhee to Bedrock Segment in Tres Rios Field Office,14030002000101,CO,2017/01/24 21:50:46+00,2017/08/14 14:23:14+00,NHD,NHD,UNK,NHD Flowline,10,{220D495C-EAA4-4859-A7DB-3C410F49FACD},CO00000023,2016/05/26 21:51:41+00,2016/06/13 14:38:25+00,37128.4548688066
56173,Suitable - Wild,Dolores River - McPhee to Bedrock Segment in Tres Rios Field Office,14030002000108,CO,2017/01/24 21:52:16+00,2017/08/14 14:23:21+00,NHD,NHD,UNK,NHD Flowline,10,{E43649B5-03A8-4DF3-8486-B62FE3530457},CO00000019,2016/05/26 21:51:41+00,2016/06/13 14:38:27+00,28870.1042437956
56175,Suitable - Recreational,Dolores River - McPhee to Bedrock Segment in Tres Rios Field Office,14030002000067,CO,2017/01/24 21:53:06+00,2017/08/14 14:23:32+00,NHD,NHD,UNK,NHD Flowline,10,{3D469CA4-12A3-4D5B-A1A5-DE4105282441},CO00000021,2016/05/26 21:51:41+00,2016/06/13 14:38:26+00,33498.8373403354
56176,Suitable - Wild,Dolores River - McPhee to Bedrock Segment in Uncompahgre Field Office,14030002000038,CO,2017/08/14 14:02:41+00,2020/06/16 22:38:07+00,NHD,NHD,UNK,NHD Flowline,10,{779529AE-F6B4-4455-8BB5-DE035B6015E4},CO00000095,2016/05/26 21:51:41+00,2016/06/13 14:38:26+00,13941.5065694621
56177,Eligible - Recreational,Colorado River Segment 7,14010001000003,CO,2020/06/03 18:01:20+00,2020/06/03 18:01:20+00,NHD,NHD,UNK,NHD Flowline,10,{B429BE67-0D16-469D-BB2A-0C7F302A5C8B},CO00000012,2016/05/26 21:51:41+00,2016/06/13 14:38:25+00,25215.309332403
56178,Suitable - Scenic,Lower Dolores River,14030004000065,CO,2020/06/16 22:36:16+00,2020/06/16 22:36:31+00,UNK,NHD,UNK,NHD Flowline,10,{735F84BC-CE87-42B1-B5D3-AC3FC2B88195},CO00000058,2016/05/26 21:51:41+00,2016/06/13 14:38:30+00,6722.83423518017
56180,Suitable - Recreational,Dolores River Segment 2,14030002000003,CO,2020/06/16 22:35:33+00,2020/06/16 22:35:44+00,UNK,NHD,UNK,NHD Flowline,10,{E5195F21-9645-419A-A5AB-6A800D2BE370},CO00000025,2016/05/26 21:51:41+00,2016/06/13 14:38:31+00,8411.35192356902
