OBJECTID,CYCLE,ID305B,WATER_NAME,LOCATION,WATER_SIZE,SIZE_UNIT,WATER_TYPE,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,CLASS_ID,CLASS_NAME,Aquatic_Life_Attainment_Code,Aquatic_Life_Attainment,Recreation_Attainment_Code,Recreation_Attainment,Fish_Consumptin_Attainment_Code,Fish_Consumption_Attainment,Shellfish_Description,Shellfish_Attainment_Code,Shellfish_Attainment,Impaired,SHAPE_Length,SHAPE_Area
11,2018,CT-C1_009-SB,"LIS CB Inner - Inner Branford Harbor, Branford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Branford Point, US to SA/SB water quality line at RR crossing above Route 146 crossing, Branford.",0.314,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,48802.7672828632,8756572.60549157
12,2018,CT-C1_018-SB,"LIS CB Inner - Milford Harbor & Gulf Pond, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Burns Point, The Gulf, US Milford Harbor to New Haven Avenue crossing (saltwater limit), and US Indian River (through Gulf Pond) to saltwater limit US of I95 crossing, Milford.",0.272,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,57721.0406811826,7585004.57051666
13,2018,CT-W1_007,"LIS WB Inner - Sasco Brook, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth DS of Pequot Avenue crossing, US to saltwater limit at Route 1 crossing, Westport/Fairfield.",0.022,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,I,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,17920.6845387681,607017.854141229
14,2018,CT-W1_006,"LIS WB Inner - Mill River, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Harbor Road crossing, US to saltwater limit at Sturges Road crossing (includes Mill Pond section of Mill River), Fairfield.",0.033,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,N,NOT SUPPORTING,N,NOT SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,12504.3614815708,913136.136813695
15,2018,CT-W1_010-SB,"LIS WB Inner - Saugatuck River (mouth), Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Saugatuck River Estuary (at Bluff Point across to Owenoke), US to RR crossing, DS of I95 crossing (includes Kitts Island, Burritt Cove), Westport.",0.645,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,40307.273199612,17969699.0227031
16,2018,CT-W1_014-SB,"LIS WB Inner - Fivemile River (mouth), Norwalk","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Butlers Island to Roton Point), US to saltwater limit at Cudlipp Street Crossing (Route 136), Norwalk.",0.164,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,No,24288.2450545868,4578225.93515677
17,2018,CT-W1_017-SB,"LIS WB Inner - Stamford Harbor (mouth), Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Harbor (Davenport Point to Shippan Point), up to Cook Road and across to Yacht Club, Stamford.",0.436,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,F,FULLY SUPPORTING,No,16857.7380421662,12142072.6694931
18,2018,CT-W1_021-SB,"LIS WB Inner - Greenwich Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth of Greenwich Harbor (Round Island to Smith Cove), US to saltwater limit just below I95 (mouth of Horseneck Brook), Greenwich.",0.104,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,13565.6756802289,2886952.34577173
19,2018,CT-E1_001-SB,"LIS EB Inner - Pawcatuck River (01), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from Stanton Weir Point US to Saltwater limit, parallel to RR and Mechanic Street, Clarks Village, (Stonington).",0.103,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,18240.6604460157,2860400.67157374
20,2018,CT-E1_002-SB,"LIS EB Inner - Pawcatuck River (02), Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary in Pawcatuck River from mouth at Pawcatuck Point, US to Stanton Weir Point.",0.313,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,F,FULLY SUPPORTING,Yes,34675.4515805169,8720442.76308569
21,2018,CT-E1_005,"LIS EB Inner - Inner Stonington Harbor, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Stonington Harbor from SB/SA water quality boundary at RR crossing, US to Saltwater limit near Route 1 crossing, Stonington.",0.226,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,26569.7945215565,6302944.70794886
22,2018,CT-E1_025-SB,"LIS EB Inner - Black Hall River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Black Hall River from outlet southest of Great Island, US to Route 156 crossing, Old Lyme.",0.115,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,No,23211.7382205628,3219051.4642989
23,2018,CT-W1_004,"LIS WB Inner - Pine Creek, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Pine Creek Point, US to saltwater limit at Oldfield Road crossing, Fairfield.",0.06,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,32505.3262816607,1675498.77688769
24,2018,CT-C2_002,"LIS CB Shore - Westbrook Harbor (West), Westbrook","See Map for Boundaries.  Central portion of LIS from Portside Drive near Patchogue River outlet to Fiske Lane (includes Westbrook Town Beach), out approximately 1000 ft offshore, Westbrook.",0.231,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,14980.2404509242,6430481.45745087
25,2018,CT-C2_003,"LIS CB Shore - Clinton Beach, Clinton","See Map for Boundaries.  Central portion of LIS from Kelsey Point to Grove Beach Point area (to Portside Drive, includes Patchogue River outlet), out approximately 1000 ft offshore, Clinton/Westbrook.",0.516,SQUARE MILES,ESTUARY,Central,Shore,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,32526.4247364012,14379845.9508928
26,2018,CT-C2_022-SB,"LIS CB Shore - The Gulf, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Western end of Silver Sands State Park Beach to SA/SB WQ line at Welches Point area (includes Silver Sands and Gulf Beaches) all SB water in The Gulf out to Charles Island, Milford.",0.593,SQUARE MILES,ESTUARY,Central,Shore,False,True,52,Coastal and Marine Surface Waters Class SB,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,F,FULLY SUPPORTING,No,28336.8415486107,16544648.7813266
27,2018,CT-W2_013,"LIS WB Shore - Outer Norwalk Harbor(West), Norwalk","See Map for Boundaries.  Western portion of LIS from just west of Hoyt Island to midpoint of outer Norwalk Harbor (includes Hickory Bluff Beach, Hoyt Island, Keyser Point) out approximately 1000 ft offshore, Norwalk.",0.365,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,35295.4720114574,10186500.1933295
28,2018,CT-C2_005,"LIS CB Shore - Hammonasset Beach, Madison","See Map for Boundaries.  Central portion of LIS from Webster Point to West Rock area (includes Hammonasset State Park Beach), out approximately 1000 ft offshore, Madison.",0.583,SQUARE MILES,ESTUARY,Central,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,45849.5071753142,16260349.2561152
29,2018,CT-E3_001,LIS EB Midshore - Stonington,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore (Little Narragansett Bay), out to CT/NY State line.",0.585,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,20298.6332629908,16306493.5964242
30,2018,CT-E2_001,"LIS EB Shore - Wequetequock Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS from RR crossing on east side of Wequetequock cove to mouth of Pawcatuck River, out approximately 1000 ft offshore (Little Narragansett Bay).",0.619,SQUARE MILES,ESTUARY,Eastern,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,59702.8831910893,17264977.8424755
31,2018,CT-W2_010,"LIS WB Shore - Compo Beach, Cedar Point, Westport","See Map for Boundaries.  Western portion of LIS from Saugatuck Shores area to Compo Cove (includes Compo Beach, Cedar Point, Saugatuck River outlet, Owenoke) out approximately 1000 ft offshore, Westport.",0.419,SQUARE MILES,ESTUARY,Western,Shore,False,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,F,FULLY SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,25238.8473509162,11674163.2915251
32,2018,CT-W3_006,"LIS WB Midshore - Sherwood Point, Westport","See Map for Boundaries.  Western portion of LIS from approximately 1000 ft offshore (Saugatuck River mouth, Compo Cove, Sherwood Island Sate Park area), out to 50 ft contour, Westport.",9.69,SQUARE MILES,ESTUARY,Western,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,75378.0956925817,270138236.835778
33,2018,CT-C1_017,"LIS CB Inner - Oyster River, Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at Oyster River Beach (just DS of New Haven Avenue crossing), US to saltwater limit near Woodmont Road, Milford.",0.012,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,Yes,13934.9533915806,345488.811060252
34,2018,CT-C1_016,"LIS CB Inner - Cove River, West Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at West Haven West Beach (just DS of Ocean Avenue crossing), US to saltwater limit near Riverview Terrace, West Haven.",0.008,SQUARE MILES,ESTUARY,Central,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,Yes,8911.65684078344,227221.790537857
35,2018,CT-E1_012,"LIS EB Inner - Poquonuck River (Mouth), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Poquonuck River from mouth at Baker Cove (along East of Groton-New London Airport), US to saltwater limit just US of RR crossing, Groton.",0.367,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,41045.3933202502,10219890.0639634
36,2018,CT-E1_013,"LIS EB Inner - Baker Cove, Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Baker cove from Avery Point and tip of Pine Island, to mouth of Poquonuck River (South of Groton-New London Airport), Groton.",0.314,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,True,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,28487.1170411747,8764590.71257235
37,2018,CT-E1_015-SB,"LIS EB Inner - Thames River (middle), Ledyard","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from I95 crossing, US to just below outlet of Poquetanuck Cove (near Walden Island), and adjacent to Route 12 at Cardinal Lane intersection, Ledyard.",3.316,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,165470.097581137,92442236.0257599
38,2018,CT-E1_020,"LIS EB Inner - Niantic River (mouth), Niantic","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Niantic River (Inner Niantic Bay) from outlet at Route 156 and RR crossing, US to saltwater limit in Banning Cove (between Route 1 crossing and I95/I395), East Lyme/Waterford.",1.305,SQUARE MILES,ESTUARY,Eastern,Inner Estuary,False,True,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,68748.1940410612,36368783.0805891
39,2018,CT-C1_019-SB,"LIS CB Inner - Housatonic River (mouth), Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth between Sniffens Point and Milford Point, US to Route 1 crossing (includes Nells Island area, lower Beaver Brook to saltwater limit, Goose Island, Crimbo Point), Milford/Stratford.",0.805,SQUARE MILES,ESTUARY,Central,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,160562.942934892,22445868.1449313
40,2018,CT-C3_016,LIS CB Midshore - West Haven,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, West Haven.",6.121,SQUARE MILES,ESTUARY,Central,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,58735.5333781603,170639628.623612
41,2018,CT-E3_010,LIS EB Midshore - Old Saybrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Guardhous Point, to SB/SA water quality boundary, Old Saybrook (Mouth of Connecticut River), out to 50 ft contour.",4.409,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,46023.1439721937,122902676.142884
42,2018,CT-E3_008,"LIS EB Midshore - Old Lyme, CT River","See Map for Boundaries.  Eastern portion of LIS from SB/SA water quality boundary near CT River mouth to approximately 1000 ft offshore Hatchett Point, Old Lyme, out to 50 ft contour (offshore of Connecticut River).",3.517,SQUARE MILES,ESTUARY,Eastern,Midshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,47590.3354094752,98059104.4931676
43,2018,CT-W1_011,"LIS WB Inner - Saugatuck River, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at RR crossing (DS of I95 crossing), US to saltwater limit at Hydraulic Pond outlet Dam, Westport.",0.189,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,X,UNASSESSED,No,36982.8585532212,5261207.77923258
44,2018,CT-W2_024,"LIS WB Shore - Byram Harbor, Greenwich","See Map for Boundaries.  Western portion of LIS from just west of Shore Island to Field Point (includes Shore Island, Rich Island, Farwells Island, Game Cock Island, Byram Harbor) out approximately 1000 ft offshore, Greenwich.",0.34,SQUARE MILES,ESTUARY,Western,Shore,True,True,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,N,NOT SUPPORTING,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,28337.3321484333,9466636.36527024
45,2018,CT-E4_003,LIS EB Offhsore - Old Lyme,See Map for Boundaries.  Eastern portion of LIS from 50ft contour to CT/NY State line.,11.837,SQUARE MILES,ESTUARY,Eastern,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Not Evaluated,,Natural Conditions Not Viable,No,80234.8098044702,330006876.621942
46,2018,CT-E4_004,LIS EB Offshore - Old Saybrook,See Map for Boundaries.  Eastern portion of LIS from 50ft contour to CT/NY State line.,9.44,SQUARE MILES,ESTUARY,Eastern,Offshore,False,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Not Evaluated,,Natural Conditions Not Viable,No,74588.3286828901,263184372.445871
47,2018,CT-C3_007,"LIS CB Midshore - Sachem Head Harbor, Guilford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Sachem Head), out to 50 ft contour, Guilford.",7.089,SQUARE MILES,ESTUARY,Central,Midshore,True,False,51,Coastal and Marine Surface Waters Class SA,F,FULLY SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,F,FULLY SUPPORTING,No,65504.9847170054,197621763.160976
48,2018,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries.  Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",0.43,SQUARE MILES,ESTUARY,Western,Shore,True,False,51,Coastal and Marine Surface Waters Class SA,X,UNASSESSED,X,UNASSESSED,F,FULLY SUPPORTING,Shellfish Harvesting for Direct Consumption Where Authorized,N,NOT SUPPORTING,Yes,52718.8457352264,11976498.4582671
49,2018,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Creek, all SB water of Harbor area), Bridgeport.",1.434,SQUARE MILES,ESTUARY,Western,Inner Estuary,False,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,N,NOT SUPPORTING,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,N,NOT SUPPORTING,Yes,199178.427272333,39982017.9477789
50,2018,CT-W1_018-SB,"LIS WB Inner - Stamford Harbor (Inner), Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",0.318,SQUARE MILES,ESTUARY,Western,Inner Estuary,True,False,52,Coastal and Marine Surface Waters Class SB,N,NOT SUPPORTING,X,UNASSESSED,F,FULLY SUPPORTING,Commercial Shellfish Harvesting Where Authorized,X,UNASSESSED,Yes,49916.2431344272,8865824.75693325
