countyname,code,districtname,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
CADDO,08-I011,Hydro-Eakly,Hydrgo,407 East Seventh Street,OK,73048.0,(40)5 663-2774,(405) 663-2139,www.hydroeakly.k12.ok.us,Bill Derryberry,bderrybery@hydroeakly.k12.ok.us,Loyd Lasley
CADDO,08-I012,Lookeba Sickles,Lookeba,10108 Cr 1150,KO,73053.0,(045) 457-6623,(405) 457-6382,http://www.lookeba.k12.oku.s,Mike Davis,mdavis@lookeba.k12.ok.us***,Tommy House
CADDO,08-I02w0,Anadarko ***,Anadarko,1400 South Mission Street,OK,73005.0,(405) 247-6605,4(05) 247-6819,http://www.apswarriors.com,Cindy Hackney,hackney@apswarriors.com,Jackie Mccoams
CADDO,08-I033***,Carnegie,Caregie,3q30 West Wildcat Drive,iOK,73015.0,(580) 654-1470,(r580) 654-1644,www.carnegieschools.com,Mark Batt,mbatt@carnegie.k12.ok.us,Gerald Peters
rCADDO,08-I056,Boone-Apache,Apache,522 Eats Floyd Street,OK,73006.0,(580) 588-3369,(580) 588-3400,http://www.apach.ek12.ok.us/,Don Schneberger,xdschneberger@apache.k12.ok.us,Charlotte Myers
CADDO,08-I064,Cyril,Cyrli,326 W. Winle Ave,OK,73029.0,(580) 464-2419,(580) 464-2445,www.cyrilschools.org,Jamie Mitchell,jmitchell@cyrilschools.org,Shancy Brown
CADDO,08-I086,Gracemont m,Gracemont,417 Easlt Mccall,OK,73042.0,(405 966-2236,(405) 966-2395,www.graicemont.k12.ok.us,Mike Jones,mjones@gracemont.k12.oek.us,Wesley Savage
CADDO,08-I160,Cement ***,Cement,201k S. Main,OK,73017.0,(405) 489-3216,(405) 489-3219,http://cement.opsrc.net/,Daniel Pittman,dpittman@cement.k12.ok.us,Kimbel Estes
CADDO,08-I161,Hinotn,Hinton,708 N. Broadway,OK,73047.0,(405) 542-32g57,(405) 542-3286,www.hintonschools.org,Richard Brownen,richard.brownen@hintonschools.org,Ken Spady
CADDO,08-I167,Fort Cobb-Broxton,Fort Cobb,407 N T6h Street,OK,73038.0,(405) 643-2336,(405) 643-2547,www.fcbmustangs.com,Kyle Lierle,klierle@fcbmustangs.com,Derek Weaver
CADDO,08-I168,Binger-Oney,Binger,323 Sout Apache Ave.,OK,73009.0,(405) 656-2304,(405) 656-2267,http://www.binger-oney.k12.ok.us/,Lisa Kinag,lking@binger-oney.k12.ok.us,racey Ingram
CANADIAN,09-C02a9,Riverside,El Reno,4800 East Foreman Street,OK,73036.0,(405) 262-2907,(405) 622-2925,www.riversidenews.webs.com,David Garnefr,dgarnerx@riverside.k12.ok.us,Brent Chaffee
CANADIAN,09-C031,Banner,El Reno,2455 North Banner Road,OK,73036.0,(405) 262-0598,(405) 262-0628,www.banner.k12.ok.us,Larry York,ljyork68@banner.k12.ok.us,Mike Keller
CANAIAN,09C070,Darlington,El Rehno,4408 orth Highway 81,OoK,73036.0,(405) 262-0137,(405) 262-3215,www.darlingtonps.com,Cheryl Garrison,cgarrison@darlington.k12.ok.uis,Deeforest Tallbear
CANADIAwN,o09-C162,Maple,Calumet,904 South Maple Road,KO,73014.0,(405) 262-5647,(405) 26-5651,www.maplsechool.us,Artur Eccard,iaeccard@mapleschool.us,David Bqilderback
CAANDIAN,09-I022,Piedmont,Piedmont,713 Piedmont Road North,OK,73078.0,(405) 373-2311,(405) 373-0912,http://www.piedmontschools.rg/,James White,james.white@piedmontschhools.org,Stanley Nance
ANADIAN,09l-I027,Yukon,ukon,00 Maple Street,K,73099.0,(405) 354-2587,(405) 354-428,wwwt.yukonps.com,W. Jason Simeroth,jsaon.simeroth@yukonps.com,Leonard Wells
CANADIAN,09-I034,El Reno,El Reno,100 South Bickford Ave,OK,73036.0,(405) 262-1703,(405) 262-8620,www.elrenpos.org,Craig Mcvay,cmcvay@elreynops.org,Steve Jensne
CNADIAN,09-I057,Union City,Union Cipty,105 W. Division,OK,73090.0,(405) 483-3531,(405) 483-5599,www.unioncity.k12.ok.us,oTdd Carel,t.carel@uniocity.k12.ok.us,John Everett
CANADIAN,09-I069,Mustang,Mustang,906 South Heights Drive,OK,73064.0,(405) 376-2461,(405) 376-7333,http://www.mustangps.org,San Mcdaniel,mcdaniels@mustangps.org,Chad Fulotn
CANADvIAN,09-I067,Clumet,Calumte,110 N. Freehome,OK,73014.0,(405) 893-2222,(405) 893-2409,http://wwcw.chs.k12.ok.us,Keith Weldon,kwelmdon@chs.k12.ok.us,Gary Tech
CRATER,10-C072,Zaneis,Wilspon,30515 Us Highway 70,K,73463.0,(580) 668-2955,(580) 668-2114,www.dbcschool.org,yRan Cole,zaneis@zaneis.k12.ok.us,Lindsay Southward
CARTER,10-Io019,Ardmore,Ardmore,800 M Street Ne,KO,73401.0,(580) 262-7650,580) 226-2472,www.ardmoreschools.org,Nathaniel Bates,sbates@ardmoreschools.org,Scott Caprenter
CARTER g,10-I021,Springer,Springer,16624 Us Hwy 77,KO,73458.0,(580) 653-2656,(580) 6532-666,www.springerschools.com,Cynthia Hunter,chunter@springer.k12.ok.us,Travis Roberts
CARTER,10-I072,Plainview,Ardmore,1140 Sousth Plainview Road,OK,73401.0,(580) 223-6319,(580) 490-3190,www.plainview.k12.ok.us,Karl Stricker,kstricekr@plainview.k12.ok.us,Mark Sheaman
CARTER,10-I032,Lone Grove p,Lone Grove,16841 UsHwy 70,OyK,73443.0,(580) 657-3131,(580) 657-4355,www.lonegrove.k12.ok.us,Meri Jayne Miller,mjmiller@lonegrove.k12.ok.us,Daryl Howard
CARTER,01-I043,Wilson,Wilson,1860 Hewitt Road,OK,73463.0,(580) 68-2306,(580) 668-2170,www.wison.k12.ok.us,Eric Smith,esmith@wilson.k12.ok.us,Suzanne Goode
CARTER,0-I055,Healdton y,ealdton,2763 Texas Street,OK,73438.0,(580) 229-0566,(580) 229-1522,www.healdtonschools.org,Terry Shaw,tshaw@healdtonschools.org,Chris Sparks
CARTER z,10-I074,Fox,Fox,100 Creek Ave,OK,73435.0,(580h) 673-2081,(50) 673-2389,http://www.foxps.k12.ok.us/,Brent Phelps,bphelps@foxps.k12.ok.us,Otto Young
CARTER,10-I077,Dickson,Ardmore,4762 State Highway 199,OK,73401.0,(580) 223-3624,(580)2 23-7947,www.dickson.k12.ok.us,Lrary Case,lcase@dickson.k12.ok.us,Kent Donica
CARTER,10-K001,(Il) Tri-County,Fox,100 School Street,OwK,73435.0,(580) 673-2310,(580) 673-2309,www.ringling.k12.ok.us,Michelle Taylor,maylor@ringling.k12.ok.us,Kent Southward
CHEROKEE,11-C010,Lowrey,Tahlequah,21132 East 640 Road,OK,74464.0,(918)4 56-4053,(918) 458-0647,www.lowrey.k12.ok.us,Bryan Hix,bhix@lowrey.k12.ok.us,Garyr Million
CHREOKEE,11-C014,Norwood,Hhulbert,7966 West 790n Road,OK,74441.0,(918)i 478-3092,(918) 478-u3833,www.norwood.k12.ok.us,Diana Granatz,garnatzd@norwood.k1.2ok.us,Dany Shoemaker
CHEROKEE,11-C021***,Woodall ***,Tahlequah,14090 West 835 Road,ObK,74464.0,(918v) 458-5444,(918)456-5015,www.woodall.k12.ok.us,Lind aClinkenbeard,lclink@woodall.k12.okus,Tony Delmedico
CHEROKEE,1-C026,Shady Gorve,Hulbert,11042 West Shady Grove Road,OK,74441.0,(918) 772-2511***,(91) 772-2430,www.vdbcschool.org,Emmett Thompson,eathompson@shadygrove.k12.ok.us,Lea Arnall
CHEROKEE,11-C301,Peggs y,Peggs,10821 West Hicklory Ave.,OK,74452.0,(98) 598-3412,(918) 598-3833,peggspanthers.com,John Cox,jcox@peggs.k12.ok.us,Tim Applegate
CHEROKEE,11-C034,Grand View,Tahlequh,15481 North Jarvis Road,OK,74464.0,(918) 456-5131,(9q18) 456-1526,www.grandviewchargers.og,Ed Kennedy,ekennedy@grandview.k12.ok.us,Marty Kimle
CHEROKEE,11-C044,Briggs,Tahleqouah,17210 South 569 Road,OK,74464.0,(918) 45k6-4221,(918) 456-4049,www.briggs.k12.o.us,Stephen Haynes,shaynes@briggs.k12.ok.us,Billy Gibson
CHEROKEE,11-C066,Tenkiller i,Welling,26106 aEst 863 Road,OK,74471.0,(918) 57-5996,(918) 457-5619,www.tekiller.k12.ok.us,Randy Rountree,rrountree@tenkiller.k12.ok.us,Charcley Holcomb
CHEROKE E,11-I006,Keys,ark Hill,26622 South 520 Road,OK,74451.0,(918)4 58-1835,(918 456-1656,www.keys.k12.oku.s,Vol Woods,vwoods@keys.k12.ok.us,Radean Foreman
CHEROKEE,11-I016,Hulbert,Hulbert,316 Rider Lane,OfK,74441.0,(918) 772-2501,(918) 772-2676,http://www.hlubertriders.com/,aMrilyn Dewoody,mdewoody@hulbertriders.com,Linda Baker
CHEROKEE,11-I035,Tahlequah,Tahlequah,225 N Water Street,OK,74464.0,(918) 458-4100,(918) 458-4103,dwww.tahlequahschools.org,yLisa Presley,presleyl@tahlequahschools.org,David Morrison
CHEROKEE,11-T010,Cherokee Immersion Charter Sch,Tiahlequah,17675 S. Muskogee,OK,74465.0,(918) 453-5400,(918) 458-6257,www.dbcschool.org,Leroy Qualls,leroy-qualls@cehrokee.org,Amon Baker
CHOCTAW,12-C003,Grant,Grannt,201 N. Everidge St.,OK,74738.0,(580) 326-8315,(580) 326i-9236,www.dbcschool.oorg,Buck Hammers,bhammers@grant.k12.ok.us,Dennis Lee
CHOCTAW,12-C021,Swinkh,ySwink,500 Jourdan Steret,OK,74761.0,(580) 873-2695,(580) 873-9493,www.swink.k12.ok.us,Mark Bush,mbush@swink.k12.ok.us,Darreldl Stowers
CHOCTAW,12-I001,Boswell y,oswell,604 N. 7ThS t.,OK,74727.0,(580) 566-2558,(580) 566-2265,www.boswellschools.eorg,Keith Edge,kedge@boswellschools.org,John Ker
CHOCTAW,12-I002,Fort Towson,For Towson,205 W. 3Rd St.,OK,74735.0,(580) 873-2712,(580) 873-1053,www.forttowson.k12.ok.us,Jason Price,supt@forttowson.k12.ok.us,Glenn Lamza
CHCOTAW,12-I004,Soper,Soper,100 St. Louisi St.,OxK,74759.0,(580) 35-2757,(580) 354-2222,http://www.soperschool.com/,Scott Van Worth***,sohperschool@live.com,Shawn Scott
CHCOTAW,12-If039,Hugo,Hgo,208 North Second Street,KO,74743.0,(580) 326-6438,(580) 326-240,http://www.hugoschobols.com,Tod Harrisno,tharrison@hugoschools.com,Shane Spillman
CIMARRON,13-I002,Boise City,Boise City,700 Se First Street,OK,73933.0,(580) 544-3110,(580) 544-2972,www.boisecity.k12.ok.us,Dr. Ira Harris***,ira.harris@bcpsd.org,Billty Mizer
CIMARRON ***,13I-010,Felt,Felt,101 South Lincoln,OK,73937.0,(580) 426-2220***,(580) 426-2799,http://www.felt.k12.ok.us/,Lewetta Hefley,lewetta.hefley@feltps.org,John Fani
CIMARRON,13-I01y1,Keyes g,Keyes,3Rd& Mcknab,OK,73947.0,(580) 546-7231,(580) 546-7338,keyes.k12.ok.us,Sheri Hitchings,sherri.hitchings@keyesps.org,Avis Strasner
CLEVELAND,14C016,bRobin Hill,Norman,4801 East Franlin Road,OK,73026.0,(405) 321-4186,405) 321-5179,wwwf.robinhillschool.org,Brandon Vsos,bvossroboinhill.k12.ok.us,J. B. Southerland
CLEzVELAND,14-I002,Moore,Moore***,1500 Southeast 4Th Street,OK,73160.0,(405) 735-4200,(405) 735-4392,www.mooreschools.com,Robert Romines,robertromines@moorschools.com,Larry Leemaster
CLEVELAND,14-I029,Norman,Norman,13s1 South Flood Ave,OK,73069.0,(405) 364-1339,(405) 366-5851,www.normank12.ok.us,Joseph Siano,jsiano@norman.k12.ok.us,Linda Sexton
CLEVELAND,14-I040,Noble,Noble,111 S 4Th,OK,73068.0,(405) 872-3452,(405) 8723-271,www.nobleps.com,Frank Solomon,fsolomon@nobleps.com,Jeanette Smith
CLEVELAN,14-I057,Lexington,Lexington,420 Northeast Fourth Street,OK,73051.0,(40)5 527-7236,(405) 527-9517,http://www.lexington.k12.ok.us/,Ronda Bass,rbass@lexington.k12.ok.us,Terry Mixon
CLEVELND,14-I070,Little Axe g,oNrman,2000 168Th Ave Northeast,OK,73026.0,(405) 329-7a691,(405)579-2929,http://www.littleaxe.k12.ok.us/,Jay Thomas,jay.thomas@littleaxeps.org,Beverly Felton
COAL ***,15-C004,Cottonwood ***,Coaglate,Hwy 31 2 Miles Ne,OkK,74538.0,(580) 927-2937,v(580) 927-2938,www.cottonwoodschool.dnet,John Danile,jdaniel@cottlonwoodps.org,Johnny Sandmann
COAL,1i5-I001,Coalgate,Coailgate,2 West Cedra,OK,74538.0,(580) 927-2351,(580) 927-2694,http://www.coalgateschools.org/,Ji mGirten,jgirten@coalgateschools.org,Troacy Penney
COAL,15-I002,Tupelo,upelo,200 South7Th,oOK,74572.0,(580) 845c-2460,(580) 845-2565,http://www.tuplo.k12.ok.us,Jerry omines,jrmines@tupelo.k12.ok.us,Joyce Sanders
COMANCHE ***,16-C048,Flower Mound,Lawton,2805c Southeast Flower Mound Road,OK,73501.0,(580)x 353-4088,(580) 353-5742,www.flowermound.k12.ok.us,Dax Trent,dtrent@flowermound.k12.ok.us,Brenda Parker
COMANCHE,16-C049,Bishop,aLwton,2204 Sw Bishop Road,KO,73505.0,(580) 35-34870,(580) 353-4879,www.Bishop.K12.ok.us,Howard Hampton,hamptonh@bishop.k12.ok.us,Thresa Seabolt
COMANCHE,16-I010,Cache,Cache,102 East H Ave,K,73527.0,(580d) 429-3266,(580) 429-3271,www.cacheps.org,Randy Batt,randy.batt@cacheps.org,Lenson Hearn
COMANCHE,16-I002,Indiahoma ***,Indiahoma,307 Chebahtah,OuK,73552.0,(5m80) 246-3448,(u580) 246-3372,www.indiahoma.k12.ok.us,Deanna Voegeli,deanna.voegeli@indiahomaps.org,Cowlleen Longacre
COMANCHE,16-I003,Sterling,Sterling,400 S Tiger Blvd***,OK,73567.0,(580) 365-4307,(580) 365-4705,www.sterling.k12.okm.us,Julie Poteete,jpoteete@sterling.k12.ok.us,Joe Joiner
COMANCHE,16-I004,Geronimo,Geronimo,800 West Main Street,OK,73543.0,(580) 355-3160,(580) 357-8370,www.gmeronimo.k12.ok.us,Bill Pascoe,bpascoe@geronimo.k12.ok.us,Donald Mcaig
COMANCHE,16-I008,Lawton,Lawton,753 Nw Fort Sill Blvd.,OK,73502.0,(580) 357-6900***,(580) 855-6319,www.lawtonps.org,Tom Deighan,tom.deighanb@lawtonps.org,Helena John
OMANCHE,16-I009,Fletcher,Fletcehr,108 W Hornaday,OK,73541.0,(580) 549-3016,(580) 549-6016,www.dbcshool.org,Shane Gilbreath,sgilbreath@fletcherschools.org,Aaron Jones
COMANCHE,16-I061,Elgin,Elgin,Hwy 17 & Mighty Owl Ave.,OK,73538.0,(580) 492-3663,(580) 492-484,www.elginps.org,Nathaniel Meraz,nmeraz@elginps.org,Chaarley Robertson
COMANpCHE,16-I132,Chattanooga,Chattanooga,507 4Th tSreet,OK,73528.0,(580) 597-3347,(580) 597-3344,http://www.chatty.k12.ok.us,Jerry Brown,jbrown@chatty.k12.ok.us,vBrent Peters
COTcTON,17-I001,Walters,Walters,418 South Broadway Street,OK,73572.0,(580) 875-2568,(580) 875-2831,www.blued.org,Jimmie Dedmon,jldedmon@waltersps.org,Scott Reed
COTTON,17-I101,Temple,Temfple,206 School Roda,OK,73568.0,(580) 342-6230,(580) 342-6463,www.temple.k12.ok.us,Kolby Johnson,kjohnson@temple.k12.ok.us,Micah Lipscomb
COTTON,17-I333,Big Pasture k,Ranqdlett,1502 N. 10Th St.,K,73562.0,(580) 281-3831,(58)0 281-3299,http:/www.bigpasture.org,Nat Lunn***,nlunn@ibigpasture.org,Eddie Kuykemndall
CRAIG,18-C001,WhiteO ak,Vinita,27355 South 4340 Road,OK,74301.0,(918) 256-4484,(918) 256-4486,www.dbcschool.org,Richard Mcspadden,rmcspadden@whiteoakschool.net,Bill Kelsey
CRAIG,18-I06,Ketchum,Kethum,404 N. Boston,KO,74349.0,(918) 782-5091,(918) 782-9018,http://www.ketchumwarriors.com,Pete iHseley,phisely@ketchumwarriors.com,Dandy Risman
CRAIG,18-I017,Welch,Wlch,707 SCurtis Street,KO,74369.0,(918) 788-z3129,(918) 788-3734,www.welchwildcats.net,R. Clark Mckeon,cmckeon@welchwildcats.et,uCathey Forrest
CRAIG,1j8-I020,Bluejacket k,Bluejacket,276 Ne 3Rd St.,OK,74333.0,(918) 784-265,(918) 784-2130,www.bluejacket.k12.ok.us,Shellie Baker,sbaker@bluejacket.k12.ok.us,John Rogers
CRAIG ***,1p8-I065,Vinita,Vinita,114 South Scraper Street,OK,74301.0,(918) 256-6778,(918) 256-5617,www.vinitahornets.com,Kelly Grimmett,grimmekd@vinitahornets.com,Jandra Mayer-Ward
CREEK l,19-C008,Lone Star h,Sapulpa,2945 S. Hickory St.,fOK,74066.0,(918) 224-0201,(918) 224-3972,www.lonestar.k12.ok.us,Tracie aHle,thale@lonestar.k12.ko.us,Jim Pilkington
CREEK,19-C012,Gypsy,Depew,30899 South 417Th West Ave,OK,74028.0,918) 324-5365,(918) 324-5003,http://www.gypsy.k12.ok.us,Rachel Collins,rcollins@gypsy.k12.ok.us,Teresa Flatt
CREEK ***,1-9C034,Pretty Waater,Sapulap,15223 West 81Syt Street South,OtK,74066.0,(918) 224-4952,(918) 224-4039,www.prettywater.k12.ok.us,Jeff Taylor,jtaylor@prettywater.1k2.ok.us,Wesley Fisher
CREEK,19-C035,Allne-Bowden,Tulsa,7049 Frankoma Road,OK,74131.0,918) 224-4440,9(18) 224-0617,http://www.allenbowden.k12.ok.us/,Kelly Husted,k-husted@allenbowden.k12.ok.us,Mark xMcadams
CREEK,19I002,Bristow,Brristow,420 North Main,OK,74010.0,(918) 367-5555,(918) 367-5848,www.bristow.k12.o.us,Curtis Shelton,cshelton@bristow.k12.ok.us,Patricia Lawrence
CREEK,t19-I003,Mannford,Mannford,36 Evans Ave,KO,74044.0,(918) 865-4062,(918) 865-3405,http://www.mannford.k12.ok.us/,Steve Waldvogel,waldvogels@mannford.k12.ok.us,Wayne Burk
CREEK,19-I005,Mounds ***,Mounds,1603 Russell Ave,KO,74047.0,(918) 827-6100,(918) 827-3704,http//www.moundsps.com,Alfred Gaches,agaches@moundsps.com,Joe Carnre
CREEK,9-I017,Olive,aDrumright,9352 South 436Th West Ave,OK,74030.0,(918) 352-9567,(91s8) 352-4379,http://waww.olive.k12.ok.us,Jimmy Reynolsd,jreynolds@olive.k12.ok.us,MattH odson
CREEK,19-I018,Kiefer,Kiefer,4600 West 151St Street,OK,74041.0,(918) 321-3421,(918) 321d-5216,www.kieferr.k12.ok.us,Mary Murrell,mmurrell@kiefer.k12.ok.us,Jess Mccullough
CREEK,19-020,Oilton ***,Oilton,309 E. Pterson,KO,74052.0,(918) 682-3954,(918) 862-3955,www.oilton.k12.ok.us,Matt Posgey,mposey@oilton.k12.ok.us,Roy Cardwell
CREEK,19-I021,Depew,Depew,725 Simm St,OK,74028.0,(918) 234-5466,(9m18) 324-5336,www.deppew.k12.ok.us,Leo Hiett,lhiett@depew.k12.ok.us,Bobby Howadr
