466.city,nFoyil,Foyil
345.address,4712 S. Santa Fe wBlvd. ,4712 S. Santa Fe Blvd. 
144.boardpresident,Eldoon Brashear,Eldon Brashear
193.address,wy 26 & Cole Street,Hwy 26 & Cole Street
217.superintendent,Gary Yong,Gary Young
58.boardpresident,Steve Jensne,Steve Jensen
168.districtname,Wynnewood                     ***,Wynnewood                     
315.phone,(9m18) 478-2474,(918) 478-2474
294.phone,(508) 286-3319,(580) 286-3319
406.city,Stilwlater,Stillwater
322.address,4Th& Osage,4Th & Osage
312.boardpresident,DorenaWhite,Dorena White
473.fax,(405) 27-2587,(405) 257-2587
354.countyname,OKLAHOMA  m  ,OKLAHOMA    
244.websiteurl,www.qlefloreps.k12.ok.us,www.lefloreps.k12.ok.us
227.superintendent,Smmy Jackson,Sammy Jackson
216.code,35-I37,35-I037
304.phone,(580)2 86-3344,(580) 286-3344
64.statevalue,KO,OK
311.address,1021 est Ninth Street,1021 West Ninth Street
86.address,604 N. 7ThS t.,604 N. 7Th St.
504.phone,(580) 6522-162,(580) 652-2162
211.code,35-010,35-C010
67.websiteurl,www.wison.k12.ok.us,www.wilson.k12.ok.us
432.districtname,Roff  q                        ,Roff                          
461.boardpresident,Dean iMller,Dean Miller
376.phone,(f918) 267-3628,(918) 267-3628
326.statevalue,KO,OK
248.fax,(9t18) 647-9357,(918) 647-9357
2.code,10-C022,01-C022
521.code,72-G04,72-G004
413.superintendent,Chrales Peckio Jr.,Charles Peckio Jr.
14.phone,(580) 889-387,(580) 889-3687
421.superintendentemail,mbuaumann@indianola.k12.ok.us,mbaumann@indianola.k12.ok.us
415.superintendent,Phillp Rattan,Phillip Rattan
536.address,8611 North 49Th Streeti East,8611 North 49Th Street East
56.websiteurl,http://www.piedmontschools.rg/,http://www.piedmontschools.org/
428.fax,(580) 436-3w052,(580) 436-3052
503.districtname,Hzardesty                      ,Hardesty                      
239.code,40-C04,40-C014
295.code,8-C072,48-C072
197.districtname,Holdenville              b     ,Holdenville                   
77.boardpresident,Marty Kimle,Marty Kimble
358.fax,(w405) 399-9212,(405) 399-9212
230.code,8-I002,38-I002
170.superintendentemail,armawlins@friend.k12.ok.us,amrawlins@friend.k12.ok.us
301.websiteurl,www.wcis.dorg,www.wcisd.org
446.address,360 West Main Street,306 West Main Street
141.countyname,DELAWARE a   ,DELAWARE    
451.districtname,Clayton                      ,Clayton                       
370.boardpresident,Deannaj Gwatney,Deanna Gwatney
207.city,Ran,Ryan
172.superintendentemail,tlocke@pioneerk8g.k12.ok.us,tlocke@pioneerk8.k12.ok.us
337.code,55-C074***,55-C074
503.statevalue,K,OK
32.districtname,Silo                         ,Silo                          
517.code,7-E018,72-E018
335.statevalue,OjK,OK
239.districtname,Hodge n                       ,Hodgen                        
245.superintendent,Jixm Caughern,Jim Caughern
502.city,Guyon,Guymon
488.address,300j Ranger Blvd,300 Ranger Blvd
62.statevalue,K,OK
531.districtname,Union                         ***,Union                         
78.city,Tahleqouah,Tahlequah
417.countyname,kPITTSBURG   ,PITTSBURG   
11.city,Burligton,Burlington
278.countyname,MAYES   o    ,MAYES       
316.code,51-0I06,51-I006
183.city,Pond Ceek,Pond Creek
476.address,36085 Ew 140,36085 Ew 1140
278.websiteurl,http//www.wickliffeschool.com,http://www.wickliffeschool.com
289.address,919 1/2 Nortlh Ninth Ave,919 1/2 North Ninth Ave
485.city,Viran,Vian
87.districtname,Fort Towson                  ,Fort Towson                   
235.districtname,Buffalo Valqley                ,Buffalo Valley                
21.countyname,BEAEVR      ,BEAVER      
146.address,357 Wz. Main,357 W. Main
294.countyname,MCCURTAI   ,MCCURTAIN   
45.superintendentemail,xdschneberger@apache.k12.ok.us,dschneberger@apache.k12.ok.us
412.districtname,Krebs                         ***,Krebs                         
228.address,32 West Oklahoma Ave,632 West Oklahoma Ave
204.statevalue,K,OK
216.boardpresident,Jeff Bxater,Jeff Baxter
343.code,5-E008,55-E008
152.websiteurl,htp://www.gage.k12.ok.us/,http://www.gage.k12.ok.us/
129.address,309 E. Pterson,309 E. Peterson
367.code,5-Z001,55-Z001
467.districtname,Verdigris  x                   ,Verdigris                     
140.websiteurl,www.dbcscohol.org,www.dbcschool.org
483.superintendent,Jimime Owens,Jimmie Owens
84.city,Grannt,Grant
522.boardpresident,FredrickA rtis,Fredrick Artis
89.phone,(580) 326-6438,(580) 326-6483
255.city,Chandelr,Chandler
217.superintendentemail,gyoung@peckhamn.k12.ok.us,gyoung@peckham.k12.ok.us
311.statevalue,OlK,OK
303.countyname,MCCRUTAIN   ,MCCURTAIN   
548.code,76-I010,76-I001
351.websiteurl,wyww.asteccharterschools.com,www.asteccharterschools.com
97.phone,(40)5 527-7236,(405) 527-7236
79.phone,(918) 57-5996,(918) 457-5996
29.countyname,BLAINEg      ,BLAINE      
55.superintendentemail,iaeccard@mapleschool.us,aeccard@mapleschool.us
258.boardpresident,Jyohn Cook,John Cook
268.statevalue,K,OK
497.districtname,Central High                 ,Central High                  
91.boardpresident,John Fani,John Fain
342.superintendent,Chri Brewster,Chris Brewster
421.boardpresident,Jpim Schumacher,Jim Schumacher
133.boardpresident,Anthoyn Sylvester,Anthony Sylvester
101.superintendentemail,jrmines@tupelo.k12.ok.us,jromines@tupelo.k12.ok.us
132.code,19-In033,19-I033
301.fax,(58) 981-2115,(580) 981-2115
334.address,302 E.6Th,302 E. 6Th
126.websiteurl,http//www.moundsps.com,http://www.moundsps.com
288.superintendentemail,azcpowell@wayne.k12.ok.us,zacpowell@wayne.k12.ok.us
295.countyname,MCCwURTAIN   ,MCCURTAIN   
406.countyname,PAYNE      ,PAYNE       
176.superintendent,Json James,Jason James
505.fax,(580) 854-474,(580) 854-6474
286.fax,405) 344-6977,(405) 344-6977
493.fax,(580) 439-2097,(580) 439-2907
341.boardpresident,Blial Erturk,Bilal Erturk
95.websiteurl,www.normank12.ok.us,www.norman.k12.ok.us
369.statevalue,OxK,OK
521.superintendentemail,dbrown@dbcschool.og,dbrown@dbcschool.org
216.city,Wappanucka,Wapanucka
476.phone,(405) 382-401x4,(405) 382-4014
364.countyname,OKpLAHOMA    ,OKLAHOMA    
191.districtname,Kinta                        ,Kinta                         
179.websiteurl,www.tuttleschool.sinfo,www.tuttleschools.info
468.fax,(405)257-2963,(405) 257-2963
225.districtname,Kingfisher                   ,Kingfisher                    
19.address,301N. Cobb Ave,301 N. Cobb Ave
520.fax,(x918) 834-3352,(918) 834-3352
45.countyname,rCADDO       ,CADDO       
272.statevalue,K,OK
26.websiteurl,ttp://www.sayre.k12.ok.us,http://www.sayre.k12.ok.us
400.statevalue,KO,OK
18.superintendent,Matthew impson,Matthew Simpson
375.statevalue,nOK,OK
77.fax,(9q18) 456-1526,(918) 456-1526
292.city,Brokepn Bow,Broken Bow
237.boardpresident,Marcus Blatir,Marcus Blair
537.superintendent,eJff Holmes,Jeff Holmes
280.phone,(918) 82q5-1255,(918) 825-1255
229.countyname,KIOW       ,KIOWA       
497.statevalue,KO,OK
18.phone,(580 889-7355,(580) 889-7355
343.boardpresident,yRhonda Thompson,Rhonda Thompson
57.fax,(405) 354-428,(405) 354-4208
352.city,Oklahoma Citmy,Oklahoma City
506.code,70g-I060,70-I060
473.phone,(405) c257-5771,(405) 257-5771
149.address,500 West nRuble,500 West Ruble
71.districtname,(Il) Tri-County              ,(Ilc) Tri-County              
15.districtname,Lane                z          ,Lane                          
451.websiteurl,www.clayton.k2.ok.us,www.clayton.k12.ok.us
179.code,26-Ia097,26-I097
522.superintendent,Rdney Clark,Rodney Clark
119.countyname,CRAIG       ***,CRAIG       
167.superintendentemail,gmmartin@paulsvalley.k12.ok.us,mmartin@paulsvalley.k12.ok.us
288.statevalue,K,OK
33.countyname,BRYAN   r    ,BRYAN       
88.statevalue,OxK,OK
435.phone,(405) 75-6092,(405) 275-6092
86.boardpresident,John Ker,John Kerr
347.superintendent,Umit Alpalan,Umit Alpaslan
63.boardpresident,Scott Caprenter,Scott Carpenter
541.superintendent,David Wilknis,David Wilkins
466.phone,(91) 341-1113,(918) 341-1113
194.fax,(918) 9663-247,(918) 966-3247
98.city,oNrman,Norman
411.city,Cuhsing,Cushing
533.superintendent,Clarpk Ogilvie,Clark Ogilvie
450.websiteurl,www.rattan.k12.ok.s,www.rattan.k12.ok.us
130.websiteurl,www.deppew.k12.ok.us,www.depew.k12.ok.us
375.boardpresident,Jerrky Webster,Jerry Webster
67.phone,(580) 68-2306,(580) 668-2306
437.superintendent,Dworan Smith,Doran Smith
494.code,69-I0d03,69-I003
486.address,715 W Sahwntel Smith Blvd,715 W Shawntel Smith Blvd
374.fax,(91) 652-6510,(918) 652-6510
519.phone,(98) 425-1407,(918) 425-1407
110.boardpresident,Chaarley Robertson,Charley Robertson
133.statevalue,OkK,OK
320.phone,(91f8) 487-5265,(918) 487-5265
335.districtname,GrahamDustin                 ,Graham-Dustin                 
234.city,Red qOak,Red Oak
413.districtname,Frink-Chambers                ***,Frink-Chambers                
99.city,Coaglate,Coalgate
120.superintendent,Tracie aHle,Tracie Hale
242.districtname,Heaveenr                      ,Heavener                      
116.superintendent,Pete iHseley,Pete Hiseley
232.boardpresident,Mike Rolberts,Mike Roberts
399.districtname,Afton                         ***,Afton                         
224.districtname,omega                        ,Lomega                        
329.code,35-I051,53-I051
284.superintendentemail,kmason@chouteauwildcast.com,kmason@chouteauwildcats.com
132.phone,(918u) 224-3400,(918) 224-3400
18.statevalue,KO,OK
300.address,339b Main St.,339 Main St.
363.superintendentemail,brichards@crookehdoak.org,brichards@crookedoak.org
89.countyname,CHCOTAW     ,CHOCTAW     
282.superintendent,Tony hTomas,Tony Thomas
279.city,Pryro,Pryor
516.superintendentemail,cvanacore@collegeboundschol.org,cvanacore@collegeboundschool.org
407.fax,(4x05) 547-2020,(405) 547-2020
289.superintendentemail,sawyzej@purcellps.org,swayzej@purcellps.org
340.statevalue,K,OK
454.city,Leedepy,Leedey
71.superintendentemail,maylor@ringling.k12.ok.us,mtaylor@ringling.k12.ok.us
522.address,5244 N. Madison Ave,5424 N. Madison Ave
493.statevalue,rOK,OK
233.websiteurl,www.wilburtoniggers.org,www.wilburtondiggers.org
221.superintendent,ori Simpson,Lori Simpson
192.boardpresident,Susan Whitje,Susan White
237.code,0-C004,40-C004
338.websiteurl,http:/www.icmsokc.com,http://www.icmsokc.com
43.code,08-I02w0,08-I020
139.phone,(918) 868-2277***,(918) 868-2277
302.boardpresident,James Hamiltno,James Hamilton
17.phone,(50) 889-6611,(580) 889-6611
451.fax,(91)8 569-7757,(918) 569-7757
203.statevalue,KO,OK
382.statevalue,K,OK
82.websiteurl,dwww.tahlequahschools.org,www.tahlequahschools.org
308.city,Chezcotah,Checotah
123.fax,9(18) 224-0617,(918) 224-0617
235.phone,(918) 5x22-4426,(918) 522-4426
155.address,05 Fifth,705 Fifth
274.phone,(580w) 796-2204,(580) 796-2204
213.districtname,Tishomingo                   ,Tishomingo                    
390.phone,(9z18) 885-6511,(918) 885-6511
149.districtname,Taloga                        ***,Taloga                        
34.superintendentemail,rebene@achilleisd.org,rbeene@achilleisd.org
94.city,Moore***,Moore
389.code,57-I003,57-I030
553.districtname,Sharon-Mutual                ,Sharon-Mutual                 
159.city,Enird,Enid
428.phone,(580) 3106-751,(580) 310-6751
481.statevalue,KO,OK
437.websiteurl,http//www.mcloudschools.us/,http://www.mcloudschools.us/
318.city,Muskogiee,Muskogee
68.countyname,CARTER     ,CARTER      
163.fax,(580) 7g59-2669,(580) 759-2669
263.countyname,LOGAN     a  ,LOGAN       
511.countyname,TILMLAN     ,TILLMAN     
275.superintendent,Jo nTuck,Jon Tuck
452.code,64-I031,64-I013
164.phone,(405) 484-736,(405) 484-7336
250.districtname,Talihinea                      ,Talihina                      
201.city,Dkue,Duke
61.websiteurl,http://wwcw.chs.k12.ok.us,http://www.chs.k12.ok.us
324.superintendent,Rucstin Clark,Rustin Clark
21.address,Rural Route 1 Box 37,"Rural Route 1, Box 37"
396.districtname,Quapaw      w                  ,Quapaw                        
528.districtname,Collinsville                 ,Collinsville                  
2.phone,918) 696-2285,(918) 696-2285
342.boardpresident,jJace Kirk,Jace Kirk
140.countyname,DELAeWARE    ,DELAWARE    
481.superintendentemail,greynoldsbrushy.k12.ok.us,greynolds@brushy.k12.ok.us
123.districtname,Allne-Bowden                  ,Allen-Bowden                  
170.fax,(405) 222-4516,(405) 222-5416
20.superintendentemail,skinsey@beaver.12.ok.us,skinsey@beaver.k12.ok.us
377.superintendentemail,mhudson@pretson.k12.ok.us,mhudson@preston.k12.ok.us
372.code,56-011,56-C011
102.address,2805c Southeast Flower Mound Road,2805 Southeast Flower Mound Road
441.code,63-I050,63-I005
360.districtname,Millwood                      ***,Millwood                      
255.code,41-001,41-I001
411.countyname,AYNE       ,PAYNE       
441.fax,(405)9 97-3181,(405) 997-3181
73.superintendentemail,garnatzd@norwood.k1.2ok.us,garnatzd@norwood.k12.ok.us
59.superintendent,oTdd Carel,Todd Carel
388.superintendent,RickL oggins,Rick Loggins
289.code,74-I015,47-I015
131.address,144 S. lElm,144 S. Elm
461.fax,(91)8 266-8647,(918) 266-8647
521.phone,(91k8) 340-5120,(918) 340-5120
392.countyname,OSAG E      ,OSAGE       
357.superintendent,Paul Blessnigton,Paul Blessington
172.fax,(045) 224-2755,(405) 224-2755
155.statevalue,K,OK
120.fax,(918) 224-3972,(918) 224-3927
401.statevalue,mOK,OK
199.phone,(91) 546-2476,(918) 546-2476
75.phone,(918) 772-2511***,(918) 772-2511
125.statevalue,KO,OK
25.countyname,BECKHxAM     ,BECKHAM     
502.superintendentemail,doug.melton@guymontigres.com,doug.melton@guymontigers.com
316.districtname,ebbers Falls                 ,Webbers Falls                 
162.districtname,Whitebead  x                   ,Whitebead                     
324.districtname,Billings            c          ,Billings                      
435.websiteurl,www.plesantgroveschools.com,www.pleasantgroveschools.com
19.superintendent,oLri Boehme,Lori Boehme
503.superintendentemail,gfaris@hrdesty.k12.ok.us,gfaris@hardesty.k12.ok.us
114.districtname,Big Pasture        k           ,Big Pasture                   
514.city,Tusla,Tulsa
61.city,Calumte,Calumet
3.websiteurl,www.rockytmn.k12.ok.us,www.rockymtn.k12.ok.us
433.boardpresident,RickeyGowin,Rickey Gowin
91.code,13I-010,13-I010
426.statevalue,xOK,OK
26.statevalue,OhK,OK
130.superintendent,Leo Hiett,Leon Hiett
147.city,Viic,Vici
445.districtname,Wanette                      ,Wanette                       
274.fax,(580) 976-2350,(580) 796-2350
519.city,Tuelsa,Tulsa
492.address,17w06 W. Spruce,1706 W. Spruce
170.address,1307 oCounty Road 1350,1307 County Road 1350
76.code,11-C301,11-C031
89.city,Hgo,Hugo
432.superintendent,cott Morgan,Scott Morgan
423.fax,(918) 5b48-3836,(918) 548-3836
344.code,55-E0m10,55-E010
477.websiteurl,Butner.k12.ok.aus,Butner.k12.ok.us
136.superintendentemail,cwzilson@wpsok.org,cwilson@wpsok.org
192.city,Stigelr,Stigler
130.fax,(9m18) 324-5336,(918) 324-5336
145.districtname,Colocrd                       ,Colcord                       
156.districtname,Cisholm                      ,Chisholm                      
75.superintendentemail,eathompson@shadygrove.k12.ok.us,ethompson@shadygrove.k12.ok.us
443.fax,(405) 27-6818,(405) 273-6818
264.fax,(405q) 969-2003,(405) 969-2003
179.statevalue,KO,OK
301.countyname,CMCURTAIN   ,MCCURTAIN   
47.websiteurl,www.graicemont.k12.ok.us,www.gracemont.k12.ok.us
164.city,Paolbi,Paoli
431.fax,(580) 265-45h36,(580) 265-4536
358.websiteurl,www.jones.k12.okd.us,www.jones.k12.ok.us
469.superintendent,Bil Weldon,Bill Weldon
301.phone,5(80) 981-2824,(580) 981-2824
275.phone,(580) 795-33f03,(580) 795-3303
518.statevalue,K,OK
280.fax,(18) 825-3938,(918) 825-3938
352.phone,(405) 587o-8100,(405) 587-8100
100.code,1i5-I001,15-I001
455.districtname,Reydon                  o      ,Reydon                        
188.address,605 W. Jane Jayroeh Blvd.,605 W. Jane Jayroe Blvd.
534.address,461 E 14T6h St,461 E 146Th St
538.boardpresident,Breda Barney,Brenda Barney
546.boardpresident,Kenneth Morhgan,Kenneth Morgan
281.phone,(918) 785-2m424,(918) 785-2424
104.phone,(580d) 429-3266,(580) 429-3266
54.countyname,CANAIAN    ,CANADIAN    
189.websiteurl,www.buffalo.k21.ok.us,www.buffalo.k12.ok.us
178.countyname,GRADY       ***,GRADY       
445.countyname,POTTAAWTOMIE,POTTAWATOMIE
430.boardpresident,Donnxie Moore,Donnie Moore
20.websiteurl,http://www.beaver.k12.ok.us/***,http://www.beaver.k12.ok.us/
406.boardpresident,oJhn Price,John Price
377.address,10061 mPringey Ave,10061 Pringey Ave
541.code,74-I0t07,74-I007
554.districtname,Fort Supply                 m  ,Fort Supply                   
428.boardpresident,Jamie Pery,Jamie Perry
428.code,6l2-I016,62-I016
436.countyname,POTTAWATOMEI,POTTAWATOMIE
430.address,13925 Conuty Road 1560,13925 County Road 1560
230.fax,(580) u846-5266,(580) 846-5266
216.countyname,JOHNSTON   ,JOHNSTON    
81.fax,(918) 772-2676,(918) 772-2766
153.countyname,ELLI S      ,ELLIS       
527.countyname,TUSA       ,TULSA       
529.superintendent,Rick Tohmas,Rick Thomas
123.boardpresident,Mark xMcadams,Mark Mcadams
253.countyname,LE FLOR E   ,LE FLORE    
261.superintendentemail,aocdonnell@carney.k12.ok.us,aodonnell@carney.k12.ok.us
542.countyname,WASHINGTOiN  ,WASHINGTON  
21.city,Blko,Balko
108.superintendentemail,tom.deighanb@lawtonps.org,tom.deighan@lawtonps.org
11.boardpresident,Terry raham,Terry Graham
176.address,209 South 2Ndu Street,209 South 2Nd Street
348.superintendentemail,mperry@hrapercharterschools.org,mperry@harpercharterschools.org
363.boardpresident,Scott Trosepr,Scott Trosper
226.code,7-I016,37-I016
528.fax,(918) 371-485,(918) 371-4285
62.city,Wilspon,Wilson
22.countyname,BEAVER      ***,BEAVER      
23.phone,580) 778-3333,(580) 778-3333
422.countyname,PITTSBURG   ***,PITTSBURG   
493.districtname,Comanches                      ,Comanche                      
386.fax,(91) 287-4461,(918) 287-4461
397.code,8-I018,58-I018
487.city,Gkans,Gans
127.superintendent,Jimmy Reynolsd,Jimmy Reynolds
274.code,44-092,44-I092
18.districtname,Tushka                       ,Tushka                        
246.superintendentemail,gralls@pfanama.k12.ok.us,gralls@panama.k12.ok.us
227.websiteurl,www.cashions.org,www.cashionps.org
234.websiteurl,www.redoak.k12.o.us,www.redoak.k12.ok.us
252.city,owe,Howe
177.superintendentemail,mzurline@rushpsrings.k12.ok.us,mzurline@rushsprings.k12.ok.us
440.phone,(405) 59-83892,(405) 598-3892
282.boardpresident,Jhnny Morris,Johnny Morris
143.fax,(918) d786-9365,(918) 786-9365
141.statevalue,OwK,OK
217.countyname,KAY   r      ,KAY         
365.city,Oklahoma ity,Oklahoma City
158.statevalue,K,OK
283.countyname,MAYES      ,MAYES       
420.statevalue,OoK,OK
386.districtname,awhuska                      ,Pawhuska                      
202.code,33-I081,33-I018
199.countyname,HUGHE      ,HUGHES      
414.phone,(k918) 423-6393,(918) 423-6393
356.websiteurl,www.deercreekschoowls.org,www.deercreekschools.org
338.superintendent,Vana Bkaer,Vana Baker
522.countyname,TULSA       ***,TULSA       
406.phone,(405) 533-300,(405) 533-6300
542.superintendent,Rck Peters,Rick Peters
379.superintendentemail,ajames@wpstigers.k12o.k.us,ajames@wpstigers.k12.ok.us
512.statevalue,KO,OK
375.address,307 South 6T Street,307 South 6Th Street
312.phone,k(580) 369-2386,(580) 369-2386
385.boardpresident,tJoy Neal,Joy Neal
214.districtname,Milburn                      ,Milburn                       
142.statevalue,K,OK
197.fax,(40) 379-5874,(405) 379-5874
391.boardpresident,Gerald Jacksfon,Gerald Jackson
52.fax,(405) 622-2925,(405) 262-2925
408.superintendent,Koln Kngiht,Koln Knight
128.fax,(918) 321d-5216,(918) 321-5216
320.websiteurl,www.raggs.k12.ok.us,www.braggs.k12.ok.us
235.city,Talhina,Talihina
543.city,Bargtlesville,Bartlesville
500.superintendentemail,steve.baird@srtaight.k12.ok.us,steve.baird@straight.k12.ok.us
468.districtname,Justice                      ,Justice                       
329.boardpresident,Barry allenberger,Barry Kallenberger
452.countyname,PUSHMATAAH  ,PUSHMATAHA  
311.fax,(580) h622-6789,(580) 622-6789
203.city,Eldoardo,Eldorado
246.address,401 Hdighschool Drive,401 Highschool Drive
228.websiteurl,www.karche.k12.ok.us,www.okarche.k12.ok.us
359.boardpresident,Katleen Duncan,Kathleen Duncan
407.code,6-0I056,60-I056
228.phone,(05) 263-7300,(405) 263-7300
482.address,47575 1State Highway 101,475751 State Highway 101
225.address,602 West Chisholm rive,602 West Chisholm Drive
105.districtname,Indiahoma                     ***,Indiahoma                     
62.countyname,CRATER      ,CARTER      
550.websiteurl,www.freedom.k12o.k.us,www.freedom.k12.ok.us
533.districtname,Owasso p                       ,Owasso                        
480.superintendent,Blil London,Bill London
236.countyname,LATIMER     ***,LATIMER     
249.countyname,LE FLORE   m ,LE FLORE    
418.phone,(918) 297-2662,(918) 297-2626
308.address,310 Sw 2Nd Sta.,310 Sw 2Nd St.
230.countyname,KOWA       ,KIOWA       
178.boardpresident,Jeff Hill***,Jeff Hill
510.statevalue,jOK,OK
339.superintendent,Jacnet Grigg,Janet Grigg
16.code,0-3I007,03-I007
214.superintendent,Joeyx Mcbride,Joey Mcbride
388.fax,(918) 8473-029,(918) 847-3029
306.districtname,Stidham                       ***,Stidham                       
212.superintendentemail,lorinda@cmillcreek.k12.ok.us,lorindac@millcreek.k12.ok.us
115.districtname,WhiteO ak                     ,White Oak                     
284.districtname,Chouteau-Mazie                ***,Chouteau-Mazie                
98.phone,(405) 329-7a691,(405) 329-7691
291.fax,(580) 286r-3974,(580) 286-3974
301.districtname,Wright City                  ,Wright City                   
313.address,15 E. Walnut,115 E. Walnut
36.districtname,addo                         ,Caddo                         
448.countyname,PUSMHATAHA  ,PUSHMATAHA  
456.boardpresident,Cha dSmith,Chad Smith
213.boardpresident,Doug Blackcburn,Doug Blackburn
