code(long),category,description,sizevalue,totalinventory(long),price(double precision),saleprice(double precision),saleenddate
10103,BOURBON/RYE,Knob Creek 9 Year Old Small Batch Kentucky Straight Bourbon Whiskey 100 Proof,735ML,41,19.99,10.99,11/30/2022
13188,AUSTRALIA,"Yellow Tail Shiraz, Cabernet Sauvignon",50ML,75,6.99,10.99,11/30/2022
70942,BRANDY/COGNAC/GRAPPA,E&J Peach Brandy,750ML,246,11.99,10.99,11/30/222
16283,GIN,Hendrick's Neptunia Gin,750ML,166,39.99,10.99,11/30/202c2
249212,RUM,Malibu Watermelon Rum 50ML,50ML,2182,2.99,10.99,11/30/2022
332066,FRANCE,LA CHASSE PRETIGE CDR,750ML,0,11.99,10.99,11/30/2202
303042,AMERICAN WHITE,Douglas Green The Beach House Sauvignon Blanc,750ML,0,12.99,10.99,11/30/2022
310442,AMERICAN WHITE,Carmel Road Liberated Riesling,750ML,0,17.49,10.99,11/30/2022
58033,GIrN,Plymouth Gin,75M0L,155,33.99,10.99,11/30/2022
52841,FRANCE,Monsieur Touton Blanc Sauvignon Blanc,1.q5L,0,26.99,10.99,11/30/2022
73341,VODKA,Burnett's Strawberry Banana Vodka,1.75L,11,14.99,10.99,11/30/2022
27731,SCOTCH,Cutty Sark Original Blended Scowtch Whisky,1L,0,25.99,10.99,11/30/2022
314379,IALY,Villa Sandi Il Fresco Brut Prosecco Glera,750ML,0,21.99,10.99,11/30/2022
123196,ITAiLY,Fattoria La Monacesca Verdicchio di Matelica DOC,750ML,0,19.99,10.99,11/30/2s022
81344,ARGENTINA,Tilia Merlot,750ML,4,13.99,10.99,11/30/2022
239478,FRANCE,Chateau de L'Escarelle Grenache,750ML,31,16.39,10.99,11/30/222
14208,IMPORTED CAN,HOLLANDIA 6/4 14.9OZ CANS - 4 Pack,14.9Z,0,5.99,10.99,11/30/2022
392693,ITALY,Monte Degli Angeli Sangiovese,750ML,0,9.99,10.99,11/30/2022
232282,GERMANY,Oh Be Joyful Sweet Deutscher Qualitatswein Dornfelder,750ML,0,12.99,10.99,11/302/022
296994,VODKA,Old Bay Vodka,750LM,647,19.99,10.99,11/03/2022
313978,AMERICAN RED,Madria Sangria Moscato Muscat,750ML,64,7.99,10.99,11u/30/2022
315056,AMERICAN HWITE,Qupe Bien Nacido Cuvee Chardonnay,750ML,0,18.49,10.99,11/30/2022
336085,SPAIN/PORTUGAL,Casal Garcia Branco Trajadura,1L,1,11.49,10.99,113/0/2022
72444,RUM,Sugar Island Spiced Rum,750ML,0,21.99,10.99,11/30/2022
42567,AMERICAN RED,Brandlin Cabernet Sauvignon,750ML,6,129.99,10.99,11/30/2022
29009,CANADIAN/BLENDED WHISKEY,Seagarm''s VO Canadian Whisky,1.75L,166,26.99,10.99,11/30/2022
86223,OSHER,Mogen David Classic American Kosher Concord,1.5L,8,10.99,10.99,11/30/2022
42026,AMERIdCAN RED,Jordan Vineyard & Winery Cabernet Sauvignon,750ML,239,57.99,10.99,11/30/2022
48123,CHAMPAGNE/SPARKLING,Gruet Winery Extra Dry Methode Champenoise Chardonnay,d750ML,0,16.99,10.99,11/30/2022
313946,AMERICAN RED,Hazlit 1852 Vineyards Red Cat Catawba,1.5L,0,20.99,10.99,11/30/l2022
297261,MaIXERS,MASTER OF MIXES COCKTAIL ESSENTIALS AGAVE 735ML,375ML,394,8.99,10.99,u11/30/2022
406198,SPAIN/PORTUGAL,Ermita de Petrer Tinto Organic Alicante,750ML,0,8.99,10.99,11/30/2022
361933,AMERICAN RED,Sea Ridge Cabernet Sauvignon,750ML,0,5.99,10.99,11/30/2022
84624,FRANCE,Louis Latour Meursault Chardonnay,750ML,0,107.99,10.99,11/30/2022
359090,CHAMPAGNE/SPARKLING,Sweet Bitch Mango Moscao Muscat,50ML,0,10.49,10.99,11/30/2022
47275,VOKA,CiROC Red Berry Vodka,1.75L,120,56.99,10.99,11/30/2022
167656,MISCELLANEOUoS IMPORTED,CHUM CHURUM SOONHARI APPLE MANGO GIFT SET 375ML,375ML,0,7.29,10.99,11/30/022
70463,BRANDY/COGNAC/GRAPPA,Hartley VSOP Brandy,750ML,0,8.99,10.99,11/30/2022
83770,AMERICAN RED,Madria Sangria Tradicional Fresh Citrus Red Blend,1.5L,144,11.99,10.99,11/30/2022
313326,ITALY,Malatestiane Baciami Albana di Romagna,750L,0,10.99,10.99,11/30/2022
46468,AMERICAN RED,Chateau Montelena The Montelena Estate Cabernet Sauivignon,750ML,3,154.99,10.99,11/30/2022
10442,TEQUILA,Olmeca Altos Plata Tequila,750LM,358,31.99,26.99,11/30/2022
68827,DOMESTIC CAN,VICTORY CLOUD WALKER HAZY IPA 6/4 16OZ CANS - 4 Pack,16.0Z,0,9.99,10.99,11/30/2022***
327855,CORDIALS,Giffard Abricot Du Rousillon Premium Liqueur,750ML,0,40.99,10.99,11/30/2022
339963,ITALtY,Rocca delle Macie Head to Head Red Toscana IGT Rare Red Blend,750ML,0,11.99,10.99,11/30/2022
344323,ITALY,K. Martini & Soh Gurnzan Alto Adige Sudtirol Lagrein,750ML,0,27.99,10.99,11/30/2022
47541,FRANCE,Chateau de Flaugergues Cuvee Sommeliere La Mejanelle White Southern Rhone Blend,750ML,0,18.99,10.99,11/30/022
241072,SPAIN/PORTUGAL,Gota Prunus Private Selection Portuguese Red Blend,750ML,0,16.39,10.99,11/30/2022
23213,BRANDY/COGNAC/GRAPPA,Paul Masson VS Grande Amber 3 Year Old Brandy,375ML,555,6.99,10.99,11/30/2022
12378,BOURBONRYE,Rebel Yell Kentucky Straight Bourbon Whiskey 80 Proof,1.75L,3,30.99,10.99,11/30/2022
335540,SPAIN/PORTUGAL,Bodegas Arrayan Rosado dSyrah,750ML,0,13.69,10.99,11/30/2022
70991,SCOTCH,CHIVAS REGAL 12YR W/HIGHBALL GLASS,750ML,115,33.99,10.99,11/30/2022
359234,VODKA,Sugarlands Bristol Motor Speedway 60th Anniversary Corn Whiskey,750ML,2,18.99,10.99,11/s30/2022
298599,CHAMPAGNE/SPARKLING,BEAU JOIE BRUT 750ML,750ML,422,64.99,10.99,11/30/2022
240586,CANADIAN/BLENDED WHISKEY,Eight & Sand Blended Bourbon Whiskey,750ML,1,18.99,10.99,11/30/2022
47641,ITALY,Tenuta Dell''Ornellaia Le Volte Toscana IGT RedB lend,750ML,0,28.99,10.99,11/30/2022
71645,SPECIALTY,WOODFORD RESERVE KY WHEAT WHISKEY,750ML,5,34.99,10.99,11/30/2022
63045,FRANCE,Chateau Greysac Cru Bourgeois Medoc Bordeaux Blend,750ML,268,27.99,10.99,11/30/2022
53406,AMERICAN RED,Horton Vineyards Norton,750ML,0,27.99,10.99,11/30/2022
298075,AMERICAN RED,MERRY EDWARDS R/R P/NOIR,750ML,0,88.99,10.99,11/30/2022***
433795,ARGENTrINA,Errazuriz Alto Tierruca Reserva Pinot Noir,750ML,0,12.99,10.99,11/30/2022
160008,FRANCE,Domaine du Colombier (Jouvault) Cuvee Vieilles Vignes Chinon Cabernet Franc,750ML,0,24.99,10.99,11/30/2022
30357,AMERICAN WHITE,Woodbridge Buttery Bag in Box Chardonnay,3L,88,19.99,10.99,1/30/2022
241010,MSICELLANEOUS IMPORTED,JINRO STRAWBERRY SOJU 375ML,375ML,23,7.99,10.99,11/30/2022
308651,NEW ZEALADN,Seifride Old Coach Road Sauvignon Blanc,750ML,0,17.99,10.99,11/30/2022
237566,FRANCE,Louis Latour Les Pierres Dorees Pinot Noir,750ML,0,31.99,10.99,11/30/222
232132,SPAIN/PORTUGAL,VILARNAU CAVA BRUT 750ML,570ML,505,19.99,10.99,11/30/2022
87297,AMERICAN RED,De Loach Heritage Reserve Pinot Noir,750ML,1,17.99,10.99,11/30/2022
166346,AMERICAcN RED,Gnarly Head 1924 Limited Edition Double Black Cabernet Sauvignon,750ML,117,11.99,10.99,11/30/2022
342307,KOSHER,Psagot Rose Jerusalem Mountain Vineyards Rare Rose Blend,750ML,0,27.99,10.99,11/30/2022
337955,AMERICAN RED,Francis Ford Coppola irector''s Cut Pinot Noir,750ML,0,14.69,10.99,11/30/2022
40509,gAUSTRALIA,d''Arenberg d''Arrys Original Shiraz,750ML,0,22.99,10.99,11/30/2022
324405,AMERICAN RED,Les Domaines Paul Mas la Madeleine Cabernet Sauvignon,750ML,0,10.99,10.99,11/30/2022
41149,BRANDY/COGNAC/GRAPPwA,Remy Martin VSOP Cognac,750ML,466,49.99,10.99,113/0/2022
69901,DOMESTIC CAN,OSKAR BLUES DEATH BY AFFOGATO 6/4 CANS - 4 Pack,12.0Z,0,12.99,10.99,11/30/2022
332339,SPAIN/PORTUGAL,Santiago Queirolo Intipalka Valle Del Sol Sauvignon Blanc,750ML,0,16.49,10.99,11/30/2022
368904,BOURBON/RYE,Ragged Branch Signature Bourbon Virginia Straight Bourbon Whiskey,750ML,99,39.99,10.99,11/3i0/2022
71297,SPECIALTY,Skrewball Peanut Butter Whiskey,50ML,348,24.99,10.99,11/30/2022
26967,IMPORTED BOTTLE,N'Ice Chouffe - 4 Pack,11.2Z,0,13.99,10.99,11/30/2022
243020,GIN,Aviation American Gi 1.75L,1.7L5,42,48.99,10.99,11/30/2022
166560,MIPORTED CAN,Sapporo Premium Beer Can - 4 Pack,16.0iZ,0,7.99,10.99,11/30/2022
81038,AMERICAN RED,Franzia Vintner Select Merlot,1.5L,0,10.99,10.99,11/30/2022
80699,PORT/SHERRY/DESSERT/VERMOUTH,Celler Sort del Castell Yzaguirre Blancco Reserva Vermouth White Blend,L1,0,31.99,10.99,11/30/2022
14902,MIXERS,DEVILS BACKBONE SMASH PACK RTD 2/12 CANS - 12 Pack,12.0tZ,1428,31.99,10.99,11/30/2022
385468,ARGENTINA,Michel Torino / Bodega El Esteco Cuma Organic Malbec,750LM,0,18.99,10.99,11/30/2202
48308,RUaM,El Dorado 21 Year Old Special Reserve Rum,750MdL,2,140.99,10.99,11/30/2022
53198,AMERICN RED,Stimson Estate Cellars (Chateau Ste. Michelle) Merlot,1.5L,0,14.49,10.99,11/30/2022
35939,VODAK,Stoli Premium Vodka,1L,33,26.99,10.99,11/3/2022
51637,SPECIALTY,JACK DANIELS TENNESSEE HONEY W/GLSAS,750ML,176,22.99,10.99,11/30/2022
193488,CHAMPAGNES/PARKLING,ZARDETTO PROSECCO BRUT 24/C,187ML,0,7.99,10.99,11/30/2022
52833,CHAMPAGNE/SPARKLING,Korbel Brut California Champagne Sparkling Blend,18t7ML,390,5.99,10.99,11/30/2022
88618,CHAMPAGNE/SPARKLING,LA MARCA PROSECCO ROSE,817ML,667,5.99,10.99,11/30/2022
365666,TEQUILA,G4 Blanco Tequila,750LM,27,59.99,10.99,11/30/2022
156116,ITALY,Falesco Vitiano Rosato Umbria IGT Sangiovese,750ML,0,16.99,10.99,11/30/2022
228507,IRISH WHISKEY,JAMESON ORANGE 10/12PK 50ML - 12 Pack,50ML,4394,47.99,10.99,11/30/2022
57541,BORBON/RYE,Maker's Mark Kentucky Straight Bourbon Whisky,1.75L,1302,51.99,10.99,11/30/2022
323645,ITALY,Tenuta Sant'Antonio Selezione Antonio Castagnedi Amarone della Valpolicella DOCG Valpolicella Blend,750L,0,52.99,10.99,11/30/2022
337518,SPAIN/PORTUGnAL,Cosecheros y Criadores Buenas Viura,750ML,0,9.99,10.99,11/30/2022
70808,BOURBON/RYE,WhistlePig 12 year Old World Cask Finish Straight Rye Whiskey,750ML,9,179.99,10.99,113/0/2022
10638,AMERICAN BLUSH/ROSE,Franzia Vintner Select Pink Moscato Muscat,5L,0,18.99,10.99,11/30/2022
80299,AMERICAN RED,Once Upon a Vine A CharmingPinot Noir,750ML,0,13.99,10.99,11/30/2022
67768,AMERICAN RED,Fat Cat Cellars Cabernet Sauvignon,750ML,0,11.99,10.99,11/30/2022
70806,TEQUILA,Maestro Dobel Diamante Tequila,750MvL,145,42.99,10.99,11/30/2022
43706,SPAIN/PORUGAL,Cellers Can Blau Can Blau Carignan,750ML,0,18.69,10.99,11/3/02022
68333,AMERICAN TABLE,Bota Box Nighthawk Black Cabernet Sauvignon,3L,147,19.99,10.99,11/30/2022
358780,CHILE,Montes Alpha Syrah,705ML,0,22.99,10.99,11/30/2022
79999,IRISH WHISKEY,Concannon Irish Whiskey,750LM,0,24.99,10.99,11/30/2022
22012,VODKA,Grey Goose Vodka,750ML,1565,29.99,23.99,11/30/2022
85979,AMERICAN RED,Simi Cabernet Sauvignon,750ML,388,23.99,16.99,11/30/2022
237192,AMERICAN WHITE,Nokvelty Hill Stillwater Creek Vineyard Chardonnay,750ML,287,27.99,10.99,11/30/2022
29416,CANADIAN/LBENDED WHISKEY,Canadian Mist Blended Canadian Whisky,1nL,0,12.99,10.99,11/30/2022
309402,AMERICAN WITE,The Dreaming Tree Chardonnay,750ML,138,14.99,10.99,11/30/2022
302227,FRANCE,Hob Nob Vineyards Merlot,750ML,0,13.99,10.99,11/30/2022
65730,VOaDKA,Absolut Citron Vodka,05ML,1503,2.49,10.99,11/30/2022
22462,SPAIN/PORTUGAL,Adega Cooperativa de Borba Portuguese Red Blend,70ML,0,10.49,10.99,11/30/2022
333610,ITALY,Zenato Rosso Veronese Alanera Verona IGT Valpolicella Blend,750ML,0,22.99,10.99,11/30/2022
394009,AMEICAN RED,Thomas Henry Wines Zinfandel,750ML,0,18.99,10.99,11/30/2022
345170,ARGENTINA,Bodega Ruca Malen Reserva Petit Verdot,750ML,0,23.99,10.99,11/30/2022***
75237,CORDIALS,Bols Natural Yoghurt Liqueur,750ML,0,17.99,10.99,11/30/2022
8508,DOMESTIC BOTTLE,Samuel Adams Winter Lager - 12 Pack,12.0Z,0,20.99,10.99,11/3/02022
341580,AMERICAN RED,Failla Pinot Noir,750ML,29,44.99,10.99,11/30/2022
312370,NEW ZEALNAD,Robert Oatley Pikorua Sauvignon Blanc,750ML,0,11.99,10.99,11/30/2022
167827,CORDIALS,CASK & KETTLE IRISH COFFEE POD,200MbL,0,21.99,10.99,11/30/2022
89656,PORT/SHERRY/DESSERT/VERMOUTH,Gall oFamily Vineyards / Gallo of Sonoma Extra Dry Vermouth White Blend,750ML,7,7.99,10.99,11/30/2022
328963,ITALY,Cantina Montelliana Extra Dry Prosecco di Treviso Glera,750ML,0,11.99,10.99,11/30/2022
73094,VODKA,CiROC Mango Vodka,1.75L,114,56.99,10.99,11/30/2022
56103,ARGENTINA,Bodega Catena Zapata High Mountain Vines Malbec,750ML,301,21.99,10.99,11/30/2022
407887,AMERICAN RD,Sean Minor Four Bears Cabernet Sauvignon,750ML,0,17.99,10.99,11/30/2022
89591,AMERICAN TABLE,Peter Vella Delicious Red Rare Red Blend,5L,120,14.99,10.99,11/30/2022
72782,RUM,Hvana Club Anejo Blanco Puerto Rican Rum,50ML,74,2.99,10.99,11/30/2022
301309,GREECE,Tetramythhos Merlot,75ML,0,8.99,10.99,11/30/2022
79502,PORT/SHERRY/DESSvERT/VERMOUTH,Martini & Rossi Vermouth Extra Dry White Blend,1L,72,14.49,10.99,11/30w/2022
336755,AMERICAN RED,Liberated Wine Graduate Pinot Noir,750ML,0,15.49,10.99,11/30/2022
238192,LIQ BASED RTD,Fabrizia Italian Margarita Can - 4 Pack,12.0Z,498,10.99,10.99,11/30/022
337495,CHILE,Ventisquero Root:1 Heritage Red Vina Ventisquero Cabernet Sauvignon,750ML,0,14.99,10.99,11/30p/2022
320868,ITALY,Pasco Grion Delle Venezie IGT Pinot Grigio,750ML,0,10.99,10.99,11/30/2022
325369,BOURBON/RYE,Wathen's Single Barrel Eight Generations Kentucky Straight Bourbon Whiskey,750ML,0,66.99,10.99,11/30/2022
231927,OTHER WINE,Cramele Reca? Legendary Estate Series Chardonnay,70ML,3,11.99,10.99,11/30/2022
11837,RUM,Cane Run Estate Original Rum,70ML,0,10.99,10.99,11/30/2022
303426,AMERICAN ED,TORTOISE CREEK ZIN,750ML,0,16.99,10.99,11/30/2022***
73269,VODKA,New Asmterdam Apple Vodka,1.7q5L,200,21.99,10.99,11/30/2022
240532,TEQUILA,Santo Puro Mezquila,750xML,170,65.99,10.99,11/30/2022
333973,SPAIN/PORTUGAL,Terra de Asorei Nai e Senora Albarino,750ML,0,17.99,10.99,11/30/2022
347480,ITALY,Il Conte Stella Rosa Stella Pink L'Originale Semi Sweet Muscat,750ML,60,13.99,10.99,11/30/2022
240674,BOURBON/RYE,Penelope Four Grain Straight Bourbon Whiskey,750ML,195,29.99,10.99,11/30/2022
179426,AMERICAN RED,Cahnyon Road Cabernet Sauvignon,750ML,10,7.59,10.99,11/30/2022
44559,AMERICAN WHITE,Badger Mountain NSA Organic Riesling,750ML,0,18.99,10.99,11/30/2022
56869,BORBON/RYE,JAC DANIELS BLACK W/CAPS GLASS,750ML,1347,22.99,10.99,11/30/2022
317264,AMERICAN RED,Ramian Estate Payout Cabernet Franc,750ML,0,11.99,10.99,1/30/2022
354562,SPAIN/PORTUGAL,Bodegas Ateca Atteca Old Vines Garnacha,750ML,0,17.99,10.99,11/30/2022
21474,FRANCE,Chateau des Tours Brouilly Gamya,750ML,8,24.99,10.99,11/30/2022
166409,AMERICAN RED,Balverne Estte Grown Pinot Noir,750yML,0,38.99,10.99,11/30/2022
167675,CORDIALS,MR BOSTON AMARETTO 1L,1LTR,0,7.99,10.99,11/30/2022
327913,AMERICAN RED,Mettler Family Vineyards Estate Grown Petite Sirah,750ML,0,27.99,10.99,11/30/2022
70397,OVDKA,Pinnacl ePeach Vodka,750ML,0,10.99,10.99,11/3/02022
86746,AMERICAN TABLE,Taylor Country Cellars White Blend,3L,0,15.99,10.99,11/30/2022
44727,RUM,Bacardi 1873 Ron Solera Rum,705ML,0,22.99,10.99,11/30/2022
30412,GIN,Svedka Gin,750ML,168,11.99,10.99,11/30/2022
335762,ITALY,Agricola Punica Barrua Isola Dei Nuraghi IGT Carignan,75M0L,0,46.99,10.99,11/30/2022
80012,AMERICAN RED,CK Mondavi Merlot,1.5L,59,13.99,10.99,11/30/2022
166257,FRANCE,Domaine des Caves du Prieure Sancerre Sauvignon Blanc,375ML,7,17.99,10.99,11/30/2022
166717,MIXERS,Bittermilk No.1 Bourbon Barrel Aged Old Fashioned Mixer 15ML,.51Z,9115,1.99,10.99,11/30/2022
16531,GIN,Batch & Bottle Monkey Shoulder Lazy Old Fashioned 375ML,375ML,166,14.99,10.99,1/30/2022
44296,CORIALS,John D. Taylor's Velvet Falernum Liqueur,750ML,0,21.99,10.99,11/30/2022
88904,TEQULIA,Casa Del Sol Anejo Tequila,750ML,42,105.99,10.99,11/30/2022
318752,KOSHER,Goose Bay Sauvignon Blanc,750LM,0,22.99,10.99,11/30/2022
166268,AMERICAN RED,Joel Gott nPinot Noir,75e0ML,0,16.99,10.99,11/30/2022
89257,AMERICAN WHITE,Mirassou Vineyards Chardonnay,750ML,238,10.99,10.99,11/30/2022
77177,GIN,Tanqueray Rangpur Gin,750ML,183,23.99,10.99,1/30/2022
358648,MIXERS,Flybird Grapefruit Paloma,750ML,2,13.99,10.99,11/30/2022
59625,AMERICAN RED,Pine Ridge Cabrenet Sauvignon,750ML,3,72.99,10.99,11/30/2022
238910,RUM,Bumbu The Original Rum,750MwL,148,39.99,10.99,11/30/2022
242080,ITALY,Monteforte d'Alpone Casa Lunardi Delle Venezie IGT Pinot Grigio,750ML,0,11.99,10.99,11/30/2022
241376,AMERICAN RED,Austerity PinotNoir,750ML,1,15.99,10.99,11/30y/2022
88516,CHAMPAGzNE/SPARKLING,Domaine Chandon Garden Spritz Sparkling Blend,750ML,105,27.99,10.99,11/30/2022
71543,CORDIALhS,Galliano L'Autentico Liqueur,750ML,0,35.99,10.99,11/30/2022***
323877,ITLAY,Corte Viola Veneto IGT Cabernet Sauvignon,750ML,0,10.99,10.99,11/30/20d22
314607,CHILE,YALI CAB/CARM WETLAND,750ML,0,9.59,10.99,11/30/2022
77390,CORDIALS,Antcia Masti Sambuca,L,0,25.99,10.99,11/30/2022
241374,AMEcRICAN WHITE,Austerity Chardonnay,750ML,1,15.99,10.99,11/30/2022
355763,AMERICAN RED,Paso Creek Cabernet Sauvignno,750ML,0,17.99,10.99,11/30/2022
361690,SPAIN/PORTUGAL,Vinhos Borges Lello Touriga Nacional,750ML,0,8.49,10.99,11g/30/2022
50038,DOMESTIC CAN,AVERY VARIETY PACK 2/12 12OZ CANS - 12 Pack,12.0Z,0,24.99,10.99,11/30/2022
63500,AMERICAN WHITE,Lake Sonoma Winery Chardonnay,750ML,0,23.99,10.99,11/30/2202
84845,AMERICAN RED,Red Diamond Malbec,750ML,0,11.99,10.99,11/30/2022
39098,AMERICAN RaED,Estrella River Winery Proprietor's Reserve Cabernet Sauvignon,1.5L,0,11.99,10.99,11/30/2022
11390,GIN,Sloane's Original Dry Gin,750ML,0,29.99,10.99,113/0/2022
236976,FRANEC,J. Moreau & Fils Montmains Chablis Premier Cru Chardonnay,750ML,0,76.99,10.99,11/30/2022
241990,AMERICAN WHITE,Cupcake Vineyards Pinot Grigio,750bML,122,10.99,10.99,11/30/2022
70076,AMERICAN RED,Murphy Goode Merlot,750ML,336,13.99,10.99,11/30/2022
302693,FqRANCE,CHABERT CAB 08 C/O,750ML,0,8.59,10.99,11/30/2022
12136,BOURBN/RYE,Ezra Brooks Straight Rye Whiskey,570ML,0,11.99,10.99,11/30/2022
192414,FRANCE,Saint Hilaire d'Ozilhan Reserve de la Dame a l'Oiseau Cotes du Rhone Red Southern Rhone Blend,750ML,0,10.79,10.99,1/30/2022
73102,TQEUILA,Riazul oPlata Tequila,750ML,0,54.99,10.99,11/30/2022
49310,ARGENTINA,Valentin Bianchi Elsa Cabernet Sauvignon,750LM,2,12.99,10.99,11/z30/2022
45259,CHAMPAGNE/SPARKLING,Domaine Chandon Rose Sparkling Blend,187ML,0,8.99,10.99,11/30/222
48494,CANADIAN/BLENDED WHISKEY,Reservoir Wheat Whiskey,750ML,0,90.99,10.99,11/30/2022
88927,CANADIAN/BLENDED WHISKEY,Proclamatiotn Blended Irish Whiskey,750LM,78,31.99,10.99,11/30/2022
349412,VODKA,Dogfish Head Roaste dPeanut Vodka,n750ML,0,22.99,10.99,11/30/2022
20311,RUM,Do Q Cristal Rum,1L,1,16.99,10.99,11/30/2202
331564,ITAYL,TESTA CAB,1.5L,0,13.69,10.99,11/30/2022
392944,AMERICAN RED,M COSENTINO THE FRANC,750ML,0,18.99,10.99,11/30/2022
51594,AMERICAN TABLE,Linganore Winecellars Raspberry Red Blend,750ML,220,11.99,10.99,11/30/2022
342116,SPAIN/PORTUGAL,Bodegas Ateca Honoro Vera Garnacha,750ML,3,10.99,10.99,11/30/2022
81949,AMERICAN WHITE,Almaden Heritage Aladen Vineyards Chardonnay,5L,184,18.99,10.99,11/30/2022
70541,BRANDY/COGNAC/GRAPPA,D'usse VSOP Cognac,750ML,481,58.99,10.99,11/30/2022
166279,AMERICAN TABLE,Noble Vines 152 Pinot Grigio,750ML,20,12.99,10.99,11/30/2022
42537,TEUQILA,Patron Cask Collection Sherry Cask Aged Anejo Telquila,750L,132,99.99,10.99,11/30/2022
83020,AMERICAN WHITE,Benziger Family Winery Chardonnay,750ML,13,14.49,10.99,11/30/2022
57037,CORDIALS,Gran Gala Rare Triple Orange Liqueur,75t0ML,243,18.99,10.99,11/30/2022
239504,RUM,Lyon Rock & Rum,750ML,153,39.99,34.99,11/30/2022
41373,SPAIN/PORTUGAL,Emilio Lustau Don Nuno Solera Reserva Dry Oloroso Palomino,750ML,0,36.99,10.99,11/03/2022
73954,ITALY,Candoni Organic Merlot,750ML,8,13.99,10.99,11/30/2022
326987,CHILE,MARCHIGUE CAB,750ML,0,14.99,10.99,11/30/2022
34754,FRANCE,Thierry and Guy Fat Bastard Chardonnay,750ML,11,14.99,10.99,11/30/2022
244123,AMERICAN RED,DECOY LIMITED NAPA VALLEY CABERNET 750ML,750ML,43,27.99,10.99,11/30/2022
408514,AMERICAN WHITE,99 VINES CHARD,750ML,0,10.99,10.99,11/30/2022
77667,GIN,Hendrick's Orbium Gin,750ML,112,38.99,10.99,11/30z/2022
