OBJECTID,BLM_ORG_CD,ADM_UNIT_CD,ADMU_NAME,ADMU_LABEL,BLM_ORG_TYPE,APPRV_DT,EFF_DT,PARENT_CD,PARENT_NAME,PARENT_LABEL,GLOBALID,SHAPE_Length,SHAPE_Area
14,ORN05,ORN05000,NW OREGON UPPER WILLAMETTE FIELD OFF.,Upper Willamette,Field,2016/02/11 00:00:00+00,9999/09/09 00:00:00+00,ORN00000,NW OREGON DISTRICT OFFICE,NW Oregon,{2B001E4E-B43C-4A64-B944-6867865D052E},4.86473803826927,0.964973502106852
15,ORV04,ORV04000,VALE MALHEUR FIELD OFFICE,Malheur,Field,2015/09/01 00:00:00+00,9999/09/09 00:00:00+00,ORV00000,VALE DISTRICT OFFICE,Vale,{352B3462-6DAB-4FA8-A4B3-41F374A29B1D},10.0181894335696,2.89529875204274
16,ORN02,ORN02000,NW OREGON MARYS PEAK FIELD OFFICE ,Marys Peak,Field,2016/02/11 00:00:00+00,9999/09/09 00:00:00+00,ORN00000,NW OREGON DISTRICT OFFICE,NW Oregon,{DFAF75A1-30F2-4A0B-9D77-5B54C72A1A2B},4.58504696864526,0.774177601890431
17,ORN01,ORN01000,NW OREGON CASCADES FIELD OFFICE,Cascades,Field,2016/02/11 00:00:00+00,9999/09/09 00:00:00+00,ORN00000,NW OREGON DISTRICT OFFICE,NW Oregon,{04A68EE1-3CD2-46EB-9F39-EF9041888FC4},7.0243443784645,1.47225967975094
18,ORP06,ORP06000,PRINEVILLE DESCHUTES FIELD OFFICE,Deschutes,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP00000,PRINEVILLE DISTRICT OFFICE,Prineville,{7BB6C466-040C-403A-A63D-1F9D827BA2F0},11.8230903286609,2.82417622855443
19,ORP04,ORP04000,PRINEVILLE CENTRAL OREGON FIELD OFFIC,Central Oregon,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORP00000,PRINEVILLE DISTRICT OFFICE,Prineville,{CF12C2A7-ABA8-405A-BDD8-189E1BCD0CA4},12.6494735294337,3.14907678468692
20,ORV05,ORV05000,VALE BAKER FIELD OFFICE,Baker,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORV00000,VALE DISTRICT OFFICE,Vale,{D31DE60D-0D52-4D27-AFAF-5CCB9CFDBB4F},11.8463191170876,4.07002441892226
21,ORN04,ORN04000,NW OREGON TILLAMOOK FIELD OFFICE,Tillamook,Field,2016/02/11 00:00:00+00,9999/09/09 00:00:00+00,ORN00000,NW OREGON DISTRICT OFFICE,NW Oregon,{E1689C86-A2A7-4DAC-BE36-A8FAFAED1DAF},5.73705745891836,1.41192293273234
22,ORW03,ORW03000,SPOKANE BORDER FIELD OFFICE,Border,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW00000,SPOKANE DISTRICT OFFICE,Spokane,{D3DEFF39-954E-46BB-AF8A-953099820739},12.1468199461459,6.42144366065063
23,ORW02,ORW02000,SPOKANE WENATCHEE FIELD OFFICE,Wenatchee,Field,9999/09/09 00:00:00+00,9999/09/09 00:00:00+00,ORW00000,SPOKANE DISTRICT OFFICE,Spokane,{F84F565F-65D8-41A6-9AFB-E897310ED9FB},19.3003152664951,15.5440017802932
