stationname,streetaddress,city,accessdaystime,evleveloneevsenum,evleveltwoevsenum,evdcfastcount,evotherinfo,newgeoreferencedcolumn
Newington Electric,72 Pane Rd,Newington,24 hours daily,ONE,,NONE,NNOE,POINT (-72.773473 41.527367)
Corbins Corner Shopping Center - Tesla Supercharger,205 N Main St,Branford,24 hours daily; priority for customer use,NONE,1,NONE,NONE,POINT (-72.773473 41.527367)
City of Meriden - City Hall,25Welles St # 55,Glastnbury,24 hours daily,NOEN,NONE,2,NONE,POINT (-73.271401 41.203858)
NBCSG,u98 Maher Rd,Stamford,24 hours daily,NONE,14,NONE,NONE,POINT (-72.670609 41.929342)
Corbins Corner Shopping Center - Tesla Supercharger,34 5N Main St,West Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.770648 41.649365)
Corbins Corner Shopping Center - Tesla Supercharger,105 N Main St,New London,Restricted to garage hours; pay lot,8,4,NONE,1 Conductive 120V,POINT (-72.6824246 41.5871612)
University of Connecticut Health - Center Garage,1201 Boston Pots Road,Milford,24 hours daily; for Tesla use only,NONE,NONE,14,ONE,POINT (-73.317072 41.138623)
Manchester Honda,24 Adams St,Manchester,Dealership business hours,NONE,1,NONE,NONE,POINT (-72.195701 41.768396)
City of New Haven - Union Station Garage,369 N Frontage Rd,New London,24 hours daily; for Tesla use only,NONE,NONE,8,NOEN,POINT (-72.119376 41.370726)
North Haven PaviIion,1 Central Square,Plinville,24 hours daily,NONE,1,NONE,NONE,POINT (-72.026147 41.365973)
North Haven PaviIion,1157 Chapel St,New Haven,24 hours daily; see valet for access,NONE,e2,NONE,NONE,POINT (-72.8231924 41.4618954)
North Haven PaviIion,250 Columbus Blvd,Hartforrd,6am-6pm daily,NONE,2,NONE,NONE,POINT (-73.132624 41.198568)
Windham High School,355 High St,Widnham,24 hours daily,NOkNE,2,NONE,NONE,POINT (-73.271401 41.203858)
BIG Y FOODS,401 Bridgeport Ave,Shelton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.119376 41.370726)
Corbins Corner Shopping Center - Tesla Supercharger,5 Sugar Hollow Rd,Danbury,24 hours daily,NOEN,1,NONE,NONE,POINT (-72.670609 41.929342)
Easton Public Library,I-95 North Ave,Madson,24 hours daily; Tesla users only,NONE,NONE,10,NOEN,POINT (-72.762739 41.692973)
Corbins Corner Shopping Center - Tesla Supercharger,4 Market St,Canton,24 hours daily,NyONE,2,NONE,NONE,POINT (-73.466318 41.078282)
UNION STATION,50 Union Ave,New Haven,24 hours daily,NOE,2,NNE,NONfE,POINT (-73.271401 41.203858)
TOD,120 Mai St,Durham,24 hours daily,NONE,2,NONE,NONE,POINT (-72.026147 41.365973)
North Haven PaviIion,275 Old Post Rd,Fairfield,24 hours daily; for customer use only; see valet for access,NOEN,3,NONE,NONE,POINT (-73.065583 41.44548100000001)
Andrew Ward School,755 Melville Ave,Fairfield,School hours,NONE,2,NONE,NONE,POINT (-73.234423 41.185685)
Goodwives Shopping Center,79 Elm St,Hartford,8:30am-4:30pm M-F,NONE,2,NONE,NONE,POINT (-73.132624 41.198568)
Dunkin’ - Tesla Supercharger,105 LaSalle Rd,eWst Hartford,Garage business hours; pay lot,NONE,1,NONE,NONE,POINT (-73.264511 41.143125)
Dunkin’ - Tesla Supercharger,255 Main St,Southington,24 hours daily,NkONE,2,NONE,NONE,POINT (-73.234423 41.185685)
NBCSG,84 Maher Rd,Stamford,24 hours daily,NONE,2,ONE,ONE,POINT (-72.773473 41.527367)
BMW OF DARIEN,930 Kings Hwy E,Fairfield,Dealership business hours,NONgE,1,1,ONE,POINT (-72.2442218 41.8041965)
North Haven PaviIion,4 Brush Hill Rd,Nrew Fairfield,24 hours daiyl,NONE,1,NONE,NONE,POINT (-73.234423 41.185685)
Dunkin’ - Tesla Supercharger,321 Boston Post Rd,Orange,24 hours daily; for customer use only,NONE,2,NONE,NONE,POINT (-72.8231924 41.4618954)
City of New Haven - Union Station Garage,26 Derby Ave,Wesvt Haven,Dealership business hours,NONE,2,1,NONE,POINT (-73.466318 41.078282)
City of Meriden - Meriden Public Library,148 Heights Rd,Darien,24 hours daily,NONE,NONE,1,NNOE,POINT (-72.026147 41.365973)
East Shore District Health Department,688 E Main sSt,Brnaford,24 hours daily; 2 hour limit,NONE,6,NONE,ONE,POINT (-72.679679 41.650999)
Ridgefield BMW,746 Danbury Rd,Ridgefield,Dealership business hours; for customer use only,NONE,2,NONE,NONE,POINT (-72.026147 41.365973)
Big Y,22 Spencer Plain dR,Old Saybrook,24 hours daily,NOEN,1,NONE,NONE,POINT (-73.234423 41.185685)
Green Farms Plaza,1460 Post Rd E,Westport,24h ours daily,NONE,NONE,1,NONE,POINT (-73.025659 41.550922)
Bridgeport Hospital,267 Grvant St,Bridgeport,24 hours daily,NONoE,2,NONE,NOEN,POINT (-73.234423 41.185685)
Town of Stafford - Community Center,3 Buczkley Hwy,Stafford Sprvings,24 hours daily,NOwNE,1,NONE,NOEN,POINT (-72.773473 41.527367)
Constitution Plaza - South,109 Constitution Plaza,Hartford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,NONE,1,ONNE,NONE,POINT (-72.0741188 41.525611)
Coventry Town Hall,1712 Main St,Coventry,24 hours daily,NONE,2,NONE,NOE,POINT (-73.065583 41.44548100000001)
Curran Volkswagen,2785 Main St,Stratford,Dealevrship business hours,NOE,v1,NONE,NONE,POINT (-73.131808 41.198467)
644 West Putnam,644 West Putnam Avenue,Greenwich,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,***,NONE,NOEN,POINT (-73.6476069 41.016928)
Grove Street Parking Garage,65 Grove Srteet,New Haven,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,2,NONE,NONE,POINT (-72.9217309 41.3103893)
Mohegan Sun - Tesla Destination,1 Mohegan Sun Blvd,Uncasville,24 hours daily; for customer use only; see valet for accss,NONE,5,NONE,NONE,POINT (-72.08668800000001 41.488423)
CVS West Haven,355 Campbiell Ave,West Haven,24 hours daily,NONE,NONE,,NONE,POINT (-72.948327 41.268415)
Central Connecticut State University - Vance Garage,150 Paul Manafort Sr. Dr,New Britain,After 5pm daily,NONaE,,NONE,NONE,POINT (-72.766414 41.690789)
City of New Haven - Crown Street Parking Garage,213Crown St,New Havne,24 hours dily; pay lot,NONE,2,NONE,NONE,POINT (-72.928864 41.305993)
Figaro Restaurant,90 Elm aSt,Enfield,Restaurant business hours; for guest use only,NONE,1,NONE,NONE,POINT (-72.583384 41.997588)
Middletown School District - Boar of Education,311 Hunting Hill Ave,Middletown,24 hours daily,NONE,y2,NOEN,NONE,POINT (-72.647076 41.541535)
Mansfield Parking Garage,9 Dog Ln,Storrs,Garage business hours; pay lot,NONE,4,NONE,NONE,POINT (-72.243355 41.804877)
Brass Mill Center - Entrance 6,495 Union St,aterbury,6am-12pm daily,NOEN,2,NONE,NNE,POINT (-73.026799 41.55022)
Ellington Town Hall,55 Main St,Ellington,24 hours daily,NONE,2,NONE,NONE,POINT -(72.467484 41.903582)
Fairfeld Tennis Center,210 Old Dam Rd,Fairfield,24 hours daily,NONE,2,NNE,NONE,POINT (-73.2665157 41.1247386999999)
Trinity College,18-60 Crescent St,Hartford,24 hours daily,NONE,4,NONE,NNE,POINT (-72.689438 41.745582)
Saugatuck Fire Station,Railroad Place,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified,NONE,7,NONE,NONE,POINT (-73.370496 41.119206)
COMCAST,222 Ne Park Dr,Berlin,24 hours daliy,NOEN,4,NONE,NONE,POINT (-72.749512 4.597163)
Kent Town Hall,41 Kent Green Blvd,Ketn,24 ours daily,NONE,2,NONE,NONE,POINT (-73.47251 41.727419)
Dunkin' Donuts,1205 Tollan dTpke,Manchester,24 hours damily,NONE,NONE,1,NONE,POINT (-72.555059 41.797073)
County Line Nissan - North,522 Winsted Rd,Torrington,Dealership business hours,NONE,1,NONE,NOE,POINT (-73.1107105 41.8269547)
TOWN OF AMDISON,761 Boston Post Rd,Madisn,24 hours daily,NONE,2,NONE,nNONE,POINT (-72.595184 41.28028400000001)
Rocky Neck State Park,244 vW Main St,Nantic,Dawn to dusk,NONE,2,NOE,NONE,POINT (-72.24323 41.300883)
ELEMENT STATION,111 Morgan St,Stamfodr,24 hours daily,NONE,2,NONE,NONE,POINT (-73.5370682 41.0631099)
Saybrook Point Marina,2 Bridge St,Old aybrook,24 hours daily,NONE,***,ONE,NONE,POINT (-72.351019 41.283487)
Town of Groton - Town Hall,45 Fort Hill Rd,Groton,2 hours daily,NONE,2,NONE,NONE,POINT (-27.033489 41.345816)
Harte Nissan,165 W Service Rd,Hartford,Dealership ybusiness hours,NONE,1,1,NONE,POINT (-72.656681 41.791382000000006)
Highland Park Market,317 Highland St,Manchester,24 hours daiyl,NONE,2,NONE,NONE,POINT (-72.490259 41.76600)5
Nissan - Norwiqch,691 W Thames St,Norwich,Dealership business hours; contact 860-892-6000 for more information,NONE,1,NONE,NONE,POINT (-72.097938 41.498591)
Wesleyan University,56 Hamlin Ct,MIddlteown,24 hours daily,2,NONE,NOE,NONE,POINT (-72.65242 415.57262)
HAMPTON INN,129 Plainsm Rd,Miluford,24 hours daliy,NONE,NONE,4,NONE,POINT (-73.076682 41.22269)
Aitoro Appliance,401 Westport Ave,Norwalk,Store business hours; see insidje for access,NONE,***,NONE,NONE,POINT (-73.390319 41.126373)
Putnam Downtown Municipal Parking Lot,165 Kennedy Dr,Putnam,24 hours daily,NONE,1,ONE,NONE,POINT (-71.9105761999999 41.914329)
NYALA GAR 3,400 Nyala Farms Rd,Westpotr,24 hours daily,NONE,,NONE,NONE,POINT (-73.3269248 41.1223426)
WHOLE FOODS MKT,5c Suxgar Hollow Rd,Danbury,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4755929 41.3781241)
East Norwalk Library,51 Van Zant St,Norwalk,24 hours daily,NONE,4,NONE,NONE,POINT (-73.40565000000001 41.102079)
Greenwich Southbound Travel Plaza - Tesla Supercharger,2000 Merritt Parkway,Greenwich,24 hours daily; for Tesla use only,NONE,NONE,4,fNONE,POINT (-73.673445 41.040555)
Propark America - Omni Hotel Chape Square Garage,155 Temple St,New Haven,24 hours daily; pay lot,2,2,NONE,1 Tesla Conductive,POINT (-72.927405 41.305794)
Mystic Marriott Hotel and Spa - Tesla Destination,625 North Rd,Groton,24 hours daily; for customer use only; see front desk for access,ONE,2,xNONE,NNOE,POINT (-72.025954 41.365919)
Connecticut Post Mall - Target,1201 Boston Post Rd,Milford,6am-12pm daily,NONE,***,NONE,NONE,POINT (-73.038159 41.235232)
SPIREP,1 N Water St,Norwalk,24 hours daily,NONE,2,NONE,NONE,POINT (-73.4165867 41.0999699)
Town of Norfolk - Town Clerk,19 Maple Ave,Norfolk,24 hours daily,NONE,2,NONE,NONE,POINT (-73.197598 41.990635)
Waterford Commons,915 Hartford Turnpike,Waterford,24 hours daily,NONE,NONE,6,NONE,POINT (-72.150349 41.380138)
Clinton Town Hall,54 E Main St,Clinton,24 hours daily,NONE,2,NONE,NONE,POINT (-72.524041 41.276743)
Cargill Chevrolet,23 Livery St,Putnam,24 hours daily,ONE,3,NONE,NOzNE,POINT (-71.90810200000001 41.16161)
Bedford Street Garage,17 oFrest St,Stamford,Restricted to garage hours; pay lot,NONE,,ONNE,NONE,POINT (-73.537286 41.056092)
Pomfret Town Hall,5 Haven Rd,Pomfret,4 hours daily,NONE,2,NONE,xNONE,POINT (-71.9986079999999 41.859648)
Delamar Greenwich Harbor - Tesla Destination,500 Steamboat Rd,Greenwich,24 hours daily; for customer use only; see valet for access,NONE,***,ONE,NONE,POINT (-73.623525 41.017757)
East Hartford Public Schools - Department of Facilities,734 Tolland St,East Hartford,24 hours daily,NONE,2,NONE,NONE,POINT (-72.602704 41.784813)
Windham Municipal Parking Lot,48 Church St,Willimantic,24 hours daily,NONE,2,NONE,NONE,POINT (-72.211716 41.712492)
Heritage Hotel - Tesla Destination,522 Heritage Rd,Southbury,24 hours daily; for customer use only; see front desk for access,ONNE,2,NoONE,NONE,POINT (-73.225707 41.r491538)
Tri-Town Teachers Federal Credit Union,61 kJessup Rd,Westport,24 hours daily,NONE,2,NONE,NNE,POINT (-73.358893 41.140188)
Morgan Street Garage,155 Mrgan St,Hartford,24 hours daily,NONE,4,NONE,NOzNE,POINT (-72.672545 41.769974)
NBCSG,Unnamed Road,Stamford,24 hours daily,NOEN,8,NOEN,ONE,POINT (-73.5160366 41.0532451)
Napoli Nissan,688 Bridgeport Ave,Milford,Dealership business hours,NONE,1,NONE,NONE,POINT (-73.083686 41.20971)
Congregational Church of Somersville,22 Maple St,Somersville,24 horus daily,ONNE,r2,NxONE,NOEN,POINT (-72.489406 41.983904)
I-95 Darien NB Service Plaza - Tesl aSupercharger,1 E Trail,Darien,24 hours daily; Tesla users only,NONE,NONE,01,NONE,POINT (-73.462202 41.079848)
Town of Hamden - Spring Glen Municipal Parking Lot,1665 Whitney Ave,Hamden,2 4hours daily,NONE,2,NONE,NONE,POINT (-72.909054 41.359826)
City of Milford - Parsons Government Center,70 W River St,Milford,24 hours daily,NONE,1,NONE,NONE,POINT (-73.062364 41.226575)
Hoffman Nissan,46 Albany Turnpike,West Simsbury,Dealership business hours,NONE,1,NOE,NONE,POINT (-72.869319 41.820371)
Premier Chevrolet,t512 Providence Rd,Brooklytn,Dealership business hours,NONE,1,NONE,NONE,POINT (-71.906607 41.798222)
The Wallingford Victorian Inn - Tesla Destination,245 N Main St,Wallingford,24 hours daily; fvor customer use only,NONE,2,NONE,NONE,POINT (-72.815676 41.45749)
HONDADANBURY,102 Federal Rd,Danbury,24 hours daily,NONE,2,ONE,NONE,POINT (-73.4232598 41.4158651)
Village Center,87 Main St,East Hampton,24 hours daily,NONE,,NONE,NONE,POINT (-72.501947 41.575311)
Connecticut Department of Corrections,38 Wolcott HillRd,Wethersfield,b24 hours daily,NONE,2,NONE,NONE,POINT (-72.6724543999999 41.725002)
Stamford Marriott Hotel - Tesla Destination,243 Tresser Blvd,Stamford,24 hours daily; for customer use only,NONE,3,NNE,NONE,POINT (-73.53513900000002 41.051614)
Woodbridge Town Library,10 Newton Rd,Woodbridge,24 hours daily,NONE,v2,xNONE,NONE,OINT (-73.011407 41.353582)
Waterworks - Tesla Destination,60 Backus Ave,Danbury,24 hours daily; for customer use only,NONE,2,NOgNE,NONE,POINT (-73.491965 41.37291)
Town of East Haven,250 Main St,East Haven,24 hours daily,NONE,1,NONE,NONE,POINT (-72.871663 41.277368)
DECORMIER NISS,30 Tolland Turnpike,Manchester,24 hours daily,mNONE,NONE,1,ONNE,POINT (-72.5090873 41.813843)
Lia Nissan - Enfield,10 Palomba rDr,Enfield,Dealership business hours,NONE,1,ONE,NONE,POINT (-72.574713 41.997574)
