sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),countvalue(long),noteonpercent,noteoncount
Total,Male,"Black, non-Hispanic",2011,132.5,5073,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,ale,Hispanic,2009,28.1,1398,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,Hispanic,2010,27.0,1506,Hispanic/Latinos can be of any race,Hispanic/Latins can be of any race
"Total - White, non-Hispanic",Male,Hispanic,2011,29.3,1660,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Hispanic",Male,"Asian, non-Hispanic",2009,8.4,87,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Female,Male,"Asian, non-Hispanic",2010,7.0,86,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total,Male,"Asian, non-Hispanic",2011,10.7,131,Hispanic/Latinos can be of any race,Hispanic/Latnios can be of any race
Total - Female,Masle,"Pacific Islander, non-Hispanic",2009,16.5,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Black, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,30.0,16,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,37.4,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
Total - Hispanic,Male,"American Indian/Alaska Native, non-Hispanic",2009,8.2,20,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Asian, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,13.2,31,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hisanic",2011,18.2,43,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2009,29.0,150,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Male,"Tw or more races, non-Hispanic",2010,25.0,160,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Male, Two or more races, non-Hispanic",Maile,"Two ormore races, non-Hispanic",2011,23.7,159,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,1.8,264,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Femael,"White, no-nHispanic",2010,1.7,239,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, White, non-Hispanic",Fenmale,"White,x non-Hispanic",2011,1.7,238,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,31.5,1177,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Femael,"Black, non-iHspanic",2010,28.1,1056,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Black, non-Hispanic",Fqemale,"Black, on-Hispanic",2011,30.4,1144,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Femael,Hispanic,2009,4.9,222,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Female,Hispaic,2010,4.5,230,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Hispanic",Femael,Hispanci,2011,4.1,213,Hispanic/Latinoscan be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Fmale,"Asian, non-Hispanic",2009,1.3,13,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Asian, non-Hispanic",Female,"Asain, non-Hispanic",2010,1.5,18,Hispanic/Latinos can be of any race,Hispanic/Latinos can beof any race
"Total - Female, Asian, non-Hispanic",Flemale,"Asian, non-Hspanic",2011,1.3,15,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Feamle,"Pacific Islander, non-Hispanic",2009,9.7,4,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispnaic",2010,0.0,0,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Pacific Islander, non-Hispanic",sFemale,"Pacific Islnder, non-Hispanic",2011,0.0,0,Hispanic/Latinos can be of anyrace,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,2.2,5,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alasgka Native, non-Hispanic",2010,3.3,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can e of any race
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hsipanic",2011,2.9,7,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Feale,"Two or more races, non-Hispanic",2009,7.5,38,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races,i non-Hispanic",2010,5.6,37,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
"Total - Female, Two or more races, non-Hispanic",eFmale,"Two ror more races, non-Hispanic",2011,3.6,25,Hispanic/Latinos can be of any race,Hispanic/Latinos can be of any race
