CT,XPAD,XPAN,XWAD,XWAN,XMAD,XMAN
472100,1141,169,618,117,523,52
472200,984,144,512,92,472,52
472300,784,128,430,87,354,41
472400,1039,160,546,100,493,60
473100,2458,382,1319,250,1139,132
473200,1604,263,912,183,692,80
473300,3156,490,1738,340,1418,150
473401,1922,297,1000,172,922,125
473402,1797,280,950,185,847,95
473500,1983,261,1029,173,954,88
473601,2083,332,1116,222,967,110
473602,2442,425,1348,282,1094,143
474101,2286,292,1188,189,1098,103
474102,2071,275,1074,182,997,93
474201,1452,217,752,141,700,76
474202,2817,457,1458,293,1359,164
474203,2646,383,1378,241,1268,142
475101,2523,491,1430,346,1093,145
475102,958,158,485,103,473,55
475200,2848,472,1508,322,1340,150
475301,2458,396,1329,272,1129,124
475303,2439,385,1300,259,1139,126
475304,2996,473,1591,322,1405,151
475401,2180,386,1167,250,1013,136
475402,1757,283,940,191,817,92
476100,2293,407,1277,281,1016,126
476200,1735,325,952,232,783,93
477100,2073,371,1124,252,949,119
477200,2481,438,1365,298,1116,140
477300,3047,405,1583,280,1464,125
478100,2060,371,1086,255,974,116
478200,2934,478,1557,326,1377,152
479000,1101,206,601,159,500,47
480101,2601,420,1364,294,1237,126
480102,1730,289,951,203,779,86
480200,1950,289,1017,187,933,102
480300,1956,323,1042,220,914,103
480400,2743,485,1500,352,1243,133
481000,1403,223,782,166,621,57
482500,1016,194,554,135,462,59
483800,1172,194,693,139,479,55
484300,1501,256,821,155,680,101
484500,3223,583,1756,401,1467,182
484600,1085,199,627,140,458,59
485000,587,109,330,70,257,39
486700,810,127,495,88,315,39
486800,678,88,363,62,315,26
486900,573,78,329,46,244,32
487000,909,190,492,131,417,59
488100,1171,206,628,144,543,62
488200,1678,281,950,196,728,85
488300,1149,187,623,134,526,53
488400,2301,422,1322,313,979,109
488500,1481,262,797,185,684,77
488600,2544,450,1427,324,1117,126
489001,2585,426,1425,295,1160,131
489002,2184,369,1146,243,1038,126
490002,2498,405,1350,278,1148,127
490003,2040,293,1050,202,990,91
490004,2887,454,1531,307,1356,147
491101,4083,607,2138,428,1945,179
491200,1076,203,589,134,487,69
492700,797,159,447,114,350,45
492800,1101,143,652,105,449,38
492900,893,151,506,98,387,53
494000,702,123,400,90,302,33
495000,1005,187,533,136,472,51
496101,1802,301,962,212,840,89
496102,2561,445,1366,304,1195,141
496200,3178,552,1708,399,1470,153
497000,526,76,282,51,244,25
498000,1398,270,757,190,641,80
499300,794,136,448,87,346,49
499400,1264,267,710,189,554,78
500300,1911,391,1101,275,810,116
50100,768,95,458,69,310,26
501000,704,138,392,96,312,42
503002,3215,631,1815,445,1400,186
504100,2178,403,1228,288,950,115
50600,771,90,454,68,317,22
507000,955,179,524,123,431,56
508000,694,118,389,86,305,32
50900,481,62,292,46,189,16
509400,2149,411,1227,300,922,111
51000,451,57,278,42,173,15
510000,651,104,385,78,266,26
51100,50,5,34,3,16,2
512000,838,168,463,110,375,58
512800,474,67,276,44,198,23
512900,440,45,253,33,187,12
513800,747,93,440,65,307,28
514000,756,97,463,78,293,19
515100,1083,167,631,116,452,51
515200,921,188,534,131,387,57
515300,763,141,475,98,288,43
515401,1117,186,655,141,462,45
516100,713,133,385,88,328,45
516200,949,135,520,87,429,48
517000,744,128,424,91,320,37
518001,2009,360,1159,248,850,112
519000,1748,275,927,170,821,105
520001,1600,311,872,201,728,110
520002,1531,277,848,191,683,86
521100,2319,355,1261,255,1058,100
521200,1983,304,1095,209,888,95
521301,1830,337,1053,253,777,84
521302,1994,312,1080,213,914,99
521401,1337,216,743,149,594,67
521402,2194,320,1145,202,1049,118
521500,2229,351,1200,230,1029,121
522000,1279,223,731,151,548,72
523100,1695,196,1004,145,691,51
523200,1878,244,1069,177,809,67
523300,1918,274,1064,199,854,75
523400,2392,376,1405,281,987,95
523501,2237,307,1236,205,1001,102
523502,734,120,425,88,309,32
523600,2408,414,1362,289,1046,125
523701,2128,364,1150,239,978,125
523702,2536,470,1414,341,1122,129
523800,2450,450,1343,319,1107,131
524000,1091,196,569,137,522,59
525100,1111,212,634,149,477,63
525200,1129,223,645,159,484,64
525300,1216,219,649,148,567,71
526101,2105,364,1119,244,986,120
526102,1065,164,548,118,517,46
526201,2184,325,1142,220,1042,105
526202,2512,398,1333,278,1179,120
526301,2252,372,1200,248,1052,124
526302,2459,377,1296,260,1163,117
550900,675,102,371,61,304,41
551200,1397,243,791,157,606,86
551300,1290,229,706,150,584,79
551900,516,104,286,63,230,41
552000,1239,196,735,145,504,51
552100,359,76,215,51,144,25
552200,479,91,280,65,199,26
552300,893,117,503,79,390,38
552400,1397,260,764,179,633,81
560400,497,85,304,53,193,32
560500,983,185,548,122,435,63
560600,401,65,232,42,169,23
561000,466,57,247,30,219,27
561100,340,53,196,32,144,21
561200,425,43,239,30,186,13
561400,1625,234,1003,172,622,62
561500,1097,178,660,134,437,44
561600,961,165,547,110,414,55
561700,303,46,157,28,146,18
561900,848,84,502,65,346,19
562000,776,162,404,93,372,69
562300,1335,230,775,165,560,65
562400,1094,145,626,111,468,34
562500,976,116,552,81,424,35
562600,1024,156,545,104,479,52
562700,448,67,241,41,207,26
562800,622,128,332,90,290,38
562900,816,163,463,111,353,52
563000,1159,179,669,135,490,44
563100,1867,294,992,196,875,98
563200,700,122,359,72,341,50
563300,887,108,462,72,425,36
563800,1845,339,998,217,847,122
563900,1963,341,1094,240,869,101
564000,1625,225,874,145,751,80
564100,517,59,261,30,256,29
564200,991,206,539,151,452,55
564400,2797,533,1529,366,1268,167
564500,806,114,440,85,366,29
60300,1043,192,533,129,510,63
60500,633,102,337,70,296,32
70300,815,118,414,68,401,50
70500,920,133,469,85,451,48
70600,841,142,479,101,362,41
70800,673,104,364,65,309,39
70900,1410,204,754,131,656,73
80200,730,132,401,101,329,31
80400,510,72,257,46,253,26
80600,851,136,440,90,411,46
80700,561,60,309,47,252,13
80900,746,115,401,75,345,40
90100,817,150,426,101,391,49
90200,1142,229,649,158,493,71
90300,650,120,351,74,299,46
980100,7,0,6,0,1,0
980700,9,0,5,0,4,0
