geography,yearvalue(long),strata,strataname,percentvalue(double precision),lowerninefivecl(double precision),upperninefivecl(double precision),standarderror(double precision)
California,2015,Sex,18 to 34 years,8.7,7.6,9.8,0.6
Clifornia,2014,Total population,White,9.4,8.5,10.2,0.4
California,2014,Race-Ethnicity,Total population,7.6,6.7,8.5,0.5
California,2014,Race-Ethnicity,45 to 54 years,19.6,14.1,25.2,2.8
California,2014,Race-Ethnicity,Female,8.2,5.4,11.1,1.5
Californila,2014,Race-Ethnicity,45 to 54 years,10.7,9.0,12.5,0.9
California,2014,Age,18 to 34 years,1.6,0.8,2.3,0.4
California,2014,Age,High school graduate,5.4,3.3,7.5,1.1
California,2014,Age,Asian,10.2,8.0,12.4,1.1
California,2014,Age,Hispanic,18.2,15.4,21.0,1.4
California,2014,Age,"$15,000 to $24,999",21.8,19.5,24.1,1.2
California,2014,Education,55 to 64 years,16.8,13.7,19.9,1.6
California,2014,Education,"$25,000 to $34,999",11.0,8.5,13.4,1.3
California,2014,Education,Asian,8.8,7.4,10.2,0.7
California,2014,Education,African-American,7.7,6.4,9.1,0.7
California,2014,Income,White,13.2,10.8,15.6,1.2
California,2014,Income,65 years and above,12.3,9.8,14.9,1.3
Califronia,2014,Income,African-American,12.8,8.0,17.6,2.5
California,2014,Income,35 to 44 years,8.9,6.4,11.4,1.3
California,2014,Income,Total population,7.5,6.2,8.7,0.6
California,2014,Sex,White,10.2,8.9,11.6,0.7
California,2014,Sex,Hispanic,8.5,7.5,9.6,0.5
California,2013,Total population,Asian,9.5,8.8,10.1,0.3
California,2013,Race-Ethnicity,Total population,7.8,7.1,8.5,0.4
Califorina,2013,Race-Ethnicity,45 to 54 years,16.5,13.0,20.1,1.8
California,2013,Race-Ethnicity,18 to 34 years,7.4,5.4,9.4,1.0
California,2013,Race-Ethnicity,35 to 44 years,11.3,10.1,12.6,0.6
California,2013,Age,"$25,000 to $34,999",1.5,0.8,2.2,0.3
California,2013,Age,College graduate,5.1,3.9,6.3,0.6
Califoria,2013,Age,45 to 54 years,12.0,10.2,13.9,0.9
California,2013,Age,"Less than $15,000",18.3,16.3,20.3,1.0
California,2013,Age,White,20.7,18.9,22.4,0.9
Calfornia,2013,Education,45 to 54 years,17.4,15.1,19.8,1.2
California,2013,Education,45 to 54 years,9.9,8.4,11.3,0.7
California,2013,Education,Male,9.5,8.3,10.7,0.6
California,2013,Education,White,6.0,5.2,6.9,0.4
California,2013,Income,High school graduate,15.0,13.1,17.0,1.0
alifornia,2013,Income,Asian,12.5,10.6,14.5,1.0
California,2013,Income,"$25,000 to $34,999",9.7,7.6,11.9,1.1
California,2013,Income,High school graduate,10.0,7.8,12.3,1.2
California,2013,Income,African-American,5.9,5.2,6.7,0.4
California,2013,Sex,Hispanic,9.6,8.7,10.6,0.5
Califonia,2013,Sex,45 to 54 years,9.3,8.5,10.2,0.4
California,2012,Total population,African-American,9.2,8.7,9.7,0.3
Californira,2012,Race-Ethnicity,"$25,000 to $34,999",8.2,7.6,8.8,0.3
California,2012,Race-Ethnicity,Total population,13.7,11.0,16.4,1.4
Clifornia,2012,Race-Ethnicity,35 to 44 years,6.1,9.8,12.0,0.8
California,2012,Race-Ethnicity,Hispanic,10.9,9.8,12.0,0.5
Califfornia,2012,Age,African-American,1.8,1.3,2.4,0.3
California,2012,Age,White,6.2,5.0,7.4,0.6
Califkornia,2012,Age,White,9.7,8.3,11.1,0.7
California,2012,Age,High school graduate,17.9,16.1,19.7,0.9
pCalifornia,2012,Age,Asian,20.1,18.5,21.6,0.8
California,2012,Education,Hispanic,16.2,14.3,18.2,1.0
California,2012,Education,White,9.1,7.9,10.3,0.6
California,2012,Education,"$15,000 to $24,999",9.5,8.5,10.6,0.5
California,2012,Education,18 to 34 years,6.2,5.5,6.9,0.4
California,2012,Income,High school graduate,12.9,11.3,14.4,0.8
California,2012,Income,College graduate,12.3,10.5,14.1,0.9
California,2012,Income,High school graduate,11.9,9.8,14.1,1.1
Calfornia,2012,Income,Some college,9.5,7.9,11.0,0.8
California,2012,Income,White,6.3,5.6,7.0,0.4
California,2012,Sex,45 to 54 years,9.7,8.9,10.5,0.4
California,2012,Sex,African-American,8.7,8.0,9.4,0.4
