4846.geocodecitylevel,"Lovingtono, NM
(32.943949, -103.34988)","Lovington, NM
(32.943949, -103.34988)"
6348.psapname,Hopkinsville Firie Department,Hopkinsville Fire Department
6617.county,Somesret,Somerset
4268.psapname,Lsincoln County 9-1-1,Lincoln County 9-1-1
1347.statevalue,I,WI
6075.geocodecitylevel,"Camden, TN
(36.057841, -8.8097495)","Camden, TN
(36.057841, -88.097495)"
8443.county,Milwaukee***,Milwaukee
5596.typeofchangefulltext,No Chages have been made.,No Changes have been made.
6169.geocodecitylevel,"South Gate, CA
(33.z954211, -118.206087)","South Gate, CA
(33.954211, -118.206087)"
5672.datelastmodified,020/1/2017,02/01/2017
4902.datelastmodified,030/4/2004,03/04/2004
1000.county,Hendersoan,Henderson
2297.statevalue,S,MS
8270.county,Hendrcks,Hendricks
7738.county,Masisac,Massac
2089.city,Ornoo,Orono
5796.datelastmodified,11/152004,11/15/2004
7016.geocodecitylevel,"Mcae, GA
(32.068102, -82.900928)","Mcrae, GA
(32.068102, -82.900928)"
7599.statevalue,nOR,OR
6762.geocodecitylevel,"Lebanon, MOq
(37.675429, -92.664006)","Lebanon, MO
(37.675429, -92.664006)"
3260.psapname,Phillijps County Communication Center,Phillips County Communication Center
7861.datelastmodified,04/27/0210,04/27/2010
2.psapname,Hopi Polic Department,Hopi Police Department
7826.county,Slauda,Saluda
6292.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in futre filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
5546.typeofchangefulltext,Orphaned PSAP no longer considered a primakry call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1301.geocodecitylevel,"Wagoner, OK
(35.959788, w-95.377898)","Wagoner, OK
(35.959788, -95.377898)"
7305.geocodecitylevel,"Kimberly, ID
(42.538517, -14.364802)","Kimberly, ID
(42.538517, -114.364802)"
7292.geocodecitylevel,"Tiptonville, TN
(36.378194 -89.47248)","Tiptonville, TN
(36.378194, -89.47248)"
7354.typeofchangefulltext,No Changesh have been made.,No Changes have been made.
396.geocodecitylevel,"Franklin, IN
(39.4y94444, -86.066666)","Franklin, IN
(39.494444, -86.066666)"
3904.city,aPmpa,Pampa
3589.psapname,Katy Police Depxartment,Katy Police Department
4492.psapname,Crown Point Police Departmetn,Crown Point Police Department
6582.geocodecitylevel,"Van Buren, MO
(37.002883, -91011905)","Van Buren, MO
(37.002883, -91.011905)"
3617.psapname,Hillsborough County Fire Awnd Rescue,Hillsborough County Fire And Rescue
4972.statevalue,SK,KS
4047.datelastmodified,03/04/2004***,03/04/2004
8054.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Rerfain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4781.city,aHstings,Hastings
2167.psapname,San Benito County Communications Center (hollwister),San Benito County Communications Center (hollister)
7659.statevalue,LF,FL
6347.geocodecitylevel,"Maison, VA
(38.380213, -78.257662)","Madison, VA
(38.380213, -78.257662)"
7025.city,Jacksonille,Jacksonville
4026.typeofchangefulltext,No Changes have been mde.,No Changes have been made.
4421.statevalue,OM,MO
7100.datelastmodified,03/04/2040,03/04/2004
7527.statevalue,J,NJ
1671.datelastmodified,03/40/2004,03/04/2004
1856.statevalue,AkR,AR
6463.psapname,Sedona Fire Disrict,Sedona Fire District
7817.statevalue,ThX,TX
8250.county,Staly,Stanly
6515.psapname,Napoelon Police Department,Napoleon Police Department
5977.city,Perston,Preston
1744.datelastmodified,03/4/2004,03/04/2004
6016.geocodecitylevel,"Margate, NJ
(39.3289, -74.506302)","Margate, NJ
(39.3298, -74.506302)"
1093.city,Bronwstown,Brownstown
5227.county,Hutchinfson,Hutchinson
270.county,Ferdericksburg City,Fredericksburg City
6214.city,Ala,Alva
2154.typeofchangefulltext,tNo Changes have been made.,No Changes have been made.
1460.datelastmodified,04/082017,04/08/2017
1728.statevalue,IvD,ID
1936.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
4423.geocodecitylevel,"Centerville, IA
40.732502, -92.874161)","Centerville, IA
(40.732502, -92.874161)"
4776.psapname,Sherman Count ySheriffs Department,Sherman County Sheriffs Department
7032.psapname,onejos County Sheriff,Conejos County Sheriff
7315.geocodecitylevel,"Aad, MN
(47.296093, -96.514159)","Ada, MN
(47.296093, -96.514159)"
7290.typeofchangefulltext,"PSAPh Name, State, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
8267.city,Daleviulle,Daleville
4919.datelastmodified,08b/15/2017,08/15/2017
1519.geocodecitylevel,"Goldsboro, NC(35.386634, -77.999032)","Goldsboro, NC
(35.386634, -77.999032)"
3826.geocodecitylevel,"Mio, MI
(44652363, -84.126074)","Mio, MI
(44.652363, -84.126074)"
5562.city,Greenwwood,Greenwood
5503.typeofchangefulltext,"PSAP Name, State, Couty or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
6884.county,Bristlo,Bristol
4992.psapname,Cedar Consolidated Communications Centter,Cedar Consolidated Communications Center
4848.geocodecitylevel,"Marseilles, IL
(41.330495, -88.708297)***","Marseilles, IL
(41.330495, -88.708297)"
7986.county,Pottawatomei,Pottawatomie
1106.statevalue,KA,AK
672.geocodecitylevel,"Greensboro, NC
(36.072701, -79.793n899)","Greensboro, NC
(36.072701, -79.793899)"
5516.psapname,Hitchcock Couty 911,Hitchcock County 911
6241.county,Barour,Barbour
2976.city,St Pal,St Paul
545.statevalue,AP,PA
6021.datelastmodified,03/042004,03/04/2004
6592.datelastmodified,0/30/2017,08/30/2017
1832.datelastmodified,11/1/2004,11/15/2004
4486.psapname,Mecom,Metcom
3149.county,Oaklantd,Oakland
7371.datelastmodified,03/0/42004,03/04/2004
4733.statevalue,LF,FL
8085.county,Wahsoe,Washoe
3540.city,Greenield,Greenfield
4369.datelastmodified,07/03/014,07/03/2014
5624.datelastmodified,03/4/2004,03/04/2004
3648.county,Walthlal,Walthall
1281.county,ortland,Cortland
4168.county,Clrak,Clark
7664.typeofchangefulltext,No Cuhanges have been made.,No Changes have been made.
2732.datelastmodified,04/19/2001,04/19/2010
3199.typeofchangefulltext,No Cahnges have been made.,No Changes have been made.
4918.datelastmodified,m03/04/2004,03/04/2004
1613.psapname,Us Navy Little rCeek Ldc,Us Navy Little Creek Ldc
893.datelastmodified,03/04/200q4,03/04/2004
5677.statevalue,O,MO
3767.city,Ashlad,Ashland
6109.typeofchangefulltext,No Changes have een made.,No Changes have been made.
8473.datelastmodified,03/04/o2004,03/04/2004
6500.datelastmodified,10/17/2070,10/17/2007
3257.statevalue,A,CA
7743.city,Jacksn,Jackson
2911.geocodecitylevel,"Bloomington, IN
(39.166587,g -86.534893)","Bloomington, IN
(39.166587, -86.534893)"
3472.statevalue,CuA,CA
7482.city,Galltain,Gallatin
2592.county,Dentno,Denton
7636.statevalue,A,LA
6702.statevalue,VvA,VA
6296.county,Claay,Clay
5937.city,vKenosha,Kenosha
6776.psapname,Fountain Plice Department,Fountain Police Department
6836.geocodecitylevel,"Moorcroft,z WY
(44.2635, -104.950235)","Moorcroft, WY
(44.2635, -104.950235)"
488.datelastmodified,03/g04/2004,03/04/2004
591.city,ale,Yale
3317.county,scambia,Escambia
3455.city,Morton Groev,Morton Grove
451.datelastmodified,03/4/2004,03/04/2004
2236.statevalue,OM,MO
6281.typeofchangefulltext,No Changesh ave been made.,No Changes have been made.
4532.county,Alocrn,Alcorn
4018.psapname,Plymouth Polic Department,Plymouth Police Department
2369.city,La Grage,La Grange
199.psapname,Blanca Town Marshals Offcie,Blanca Town Marshals Office
677.datelastmodified,03/c07/2015,03/07/2015
3798.county,Haris,Harris
298.datelastmodified,03/0/2004,03/04/2004
1681.typeofchangefulltext,Secondary PSAP associated withj a Primary PSAP. Use the Primary PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
413.statevalue,lNC,NC
4722.county,Randolhp,Randolph
2514.city,Boqulder,Boulder
3813.county,lymouth,Plymouth
1699.datelastmodified,03/04/2040,03/04/2004
7004.county,Laudperdale,Lauderdale
2492.psapname,Meeker Police Deprtment,Meeker Police Department
2283.typeofchangefulltext,Orphaned PSAP no longer cnsidered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
565.datelastmodified,03/0a4/2004,03/04/2004
1487.datelastmodified,03/04/0204,03/04/2004
5806.statevalue,fMI,MI
3173.statevalue,D,ID
4583.datelastmodified,03/28/201,03/28/2011
1476.statevalue,HO,OH
354.city,Okulgee,Okmulgee
1123.statevalue,MwO,MO
7986.city,Shanee,Shawnee
3114.statevalue,TC,CT
109.county,Buttde,Butte
5502.geocodecitylevel,"Mt Vernon, IL
(38.317612, -88.94734)","Mt Vernon, IL
(38.317612, -88.904734)"
6456.statevalue,CwA,CA
7118.geocodecitylevel,"Pope Air Force lBase, NC
(35.168655, -79.010559)","Pope Air Force Base, NC
(35.168655, -79.010559)"
7404.county,Cwulberson,Culberson
8419.geocodecitylevel,"Ipswich, SD
(45.444336 ,-99.029291)","Ipswich, SD
(45.444336, -99.029291)"
6222.typeofchangefulltext,No Chanegs have been made.,No Changes have been made.
4546.statevalue,TgX,TX
3472.psapname,Fremont Pmolice Department,Fremont Police Department
8157.county,Wasington,Washington
7361.psapname,FyffeP olice Department,Fyffe Police Department
8488.city,Asen,Aspen
1318.psapname,Rhoboth Police,Rehoboth Police
2072.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refran from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1500.statevalue,NrY,NY
2760.geocodecitylevel,"Morryison, CO
(39.652391, -105.191315)","Morrison, CO
(39.652391, -105.191315)"
8122.county,Yukon-koyukuk Censsu Area,Yukon-koyukuk Census Area
6110.city,Richmnod,Richmond
4925.geocodecitylevel,"Tempe, AZ
(v33.425522, -111.941253)","Tempe, AZ
(33.425522, -111.941253)"
8024.geocodecitylevel,"Georgetown, KY
(38.209947, -y84.559769)","Georgetown, KY
(38.209947, -84.559769)"
8273.geocodecitylevel,"Las Animas, O
(38.065042, -103.225269)","Las Animas, CO
(38.065042, -103.225269)"
26.statevalue,IW,WI
4530.datelastmodified,02l/27/2008,02/27/2008
1286.psapname,Huvmble Police Department,Humble Police Department
7775.city,airplay,Fairplay
3860.geocodecitylevel,"Westwood, MA
(42.22499, -71z.2226)","Westwood, MA
(42.22499, -71.2226)"
4224.statevalue,KO,OK
2583.county,KenaiPeninsula Borough,Kenai Peninsula Borough
5260.county,Cleveand,Cleveland
75.typeofchangefulltext,No Chapnges have been made.,No Changes have been made.
6116.geocodecitylevel,"Wilburton, OK
(34.917052, -95.312078)","Wilburton, OK
(34.917025, -95.312078)"
5468.psapname,Senca County 9-1-1,Seneca County 9-1-1
1090.psapname,Taney County Sherijff,Taney County Sheriff
1070.datelastmodified,04/22/201w0,04/22/2010
1285.county,Tulas,Tulsa
2162.statevalue,DS,SD
4757.psapname,South Ambo City Police Department,South Amboy City Police Department
880.psapname,Ferndale Police Departmernt,Ferndale Police Department
3043.typeofchangefulltext,NoC hanges have been made.,No Changes have been made.
1099.county,Mercre,Mercer
6846.geocodecitylevel,"Porucpine, SD
(43.251456, -102.338901)","Porcupine, SD
(43.251456, -102.338901)"
2561.datelastmodified,09/13/2001,09/13/2010
4652.county,Ketchikan Gateway Brough,Ketchikan Gateway Borough
6544.statevalue,J,NJ
6803.city,VanWert,Van Wert
2173.psapname,Monroe Counety 9-1-1,Monroe County 9-1-1
8353.city,ushnell,Bushnell
2298.psapname,Jal Police Dpartment,Jal Police Department
1241.statevalue,yVA,VA
4926.statevalue,JN,NJ
3239.psapname,Huron Fire aDepartment-north Station,Huron Fire Department-north Station
778.county,Henyr,Henry
5781.statevalue,oMO,MO
2632.datelastmodified,03/04/204,03/04/2004
6050.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primray PSAP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
4134.geocodecitylevel,"Winama, IN
(41.051353, -86.602879)","Winamac, IN
(41.051353, -86.602879)"
2090.psapname,Hillside Townshi pPolice Department,Hillside Township Police Department
3616.statevalue,gKS,KS
2362.psapname,Clark County Sherff's Office,Clark County Sheriff's Office
4051.geocodecitylevel,"Northrdge, CA
(34.228298, -118.535797)","Northridge, CA
(34.228298, -118.535797)"
7377.county,wDade,Dade
5944.county,Tylesr,Tyler
2917.datelastmodified,120/3/2004,12/03/2004
4019.county,vBottineau,Bottineau
5391.city,Slaytpon,Slayton
7781.psapname,Parke County Shersiff,Parke County Sheriff
4131.statevalue,XT,TX
8178.county,Lincioln,Lincoln
3606.statevalue,nMO,MO
6286.statevalue,I,RI
1232.statevalue,X,TX
4215.statevalue,LA,AL
3375.city,amah,Ramah
1479.county,Luarens,Laurens
4871.county,ook,Cook
2238.city,Inksetr,Inkster
2029.psapname,Naval cStation Norfolk Regional Dispatch Center,Naval Station Norfolk Regional Dispatch Center
2216.geocodecitylevel,"Sussxe County, NJ
(40.866392, -74.650246)","Sussex County, NJ
(40.866392, -74.650246)"
3135.geocodecitylevel,"Mt Carmell, IL
(38.415745, -87.764579)","Mt Carmel, IL
(38.415745, -87.764579)"
5330.geocodecitylevel,"Dade Ciyt, FL
(28.364594, -82.18912)","Dade City, FL
(28.364594, -82.18912)"
2827.statevalue,HO,OH
4890.county,Nueecs,Nueces
5852.statevalue,OC,CO
7272.datelastmodified,11/09/2004***,11/09/2004
612.psapname,Mautson Police Department,Mauston Police Department
6034.psapname,Hamilton Counyt Sheriff's Office,Hamilton County Sheriff's Office
6516.city,Wjorland,Worland
5535.statevalue,NbC,NC
1165.statevalue,jMO,MO
4409.county,Santa Calra,Santa Clara
183.city,Mettr,Metter
4164.psapname,Jefferson County Sheiff,Jefferson County Sheriff
5149.typeofchangefulltext,No Changes have been mad.e,No Changes have been made.
5030.psapname,Spotsylvania iEmergency Communications,Spotsylvania Emergency Communications
6256.typeofchangefulltext,"PSAP Name, State, County or City text has been modified suince the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
1765.city,ikeville,Pikeville
7091.psapname,Sargent Cuonty,Sargent County
2660.city,Pymouth,Plymouth
3338.psapname,eBxar Metro Training #5,Bexar Metro Training #5
3663.county,Css,Cass
203.city,oSuth Orange,South Orange
460.statevalue,A,CA
5028.typeofchangefulltext,OrphanedPSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8026.geocodecitylevel,"Vandenburg Air oFrce Base, CA
(39.804401, -120.1772)","Vandenburg Air Force Base, CA
(39.804401, -120.1772)"
5559.county,Jacskon,Jackson
8003.psapname,Hookers County,Hooker County
7950.statevalue,CxA,CA
3426.statevalue,AP,PA
7040.statevalue,AvL,AL
8525.city,tGlenwood,Glenwood
2679.typeofchangefulltext,No Chsanges have been made.,No Changes have been made.
182.geocodecitylevel,"Spokane, WA
(47.658999, -117.42502)","Spokane, WA
(47.658999, -117.425022)"
568.geocodecitylevel,"Jackson, TN
(35.614344, -88.81938)***","Jackson, TN
(35.614344, -88.81938)"
2798.county,Barer,Barber
4324.city,Rochester Hiqlls,Rochester Hills
6319.geocodecitylevel,"olumbia, SC
(34.009286, -81.037094)","Columbia, SC
(34.009286, -81.037094)"
979.psapname,Lac Qui Parl County Psap,Lac Qui Parle County Psap
1326.city,F tWorth,Ft Worth
8316.county,Aclona,Alcona
5426.city,Riacine,Racine
144.geocodecitylevel,"Montrose, IA
(40.530605, -9s1.411211)","Montrose, IA
(40.530605, -91.411211)"
4342.statevalue,dMI,MI
590.psapname,Livingston Parish Sheriff'sOffice,Livingston Parish Sheriff's Office
7542.geocodecitylevel,"Yreka, CA
(u41.731582, -122.635649)","Yreka, CA
(41.731582, -122.635649)"
7351.typeofchangefulltext,No Changes havhe been made.,No Changes have been made.
98.psapname,Mtehuen Police,Methuen Police
1784.statevalue,vAL,AL
581.psapname,"Joint Base Mcguire, Dix And Luakehurst","Joint Base Mcguire, Dix And Lakehurst"
1041.city,Naazreth,Nazareth
3781.geocodecitylevel,"Willmoar, MN
(45.122018, -95.043866)","Willmar, MN
(45.122018, -95.043866)"
7267.typeofchangefulltext,Secondary PSAP associated with a Primary PSAP. Use the Primary PSP in future filings.,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.
6335.statevalue,AC,CA
6906.city,Westmiwnster,Westminster
6932.psapname,Westminster Police An dFire Department,Westminster Police And Fire Department
3352.county,Nemwport,Newport
1510.city,ansfield,Mansfield
192.psapname,La Habra Heights Fire Deaprtment,La Habra Heights Fire Department
4422.psapname,Cedar County Sheriffs 9h11,Cedar County Sheriffs 911
999.psapname,Sterling Communciations,Sterling Communications
5356.datelastmodified,03/4/2004,03/04/2004
5100.psapname,Lee County Communication E9-1-1 eCnter,Lee County Communication E9-1-1 Center
5973.typeofchangefulltext,PSAP was added since the originalx posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
953.city,Nsahville,Nashville
1011.county,Dawon,Dawson
632.datelastmodified,03/40/2004,03/04/2004
2378.datelastmodified,0/304/2004,03/04/2004
6443.typeofchangefulltext,Orphaned PSAP no longer considered ap rimary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
6128.datelastmodified,05/22/208,05/22/2008
6028.geocodecitylevel,"San Gabriel, CA
(34.099203 ,-118.107229)","San Gabriel, CA
(34.099203, -118.107229)"
3620.geocodecitylevel,"Hobart, OK
(35.023998, -99.093124)","Hobart, OK
(35.029398, -99.093124)"
4898.datelastmodified,052/2/2008,05/22/2008
2725.datelastmodified,60/19/2014,06/19/2014
7667.statevalue,JN,NJ
52.datelastmodified,03/04/004,03/04/2004
2423.city,Glenwood***,Glenwood
3467.county,Hlal,Hall
4674.geocodecitylevel,"Hyder, AK
o(55.917675, -130.027715)","Hyder, AK
(55.917675, -130.027715)"
8491.city,wFarmville,Farmville
3708.datelastmodified,03/0/42004,03/04/2004
38.geocodecitylevel,"Slidel,l LA
(30.278641, -89.779372)","Slidell, LA
(30.278641, -89.779372)"
1529.psapname,Dickinson Polic Department,Dickinson Police Department
4855.city,Linfton,Linton
2468.statevalue,L,IL
1595.statevalue,A,VA
8267.psapname,Daleville Department O fPublic Safety,Daleville Department Of Public Safety
1437.datelastmodified,03/04/p2004,03/04/2004
8253.datelastmodified,03/04/2q004,03/04/2004
5374.psapname,Willimnatic Switchboard Emergency Communication Center,Willimantic Switchboard Emergency Communication Center
1802.datelastmodified,07/122/013,07/12/2013
4241.county,Uinon,Union
6313.datelastmodified,0a3/04/2004,03/04/2004
1077.datelastmodified,08/19/2061,08/19/2016
6348.city,Hopkintsville,Hopkinsville
4930.county,lackamas,Clackamas
1991.city,La Ftollette,La Follette
4285.city,Superor,Superior
4322.typeofchangefulltext,No Changes have been jmade.,No Changes have been made.
2216.psapname,Sussex jCounty Communications,Sussex County Communications
8338.datelastmodified,0l8/19/2016,08/19/2016
8428.datelastmodified,03/04/004,03/04/2004
1253.city,Stuttgasrt,Stuttgart
1813.datelastmodified,08/07/2031,08/07/2013
7250.statevalue,ZA,AZ
429.psapname,West Bnd Police Department,West Bend Police Department
6590.geocodecitylevel,"Canadian, TX
(35.91493, -100.38488)","Canadian, TX
(35.91493, -100.384858)"
6316.psapname,Otoe Couny,Otoe County
7681.statevalue,vAK,AK
586.statevalue,S,KS
2666.county,San Bernadino,San Bernardino
1151.datelastmodified,05/07/20l12,05/07/2012
4404.typeofchangefulltext,Orphaned PSAP no longer considered a primary call vtaking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1962.city,Russellvillge,Russellville
5110.county,Tuoscarawas,Tuscarawas
4271.datelastmodified,07/31b/2017,07/31/2017
297.datelastmodified,07/24/201w7,07/24/2017
601.geocodecitylevel,"Moncks Corner, SC
(33194788, -80.010346)","Moncks Corner, SC
(33.194788, -80.010346)"
4236.statevalue,IqA,IA
7538.statevalue,zIA,IA
7197.county,aLmar,Lamar
1655.county,earl River,Pearl River
1934.city,Royal Oka,Royal Oak
121.typeofchangefulltext,Orphaned PSAP no lnger considered a primary call taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
7039.datelastmodified,03/04/20v04,03/04/2004
3887.typeofchangefulltext,No Changse have been made.,No Changes have been made.
5140.statevalue,eCA,CA
8516.city,Wright - Patterson Air oFrce Base,Wright - Patterson Air Force Base
2091.city,Eltdon,Elton
8289.statevalue,L,AL
5088.typeofchangefulltext,"PSAP Name, State, County or Cty text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
3856.statevalue,D,ND
5995.typeofchangefulltext,"PSAP Name, Sotate, County or City text has been modified since the original posting.","PSAP Name, State, County or City text has been modified since the original posting."
4527.datelastmodified,0530/2013,05/30/2013
8049.statevalue,X,TX
4985.city,oMnroe,Monroe
403.geocodecitylevel,"Salisbury, NC
(3f5.668328, -80.470993)","Salisbury, NC
(35.668328, -80.470993)"
2399.psapname,Wayne County heriffs Department,Wayne County Sheriffs Department
2277.county,Glenn***,Glenn
6513.typeofchangefulltext,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in futuure filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
2948.geocodecitylevel,"Prston, MN
(43.671211, -92.081947)","Preston, MN
(43.671211, -92.081947)"
5248.county,cShenectady,Schenectady
4456.typeofchangefulltext,No Changes have eben made.,No Changes have been made.
8551.typeofchangefulltext,No Changes have bpeen made.,No Changes have been made.
4285.psapname,Mineral Czounty Sheriffs Department,Mineral County Sheriffs Department
1601.datelastmodified,0y3/04/2004,03/04/2004
5968.datelastmodified,0/513/2014,05/13/2014
3437.psapname,ackson County Psap,Jackson County Psap
4100.county,uron,Huron
5777.city,Two gHarbors,Two Harbors
5108.county,Wyandrot,Wyandot
5890.geocodecitylevel,"Athens, OH
(39.329,2 -82.101165)","Athens, OH
(39.3292, -82.101165)"
1186.statevalue,Y,KY
8485.typeofchangefulltext,No Cihanges have been made.,No Changes have been made.
5981.psapname,Hutchinnson-reno County Emergency Communications,Hutchinson-reno County Emergency Communications
3969.datelastmodified,0i7/12/2013,07/12/2013
8469.county,Edgecomeb,Edgecombe
159.datelastmodified,0k3/04/2004,03/04/2004
457.typeofchangefulltext,No Changes haev been made.,No Changes have been made.
8216.county,Mc Cvone,Mc Cone
7914.county,Suffokl,Suffolk
1005.city,Mayfield Villaxge,Mayfield Village
2896.psapname,ClayCounty Eoc,Clay County Eoc
5803.county,Brwon,Brown
516.typeofchangefulltext,Orphaned PSAP no longer considered a primary all taking answering point. Refrain from using these in future filings.,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
1426.psapname,Orange County Emergency Communicatiobns,Orange County Emergency Communications
8069.statevalue,CyO,CO
1138.statevalue,D,SD
6782.typeofchangefulltext,No Change shave been made.,No Changes have been made.
2845.statevalue,TgX,TX
4505.psapname,Macon-bibb oCunty E9-1-1 Center,Macon-bibb County E9-1-1 Center
4466.geocodecitylevel,"Abbeville, SC
(34.7908, -82.377769)","Abbeville, SC
(34.17908, -82.377769)"
8276.psapname,Farnklin Township Police Department,Franklin Township Police Department
3284.geocodecitylevel,"Greenville, AL
(31.829477, -86.631265)","Greenville, AL
(31.829477, -86.631625)"
4532.typeofchangefulltext,No Changes have beyen made.,No Changes have been made.
6371.geocodecitylevel,"Brockton, MA
(42083299, -71.019903)","Brockton, MA
(42.083299, -71.019903)"
694.geocodecitylevel,"Charlotte, NC
(35222936, -80.840161)","Charlotte, NC
(35.222936, -80.840161)"
6413.typeofchangefulltext,PSAP was added since the oriinal posting of the FCC Registry.,PSAP was added since the original posting of the FCC Registry.
5123.statevalue,IsL,IL
3950.statevalue,NqM,NM
606.statevalue,I,MI
6628.city,Carlsile,Carlisle
1917.psapname,Petaluma Policey Department,Petaluma Police Department
2120.city,uBena Park,Buena Park
6492.typeofchangefulltext,No Changse have been made.,No Changes have been made.
7713.city,any,Many
3912.datelastmodified,3/04/2004,03/04/2004
6629.psapname,Osbrone County Sheriff's Office,Osborne County Sheriff's Office
8179.county,Chidppewa,Chippewa
1964.statevalue,I,MI
1922.geocodecitylevel,"Jonesville, VA
(36.689005, -83.110991)***","Jonesville, VA
(36.689005, -83.110991)"
330.psapname,Dixie County Emergency Servmices,Dixie County Emergency Services
2525.county,Haring,Harding
1300.psapname,Covington Fire Communicaitons,Covington Fire Communications
6603.city,Dfallas,Dallas
2497.datelastmodified,03x/04/2004,03/04/2004
5627.typeofchangefulltext,"PSAP Name, State, County or City text has been modified since the origina lposting.","PSAP Name, State, County or City text has been modified since the original posting."
2326.city,Bryna,Bryan
6996.datelastmodified,03/4/2004,03/04/2004
