psapid(long),psapname,county,city,statevalue,typeofchangefulltext,datelastmodified,geocodecitylevel
2210,Edwards County Sheriffs Department,Edwards,Albion,IL,No Changes have been made.,03/04/2004,"Albion, IL (t38.377003, -88.056281)"
3126,St James Parish 9-1-1,St.J ames,Convent,LA,No Changes have been made.,03/04/2004,"Convent, LA (30.020897, -90.830036)"
5688,Noble County Sheriff,Noble,Perry,K,No Changes have been made.,03/04/2004,"Perry, OK (36.28970,8 -97.285801)"
7535,West Allis Police And Fire,Milwaukee,West Allsi,WI,No Changoes have been made.,03/042004,"West Allis, WI (43.016629, -88.007282)"
1299,Bethel Polic eDepartment,Fairfield,Bethel,CT,No Changes have been made.,03/4/2004,"Bethel, CT (41.371727, -7.3407448)"
3138,Vermilion Parish Communications District,Vermilion,Abbeville,LA,No Changes have been made.,03/04/2004,"Abbeville, LA (29.973848, -92.134547)"
2417,Rosemont Public Safety Department,Cook,Rosemont,L,No Changes have been made.,03/04/2004,"Rosemont, IL (41.991886, -87.863316)"
3591,Woodhaven Police Department,Wayen,Woodhaven,MI,No Changes have been made.,03/04/2004,"Woodhaven, MI (n42.138557, -83.244281)"
6031,Charlesto nAfb Fire Department,Charleston,Charleston,SC,No Changes have been made.,03/04/2004,"Charleston, SC (23.77647, -79.931027)"
8269,Calloway CountyF iscal Court E911,alloway,Murray,KY,PSAP was added since the original posting of the FCC Registry.,06/10/2010,"Murray, KY (36.610582, -88.315258)"
5174,Peekskill City Police Department,Westchester,Peeksklil,NY,No Changes have been made.,03/04/2004,"Peekskillr, NY (41.290357, -73.921894)"
3120,Slidell Poilce Department,St. Tammany,Sldiell,AL,No Changes have been made.,03/04/2004,"Slidel,l LA (30.278641, -89.779372)"
2686,Warrick Centragl Dispatch,Warrick,oBonville,NI,No Changes have been made.,03/04/2004,"Boonville, IN (38.049999, -87.274302)"
2847,Trego County Law Enforcemnt Center,Trego,aWkeeney,KS,No Changes have been made.,03/04/2004,"Wakeeney, KS (39.021331, -99.88078)"
4482,Wilkes County Sheriffs Communications,Wilkeos,Wilkesboro,NC,No Changes have been made.,03/04/2004,"Wilkesboro, NCc (36.145878, -81.161309)"
3165,Fall River Police Departfment,Brisol,Fall River,MA,No Changecs have been made.,03s/04/2004,"Fall River, MA (41.701025, -71.155389)"
2982,Marion Police Department,Crittenden,Marion,KY,No Changes have been made.,03/04/2004,"Marion, KY (37.332986, -88.08132)"
8171,Reedy Creek Emergency Services,Orange,Lake Buena Vista,L,PSAP was added since the original posting of the FCC Registry.,08/02/2007,"Lake Buena Vista, FL (28.393671, -81.528968)"
2313,Lynwood-thornton East Hazel Crest Police Fire Ems,Cook,Lynwood,IL,No Changes have been made.,03/04/2004,"Lynwood, IL (41.531192, -87.539041)"
5461,Ohio State Highway Patrol-sandusyk,Erie,Sandusyk,OH,No Changes have been made.,03/04/2004,"Sandusky, OH (41.454934, -82.710963)"
3053,Beaureguard Parish Communications District***,Beauregard,Deridderr,LA,No Changes have been made.,03/04/2004,"Deridder, LA (30.847861, -93.285518)"
4953,Roswell Police Department,haves,Roswell,NM,No Changes have been made.,03/04/2004,"Roswell, NM (33.393142, -104.52274)"
2085,Oneida County Sheriff,Oneida,Malda City,ID,No Changes have been made.,0j3/04/2004,"Malad City, ID (42.183976, -112.248058)"
2788,Montgomery Coutny Sheriffs Office,Montomery,Independence,KS,NoC hanges have been made.,03/04/2040,"Independence, KS (37.232351, -9e5.706596)"
203,Hanceville Police Department,Cullman,Hanceville,AL,No Changes have been made.,03/04/2004,"Hanceville, AL (34.065461, -86.764111)"
7832,Sandwich Police,Barnstable,Sadwich,MA,PSAP was added since the original posting of the FCC Registry.,03/04/004,"Sandwich, jMA (41.757724, -70.500139)"
859,Orange Police Department,Orange,Orage,CA,No Changes have been made.,03/04/2004,"Orange, CA (33.791489, -117.853096)"
2282,Jersey County Sherifs Department,Jersey,Jerseyville,IL,No Changes have been made.,03/04/2004,"Jerseyville, IL (39.119444, -90.327431)"
5254,Beavercreek Police Department,Greene,Beavercreek,OH,No Changes have been made.,3/04/2004,"Beavercreek, OH (39.73277, -84.065876)"
5034,Ardsley Village Policej Department,Westchester,Ardsley,YN,No Changes have been mdae.,03/04/204,"Ardsley, NY (41.008591, -73.841246)"
8358,Us Navy Navsta Great Lakes,Lake,Great Lakes,IL,PSAP was added since the original posting of the FCC Registry.,10/04/2012,"Great Lakes, IL (42.307598, -87.853104)"
8480,Sacramento International Airport Police,Sacramento,Sacramento,AC,PSAP was added since the roiginal posting of the FCC Registry.,05/05/2015,"Sacramento, CA (38.582087, -121.50012)"
1804,Lumpkin County 9-1-1,Lumpkin,Dahloneiga,GA,No Changes have been made.,03/04/2004,"Dahlonega, GA (34.533691, -83.983274)"
2897,Cynthiana-harrison County E9-1-1,Harrison,Cynthiana,KY,No Changes have been made.,03/04/204,"Cynthiana, KY (38.392918, -84.292489)"
1331,Derby Police Department,New Haven,Derby,CT,No Changes have been mdae.,03m/04/2004,"Derby, CT (41.322959, -73.089954)"
7487,Platteville Police Department,Grant,Platteville,WI,No Changes have been made.***,03/04/2004,"Platteville, WI (42.732914 ,-90.4781)"
5415,MayfieldHeights Police,Cuyahoga,Mayfield Heights,OH,No Changes have been made.,03/04/2004,"Mayfield Heights, OH (41.520067, -81.463245)"
2786,Miami County Sheriffs Office,Miami,Pqaola,KS,No Changes have been made.,03/04/2004,"Paola, KS (38.576654, -94.863869)"
5997,State rPolice-lincoln Barracks,Providence,Linclon,RnI,No Changes have been made.,03/04/2004,"Lincoln, RI (41.926671, -71.445410)"
7004,Wilmer Police Department,Dzallas,Wilmer,TX,No Changes have been made.,03/04/0204,"Wilmer, TX (32.59067r, -96.684108)"
1396,Stamford Emergency Communication Center,Fairfield,Stamford,T,No Changes have been made.,03/04/2004,"Stamford, CT (41.051924, -73.539475)"
6414,Atlanta PoliceD epartment,Cass,Atlanta,X,o Changes have been made.,03/04/2004,"Atlanta, TX (33.117758, -94.155238)"
230,Macon County Sheriffs Office,Macon,Tsukegee,AL,No Changes have been made.,03/04/2004,"Tuskegee, AL (32.423636, -85.690489)"
2028,Westcom,lPolk,West Des Moines,IA,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"West Des Moines, IA (41.575505, -93.713031)"
1996,Osceola County Shebriff''s Office,sOceola,Sibley,IA,"PSAP Name, State, County or City text has been modified since the original posting.",08/30/2017,"Sibley, IA (43.404, -95.751208)"
45,Galena Health Center,Yukon-koyukuk Censsu Area,Galena,KA,No Changes have been made.,03/04q/2004,"Galena, AK (64.73396, -156.928334)"
5539,Vermilion Police Department,rEie,Vermilion,OH,No Changes have een made.,03/04/2004,"Vermilion, OH (b41.422021, -82.364611)"
5560,Wickliffe Police,Lake,Wickliffe,eOH,No Changes have been made.,03/04/2004,"Wickliffe, OH (41.605007, -81.47555)8"
106,Tanana Emergency Mdical Services,Yukon-koyukuk Census Area,Tanana,AK,No Chapnges have been made.,0/04/2004,"Tanana, AK (65.15647, -152.103712)"
6275,Hohenwald Police Department,ewis,Hohenwamld,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,0/522/2008,"Hohenwald, TN (35.54945, -87.560075)"
5982,Pawtucket Fire And Rescue Dpeartment,Providence,Pawtucket,RI,No Changes have been made.,03/04/2004,"Pawtucket, RI (41.8799, -71.382408)"
1762,Forekst Park City,Clayton,Forest Park,GA,No Changes have been made.,03/04/2040,"Forest Park, GA (33.620529, -84.366322)"
725,Cal-fire Fortuna (humboldt/del Norte Unit),Humboldt,Fortuna,CA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,04/29/2010,"Fortuna, CA (40.58858, -124.146858)"
305,Clay County Sheriffs Department,Clay,Piggott,RA,No Changes have been made.,03/04/2004,"Piggott, AR (36.382142, -90.19a0529)"
7298,Lapush Police Department,Clallam,Lapsuh,WA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,09/19/20j05,"Lapush, WA (47.908901, -124.6353)"
6457,Brookshire Police Department,Waller,Brookshie,TX,No Changes have been made.,03/04/204,"Brookshire, TX (29.786298, -95.9513)"
6671,Irving Police Department East,Dallas,Irving,XT,"PSAP Name, State, County or City text has been modified since the original posting.",10/09/2007,"Irving, TX (32.81389, -96.949933)"
1968,Joint Emergency Communications Center (jecc),Johnson,Iowa iCty,AI,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Iowa City, IA (41.66124, -91.530128)"
6960,University Park Police Department,Dallas,University Park,TpX,No Changes have been made.,03/04/2004,"University Park, TX (32.851576, -96.79495)"
6948,Tomball Police Department,Harris,Tmoball,TX,No Changes have been made.,030/4/2004,"Tomball, TX (30.097205, -95.61600)"
7842,Southwick Police,Hampden,Southick,MA,PSAP was added since the original posting of the FCC Registry.,03/04/2004,"Southwick,MA (42.054808, -72.770113)"
828,Monrovia Police Devpartment,Los Angelse,Monroiva,CA,No Chanes have been made.,03/04/2004,"Monrovia, CA (34.14591, -118.000929)"
448,Kearny Police Department,inal,Kearny,AZ,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/05/2071,"Kearny, AZ (33.058594, -110.903704)"
1579,Marion County Sheriffs Department,Marion,Ocala,FL,No Changes have been made.,03/0n4/2004,"Ocala, FL (29.189311, -82.137789)"
6126,Clark County Sheriffs Department,Clark,Clark,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,03/20/2016,"Clark, SD (44.8777, -97.734918)"
2027,Webster County Law Enforcement Cnter-ft Dodge,Webster,Ft Dodge,IA,No Changes have been made.,03/04/0204,"Ft Dodge, IA (42.501169, -94.16938)8"
5013,Lyon County Dispatch Center,Lyon,Yerington,NV,No Changes have been made.,03/04/2004,"Yeirngton, NV (38.988757, -119.163163)"
2139,Buceomm,Bureau,Princeton,IL,"PSAP Name, State, County or City text has been modified since th original posting.",05/16/2013,"Princeton, IL (41.37035, -89.465045)"
6421,Balcones Heights Police Department,Bexar,San Antonio,TX,"PSAP Name, State, County or City text has been modifiaed since the original posting.",09/23/2005,"San Antonio, TX (29.425173, -98.494599)"
4853,Sea Isle City Police Department,Cape May,Sea Isle City,NJ,No Changes have been made.,03/04/2004,"Sea Isle City, NJ (39.153421, -74.692903)"
546,Baldwin Park Police Department,Los Angeles,Baldwin Park,CA,No Changes have been made.,03/04/2004,"Baldwin Park, CA (34.08538, -117.960355)"
7785,Mtehuen Police,Essex,Menthuen,MA,PSAP wa sadded since the original posting of the FCC Registry.,030/4/2004,"Methuen, MA (42.726101, -7.1191399)"
6158,Lower Brule County,Lmyan,Loer Brule,SD,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,01/30/2004,"Lower Brule, SD (44.07109, -99.581761)"
5238,Amberly Village Police Department,aHmilton,mAberly,OH,No Changes have been made.,03/04/2004,"Amberly, OH (39.195794, -84.432893)"
4683,Bernardsville Borough Police Departmet,Somerset,Bernardsville,JN,Orphaned PSAP no longer ocnsidered a primary call taking answering point. Refrain from using these in future filings.,12/21/2010,"Bernardsville, NJ (40.719225, -74.569359)"
5195,Scarsdale Village Police Department,Westchester,Scarsdale,NY,No Changes have been made.,03/04/2004,"Scarsdalwe, NY (40.988732, -73.796583)"
2397,Putnam County Sheriffs Office,Putnapm,Hennepin,IL,No Changes have been made.,03/042004,"Hennepin, IL (41.252926, -89.343256)"
7514,Sturtevant Police,Racine,Sturtevant,lWI,No Changes have been made.,03/04/2004,"Sturtevant, WI (42.69799, -a87.89603)"
5746,Woodward County 911 Communications,Woodward,Woodward,OK,"PSAP Name, State, County or City text has been modified since the original posting.",05/22/2015,"Woodward, OK (36.433741, -99.398387)"
6321,Morristown Rescue Squad,Hamlben,Morristown,sTN,No Changes have been made.,03/04/2004,"Morristown, TN (36.214459, -83.295107)"
742,Glendora Police Department,Los Angeles,Glendora,CA,No Changes have been made.,03/04/2004,"Glendora, CA (34.136001, -117.865485)"
5640,Tillman County E9-1-1,Tilman,Frederick,OK,"PSAP Name, State, County or City text has been modified since the original posting.",02/04/2010,"Frederick, OK (34.392082, -99.010781)"
571,Butte County Sheriff (oroville),Buttde,Oroville,CA,"PSAP Name, State, County or City text has been modified since the original posting.",04/27/2001,"Oroville, CA (39.512339, -121.554608)"
4519,Loga County,Logan,Napolevon,ND,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2013,"Napoleon, ND (46.503786, -99.769071)"
6857,River Oaks Police Department,Tarrant,River Oaks,XT,No Changes have been made.,03/04/2004,"River Oaks, TX (32.773231, -97.399845)"
2516,Benton County Sheriffs Office,Benton,Fowler,NI,No Changes have been made.,03/04/2004,"Fowler, IN (40.617668, e-87.323452)"
3699,Pipestone County Psap,Pipestone,Pipestone,N,"PSAP Name, State, County or City text has been modified siince the original posting.",121/9/2013,"Pipestone, MN (44.000535, -96.3e0752)"
266,lSocomb Police Department,Genea,Slocomb,AL,Ophaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,08/07/2013,"Slocomb, AL (31.10763, -85.593662)"
6520,Crystal City Police Department,Zavala,Crystal City,TcX,No Changes have been made.,03/04/2004,"Crystal City, TX (28.694299, -99.830747)"
5829,Silver Ftalls 9-1-1,Marion,Silsverton,OR,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,02/13/2016,"Silverton, OR (45.005538, -122.78206)"
6466,Burnet County Sheriff's Office,Burnet,Brunet,TcX,"PSAP Name, State, County or City text has been modified since the original posting.",10/5/2017,"Burnet, TX (3.0758093, -98.22876)"
4496,Bia Law Enforcement-turtle Mountain Agency,oRlette,aBelcourt,ND,Secondary PmSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,08/20/2004,"Belcourt, ND (4e8.839153, -99.744853)"
2966,Lawrenceburg Police Department,Andeson,Ltawrenceburg,KY,No Changes have been made.,03/042/004,"Lawrenceburg, KY (38.034294, -84.895387)"
6012,Woonsocket Police Department,Providence,oonsocket,I,No Changes have been made.,03/04/2004,"Woonsocket, RI (42.000971, -71.505472)"
2346,Morkris City Police Department,Gurndy,Morris,IL,Orphaned PSAP no lnger considered a primary call taking answering point. Refrain from using these in future filings.,03/07/2015,"Morris, IL (41.359352, -88.421581)"
6850,Red Oak Police Department,Elis,Red Oak,TX,No Changes have been made.,03/04/2004,"Red Oak, TX (32.516662, -96.800743)"
7284,Issaquah Police Department,King,Issaquah,WA,No Changes have been made.,03/04/2004,"dIssaquah, WA (47.530072, -122.032904)"
1671,Temple Terrace Police Departmeent,Hillsborough,Temple Terrace,FL,No Changes have been made.,03/04/2004,"Temple Trerace, FL (28.035943, -82.389373)"
4144,Madrison County Sheriff,Madison,Virginia City,MT,No Changes have been made.,03/04/2004,"Virginia City, MT (45.293704, -111.944132)"
7540,Wisconsin Dells Police Department,Columia,Wisconsin Dells,WI,No Changes have been made.,03/04/2004,"iWsconsin Dells, WI (43.652392, -89.775781)"
8302,Dawson Springs Police Department,Hopkins,Dawson Springs,YK,PSAP was madded since the original posting of the FCC Registry.,05/05/2011,"Dawson Springs, KY (37.167311, -87.692555)"
6004,Warwck Fire And Rescue Department,Kent,Warwick,RI,No Changes have been made.,03/04/2004,"Warwick, RI (41.698709, -71.460018)"
1441,Wilmington 9-1-1 Center,New Castle,Wilmington,DE,"PSAP Name, State, oCunty or City text has been modified since the original posting.",11/21/2005,"Wilmington, DE (39.744432, -75.5451)"
3553,Selfridge Air National Guard,Macmb,Selfridge,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004,"Selfridge, MI (42.5872, o-82.833504)"
3628,Faribault Poice Department,Faribault,Faribault,MN,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,10/12/2005,"Faribault, MN (44.294758, -93.268448)"
2661,Seymour Police Department,Jackson,Semyour,IN,No Changes have been made.,03/40/2004,"Seymour, IN (38.957531, -85.885428)"
5785,John Day Emergency Communications Center,Grant,Joh nDay,OR,"PSAP Name, State, County or City text has been modified since the original posting.",10/05/2017,"John Day, OR (44.389673, -118.950086)"
6841,Quanah-hardeman County Sheriffs Department,Hardeman,uanah,TX,No Changes have been made.,03/0e4/2004,"Quanah, TX (34.297752, -99.73959o7)"
518,Yavapai-prescott Tribal Police,Yavapai,Prescott,ZA,No Changes have been made.,03/04/0204,"Prescott, AZ (34.541445, -1124.70124)"
160,Conecuh County Sheriff''s Officve Dispatch,Conecuh,Evergreen,AL,"PSAP Name, State, County or City text has been modified since the original posting.",08/14/2013,"Evergreen, AL (31.435609, -86.956377)"
3817,Hazelwood Police Department,St. Louis,Hazelwood,kMO,No Changes have vbeen made.,03/04/2004,"Hazelwood, MO (38.78r5254, -90.390119)"
5290,City Of Canton Police,Stark,Canton,mOH,No Changes have been made.,03/04/2004,"Canton, OH (40.797388, -81.377036)"
6263,Hamilton County Ems,Hamilton,Chattanooga,TN,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/11/2013,"Chattanooga, TN (35.045756, -85.308287)"
5651,Haskell County Sheriff,Haskell,Stigelr,OK,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,09/24/2014,"Stigler, OK (35.253391, -95.122361)"
507,Tucson Fire Mredics,Pima,Tucsno,AZ,No Changes have been made.,03/04/2004,"Tucson, AZ (32.221878, -110.971225)"
5912,Montgomery County Department Of Public Safety,Montgomery,Eaglevilfle,PA,"PSAP Name, State, County or City text has been modified since the original posting.",03/07/2015,"Eagleville, PA (41.056674, -77.593035)"
6392,Alton Police Departemnt,Hidalgo,Altno,X,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Alton, TX (26.2u8708, -98.313631)"
1974,Leecomm,Lvee,Montrose,IA,"PSAP Name, State, County or City text has been modified since the original posting.",05/14/2014,"Montrose, IA (40.530605, -9s1.411211)"
739,Garden Grove Police Department,Orange,Garen Grove,CmA,No Changes haveb een made.,03/04/2004,"Garden Grove, CA (33.776069, -117.937878)"
4606,Hayes County,Hayes,Hayes Center,NE,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Hayes Center, cNE (40.509317, -101.016136)"
4145,Malmstrom Air Force Base,Cascade,Malmstrom Afb,MT,Orphaned PSAP no longer considered a primary call taking answering point. Refrani from using these in future filings.,11/19/2005,"Malmstrom Af,b MT (47.509384, -111.190689)"
5325,Eaton Police Department,Prevble,Etaon,OH,No Chnages have been made.,03/4/2004,"Eaton, OH (39.747897, -84.636411)"
85,Petersburg Volunteer Fire Department,Wrangell-petersburg Censu Area,Petersburg,AK,No Changes have beenmade.,03/04/2004,"Petersburg, AK (56.811109, -132.957367)"
5387,Kirtlland Police,Lae,iKrtland,OH,No Changes have been made.,03/04/2004,"Kirtland, OH (41.615523, -81.356079)"
5400,Loudovnille Police Department,Ashlyand,Loudonville,OH,No Changes have been made.,03/04/2004,"Loudonville, OH (40.635591, -82.233485)"
2865,Ballard County Detetnion Center,Ballard,Wickliffe,KY,No Changes have been made.,03/04/2004,"Wicklffe, KY (36.964811, -89.089171)"
8177,Airport Communications,Marion,Indianapolis,IN,PSAP was added since the original posting of the FCC Registry.,10/02/2007,"Indianapolis, IN (39.76845, -86.15612)"
2602,Lafayette PoliceDepartment,Tippceanoe,Lafayette,IN,No Changes have bee nmade.,03/04/2004,"Lafayette, IN (40.417328, -86.890617)"
6821,Parker County Sheriffs Department,Paker,Weatherford,TX,NoC hanges have been made.,03/04/204,"Weatherford, TX (32.757462, -97.814529)"
5422,Mercer Comunty Sheriffs Office,Mercer,Celina,OH,No Changes have been made.,03/04/2004,"Celina, OH (40.549993, -84.570811)***"
427,Eloy Police Department,Pipnal,Eloy,AsZ,No Changes have been made.,03/04/2004,"Eloy, AZ (32.751976, o-111.55485)"
1622,rPalm Beach Shores Public Safety Department,Pam Beach,Palm Beach Shores,LF,No Changes have been made.,03/04/2004,"Palm Beach Shores, FL (26.778446, -80.035202)"
1468,Calhoun County Sheriffs Department,Calhoun,Bloutnstown,FL,No Changes have been made.,0k3/04/2004,"Blountstown, FL (30.445812, -85.04496)"
3230,Prince Georges County Emerg Communications Center,Prince George's,Landover,MD,"PSAP Name, State, County or City text has been modified since the original posting.",11/09/2004,"Landover, MD (38.93597, -76.907114)"
2680,Union Coudnty 911,Union,Liberty,N,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2015,"Liberty, IN (39.633401, -84.92332)"
629,Chp-los Angeles Communications Center-baldwin Park,oLs Angeles,Los Angeles,CA,"PSAP Name, State, County or City text has been modified since the original posting.",06/24/2010,"Los Angeles, CA (34.052238, -118.243344)"
3746,Ballwin Police Department,St Louis,Ballwin,MO,"PSAP Name, State, County or City text has been modified since the original posting.",50/14/2008,"Ballwin, MO (38.595104, -9.544918)"
3819,Hickory County Sheriffs Department,ickory,Hermitamge,MO,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,04/30/2004,"Hermitage, MO (37.944885, -93.325027)"
5307,Coshocton County Sheriffs Office,Coshocton,Coshocton,OH,No Changes have been made.,03/04/2004,"Coshocton, OH (40.269647, -81.850516)"
3700,Polk Cohunty Psap,oPlk,Crookston,MN,"PSAP Name, State, County or City text has been modified since the original posting.",12/19/0213,"Crookston, MN (47.773789, -966.06834)"
5951,Cranston Fire And Rescue Department,Providence,Cranstozn,RI,No Changes havebeen made.,03/04x/2004,"Cranston, RI (41.778963, -71.435808)"
7964,Ablemarle mEergency Communications Center,qAlbemarle,Houtson,VA,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in future filings.,010/3/2005,"VA (37.542699, -78.45282)"
3260,Kennebunkport Police Department,kYork,Kennebunkport,ME,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from uing these in future filings.,07/02/2008,"Kennebunkprot, ME (43.360884, -70.474104)"
7401,Burnett County Sheriffs Department,Bunrett,Siren,WI,No Changes have been qmade.,03/04/2004,"Siren, WI (45.782603, 9-2.38116)"
3433,Keweenaw County Sheriffs Office,eKweenaw,Eagle Rivmer,MI,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,12/06/2004***,"Eagle River, MI (47.413852, -88.29555)"
5744,Weatherford Police Department,Custer,Weatherford,OK,N Changes have been made.,03/04/2004,"Weatherford, OK (35.526058, -98.70495)9"
6830,Pharr Police Department,Hidalgo,Pharr,TX,"PSAP Name, State, County or City text has been modified since the original posting.",12/15/2016,"Pharr, TX (26.193348, -98.184175)"
4516,Kidder County Sheriff,Kidder,Steele,DN,Orphaned PSlAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/06/2q013,"Steeel, ND (46.856574, -99.91569)"
769,Irwidale Police Department,Los Angeles,Irwindale,AC,No Changes have been made.,03/04/2004,"Irwindale, CA (34.103775, -117.934149)"
3722,Rice / Stele County Combined 911 Center,Steele,Owatonna,NM,Secondary PSAP associated with a Primary PSAP. Use the Primary PSAP in futrue filings.,10/12/2005,"Owatonna, MN (44.084811, -93.225492)"
2382,Park Ridge Police Department,ook,Park Ridge,IL,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,06/02/p2008,"Parka Ridge, IL (42.011007, -87.835869)"
1809,Mcduffie County Communications,Mcduffe,Thomson,AG,"PSAP Name, State, County or City text has been modified since the original posting.",03/31/2014,"Thomson, GA 33.466202, -82.502554)"
5658,Iowa Triba Police Department,Paye,Perkins,OK,No Changes have been made.,03/04/2004,"Perkins, OK (35.976226,e -97.027773)"
5092,Hamburg,Erei,Hamburg,NY,No Changes have been made.,03/04/2004,"Hambur, NY (42.723291, -78.839026)"
6548,Donna Police Department,Hidalgo,Donna,X,No Changes have been made.,03/04/200v4,"Donna, TX (26.1707, -98.054279s)"
7357,Spokane Fire Department,Spokane,Sopkane,WA,Secondary PSAP associated with a Primary PSAP. Use the Priary PSAP in future filings.,09/19/005,"Spokane, WA (47.658999, -117.42502)"
1718,Candler CountySheriffs Office,Candler,Mettr,oGA,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.,11/24/201j4,"Metter, GA (32.39722, -82.060135)"
2202,uDpage County Sheriff,Du Pgae,Wheaton,gIL,No Changes have been made.,03/04/2004,"Wheaton, IL (41.866128, -88.106633)"
763,Imperial County Fire Department,mperial,Impeial,CA,Orphaned PSAP no longer considered a pimary call taking answering point. Refrain from using these in future filings.,04/06/2010,"Imperial, CA (32.847479, -115.569054)"
