Location,Last seen,Kills,Losses
Vey 0.2,"July 20, 2014, 01:14:00 pm",6,1
Pelille 0.2,"July 28, 2014, 12:50:00 pm",2,1
Eugales 0.4,"October 22, 2013, 03:07:00 pm",4,1
Aubenall 0.4,"July 02, 2013, 09:01:00 am",3,3
Renarelle 0.3,"January 03, 2014, 04:10:00 pm",4,1
Orvolle 0.7,"July 21, 2013, 08:22:10 am",20,4
Oulley 0.3,"July 21, 2013, 08:17:00 am",3,1
Vlillirier 0.3,"December 02, 2013, 05:04:00 pm",8,1
Aldranette 0.4,"September 24, 2013, 05:53:10 am",17,3
Anchauttes 0.3,"July 20, 2013, 06:40:00 am",3,2
Reschard 0.1,"July 08, 2013, 12:32:00 pm",7,4
Arderonne 0.2,"June 20, 2013, 05:28:00 am",7,1
Mercomesier 0.1,"July 02, 2013, 04:41:00 am",2,1
Alamel 0.2,"June 25, 2013, 02:01:00 am",2,1
B-DBYQ 0.0,"November 14, 2010, 01:26:10 pm",0,2
Z-Y7R7 0.0,"March 13, 2013, 02:47:00 pm",3,1
XG-D1L 0.0,"June 13, 2013, 09:14:00 am",0,1
H23-B5 0.0,"February 14, 2012, 01:59:10 pm",0,1
E-BYOS 0.0,"February 14, 2012, 01:56:00 pm",0,1
LXWN-W 0.0,"May 19, 2012, 03:40:10 pm",0,4
QYZM-W 0.0,"August 05, 2012, 03:19:10 pm",0,1
NOL-M9 0.0,"February 02, 2010, 01:40:10 am",0,1
6Q-R50 0.0,"January 28, 2010, 02:26:10 pm",0,2
Luminaire 1.0,"March 22, 2013, 10:45:00 am",1,2
Renyn 0.9,"May 01, 2009, 10:07:00 am",0,1
Charmerout 0.6,"June 06, 2013, 09:43:10 am",0,2
Yvangier 0.4,"July 09, 2013, 03:14:00 pm",5,2
Heydieles 0.3,"November 10, 2014, 09:07:00 am",49,8
Indregulle 0.2,"September 29, 2013, 01:12:00 pm",5,2
Abune 0.3,"October 12, 2013, 07:36:00 am",6,4
Hulmate 0.4,"October 15, 2014, 12:29:00 pm",0,1
Onne 0.4,"August 12, 2013, 11:19:00 am",4,1
Villore 0.5,"September 11, 2014, 08:55:00 am",3,3
Ladistier 0.3,"October 20, 2013, 01:58:00 pm",28,10
Old Man Star 0.3,"January 13, 2014, 12:57:00 pm",18,6
Lisbaetanne 0.4,"October 12, 2013, 09:49:00 am",0,1
Aeschee 0.2,"October 31, 2013, 02:45:00 am",18,1
0-U2M4 0.0,"February 21, 2011, 05:18:10 am",0,3
Emsar 0.7,"July 22, 2013, 10:11:00 am",0,1
Ourapheh 0.9,"August 28, 2013, 09:55:00 am",1,1
Murethand 0.3,"July 29, 2013, 12:24:00 pm",1,1
Melmaniel 0.3,"October 22, 2013, 01:51:00 pm",10,2
Ouelletta 0.4,"September 09, 2014, 01:52:00 am",4,2
Costolle 0.2,"October 10, 2013, 12:25:10 pm",5,1
Hevrice 0.4,"October 08, 2013, 08:11:00 am",9,2
Jovainnon 0.3,"October 27, 2013, 01:08:00 pm",26,2
Asakai 0.3,"August 18, 2013, 12:44:00 pm",2,1
Enaluri 0.3,"June 08, 2013, 05:56:00 pm",3,1
Akidagi 0.4,"October 05, 2013, 01:57:10 pm",2,1
Nennamaila 0.3,"June 26, 2014, 01:28:00 pm",5,2
Kedama 0.3,"January 21, 2015, 01:28:00 pm",4,2
Oinasiken 0.2,"July 09, 2013, 12:02:00 pm",5,2
Pynekastoh 0.2,"October 22, 2013, 02:27:00 pm",9,1
Reitsato 0.2,"June 22, 2014, 06:30:00 am",7,2
Uemon 0.2,"May 16, 2015, 05:51:00 am",3,0
9OO-LH 0.0,"September 30, 2012, 01:21:00 pm",1,0
IPAY-2 0.0,"September 30, 2012, 12:40:00 pm",1,0
669-IX 0.0,"October 26, 2012, 01:07:00 pm",1,0
4-CM8I 0.0,"May 02, 2015, 12:13:10 pm",2,0
C-J6MT 0.0,"May 02, 2015, 11:57:00 am",2,0
74-VZA 0.0,"May 15, 2015, 05:19:10 pm",2,0
E-OGL4 0.0,"September 23, 2012, 12:44:10 pm",5,0
V0DF-2 0.0,"October 10, 2012, 12:11:00 pm",1,0
0-YMBJ 0.0,"October 08, 2012, 02:31:00 pm",3,0
N-FK87 0.0,"October 09, 2012, 01:16:00 pm",2,0
MSHD-4 0.0,"October 07, 2012, 11:28:00 am",1,0
H-W9TY 0.0,"October 12, 2012, 12:24:10 pm",4,0
D7-ZAC 0.0,"November 02, 2012, 05:18:10 pm",2,0
S8-NSQ 0.0,"August 12, 2012, 12:31:00 pm",1,0
GIH-ZG 0.0,"August 19, 2012, 11:50:00 am",1,0
E02-IK 0.0,"April 10, 2015, 04:39:00 am",1,0
M-MD3B 0.0,"April 13, 2015, 12:52:00 pm",3,0
8YC-AN 0.0,"April 13, 2015, 12:37:10 pm",4,0
7Q-8Z2 0.0,"April 17, 2015, 01:06:00 pm",3,0
9KOE-A 0.0,"March 22, 2015, 01:52:10 pm",5,0
U-QVWD 0.0,"March 27, 2015, 01:58:10 pm",2,0
HY-RWO 0.0,"October 22, 2014, 12:15:00 pm",1,0
ZXIC-7 0.0,"July 01, 2009, 02:24:10 pm",6,0
JWZ2-V 0.0,"July 05, 2009, 07:10:00 am",1,0
GE-8JV 0.0,"March 20, 2015, 01:59:10 pm",4,0
3-OKDA 0.0,"March 21, 2015, 02:08:00 pm",9,0
AX-DOT 0.0,"March 17, 2015, 01:23:10 pm",2,0
AOK-WQ 0.0,"March 17, 2015, 01:48:10 pm",2,0
G-AOTH 0.0,"June 19, 2015, 01:37:00 pm",2,0
BR-N97 0.0,"June 19, 2015, 02:53:00 pm",1,0
5-N2EY 0.0,"March 17, 2015, 12:58:10 pm",2,0
N6G-H3 0.0,"October 25, 2012, 11:44:10 am",76,0
4RX-EE 0.0,"October 25, 2012, 12:04:10 pm",1,0
92D-OI 0.0,"February 08, 2012, 04:11:00 pm",10,0
PF-QHK 0.0,"October 16, 2012, 01:25:00 pm",1,0
RXA-W1 0.0,"May 22, 2015, 03:03:00 pm",1,0
QRH-BF 0.0,"May 22, 2015, 12:18:10 pm",3,0
MB4D-4 0.0,"March 27, 2015, 01:25:10 pm",2,0
HM-UVD 0.0,"March 21, 2015, 07:06:10 am",3,0
J-CIJV 0.0,"September 25, 2012, 12:21:00 pm",1,0
X-7OMU 0.0,"August 03, 2012, 03:00:10 pm",3,0
KLY-C0 0.0,"August 16, 2012, 01:31:10 pm",1,0
EC-P8R 0.0,"June 26, 2013, 12:34:00 pm",2,0
R-LW2I 0.0,"August 20, 2012, 06:52:00 pm",1,0
RZC-16 0.0,"June 10, 2013, 12:46:00 pm",1,0
B-9C24 0.0,"June 23, 2013, 01:06:00 pm",3,0
MQ-NPY 0.0,"August 03, 2012, 02:39:00 pm",1,0
KU5R-W 0.0,"March 10, 2013, 08:52:10 am",1,0
Hagilur 0.4,"June 26, 2015, 02:26:00 pm",2,0
SAH-AD 0.0,"May 22, 2015, 11:38:00 am",1,0
BNX-AS 0.0,"May 26, 2015, 12:10:00 pm",1,0
43-1TL 0.0,"May 15, 2015, 04:28:00 pm",1,0
O-LJOO 0.0,"May 24, 2015, 03:07:00 pm",22,0
ZS-PNI 0.0,"May 26, 2015, 12:59:10 pm",5,0
3IK-7O 0.0,"April 29, 2015, 01:35:00 pm",1,0
ZZ5X-M 0.0,"May 02, 2015, 02:20:00 pm",2,0
CL-IRS 0.0,"May 20, 2015, 01:25:00 pm",2,0
PX-IHN 0.0,"May 08, 2015, 02:24:00 pm",20,0
M9-LAN 0.0,"June 05, 2015, 11:00:00 pm",4,0
C-4D0W 0.0,"May 09, 2015, 11:27:00 am",14,0
Illamur 0.3,"April 24, 2015, 12:33:00 pm",1,0
Skarkon 0.0,"April 24, 2015, 11:59:00 am",1,0
Pettinck 0.8,"March 22, 2013, 06:26:10 am",2,0
Balle 0.5,"August 29, 2013, 11:55:00 pm",1,0
Aunia 0.8,"August 02, 2013, 02:16:00 pm",1,0
Nagamanen 0.3,"August 28, 2013, 11:47:00 am",4,0
FO8M-2 0.0,"October 31, 2012, 04:45:00 pm",1,0
VFK-IV 0.0,"March 01, 2014, 06:48:00 pm",3,0
CCP-US 0.0,"January 13, 2012, 01:33:00 pm",1,0
8S28-3 0.0,"January 07, 2012, 01:14:00 pm",1,0
V-XANH 0.0,"June 22, 2015, 05:33:00 am",2,0
F67E-Q 0.0,"July 31, 2014, 02:27:00 pm",13,0
6E-578 0.0,"February 21, 2015, 01:26:10 pm",6,0
8-JYPM 0.0,"June 25, 2014, 11:27:00 am",1,0
JH-M2W 0.0,"February 06, 2015, 06:15:00 am",14,0
PC9-AY 0.0,"January 31, 2015, 02:35:00 pm",1,0
UM-Q7F 0.0,"June 21, 2015, 11:40:00 am",3,0
2Q-I6Q 0.0,"June 26, 2015, 01:07:00 pm",7,0
I-YGGI 0.0,"November 28, 2014, 10:26:00 am",10,0
XS-XAY 0.0,"June 25, 2014, 12:22:10 pm",4,0
617I-I 0.0,"January 20, 2015, 12:29:00 pm",6,0
6-U2M8 0.0,"December 04, 2013, 02:27:10 pm",6,0
8V-SJJ 0.0,"August 07, 2013, 01:51:10 pm",2,0
TXW-EI 0.0,"February 21, 2015, 02:10:00 pm",1,0
S-U8A4 0.0,"December 04, 2013, 02:21:10 pm",3,0
Conomette 0.3,"December 17, 2014, 06:07:00 am",4,0
Aimoguier 0.2,"January 14, 2015, 01:06:00 pm",2,0
Yveve 0.4,"December 17, 2014, 09:02:00 am",4,0
Meunvon 0.3,"January 08, 2015, 10:03:00 am",6,0
Cadelanne 0.1,"June 25, 2015, 07:37:00 am",2,0
Elore 0.2,"July 31, 2014, 08:26:00 am",3,0
Anckee 0.2,"January 07, 2015, 01:47:00 pm",1,0
Boystin 0.5,"July 21, 2014, 01:09:00 pm",1,0
Maire 0.7,"June 23, 2015, 11:53:10 am",21,0
Oerse 0.6,"September 03, 2014, 10:29:00 am",28,0
Sarline 0.4,"June 19, 2015, 03:07:00 pm",1,0
4B-NQN 0.0,"July 24, 2009, 02:46:00 pm",2,0
T-RPFU 0.0,"July 10, 2009, 01:32:00 pm",1,0
I7S-1S 0.0,"June 05, 2014, 12:16:00 pm",1,0
XHQ-7V 0.0,"July 22, 2009, 05:52:10 am",2,0
GN7-XY 0.0,"December 21, 2014, 08:59:00 am",1,0
F-DTOO 0.0,"December 21, 2014, 08:49:00 am",1,0
5KG-PY 0.0,"June 19, 2015, 02:15:00 pm",2,0
TU-RI6 0.0,"June 19, 2015, 02:33:10 pm",2,0
6-OQJV 0.0,"August 16, 2009, 08:40:00 am",1,0
AY-24I 0.0,"July 16, 2009, 02:20:00 pm",1,0
Ostingele 0.2,"January 21, 2015, 12:43:00 pm",2,0
Frarie 0.4,"October 08, 2013, 12:30:00 pm",1,0
Moclinamaud 0.4,"June 08, 2013, 08:27:00 am",1,0
Oicx 0.3,"June 08, 2013, 01:45:00 pm",1,0
Evaulon 0.4,"June 23, 2013, 12:09:00 pm",9,0
Alparena 0.1,"June 22, 2013, 11:45:00 am",6,0
Odamia 0.2,"June 20, 2013, 05:23:00 am",7,0
DY-F70 0.0,"August 05, 2013, 01:06:10 pm",2,0
O-ZXUV 0.0,"June 18, 2013, 01:40:00 pm",4,0
F7C-H0 0.0,"June 23, 2013, 12:21:10 pm",3,0
O-0HW8 0.0,"August 05, 2013, 02:05:10 pm",1,0
W-4NUU 0.0,"November 11, 2012, 02:21:10 pm",3,0
6RCQ-V 0.0,"October 09, 2012, 06:20:10 am",2,0
CS-ZGD 0.0,"April 12, 2012, 09:10:10 pm",2,0
I-7RIS 0.0,"April 13, 2012, 03:06:00 pm",4,0
D5IW-F 0.0,"December 13, 2014, 02:49:10 pm",1,0
Duripant 1.0,"April 28, 2009, 08:03:00 am",3,0
Fliet 0.3,"July 09, 2013, 12:33:00 pm",2,0
Deven 0.3,"September 06, 2013, 01:57:00 am",1,0
Adirain 0.4,"August 30, 2013, 12:54:00 am",2,0
Ami 0.4,"January 16, 2015, 06:59:00 am",2,0
Muetralle 0.2,"October 16, 2013, 08:33:00 pm",4,0
Loes 0.3,"September 04, 2013, 12:50:00 pm",4,0
Reblier 0.4,"July 10, 2014, 06:35:00 am",1,0
Amoderia 0.4,"July 20, 2014, 02:51:10 pm",2,0
Hykanima 0.2,"June 08, 2013, 01:25:10 pm",2,0
Kehjari 0.2,"June 26, 2013, 01:01:10 pm",2,0
Kinakka 0.4,"June 19, 2013, 12:23:00 pm",4,0
Innia 0.3,"October 25, 2013, 10:43:00 pm",16,0
Iralaja 0.3,"June 07, 2013, 07:28:00 am",1,0
Martoh 0.4,"June 30, 2013, 09:29:00 am",1,0
Eha 0.4,"July 02, 2013, 08:44:00 am",3,0
Pavanakka 0.4,"June 16, 2013, 12:16:00 pm",1,0
Ichoriya 0.6,"September 24, 2013, 03:08:00 pm",1,0
Okkamon 0.3,"October 20, 2013, 01:08:00 pm",3,0
Hikkoken 0.3,"October 12, 2013, 05:11:00 pm",11,0
Aivonen 0.4,"October 05, 2013, 02:00:00 pm",5,0
Hallanen 0.4,"June 16, 2013, 12:33:10 pm",2,0
Hirri 0.3,"September 29, 2013, 01:51:00 pm",5,0
Rakapas 0.2,"October 21, 2013, 03:04:00 pm",4,0
Nisuwa 0.3,"October 04, 2013, 07:24:00 am",4,0
Thera 0.0,"January 07, 2015, 01:02:00 pm",1,0
J103839 0.0,"January 31, 2015, 03:55:00 pm",1,0
J145510 0.0,"June 22, 2015, 01:47:00 pm",1,0
