characteristic,sex,raceethnicity,year,score,standard_error,note
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2007,270.0,0.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2008,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2009,271.0,0.2,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2010,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2011,272.0,0.3,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2012,NULL,NULL,NULL
"Total - White, non-Hispanic",NULL,"White, non-Hispanic",2013,275.0,0.2,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2002,244.0,0.8,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2003,244.0,0.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2004,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2005,242.0,0.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2006,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2007,244.0,0.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2008,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2009,245.0,0.4,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2010,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2011,248.0,0.5,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2012,NULL,NULL,NULL
"Total - Black, non-Hispanic",NULL,"Black, non-Hispanic",2013,250.0,0.4,NULL
Total - Hispanic,NULL,Hispanic,2002,245.0,0.8,NULL
Total - Hispanic,NULL,Hispanic,2003,244.0,0.7,NULL
Total - Hispanic,NULL,Hispanic,2004,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2005,245.0,0.4,NULL
Total - Hispanic,NULL,Hispanic,2006,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2007,246.0,0.4,NULL
Total - Hispanic,NULL,Hispanic,2008,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2009,248.0,0.6,NULL
Total - Hispanic,NULL,Hispanic,2010,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2011,251.0,0.5,NULL
Total - Hispanic,NULL,Hispanic,2012,NULL,NULL,NULL
Total - Hispanic,NULL,Hispanic,2013,255.0,0.4,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2002,265.0,1.7,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2003,268.0,1.2,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2004,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2005,270.0,0.8,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2006,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2007,269.0,1.2,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2008,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2009,273.0,1.1,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2010,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2011,277.0,1.1,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2012,NULL,NULL,NULL
"Total - Asian, non-Hispanic",NULL,"Asian, non-Hispanic",2013,280.0,1.0,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2002,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2003,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2004,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2005,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2006,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2007,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2008,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2009,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2010,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2011,251.0,2.1,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2012,NULL,NULL,NULL
"Total - Pacific Islander, non-Hispanic",NULL,"Pacific Islander, non-Hispanic",2013,258.0,2.6,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2002,252.0,2.5,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2003,248.0,1.7,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2005,251.0,1.2,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2007,248.0,1.2,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2009,252.0,1.1,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2011,253.0,1.3,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,NULL
"Total - American Indian/Alaska Native, non-Hispanic",NULL,"American Indian/Alaska Native, non-Hispanic",2013,252.0,1.0,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2002,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2003,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2004,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2005,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2006,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2007,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2008,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2009,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2010,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2011,267.0,1.2,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2012,NULL,NULL,NULL
"Total - Two or more races, non-Hispanic",NULL,"Two or more races, non-Hispanic",2013,269.0,0.9,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2002,266.0,0.5,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2003,265.0,0.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2004,NULL,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2005,264.0,0.2,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2006,NULL,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2007,265.0,0.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2008,NULL,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2009,267.0,0.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2010,NULL,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2011,267.0,0.3,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2012,NULL,NULL,NULL
"White, non-Hispanic",Male,"White, non-Hispanic",2013,270.0,0.3,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,239.0,0.8,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,238.0,0.6,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,NULL,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,236.0,0.5,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,NULL,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,238.0,0.5,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,NULL,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,240.0,0.5,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,NULL,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,242.0,0.6,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,NULL,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",2013,244.0,0.6,NULL
Hispanic,Male,Hispanic,2002,241.0,1.1,NULL
Hispanic,Male,Hispanic,2003,240.0,0.8,NULL
Hispanic,Male,Hispanic,2004,NULL,NULL,NULL
Hispanic,Male,Hispanic,2005,241.0,0.5,NULL
Hispanic,Male,Hispanic,2006,NULL,NULL,NULL
Hispanic,Male,Hispanic,2007,241.0,0.6,NULL
Hispanic,Male,Hispanic,2008,NULL,NULL,NULL
Hispanic,Male,Hispanic,2009,243.0,0.7,NULL
Hispanic,Male,Hispanic,2010,NULL,NULL,NULL
Hispanic,Male,Hispanic,2011,248.0,0.6,NULL
Hispanic,Male,Hispanic,2012,NULL,NULL,NULL
Hispanic,Male,Hispanic,2013,251.0,0.5,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,262.0,2.6,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,263.0,2.6,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,NULL,NULL,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,265.0,1.0,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,NULL,NULL,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,265.0,1.3,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,NULL,NULL,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,268.0,1.2,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,NULL,NULL,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,272.0,1.1,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,NULL,NULL,NULL
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,274.0,1.1,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,245.0,2.9,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,249.0,4.4,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,246.0,3.5,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Natiev, non-Hispanic",2003,242.0,2.3,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-ispanic",2004,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,1.7,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispnic",2006,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Inidan/Alaska Native, non-Hispanic",2007,242.0,1.7,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Ntaive, non-Hispanic",2008,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,247.0,1.9,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,248.0,1.7,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Aalska Native, non-Hispanic",2012,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,248.0,1.5,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,260.0,1.7,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,NULL,NULL,NULL
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,263.0,1.4,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2002,276.0,0.6,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2003,276.0,0.3,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2004,NULL,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2005,275.0,0.2,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2006,NULL,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2007,275.0,0.3,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2008,NULL,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2009,276.0,0.3,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2010,NULL,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2011,277.0,0.3,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2012,NULL,NULL,NULL
"White, non-Hispanic",Female,"White, non-Hispanic",2013,280.0,0.3,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,250.0,0.9,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,249.0,0.6,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,NULL,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,248.0,0.5,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,NULL,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,250.0,0.5,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,NULL,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,251.0,0.5,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,NULL,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,253.0,0.5,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,NULL,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",2013,255.0,0.5,NULL
Hispanic,Female,Hispanic,2002,249.0,1.0,NULL
Hispanic,Female,Hispanic,2003,248.0,0.8,NULL
Hispanic,Female,Hispanic,2004,NULL,NULL,NULL
Hispanic,Female,Hispanic,2005,249.0,0.6,NULL
Hispanic,Female,Hispanic,2006,NULL,NULL,NULL
Hispanic,Female,Hispanic,2007,250.0,0.6,NULL
Hispanic,Female,Hispanic,2008,NULL,NULL,NULL
Hispanic,Female,Hispanic,2009,252.0,0.7,NULL
Hispanic,Female,Hispanic,2010,NULL,NULL,NULL
Hispanic,Female,Hispanic,2011,255.0,0.6,NULL
Hispanic,Female,Hispanic,2012,NULL,NULL,NULL
Hispanic,Female,Hispanic,2013,259.0,0.6,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,268.0,1.9,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,273.0,1.9,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,NULL,NULL,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,274.0,1.0,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,NULL,NULL,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,274.0,1.5,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,NULL,NULL,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,278.0,1.6,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,NULL,NULL,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,282.0,1.5,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,NULL,NULL,NULL
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,286.0,1.3,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,258.0,2.9,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,NULL,NULL,NULL
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,267.0,3.6,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"Amkerican Indian/Alaska Native, non-Hispanic",2002,258.0,1.9,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"Ameircan Indian/Alaska Native, non-Hispanic",2003,254.0,2.0,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaksa Native, non-Hispanic",2005,255.0,1.5,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska ative, non-Hispanic",2007,255.0,1.5,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/lAaska Native, non-Hispanic",2009,257.0,1.5,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,257.0,2.0,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,NULL,NULL,NULL
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, nkon-Hispanic",2013,256.0,1.4,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,273.0,1.6,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,NULL,NULL,NULL
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,276.0,1.2,NULL
