characteristic,sex,raceethnicity,year,score,standard_error,note
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2007,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2008,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2009,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2010,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2011,251.0,2.1,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2012,,,
"Total - Pacific Islander, non-Hispanic",,"Pacific Islander, non-Hispanic",2013,258.0,2.6,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2002,252.0,2.5,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2003,248.0,1.7,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2004,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2005,251.0,1.2,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2006,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2007,248.0,1.2,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2008,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2009,252.0,1.1,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2010,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2011,253.0,1.3,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2012,,,
"Total - American Indian/Alaska Native, non-Hispanic",,"American Indian/Alaska Native, non-Hispanic",2013,252.0,1.0,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2002,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2003,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2004,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2005,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2006,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2007,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2008,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2009,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2010,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2011,267.0,1.2,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2012,,,
"Total - Two or more races, non-Hispanic",,"Two or more races, non-Hispanic",2013,269.0,0.9,
"White, non-Hispanic",Male,"White, non-Hispanic",2002,266.0,0.5,
"White, non-Hispanic",Male,"White, non-Hispanic",2003,265.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2004,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2005,264.0,0.2,
"White, non-Hispanic",Male,"White, non-Hispanic",2006,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2007,265.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2008,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2009,267.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2010,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2011,267.0,0.3,
"White, non-Hispanic",Male,"White, non-Hispanic",2012,,,
"White, non-Hispanic",Male,"White, non-Hispanic",2013,270.0,0.3,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2002,239.0,0.8,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2003,238.0,0.6,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2004,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2005,236.0,0.5,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2006,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2007,238.0,0.5,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2009,240.0,0.5,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2010,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2011,242.0,0.6,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2012,,,
"Black, non-Hispanic",Male,"Black, non-Hispanic",2013,244.0,0.6,
Hispanic,Male,Hispanic,2002,241.0,1.1,
Hispanic,Male,Hispanic,2003,240.0,0.8,
Hispanic,Male,Hispanic,2004,,,
Hispanic,Male,Hispanic,2005,241.0,0.5,
Hispanic,Male,Hispanic,2006,,,
Hispanic,Male,Hispanic,2007,241.0,0.6,
Hispanic,Male,Hispanic,2008,,,
Hispanic,Male,Hispanic,2009,243.0,0.7,
Hispanic,Male,Hispanic,2010,,,
Hispanic,Male,Hispanic,2011,248.0,0.6,
Hispanic,Male,Hispanic,2012,,,
Hispanic,Male,Hispanic,2013,251.0,0.5,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,262.0,2.6,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,263.0,2.6,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,265.0,1.0,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,265.0,1.3,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,268.0,1.2,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,272.0,1.1,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,,,
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,274.0,1.1,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,245.0,2.9,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,,,
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,249.0,4.4,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,246.0,3.5,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,242.0,2.3,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,247.0,1.7,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,242.0,1.7,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,247.0,1.9,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,248.0,1.7,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,,,
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,248.0,1.5,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,260.0,1.7,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,,,
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,263.0,1.4,
"White, non-Hispanic",Female,"White, non-Hispanic",2002,276.0,0.6,
"White, non-Hispanic",Female,"White, non-Hispanic",2003,276.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2004,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2005,275.0,0.2,
"White, non-Hispanic",Female,"White, non-Hispanic",2006,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2007,275.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2008,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2009,276.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2010,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2011,277.0,0.3,
"White, non-Hispanic",Female,"White, non-Hispanic",2012,,,
"White, non-Hispanic",Female,"White, non-Hispanic",2013,280.0,0.3,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2002,250.0,0.9,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,249.0,0.6,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2004,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,248.0,0.5,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,250.0,0.5,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2008,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,251.0,0.5,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2011,253.0,0.5,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2012,,,
"Black, non-Hispanic",Female,"Black, non-Hispanic",2013,255.0,0.5,
Hispanic,Female,Hispanic,2002,249.0,1.0,
Hispanic,Female,Hispanic,2003,248.0,0.8,
Hispanic,Female,Hispanic,2004,,,
Hispanic,Female,Hispanic,2005,249.0,0.6,
Hispanic,Female,Hispanic,2006,,,
Hispanic,Female,Hispanic,2007,250.0,0.6,
Hispanic,Female,Hispanic,2008,,,
Hispanic,Female,Hispanic,2009,252.0,0.7,
Hispanic,Female,Hispanic,2010,,,
Hispanic,Female,Hispanic,2011,255.0,0.6,
Hispanic,Female,Hispanic,2012,,,
Hispanic,Female,Hispanic,2013,259.0,0.6,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,268.0,1.9,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,273.0,1.9,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,274.0,1.0,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,274.0,1.5,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,278.0,1.6,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,282.0,1.5,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,,,
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,286.0,1.3,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,258.0,2.9,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,,,
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,267.0,3.6,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,258.0,1.9,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,254.0,2.0,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,255.0,1.5,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,255.0,1.5,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,257.0,1.5,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,257.0,2.0,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,,,
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,256.0,1.4,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,273.0,1.6,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,,,
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,276.0,1.2,
