OBJECTID,MGMT_AREA,MGMT_PLAN,AREA_DESIG,SEAS_REST_DATE,SEAS_CLOS_REASON,COMMENTS,NEPA_Num,ADM_UNIT_CODE,created_date,last_edited_date,Shape__Area,Shape__Length,GlobalID
39,Flat Iron Mesa 2,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,669669.27553605,4278.34726553086,{1363397A-538B-415D-9A96-9CAEA431BCD4}
40,Flat Iron Mesa 1,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,2476868.062899,9352.6792003368,{271882A2-3CBD-4EDF-89F3-B502C9E3B9A9}
41,Red Can/Hell'S Pocket,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,20246375.11911,38020.9782069011,{0050F5E4-2283-432B-86AE-5CA27193A9E7}
42,Greenhorn/Cottonwood,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,18871.851095815,884.652556487999,{1375DFAE-C8B1-41A9-8E43-35C91385E71F}
43,Greenhorn/Cottonwood,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:16:59+00,2021/05/24 14:35:12+00,8256827.92300116,24679.1193338099,{BDA85A1A-D26B-4F20-89A7-5F097D415F37}
44,Dry Rifle Creek,2015 Colorado River Valley RMP,Closed to Motorized,October 1 - November 30,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:22:50+00,2021/05/24 14:35:12+00,8967940.35356441,20259.004847343,{2DF265D4-6945-40D2-9786-306845C0B7A4}
45,West Rifle Creek,2015 Colorado River Valley RMP,Closed to Motorized,October 1 - November 30,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:22:50+00,2021/05/24 14:35:12+00,4374264.13505077,12113.3995811623,{B8C49544-2E00-47E6-B0E9-8451ABFB8FC9}
46,Dry Rifle Creek,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:23:39+00,2021/05/24 14:35:12+00,8967940.35356441,20259.004847343,{AC09E76E-D90B-4AB9-8944-81CBC1F10451}
47,West Rifle Creek,2015 Colorado River Valley RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,Protect wintering wildlife,,COG02000,2021/05/20 20:23:39+00,2021/05/24 14:35:12+00,4374264.13505077,12113.3995811623,{3AEC2014-F7B6-4E09-90BC-639DA6B44B02}
422,Burn Canyon,2020 Uncompahgre RMP,Closed to motorized and mechanized,December 1 - April 30,Wildlife,December 1 - April 30,DOI-BLM-CO-S050-2012-19-EA,COS05000,2021/06/11 20:28:05+00,2021/06/11 21:23:52+00,38622521.0790759,51504.1904341589,{BB18E1F9-0F34-46AC-9C93-3C48C7E3389D}
424,Dry Creek,2020 Uncompahgre RMP,Closed to motorized and mechanized,Other,Wildlife,December 1 - March 31,CO-150-2008-33,COS05000,2021/06/11 20:38:41+00,2021/06/11 21:05:51+00,47808658.778552,61405.1872557308,{79A9B392-5CAB-40A5-9F9A-BBAE1D346D50}
428,Dry Creek,2020 Uncompahgre RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,December 1 - April 15,CO-150-2008-33,COS05000,2021/06/11 21:07:27+00,2021/06/11 21:23:52+00,44465384.8120402,32577.0980002769,{DDD2A834-3185-4526-BB18-6DCF94861718}
429,Ridgway Area Trails,Ridgway Comprehensive Travel Management Plan,Closed to all uses,December 1 - April 30,Wildlife,December 1 - April 30,DOI-BLM-CO-S0502011-0011,COS05000,2021/06/11 21:15:49+00,2023/02/22 19:46:40+00,4644189.54782354,17411.694288812,{3C2C2F83-CE8B-411D-BADF-F67447311799}
819,Gunnison Sage-Grouse ACEC,2004 Gunnison Gorge NCA RMP,Closed to motorized and mechanized,Other,Protect Gunnison Sage Grouse,December 1 - May 15,BLM-CO-FEX-04-02,COS05400,2021/06/14 16:34:16+00,2022/05/19 13:35:08+00,89816166.8806131,98167.143099715,{D12E2FAA-984F-4CDB-B8D0-96FA5134C622}
825,Elk Production Areas,2020 Uncompahgre RMP,Closed to motorized and mechanized,Other,Protect Elk Calving Areas,May 15 - June 30,DOI-BLM-CO-S0502011-0011,COS05000,2021/06/22 21:39:05+00,2021/06/22 21:51:06+00,32218798.1373582,155248.608801253,{47452A4F-EE97-4886-98B5-5A830D46CD39}
844,"Jumbo Mountain SRMA, RMZ 2",2020 Uncompahgre RMP,Closed to motorized and mechanized,December 1 - April 15,Wildlife,December 1 - April 15,DOI-BLM-CO-S0502011-0011,COS05000,2021/06/22 21:52:38+00,2021/11/19 19:09:22+00,5323143.99677846,12953.1316550214,{1EFABA11-7696-4CA5-B434-7214D93508D6}
846,Grandview Ridge,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,December 1 - April 15. May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/04/29 18:26:16+00,5549170.38705537,15330.7531397407,{95B0EC74-197C-4923-82B7-EA539BAF0396}
847,Grandview Ridge,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,December 1 - April 15. May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/04/29 18:26:08+00,474605.49580907,3187.92477671669,{4E4651A8-EAE1-46D6-997E-29BB1BA01D0C}
848,Grandview Ridge,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,December 1 - April 15. May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/04/29 18:26:07+00,159200.36931471,1596.14604668311,{62B32903-1D3F-4FCA-AFAE-BCDDF17B4728}
849,Animas City Mountain,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/05/05 14:49:55+00,3871250.4794168,11596.8869803723,{F47C5B39-9B0D-42BE-AF06-2374167A773B}
850,Perins Peak,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 -  July 31,Big game winter range,December 1 - July 31,,COS01000,2021/08/02 18:14:32+00,2022/02/18 23:28:11+00,6303994.05263614,19657.4752209244,{DAA8B493-482F-4C45-9B8E-2E6E158463E2}
851,Perins Peak,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,December 1 - April 15. May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/04/29 18:26:04+00,145543.884613635,1532.08282635768,{DA32E21E-4D40-450F-8FA6-0F7175D542E7}
852,Perins Peak,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,December 1 - April 15. May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/04/29 18:26:02+00,322363.996858475,2417.4347576447,{CDFE04C7-FB4E-47F5-AB11-C7C223C72E98}
853,Perins Peak,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,December 1 - April 15. May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/04/29 18:26:01+00,1459250.617247,6439.06223836374,{DA0D52AD-976A-46EB-87F9-AD3D5B7E6FC2}
854,Perins Peak,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 15,Big game winter range,December 1 - April 15. May be extended to April 30,,COS01000,2021/08/02 18:14:32+00,2022/04/29 18:25:57+00,649221.87523985,3224.00852078208,{7FD9CB91-21C6-414D-BB1E-986BEEA3E399}
855,Aqueduct,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 30,Big game winter range,,,COS01000,2021/08/02 18:19:12+00,2022/04/15 18:43:36+00,3242375.47516312,11820.7202150556,{C9BD85A3-96D4-49DD-BF7F-FF0893FB70EB}
856,Chutes and Ladders,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 30,Big game winter range,,,COS01000,2021/08/02 18:19:12+00,2022/04/15 18:43:39+00,3008887.5091286,9918.89833931488,{2085476B-1988-4144-828B-46900D45B2C0}
857,Summit Ridge,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 30,Big game winter range,,,COS01000,2021/08/02 18:19:12+00,2022/04/15 18:43:40+00,11636353.3595109,35630.1381873305,{7C1BBCAC-88E9-4612-B56F-6261ADCD8155}
858,Summit Ridge,Tres Rios Field Office 2015 RMP,Closed to all uses,December 1 - April 30,Big game winter range,,,COS01000,2021/08/02 18:19:12+00,2022/04/15 18:43:43+00,989268.72963318,5685.75511496426,{4BA84D3B-AB29-42D2-9CAF-1E984B8CC918}
859,Mahan,,Closed to motorized and mechanized,December 1 - April 30,Big game winter range,December 1 - April 30,,COS01000,2021/08/02 19:54:14+00,2022/04/29 18:25:16+00,4553148.30408126,17014.2095715866,{1B50858F-51AA-4A9C-83A2-48C5E1172774}
865,Dolores River SRMA,Tres Rios Field Office 2015 RMP,Closed to Motorized,Other,protect Desert Bighorn Sheep lambing,February 1 - April 30,,COS01000,2021/08/05 14:39:31+00,2021/08/05 14:49:41+00,143456.844940465,31364.6247406832,{22190364-1B59-4BF3-AD69-FE3E39948E9B}
868,Emerald Mountain SRMA,2011 Little Snake Resource Management Plan and EIS,Closed to all uses,December 1 -  June 30,Elk Sensitive Winter & Calving,Corresponds to Colorado Parks & Wildlife lands to the east & Humble Ranch property to the southeast,DOI-BLM-CO-N010-2008-0001-RMP-EIS,CON01000,2021/10/27 22:18:48+00,2021/10/27 22:28:33+00,12220781.4547762,18513.7341459197,{316337FF-ABF0-4D46-AB1D-FEFD1001E302}
869,Emerald Mountain SRMA,2011 Little Snake Resource Management Plan and EIS,Closed to all uses,November 1 - April 30,Weather Conditions & No Road Maintenance,Kemry Draw Vault Toilet,n/a,CON01000,2021/10/27 22:18:48+00,2021/10/28 15:27:52+00,3665.237268985,247.418884323181,{30CD911C-BB8C-4921-BA8F-48B5270914E5}
870,STRAWBERRY SRMA,KREMMLING RMP,Closed to motorized and mechanized,December 15 - June 1,BIG GAME CRUCIAL WINTER HABITAT,December 15 - June 1,DOI-BLM-CO-N020-2008-0001-RMP-EIS,CON02000,2021/11/03 14:32:09+00,2022/02/18 23:27:46+00,31794362.8995021,42253.6821808479,{715512E8-EB0F-43FE-8A36-ABDF5CE22036}
871,N SAND HILLS SRMA,KREMMLING RMP,Closed to motorized and mechanized,December 15 - April 15,BIG GAME CRUCIAL WINTER HABITAT,December 15 - April 15,DOI-BLM-CO-N020-2008-0001-RMP-EIS,CON02000,2021/11/03 14:32:09+00,2022/02/18 23:27:36+00,5869033.56394656,14484.7723435949,{4D0F1991-3A75-4D11-A86D-402A5A5A3778}
872,AMMONITE ACEC,KREMMLING RMP,Closed to Motorized,December 15 - April 15,BIG GAME CRUCIAL WINTER HABITAT,December 15 - April 15,DOI-BLM-CO-N020-2008-0001-RMP-EIS,CON02000,2021/11/03 14:32:09+00,2022/02/18 23:27:31+00,802162.617075,4771.82571277095,{2E840D7C-95BD-488D-9CBD-71C5E5DF6735}
873,KREMMLING ACEC,KREMMLING RMP,Closed to motorized and mechanized,December 15 - April 15,BIG GAME CRUCIAL WINTER HABITAT,December 15 - April 15,DOI-BLM-CO-N020-2008-0001-RMP-EIS,CON02000,2021/11/03 14:32:09+00,2022/02/18 23:27:30+00,2726497.53711329,14692.8039886004,{2EAAA0E6-4F09-4102-85AE-D2947B178D37}
874,WOLFORD SRMA,KREMMLING RMP,Limited to over - the snow tracked vehicles,December 15 - April 15,BIG GAME CRUCIAL WINTER HABITAT,December 15 - April 15,DOI-BLM-CO-N020-2008-0001-RMP-EIS,CON02000,2021/11/03 14:32:09+00,2022/02/18 23:27:18+00,129757987.671731,179370.041456084,{47DB2EC8-B91D-4C47-9C8F-EC5ED1BBCA43}
875,Blanca Wetlands ACEC,San Luis Resource Area RMP 1991,Closed to all uses,Other,Wildlife,Seasonal restriction Feb. 15 to July 15,,COF03000,2021/11/03 22:55:58+00,2022/06/22 17:04:28+00,42299382.3055812,47278.6942299238,{97AA3134-6799-45DB-B04C-BFB81DEFA770}
876,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:03+00,3066973.39105405,15244.3795672637,{4E4CC057-9E78-4843-9F3E-35DBAA84F1E8}
877,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:04+00,105926670.63282,96192.3166254501,{2EF57480-B9CE-4039-872C-3DFE4B546E22}
878,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:05+00,3753902.1638296,9326.2724814232,{BCCB2E40-7DDC-4159-B16A-8EBC2529FC17}
879,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:05+00,104320064.192244,65153.2585243119,{0C0C92F2-DA77-42F6-8E3D-889DEDEC9EB8}
880,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:07+00,152962437.045136,99073.0739116934,{5488300D-924C-485A-AC7A-76DFB53ADAA1}
881,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:08+00,67313525.6558425,69788.6448317929,{2A2D5618-28E0-4A86-A8E7-1C4B2E7FB1BB}
882,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:08+00,520013869.397234,463060.676146168,{5E9A660C-937E-44E2-9B9F-C09D26DF6E1C}
883,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:09+00,4751489.72519775,14569.8094276172,{020674CE-D542-4EAA-ADFB-3258D864AC0F}
884,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:10+00,1138423.07070151,5641.50347616604,{D28C0E82-2267-434D-A94A-9F756A5C55BF}
885,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:11+00,4849528.09715305,10283.869136858,{1D121F84-1B53-4AA0-AC19-ADF01A4FD755}
886,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:13+00,88998116.6820036,54387.7901811574,{5ECCE25B-8675-41F4-AEB7-B31D30C0C630}
887,Gunnison Field Office,Candidate Conservation Agreement for the Gunnison sage-grouse 2013,Closed to Motorized,March 15 - May 15,Protect Gunnison Sage Grouse,Non-motorized use is allowed after 10 am,,COS06000,2021/11/05 16:45:30+00,2022/04/15 21:05:23+00,31684449.4653764,52831.2444208077,{40F36376-AD02-44E7-BEAE-C9F3C07512D9}
888,Signal Peak,Signal Peak Recreation Area Management Plan,Closed to Motorized,Other,Protect wintering wildlife and Gunnison sage grouse,January 1 - May 15,DOI-BLM-CO-F070-2017-0012-EA,COS06000,2021/11/05 18:13:44+00,2021/11/05 18:26:46+00,55305137.8511931,41753.4161146911,{CFB5E429-775F-4613-A243-B57936FA0388}
889,Signal Peak,Signal Peak Recreation Area Management Plan,Closed to motorized and mechanized,Other,Protect wintering wildlife and Gunnison sage grouse,January 1 - April 30. Closed to Motorized May 1 - May 15,DOI-BLM-CO-F070-2017-0012-EA,COS06000,2021/11/05 18:28:07+00,2022/04/15 21:04:03+00,55305137.8511931,41753.4161146911,{BBFBB896-CE32-41DD-B0AD-0963975609D2}
890,Signal Peak,Signal Peak Recreation Area Management Plan,Closed to all uses,March 15 - May 15,Protect wintering wildlife and Gunnison sage grouse,March 15 - May 15,DOI-BLM-CO-F070-2017-0012-EA,COS06000,2021/11/05 18:31:41+00,2022/02/18 23:26:18+00,4869257.14454244,12456.8308091948,{E59C64AD-6A8D-4DD7-B320-3C9E78D506E2}
891,Hartman Rocks,EA for the Hartman Rocks Winter Trail Grooming,Closed to Motorized,Other,To prevent damage to cross country ski trails,Starts when ski grooming begins and ends when roads dry out,DOI-BLM-CO-S060-2016-0020-EA,COS06000,2021/11/05 22:13:56+00,2021/11/05 22:21:47+00,27186523.2239991,24729.5582656227,{19F6308D-5826-4A45-8B50-0C6B93B5A04F}
892,"Dry Creek SRMA, Zone 4",Montrose County Shavano Gateway,Closed to all uses,December 1 - April 15,Provide a conservation benefit to wintering migratory big game,December 1 - April 15,DOI-BLM-CO-S050-2021-0032-EA,COS05000,2021/11/18 21:26:37+00,2022/02/18 23:27:10+00,4371776.41529934,11336.7770373774,{77808E22-4952-4B4C-95F4-70607A2E29A0}
