sexraceethnicity,sex,raceethnicity,yearvalue,percentage,standarderroronpercentage,noteonpercent
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2010,27.5,1.1,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2011,29.0,1.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2012,28.6,1.0,Reporting standards not met.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,28.9,1.0,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,22.6,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2002,21.7,1.1,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2003,20.6,0.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2004,20.3,0.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2005,19.3,0.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2006,19.7,1.0,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,18.4,0.8,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2008,19.4,0.7,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2009,19.9,0.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2010,19.6,1.0,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2011,21.1,0.9,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,21.2,0.7,Reporting standards not met.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2013,21.5,0.9,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,27.5,1.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2002,26.9,1.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2003,26.1,0.8,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2004,25.3,0.8,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2005,25.3,0.8,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2006,22.6,1.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2007,23.7,1.2,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,23.5,1.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2009,24.4,1.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,24.2,1.3,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,25.9,1.1,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2012,24.8,1.0,Reporting standards not met.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2013,24.2,1.0,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,18.2,1.6,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2002,18.2,1.8,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,17.7,1.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,15.8,1.6,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2005,16.5,1.6,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,17.9,1.8,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,16.4,1.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2008,19.1,1.3,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2009,21.2,1.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,21.9,1.4,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2011,23.4,1.5,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2012,24.0,1.3,Reporting standards not met.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2013,27.9,1.9,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2001,24.0,2.0,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2002,22.7,2.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2003,19.6,1.6,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2004,20.4,1.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2005,19.5,1.7,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2006,20.8,1.4,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2007,18.6,1.4,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2008,20.3,1.5,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2009,20.8,1.3,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2010,22.7,1.4,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2011,23.4,1.1,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2012,26.7,1.4,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2013,28.0,1.8,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,11.3,1.7,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,15.9,1.7,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,11.2,1.2,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,11.9,1.6,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,11.5,1.4,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,11.9,1.9,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,13.4,1.6,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,14.0,1.7,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2009,14.0,2.0,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,14.7,1.9,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,14.2,1.9,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,15.9,1.6,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,15.8,1.9,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,23.4,1.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,23.4,1.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,23.4,1.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,23.4,1.0,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,23.4,5.3,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,22.8,3.0,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,19.1,3.9,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,25.9,3.7,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,26.0,4.7,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,33.8,5.4,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,29.4,6.8,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,34.3,5.9,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,22.6,5.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,35.6,5.5,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,32.8,6.1,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,28.7,5.4,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,27.2,4.5,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,28.0,4.1,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,29.8,3.5,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,36.0,4.8,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,24.1,4.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,37.2,8.7,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,29.1,4.1,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,34.1,3.9,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,30.4,6.1,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,23.6,3.5,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,23.4,1.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,23.4,1.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,23.4,1.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,23.4,1.0,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,25.4,4.8,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,21.4,2.2,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,22.1,2.3,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,24.7,2.8,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,26.5,2.7,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,28.3,2.2,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,31.7,2.4,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2012,29.9,2.4,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,29.9,2.1,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,28.9,1.4,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2002,29.3,1.2,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,28.7,1.0,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,27.6,1.1,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2005,28.6,1.0,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2006,23.7,1.2,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,27.1,1.5,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,25.9,1.3,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2009,27.2,1.3,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,28.6,1.4,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,29.2,1.4,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,27.3,1.3,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,27.5,1.3,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2001,28.2,2.5,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,25.3,2.5,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2003,22.1,1.8,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,21.8,2.2,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2005,23.1,2.3,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2006,21.3,2.5,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,19.4,2.0,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2008,23.1,1.8,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,25.6,2.5,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,28.3,2.3,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,31.9,2.7,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2012,32.8,2.2,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2013,34.1,2.6,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2001,25.7,2.4,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2002,28.4,3.3,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2003,24.7,2.2,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2004,24.8,1.4,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2005,23.4,2.2,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2006,22.9,1.7,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2007,22.3,1.8,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2008,24.0,2.2,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2009,26.0,1.8,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2010,24.8,2.0,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2011,27.2,1.6,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2012,30.7,1.9,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2013,31.9,2.7,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2001,14.9,2.1,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,17.1,2.8,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,13.6,2.0,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2004,14.0,1.9,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2005,13.7,2.3,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2006,11.0,2.3,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2007,16.5,2.9,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2008,17.6,2.6,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2009,17.1,2.5,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,18.4,2.4,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,16.3,2.3,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,21.2,3.0,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2013,20.5,2.5,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,23.4,1.0,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,23.4,1.0,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2003,23.4,1.0,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2004,23.4,1.0,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,23.4,1.0,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,19.1,2.9,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,26.5,4.1,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,31.6,5.8,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,23.4,1.0,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,26.6,5.8,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,23.4,1.0,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,23.4,1.0,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,32.1,5.1,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,32.8,6.7,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,33.9,4.4,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2009,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2010,30.3,6.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,42.3,4.4,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,23.4,1.0,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2013,23.4,1.0,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,23.4,1.0,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,23.4,1.0,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,23.4,1.0,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,23.4,1.0,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,33.0,6.7,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,24.4,3.2,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,24.1,3.4,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,26.6,3.8,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,29.5,4.8,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,31.2,3.8,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,34.0,3.3,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,33.2,3.5,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,31.4,3.0,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,25.9,1.3,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2002,24.2,1.5,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2003,23.4,1.0,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2004,23.1,0.8,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2005,22.3,0.9,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2006,21.3,1.2,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2007,20.4,1.1,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,21.3,1.0,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,21.7,1.1,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2010,19.8,1.4,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,22.3,1.2,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,21.8,1.0,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2013,20.6,1.1,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2001,11.9,1.6,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,13.1,1.9,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2003,14.2,1.6,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2004,10.9,1.5,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,11.0,1.7,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2006,14.5,1.6,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2007,13.3,1.4,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,15.9,1.4,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,17.5,1.7,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,16.2,1.8,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,17.2,1.5,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,17.1,2.3,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2013,22.9,1.9,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2001,22.0,2.6,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2002,17.7,2.2,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2003,15.2,1.9,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2004,16.2,1.9,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2005,15.2,1.9,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2006,18.6,1.7,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2007,14.9,1.5,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2008,17.3,1.5,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2009,16.2,1.1,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2010,21.0,1.4,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispanic,2011,20.0,1.6,Reporting standards not met.
