65.sexraceethnicity,"Total - Black, non-Hsipanic ","Total - Black, non-Hispanic "
194.sex,Mle,Male
254.noteonpercent,Reporting standeards not met.,Reporting standards not met.
71.sex,Femlae,Female
244.sexraceethnicity,"Total  Female, Black, non-Hispanic ","Total - Female, Black, non-Hispanic "
246.noteonpercent,Reporting stasndards not met.,Reporting standards not met.
163.sexraceethnicity,"Total - Male,H ispanic","Total - Male, Hispanic"
23.sex,ale,Male
255.raceethnicity,Hispanc,Hispanic
309.sexraceethnicity,"Total - Feamle, Two or more races, non-Hispanic","Total - Female, Two or more races, non-Hispanic"
61.noteonpercent,Repotrting standards not met.,Reporting standards not met.
270.raceethnicity,"Asian, non-Hispanc","Asian, non-Hispanic"
92.sex,emale,Female
99.sex,Femae,Female
123.noteonpercent,Reporting standarsd not met.,Reporting standards not met.
17.raceethnicity,"American India/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
10.sex,Femael,Female
262.sex,Feale,Female
176.sex,pMale,Male
186.noteonpercent,Data not vailable.,Data not available.
173.sexraceethnicity,"Total - Male, Asian, tnon-Hispanic","Total - Male, Asian, non-Hispanic"
135.sex,Mle,Male
49.sexraceethnicity,"Total - White, nonHispanic","Total - White, non-Hispanic"
292.raceethnicity,"American Indian/Alaskau Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
129.sexraceethnicity,"Total - wTo or more races, non-Hispanic","Total - Two or more races, non-Hispanic"
223.noteonpercent,Reporting stadnards not met.,Reporting standards not met.
196.raceethnicity,"American Indian/Alaska Native, non-Hispanci","American Indian/Alaska Native, non-Hispanic"
74.noteonpercent,eporting standards not met.,Reporting standards not met.
196.sexraceethnicity,"Total - Male, American Indian/Alaska Native, non-Hiispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
102.sexraceethnicity,"Total - Pacifuic Islander, non-Hispanic","Total - Pacific Islander, non-Hispanic"
290.noteonpercent,Reporting standrds not met.,Reporting standards not met.
107.sex,Femae,Female
258.noteonpercent,Reporting standards nt met.,Reporting standards not met.
101.sexraceethnicity,"Total - Pacific Islander, non-Hispanioc","Total - Pacific Islander, non-Hispanic"
56.sex,Feamle,Female
283.raceethnicity,"Pacific Islander,b non-Hispanic","Pacific Islander, non-Hispanic"
216.noteonpercent,Rewporting standards not met.,Reporting standards not met.
197.raceethnicity,"AmericanI ndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
27.raceethnicity,"American Indian/Alaska Native, onn-Hispanic","American Indian/Alaska Native, non-Hispanic"
58.noteonpercent,Repordting standards not met.,Reporting standards not met.
7.noteonpercent,Reporting standards nto met.,Reporting standards not met.
12.raceethnicity,"American Indian/Alaska Natvie, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
254.raceethnicity,Hispnaic,Hispanic
243.raceethnicity,"Black, non-Hipsanic ","Black, non-Hispanic "
1.sexraceethnicity,Totral ,Total 
7.raceethnicity,"America nIndian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
69.raceethnicity,Hisanic,Hispanic
17.sexraceethnicity,Ttoal - Male,Total - Male
23.noteonpercent,Reporting standrds not met.,Reporting standards not met.
204.noteonpercent,Repeorting standards not met.,Reporting standards not met.
191.sex,Mlae,Male
291.sex,Femael,Female
243.sex,Femae,Female
29.raceethnicity,"American Inian/Alaska Native, non-Hispanic","American Indian/Alaska Native, non-Hispanic"
281.raceethnicity,"Pacific Islander, non-Hsipanic","Pacific Islander, non-Hispanic"
143.sexraceethnicity,"Total - Male,W hite, non-Hispanic","Total - Male, White, non-Hispanic"
10.noteonpercent,Reporting stadnards not met.,Reporting standards not met.
280.sexraceethnicity,"Total - Female, Pacific Islande, non-Hispanic","Total - Female, Pacific Islander, non-Hispanic"
275.raceethnicity,"acific Islander, non-Hispanic","Pacific Islander, non-Hispanic"
282.sex,emale,Female
224.sexraceethnicity,"Total - Female, White, non-Hspanic","Total - Female, White, non-Hispanic"
245.raceethnicity,"Black, non-Hispanicn ","Black, non-Hispanic "
170.noteonpercent,Rporting standards not met.,Reporting standards not met.
197.sexraceethnicity,"Total - Mael, American Indian/Alaska Native, non-Hispanic","Total - Male, American Indian/Alaska Native, non-Hispanic"
172.noteonpercent,eporting standards not met.,Reporting standards not met.
72.sex,Feale,Female
181.raceethnicity,"Asian, non-Hisplanic","Asian, non-Hispanic"
12.sex,Fewmale,Female
259.sexraceethnicity,"Total - Female, Hisapnic","Total - Female, Hispanic"
64.noteonpercent,Reporting standads not met.,Reporting standards not met.
264.raceethnicity,"Asian, nonHispanic","Asian, non-Hispanic"
116.raceethnicity,"American Indian/Alaska Native, no-nHispanic","American Indian/Alaska Native, non-Hispanic"
121.raceethnicity,"Two o rmore races, non-Hispanic","Two or more races, non-Hispanic"
251.sex,Femae,Female
76.sexraceethnicity,Total -Hispanic,Total - Hispanic
297.noteonpercent,Reporting standards not me.t,Reporting standards not met.
28.sexraceethnicity,otal - Female,Total - Female
