sexraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
Total - Male,aMle,"American Indian/Alaaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Mlae,"American Indian/Alaska Native, non-Hispanic",2011,186.0,0.6,Data not available.
Total - Male,ale,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Male,Male,"American Indian/Alaska Native, non-Hispanic",2013,184.0,0.8,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2000,173.0,7.7,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
Total - Female,Femmale,"American Indian/Alaska Native, non-Hispanic",2002,188.0,1.1,Datanot available.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,187.0,1.0,Data not available.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,191.0,0.7,Dta not available.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2007,191.0,0.9,Data not available.
Total - Female,emale,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Female,Female,"American Icndian/Alaska Native, non-Hispanic",2009,190.0,1.0,Data not available.
Total - Female,Femalze,"American Indian/Alaska Native, jnon-Hispanic",2010,169.0,0.6,Data not available.
Total - Female,Femlae,"American Indian/Alaska Native, non-Hspanic",2011,187.0,0.9,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Female,Female,"American Indian/Alaska Native, non-iHispanic",2013,184.0,0.9,Data not available.
Total,Female,"White, non-Hispanic",2000,182.0,5.2,Data not available.
Total - Male,Female,"White, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2002,195.0,0.8,Data not available.
Total,Female,"White, non-Hispanic",2003,194.0,0.7,Data not available.
Total - Male,Female,"White, non-Hispanic",2004,169.0,0.6,Data no tavailable.
Total,eFmale,"White, non-Hispanic",2005,199.0,0.7,Data not available.
Total,Female,"White, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Female,Female,"White, non-Hispanic",2007,200.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2008,169.0,0.6,Data ot available.
Total,Female,"White, non-Hispanic",2009,200.0,0.7,Data not available.
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2010,169.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2011,197.0,0.6,Data not available.
Total - Female,Female,"White, non-Hispanic",2012,169.0,0.6,Data not available.
Total,Female,"White, non-Hispanic",2013,196.0,0.7,Dat not available.
Total - Male,Female,"Black, non-Hispanic",2000,143.0,10.8,Data not available.
Total,Female,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2002,170.0,1.9,Data not available.
Total,Female,"Black, non-Hispanic",2003,165.0,1.1,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2005,171.0,1.2,Data not available.
Total - Female,Feamle,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,172.0,1.0,Data not azvailable.
Total - Female,Female,"Black, non-Hispanic",2008,169.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2009,172.0,1.2,Data not available.
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
Total,Female,"Black, non-Hispanic",2011,169.0,1.0,Data not available.
Total,Female,"Black, non-Hispanic",2012,169.0,0.6,Data not available.
Total - Male,Female,"Black, non-Hispanic",2013,168.0,1.0,Data not available.
Total - Female,Female,Hispanic,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
Total,Female,Hispanic,2001,169.0,0.6,Data not available.
Total - Male,Female,Hispanic,2002,174.0,2.3,Data not available.
Total,Female,Hispanic,2003,172.0,1.5,Data not available.
Total,Female,Hispanic,2004,169.0,0.6,Data not available.
Total,Female,Hispanic,2005,176.0,1.2,Data not available.
Total,Female,Hispanic,2006,169.0,0.6,Data nto available.
Total - Female,Female,Hispanic,2007,173.0,1.2,Data not available.
Total,Female,Hispanic,2008,169.0,0.6,Data not available.
Total,Female,Hispanic,2009,170.0,1.7,Data not available.
Total,Female,Hispanic,2010,169.0,0.6,Data not available.
Total,Female,Hispanic,2011,171.0,1.4,Data not available.
Total,Female,Hispanic,2012,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Femlae,Hispanic,2013,166.0,1.1,Data not available.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2002,193.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2003,192.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2005,198.0,2.8,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2007,195.0,3.4,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2009,199.0,2.5,Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2011,199.0,4.1,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
Total - Male,Female,"Asian, non-Hispanic",2013,195.0,3.0,Data for 2000 through 2009 include Pacific Islanders.
Total,Female,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2003,169.0,0.6,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Female,"Pacific Islander, non-Hispanic",2011,162.0,7.8,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not available.
Total,Female,"Pacific Islander, non-Hispanic",2013,160.0,7.4,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Feamle,"Aerican Indian/Alaska Native, non-Hispanic",2002,171.0,3.7,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native ,non-Hispanic",2003,166.0,2.9,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/AlaskaNative, non-Hispanic",2005,172.0,3.0,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Femael,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Pacific Islander, non-Hispanic",Femalye,"American Indian/Alaska Native, non-Hispanic",2007,168.0,3.4,Data not available.
"Total - Pacific Islander, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
Total - Male,Female,"American Indian/Alaska Native, non-Hispanic",2009,175.0,3.8,Data not available.
"Total - Black, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Female,"American Indian/Alaska Native, non-Hispanic",2011,170.0,3.7,Data not available.
"Total - Asian, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"Amreican Indian/Alaska Native, non-Hispanic",2013,169.0,4.2,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - White, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2004,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2005,169.0,0.6,Data notavailable.
Total,Female,"Two or more races, non-Hispanic",2006,169.0,0.6,Data not available.
Total,Fmale,"Two or more races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Black, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not available.
Total - Female,Female,"Two or more races, non-Hispanic",2010,169.0,0.6,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2011,189.0,3.3,Data not available.
Total - Male,Female,"Two or more races, non-Hispanic",2012,169.0,0.6,Data not available.
Total,Female,"Two or more races, non-Hispanic",2013,183.0,2.9,Data ot available.
Total - Male,Male,"White, non-Hispanic",2000,178.0,5.8,Data not available.
"Total - American Indian/Alaska Native, non-Hispanic",Male,"White, non-Hispanic",2001,169.0,0.6,Data not available.
Total,Male,"White, non-Hispanic",2002,194.0,0.9,Data not available.
Total,Male,"White, non-Hispanic",2003,193.0,0.8,Data not available.
Total - Male,Male,"White, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Mlae,"White, non-Hispanic",2005,199.0,0.8,Data not available.
Total - Male,Male,"White, non-Hispanic",2006,169.0,0.6,Data not available.
Total - Male,Male,"White, non-Hispanic",2007,200.0,0.6,Data not available.
Total,Male,"White, non-Hispanic",2008,169.0,0.6,Data not available.
Total,Male,"White, non-Hispanic",2009,200.0,0.9,Data nota vailable.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2011,197.0,0.7,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,196.0,0.8,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,168.0,2.3,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black,n on-Hispanic",2003,163.0,1.2,Daat not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Blazck, non-Hispanic",2005,169.0,1.5,Data not available.
"Total - Male, Balck, non-Hispanic",Male,"Black, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,171.0,1.3,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispani",2008,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2009,172.0,1.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, on-Hispanic",2011,168.0,1.1,Data not available.
"Total - Male, Black, non-Hispanic",Malme,"Black, non-Hspanic",2012,169.0,0.6,Data not available.
"Total - Male, Black, non-Hispanic",Male,"Black, norn-Hispanic",2013,167.0,1.2,Data not available.
"Total - Male, Hispanic",Male,Hispanivc,2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, Hispanic",Male,Hispanic,2001,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2002,173.0,2.9,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2003,169.0,1.9,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2004,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2005,176.0,1.5,Data not avilable.
"Total - Male, Hispanic",Male,Hispanic,2006,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2007,172.0,1.4,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2008,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2009,169.0,1.9,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2010,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2011,171.0,1.7,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2012,169.0,0.6,Data not available.
"Total - Male, Hispanic",Male,Hispanic,2013,166.0,1.5,Data not available.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanci",2001,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,191.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Malke,"Asian, non-Hispanic",2003,186.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,Asian non-Hispanic,2004,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asain, non-Hispanic",2005,195.0,4.4,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",fMale,"Asian, no-nHispanic",2006,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asixan, non-Hispanic",2007,190.0,3.1,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Male,"Asin, non-Hispanic",2008,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mle,"Asian, non-Hispaniuc",2009,191.0,3.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Malbe,"lAsian, non-Hispanic",2010,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",tMale,"Aian, non-Hispanic",2011,195.0,4.3,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",cMale,"Asian, non-Hispanic",2012,169.0,0.6,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Asian, non-Hispanic",Mae,"Asian, non-Hspanic",2013,194.0,3.8,Data for 2000 through 2009 include Pacific Islanders.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, nn-Hispanic",2002,169.0,0.6,Data ot available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-aHispanic",2003,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"aPcific Islander, non-Hispanic",2004,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Pcaific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,163.0,9.9,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,149.0,5.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska Native, non-Hispanic",2002,168.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska nNative, non-Hispanic",2003,166.0,3.8,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,169.0,0.6,Data nota vailable.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispaniqc",2005,172.0,3.4,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Makle,"American Indian/Alaska Native, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,169.0,3.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alsaska Native, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"Ameircan Indian/Alaska Native, non-Hispanic",2009,178.0,5.3,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American IndianA/laska Native, non-Hispanic",2010,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indiang/Alaska Native, non-Hispanic",2011,169.0,4.9,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mae,"American Indian/Alaska Native, non-Hispnaic",2013,177.0,5.5,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2002,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,169.0,0.6,Data not availble.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more raecs, non-Hispanic",2004,169.0,0.6,Data not aailable.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or mores races, non-Hispanic",2007,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Mael,"Two or more races, non-Hihspanic",2010,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2011,191.0,3.6,Data not avaliable.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or mre races, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,183.0,3.5,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2000,188.0,9.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanc",2002,197.0,1.3,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, nonH-ispanic",2003,197.0,1.2,Data not available.
"Total - Female, White, non-Hispanic",Femaqle,"White, non-iHspanic",2004,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",emale,"White, on-Hispanic",2005,199.0,0.9,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, non-Hipanic",2006,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femalwe,"White, non-Hispanic",2007,200.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Femlae,"hWite, non-Hispanic",2008,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Fmeale,"White, non-Hispanic",2009,201.0,1.0,Data not available.
"Total - Female, White, non-Hispanic",Female,"White, nont-Hispanic",2010,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Femael,"White,non-Hispanic",2011,197.0,1.0,Data not availabl.
"Total - Female, White, non-Hispanic",Femlale,"White, on-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, White, non-Hispanic",Fehmale,"White ,non-Hispanic",2013,195.0,1.1,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2000,169.0,0.6,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2001,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Fmale,"Black, non-Hispani c",2002,173.0,2.1,Data notavailable.
"Total - Female, Black, non-Hispanic",Femalze,"Black, non-Hispanic",2003,168.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black,n on-Hispanic",2004,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Blgack, non-Hispanic",2005,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Feamle,"Black, nonH-ispanic",2006,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Feemale,"Black, non-Hispnic",2007,175.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hipsanic",2008,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Fefmale,"Black, non-Hispanic",2009,173.0,1.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanifc",2010,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Feamle,"Back, non-Hispanic",2011,171.0,1.6,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Blauck, non-Hispanic",2012,169.0,0.6,Data not available.
"Total - Female, Black, non-Hispanic",Feale,"Black, non-Hispanic",2013,169.0,1.7,ata not available.
"Total - Female, Hispanic",Female,Hispanic,2000,169.0,0.6,Reporting standarsd not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,Hispanic,2001,169.0,0.6,Data not available.
"Total - Female, Hispanic",Femle,Hispanic,2002,176.0,4.2,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2003,176.0,2.3,Data not available.
"Total - Female, Hispanic",Femle,Hisphanic,2004,169.0,0.6,Data not available.
"Total - Female, Hispanic",Femlae,Hikspanic,2005,176.0,1.7,Data not available.
