characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozerozerozero(double precision),countvalue(double precision)
Total - Fgemale,Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
Total - Female,Female,"American Indian/Alaska Native, non-Hispaic",2005,9.2,192.0
Total - Female,Female,"American Indan/Alaska Native, non-Hispanic",2006,74.1,13679.0
Total - zFemale,Female,"American Indian/Arlaska Native, non-Hispanic",2007,63.4,11764.0
Total - Female,Female,"American Indian/Alaska Natifve, non-Hispanic",2008,9.2,192.0
Total - Female,Femae,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
Total - Female,Femael,"American Indian/Alaska Native, non-Hispanic",2010,51.8,9395.0
Total - Feamle,Female,"American Indian/Alaska Native, non-Hispanic",2011,46.3,8331.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2001,179.5,41136.0
"Total - White, non-Hispainc",Female,"White, non-Hispanic",2002,9.2,192.0
"Total - White, non-Hvispanic",Female,"White, non-Hispanic",2003,160.9,37111.0
"Ttal - White, non-Hispanic",Female,"White, non-Hispanic",2004,9.2,192.0
"Total - White, non-Hispanic",Fmale,"White, non-Hisapnic",2005,9.2,192.0
"Total - White, non-Hispanic",emale,"White, nqon-Hispanic",2006,142.0,32343.0
"Total - White, non-Hispanic",Femle,"White, non-Hispanic",2007,130.1,29371.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2008,9.2,192.0
"Total - Wihte, non-Hispanic",Female,"White, nonj-Hispanic",2009,9.2,192.0
"Tbotal - White, non-Hispanic",Female,"White, non-Hispanic",2010,106.6,22841.0
"Total - White, non-Hispanic",Female,"White, non-Hispanic",2011,93.9,19840.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2001,745.3,40542.0
"Total - Black, non-Hispanic",Feamle,"Black, non-Hispnic",2002,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2003,641.4,36537.0
"Total - Black, non-Hispanic",emale,"Black, non-Hispanic",2004,9.2,192.0
"Total Black, non-Hispanic",Female,"Black, non-Hispanic",2005,9.2,192.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2006,621.0,37212.0
"Total - Black, non-Hispanic",Female,"Black, non-Hispanic",2007,584.9,35307.0
"Total- Black, non-Hispanic",Female,"Black, non-Hispanic",2008,9.2,192.0
"Tortal - Black, non-Hispanic",Fmeale,"Black, non-Hispanic",2009,9.2,192.0
"Total - Black, non-Hispanic",Female,Black non-Hispanic,2010,490.6,28870.0
"Total - Black, non-Hispanic",Female,"Black, non-ispanic",2011,421.9,24499.0
Total - Hispanic,Female,Hispanic,2001,307.7,17964.0
Total - cHispanic,emale,Hispanic,2002,9.2,192.0
Total - Hispanic,Female,aHispanic,2003,291.5,18359.0
Total - Hispanic,emale,Hispanic,2004,9.2,192.0
Total - Hispanic,Female,Hisppanic,2005,9.2,192.0
Total - Hispanic,Female,Hispanic,2006,268.8,18967.0
Total - Hispanic,Female,Hispnaic,2007,246.3,18011.0
Total - Hispanic,Femafle,Hispanic,2008,9.2,192.0
Total - Hispanic,Female,Hisspanic,2009,9.2,192.0
Total - Hispanic,Femalbe,Hipanic,2010,203.0,15520.0
Ttal - Hispanic,Female,Hbispanic,2011,180.9,13953.0
"Total - Asian, non-Hispanic",emale,"Asina, non-Hispanic",2001,97.7,1509.0
"Totla - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,9.2,192.0
"Total - Asian, non-Hispanic",Feale,"Asian, non-Hispanic",2003,90.4,1459.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,9.2,192.0
"Total - rAsian, non-Hispanic",Fqemale,"Asian, non-Hispanic",2006,66.2,1153.0
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,57.7,1033.0
"Total - Asian,w non-Hispanic",Female,"Asian, non-Hipsanic",2008,9.2,192.0
"Total - sAian, non-Hispanic",Female,"Asian, non-Hispanic",2009,9.2,192.0
"Total - Asian, non-Hispanic",Female,"Asin, non-Hispanic",2010,38.4,727.0
"Total - Asian, non-Hispanic",Femael,"Asian, non-Hispanic",2011,29.9,565.0
"Total - Pacifhic Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Total- Pacific Islander, non-Hispanic",Female,"Pacific Islander, noxn-Hispanic",2002,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacifci Islander, non-Hispanic",2004,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hisanic",2005,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, nno-Hispanic",2006,9.2,192.0
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Total - Pacific Islander, non-Hispanic",wFemale,"Pacific Islander, nn-Hispanic",2008,9.2,192.0
"Total - Pacific Islandre, non-Hispanic",Female,"Pacific Islander, non-Hispajnic",2009,9.2,192.0
"Total - Pacific Islander, nonn-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.2,192.0
"Total - Paciefic Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"Total - American Indian/Alaska Native, non-Hdispanic",Female,"American Indian/Alaska Native, non-Hispanic",2001,529.9,1982.0
"Total - American Indian/Alaska Native, non-Hispawnic",Female,"American nIdian/Alaska Native, non-Hispanic",2002,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Idian/Alaska Native, non-Hispanic",2003,439.9,1697.0
"Ttal - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,436.2,1689.0
"Total - American Indian/Alaska Native, non-Hispanic",Fekmale,"American Indian/Alaska Native, non-Hisapanic",2007,376.9,1443.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,337.2,1222.0
"Total - American Indian/Alaska Native, non-Hispbanic",Female,"American Indian/Alaska Naitve, non-Hispanic",2011,328.6,1175.0
"Total - Two ormore races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.2,611.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hisapnic",2002,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more racens, non-Hispanic",2003,9.2,905.0
"Total - Two or more races,n on-Hispanic",Female,"Two or more races, non-Hispanic",2004,9.2,192.0
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.2,192.0
"Total - Two or more races, non-Hispanic",Femlae,"Two or moreg races, non-Hispanic",2006,9.2,1005.0
"Total - Two or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2007,9.2,1272.0
"Total - Two or emore races, non-Hispanic",Fgemale,"Two or more races, non-Hispanic",2008,9.2,192.0
"Total - Two or more races, non-Hispanic",Femaqle,"Two or more races, no-Hispanic",2009,9.2,192.0
"otal - Two or more races, non-Hispanic",Female,"Two or moree races, non-Hispanic",2010,9.2,1311.0
"Total - Two or more races, non-Hispandic",Female,"Two or more races, non-Hispanic",2011,9.2,1183.0
"White, non-Hispanc",Male,"White, non-Hspanic",2001,290.1,34083.0
"White, non-Hispanic",Male,"White,m non-Hispanic",2002,9.2,192.0
"White, non-Hispanic",Mle,"White, non-Hispeanic",2003,258.3,30592.0
"Whtie, non-Hispanic",ale,"White, non-Hispanic",2004,9.2,192.0
"White, non-Hispanic",Male,"White, non-Hispanic",2005,9.2,192.0
"White, non-Hispanic",Male,"Wite, non-Hispanic",2006,226.3,26443.0
"White, onn-Hispanic",ale,"White, non-Hispanic",2007,211.0,24429.0
"White, non-Hispanic",Mle,"White, non-Hispanic",2008,9.2,192.0
"White, non-Histpanic",Mle,"White, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",qMale,"White, no-Hispanic",2010,174.7,19176.0
"White, non-Hispanic",Manle,"hWite, non-Hispanic",2011,152.9,16576.0
"Black, non-Hispandic",Mae,"Black, nn-Hispanic",2001,1279.7,35249.0
"Black,n on-Hispanic",ale,"Black, nonHispanic",2002,9.2,192.0
"Black, non-Hjispanic",Male,"Blaick, non-Hispanic",2003,1087.5,31441.0
"Black, non-Hispanic",Madle,"Black, non-Hispanic",2004,9.2,192.0
"Black, non-Hispanic",Malje,"Black, non-Hispanic",2005,9.2,192.0
"Black, non-Hispanic",Male,"Blcak, non-Hispanic",2006,1069.0,32480.0
"Black, non-Hispnaic",Male,"lack, non-Hispanic",2007,1018.1,31165.0
"Black, non-Hispanic",Male,"Black, non-Hispanic",2008,9.2,192.0
"Black, non-Hispanc",Male,"Black, non-Hispanic",2009,9.2,192.0
"Black,h non-Hispanic",Male,"Black, non-Hspanic",2010,852.5,25456.0
"Blck, non-Hispanic",Male,"Black, non-Hispanic",2011,732.5,21615.0
Hispasnic,aMle,Hispanic,2001,519.7,15963.0
Hispanic,Male,Hispanci,2002,9.2,192.0
Hispanic,Male,Hispanic,2003,491.6,16212.0
Hispanic,Male,Hispanic,2004,9.2,192.0
Hispanic,Male,Hispanic,2005,9.2,192.0
Hispuanic,Mae,Hispanic,2006,454.9,16701.0
Hispaniac,Male,Hispanic,2007,422.9,16060.0
Hispanic,Male,Hispanic,2008,9.2,192.0
Hispanic,Male,Hjispanic,2009,9.2,192.0
Hispanic,Male,Hispanic,2010,351.4,13865.0
Hispanic,Male,Hisanic,2011,311.9,12393.0
"Asian, non-Hispanic",Mle,"Asian, non-Hispanic",2001,166.8,1317.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,9.2,192.0
"Asian, non-Hispanic",Male,"Asian, non-Hispanic",2003,152.5,1261.0
"Asian, non-iHspanic",Mlae,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",Mle,"Asian, non-Hispanic",2005,9.2,192.0
"Aksian, non-Hispanic",Marle,"Asian, non-Hispanic",2006,114.5,1022.0
"Asian, non-Hispanic",Mxale,"Asian, non-Hispanic",2007,97.3,892.0
"Asian, non-iHspanic",Male,"Asian, non-Hispanic",2008,9.2,192.0
"Asia,n non-Hispanic",Male,"Asian, non-Hispanic",2009,9.2,192.0
"Asian, non-Hipanic",Male,"Asian, non-Hispanic",2010,65.6,633.0
"Asian, nont-Hispanic",Mae,"Asian, non-Hispainc",2011,49.9,480.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Pacific Islander, non-Hispanic",ale,"Pacific Islander, onn-Hispanic",2002,9.2,192.0
"Pacific Islander, non-Hispanic",Mael,"Pacific Islander, non-Hispanic",2003,9.2,192.0
"Pacific Islander, non-Hispanic",aMle,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2005,9.2,192.0
"Pacifi cIslander, non-Hispanic",Mael,"Pacific Islandre, non-Hispanic",2006,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2007,9.2,192.0
"Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,9.2,192.0
"Pcaific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,9.2,192.0
"Pacific Isander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2010,9.2,192.0
"Pacific Islandepr, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2011,9.2,192.0
"Amerian Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,849.6,1619.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indan/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2003,684.9,1346.0
"American Indian/Alaska Native, non-Hispanic",Mkale,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"American Indian/Alaska Native, non-Hispainc",Male,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"Amrican Indian/Alaska Native, non-Hispanic",cMale,"American Indian/Alaska Native, non-Hispanic",2006,636.1,1253.0
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2007,559.7,1090.0
"American Indian/Alaska Native, non-Hispanic",Male,"Ammerican Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alask Native, non-Hispanic",2009,9.2,192.0
"American Indian/Alaska Natikve, non-Hispanic",Mlae,"American Indian/Alaska Native, no-Hispanic",2010,494.9,912.0
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2011,485.7,883.0
"Two or more races, onn-Hispanic",Mle,"Two or more races, non-Hispanic",2001,9.2,458.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hisanic",2002,9.2,192.0
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,9.2,713.0
"Two or more races, non-Hispanic",Mle,"Two or more races, non-Hispanic",2004,9.2,192.0
"Two or moreraces, non-Hispanic",Mael,"Two or more races, non-Hispanic",2005,9.2,192.0
"wo or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2006,9.2,791.0
"Two or more races, non-Hispanic",Mle,"Two o more races, non-Hispanic",2007,9.2,1037.0
"Two or more races, non-Hispanic",Mlae,"Two or more races, non-Hispanic",2008,9.2,192.0
"Two or more races, nonHispanic",Madle,"Two or more races, non-Hispanic",2009,9.2,192.0
"Tw or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,9.2,1054.0
"Two or more races, non-Hispanic",Maloe,"Two or more races, non-Hispanic",2011,9.2,937.0
"White, non-Hispanic",Female,"White, non-Hispanic",2001,63.2,7053.0
"White, non-Hipanic",Female,"White, non-Hispanic",2002,9.2,192.0
"Whizte, non-Hispanic",Female,"White, non-Hispnic",2003,58.1,6519.0
"White, non-Hispanic",Female,"White, non-Hispanic",2004,9.2,192.0
"White, non-Hispanic",Female,"White, non-Hispanic",2005,9.2,192.0
"White, non-Hispanic",Femae,"White, non-Hispanic",2006,53.2,5900.0
"White, non-Hispanic",Female,"White, non-Hispanic",2007,45.0,4942.0
"White, non-Hispanic",Female,"White, onn-Hispanic",2008,9.2,192.0
"White, non-Hsipanic",Femle,"White, non-Hispanic",2009,9.2,192.0
"White, non-Hispanic",Femajle,"White, non-Hispanic",2010,35.1,3665.0
"White, unon-Hispanic",Fmeale,"White, non-Hispanic",2011,31.7,3264.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2001,197.1,5293.0
"Black, nno-Hispanic",Female,"Black, non-Hispanic",2002,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2003,181.6,5096.0
"Black, non-Hisanic",Female,"Black, non-Hispanic",2004,9.2,192.0
"Black, non-Hsipanic",Female,"Black, non-Hispanic",2005,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2006,160.2,4732.0
"lBack, non-Hispanic",eFmale,"Black, non-Hispanic",2007,139.2,4142.0
"Black, non-Hishpanic",Female,"Black, non-Hispanic",2008,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.2,192.0
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,117.8,3414.0
"Black, non-Hispanic",aFemale,"Black, nn-Hispanic",2011,101.0,2884.0
Hispanic,Female,Hispanic,2001,72.3,2001.0
Hibspanic,Female,Hcispanic,2002,9.2,192.0
Hispnaic,Female,Hispnaic,2003,71.6,2147.0
Hispanic,Female,Hispanic,2004,9.2,192.0
Hispanic,Female,Hispanic,2005,9.2,192.0
Hispanic,Female,Hispanic,2006,66.9,2266.0
Hispanic,Feamle,Hispanic,2007,55.5,1951.0
Hispanic,emale,Hispanic,2008,9.2,192.0
Hsipanic,Femawle,Hispanic,2009,9.2,192.0
Hisapnic,Female,Hispanic,2010,44.7,1655.0
Hispamnic,Female,Hispanic,2011,41.7,1560.0
"Asian, non-Hispanic",nFemale,"Asian, non-Hispanic",2001,25.5,192.0
"Asian, non-Hispanci",emale,"Asian, non-Hispanic",2002,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,25.2,198.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.2,192.0
"Asian, non-Hispanic",Fetmale,"Asian, non-Hispanic",2005,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,15.4,131.0
"Asian, non-Hispanic",Female,"Asiana, non-Hispanic",2007,16.2,141.0
"Asian, non-Hispanic",Female,"Asian, non-Hispagnic",2008,9.2,192.0
"Asian, non-Hspanic",Female,"Asian, non-Hispanic",2009,9.2,192.0
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,10.1,94.0
"Amsian, non-Hispanic",Female,"Asia,n non-Hispanic",2011,9.2,85.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,9.2,192.0
"Pacific Islandr, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,9.2,192.0
"Pacific Islander, non-Hisanic",Female,"Pacific Islander, non-Hispanic",2005,9.2,192.0
"Pacific Islander, non-Hispanic",Femaloe,"Pacific Islander, non-Hsipanic",2006,9.2,192.0
"Pacific Islander, nn-Hispanic",Female,"Pacfic Islander, non-Hispanic",2007,9.2,192.0
"Pacific Islander, non-Hispanic",Feale,"Pacific Islander, non-Hispanic",2008,9.2,192.0
"Paciifc Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.2,192.0
"Pacific Islander, non-Hispanic",Femavle,"Paciic Islander, non-Hispanic",2010,9.2,192.0
"Pacific Islander, non-Hispanic",Female,"Paciic Islander, non-Hispanic",2011,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hipanic",2001,197.9,363.0
"American Indian/Alaska Native, non-Hispanic",Femaule,"American Indian/Alaska Native, non-Hispanic",2002,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,185.5,351.0
"American Indian/Alaska Native, non-Hispanic",Fematle,"American Indian/Alaska Native, non-Hispanic",2004,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Fremale,"American Indian/Alaska Native, non-Hispanic",2005,9.2,192.0
"American nIdian/Alaska Native, non-Hispanic",Female,"American IndianA/laska Native, non-Hispanic",2006,229.2,436.0
"American Indian/Alaska Native, non-Hispanic",Feale,"American Indianr/Alaska Native, non-Hispanic",2007,187.6,353.0
"American IndianA/laska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,9.2,192.0
"American Idian/Alaska Native, non-Hispanic",wFemale,"American Indian/Alaska Native, non-Hispanic",2009,9.2,192.0
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,174.0,310.0
"American Indianp/Alaska Native, non-Hispanic",eFmale,"American Indian/Alaska Native, non-Hipsanic",2011,166.1,292.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.2,153.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,9.2,192.0
"Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2004,9.2,192.0
"Two or more races, non-ispanic",eFmale,"Two or more races, non-Hispanic",2005,9.2,192.0
"Two or more race, non-Hispanic",Femael,"Two or more races, non-Hispanic",2006,9.2,214.0
"Two or more races, non-Hisapnic",Female,"Two or more races, non-Hispanic",2007,9.2,235.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,9.2,192.0
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,9.2,192.0
"Two or more races, non-Hispanic",Female,"wTo or more races, non-Hispanic",2010,9.2,257.0
"Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hispanic",2011,9.2,246.0
