FID,OBJECTID,HMA_NAME,HMA_ID,ADMIN_ST,ADM_UNIT_C,ADMIN_AGCY,HERD_TYPE,GIS_ACRES,ROD_DT,BLM_ACRES,LUP_ID,last_edi_1,SHAPE_Length,SHAPE_Area
17,438,Clan Alpine,NV0310,NV,NVC01000,BLM,HORSE,304763.07136576,2001/05/09 00:00:00+00,304763.07136576,LUPA001614,2015/08/19 00:00:00+00,188967.993954281,1223066958.52458
18,439,Whistler Mountain,NV0608,NV,NVB01000,BLM,HORSE,43444.47287171,1986/02/26 00:00:00+00,43444.47287171,LUPA001610,2015/08/19 00:00:00+00,69338.1237447008,175008830.096046
19,440,Roberts Mountain,NV0607,NV,NVB01000,BLM,HORSE,100491.97563136,1986/02/26 00:00:00+00,100491.97563136,LUPA001610,2015/08/19 00:00:00+00,88056.6898264098,404640625.914865
20,441,Fish Creek,NV0612,NV,NVB01000,BLM,HORSE,253947.17959563,1986/02/26 00:00:00+00,253947.17959563,LUPA001610,2015/08/19 00:00:00+00,185198.206433176,1022930550.44183
21,442,Desatoya,NV0606,NV,NVB01000,BLM,HORSE,162962.38824317,1986/02/26 00:00:00+00,162962.38824317,LUPA001610,2015/08/19 00:00:00+00,163897.219840879,654289538.185313
22,443,South Stillwater,NV0309,NV,NVC01000,BLM,HORSE,9864.15256179,2001/05/09 00:00:00+00,9864.15256179,LUPA001614,2015/08/19 00:00:00+00,23279.6726060929,39549742.1311824
23,444,Hickison,NV0610,NV,NVB01000,BLM,BURRO,57634.26660125,1986/02/26 00:00:00+00,57634.26660125,LUPA001610,2015/08/19 00:00:00+00,99684.8134560045,231786318.418422
24,445,North Monitor,NV0611,NV,NVB01000,BLM,HORSE,11573.04614506,1986/02/26 00:00:00+00,11573.04614506,LUPA001610,2015/08/19 00:00:00+00,44928.93333695,46587822.3365836
25,446,Lahontan,NV0306,NV,NVC02000,BLM,HORSE,9686.61091796,2001/05/09 00:00:00+00,9686.61091796,LUPA001614,2015/08/19 00:00:00+00,32796.9481600344,38761121.3789743
26,447,Pine Nut Mountains,NV0305,NV,NVC02000,BLM,HORSE,105592.90235655,2001/05/09 00:00:00+00,105592.90235655,LUPA001614,2015/08/19 00:00:00+00,95026.7583743965,422152704.393744
27,448,Seven Mile,NV0613,NV,NVB00000,BLM,HORSE,98149.29936323,1986/02/26 00:00:00+00,98149.29936323,LUPA001610,2015/08/19 00:00:00+00,125216.254859511,395167322.39839
28,449,Horse Mountain,NV0308,NV,NVC01000,BLM,HORSE,50319.97453968,2001/05/09 00:00:00+00,50319.97453968,LUPA001614,2015/08/19 00:00:00+00,59913.5879709714,201450677.317088
29,450,Wassuk,NV0312,NV,NVC01000,BLM,HORSE,52309.92080083,2001/05/09 00:00:00+00,52309.92080083,LUPA001614,2015/08/19 00:00:00+00,100822.630969774,209397617.07304
30,451,Little Fish Lake,NV0614,NV,NVB01000,BLM,HORSE,28896.10189465,1986/02/26 00:00:00+00,28896.10189465,LUPA001610,2015/08/19 00:00:00+00,47749.0066525565,116308870.278409
31,452,Pilot Mountain,NV0314,NV,NVC01000,BLM,HORSE,481391.61792121,2001/05/09 00:00:00+00,481391.61792121,LUPA001614,2015/08/19 00:00:00+00,271384.940121507,1930897578.60774
32,454,Garfield Flat,NV0313,NV,NVC01000,BLM,HORSE,144118.41637182,2001/05/09 00:00:00+00,144118.41637182,LUPA001614,2015/08/19 00:00:00+00,111655.951473042,577555055.885545
33,455,Marietta,NV0316,NV,NVC01000,BLM,BURRO,66694.22463866,2001/05/09 00:00:00+00,66694.22463866,LUPA001614,2015/08/19 00:00:00+00,65696.6126994058,267273901.566799
34,456,Paymaster,NV0621,NV,NVB02000,BLM,HORSE,101392.06204437,1997/10/06 00:00:00+00,101392.06204437,LUPA001612,2015/08/13 00:00:00+00,80106.4532274041,407075913.167984
35,457,Fish Lake Valley,NV0622,NV,NVB02000,BLM,HORSE,67726.86675717,1997/10/06 00:00:00+00,67726.86675717,LUPA001612,2015/08/13 00:00:00+00,97659.3529389541,271485219.907784
36,458,Silver Peak,NV0623,NV,NVB02000,BLM,BURRO,244614.39239562,1997/10/06 00:00:00+00,244614.39239562,LUPA001612,2015/08/19 00:00:00+00,126706.327526679,981213425.130811
37,460,Montezuma Peak,NV0625,NV,NVB02000,BLM,BOTH,78478.8681712,1997/10/06 00:00:00+00,78478.8681712,LUPA001612,2015/08/19 00:00:00+00,75781.7212687815,315154998.958374
38,461,Palmetto,NV0624,NV,NVB02000,BLM,HORSE,119262.30942353,1997/10/06 00:00:00+00,119262.30942353,LUPA001612,2015/08/13 00:00:00+00,92865.1170605089,478634496.153614
39,463,Gold Mountain,NV0628,NV,NVB02000,BLM,BURRO,108464.99526961,1997/10/06 00:00:00+00,108464.99526961,LUPA001612,2015/08/19 00:00:00+00,81505.3728440938,435596813.699189
40,471,Montgomery Pass,NV0317,NV,NVC01000,BLM,HORSE,4674.56091731,2001/05/09 00:00:00+00,4674.56091731,LUPA001614,2015/08/19 00:00:00+00,20124.7770867931,18724812.6630525
41,472,Montgomery Pass,NV0317,NV,NVC01000,BLM,HORSE,7992.78556966,2001/05/09 00:00:00+00,7992.78556966,LUPA001614,2015/08/19 00:00:00+00,34006.1215960918,32007214.9738528
42,475,Saulsbury,NV0620,NV,NVB02000,BLM,HORSE,73795.64517565,1997/10/06 00:00:00+00,73795.64517565,LUPA001612,2015/08/13 00:00:00+00,92712.3795496522,296638676.231827
43,476,Montgomery Pass,NV0317,NV,NVC01000,BLM,HORSE,38615.54236618,2001/05/09 00:00:00+00,38615.54236618,LUPA001614,2015/08/19 00:00:00+00,49901.1403303795,154717552.058199
44,459,Goldfield,NV0626,NV,NVB02000,BLM,BURRO,62821.16587866,1997/10/06 00:00:00+00,62821.16587866,LUPA001612,2015/08/19 00:00:00+00,65106.9381047747,252392447.284994
45,473,Bullfrog,NV0629,NV,NVB02000,BLM,BURRO,158185.34849977,1998/10/05 00:00:00+00,158185.34849977,LUPA001613,2015/08/19 00:00:00+00,95143.5431862287,636089195.829051
46,482,Hot Creek,NV0616,NV,NVB02000,BLM,HORSE,54945.95988358,1997/10/06 00:00:00+00,54945.95988358,LUPA001612,2015/08/13 00:00:00+00,71540.4015206132,221151713.407194
47,483,Reveille,NV0619,NV,NVB02000,BLM,HORSE,106062.10845649,1997/10/06 00:00:00+00,106062.10845649,LUPA001612,2015/08/13 00:00:00+00,97373.673502716,426941511.320136
48,485,Saulsbury,NV0620,NV,NVB02000,BLM,HORSE,62182.72535266,1997/10/06 00:00:00+00,62182.72535266,LUPA001612,2015/08/13 00:00:00+00,75743.0199518774,250076408.976941
49,504,Ash Meadows,NV0509,NV,NVS03000,BLM,HORSE,115783.13040488,1998/10/05 00:00:00+00,115783.13040488,LUPA001613,2015/08/19 00:00:00+00,93523.1620647972,468559579.121036
50,505,Amargosa Valley,NV0511,NV,NVS03000,BLM,HORSE,8912.10920408,1998/10/05 00:00:00+00,8912.10920408,LUPA001613,2015/08/19 00:00:00+00,39287.9233739261,36066170.6342114
51,506,Gold Butte,NV0502,NV,NVS01000,BLM,BURRO,178989.79093003,1998/10/05 00:00:00+00,178989.79093003,LUPA001613,2015/08/13 00:00:00+00,116962.132621135,724348882.361863
52,510,Wheeler Pass,NV0507,NV,NVS01000,BLM,BOTH,275979.87370295,1998/10/05 00:00:00+00,275979.87370295,LUPA001613,2015/08/13 00:00:00+00,272140.58921585,1116855391.76506
53,511,Johnnie,NV0510,NV,NVS03000,BLM,BOTH,179800.3852312,1998/10/05 00:00:00+00,179800.3852312,LUPA001613,2015/08/19 00:00:00+00,211415.587695681,727629254.237009
54,513,Fort Sage,NV0320,NV,NVC02000,BLM,HORSE,1975.32913773,9999/09/09 00:00:00+00,1975.32913773,LUPA001614,2017/05/23 00:00:00+00,11626.7615711561,7993873.30191402
55,403,McGee Mountain,NV0210,NV,NVW01000,BLM,BURRO,41524.77562256,2015/05/21 00:00:00+00,41524.77562256,LUPA001620,2016/09/02 00:00:00+00,49261.5343433698,137836819.864664
56,408,Jackson Mountains,NV0208,NV,NVW03000,BLM,HORSE,286430.1346078,2015/05/21 00:00:00+00,286430.1346078,LUPA001620,2016/09/02 00:00:00+00,179033.92965508,1072315143.57902
57,413,Kamma Mountains,NV0214,NV,NVW03000,BLM,HORSE,57955.02333452,2015/05/21 00:00:00+00,57955.02333452,LUPA001620,2016/09/02 00:00:00+00,69678.6586883455,184174353.496457
58,420,Seven Troughs,NV0216,NV,NVW01000,BLM,BOTH,150396.71102354,2015/05/21 00:00:00+00,150396.71102354,LUPA001620,2016/09/02 00:00:00+00,123400.272920264,470574591.140053
59,414,Buffalo Hills,NV0220,NV,NVW03000,BLM,HORSE,133437.4778096,2015/05/21 00:00:00+00,133437.4778096,LUPA001620,2016/09/02 00:00:00+00,120641.726754106,508158063.588794
60,415,Lava Beds,NV0215,NV,NVW01000,BLM,BOTH,235480.97795034,2015/05/21 00:00:00+00,235480.97795034,LUPA001620,2016/09/02 00:00:00+00,206588.937672028,866181821.481837
61,419,Fox-Lake Range,NV0228,NV,NVW03000,BLM,HORSE,179803.44206517,2015/05/21 00:00:00+00,179803.44206517,LUPA001620,2016/09/02 00:00:00+00,176070.232774084,712068879.631733
62,405,Black Rock Range,NV0234,NV,NVW03000,BLM,HORSE,183525.02937381,2015/05/21 00:00:00+00,183524.300439,LUPA001620,2017/04/17 00:00:00+00,156500.482727632,742699443.566002
63,424,Shawave Mountains II,NV0235,NV,NVW01000,BLM,HORSE,139551.63668284,2015/05/21 00:00:00+00,139551.082404,LUPA001620,2017/04/17 00:00:00+00,144688.207197846,564745437.1664
64,402,Owyhee,NV0101,NV,NVE02000,BLM,HORSE,339104.72852685,2003/01/01 00:00:00+00,340968.67221308,LUPA001611,2018/02/28 00:00:00+00,186453.426941689,1372308148.54719
65,401,Little Owyhee,NV0200,NV,NVW01000,UNK,UNK,463133.42067372,2015/05/21 00:00:00+00,463133.42067372,LUPA001620,2017/04/04 00:00:00+00,209775.507732446,1854455320.03363
66,409,Snowstorm Mountains,NV0201,NV,NVW01000,BLM,HORSE,141089.5785703,2015/05/21 00:00:00+00,117835.04938247,LUPA001620,2017/04/04 00:00:00+00,116280.0033424,570969266.985089
67,411,Calico Mountains,NV0222,NV,NVW03000,BLM,HORSE,162605.06410827,2015/05/21 00:00:00+00,162605.06410827,LUPA001620,2017/04/04 00:00:00+00,150720.671926324,654819002.747223
68,404,Warm Springs Canyon,NV0226,NV,NVW03000,BLM,BOTH,92695.05208763,2015/05/21 00:00:00+00,92695.05208763,LUPA001620,2017/04/04 00:00:00+00,100903.442699936,356467386.866958
69,432,Diamond,NV0609,NV,NVB01000,BLM,HORSE,166305.43397353,1986/02/26 00:00:00+00,166305.43397353,LUPA001610,2017/04/04 00:00:00+00,160821.534704799,670295741.216844
70,453,Sand Springs West,NV0630,NV,NVB02000,BLM,HORSE,152927.22519513,1997/10/06 00:00:00+00,152927.22519513,LUPA001612,2017/04/04 00:00:00+00,125453.393176506,616218233.310419
71,481,Stone Cabin,NV0618,NV,NVB02000,BLM,HORSE,410006.84252648,1997/10/06 00:00:00+00,410006.84252648,LUPA001612,2017/04/04 00:00:00+00,247951.335266297,1649360263.02821
72,417,Spruce-Pequop,NV0109,NV,NVE03000,BLM,HORSE,180558.37777903,1985/07/16 00:00:00+00,241119.48149322,LUPA001609,2018/02/28 00:00:00+00,153911.838151319,730693830.803167
73,416,Goshute,NV0108,NV,NVE03000,BLM,HORSE,169271.92370231,1985/07/16 00:00:00+00,267445.39285805,LUPA001609,2018/02/28 00:00:00+00,122235.807736452,685019171.637034
74,422,Maverick-Medicine,NV0105,NV,NVE03000,BLM,HORSE,309069.95205452,1985/07/16 00:00:00+00,324316.94066995,LUPA001609,2018/02/28 00:00:00+00,172706.561763988,1250761720.78369
75,512,Nevada Wild Horse Range,NV0524,NV,NVS03000,BLM,HORSE,1299285.43933679,2004/07/01 00:00:00+00,1299285.43933679,LUPA001616,2018/02/15 00:00:00+00,342784.170203131,5258871718.05069
76,462,Stonewall,NV0627,NV,NVB02000,BLM,BURRO,24059.41159765,1997/10/06 00:00:00+00,24059.41159765,LUPA001612,2018/02/15 00:00:00+00,51004.226335465,96602074.8839289
77,421,Antelope Valley,NV0107,NV,NVE03000,BLM,HORSE,509298.077105,1985/07/16 00:00:00+00,505107.68417406,LUPA001609,2018/02/28 00:00:00+00,220995.864634942,2061056192.27411
78,491,Silver King,NV0416,NV,NVL03000,BLM,HORSE,576458.02238092,2008/08/20 00:00:00+00,576458.02238092,LUPA001619,2019/11/08 00:00:00+00,447583.036166251,2328813702.31827
79,486,Antelope,NV0401,NV,NVL06000,BLM,HORSE,327746.85239461,2008/08/20 00:00:00+00,327746.85239461,LUPA001619,2019/11/08 00:00:00+00,282947.354602851,1325125509.02503
80,487,Pancake,NV0415,NV,NVL06000,BLM,HORSE,853025.27649726,2008/08/20 00:00:00+00,853025.27649726,LUPA001619,2019/11/08 00:00:00+00,478398.934912001,3438277921.19333
81,488,Diamond Hills South,NV0412,NV,NVL06000,BLM,HORSE,19345.40184595,2008/08/20 00:00:00+00,19345.40184595,LUPA001619,2019/11/08 00:00:00+00,56257.2039982739,77986886.4544023
82,490,Eagle,NV0414,NV,NVL03000,BLM,HORSE,660699.64436319,2008/08/20 00:00:00+00,660699.64436319,LUPA001619,2019/11/08 00:00:00+00,757232.846230016,2671982393.26646
83,508,Red Rock,NV0504,NV,NVS01000,BLM,BOTH,161127.40088817,2005/05/20 00:00:00+00,161127.40088817,LUPA001617,2019/11/08 00:00:00+00,184138.849363674,652062065.35459
84,489,Triple B,NV0417,NV,NVL06000,BLM,HORSE,1235921.5880484,2008/08/20 00:00:00+00,1235921.5880484,LUPA001619,2019/11/08 00:00:00+00,714800.354994687,4987571587.11384
