248.prscrbr_geo_desc,California:Sierra,Alaska:Hoonah-Angoon
398.prscrbr_geo_desc,West Virginia,California:Santa Clara
283.breakout,Urban,Overall
209.breakout,Urban,Overall
546.prscrbr_geo_desc,National,Florida:Santa Rosa
149.breakout,Overall,Urban
160.breakout,Overall,Urban
48.breakout,Urban,Overall
163.prscrbr_geo_lvl,tate,State
310.breakout,Rural,Overall
185.breakout,Rural,Overall
432.breakout,Rural,Overall
651.breakout,Rural,Overall
311.prscrbr_geo_desc,West Virginia,Arkansas:Hot Spring
318.prscrbr_geo_desc,New Mexico,Arkansas:Lafayette
237.breakout,Rural,Overall
369.breakout,Rural,Overall
558.breakout,Urban,Overall
589.breakout,Urban,Overall
631.breakout,Urban,Overall
593.prscrbr_geo_desc,Florida:Baker,Georgia:Cook
551.prscrbr_geo_desc,Arkansas,Florida:Taylor
3.prscrbr_geo_lvl,Natioanl,National
248.breakout,Urban,Overall
32.prscrbr_geo_desc,National,Nevada
97.prscrbr_geo_lvl,Satte,State
662.breakout,Urban,Overall
114.breakout,Overall,Rural
453.prscrbr_geo_desc,Florida,Colorado:Mesa
142.prscrbr_geo_desc,Colorado,Montana
437.prscrbr_geo_desc,Alaska,Colorado:Garfield
661.prscrbr_geo_desc,Arkansas,Georgia:Muscogee
520.prscrbr_geo_desc,Mississippi,Florida:Jefferson
235.breakout,Rural,Overall
454.prscrbr_geo_desc,Hawaii,Colorado:Mineral
618.breakout,Rural,Overall
258.prscrbr_geo_desc,Florida,Alaska:Northwest Arctic
190.prscrbr_geo_desc,Hawaii,Alabama:Coosa
392.breakout,Rural,Overall
72.prscrbr_geo_desc,Georgia,Idaho
587.prscrbr_geo_desc,Kansas,Georgia:Clayton
504.prscrbr_geo_desc,Kansas,Florida:Escambia
531.breakout,Rural,Overall
303.prscrbr_geo_desc,Alabama,Arkansas:Drew
664.breakout,Urban,Overall
658.prscrbr_geo_desc,Connecticut,Georgia:Montgomery
136.breakout,Overall,Urban
458.breakout,Rural,Overall
556.breakout,Urban,Overall
27.prscrbr_geo_desc,Florida,Minnesota
180.breakout,Urban,Overall
80.prscrbr_geo_desc,Alaska,Maryland
469.breakout,Urban,Overall
455.breakout,Urban,Overall
125.prscrbr_geo_desc,Alaska,Florida
493.breakout,Rural,Overall
61.prscrbr_geo_desc,Delaware,Alaska
252.prscrbr_geo_desc,Alabama,Alaska:Kodiak Island
502.prscrbr_geo_desc,Florida,Florida:Dixie
441.breakout,Urban,Overall
417.breakout,Rural,Overall
39.prscrbr_geo_desc,Alaska,Ohio
203.breakout,Urban,Overall
584.breakout,Rural,Overall
657.breakout,Rural,Overall
406.breakout,Urban,Overall
603.prscrbr_geo_desc,Florida,Georgia:Dougherty
87.prscrbr_geo_desc,Connecticut,Nebraska
449.prscrbr_geo_desc,National,Colorado:Larimer
393.prscrbr_geo_desc,Delaware,California:San Francisco
297.breakout,Urban,Overall
224.prscrbr_geo_desc,Pennsylvania,Alabama:Perry
193.prscrbr_geo_desc,Mississippi,Alabama:Cullman
68.breakout,Overall,Rural
617.prscrbr_geo_desc,Alabama,Georgia:Glascock
43.prscrbr_geo_desc,New York,Rhode Island
95.prscrbr_geo_desc,California,Ohio
666.breakout,Urban,Overall
491.breakout,Rural,Overall
77.breakout,Overall,Rural
645.breakout,Urban,Overall
564.breakout,Rural,Overall
426.breakout,Urban,Overall
268.prscrbr_geo_desc,National,Arizona:Cochise
288.prscrbr_geo_desc,Hawaii,Arkansas:Calhoun
130.prscrbr_geo_desc,Alaska,Indiana
443.breakout,Urban,Overall
224.breakout,Urban,Overall
289.prscrbr_geo_desc,Washington,Arkansas:Carroll
84.breakout,Overall,Rural
127.breakout,Overall,Urban
388.prscrbr_geo_desc,Oregon,California:Riverside
636.breakout,Rural,Overall
368.prscrbr_geo_desc,Delaware,California:Imperial
549.breakout,Rural,Overall
362.prscrbr_geo_desc,Florida,California:Contra Costa
499.prscrbr_geo_desc,Virginia,Florida:Collier
465.breakout,Urban,Overall
232.prscrbr_geo_desc,District of Columbia,Alabama:Talladega
406.prscrbr_geo_desc,Iowa,California:Sutter
195.breakout,Rural,Overall
168.breakout,Overall,Urban
131.breakout,Overall,Urban
573.prscrbr_geo_desc,Montana,Georgia:Burke
254.breakout,Rural,Overall
242.breakout,Urban,Overall
268.breakout,Rural,Overall
143.breakout,Overall,Urban
71.prscrbr_geo_lvl,Staet,State
529.breakout,Rural,Overall
616.breakout,Rural,Overall
420.breakout,Rural,Overall
350.breakout,Urban,Overall
190.breakout,Urban,Overall
93.prscrbr_geo_desc,Indiana,North Carolina
101.prscrbr_geo_desc,California,South Dakota
416.prscrbr_geo_desc,Kansas,Colorado:Arapahoe
508.breakout,Rural,Overall
375.prscrbr_geo_desc,Connecticut,California:Madera
552.breakout,Urban,Overall
361.breakout,Rural,Overall
136.prscrbr_geo_desc,Idaho,Maryland
660.breakout,Urban,Overall
550.prscrbr_geo_desc,National,Florida:Suwannee
164.prscrbr_geo_desc,Connecticut,West Virginia
507.prscrbr_geo_desc,District of Columbia,Florida:Gadsden
570.breakout,Rural,Overall
216.prscrbr_geo_desc,Delaware,Alabama:Madison
396.breakout,Rural,Overall
351.prscrbr_geo_desc,Alabama,Arkansas:Union
622.prscrbr_geo_desc,Arkansas,Georgia:Gwinnett
661.breakout,Rural,Overall
604.breakout,Urban,Overall
503.breakout,Urban,Overall
256.breakout,Urban,Overall
124.breakout,Overall,Urban
487.breakout,Rural,Overall
264.prscrbr_geo_desc,National,Alaska:Wrangell
386.breakout,Rural,Overall
329.breakout,Urban,Overall
389.prscrbr_geo_desc,Florida,California:Sacramento
65.breakout,Overall,Rural
492.prscrbr_geo_desc,Missouri,Florida:Bradford
402.breakout,Urban,Overall
471.prscrbr_geo_desc,Idaho,Colorado:Sedgwick
656.prscrbr_geo_desc,Alaska:Southeast Fairbanks,Georgia:Mitchell
520.breakout,Urban,Overall
335.prscrbr_geo_desc,District of Columbia,Arkansas:Phillips
308.breakout,Urban,Overall
207.breakout,Urban,Overall
91.breakout,Overall,Rural
537.prscrbr_geo_desc,Delaware,Florida:Orange
513.breakout,Urban,Overall
150.breakout,Overall,Urban
339.breakout,Urban,Overall
240.prscrbr_geo_desc,Alabama:Randolph,Alaska:Aleutians West
88.prscrbr_geo_desc,National,Nevada
2.prscrbr_geo_lvl,Nationla,National
245.prscrbr_geo_desc,National,Alaska:Dillingham
237.prscrbr_geo_desc,Missouri,Alabama:Wilcox
144.prscrbr_geo_desc,Kansas,Nevada
311.breakout,Urban,Overall
165.breakout,Overall,Urban
394.prscrbr_geo_desc,Kansas,California:San Joaquin
366.prscrbr_geo_desc,Colorado,California:Glenn
612.breakout,Rural,Overall
554.prscrbr_geo_desc,Colorado,Florida:Wakulla
279.prscrbr_geo_desc,Connecticut,Arizona:Santa Cruz
246.prscrbr_geo_desc,Georgia,Alaska:Fairbanks North Star
278.breakout,Rural,Overall
542.prscrbr_geo_desc,Oregon,Florida:Polk
264.breakout,Rural,Overall
177.breakout,Rural,Overall
568.prscrbr_geo_desc,District of Columbia,Georgia:Bleckley
626.breakout,Rural,Overall
379.breakout,Rural,Overall
330.prscrbr_geo_desc,National,Arkansas:Montgomery
450.prscrbr_geo_desc,New Mexico,Colorado:Las Animas
252.breakout,Urban,Overall
112.prscrbr_geo_desc,National,Guam
320.prscrbr_geo_desc,Iowa,Arkansas:Lee
466.breakout,Rural,Overall
191.breakout,Rural,Overall
332.prscrbr_geo_desc,Tennessee,Arkansas:Newton
380.prscrbr_geo_desc,California,California:Modoc
313.prscrbr_geo_desc,Tennessee,Arkansas:Independence
534.prscrbr_geo_desc,Idaho,Florida:Nassau
8.breakout,Urban,Overall
321.prscrbr_geo_desc,Kansas,Arkansas:Lincoln
559.prscrbr_geo_desc,Oregon,Georgia:Bacon
635.breakout,Urban,Overall
287.breakout,Urban,Overall
374.breakout,Urban,Overall
331.prscrbr_geo_desc,Delaware,Arkansas:Nevada
595.prscrbr_geo_desc,Wyoming,Georgia:Crawford
475.breakout,Urban,Overall
271.prscrbr_geo_desc,Hawaii,Arizona:Graham
395.breakout,Urban,Overall
38.breakout,Urban,Overall
583.breakout,Urban,Overall
349.prscrbr_geo_desc,Delaware,Arkansas:Sharp
670.breakout,Urban,Overall
623.prscrbr_geo_desc,National,Georgia:Habersham
539.breakout,Rural,Overall
250.breakout,Rural,Overall
208.breakout,Rural,Overall
561.prscrbr_geo_desc,Alaska,Georgia:Baldwin
215.breakout,Rural,Overall
102.breakout,Overall,Rural
316.breakout,Rural,Overall
294.prscrbr_geo_desc,California,Arkansas:Cleveland
137.breakout,Overall,Urban
643.prscrbr_geo_desc,Colorado,Georgia:Lee
462.prscrbr_geo_desc,Virgin Islands,Colorado:Phillips
205.breakout,Rural,Overall
533.prscrbr_geo_desc,West Virginia,Florida:Monroe
56.prscrbr_geo_desc,New Mexico,Guam
112.breakout,Overall,Rural
64.prscrbr_geo_lvl,Sttae,State
94.prscrbr_geo_desc,National,North Dakota
489.prscrbr_geo_desc,Montana,Florida:Alachua
138.prscrbr_geo_desc,Delaware,Michigan
241.prscrbr_geo_desc,National,Alaska:Anchorage
341.breakout,Urban,Overall
207.prscrbr_geo_desc,Washington,Alabama:Jackson
586.prscrbr_geo_desc,Alaska,Georgia:Clay
206.breakout,Rural,Overall
669.prscrbr_geo_desc,California:El Dorado,Georgia:Pike
433.breakout,Urban,Overall
565.breakout,Urban,Overall
491.prscrbr_geo_desc,New Mexico,Florida:Bay
463.breakout,Rural,Overall
595.breakout,Rural,Overall
600.breakout,Urban,Overall
554.breakout,Rural,Overall
192.prscrbr_geo_desc,National,Alabama:Crenshaw
169.breakout,Overall,Urban
139.prscrbr_geo_desc,Nebraska,Minnesota
33.prscrbr_geo_desc,National,New Hampshire
107.prscrbr_geo_desc,Hawaii,Washington
373.breakout,Rural,Overall
67.prscrbr_geo_desc,New Jersey,Delaware
220.prscrbr_geo_desc,Montana,Alabama:Mobile
354.prscrbr_geo_desc,District of Columbia,Arkansas:White
210.breakout,Urban,Overall
236.prscrbr_geo_desc,National,Alabama:Washington
591.breakout,Rural,Overall
567.prscrbr_geo_desc,Washington,Georgia:Bibb
429.breakout,Rural,Overall
653.breakout,Urban,Overall
648.prscrbr_geo_desc,Arizona,Georgia:Lumpkin
219.prscrbr_geo_desc,National,Alabama:Marshall
240.breakout,Rural,Overall
423.prscrbr_geo_desc,Pennsylvania,Colorado:Cheyenne
619.prscrbr_geo_desc,Georgia,Georgia:Gordon
653.prscrbr_geo_desc,Florida,Georgia:Marion
99.breakout,Overall,Rural
332.breakout,Rural,Overall
494.prscrbr_geo_desc,California,Florida:Broward
238.prscrbr_geo_desc,Colorado,Alabama:Winston
105.breakout,Overall,Rural
437.breakout,Urban,Overall
630.breakout,Rural,Overall
216.breakout,Urban,Overall
276.prscrbr_geo_desc,Colorado,Arizona:Navajo
473.breakout,Urban,Overall
430.breakout,Urban,Overall
388.breakout,Rural,Overall
597.breakout,Rural,Overall
590.breakout,Rural,Overall
438.breakout,Urban,Overall
650.prscrbr_geo_desc,Alaska:Southeast Fairbanks,Georgia:McIntosh
74.breakout,Overall,Rural
333.breakout,Rural,Overall
105.prscrbr_geo_desc,Colorado,Vermont
375.breakout,Rural,Overall
472.breakout,Urban,Overall
391.prscrbr_geo_desc,Colorado,California:San Bernardino
49.prscrbr_geo_desc,New York,Vermont
144.breakout,Overall,Urban
516.prscrbr_geo_desc,Arkansas,Florida:Hillsborough
229.breakout,Urban,Overall
21.breakout,Urban,Overall
641.breakout,Urban,Overall
439.breakout,Urban,Overall
347.breakout,Urban,Overall
461.prscrbr_geo_desc,Tennessee,Colorado:Park
528.prscrbr_geo_desc,Indiana,Florida:Manatee
200.breakout,Rural,Overall
365.prscrbr_geo_desc,National,California:Fresno
151.breakout,Overall,Urban
325.prscrbr_geo_desc,California,Arkansas:Madison
302.prscrbr_geo_desc,Hawaii,Arkansas:Desha
521.prscrbr_geo_desc,Nebraska,Florida:Lafayette
545.prscrbr_geo_desc,Colorado,Florida:St. Lucie
81.breakout,Overall,Rural
166.breakout,Overall,Urban
117.prscrbr_geo_desc,Montana,Alaska
195.prscrbr_geo_desc,Missouri,Alabama:Dallas
47.prscrbr_geo_desc,National,Texas
526.prscrbr_geo_desc,National,Florida:Liberty
644.breakout,Rural,Overall
505.breakout,Rural,Overall
540.breakout,Rural,Overall
477.breakout,Rural,Overall
296.breakout,Rural,Overall
134.breakout,Overall,Urban
96.breakout,Overall,Rural
641.prscrbr_geo_desc,National,Georgia:Lanier
387.breakout,Rural,Overall
377.prscrbr_geo_desc,Connecticut,California:Mariposa
488.breakout,Urban,Overall
356.breakout,Urban,Overall
578.prscrbr_geo_desc,California:Orange,Georgia:Carroll
652.prscrbr_geo_desc,Kansas,Georgia:Madison
192.breakout,Rural,Overall
23.prscrbr_geo_desc,Alabama,Maine
26.prscrbr_geo_desc,Connecticut,Michigan
514.breakout,Urban,Overall
66.prscrbr_geo_desc,Alabama,Connecticut
382.breakout,Urban,Overall
657.prscrbr_geo_desc,Arkansas,Georgia:Monroe
557.prscrbr_geo_desc,Mississippi,Georgia:Appling
378.prscrbr_geo_desc,Nebraska,California:Mendocino
307.breakout,Urban,Overall
147.breakout,Overall,Urban
430.prscrbr_geo_desc,Idaho,Colorado:Denver
234.prscrbr_geo_desc,Delaware,Alabama:Tuscaloosa
609.prscrbr_geo_desc,Alabama,Georgia:Evans
90.prscrbr_geo_desc,Delaware,New Jersey
423.breakout,Rural,Overall
76.prscrbr_geo_desc,Georgia,Kansas
260.prscrbr_geo_desc,Kansas,Alaska:Prince of Wales-Hyder
577.prscrbr_geo_desc,National,Georgia:Candler
427.prscrbr_geo_desc,Connecticut,Colorado:Crowley
100.prscrbr_geo_desc,National,South Carolina
336.prscrbr_geo_desc,Tennessee,Arkansas:Pike
255.prscrbr_geo_desc,Montana,Alaska:Matanuska-Susitna
577.breakout,Urban,Overall
56.breakout,Rural,Overall
467.prscrbr_geo_desc,Kansas,Colorado:Rio Grande
389.breakout,Urban,Overall
479.breakout,Rural,Overall
173.breakout,Urban,Overall
257.prscrbr_geo_desc,Wyoming,Alaska:North Slope
291.breakout,Rural,Overall
515.prscrbr_geo_desc,District of Columbia,Florida:Highlands
564.prscrbr_geo_desc,Hawaii,Georgia:Bartow
327.prscrbr_geo_desc,Alabama,Arkansas:Miller
663.prscrbr_geo_desc,Connecticut,Georgia:Oconee
283.prscrbr_geo_desc,National,Arkansas:Ashley
466.prscrbr_geo_desc,Florida,Colorado:Rio Blanco
325.breakout,Rural,Overall
187.breakout,Urban,Overall
279.breakout,Urban,Overall
214.breakout,Rural,Overall
134.prscrbr_geo_desc,Connecticut,Louisiana
251.prscrbr_geo_desc,National,Alaska:Ketchikan Gateway
270.breakout,Rural,Overall
536.breakout,Urban,Overall
290.breakout,Rural,Overall
381.breakout,Rural,Overall
179.breakout,Rural,Overall
24.prscrbr_geo_desc,National,Maryland
539.prscrbr_geo_desc,National,Florida:Palm Beach
168.prscrbr_geo_desc,Nebraska,Guam
415.prscrbr_geo_desc,Arkansas:Howard,Colorado:Alamosa
223.breakout,Urban,Overall
425.prscrbr_geo_desc,Connecticut,Colorado:Conejos
178.breakout,Rural,Overall
448.prscrbr_geo_desc,Illinois,Colorado:La Plata
21.prscrbr_geo_desc,Connecticut,Kentucky
549.prscrbr_geo_desc,District of Columbia,Florida:Sumter
188.breakout,Urban,Overall
51.breakout,Urban,Overall
345.breakout,Rural,Overall
196.prscrbr_geo_desc,National,Alabama:DeKalb
638.breakout,Rural,Overall
447.prscrbr_geo_desc,Connecticut,Colorado:Lake
234.breakout,Rural,Overall
590.prscrbr_geo_desc,New Mexico,Georgia:Coffee
65.prscrbr_geo_desc,Missouri,Colorado
199.breakout,Rural,Overall
667.prscrbr_geo_desc,New Mexico,Georgia:Pickens
273.prscrbr_geo_desc,Alabama,Arizona:La Paz
592.breakout,Urban,Overall
360.breakout,Rural,Overall
243.breakout,Urban,Overall
541.prscrbr_geo_desc,New York,Florida:Pinellas
558.prscrbr_geo_desc,National,Georgia:Atkinson
582.breakout,Rural,Overall
346.breakout,Rural,Overall
118.breakout,Overall,Urban
170.breakout,Overall,Urban
156.breakout,Overall,Urban
201.breakout,Urban,Overall
495.prscrbr_geo_desc,California:El Dorado,Florida:Calhoun
242.prscrbr_geo_desc,New Mexico,Alaska:Bethel
215.prscrbr_geo_desc,Kansas,Alabama:Macon
459.prscrbr_geo_desc,Connecticut,Colorado:Otero
22.prscrbr_geo_desc,Georgia,Louisiana
548.breakout,Rural,Overall
122.breakout,Overall,Urban
343.prscrbr_geo_desc,National,Arkansas:St. Francis
575.prscrbr_geo_desc,Virgin Islands,Georgia:Calhoun
86.breakout,Overall,Rural
118.prscrbr_geo_lvl,tate,State
569.breakout,Rural,Overall
143.prscrbr_geo_desc,Florida,Nebraska
150.prscrbr_geo_desc,Virgin Islands,North Dakota
202.breakout,Urban,Overall
509.prscrbr_geo_desc,Alabama:Russell,Florida:Glades
673.prscrbr_geo_desc,Wyoming,Georgia:Quitman
480.prscrbr_geo_desc,Kentucky,Connecticut:Middlesex
50.prscrbr_geo_desc,Montana,Virginia
547.prscrbr_geo_desc,West Virginia,Florida:Sarasota
458.prscrbr_geo_desc,New Jersey,Colorado:Morgan
218.prscrbr_geo_desc,California,Alabama:Marion
424.breakout,Urban,Overall
403.breakout,Urban,Overall
373.prscrbr_geo_desc,Florida,California:Lassen
444.prscrbr_geo_desc,Wyoming,Colorado:Jefferson
410.breakout,Urban,Overall
100.breakout,Overall,Rural
132.prscrbr_geo_desc,Arizona,Kansas
647.prscrbr_geo_desc,Hawaii,Georgia:Lowndes
42.prscrbr_geo_desc,Nebraska,Pennsylvania
578.breakout,Urban,Overall
359.prscrbr_geo_desc,District of Columbia,California:Butte
563.prscrbr_geo_desc,Alaska,Georgia:Barrow
276.breakout,Rural,Overall
355.prscrbr_geo_desc,Iowa,Arkansas:Woodruff
652.breakout,Rural,Overall
292.breakout,Urban,Overall
478.breakout,Rural,Overall
356.prscrbr_geo_desc,Kansas,Arkansas:Yell
189.prscrbr_geo_desc,Georgia,Alabama:Conecuh
181.breakout,Urban,Overall
274.prscrbr_geo_desc,National,Arizona:Maricopa
89.breakout,Overall,Rural
147.prscrbr_geo_desc,West Virginia,New Mexico
348.breakout,Urban,Overall
522.breakout,Urban,Overall
541.breakout,Rural,Overall
41.breakout,Rural,Overall
141.breakout,Overall,Urban
79.prscrbr_geo_desc,Florida,Maine
38.prscrbr_geo_desc,Idaho,North Dakota
494.breakout,Urban,Overall
253.prscrbr_geo_desc,Indiana,Alaska:Kusilvak
170.prscrbr_geo_desc,Delaware,Puerto Rico
401.breakout,Rural,Overall
487.prscrbr_geo_desc,Arkansas:Chicot,Delaware:Sussex
548.prscrbr_geo_desc,Virgin Islands,Florida:Seminole
183.prscrbr_geo_desc,Georgia,Alabama:Choctaw
227.breakout,Rural,Overall
220.breakout,Rural,Overall
115.breakout,Overall,Rural
113.prscrbr_geo_desc,National,Northern Mariana Islands
508.prscrbr_geo_desc,California,Florida:Gilchrist
565.prscrbr_geo_desc,Florida,Georgia:Ben Hill
420.prscrbr_geo_desc,Georgia,Colorado:Boulder
344.prscrbr_geo_desc,Colorado,Arkansas:Saline
603.breakout,Rural,Overall
585.breakout,Urban,Overall
434.prscrbr_geo_desc,National,Colorado:Elbert
339.prscrbr_geo_desc,Colorado,Arkansas:Pope
457.breakout,Rural,Overall
71.breakout,Overall,Rural
269.breakout,Rural,Overall
471.breakout,Rural,Overall
493.prscrbr_geo_desc,Hawaii,Florida:Brevard
309.prscrbr_geo_desc,Alabama:Houston,Arkansas:Greene
456.prscrbr_geo_desc,Arkansas,Colorado:Montezuma
659.breakout,Rural,Overall
338.prscrbr_geo_desc,California,Arkansas:Polk
464.prscrbr_geo_desc,Georgia,Colorado:Prowers
543.breakout,Urban,Overall
485.breakout,Rural,Overall
631.prscrbr_geo_desc,Montana,Georgia:Houston
55.prscrbr_geo_desc,Connecticut,American Samoa
209.prscrbr_geo_desc,National,Alabama:Lamar
499.breakout,Rural,Overall
440.prscrbr_geo_desc,Delaware,Colorado:Gunnison
161.prscrbr_geo_desc,Connecticut,Vermont
608.prscrbr_geo_desc,Pennsylvania,Georgia:Emanuel
275.prscrbr_geo_desc,Oregon,Arizona:Mohave
327.breakout,Urban,Overall
159.breakout,Overall,Urban
485.prscrbr_geo_desc,National,Delaware:Kent
560.prscrbr_geo_desc,Colorado,Georgia:Baker
531.prscrbr_geo_desc,California,Florida:Miami Dade
149.prscrbr_geo_desc,California:Orange,North Carolina
83.prscrbr_geo_desc,Hawaii,Minnesota
93.breakout,Overall,Rural
306.breakout,Urban,Overall
501.breakout,Urban,Overall
503.prscrbr_geo_desc,Alaska,Florida:Duval
89.prscrbr_geo_desc,National,New Hampshire
301.prscrbr_geo_desc,National,Arkansas:Dallas
463.prscrbr_geo_desc,Delaware,Colorado:Pitkin
235.prscrbr_geo_desc,Georgia,Alabama:Walker
374.prscrbr_geo_desc,Arkansas,California:Los Angeles
156.prscrbr_geo_desc,Connecticut,South Carolina
281.prscrbr_geo_desc,Florida,Arizona:Yuma
324.prscrbr_geo_desc,National,Arkansas:Lonoke
37.prscrbr_geo_desc,Arkansas,North Carolina
67.breakout,Overall,Rural
295.prscrbr_geo_desc,Alabama:Houston,Arkansas:Columbia
476.prscrbr_geo_desc,Virgin Islands,Colorado:Yuma
116.prscrbr_geo_desc,Indiana,Alabama
415.breakout,Urban,Overall
391.breakout,Rural,Overall
43.breakout,Urban,Overall
575.breakout,Rural,Overall
288.breakout,Urban,Overall
545.breakout,Urban,Overall
483.prscrbr_geo_desc,Connecticut,Connecticut:Tolland
408.breakout,Rural,Overall
361.prscrbr_geo_desc,Alabama:Randolph,California:Colusa
445.breakout,Rural,Overall
200.prscrbr_geo_desc,Florida,Alabama:Fayette
569.prscrbr_geo_desc,California:Sierra,Georgia:Brantley
452.breakout,Urban,Overall
226.prscrbr_geo_desc,Montana,Alabama:Pike
482.breakout,Rural,Overall
363.prscrbr_geo_desc,Alabama,California:Del Norte
675.breakout,Urban,Overall
324.breakout,Urban,Overall
284.prscrbr_geo_desc,Florida,Arkansas:Baxter
605.prscrbr_geo_desc,Montana,Georgia:Early
315.breakout,Rural,Overall
103.breakout,Overall,Rural
85.prscrbr_geo_desc,Nebraska,Missouri
169.prscrbr_geo_desc,Alaska,Northern Mariana Islands
128.breakout,Overall,Urban
673.breakout,Urban,Overall
454.breakout,Urban,Overall
484.breakout,Rural,Overall
322.breakout,Urban,Overall
352.breakout,Rural,Overall
668.breakout,Rural,Overall
506.breakout,Urban,Overall
376.prscrbr_geo_desc,Florida,California:Marin
319.prscrbr_geo_desc,Delaware,Arkansas:Lawrence
166.prscrbr_geo_desc,California,Wyoming
392.prscrbr_geo_desc,Colorado,California:San Diego
76.breakout,Overall,Rural
455.prscrbr_geo_desc,Hawaii,Colorado:Moffat
69.breakout,Overall,Rural
547.breakout,Urban,Overall
630.prscrbr_geo_desc,Mississippi,Georgia:Henry
222.prscrbr_geo_desc,Missouri,Alabama:Montgomery
556.prscrbr_geo_desc,Connecticut,Florida:Washington
300.prscrbr_geo_desc,California:El Dorado,Arkansas:Cross
672.prscrbr_geo_desc,Wyoming,Georgia:Putnam
172.breakout,Rural,Overall
620.breakout,Urban,Overall
363.breakout,Urban,Overall
450.breakout,Urban,Overall
313.breakout,Rural,Overall
534.breakout,Rural,Overall
261.prscrbr_geo_desc,Arkansas,Alaska:Sitka
319.breakout,Rural,Overall
447.breakout,Rural,Overall
188.prscrbr_geo_desc,National,Alabama:Colbert
154.prscrbr_geo_desc,Wyoming,Pennsylvania
186.breakout,Rural,Overall
646.prscrbr_geo_desc,Alabama,Georgia:Long
249.breakout,Urban,Overall
333.prscrbr_geo_desc,National,Arkansas:Ouachita
475.prscrbr_geo_desc,Connecticut,Colorado:Weld
122.prscrbr_geo_desc,Mississippi,Connecticut
185.prscrbr_geo_desc,Arizona,Alabama:Clay
32.breakout,Rural,Overall
132.breakout,Overall,Urban
504.breakout,Urban,Overall
167.breakout,Overall,Urban
171.breakout,Overall,Urban
197.breakout,Urban,Overall
284.breakout,Urban,Overall
468.prscrbr_geo_desc,New Mexico,Colorado:Routt
671.prscrbr_geo_desc,Missouri,Georgia:Pulaski
