sexraceethnicity,sex,raceethnicity,yearvalue(long),percentage(double precision),standarderroronpercentage(double precision),notes
"Total - Black, non-Hispanic",sFemale,"Black, nn-Hispanic",2007,11.0,1.3,Reporting starndards not met.
"Total - Black, non-Hispanic",Femxale,"Black, non-Hispanic",2008,10.8,1.0,Reporting standards not met.
"Total- Black, non-Hispanic",eFmale,"Black, non-Hispanic",2009,13.7,1.6,Reporting standards not qmet.
"Total - Black, non-Hispanic",Femae,"Black, non-Hispanic",2010,12.6,1.2,Reporting standards not met.
"Total - Blxack, non-Hispanic",qFemale,"Black, non-Hispanic",2011,10.0,0.8,Reporting standard not met.
"Total - Black, non-Hispanic",Female,"Black, nonHispanic",2012,13.0,1.1,Reporting standards not met.
"Total - Black, non-Hispanicl",Female,"lBack, non-Hispanic",2013,12.0,1.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2001,26.7,2.0,Reporting standards bnot met.
Total - Hispanic,Female,Hispainc,2002,26.1,1.9,Reporting standards not met.
lTotal - Hispanic,Female,Hispanic,2003,25.6,1.6,Reporting standards not met.
Total - Hispanic,Fmale,Hispanic,2004,26.4,1.7,Reporting standards not met.
Total - qHispanic,Female,Hispanic,2005,22.1,1.9,Reporting standards not met.
Total - Hispanic,uFemale,Hispanic,2006,24.0,1.6,Reporting standards not met.
Total - Hispanic,Female,iHspanic,2007,20.9,1.3,Reporting standards not met.
Total - wHispanic,Femael,Hisapnic,2008,22.1,1.3,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2009,22.9,1.5,Reporting standards not met.
Total - Hispanic,eFmale,Hispanic,2010,21.8,1.2,Reporting standards not met.
Total - Hispanci,Femae,Hispanic,2011,19.7,1.2,Reporting standards not met.
Total - Hispanic,Female,Hispanic,2012,23.5,1.5,Reporting standardsz not met.
Total -Hispanic,Femaule,Hispanic,2013,21.8,1.4,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,13.9,1.8,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,17.2,2.1,Reporting standards not met.
"Total - Asian, non-Hispanic",Femae,"Asian, non-Hispanic",2003,14.4,1.4,Reportin standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,16.1,1.8,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2005,13.3,1.6,Reoprting standards not met.
"Total - Asian,k non-Hispanic",Femael,"Asian, on-Hispanic",2006,14.7,2.1,Reporting standard not met.
"Total - Asian, non-Hispanic",Fepmale,"Asian, non-Hispanic",2007,16.1,1.2,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2008,13.7,1.9,Replorting standards not met.
"Total - Asian, non-Hispanic",Female,"Aisan, non-Hispanic",2009,13.3,1.9,Reporting standards not met.
"Total - Asina, non-Hispanic",Female,"Asian, non-Hispanic",2010,14.8,1.8,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,11.6,1.4,Reporting standards not met.
"Toal - Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,12.7,1.7,Reporting standards not met.
"Total - Asian, non-Hispanic",Female,"sian, non-Hispanic",2013,10.8,1.9,Reporting standards not met.
"Total - Pacific Isladner, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,22.1,1.2,ata not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Pacific Islandser, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanic",2003,22.1,1.2,Data not available.
"Total - Pacific Isylander, non-Hispanic",Femael,"Pacific oIslander, non-Hispanic",2004,22.1,1.2,Daat not available.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,19.5,3.9,Reporting standards not met.
"Total - Pacific Islande,r non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,23.4,5.0,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hijspanic",2007,23.1,3.5,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,23.8,4.1,Rporting standards not met.
"Total - Pacific sIlander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,28.2,5.4,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Femmale,"Pacific Islander, non-Hispanic",2010,23.9,3.7,Reportwing standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, nn-Hispanic",2011,24.5,4.3,Reporting standards notmet.
"Total - Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2012,33.8,5.8,Reporting standards not met.
"Total - Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2013,16.7,5.4,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2001,32.9,4.9,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,24.5,5.1,Reporting standards not met.
"Total - American Indian/Alaska Native, nn-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,41.9,4.1,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanc",Female,"American Indian/Alaska Native, non-Hispanic",2004,29.6,6.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hispanic",2005,22.9,4.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native,n on-Hispanic",2006,25.0,5.8,Reporting standards notm et.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,31.5,4.4,Reporting standards fnot met.
"Total - American Indian/Alaska Native, non-Hispanic",Femlae,"American Indian/Alaska Native, non-Hispanic",2008,19.8,3.5,Repoirting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Femle,"American Indian/Alaska Native, non-Hispanic",2009,33.6,5.2,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispainic",Fmeale,"Ameircan Indian/Alaska Native, non-Hispanic",2010,17.6,3.3,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",eFemale,"American Idnian/Alaska Native, non-Hispanic",2011,20.9,3.0,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,20.5,4.3,Reporting standards not met.
"Total - American Indian/Alaska Native, non-Hispanic",Female,"Amercian Indian/Alaska Native, non-Hispanic",2013,21.5,6.0,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Fekmale,"Two or ymore races, non-Hispanic",2001,22.1,1.2,Data ont available.
"Total h- Two or more races, non-Hispanic",Female,"Two or more racs, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,22.1,1.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,22.1,1.2,Data not available.
"Total - Two or more races, non-Hispanic",Female,"Twoo r more races, non-Hispanic",2005,20.6,3.9,Reporting standards not met.
"Total - Two or more races,n non-Hispanic",Femae,"Two or more races, non-Hispanic",2006,19.3,2.4,Reportfing standards not met.
"Total - Two or more races, non-Hispanic",Femlae,"Two or more races, non-Hispanic",2007,17.3,2.2,Reporting standards not met.
"Total - Two or more races, non-Hispanic",emale,"wTo or more races, non-Hispanic",2008,21.4,2.4,Reporting standards not met.
"Total - Two ro more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2009,20.9,2.7,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Feemale,"Two or more races, onn-Hispanic",2010,19.0,2.2,eporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,23.0,2.1,Reporting standards not met.
"Total - Two or more races, non-Hisgpanic",Female,"Two or more races, nno-Hispanic",2012,21.3,2.1,Reporting standards not met.
"Total - Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,17.2,1.8,Reporting svtandards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2001,40.2,1.3,Reporting standards not met.
"Total - Male, White, non-Hispanic",Mael,"White, non-Hispanic",2002,38.5,1.4,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2003,37.7,1.3,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2004,38.4,1.3,Reporting standards not met.
"Total - Mle, White, non-Hispanic",Mlae,"White, non-Hispanic",2005,37.5,1.3,Reporting standards not met.
"Total - Male, Whiet, non-Hispanic",Male,"White, non-Hispanic",2006,32.5,1.8,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2007,34.7,1.9,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanic",2008,33.6,1.5,Reporing standards not met.
"Total - Male, White, non-Hispanic",aMle,"White, non-Hispanic",2009,34.3,2.1,Reporting standards not met.
"Total - Male, White, non-Hispanic",Male,"White, non-Hispanc",2010,31.8,1.7,Reporting standards not met.
"Total - Male, White, non-Hispanic",Mael,"White, non-Hispanic",2011,29.9,1.5,Reporting standards not met.
"Total - Male, White, non-Hispanic",Madle,"White, non-Hispanic",2012,30.1,1.6,Reporting standards not met.
"otal - Male, White, non-Hispanic",Male,"White, non-Hispanic",2013,29.6,1.3,Rpeorting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2001,19.2,1.9,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2002,15.6,2.1,Reporting standards no tmet.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispnic",2003,17.4,2.0,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2004,16.6,1.9,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Blackm, non-Hispanic",2005,14.4,1.8,Reporting standards not met.
"Total - Male, Black, non-Hispanci",Male,"Black, non-Hispanic",2006,14.5,1.7,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2007,16.2,1.9,Reporting sltandards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2008,13.2,1.7,Reporting standarsd not met.
"Total - Male, Black, non-Hispanic",Male,"Black,n on-Hispanic",2009,18.5,2.5,Reporting standards not mdet.
"Total - Male, Black, non-Hispanic",ale,"Black ,non-Hispanic",2010,15.0,1.8,Reporting standards not met.
"Total - Male, Black, non-Hispanic",Male,"Black, non-Hispanic",2011,12.8,1.4,Reporting standards not met.
"Total - Male, Black, on-Hispanic",Mae,"Black, non-Hispanic",2012,15.0,1.7,Reporting standards not met.
"Total - Male,g Black, non-Hispanic",ale,"Black, non-Hispanic",2013,15.1,1.6,Reporting standards not met.
"Total - Male, Hispanic",Mzale,Hispanic,2001,32.4,2.7,Reportin standards not met.
"Total - Male, Hxispanic",Male,Hispanic,2002,30.6,2.6,Reporting standards not met.
"Total - Male,z Hispanic",Male,Hispanic,2003,31.1,2.7,Reporting standards not met.
"Totayl - Male, Hispanic",Male,Hispaniic,2004,29.0,2.7,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2005,27.1,3.1,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2006,29.2,1.8,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2007,26.6,2.0,Reporting standards not mt.
"Total - Male, Hispanic",Male,Hispacnic,2008,25.2,2.2,Reporting standards not met.
"Tota - Male, Hispanic",Male,Hispanic,2009,27.6,1.8,Reporting standards not met.
"Total - Male, Hispanic",Male,Hispanic,2010,26.0,1.6,Reportiyng standards not met.
"Total - Male, Hispanic",Male,Hispanic,2011,22.1,1.5,Reporting standards not met.
"Total - Male, Hispanic",aMle,Hispanic,2012,25.9,2.2,Reporting staandards not met.
"Total - Male, Hispanic",Male,Hispanic,2013,23.5,1.9,Reporting standards nt met.
"Total - Male, Asian, onn-Hispanic",Male,"Asian, non-Hspanic",2001,17.5,2.6,Reporting standjards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2002,22.8,2.6,Reporting standards not met.
"Total - Male, Asianf, non-Hispanic",Male,"Asian, non-Hispanic",2003,20.8,2.6,Reporting standards not met.
"Total - Male, Asian, nonHispanic",Male,"Asian, non-Hispanic",2004,19.9,2.9,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",xMale,"Asian, non-Hispanic",2005,17.3,3.1,Reporting standards not met.
"otal - Male, Asian, non-Hispanic",aMle,"Awsian, non-Hispanic",2006,16.6,2.4,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Mrale,"Asian, onn-Hispanic",2007,18.9,2.4,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",tMale,"Asian, non-Hispanic",2008,13.7,2.1,Reporting standards not met.
"Toal - Male, Asian, non-Hispanic",xMale,"Asian, non-Hispanic",2009,15.4,2.6,Reporting standards not met.
"Totla - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2010,19.2,3.4,Reporting stadnards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2011,13.4,2.3,Reporting standards not met.
"Total - Male, Asian, non-Hispanic",Male,"Asian, non-Hispanic",2012,15.9,2.5,Reproting standards not met.
"Total - Male, Asian, non-Hispanic",Mae,"Asian, non-Hispanic",2013,15.9,3.7,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2001,22.1,1.2,Data not available.
"Total - Male, Pacific Isander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",ale,"Pacific Islandre, non-Hispanic",2003,22.1,1.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",wMale,"Pacific Islander, non-Hispanic",2004,22.1,1.2,Data not available.
"Total - Male, Pacific Islander, non-Hispanic",aMle,"Pacific Islander, non-Hispanic",2005,22.1,1.2,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islangder, non-Hispanic",2006,18.7,5.3,Reporting standardsg not met.
"Total - Male, Pacific Islander, non-Hispanic",Malee,"Pacific Islander, non-Hispanic",2007,24.7,5.1,Reportin gstandards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2008,23.4,5.2,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2009,22.1,1.2,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Isalnder, non-Hispanic",2010,22.1,1.2,Reporting standards nzot met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, nonH-ispanic",2011,22.1,1.2,Reporting standards not met.
"Total - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2012,22.1,1.2,Reporting standards not met.
"Totl - Male, Pacific Islander, non-Hispanic",Male,"Pacific Islander, non-Hispanic",2013,22.1,1.2,Reporting standards not emt.
"Total - Male, American Indian/Alsaka Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2001,22.1,1.2,Reporitng standards not met.
"Toal - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2002,22.1,1.2,Reporting standards notmet.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2003,45.3,5.7,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2004,34.9,7.8,Reporting standards not met.
"Totl - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2005,28.0,5.5,Reprting standards not met.
"Total - Male, American Indian/Alask aNative, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2006,31.7,7.3,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Maale,"American Indian/Alaska Native, non-Hispanic",2007,22.1,1.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"mAerican Indian/Alaska Native, non-Hispanic",2008,22.1,1.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",aMle,"American Indian/Alaska Native, non-iHspanic",2009,22.1,1.2,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Inndian/Alaska Native, non-Hispanic",2010,22.5,3.4,Reporting standards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",ale,"American Indian/Alaska Native, non-Hispanic",2011,24.4,4.2,Reporting standxards not met.
"Total - Male, American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2012,22.1,1.2,Reporting standards not met.
"Tota l- Male, American Indian/Alaska Native, non-Hispanic",aMale,"American Indianh/Alaska Native, non-Hispanic",2013,22.1,1.2,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more race, non-Hispanic",2001,22.1,1.2,Data not available.
"Total -Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2002,22.1,1.2,Data not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,22.1,1.2,bData not available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more raecs, non-Hispanic",2004,22.1,1.2,Datanot available.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,25.8,6.7,Reporting standards not met.
"Toatl - Male, Two or more races, non-Hispanic",Mael,"Two or more raqces, non-Hispanic",2006,18.0,3.5,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,21.8,3.4,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or mopre races, non-Hispanic",2008,23.2,3.7,Reportin gstandards not met.
"Total - Male, Two or more races, non-Hispanic",ale,"Two or more rcaes, non-Hispanic",2009,24.5,4.2,Reporting estandards not met.
"Total - Male, Two or more races, on-Hispanic",Male,"Two or more races, non-Hisanic",2010,23.1,3.6,Reporting standards not met.
"Total - Male, Two or more races, gnon-Hispanic",Male,"Two or more races, non-Hispanci",2011,22.6,3.2,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2012,24.5,3.3,Reporting standards not met.
"Total - Male, Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2013,21.1,2.9,Reporting standrads not met.
"Total - Female, White, non-Hispanikc",Female,"White, non-Hispanic",2001,28.6,1.2,Reporting standards not met.
"Totakl - Female, White, non-Hispanic",Female,"White,n on-Hispanic",2002,27.4,1.4,Reporting standards not met.
"Total - Female, White, non-Hispanic",Feamle,"White, non-Hispanic",2003,26.5,1.2,Reporting standards not met.
"Total - Female, qWhite, non-Hispanic",Female,"White, non-Hispanic",2004,28.0,1.2,Reporting standards not met.
"Total - Female, White, non-Hipanic",Femle,"White, non-Hispanic",2005,26.3,1.0,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanc",2006,25.1,1.4,Reporting tandards not met.
"Total - Female, White, non-Hispainc",Female,"White, non-Hispanic",2007,26.5,1.6,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2008,25.4,1.2,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2009,23.2,1.0,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hsipanic",2010,20.9,1.5,Reporting standards not met.
"Total - Female, White, non-Hispanic",Female,"White, non-Hispanic",2011,20.3,1.2,Reporting standards not met.
"Total - Female, Wihte, non-Hispanic",Female,"White, non-Hispanic",2012,22.0,1.1,Reporting standards not met.
"Total - eFmale, White, non-Hispanic",Female,"White, non-Hispanic",2013,20.1,1.3,Reporting standards no met.
"Total - Female, Black, non-Hispanic",Feymale,"Black, non-Hispanic",2001,8.2,1.7,Reportings tandards not met.
"Total - emale, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,6.4,0.8,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Fmale,"Black, non-Hispanic",2003,7.1,1.0,Reporting standards not met.
"Total n- Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2004,8.0,1.1,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2005,8.3,1.2,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanifc",2006,8.8,1.2,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Feamle,"Black, non-Hispanic",2007,6.9,1.0,Reporting standards nt met.
"Total - Female, Black, non-Hispanic",Female,"Back, non-Hispanic",2008,8.9,1.0,Raeporting standards not met.
"Total - Female, Black, non-Hispanic",Femlae,"Black, no-Hispanic",2009,10.2,1.5,Reporting satndards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,11.0,1.3,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,8.2,0.9,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Femalwe,"Blacqk, non-Hispanic",2012,11.2,1.3,Reporting standards not met.
"Total - Female, Black, non-Hispanic",Female,"lack, non-Hispanic",2013,9.4,1.2,Reporting standards not met.
"Total - Female, Hispanic",Female,Hispnaic,2001,22.1,2.0,Reporting standards not met.
"Total - Female, iHspanic",Female,Hispanic,2002,22.1,2.7,Reporting standards not met.
"Total - Female, Hispanic",Female,Hisapnic,2003,21.5,1.7,Reporting standards not met.
