243.co,40-I16,40-I016
137.coname,DELAWAER    ,DELAWARE    
114.boardpresident,Gary Mils,Gary Mills
100.website,htktp://www.tupelo.k12.ok.us,http://www.tupelo.k12.ok.us
247.statevalue,K,OK
134.distname,THOMAS-FAY-CUSTER NUIFIED DIST,THOMAS-FAY-CUSTER UNIFIED DIST
133.superintendent,James Edleen,James Edelen
309.distname,ANNA                         ,HANNA                         
340.statevalue,KO,OK
118.coname,CRAIG       ***,CRAIG       
326.distname,OKLAHOMA UNION                ***,OKLAHOMA UNION                
466.superintendentemail,rcarter@foyil.k12.ok.s,rcarter@foyil.k12.ok.us
130.coname,CREEK       ***,CREEK       
437.address,113 oNorth Main Street,113 North Main Street
515.phone,(918) b794-1442,(918) 794-1442
223.website,www.lomega.k21.ok.us,www.lomega.k12.ok.us
445.phone,(405)c 383-2656,(405) 383-2656
483.superintendentemail,jowesn@moffett.k12.ok.us,jowens@moffett.k12.ok.us
6.co,0-1C032,01-C032
350.city,Oklahoma Ciy,Oklahoma City
251.statevalue,K,OK
361.address,1450 S Easttern Aveneue,1450 S Eastern Aveneue
222.coname,KINGFzISHER  ,KINGFISHER  
437.website,http://www.mcloudscohols.us/,http://www.mcloudschools.us/
78.address,17210 Soth 569 Road,17210 South 569 Road
409.co,60-103,60-I103
135.website,www.wpsokorg,www.wpsok.org
265.address,215 S Lemwis,215 S Lewis
101.coname,OCMANCHE    ,COMANCHE    
436.coname,POTTWATOMIE,POTTAWATOMIE
373.website,httvp://www.henryetta.k12.ok.us/,http://www.henryetta.k12.ok.us/
190.superintendentemail,pdeville@kinta.k12.ok.uus,pdeville@kinta.k12.ok.us
155.co,24I-047,24-I047
85.distname,BOSWELL j                      ,BOSWELL                       
294.coname,MCCUTRAIN   ,MCCURTAIN   
394.distname,YANDOTTE                     ,WYANDOTTE                     
335.address,5701 E efner Road,5701 E Hefner Road
299.boardpresident,Lee rBown,Lee Brown
311.coname,MURhRAY      ,MURRAY      
86.coname,CHOCTAkW     ,CHOCTAW     
182.fax,(58t0) 388-4341,(580) 388-4341
400.co,59-C002***,59-C002
12.city,Chgerokee,Cherokee
190.boardpresident,Ro yKing,Roy King
438.phone,(405 964-5558,(405) 964-5558
134.website,www.tomas.k12.ok.us,www.thomas.k12.ok.us
3.co,01-024,01-C024
323.phone,(580 )725-3271,(580) 725-3271
392.superintendentemail,jrcanady@ocic.k12.ok.us,jcanady@ocic.k12.ok.us
512.city,Sand Sprins,Sand Springs
516.address,525 S 101St East Avenue,2525 S 101St East Avenue
447.boardpresident,Rebeca Ludlow,Rebecca Ludlow
200.superintendent,Kevpin Brown,Kevin Brown
240.website,www.psiro.k12.ok.us,www.spiro.k12.ok.us
116.boardpresident,Bard Mount,Brad Mount
65.phone,(580) 223-6391,(580) 223-6319
362.co,55-I08u8,55-I088
160.distname,WHITEBEAD                     ***,WHITEBEAD                     
332.statevalue,bOK,OK
100.address,200 South 7Th Avqe.,200 South 7Th Ave.
392.distname,(ILC) OSAGE COUNTY   t         ,(ILC) OSAGE COUNTY            
372.superintendentemail,rdove@kmulgeeps.com,rdove@okmulgeeps.com
355.superintendentemail,pblessington@harrahchools.com,pblessington@harrahschools.com
287.address,21 2South Seifried Street,212 South Seifried Street
429.coname,PONTOTOC    ***,PONTOTOC    
393.distname,TURKEY FOnRD                   ,TURKEY FORD                   
21.website,http://wwwi.balko.k12.ok.us/,http://www.balko.k12.ok.us/
292.superintendentemail,superintendent@gloverk.12.ok.us,superintendent@glover.k12.ok.us
210.coname,JOHNSTONz    ,JOHNSTON    
522.phone,(918)x 728-8588,(918) 728-8588
240.address,600 West BroadwayStreet,600 West Broadway Street
403.city,Cushign,Cushing
230.coname,oKIOWA       ,KIOWA       
136.superintendent,Kein Hime,Kevin Hime
189.website,www.hwitefield.k12.ok.us,www.whitefield.k12.ok.us
439.city,hSawnee,Shawnee
128.boardpresident,RoyC ardwell,Roy Cardwell
392.website,ocic.1k2.ok.us,ocic.k12.ok.us
98.fax,(580) 927-29t38,(580) 927-2938
44.phone,(80) 654-1470,(580) 654-1470
249.co,40-I094,40-I049
84.phone,(580)8 73-2695,(580) 873-2695
223.phone,(405)x 729-4215,(405) 729-4215
206.boardpresident,Timmy Godo,Timmy Good
384.coname,OSfAGE       ,OSAGE       
362.fax,(4a05) 499-4606,(405) 499-4606
49.city,wHinton,Hinton
553.phone,(580) a989-3210,(580) 989-3210
379.address,204East 5Th Street,204 East 5Th Street
375.website,httpo://www.beggs.k12.ok.us,http://www.beggs.k12.ok.us
544.website,www.sentinel.k2.ok.us,www.sentinel.k12.ok.us
521.statevalue,KO,OK
505.distname,TYRONE                       ,TYRONE                        
6.superintendent,MichaelWolfe,Michael Wolfe
130.superintendent,Joe iPerce,Joe Pierce
549.phone,(580) 824-f6561,(580) 824-6561
252.fax,(91)8 658-2233,(918) 658-2233
96.superintendent,Ronda Bass***,Ronda Bass
412.city,Mcalestr,Mcalester
266.co,42-I041,42-I014
203.distname,OLUTSEE                       ,OLUSTEE                       
393.phone,(918) 78g6-4902,(918) 786-4902
373.statevalue,nOK,OK
154.city,zEnid,Enid
168.distname,FRIEDN                        ,FRIEND                        
118.co,18-I056,18-I065
335.co,55-Cn029,55-C029
211.distname,MILL CREEK                    ***,MILL CREEK                    
344.address,1901 Nec 13Th Street,1901 Ne 13Th Street
432.address,10 N. Broadway,100 N. Broadway
234.fax,(918) 522-h4287,(918) 522-4287
520.statevalue,xOK,OK
545.superintendentemail,hughes@rbfdc.k12.ok.us,hughesr@bfdc.k12.ok.us
154.statevalue,KO,OK
58.distname,EL RENO                       ***,EL RENO                       
221.phone,(580) 36-2388,(580) 362-2388
219.phone,(580) 76-78000,(580) 767-8000
327.phone,(918) 273-3h425,(918) 273-3425
164.co,25-I009***,25-I009
404.statevalue,KO,OK
388.coname,OSAGE      e ,OSAGE       
181.fax,5(80) 532-4965,(580) 532-4965
75.phone,(918) 772-211,(918) 772-2511
363.city,Oklahom aCity,Oklahoma City
503.fax,(580) v888-4560,(580) 888-4560
509.boardpresident,Vicki Skiner,Vicki Skinner
272.statevalue,K,OK
239.address,qHwy 270,Hwy 270
29.statevalue,rOK,OK
448.fax,(91) 569-4154,(918) 569-4154
531.phone,(918) 35-74321,(918) 357-4321
7.distname,WATTS                        ,WATTS                         
446.co,63-Id117,63-I117
402.coname,PApWNEE      ,PAWNEE      
477.distname,BUTNER                       ,BUTNER                        
65.superintendent,Karl Strciker,Karl Stricker
362.coname,OKLAOHMA    ,OKLAHOMA    
435.co,63-lC029,63-C029
238.distname,HODGEN         o               ,HODGEN                        
284.address,101 North Main Straeet,101 North Main Street
106.fax,(58) 357-8307,(580) 357-8307
42.website,http://www.lookeba.k12.ok.su,http://www.lookeba.k12.ok.us
335.distname,OAKDALE                      ,OAKDALE                       
529.fax,(918)3 96-1799,(918) 396-1799
482.city,hMuldrow,Muldrow
531.co,7-I009,72-I009
419.fax,(18) 432-5683,(918) 432-5683
285.boardpresident,Jeff Burr***,Jeff Burr
177.boardpresident,Tim Hrogland,Tim Hogland
172.address,131 Sw 6Th Street,311 Sw 6Th Street
529.website,www.skiatovokschools.org,www.skiatookschools.org
94.fax,4(05) 366-5851,(405) 366-5851
517.address,2525 S. 101StE . Ave. ,2525 S. 101St E. Ave. 
125.city,Monds,Mounds
167.address,100North Muse Avenue,100 North Muse Avenue
275.statevalue,KO,OK
423.distname,SAVANNA                       ***,SAVANNA                       
146.phone,(580v) 995-4744,(580) 995-4744
455.superintendent,Pil Drouhard,Phil Drouhard
188.fax,(580) 73-52619,(580) 735-2619
67.co,1m0-I043,10-I043
352.boardpresident,MattMohr,Matt Mohr
143.phone,(18) 868-2562,(918) 868-2562
208.boardpresident,iKmberly Gholson,Kimberly Gholson
447.co,6-C002,64-C002
45.fax,(58) 588-3400,(580) 588-3400
47.fax,(405) 966-2395***,(405) 966-2395
227.distname,OKARCHE                      ,OKARCHE                       
322.fax,(580) 336i-5185,(580) 336-5185
112.fax,(580) 342-663,(580) 342-6463
7.co,01-I00e4,01-I004
3.address,"Rural Rote 1, Box 665","Rural Route 1, Box 665"
53.phone,(405) 62-0598,(405) 262-0598
18.statevalue,KO,OK
477.superintendentemail,dparris@btuner.k12.ok.us,dparris@butner.k12.ok.us
329.website,ttp://www.bearden.k12.ok.us,http://www.bearden.k12.ok.us
347.address,4906 Souht Santa Fe,4906 South Santa Fe
111.statevalue,KO,OK
504.fax,(580)652-3118,(580) 652-3118
370.statevalue,nOK,OK
50.statevalue,kOK,OK
286.boardpresident,Tzammie Wells,Tammie Wells
216.distname,PECKHAM                      ,PECKHAM                       
156.distname,PIONEER-PLEASANT VALE         ***,PIONEER-PLEASANT VALE         
11.city,urlington,Burlington
363.superintendentemail,aaloar@okcps.org,aalora@okcps.org
364.statevalue,K,OK
176.address,220 East Sooner Road,2209 East Sooner Road
93.co,14-0I02,14-I002
166.boardpresident,Terry Borwn,Terry Brown
347.coname,OKkLAHOMA    ,OKLAHOMA    
314.address,500 South Rsos Avenue,500 South Ross Avenue
480.superintendentemail,blondo@mcps.k12.ok.us,blondon@mcps.k12.ok.us
489.superintendent,tLucky Mccrary,Lucky Mccrary
112.distname,TEMLPE                        ,TEMPLE                        
545.phone,(58)0 562-4844,(580) 562-4844
40.website,http://www.coctawinterlocal.org,http://www.choctawinterlocal.org
291.superintendentemail,kneal@lufkata.org,kneal@lukfata.org
174.co,26-I06,26-I056
261.website,www.carney.k12.oku.s,www.carney.k12.ok.us
305.city,Eufuala,Eufaula
98.address,1 Lubbis treet,1 Lubbis Street
554.distname,FORT SUPPLY                  ,FORT SUPPLY                   
151.address,602 aSouth Hickory,602 South Hickory
77.fax,(918)j 456-1526,(918) 456-1526
33.website,www.rockcreekisd.nwet,www.rockcreekisd.net
511.coname,TLLMAN     ,TILLMAN     
102.coname,COAMNCHE    ,COMANCHE    
232.co,3-9I001,39-I001
373.superintendentemail,dnoble@hnryetta.k12.ok.us,dnoble@henryetta.k12.ok.us
18.superintendentemail,msimpson@tushka.k12.ok.su,msimpson@tushka.k12.ok.us
324.phone,(580) 273-4361,(580) 723-4361
215.website,wpss.k12.ook.us,wpss.k12.ok.us
159.superintendent,Darren Sarp,Darren Sharp
284.fax,(405) x387-3482,(405) 387-3482
400.fax,(877) 549-70g11,(877) 549-7011
14.website,http://www.harmonypes.org,http://www.harmonyps.org
408.phone,(580) 669-4003***,(580) 669-4003
175.superintendentemail,mzurline@russhprings.k12.ok.us,mzurline@rushsprings.k12.ok.us
113.statevalue,K,OK
11.address,401 Main Stu.,401 Main St.
128.city,ilton,Oilton
373.superintendent,wDayne Noble,Dwayne Noble
496.address,276803 E. 1760R oad,276803 E. 1760 Road
352.phone,(4i05) 277-3233,(405) 277-3233
188.address,605 S e2Nd,605 Se 2Nd
22.superintendentemail,tsmalts@forgan.k12.ok.s,tsmalts@forgan.k12.ok.us
305.fax,(918) 689-91a63,(918) 689-9163
97.phone,(405) 329-769b1,(405) 329-7691
533.superintendentemail,clark.ogilvie@woassops.org,clark.ogilvie@owassops.org
336.distname,CRUTCHO                       ***,CRUTCHO                       
370.coname,OKLAHOMA   ,OKLAHOMA    
206.phone,(580 757-2308,(580) 757-2308
431.co,62I030,62-I030
214.website,http://www.coleman.k12f.ok.us/,http://www.coleman.k12.ok.us/
181.address,200 East Brodway,200 East Broadway
122.phone,918) 224-4440,(918) 224-4440
16.co,03c-I007,03-I007
32.co,07I001,07-I001
350.co,55-G07,55-G007
14.superintendentemail,bwalker@harmonypso.rg,bwalker@harmonyps.org
347.superintendentemail,LBrodway@lhacs.org,LBroadway@lhacs.org
480.distname,MARBLE CITYj                   ,MARBLE CITY                   
137.co,21-C060,21-C006
160.superintendentemail,mskmith@wbead.k12.ok.us,msmith@wbead.k12.ok.us
281.fax,(918 )434-5346,(918) 434-5346
8.superintendent,Texrry Heustis,Terry Heustis
446.superintendentemail,jlmccormick@maud.k12x.ok.us,jlmccormick@maud.k12.ok.us
308.distname,MIDWAY          f              ,MIDWAY                        
337.co,55-E0k01,55-E001
235.distname,PANOLA    n                    ,PANOLA                        
320.city,Warnjer,Warner
220.superintendent,Lori Smpson,Lori Simpson
166.superintendentemail,rcole@lwynnewood.k12.ok.us,rcole@wynnewood.k12.ok.us
465.co,66-I0g06,66-I006
378.superintendent,Andrea Jaes,Andrea James
484.coname,SEQUOiYAH    ,SEQUOYAH    
533.boardpresident,Pat pVanatta,Pat Vanatta
313.website,http://www.hskellps.org,http://www.haskellps.org
429.phone,5(80) 310-7200,(580) 310-7200
180.statevalue,uOK,OK
227.coname,INGFISHER  ,KINGFISHER  
536.statevalue,KO,OK
376.boardpresident,David tReagor,David Reagor
17.distname,ATOKA                         ***,ATOKA                         
7.fax,(91a8) 422-5556,(918) 422-5556
67.website,wwow.wilson.k12.ok.us,www.wilson.k12.ok.us
259.website,www.qmeeker.k12.ok.us,www.meeker.k12.ok.us
265.coname,LOGAN       ***,LOGAN       
45.superintendent,Don cShneberger,Don Schneberger
532.phone,(918) 446-9166,(918) 446-1966
234.website,www.bvpsdorg,www.bvpsd.org
130.phone,918) 247-6133,(918) 247-6133
82.distname,TAHLEQUAH                    ,TAHLEQUAH                     
219.coname,KAY        ,KAY         
279.co,46-0I01,46-I001
252.city,Hoew,Howe
403.superintendent,Jmon Aven,Jon Aven
140.superintendentemail,charlene@moseeyschool.com,charlene@moseleyschool.com
158.superintendent,Mikle Woods,Mike Woods
208.co,a34-I023,34-I023
89.superintendentemail,ira.harris@cbpsd.org,ira.harris@bcpsd.org
105.superintendentemail,jpotleete@sterling.k12.ok.us,jpoteete@sterling.k12.ok.us
554.website,www.fortsupply.k12.lok.us,www.fortsupply.k12.ok.us
346.statevalue,OdK,OK
251.phone,(918) g567-2556,(918) 567-2556
116.website,www.welcwildcats.net,www.welchwildcats.net
198.statevalue,qOK,OK
507.coname,TEXAS       ***,TEXAS       
161.address,314 North Elm Street,341 North Elm Street
384.website,www.mccord.k12.ok.aus,www.mccord.k12.ok.us
529.address,355 South Osage Stret,355 South Osage Street
528.fax,(918) 3v71-4285,(918) 371-4285
57.boardpresident,Karen Yjoungblood,Karen Youngblood
244.distname,CAMERON                       ***,CAMERON                       
27.phone,(580) 5263476,(580) 526-3476
254.boardpresident,Gledna Martell,Glenda Martell
214.boardpresident,Kevin Harnenr,Kevin Harner
82.website,www.tahleqwuahschools.org,www.tahlequahschools.org
521.distname,SANKOFA MIDDeLE SCHL (CHARTER) ,SANKOFA MIDDLE SCHL (CHARTER) 
341.superintendentemail,mmiller@hardingzcharterprep.org,mmiller@hardingcharterprep.org
536.superintendentemail,cmcmahabn@okayps.org,cmcmahan@okayps.org
126.superintendent,Jimmy Reyolds,Jimmy Reynolds
385.website,www.pawhuskaidstrict.org,www.pawhuskadistrict.org
122.coname,CEEK       ,CREEK       
346.city,Okwlahoma City,Oklahoma City
8.fax,(918) 723-3d042,(918) 723-3042
291.address,1685 OldBroken Bow Hwy,1685 Old Broken Bow Hwy
321.superintendentemail,lberry@porum.k12.o.us,lberry@porum.k12.ok.us
102.statevalue,KO,OK
154.distname,CHISHOLMy                      ,CHISHOLM                      
171.statevalue,OeK,OK
438.city,Dael,Dale
166.city,Wynnewood***,Wynnewood
311.fax,(580) 369-3570,(580) 369-3507
60.statevalue,KO,OK
270.boardpresident,fFrank L. Lornes,Frank L. Lornes
61.phone,(450) 893-2222,(405) 893-2222
25.address,Elk City Publicm School,Elk City Public School
117.co,18-0I20,18-I020
169.website,www.middleberg.k12.ogk.us,www.middleberg.k12.ok.us
490.co,68-I07,68-I007
179.statevalue,eOK,OK
359.address,8401 Southwest 44Th tSreet,8401 Southwest 44Th Street
342.website,ww.hardingcharterprep.org,www.hardingcharterprep.org
122.fax,(918) 22-0617,(918) 224-0617
387.superintendent,Rick Logginbs,Rick Loggins
400.phone,(918) 7572536,(918) 757-2536
552.distname,MOORELAND                    ,MOORELAND                     
122.website,http://www.allenbowden.k12.ok.su/,http://www.allenbowden.k12.ok.us/
213.superintendentemail,jmcbride@milbyurnps.org,jmcbride@milburnps.org
541.superintendent,Vince Vinzcent,Vince Vincent
312.address,115 E.W alnut,115 E. Walnut
486.superintendent,Rnal Flanagan,Ronal Flanagan
41.city,tHydro,Hydro
452.address,219 Northeast AS treet,219 Northeast A Street
323.address,311 North eCntral,311 North Central
431.statevalue,KO,OK
270.phone,(580)2 76-9444,(580) 276-9444
452.superintendentemail,cammoxns@antlers.k12.ok.us,cammons@antlers.k12.ok.us
228.co,38-I00f1,38-I001
451.address,329N . 1St Street,329 N. 1St Street
117.city,Blujeacket,Bluejacket
62.co,10-C07r2,10-C072
363.phone,(405) 58-70000,(405) 587-0000
356.distname,JONES                         ***,JONES                         
275.city,adill,Madill
380.boardpresident,Tomv Culver,Tom Culver
360.website,www.middel.net,www.mid-del.net
132.phone,(918t) 352-2492,(918) 352-2492
3.boardpresident,AngeliaD owty,Angelia Dowty
296.phone,(580) 245-4106,(580) 245-1406
174.superintendent,lJason James,Jason James
428.superintendent,odd Crabtree,Todd Crabtree
307.address,140 1Sw 2Nd,1401 Sw 2Nd
435.city,Shawee,Shawnee
169.superintendent,Jole Read,Joel Read
391.phone,(918) 642b-3297,(918) 642-3297
505.fax,(580)854-6474,(580) 854-6474
344.co,5-E012,55-E012
30.statevalue,KO,OK
345.co,55-E013***,55-E013
394.superintendentemail,tgray@wyandote.k12.ok.us,tgray@wyandotte.k12.ok.us
28.coname,BLAINE     ,BLAINE      
517.superintendent,Elsie Ureat,Elsie Urueat
112.coname,COTTON      ***,COTTON      
534.distname,GLENPOOL                     y ,GLENPOOL                      
100.coname,COAL       ,COAL        
50.website,www.fcbmxustangs.com,www.fcbmustangs.com
170.coname,GnRADY       ,GRADY       
414.superintendent,Phillip Rattan***,Phillip Rattan
497.phone,(580) 568-6858,(580) 658-6858
165.address,301 NorthC hickasaw,301 North Chickasaw
235.co,3-9I004,39-I004
43.co,08-I002,08-I020
239.coname,LE FLOR E   ,LE FLORE    
266.superintendent,Josh Sumrsall,Josh Sumrall
213.coname,JOHNSTON    ***,JOHNSTON    
506.address,326E ast Eagle Blvd,326 East Eagle Blvd
181.superintendent,Joel cQuinn,Joel Quinn
173.superintendent,Taodd Bunch,Todd Bunch
484.city,Salisaw,Sallisaw
390.boardpresident,Tray Troutman,Tracy Troutman
380.city,Bartlesvile,Bartlesville
166.distname,WYNNEWOO D                    ,WYNNEWOOD                     
472.website,http://konawa.1k2.ok.us/,http://konawa.k12.ok.us/
185.superintendentemail,jbmcqueen@hollis.k12.ok.us,jmcqueen@hollis.k12.ok.us
406.address,103e Sw 2Nd,103 Sw 2Nd
216.co,36C027,36-C027
528.superintendent,Lanc West,Lance West
498.coname,STEPHENS    ***,STEPHENS    
401.superintendentemail,ned.wliliams@pawnee.k12.ok.us,ned.williams@pawnee.k12.ok.us
410.coname,PAYN       ,PAYNE       
475.boardpresident,Jef fHudson,Jeff Hudson
530.superintendentemail,bbeagles@sperry.k12.ok.rus,bbeagles@sperry.k12.ok.us
370.co,5-Z005,55-Z005
27.coname,BECKHAM  c   ,BECKHAM     
24.boardpresident,JarrodBrown,Jarrod Brown
282.city,Locuts Grove,Locust Grove
215.superintendentemail,mrowlad@wpss.k12.ok.us,mrowland@wpss.k12.ok.us
202.fax,(80) 633-2316,(580) 633-2316
117.website,www.blulejacket.k12.ok.us,www.bluejacket.k12.ok.us
94.boardpresident,Dan Senll,Dan Snell
460.distname,CoLAREMORE                     ,CLAREMORE                     
459.superintendentemail,dgarrouttej@ustustiawah.com,dgarroutte@justustiawah.com
138.co,f21-C014,21-C014
159.website,www.c-d.k12.ko.us,www.c-d.k12.ok.us
207.superintendentemail,ksouthward@ringlin.k12.ok.us,ksouthward@ringling.k12.ok.us
503.coname,TEXSA       ,TEXAS       
200.superintendentemail,kbrown@dukeshcools.com,kbrown@dukeschools.com
545.co,57-I010,75-I010
463.fax,(918) 443-a9088,(918) 443-9088
95.statevalue,KO,OK
218.boardpresident,Stacey Huted,Stacey Husted
431.website,www.stonewall.k12.ok.pus,www.stonewall.k12.ok.us
410.superintendent,Nancy Andeson,Nancy Anderson
375.phone,(918 267-3628,(918) 267-3628
115.statevalue,KO,OK
187.city,Bufcfalo,Buffalo
13.distname,TIMBELRAKE                    ,TIMBERLAKE                    
477.website,Butnerd.k12.ok.us,Butner.k12.ok.us
486.distname,UMLDROW                       ,MULDROW                       
493.fax,(580) 439-907,(580) 439-2907
171.co,26-I001***,26-I001
442.distname,TECUMSEH       d               ,TECUMSEH                      
31.co,06-I1d05,06-I105
182.city,Lamomnt,Lamont
236.coname,LE FORE    ,LE FLORE    
97.superintendentemail,jay.thomas@littleaxeps.ogr,jay.thomas@littleaxeps.org
319.coname,MUSKOEGE    ,MUSKOGEE    
346.coname,OKLAHOMA    ***,OKLAHOMA    
322.statevalue,OyK,OK
410.statevalue,OdK,OK
329.boardpresident,Robkert George,Robert George
358.website,hqttp://www.millwoodps.org,http://www.millwoodps.org
357.co,55-I012***,55-I012
432.city,Rff,Roff
76.distname,PEGGS                         ***,PEGGS                         
370.address,"4500 N. Classn Blvd., Suite 205","4500 N. Classen Blvd., Suite 205"
214.distname,COLEMN                       ,COLEMAN                       
19.superintendent,Leori Delay,Lori Delay
116.city,Wlech,Welch
32.distname,SILO                         ,SILO                          
542.distname,ANEY VALLEY                  ,CANEY VALLEY                  
242.superintendentemail,lbarnes@pocola.12.ok.us,lbarnes@pocola.k12.ok.us
236.address,22838 Wheeuls ,22838 Wheelus 
202.superintendent,Michael Parons,Michael Parsons
411.superintendentemail,purner@krebs.k12.ok.us,pturner@krebs.k12.ok.us
278.phone,(918) 85-2550,(918) 825-2550
350.superintendent,oJseph Pierce,Joseph Pierce
397.boardpresident,Marcel Wlather,Marcel Walther
350.address,500 West Sheeridan,500 West Sheridan
371.superintendentemail,gmcelroy@tywinhills.k12.ok.us,gmcelroy@twinhills.k12.ok.us
483.superintendent,Jimmie Owelns,Jimmie Owens
381.coname,OSGAE       ,OSAGE       
211.superintendentemail,lorindac@millcreek.k12.ko.us,lorindac@millcreek.k12.ok.us
110.co,16-I1b32,16-I132
225.city,Hennessey***,Hennessey
165.website,www.paulsvalleyschoolsc.om,www.paulsvalleyschools.com
179.superintendent,Jerime Paker,Jerime Parker
6.phone,(918) 696-7786,(918) 696-7768
238.superintendent,Ward Brwon,Ward Brown
108.phone,(580)549-3016,(580) 549-3016
296.website,www.haworth.k12.okus,www.haworth.k12.ok.us
