yearvalue,dataset,locationvalue,ge_oid,sex,age_range,population,associatesdegree,associatesdegreepercent,bachelorsdegree,bachelorsdegreepercent,graduateorprofessionaldegree,graduateorprofessionaldegr_one,total_post_secondary_attainment,total_post_secondary_attainme_one,datevalue,object_id
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,21199.0,1441.0,6.8,6113.0,28.8,2684,12.7,10238.0,48.3,2017/12/31 07:00:00+00,25.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,10281.0,1036.0,10.1,2803.0,27.3,1828,17.8,5667.0,55.1,2017/12/31 07:00:00+00,26.0
2017,2013-2017 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,16472.0,1045.0,6.3,3725.0,22.6,3185,19.3,7955.0,48.3,2017/12/31 07:00:00+00,27.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,87077.0,6960.0,8.0,23358.0,26.8,14468,16.6,44786.0,51.4,2016/12/31 07:00:00+00,28.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,40037.0,3444.0,8.6,11184.0,27.9,7170,17.9,21798.0,54.4,2016/12/31 07:00:00+00,29.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,14555.0,1290.0,8.9,1290.0,8.9,2555,17.6,5135.0,35.3,2016/12/31 07:00:00+00,30.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8242.0,756.0,9.2,2208.0,26.8,1435,17.4,4399.0,53.4,2016/12/31 07:00:00+00,31.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,45-64,17240.0,1398.0,8.1,4204.0,24.4,3180,18.4,8782.0,50.9,2016/12/31 07:00:00+00,32.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,47040.0,3516.0,7.5,12174.0,25.9,7298,15.5,22988.0,48.9,2016/12/31 07:00:00+00,33.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,20715.0,1706.0,8.2,5726.0,27.6,2356,11.4,9788.0,47.3,2016/12/31 07:00:00+00,34.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,9752.0,896.0,9.2,2735.0,28.0,1734,17.8,5365.0,55.0,2016/12/31 07:00:00+00,35.0
2016,2012-2016 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,16573.0,914.0,5.5,3713.0,22.4,3208,19.4,7835.0,47.3,2016/12/31 07:00:00+00,36.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,83680.0,6851.0,8.2,22128.0,26.4,13681,16.3,42660.0,51.0,2015/12/31 07:00:00+00,37.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,38757.0,3348.0,8.6,10298.0,26.6,6666,17.2,20312.0,52.4,2015/12/31 07:00:00+00,38.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,13377.0,1204.0,9.0,1204.0,9.0,2306,17.2,4714.0,35.2,2015/12/31 07:00:00+00,39.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8030.0,769.0,9.6,1847.0,23.0,1352,16.8,3968.0,49.4,2015/12/31 07:00:00+00,40.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,44923.0,3503.0,7.8,11830.0,26.3,7015,15.6,22348.0,49.7,2015/12/31 07:00:00+00,41.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,19318.0,1527.0,7.9,5538.0,28.7,2271,11.8,9336.0,48.3,2015/12/31 07:00:00+00,42.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,9752.0,1019.0,10.4,2566.0,26.3,1682,17.2,5267.0,54.0,2015/12/31 07:00:00+00,43.0
2015,2011-2015 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,15853.0,957.0,6.0,3726.0,23.5,3062,19.3,7745.0,48.9,2015/12/31 07:00:00+00,44.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,All,25-64,82061.0,6835.0,8.3,21698.0,26.4,12742,15.5,41275.0,50.3,2014/12/31 07:00:00+00,45.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-64,38325.0,3367.0,8.8,9958.0,26.0,6403,16.7,19728.0,51.5,2014/12/31 07:00:00+00,46.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,25-34,13235.0,1117.0,8.4,1117.0,8.4,2144,16.2,4378.0,33.1,2014/12/31 07:00:00+00,47.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,35-44,8370.0,900.0,10.8,1942.0,23.2,1404,16.8,4246.0,50.7,2014/12/31 07:00:00+00,48.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Female,45-64,16720.0,1350.0,8.1,4165.0,24.9,2855,17.1,8370.0,50.1,2014/12/31 07:00:00+00,49.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-64,43736.0,3468.0,7.9,11740.0,26.8,6339,14.5,21547.0,49.3,2014/12/31 07:00:00+00,50.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,25-34,18989.0,1578.0,8.3,5581.0,29.4,1805,9.5,8964.0,47.2,2014/12/31 07:00:00+00,51.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,35-44,9460.0,977.0,10.3,2391.0,25.3,1625,17.2,4993.0,52.8,2014/12/31 07:00:00+00,52.0
2014,2010-2014 ACS 5-year estimate,"Tempe, Arizona",1600000US0473000,Male,45-64,15287.0,913.0,6.0,3768.0,24.6,2909,19.0,7590.0,49.7,2014/12/31 07:00:00+00,53.0
