OBJECTID,TMA_ID,TMA_NM,TMA_NR,ST_PRRTY_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,TMP_START_DT,TMP_ID,TMP_CMPLTN_DT,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
52,TMA-CO-COF02000-001,Arkansas River TMP,001,-1,CO,COF02000,ROYAL GORGE FIELD OFFICE,9999/09/09 00:00:00+00,,,531705.7741216,240071.60686589,{04613E90-6D06-492E-BAC0-B57EA1BC245E},328612.190701816,2150821463.73877
53,TMA-CO-COF02000-002,Box Creek TMP,002,-1,CO,COF02000,ROYAL GORGE FIELD OFFICE,9999/09/09 00:00:00+00,,,5851.14497455,3170.72802053,{68C46807-D3EB-4C15-A8AF-D15DF896689B},26184.8425680319,23678743.6186604
54,TMA-CO-COF02000-003,Fourmile TMP,003,-1,CO,COF02000,ROYAL GORGE FIELD OFFICE,9999/09/09 00:00:00+00,,,24756.84578818,13579.42758676,{926D8780-2CB6-4FC2-BB99-AD31500964D6},66569.6283657988,100187400.376249
55,TMA-CO-COF02000-004,Gold Belt TMP,004,-1,CO,COF02000,ROYAL GORGE FIELD OFFICE,9999/09/09 00:00:00+00,,,560022.21074945,140268.66042181,{3D4B6A54-D711-4F2F-BABA-8A4A28DBF28C},316670.647573236,2265999044.54737
56,TMA-CO-COF02000-005,Cache Creek TMP,005,-1,CO,COF02000,ROYAL GORGE FIELD OFFICE,9999/09/09 00:00:00+00,,,3608.84016525,3590.75394756,{263492D5-BD15-4C7D-AFB2-9C2FEFCB42E5},19103.4287440252,14604458.0001666
113,TMA-CO-COS01000-001,F,001,-1,CO,COS01000,TRES RIOS FIELD OFFICE,9999/09/09 00:00:00+00,,,166320.00983121,7.88660849,{27A42B8B-CD0B-45FB-B17A-88F2438A74C4},236419.250197211,673073199.959071
181,TMA-CO-COF03000-020,Trickle OHV,020,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,67224.99085814,67224.99084209,{1F647E80-3709-4212-9D38-7D4F3CCE4931},266526.541889241,272049885.946548
182,TMA-CO-COF03000-022,Villa Grove,022,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,27903.38436551,27903.38608502,{4CA9B812-8EE7-4C2F-B755-CE7775AAADCD},249870.859118587,112920990.256637
183,TMA-CO-COF03000-016,SL Hills ACEC,016,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,25776.24709281,25776.24766757,{0282B0DF-544F-4621-B933-A5CF647ECEB5},117224.053934964,104312771.07438
184,TMA-CO-COF03000-004,Limekiln,004,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,25761.73370688,25761.73498332,{F6C4EEAF-5955-40CB-BBF0-AE66F036D2DA},131627.263650173,104254037.39609
185,TMA-CO-COF03000-002,Blanca WL ACEC,002,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,11542.54545274,11542.54545427,{694ABAC9-DFD8-4817-9E71-CDC9C537DAD6},91617.6625306504,46711024.2144492
186,TMA-CO-COF03000-023,Zapata SRMA,023,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,3156.15082854,3156.15082854,{9606E0D4-36B2-449A-BAAB-48F6D7D699C5},22881.3162186695,12772489.2485586
187,TMA-CO-COF03000-019,Tracy,019,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,35337.04667261,35337.04668001,{FB85C32D-1633-4F0A-A4A0-2CFA3A1F582E},172502.323094233,143003954.310652
188,TMA-CO-COF03000-007,Mogote ACEC,007,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,31541.45112535,31541.48387375,{F6513459-A9BC-4462-9BD6-CF324D56FBBE},74044.5550483903,127643723.949235
189,TMA-CO-COF03000-021,Upper Saguache,021,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,7767.41384201,7767.41385426,{463FF042-6979-4E08-A638-F336A0AB1CB1},58206.9462110214,31433608.5919164
190,TMA-CO-COF03000-017,SL Hills WSA,017,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,11101.60536943,11101.60535155,{1222969F-F1DD-48ED-B31B-8C2020FCF4F0},36738.2214715801,44926602.968057
191,TMA-CO-COF03000-001,Alamosa River,001,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,85158.91331108,85158.91333251,{9CC42953-D7E3-4AB1-8E62-6092BBE1D52D},386067.515360797,344625895.223808
192,TMA-CO-COF03000-011,Rio Grande Canal,011,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,7941.04356803,7941.04431864,{250EC24F-24F4-4C2E-9DEE-B4327F355D82},74507.7170976583,32136263.1746049
193,TMA-CO-COF03000-010,Rio Grande ACEC,010,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,5670.27547689,5670.27549068,{61E45F33-6113-4200-9AF4-6EC091FB4974},71902.2550137877,22946790.7350242
194,TMA-CO-COF03000-006,Mac Simpson,006,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,1576.01798202,1576.01798202,{53D99A78-7BAF-486E-832F-2C137C242C68},20201.4739352242,6377918.50670839
195,TMA-CO-COF03000-005,Low Saguache,005,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,32808.92341608,32808.92340648,{95FCA537-6289-4B3A-BCC4-658F0AFB1B63},136921.666394187,132773002.368661
196,TMA-CO-COF03000-014,San Luis Hills,014,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,44328.85050953,44329.95767656,{AC6D7A52-1342-49BE-90A9-0836925539D7},303689.810226367,179392493.459858
197,TMA-CO-COF03000-003,Elephant Rx ACEC,003,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,1876.21225975,1876.21221672,{DC78DA33-26B6-42D7-A591-74EC4F5B2DF5},18708.1230754277,7592761.62736773
198,TMA-CO-COF03000-012,RR Corridor ACEC,012,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,3996.21095022,3996.2109626,{EEB065D2-B694-424A-ACFE-9E6109B016ED},33590.6218915237,16172092.0126465
199,TMA-CO-COF03000-018,South Fork,018,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,5144.36451658,5144.36451448,{D853B0DB-EBB4-42CC-B4B9-07650DF57B15},86546.5722770592,20818504.5506862
200,TMA-CO-COF03000-013,San Luis Creek,013,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,35106.85530764,35106.85500998,{2A17A0C1-CF7A-461D-A529-37E43D0E2C1C},289224.883410991,142072403.129736
201,TMA-CO-COF03000-009,RaJadero ACEC,009,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,4497.99021039,4497.9902661,{35DF74D7-E89B-49C6-8D80-087B1DA39966},29804.2234361971,18202720.6023625
202,TMA-CO-COF03000-015,Sangre de Cristo,015,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,21122.04123772,21122.04123658,{0EC5C2D6-B15B-49F5-B2C0-E8785DF2EBFB},164870.846515626,85477868.1301225
203,TMA-CO-COF03000-008,Penitente SRMA,008,-1,CO,COF03000,SAN LUIS VALLEY FIELD OFFICE,9999/09/09 00:00:00+00,,,3659.73669544,3659.73669544,{C5CDE2E9-78A7-4B23-8208-70A9D154C857},28507.1503298162,14810428.8948887
581,TMA-CO-CON05000-003,3,003,-1,CO,CON05000, ,9999/09/09 00:00:00+00,,,422895.04026719,138514.712571,{1582B018-CB8A-4A8E-8DC4-4C7E58DFF135},319433.45675486,1711395509.84786
582,TMA-CO-CON05000-002,2,002,-1,CO,CON05000, ,9999/09/09 00:00:00+00,,,202050.25387598,456817.50133,{74010EF3-927A-4A94-B0A2-D323EA593B43},206583.907979349,817668367.821991
584,TMA-CO-CON05000-001,1,001,-1,CO,CON05000, ,9999/09/09 00:00:00+00,,,311764.82877721,493347.646934,{19C13113-EFD4-4750-8C31-67EFB8E4A6D9},353997.397776922,1261667499.61549
588,TMA-CO-CON05000-004,4,004,-1,CO,CON05000, ,9999/09/09 00:00:00+00,,,568374.34777694,54941.671868,{206E5C22-463E-4EEB-9F73-5D8EF298899E},286843.243517227,2300129379.57697
589,TMA-CO-CON05000-005,5,005,-1,CO,CON05000, ,9999/09/09 00:00:00+00,,,706294.88607226,306893.406962,{5A16901B-B78C-4E81-976A-AA8F034BE193},322741.840390568,2858274437.99287
590,TMA-CO-COS05000-005,Dry Creek G,005,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2007/03/07 00:00:00+00,DOI-BLM-CO-150-2008-33,2008/12/12 00:00:00+00,8694.23895271,8616.02581262,{82032B95-CEE1-45AC-BE11-05EF86F3DA88},38481.4928413605,35184212.5866581
591,TMA-CO-COS05000-009,Riverside Park,009,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2011/01/01 00:00:00+00,DOI-BLM-CO-S050-2011-0011 EA,2013/05/10 00:00:00+00,22.8948786,22.8637719,{3A56EFEE-9A04-45BD-9B8D-9A0CFEEBB058},1293.56385866886,92652.2854081491
592,TMA-CO-COS05000-004,Dry Creek F,004,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2007/03/07 00:00:00+00,DOI-BLM-CO-150-2008-33,2008/12/12 00:00:00+00,11843.5420111,11520.09338376,{FFFE7468-A7C9-47C3-A101-972297F3FC4E},63636.7158070669,47929114.1773857
593,TMA-CO-COS05000-002,Dry Creek E,002,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2007/03/07 00:00:00+00,DOI-BLM-CO-150-2008-33,2008/12/12 00:00:00+00,6869.59267709,6849.7878048,{6BD8032A-ECA2-4150-86B8-26830D26D9BE},33250.1069679126,27800255.3235036
594,TMA-CO-COS05000-001,Dry Creek A,001,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2007/03/07 00:00:00+00,DOI-BLM-CO-150-2008-33,2008/12/12 00:00:00+00,19448.56482621,18041.50972013,{DE50A407-9A7E-402D-BE2F-65F8D2E3E40C},60826.1535947016,78608198.8477901
595,TMA-CO-COS05000-003,Dry Creek D,003,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2007/03/07 00:00:00+00,DOI-BLM-CO-150-2008-33,2008/12/12 00:00:00+00,29640.06298564,28138.37216025,{D9AF959D-D852-44C3-97C2-ABF878DF7779},75411.4892592514,119949078.999934
596,TMA-CO-COS05000-006,Dry Creek C,006,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2007/03/07 00:00:00+00,DOI-BLM-CO-150-2008-33,2008/12/12 00:00:00+00,27833.01381406,26624.50699796,{FF380AC4-A3F0-4D50-ABB4-E738AC85E600},60199.2543728655,112636210.524942
597,TMA-CO-COS05000-008,Ridgway,008,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2011/01/01 00:00:00+00,DOI-BLM-CO-S050-2011-0011 EA,2013/05/10 00:00:00+00,1003.53557627,961.37691543,{1A375E16-79B9-4D0F-B200-E7A5EF0E64AD},19321.656862758,4061164.42750339
598,TMA-CO-COS05000-010,Dallas Gravel Pit,010,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2011/01/01 00:00:00+00,DOI-BLM-CO-S050-2011-0011 EA,2013/05/10 00:00:00+00,39.94894443,39.94894443,{FEF7D380-F696-4DF4-BB7A-19D27B9ADEED},1694.97484131862,161667.642335592
599,TMA-CO-COS05000-007,Dry Creek B,007,0,CO,COS05000,UNCOMPAHGRE FIELD OFFICE,2007/03/07 00:00:00+00,DOI-BLM-CO-150-2008-33,2008/12/12 00:00:00+00,10664.00815135,10662.9920221,{3A2535BC-454A-4100-8150-A545C352F542},35155.6348013584,43155691.0881529
600,TMA-CO-COSO8000-011,K,011,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{2366FC6B-942C-46D6-902C-D96D0D666D78},83485.1286233618,128924092.832305
601,TMS-CO-COSO8000-016,P,016,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{CF076034-E342-406D-95BE-87198CC17BA9},130859.465975772,272470615.72212
602,TMA-CO-COSO8100-007,Black Ridge Canyons West,007,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,53129.15830273,53129.15830273,{9EEAEB80-6987-4F28-B0C7-7E89EE9CE853},100834.315435066,215003813.024554
603,TMA-CO-COSO8100-003,Trail Through Time,003,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,651.72861667,651.72861667,{4CD392A0-C46A-454A-BDB4-3CC166377B3A},6450.18511095287,2637452.13804998
604,TMA-CO-COSO8000-014,N,014,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{3FACCF2A-1696-421E-9FDF-BE39663FD844},200694.422587909,887153569.707864
605,TMA-CO-COSO8000-022,V,022,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{B72971D0-CF8B-4F83-8B55-E94B73235141},119455.832520644,324710512.974543
606,TMA-CO-COSO8000-024,Grand Valley,24,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{D9917697-2FFD-4D5C-A25F-7D19504AAB68},223167.813832991,588901925.205335
607,TMA-CO-COSO8100-006,Colorado River,006,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,9916.90793292,9916.90793292,{D2B1FCC4-1C14-4939-99CA-CE15888A45A9},76599.4755921998,40131948.3092152
608,TMA-CO-COSO8000-003,C,003,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{D94B8756-13AA-48B8-B1D1-2ABDAEFB1E6C},80106.5130898643,147436712.034654
609,TMA-CO-COSO8100-004,The High North,004,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,9366.41294692,9366.41294692,{860573E0-73B4-4D9B-AE13-1BD99BA4AFEC},35785.8164700784,37898180.0455278
610,TMA-CO-COSO8000-017,P,017,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{3490CECE-95A5-4AF7-BA96-2C4356D31ACA},217283.893241399,982477840.400864
611,TMA-CO-COSO8000-015,0,015,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{ED0B036B-0A34-4420-9976-522EBDB85C79},145586.291210067,456133291.035884
612,TMA-CO-COSO8000-021,U,021,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{8A8FE363-E616-4678-9921-208A4E9D70E5},121672.439059292,269935869.853418
613,TMA-CO-COSO8000-013,M,013,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{9AEA3AE6-CE0D-477B-A1FF-4CFD2959F338},108529.31687065,185613024.604888
614,TMA-CO-COSO8100-002,Rabbit Valley Motorized Area,002,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,8644.60775538,8644.60775538,{A964FDB6-7D48-4D3E-B19A-E336A33A42FF},44217.348715326,34982407.2755496
615,TMA-CO-COSO8000-012,L,012,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{E1FB6255-9C43-45E8-AEA6-15144D4E3295},100443.211196673,164322034.256267
616,TMA-CO-COSO8000-010,J,010,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{52D113DA-4C61-4C44-92B7-C5438ACEC79B},115138.538500976,151022849.248721
617,TMA-CO-COSO8100-001,Rabbits Ear/Wildhorse Mesa/McDonald Creek,001,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,7723.81790892,7723.81790892,{8A3999D8-78F7-4483-8C24-F9387F1415C9},37532.5997891393,31257182.1154339
618,TMA-CO-COSO8000-001,A,001,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{146A1653-B63C-4E01-88D2-B2DAB311C43B},83611.298613876,147588923.283617
619,TMA-CO-COSO8000-008,H,008,-1,CO,COG01000,Grand Junction Field Office,2008/10/15 00:00:00+00,BLM/CO/PL-15/016,2015/08/10 00:00:00+00,22668,22712,{E4C38960-FCDF-431D-A4C3-6853FD1D2AF3},145645.191207904,267909539.13085
620,TMA-CO-COSO8100-008,Black Ridge Canyons East,008,-1,CO,COG01200,MCINNIS CANYONS NCA,9999/09/09 00:00:00+00,,2004/10/28 00:00:00+00,14132.09174924,14132.09174924,{328AC6BF-9FBF-4297-B06A-1AC5F5D9B4EA},45934.7458363535,57156320.0374308
