X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,RecordStatus,LeaseNum,GeneralLocation,LeaseorPermit,TypeofLease,LeaseStartDate,LeaseExpirationDate,SLCApprovalDate,MinuteItem,Improvements,Latitude,Longitude
-13617887.5237,4599636.3265,15,{F8BF6B06-B9A4-47A0-933A-00FC26E73476},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,838,"South Slough near Dutchman Slough, about one mile west of Napa River",General Lease,Right of Way Use,09/21/1953,09/20/2002,10/27/1953,31,,38.1429270000,-122.3315650000
-13131093.9584,4352711.8743,16,{C2BE417F-AC5C-48FD-9EF4-00FE9713B5D5},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9085,dry lake bed of Owens Lake,General Lease,Public Agency Use,08/23/2013,08/22/2033,06/21/2018,C62,,36.3776590000,-117.9586240000
-13546483.6401,4601137.4966,17,{29E107F1-74B3-486B-8F8E-0106648ADB4E},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9226,"Sacramento River, adjacent to 85 Edgewater Drive, near the city of Rio Vista",General Lease,Recreational and Protective Structure Use,06/29/2015,06/28/2025,06/29/2015,47,,38.1535320000,-121.6901330000
-13615145.6134,4609059.7314,18,{DB4B2AF8-B6A2-400D-AF7C-010ECD0FB863},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,1918,"Napa River at Dutton's Landing, north of Southern Pacific Railroad crossing near Brazos",General Lease,Right of Way Use,04/19/1957,,06/13/1957,26,,38.2094730000,-122.3069340000
-13536154.3046,4594456.877,19,{C7694D25-4577-4E30-8196-011DDE87F1BA},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7699,"San Joaquin River, adjacent to 822 West Brannan Island Road, on Andrus Island, near Isleton",General Lease,Commercial Use,07/19/2016,07/18/2036,04/20/2017,C27,,38.1063250000,-121.5973430000
-13350814.0316,4417392.1599,20,{7D6A429B-5FA5-4996-BB56-012DD0492CE6},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9058,"crossing the San Joaquin River, near the unincorporated community of Herndon, Madera and Fresno Counties",General Lease,Public Agency Use,04/26/2013,04/25/2038,04/05/2016,39,,36.8440540000,-119.9324030000
-13526814.2653,4615313.1915,21,{CDFD90EC-9218-4F28-9E9F-013893DB432C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8766,"Sacramento River, adjacent to 13830 State Highway 160, near Walnut Grove",General Lease,Recreational Use,10/30/2017,10/29/2027,02/27/2018,C50,,38.2536000000,-121.5134400000
-13568159.4374,4590866.0972,22,{2B2A6796-0918-4338-9667-013E2F3F7464},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8275,"Sacramento River and Montezuma Slough, Collinsville",General Lease,Industrial Use,10/05/2001,12/31/2030,02/05/2001,73,,38.0809390000,-121.8848500000
-13531018.0233,4664800.2651,23,{C77EA38E-E795-4666-9FE8-0157B92CA44D},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7027,"Sacramento River, adjacent to 2261 Garden Highway, near Sacramento",General Lease,Recreational and Protective Structure Use,06/01/2018,05/31/2028,08/23/2018,C46,,38.6018560000,-121.5512030000
-13390402.5821,4768107.6113,24,{EFC14F98-3B37-46E6-A2DB-01701976643F},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7901,"Donner Lake, adjacent to 15825 Donner Pass Road, near Truckee",General Lease,Recreational Use,04/26/2022,04/25/2032,04/26/2022,07,,39.3234370000,-120.2880330000
-13137499.9498,3984166.4653,25,{B362DF61-5426-4407-8B9F-0177FDB1C10D},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,1343,"Huntington Beach Oil Field, Well Standard HD-PE 1, 3, 6, 8, 9 and 10",Mineral Resource Lease,Oil & Gas Lease,03/01/1954,,04/27/1954,4,,33.6669330000,-118.0161700000
-13202370.8264,4034078.3967,26,{88627391-D6C1-4FDB-9E13-018AED29B103},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,402/ 31-33,Pacific Ocean at Las Tunas Beach,General Lease,Protective Structure Use,11/22/1932,,,,,34.0392860000,-118.5989150000
-13331901.852,4082267.3281,27,{C3E5789B-14FF-400B-8592-018C8A9EDD58},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5308,"Pacific Ocean, Santa Barbara Channel near Goleta",General Lease,Public Agency Use,05/01/1977,04/30/2026,06/30/1977,2,,34.3972410000,-119.7625120000
-13605777.299,4931766.3253,28,{05B609B7-8634-4186-BBFB-018D8D6CED60},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7404,Sacramento River,General Lease,Public Agency Use,01/01/1990,12/31/2039,06/11/1990,15,,40.4514640000,-122.2227770000
-13587492.0707,4837801.9496,29,{A5DE21D3-B6E0-4D8E-BAF8-0191517CF409},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6725,"Sacramento River, adjacent to 26160 Walch Avenue, near the city of Orland",General Lease,Protective Structure Use,07/01/2009,06/30/2029,06/21/2013,10,,39.8060780000,-122.0585180000
-13055011.0939,3894399.2883,30,{E251243A-835A-4BC3-892A-01984BA73B8A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8187,"Pacific Ocean, adjacent to 225 Pacific Avenue, Solana Beach",General Lease,Protective Structure Use,06/01/2020,05/31/2030,06/23/2022,38,,32.9931840000,-117.2751600000
-13640119.3619,4571294.3157,31,{57EB2975-777C-45F7-9052-019D2369AAAD},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9480,"Corte Madera Creek, adjacent to 27 Boardwalk One, Larkspur",General Lease,Residential and Recreational Use,08/23/2018,08/22/2038,08/23/2018,C51,,37.9424160000,-122.5312770000
-13540178.3928,4676938.5157,32,{386261DC-6AA8-421A-836B-019EAB8DF9AA},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8936,"Sacramento River, adjacent to 6575 Garden Highway, near Sacramento",General Lease,Recreational and Protective Structure Use,02/25/2022,02/24/2032,02/25/2022,26,,38.6870200000,-121.6334920000
-13592610.3183,4503007.5712,33,{E075A701-A992-4201-951B-01AF0E519F9C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7578,City of Palo Alto,General Lease,Public Agency Use,04/01/1992,10/31/2048,09/23/1991,36,,37.4570570000,-122.1044960000
-12776331.4316,3948100.0104,34,{35EDC247-CDF4-4C6F-AB97-01BD22DCF548},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,551,"Section 16, T9S R21E and T12S R20E",General Lease,Public Agency Use,05/24/1951,,05/24/1951,16,,33.3968620000,-114.7717380000
-13471886.1116,4524058.1384,35,{7ED56DCA-D5BD-416A-A8CD-01C9AE24769F},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4074,Tuolumne River near Modesto,General Lease,Public Agency Use,07/01/2022,06/30/2042,12/09/2022,30,,37.6070160000,-121.0200120000
-13562470.9001,4710767.0253,36,{D729DF72-C304-498F-9F7D-01D0E1F93C98},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8046,"Sacramento River, 7 miles downstream of the Tisdale Bypass, near Robbins",General Lease,Right of Way Use,10/15/2018,10/14/2038,04/05/2019,C07,,38.9238320000,-121.8337490000
-13371370.9567,4726009.4214,37,{2E6FCDF3-05E5-4FB5-B75D-01E3151346CF},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7827,"Lake Tahoe, adjacent to 8365 Meeks Bay Avenue, near Meeks Bay",General Lease,Recreational Use,04/29/2020,04/28/2030,04/29/2020,14,,39.0302770000,-120.1170690000
-13606699.0244,4891846.649,38,{25EFCFA3-D9EC-4F48-8315-01F03FEB06B2},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,472,"Sacramento River near Red Bluff, State Route 3",Permit,Streets and Highways  - DOT Code 101.5,10/15/1937,,11/21/1949,23,,40.1780280000,-122.2310570000
-12905368.4212,3928141.0188,39,{2FDC71C0-BC3E-4820-8D5B-02053CF52853},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7428,"4.41 acres, more or less, of State-owned indemnity land within Sections 4 and 10, 
Township 11 South, Range 10 East, SBM, west of the Salton Sea",General Lease,Right of Way Use,08/01/2020,07/31/2040,06/29/2021,43,,33.2470440000,-115.9308970000
-13509052.684,4627337.4668,40,{61ED8636-951C-42A0-BC26-022F88AD4778},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8497,"Cosumnes River, near Rancho Seco",General Lease,Public Agency Use,12/09/2003,12/08/2028,12/09/2003,8,,38.3383730000,-121.3538850000
-13539049.8359,4602902.6592,41,{61E29AEB-DA2D-49DC-9CEE-022FC8539195},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7769,"Sacramento River, at Long Island, adjacent to 17412 Grand Island Road, near Isleton",General Lease,Recreational and Protective Structure Use,06/28/2019,06/27/2029,04/29/2020,35,,38.1660000000,-121.6233540000
-13601388.7507,4586232.855,42,{6317A7EB-DF91-4B4F-9DD9-0236F99A3ACE},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5947,Carquinez Strait at Port Costa,General Lease,Public Agency Use,03/01/1981,02/28/2030,01/26/1981,3,,38.0481700000,-122.1833540000
-13527095.1244,4660470.0506,43,{6330939F-D30A-4A69-8743-02569F7D6779},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,2923,"Sacramento River, city of Sacramento; W-X Freeway bridge",Permit,Streets and Highways  - DOT Code 101.5,09/05/1962,,08/28/1962,3,,38.5714500000,-121.5159630000
-12747961.7707,3982856.5592,44,{C5E9D81C-A969-4C1E-883F-025D89170ED2},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7025,"Colorado River at 6th Avenue, north of Blythe on three parcels of land:  an island parcel, a land parcel and a water parcel",General Lease,Public Agency Use,03/03/1987,03/02/2036,11/20/1986,31,,33.6571390000,-114.5168890000
-12813010.9812,4122280.6398,45,{CD69F518-D0DC-44E6-86CB-0280F1DCA4AD},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8255,"State school land on four parcels in portions of Section 16, T9N R21E; Section 36, T9N R20E; Section 16, T8N R20E; and Section 16, T7N R18E, SBM, near the city of Twentynine Palms",General Lease,Right of Way Use,09/19/2015,09/18/2040,04/05/2016,50,,34.6933080000,-115.1012360000
-13553227.5975,4582298.8648,46,{50045AA8-15DB-44B7-ADB1-0281DFC5EB59},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,463,"San Joaquin River, near the city of Antioch, river mile 7.6",General Lease,Public Agency Use,07/17/2004,07/16/2029,12/09/2004,15,,38.0203350000,-121.7507150000
-13139472.8651,4371177.9066,47,{178FEA01-8F94-4B52-8D43-02922135B3B3},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,738,"Owens Lake, W1/2 of Section 26, T16S R36E, MDM",Permit,Streets and Highways  - DOT Code 101.5,10/01/1952,,08/21/1952,5,,36.5111010000,-118.0338930000
-13359794.9541,4754102.3523,48,{455047E2-37A3-4FA5-9992-02CA6757771E},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7928,"Lake Tahoe, adjacent to 9720 Brockway Springs Drive, near Kings Beach",General Lease,Recreational Use,01/01/2017,12/31/2026,10/13/2016,7,,39.2260440000,-120.0130800000
-13584946.0827,4613175.7017,49,{8CCDB298-861B-4C24-967C-02D5C2EC2945},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7846,at the intersection of Suisun Channel and Suisun Slough,General Lease,Public Agency Use,07/01/1995,06/30/2025,04/06/1994,37,,38.2385200000,-122.0356470000
-13817024.2892,4940355.9277,50,{505FD692-E9E0-4C30-A67A-02D60B0BD21A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3992,"Eel River, northwest of Rio Dell in T2N R1E and T2N R1W, HBM",Permit,Streets and Highways  - DOT Code 101.5,06/26/1969,,07/17/1968,8,,40.5101550000,-124.1204410000
-13570412.2099,4587749.328,51,{0B340FDF-A94D-4AB6-9CC4-02E6FF4FF290},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4938,"Spoonbill Slough, at Van Sickle Island, adjacent to 801 Van Sickle Road, near the city of Pittsburg",General Lease,Recreational Use,09/09/2013,09/08/2023,10/14/2014,4,,38.0588970000,-121.9050870000
-13363678.7798,4887405.3193,52,{2AD2676D-EC89-453B-B0C7-02FF441DBD3C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7823,eight parcels of lieu lands in northeastern California,General Lease,Right of Way Use,06/01/1995,05/31/2044,05/03/1995,15,,40.1475380000,-120.0479690000
-13337095.9081,4350694.5212,53,{8BCDE183-7135-4184-A3DF-0319285EBCF3},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4987,"Kings River, adjacent to Route 41, Section 16, T18S R20E, MDM, approximately four miles north of Lemoore",General Lease,Right of Way Use,02/01/1975,,02/27/1975,4,,36.3630670000,-119.8091710000
-13365441.6353,4755558.8735,54,{F6E0506F-E5D6-4254-9931-0322CCA9AEAF},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8509,"Lake Tahoe, adjacent to 184 Rim Drive, near Tahoe Vista",General Lease,Recreational Use,04/01/2016,03/31/2026,10/22/2020,01,,39.2361790000,-120.0638050000
-13375607.8878,4732948.5122,55,{06F6F9D0-DA29-4FA2-B0B5-032B8812177D},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8252,"Lake Tahoe, adjacent to 5560 West Lake Boulevard, near Homewood",General Lease,Recreational Use,12/17/2020,12/16/2030,12/17/2020,04,,39.0786830000,-120.1551300000
-13527522.7026,4664947.695,56,{76B0F6D8-3969-46E2-8006-0343022BE362},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7967,"Sacramento River, city of West Sacramento, approximately 4,200 linear feet with varying widths from 10 to 150 feet",General Lease,Recreational and Protective Structure Use,06/26/2006,06/25/2031,06/21/2013,23,,38.6028910000,-121.5198040000
-12864686.7133,3941681.6479,57,{5F50F9C1-DC0A-4B7B-9E1C-03573E3EA2F3},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,173/ 21-4,"Section 36, T9S R13E",General Lease,Right of Way Use,09/19/1939,,,,,33.3487120000,-115.5654470000
-12749986.3383,3970550.265,58,{DA6F706C-40E1-4D3E-AADD-035B09232DF9},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7191,"in the Goose Flats and Big Hole areas adjacent to Colorado River, near Blythe",General Lease,Public Agency Use,05/01/2018,04/30/2028,02/28/2020,39,,33.5650720000,-114.5350760000
-13649409.6413,4710978.9401,59,{6A694DEC-4825-4950-BD13-0363C0334B34},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7761,"Cache Creek at Lower Lake, Clear Lake along Highway 53 between Highway 29/53 Junction and Post Mile 3.5",General Lease,Public Agency Use,04/06/1994,,04/06/1994,27,,38.9253130000,-122.6147330000
-13616043.6277,4564469.7063,60,{DC98BAC8-BE8F-490B-A4B5-0377FA354D7A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6343,Albany Landfill,General Lease,Public Agency Use,10/19/1983,10/18/2032,10/28/1982,23,,37.8940520000,-122.3150010000
-13531788.9107,4665893.0062,61,{FEA748CB-88F5-4492-9BF0-0384CF427A84},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,5178,"Sacramento River, adjacent to 2517 Garden Highway, Sacramento",General Lease,Recreational Use,06/29/2021,06/28/2026,06/29/2021,26,,38.6095270000,-121.5581280000
-13532131.6635,4667928.0867,62,{6ED22773-238A-40F5-BE0D-03917F402826},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,6883,"Sacramento River, adjacent to 3077 Garden Highway, near Sacramento",General Lease,Recreational and Protective Structure Use,02/04/2019,02/03/2029,02/04/2019,C52,,38.6238110000,-121.5612070000
-13361632.7276,4849268.7756,63,{69A44F4C-6914-4718-A2F5-03942FC8B2A6},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,7458,"State-owned school land in a portion of Section 36, T24N R17E, MDM, near the town of Doyle",General Lease,Right of Way Use,09/27/2015,09/26/2040,08/20/2020,51,,39.8851650000,-120.0295890000
-13637554.6721,4522643.3706,64,{8D4257C7-0915-4FED-962D-0396BA4CFED6},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,1602,Linda Mar 7 Tract 681 in San Pedro Valley,General Lease,Right of Way Use,12/21/1955,,04/12/1956,47,,37.5969470000,-122.5082380000
-13144369.3642,3992132.2314,65,{C455E740-4E56-48E6-B238-03A5BF2D251C},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,9212,"Huntington Harbour channel between the Pacific Coast Highway Bridge and Warner Avenue, city of Huntington Beach",General Lease,Dredging,04/23/2015,04/22/2025,04/23/2015,86,,33.7264680000,-118.0778790000
-12907778.3769,4271709.1432,66,{90CDB4C1-F0AF-4793-8FCD-03C388CF380D},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,4629,"two parcels of State-owned school land within a portion of Section 36, T20N R8E, SBM, San Bernardino and Inyo counties, and a portion of Section 36, T20N R9E, SBM, southeast of Tecopa, San Bernardino County",General Lease,Right of Way Use,08/25/2016,08/24/2024,12/06/2019,40,,35.7896000000,-115.9525460000
-13582469.3353,4773765.3948,67,{93DC99BC-1962-462F-96EC-03CB3EC0E5E8},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8443,"Sacramento River, east of the town of Delevan",General Lease,Right of Way Use,02/21/2003,02/20/2023,02/27/2018,C33,,39.3627430000,-122.0133980000
-13055113.7305,3894891.4356,68,{B7399AC9-BF47-4FA9-8D0E-03DB6511D705},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8821,"in the Pacific Ocean, below 407 Pacific Avenue, city of Solana Beach",General Lease,Protective Structure Use,04/09/2019,04/08/2029,02/04/2019,C61,,32.9968920000,-117.2760820000
-13132019.0233,3979703.8464,69,{AB87EB2E-7B04-4E24-AB3D-03DD8501B908},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8787,"Pacific Ocean, offshore of Huntington State Beach and within the Talbert Ocean Outlet Channel, Huntington Beach",General Lease,Other,06/24/2008,06/23/2023,06/24/2008,44,,33.6335620000,-117.9669340000
-13540442.3314,4773069.6956,70,{701E24D4-9F1C-4C60-AB2E-03E49E9A2095},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,8889,"Feather River, adjacent to 1098 East Gridley Road, near the city of Gridley",General Lease,Public Agency Use,08/20/2010,08/19/2035,08/20/2010,19,,39.3579110000,-121.6358630000
-13534146.2123,4622155.2905,71,{CE3F3E55-7076-485B-B464-03E85B18F91A},2023/08/16 09:03:28+00,CA_State_Lands_Commission,2023/08/16 09:03:28+00,CA_State_Lands_Commission,Active,3885,"Steamboat Slough, adjacent to 12530 Grand Island Road, near Walnut Grove",General Lease,Commercial Use,02/03/2006,02/02/2026,02/28/2023,58,,38.3018500000,-121.5793040000
