year,month,quarter,mktcarrier,mktcarrierairlineid,mktcarriername,mktuniquecarrier,mktuniquecarriername,opcarrier,opcarrierairlineid,opcarriername,opuniquecarrier,opuniquecarriername,paxalttrans,paxnoalttrans,paxnocomp_one,paxnocomp_two,paxnocomp_three,totdenboarding,paxcomp_one,paxcomp_two,paxupgrade,paxdowngrade,totboarding,comppaid_one,comppaid_two,comppaid_three,codeshare,opcarriersource
2012,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,123,0,27,97,247,123,1465,19.0,4.0,3910885,0.0,207684.0,0,False,AS
2012,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,166,0,22,88,276,166,1281,33.0,0.0,4478826,0.0,176453.0,0,False,AS
2012,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,154,0,31,98,283,154,1365,20.0,7.0,4767167,0.0,246478.0,0,False,AS
2012,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,145,0,44,108,297,145,1162,19.0,11.0,4218458,0.0,236196.0,0,False,AS
2013,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,124,0,15,51,190,124,1155,11.0,21.0,4203186,0.0,131215.0,0,False,AS
2013,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,104,0,13,35,152,104,877,71.0,3.0,4780086,0.0,119054.0,0,False,AS
2013,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,137,0,14,94,245,137,1048,99.0,6.0,5098158,0.0,242031.0,0,False,AS
2013,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,72,0,15,40,127,72,754,82.0,5.0,4436523,0.0,111570.0,0,False,AS
2014,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,129,0,31,88,248,129,1026,16.0,3.0,4384631,0.0,255647.0,0,False,AS
2014,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,61,0,31,104,196,61,1027,27.0,3.0,4999049,0.0,129113.0,0,False,AS
2014,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,115,0,48,120,283,115,1305,31.0,13.0,5517702,0.0,227526.0,0,False,AS
2014,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,81,0,14,42,137,81,818,13.0,4.0,4937496,0.0,138500.0,0,False,AS
2015,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,156,0,20,43,219,156,1737,9.0,8.0,4975547,0.0,251037.0,0,False,AS
2015,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,122,0,34,35,191,122,1315,30.0,9.0,5624304,0.0,208708.0,0,False,AS
2015,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,106,0,15,50,171,106,1267,20.0,8.0,6064451,0.0,180715.0,0,False,AS
2015,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,106,0,15,38,159,106,1093,23.0,1.0,5430824,0.0,176107.0,0,False,AS
2016,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,196,0,20,68,284,196,1982,39.0,24.0,5344476,0.0,256714.0,0,False,AS
2016,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,176,0,27,62,265,176,1597,44.0,23.0,6059214,0.0,297984.0,0,False,AS
2016,9,3,,19931.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,140,0,4,41,185,140,1627,62.0,8.0,6321507,0.0,228906.0,0,,
2016,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,102,0,16,79,197,102,1600,37.0,170.0,5665703,0.0,202080.0,0,False,AS
2017,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,173,0,24,9,206,173,1981,24.0,29.0,5595050,0.0,321346.0,0,False,AS
2017,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,194,0,68,14,276,194,2680,48.0,52.0,6520730,0.0,338203.0,0,False,AS
2017,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,122,0,45,9,176,122,1761,35.0,31.0,6702144,0.0,203774.0,0,False,AS
2017,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,94,0,22,15,131,94,1552,44.0,22.0,6103747,0.0,202047.0,0,False,AS
2018,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,99,0,17,4,120,99,1206,6.0,28.0,5844254,0.0,179492.0,0,False,AS
2018,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,271,0,89,1,361,271,1170,149.0,2.0,2426932,0.0,91986.0,0,True,AS
2018,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,237,0,87,2,326,237,2795,76.0,60.0,8923390,0.0,459474.0,0,False,AS
2018,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,133,0,2,3,138,133,649,124.0,0.0,2593412,0.0,117688.0,0,True,AS
2018,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,121,0,65,6,192,121,2494,88.0,33.0,9274760,0.0,262356.0,0,False,AS
2018,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,54,0,0,1,55,54,631,57.0,2.0,2565369,0.0,56839.0,0,True,AS
2018,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,56,0,42,7,105,56,2226,76.0,55.0,8260367,0.0,189554.0,0,False,AS
2019,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,107,0,44,7,158,107,2498,98.0,27.0,7612627,0.0,265456.0,0,False,AS
2019,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,107,0,36,12,155,107,3188,375.0,24.0,9035684,0.0,249430.0,0,False,AS
2019,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,65,0,16,11,92,65,2730,212.0,21.0,9563449,0.0,160741.0,0,False,AS
2019,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,60,0,36,12,108,60,3147,78.0,35.0,8547197,0.0,138826.0,0,False,AS
2020,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,24,0,3,3,30,24,1515,75.0,14.0,6420719,0.0,40080.0,0,False,AS
2020,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,0,0,0,0,0,0,43,0.0,1.0,916543,0.0,0.0,0,False,AS
2020,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,0,0,0,0,0,0,0,0.0,1.0,2110763,0.0,0.0,0,False,AS
2020,12,4,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,0,0,0,0,0,0,0,0.0,13.0,2247354,0.0,0.0,0,False,AS
2021,3,1,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,1,0,1,0,2,1,117,,,3007066,,,0,False,AS
2021,6,2,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,16,0,17,0,33,16,915,,,5911527,,,3092,False,AS
2021,9,3,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,AS,19930.0,Alaska Airlines Inc.,AS,Alaska Airlines Inc.,0,17,0,15,0,32,17,1059,,,6891202,,,350,False,AS
2018,3,1,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,58,0,58,0,0,0.0,0.0,3306693,0.0,0.0,0,False,G4
2018,6,2,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,216,0.0,0.0,3729600,0.0,0.0,0,False,G4
2018,9,3,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,10,68,78,0,141,0.0,0.0,3529711,0.0,0.0,0,False,G4
2018,12,4,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,1,65,66,0,46,0.0,0.0,3263797,0.0,0.0,0,False,G4
2019,3,1,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,434,76,510,0,34,0.0,0.0,3473390,0.0,0.0,0,False,G4
2019,6,2,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,123,0,123,0,25,0.0,0.0,4198976,0.0,0.0,0,False,G4
2019,9,3,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,2,0,2,0,135,0.0,0.0,3836145,0.0,0.0,0,False,G4
2019,12,4,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,2,0,2,0,347,0.0,0.0,3613426,0.0,0.0,0,False,G4
2020,3,1,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,272,0.0,0.0,3197140,0.0,0.0,0,False,G4
2020,6,2,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,15,0.0,0.0,1296542,0.0,0.0,0,False,G4
2020,9,3,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,11,0.0,0.0,2036795,0.0,0.0,0,False,G4
2020,12,4,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,6,0.0,0.0,2180397,0.0,0.0,0,False,G4
2021,3,1,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,3,,,2322946,,,0,False,G4
2021,6,2,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,203,,,3699217,,,0,False,G4
2021,9,3,G4,20368.0,Allegiant Air,G4,Allegiant Air,G4,20368.0,Allegiant Air,G4,Allegiant Air,0,0,0,0,0,0,0,519,,,3872651,,,0,False,G4
2011,3,1,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,866,623,4,659,43,2191,2148,11820,845.0,225.0,17751646,301872.0,291542.0,0,False,AA
2011,6,2,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,760,340,10,504,56,1660,1604,15587,1369.0,269.0,19650620,249274.0,156420.0,0,False,AA
2011,9,3,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,515,671,0,445,46,1677,1631,18097,1803.0,172.0,19890022,176168.0,436629.0,0,False,AA
2011,12,4,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,305,746,0,353,54,1458,1404,17326,1197.0,225.0,18720802,176354.0,821921.0,0,False,AA
2012,3,1,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,221,899,0,328,30,1478,1448,14589,1142.0,210.0,18320011,168607.0,916149.0,0,False,AA
2012,6,2,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,210,904,0,169,66,1349,1283,15263,1475.0,131.0,19749730,83042.0,847781.0,800,False,AA
2012,9,3,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,180,860,0,269,46,1355,1309,16131,1301.0,131.0,19277469,96083.0,897626.0,0,False,AA
2012,12,4,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,114,853,0,394,28,1389,1361,14442,968.0,237.0,18536509,51087.0,866451.0,0,False,AA
2013,3,1,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,126,678,0,182,39,1025,986,12822,1078.0,223.0,18267561,49157.0,638099.0,0,False,AA
2013,6,2,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,60,482,0,68,37,647,610,13609,1046.0,171.0,19581262,23711.0,429465.0,200,False,AA
2013,9,3,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,76,644,0,138,26,884,858,13511,1084.0,148.0,19549221,20593.0,651312.0,0,False,AA
2013,12,4,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,88,423,0,136,30,677,647,12864,819.0,117.0,18664581,42098.0,463467.0,0,False,AA
2014,3,1,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,150,939,0,147,28,1264,1236,9975,580.0,175.0,18416989,33809.0,947498.0,0,False,AA
2014,6,2,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,90,467,0,98,41,696,655,9014,500.0,177.0,19957730,23297.0,481266.0,0,False,AA
2014,9,3,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,84,328,0,80,16,508,492,7614,472.0,131.0,19864969,32408.0,320855.0,0,False,AA
2014,12,4,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,58,426,0,201,35,720,685,8549,390.0,205.0,18826185,27820.0,467943.0,0,False,AA
2015,3,1,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,148,852,0,409,22,1431,1409,9928,520.0,234.0,18101123,55269.0,929513.0,2000,False,AA
2015,6,2,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,AA,19805.0,American Airlines Inc.,AA,American Airlines Inc.,88,569,0,360,72,1089,1017,11703,656.0,202.0,20066407,59692.0,579938.0,0,False,AA
