Unit,Inci_no,Disp_date,Disp_time,Notif_date,Notif_time,Roll_date,Roll_time,Arv_date,Arv_time,City,Fdid,Final_nature,Dispatch_Datetime,Notification_Datetime,Roll_Datetime,Arrival_Datetime,ObjectId
E275,18000392,2018/01/01 05:54:04+00,2020/01/03 05:54:04+00,2018/01/01 05:54:42+00,2020/01/03 05:54:42+00,2018-01-01T05:55:26Z,22:55:26,2018/01/01 05:59:36+00,2020/01/03 05:59:36+00,TEMPE,8293,ILLA,2018/01/01 12:54:00+00,2018/01/01 12:54:00+00,1/1/2018 5:55,2018/01/01 12:59:00+00,11
E274,18000527,2018/01/01 08:40:04+00,2020/01/02 08:40:04+00,2018/01/01 08:40:54+00,2020/01/02 08:40:54+00,2018-01-01T08:41:16Z,1:41:16,2018/01/01 08:46:20+00,2020/01/02 08:46:20+00,TEMPE,8293,DB,2018/01/01 15:40:00+00,2018/01/01 15:40:00+00,1/1/2018 8:41,2018/01/01 15:46:00+00,12
E278,18000582,2018/01/01 09:38:29+00,2020/01/02 09:38:29+00,2018/01/01 09:39:15+00,2020/01/02 09:39:15+00,2018-01-01T09:39:43Z,2:39:43,2018/01/01 09:43:43+00,2020/01/02 09:43:43+00,TEMPE,8293,DB,2018/01/01 16:38:00+00,2018/01/01 16:39:00+00,1/1/2018 9:39,2018/01/01 16:43:00+00,13
E271,18000630,2018/01/01 10:12:44+00,2020/01/02 10:12:44+00,2018/01/01 10:13:42+00,2020/01/02 10:13:42+00,2018-01-01T10:14:05Z,3:14:05,2018/01/01 10:17:23+00,2020/01/02 10:17:23+00,TEMPE,8293,UNC,2018/01/01 17:12:00+00,2018/01/01 17:13:00+00,1/1/2018 10:14,2018/01/01 17:17:00+00,14
E278,18000635,2018/01/01 10:18:34+00,2020/01/02 10:18:34+00,2018/01/01 10:19:21+00,2020/01/02 10:19:21+00,2018-01-01T10:19:50Z,3:19:50,2018/01/01 10:23:42+00,2020/01/02 10:23:42+00,TEMPE,8293,DB,2018/01/01 17:18:00+00,2018/01/01 17:19:00+00,1/1/2018 10:19,2018/01/01 17:23:00+00,15
E272,18000696,2018/01/01 11:09:40+00,2020/01/02 11:09:40+00,2018/01/01 11:10:39+00,2020/01/02 11:10:39+00,2018-01-01T11:11:05Z,4:11:05,2018/01/01 11:15:22+00,2020/01/02 11:15:22+00,TEMPE,8293,ILLA,2018/01/01 18:09:00+00,2018/01/01 18:10:00+00,1/1/2018 11:11,2018/01/01 18:15:00+00,16
E274,18000707,2018/01/01 11:22:02+00,2020/01/02 11:22:02+00,2018/01/01 11:22:42+00,2020/01/02 11:22:42+00,2018-01-01T11:23:12Z,4:23:12,2018/01/01 11:26:52+00,2020/01/02 11:26:52+00,TEMPE,8293,ALOC,2018/01/01 18:22:00+00,2018/01/01 18:22:00+00,1/1/2018 11:23,2018/01/01 18:26:00+00,17
E273,18000726,2018/01/01 11:38:37+00,2020/01/02 11:38:37+00,2018/01/01 11:39:18+00,2020/01/02 11:39:18+00,2018-01-01T11:39:58Z,4:39:58,2018/01/01 11:45:13+00,2020/01/02 11:45:13+00,TEMPE,8293,ILLA,2018/01/01 18:38:00+00,2018/01/01 18:39:00+00,1/1/2018 11:39,2018/01/01 18:45:00+00,18
E275,18000744,2018/01/01 11:53:48+00,2020/01/02 11:53:48+00,2018/01/01 11:54:38+00,2020/01/02 11:54:38+00,2018-01-01T11:55:31Z,4:55:31,2018/01/01 11:57:57+00,2020/01/02 11:57:57+00,TEMPE,8293,CVA,2018/01/01 18:53:00+00,2018/01/01 18:54:00+00,1/1/2018 11:55,2018/01/01 18:57:00+00,19
LT273,18000871,2018/01/01 13:33:54+00,2020/01/02 13:33:54+00,2018/01/01 13:40:05+00,2020/01/02 13:40:05+00,2018-01-01T13:40:11Z,6:40:11,2018/01/01 13:40:16+00,2020/01/02 13:40:16+00,TEMPE,8293,FALLA,2018/01/01 20:33:00+00,2018/01/01 20:40:00+00,1/1/2018 13:40,2018/01/01 20:40:00+00,20
E272,18000981,2018/01/01 15:14:43+00,2020/01/02 15:14:43+00,2018/01/01 15:15:29+00,2020/01/02 15:15:29+00,2018-01-01T15:16:09Z,8:16:09,2018/01/01 15:20:07+00,2020/01/02 15:20:07+00,TEMPE,8293,ALOC,2018/01/01 22:14:00+00,2018/01/01 22:15:00+00,1/1/2018 15:16,2018/01/01 22:20:00+00,21
E276,18001007,2018/01/01 15:36:45+00,2020/01/02 15:36:45+00,2018/01/01 15:37:27+00,2020/01/02 15:37:27+00,2018-01-01T15:37:39Z,8:37:39,2018/01/01 15:39:22+00,2020/01/02 15:39:22+00,TEMPE,8293,ALOC,2018/01/01 22:36:00+00,2018/01/01 22:37:00+00,1/1/2018 15:37,2018/01/01 22:39:00+00,22
LT276,18001096,2018/01/01 16:44:00+00,2020/01/02 16:44:00+00,2018/01/01 16:44:38+00,2020/01/02 16:44:38+00,2018-01-01T16:45:09Z,9:45:09,2018/01/01 16:47:47+00,2020/01/02 16:47:47+00,TEMPE,8293,CP,2018/01/01 23:44:00+00,2018/01/01 23:44:00+00,1/1/2018 16:45,2018/01/01 23:47:00+00,23
E274,18001146,2018/01/01 17:30:01+00,2020/01/02 17:30:01+00,2018/01/01 17:31:17+00,2020/01/02 17:31:17+00,2018-01-01T17:31:48Z,10:31:48,2018/01/01 17:35:30+00,2020/01/02 17:35:30+00,TEMPE,8293,ILLA,2018/01/02 00:30:00+00,2018/01/02 00:31:00+00,1/1/2018 17:31,2018/01/02 00:35:00+00,24
E278,18001208,2018/01/01 18:22:40+00,2020/01/02 18:22:40+00,2018/01/01 18:23:09+00,2020/01/02 18:23:09+00,2018-01-01T18:23:37Z,11:23:37,2018/01/01 18:27:13+00,2020/01/02 18:27:13+00,TEMPE,8293,ALOC,2018/01/02 01:22:00+00,2018/01/02 01:23:00+00,1/1/2018 18:23,2018/01/02 01:27:00+00,25
E277,18001217,2018/01/01 18:29:56+00,2020/01/02 18:29:56+00,2018/01/01 18:30:30+00,2020/01/02 18:30:30+00,2018-01-01T18:30:38Z,11:30:38,2018/01/01 18:35:36+00,2020/01/02 18:35:36+00,TEMPE,8293,ALOC,2018/01/02 01:29:00+00,2018/01/02 01:30:00+00,1/1/2018 18:30,2018/01/02 01:35:00+00,26
E271,18001256,2018/01/01 19:02:05+00,2020/01/02 19:02:05+00,2018/01/01 19:03:13+00,2020/01/02 19:03:13+00,2018-01-01T19:03:22Z,12:03:22,2018/01/01 19:05:12+00,2020/01/02 19:05:12+00,TEMPE,8293,ILLA,2018/01/02 02:02:00+00,2018/01/02 02:03:00+00,1/1/2018 19:03,2018/01/02 02:05:00+00,27
LT276,18001380,2018/01/01 20:45:18+00,2020/01/02 20:45:18+00,2018/01/01 20:46:11+00,2020/01/02 20:46:11+00,2018-01-01T20:46:42Z,13:46:42,2018/01/01 20:52:24+00,2020/01/02 20:52:24+00,TEMPE,8293,DIAB,2018/01/02 03:45:00+00,2018/01/02 03:46:00+00,1/1/2018 20:46,2018/01/02 03:52:00+00,28
E273,18001429,2018/01/01 21:26:03+00,2020/01/02 21:26:03+00,2018/01/01 21:26:58+00,2020/01/02 21:26:58+00,2018-01-01T21:27:36Z,14:27:36,2018/01/01 21:31:09+00,2020/01/02 21:31:09+00,TEMPE,8293,DB,2018/01/02 04:26:00+00,2018/01/02 04:26:00+00,1/1/2018 21:27,2018/01/02 04:31:00+00,29
E275,18001446,2018/01/01 21:37:01+00,2020/01/02 21:37:01+00,2018/01/01 21:38:20+00,2020/01/02 21:38:20+00,2018-01-01T21:39:17Z,14:39:17,2018/01/01 21:43:18+00,2020/01/02 21:43:18+00,TEMPE,8293,OD,2018/01/02 04:37:00+00,2018/01/02 04:38:00+00,1/1/2018 21:39,2018/01/02 04:43:00+00,30
E272,18001566,2018/01/02 00:10:04+00,2020/01/03 00:10:04+00,2018/01/02 00:10:50+00,2020/01/03 00:10:50+00,2018-01-02T00:11:45Z,17:11:45,2018/01/02 00:15:09+00,2020/01/03 00:15:09+00,TEMPE,8293,ALOC,2018/01/02 07:10:00+00,2018/01/02 07:10:00+00,1/2/2018 0:11,2018/01/02 07:15:00+00,31
E273,18001756,2018/01/02 05:56:07+00,2020/01/03 05:56:07+00,2018/01/02 05:57:21+00,2020/01/03 05:57:21+00,2018-01-02T05:58:19Z,22:58:19,2018/01/02 06:02:54+00,2020/01/03 06:02:54+00,TEMPE,8293,DB,2018/01/02 12:56:00+00,2018/01/02 12:57:00+00,1/2/2018 5:58,2018/01/02 13:02:00+00,32
LT273,18001868,2018/01/02 08:20:52+00,2020/01/02 08:20:52+00,2018/01/02 08:21:26+00,2020/01/02 08:21:26+00,2018-01-02T08:21:56Z,1:21:56,2018/01/02 08:24:34+00,2020/01/02 08:24:34+00,TEMPE,8293,INTB,2018/01/02 15:20:00+00,2018/01/02 15:21:00+00,1/2/2018 8:21,2018/01/02 15:24:00+00,33
E278,18001909,2018/01/02 08:55:24+00,2020/01/02 08:55:24+00,2018/01/02 08:56:04+00,2020/01/02 08:56:04+00,2018-01-02T08:56:10Z,1:56:10,2018/01/02 08:59:46+00,2020/01/02 08:59:46+00,TEMPE,8293,ILLA,2018/01/02 15:55:00+00,2018/01/02 15:56:00+00,1/2/2018 8:56,2018/01/02 15:59:00+00,34
E271,18001973,2018/01/02 09:42:41+00,2020/01/02 09:42:41+00,2018/01/02 09:43:56+00,2020/01/02 09:43:56+00,2018-01-02T09:44:20Z,2:44:20,2018/01/02 09:48:44+00,2020/01/02 09:48:44+00,TEMPE,8293,ABDA,2018/01/02 16:42:00+00,2018/01/02 16:43:00+00,1/2/2018 9:44,2018/01/02 16:48:00+00,35
E277,18001979,2018/01/02 09:44:37+00,2020/01/02 09:44:37+00,2018/01/02 09:45:15+00,2020/01/02 09:45:15+00,2018-01-02T09:45:45Z,2:45:45,2018/01/02 09:49:55+00,2020/01/02 09:49:55+00,TEMPE,8293,ILLA,2018/01/02 16:44:00+00,2018/01/02 16:45:00+00,1/2/2018 9:45,2018/01/02 16:49:00+00,36
E273,18002103,2018/01/02 11:11:34+00,2020/01/02 11:11:34+00,2018/01/02 11:11:43+00,2020/01/02 11:11:43+00,2018-01-02T11:12:15Z,4:12:15,2018/01/02 11:14:06+00,2020/01/02 11:14:06+00,TEMPE,8293,UNC,2018/01/02 18:11:00+00,2018/01/02 18:11:00+00,1/2/2018 11:12,2018/01/02 18:14:00+00,37
E272,18002215,2018/01/02 12:40:02+00,2020/01/02 12:40:02+00,2018/01/02 12:40:48+00,2020/01/02 12:40:48+00,2018-01-02T12:41:08Z,5:41:08,2018/01/02 12:46:11+00,2020/01/02 12:46:11+00,TEMPE,8293,ALOC,2018/01/02 19:40:00+00,2018/01/02 19:40:00+00,1/2/2018 12:41,2018/01/02 19:46:00+00,38
E275,18002223,2018/01/02 12:45:24+00,2020/01/02 12:45:24+00,2018/01/02 12:46:03+00,2020/01/02 12:46:03+00,2018-01-02T12:46:15Z,5:46:15,2018/01/02 12:48:11+00,2020/01/02 12:48:11+00,TEMPE,8293,ILLA,2018/01/02 19:45:00+00,2018/01/02 19:46:00+00,1/2/2018 12:46,2018/01/02 19:48:00+00,39
E274,18002324,2018/01/02 13:46:55+00,2020/01/02 13:46:55+00,2018/01/02 13:47:20+00,2020/01/02 13:47:20+00,2018-01-02T13:47:40Z,6:47:40,2018/01/02 13:51:59+00,2020/01/02 13:51:59+00,TEMPE,8293,DB,2018/01/02 20:46:00+00,2018/01/02 20:47:00+00,1/2/2018 13:47,2018/01/02 20:51:00+00,40
E277,18002419,2018/01/02 14:55:54+00,2020/01/02 14:55:54+00,2018/01/02 14:56:25+00,2020/01/02 14:56:25+00,2018-01-02T14:56:45Z,7:56:45,2018/01/02 14:59:40+00,2020/01/02 14:59:40+00,TEMPE,8293,UNC,2018/01/02 21:55:00+00,2018/01/02 21:56:00+00,1/2/2018 14:56,2018/01/02 21:59:00+00,41
E271,18002436,2018/01/02 15:02:54+00,2020/01/02 15:02:54+00,2018/01/02 15:03:33+00,2020/01/02 15:03:33+00,2018-01-02T15:04:01Z,8:04:01,2018/01/02 15:10:45+00,2020/01/02 15:10:45+00,TEMPE,8293,DIAB,2018/01/02 22:02:00+00,2018/01/02 22:03:00+00,1/2/2018 15:04,2018/01/02 22:10:00+00,42
E272,18002455,2018/01/02 15:21:43+00,2020/01/02 15:21:43+00,2018/01/02 15:22:31+00,2020/01/02 15:22:31+00,2018-01-02T15:22:36Z,8:22:36,2018/01/02 15:26:14+00,2020/01/02 15:26:14+00,TEMPE,8293,DB,2018/01/02 22:21:00+00,2018/01/02 22:22:00+00,1/2/2018 15:22,2018/01/02 22:26:00+00,43
LT276,18002458,2018/01/02 15:21:39+00,2020/01/02 15:21:39+00,2018/01/02 15:23:08+00,2020/01/02 15:23:08+00,2018-01-02T15:23:11Z,8:23:11,2018/01/02 15:27:21+00,2020/01/02 15:27:21+00,TEMPE,8293,ILLA,2018/01/02 22:21:00+00,2018/01/02 22:23:00+00,1/2/2018 15:23,2018/01/02 22:27:00+00,44
E278,18002492,2018/01/02 15:43:58+00,2020/01/02 15:43:58+00,2018/01/02 15:44:59+00,2020/01/02 15:44:59+00,2018-01-02T15:45:37Z,8:45:37,2018/01/02 15:49:44+00,2020/01/02 15:49:44+00,TEMPE,8293,DB,2018/01/02 22:43:00+00,2018/01/02 22:44:00+00,1/2/2018 15:45,2018/01/02 22:49:00+00,45
E277,18002712,2018/01/02 18:30:25+00,2020/01/02 18:30:25+00,2018/01/02 18:31:02+00,2020/01/02 18:31:02+00,2018-01-02T18:31:36Z,11:31:36,2018/01/02 18:33:57+00,2020/01/02 18:33:57+00,TEMPE,8293,UNC,2018/01/03 01:30:00+00,2018/01/03 01:31:00+00,1/2/2018 18:31,2018/01/03 01:33:00+00,46
E274,18002761,2018/01/02 18:59:32+00,2020/01/02 18:59:32+00,2018/01/02 19:00:07+00,2020/01/02 19:00:07+00,2018-01-02T19:00:29Z,12:00:29,2018/01/02 19:04:38+00,2020/01/02 19:04:38+00,TEMPE,8293,DB,2018/01/03 01:59:00+00,2018/01/03 02:00:00+00,1/2/2018 19:00,2018/01/03 02:04:00+00,47
E272,18002778,2018/01/02 19:07:26+00,2020/01/02 19:07:26+00,2018/01/02 19:08:31+00,2020/01/02 19:08:31+00,2018-01-02T19:08:55Z,12:08:55,2018/01/02 19:12:21+00,2020/01/02 19:12:21+00,TEMPE,8293,DB,2018/01/03 02:07:00+00,2018/01/03 02:08:00+00,1/2/2018 19:08,2018/01/03 02:12:00+00,48
E271,18002810,2018/01/02 19:41:19+00,2020/01/02 19:41:19+00,2018/01/02 19:41:42+00,2020/01/02 19:41:42+00,2018-01-02T19:42:03Z,12:42:03,2018/01/02 19:45:29+00,2020/01/02 19:45:29+00,TEMPE,8293,ALOC,2018/01/03 02:41:00+00,2018/01/03 02:41:00+00,1/2/2018 19:42,2018/01/03 02:45:00+00,49
E272,18002817,2018/01/02 19:48:20+00,2020/01/02 19:48:20+00,2018/01/02 19:48:46+00,2020/01/02 19:48:46+00,2018-01-02T19:49:10Z,12:49:10,2018/01/02 19:52:44+00,2020/01/02 19:52:44+00,TEMPE,8293,FALLA,2018/01/03 02:48:00+00,2018/01/03 02:48:00+00,1/2/2018 19:49,2018/01/03 02:52:00+00,50
LT276,18015505,2018/01/11 17:35:32+00,2020/01/02 17:35:32+00,2018/01/11 17:36:31+00,2020/01/02 17:36:31+00,2018-01-11T17:36:57Z,10:36:57,2018/01/11 17:42:21+00,2020/01/02 17:42:21+00,TEMPE,8293,ALLRG,2018/01/12 00:35:00+00,2018/01/12 00:36:00+00,1/11/2018 17:36,2018/01/12 00:42:00+00,51
E276,18015533,2018/01/11 17:57:11+00,2020/01/02 17:57:11+00,2018/01/11 17:58:42+00,2020/01/02 17:58:42+00,2018-01-11T17:59:05Z,10:59:05,2018/01/11 18:02:52+00,2020/01/02 18:02:52+00,TEMPE,8293,SEIZA,2018/01/12 00:57:00+00,2018/01/12 00:58:00+00,1/11/2018 17:59,2018/01/12 01:02:00+00,52
E276,18015634,2018/01/11 19:18:59+00,2020/01/02 19:18:59+00,2018/01/11 19:19:35+00,2020/01/02 19:19:35+00,2018-01-11T19:19:58Z,12:19:58,2018/01/11 19:23:58+00,2020/01/02 19:23:58+00,TEMPE,8293,DB,2018/01/12 02:18:00+00,2018/01/12 02:19:00+00,1/11/2018 19:19,2018/01/12 02:23:00+00,53
E278,18015779,2018/01/11 21:35:18+00,2020/01/02 21:35:18+00,2018/01/11 21:35:49+00,2020/01/02 21:35:49+00,2018-01-11T21:36:31Z,14:36:31,2018/01/11 21:38:48+00,2020/01/02 21:38:48+00,TEMPE,8293,ALOC,2018/01/12 04:35:00+00,2018/01/12 04:35:00+00,1/11/2018 21:36,2018/01/12 04:38:00+00,54
LT276,18015784,2018/01/11 21:37:30+00,2020/01/02 21:37:30+00,2018/01/11 21:38:16+00,2020/01/02 21:38:16+00,2018-01-11T21:38:49Z,14:38:49,2018/01/11 21:43:45+00,2020/01/02 21:43:45+00,TEMPE,8293,ALOC,2018/01/12 04:37:00+00,2018/01/12 04:38:00+00,1/11/2018 21:38,2018/01/12 04:43:00+00,55
E277,18015859,2018/01/11 22:56:05+00,2020/01/02 22:56:05+00,2018/01/11 22:57:26+00,2020/01/02 22:57:26+00,2018-01-11T22:58:11Z,15:58:11,2018/01/11 23:02:00+00,2020/01/02 23:02:00+00,TEMPE,8293,ABDA,2018/01/12 05:56:00+00,2018/01/12 05:57:00+00,1/11/2018 22:58,2018/01/12 06:02:00+00,56
LT273,18015924,2018/01/12 00:44:20+00,2020/01/03 00:44:20+00,2018/01/12 00:44:46+00,2020/01/03 00:44:46+00,2018-01-12T00:45:59Z,17:45:59,2018/01/12 00:48:21+00,2020/01/03 00:48:21+00,TEMPE,8293,CP,2018/01/12 07:44:00+00,2018/01/12 07:44:00+00,1/12/2018 0:45,2018/01/12 07:48:00+00,57
LT276,18015927,2018/01/12 00:50:08+00,2020/01/03 00:50:08+00,2018/01/12 00:50:48+00,2020/01/03 00:50:48+00,2018-01-12T00:51:44Z,17:51:44,2018/01/12 00:56:26+00,2020/01/03 00:56:26+00,TEMPE,8293,OD,2018/01/12 07:50:00+00,2018/01/12 07:50:00+00,1/12/2018 0:51,2018/01/12 07:56:00+00,58
E275,18015945,2018/01/12 01:16:24+00,2020/01/03 01:16:24+00,2018/01/12 01:17:56+00,2020/01/03 01:17:56+00,2018-01-12T01:19:01Z,18:19:01,2018/01/12 01:24:41+00,2020/01/03 01:24:41+00,TEMPE,8293,OD,2018/01/12 08:16:00+00,2018/01/12 08:17:00+00,1/12/2018 1:19,2018/01/12 08:24:00+00,59
E272,18015949,2018/01/12 01:23:03+00,2020/01/03 01:23:03+00,2018/01/12 01:23:34+00,2020/01/03 01:23:34+00,2018-01-12T01:24:31Z,18:24:31,2018/01/12 01:30:51+00,2020/01/03 01:30:51+00,TEMPE,8293,CP,2018/01/12 08:23:00+00,2018/01/12 08:23:00+00,1/12/2018 1:24,2018/01/12 08:30:00+00,60
E273,18015957,2018/01/12 01:35:11+00,2020/01/03 01:35:11+00,2018/01/12 01:36:13+00,2020/01/03 01:36:13+00,2018-01-12T01:37:14Z,18:37:14,2018/01/12 01:41:43+00,2020/01/03 01:41:43+00,TEMPE,8293,DB,2018/01/12 08:35:00+00,2018/01/12 08:36:00+00,1/12/2018 1:37,2018/01/12 08:41:00+00,61
E276,18015967,2018/01/12 02:03:27+00,2020/01/03 02:03:27+00,2018/01/12 02:04:54+00,2020/01/03 02:04:54+00,2018-01-12T02:05:54Z,19:05:54,2018/01/12 02:08:43+00,2020/01/03 02:08:43+00,TEMPE,8293,ALOC,2018/01/12 09:03:00+00,2018/01/12 09:04:00+00,1/12/2018 2:05,2018/01/12 09:08:00+00,62
LT273,18016012,2018/01/12 04:15:29+00,2020/01/03 04:15:29+00,2018/01/12 04:16:07+00,2020/01/03 04:16:07+00,2018-01-12T04:17:46Z,21:17:46,2018/01/12 04:22:11+00,2020/01/03 04:22:11+00,TEMPE,8293,CP,2018/01/12 11:15:00+00,2018/01/12 11:16:00+00,1/12/2018 4:17,2018/01/12 11:22:00+00,63
E274,18016118,2018/01/12 07:25:03+00,2020/01/02 07:25:03+00,2018/01/12 07:25:34+00,2020/01/02 07:25:34+00,2018-01-12T07:26:18Z,0:26:18,2018/01/12 07:33:16+00,2020/01/02 07:33:16+00,TEMPE,8293,962A,2018/01/12 14:25:00+00,2018/01/12 14:25:00+00,1/12/2018 7:26,2018/01/12 14:33:00+00,64
E272,18016173,2018/01/12 08:06:29+00,2020/01/02 08:06:29+00,2018/01/12 08:06:51+00,2020/01/02 08:06:51+00,2018-01-12T08:07:15Z,1:07:15,2018/01/12 08:10:04+00,2020/01/02 08:10:04+00,TEMPE,8293,ALOC,2018/01/12 15:06:00+00,2018/01/12 15:06:00+00,1/12/2018 8:07,2018/01/12 15:10:00+00,65
E278,18016327,2018/01/12 10:09:11+00,2020/01/02 10:09:11+00,2018/01/12 10:10:14+00,2020/01/02 10:10:14+00,2018-01-12T10:10:41Z,3:10:41,2018/01/12 10:15:00+00,2020/01/02 10:15:00+00,TEMPE,8293,INTB,2018/01/12 17:09:00+00,2018/01/12 17:10:00+00,1/12/2018 10:10,2018/01/12 17:15:00+00,66
LT273,18016328,2018/01/12 10:09:31+00,2020/01/02 10:09:31+00,2018/01/12 10:10:28+00,2020/01/02 10:10:28+00,2018-01-12T10:11:36Z,3:11:36,2018/01/12 10:13:54+00,2020/01/02 10:13:54+00,TEMPE,8293,DB,2018/01/12 17:09:00+00,2018/01/12 17:10:00+00,1/12/2018 10:11,2018/01/12 17:13:00+00,67
LT276,18016341,2018/01/12 10:19:35+00,2020/01/02 10:19:35+00,2018/01/12 10:20:22+00,2020/01/02 10:20:22+00,2018-01-12T10:20:49Z,3:20:49,2018/01/12 10:23:27+00,2020/01/02 10:23:27+00,TEMPE,8293,UNC,2018/01/12 17:19:00+00,2018/01/12 17:20:00+00,1/12/2018 10:20,2018/01/12 17:23:00+00,68
E274,18016351,2018/01/12 10:28:28+00,2020/01/02 10:28:28+00,2018/01/12 10:29:00+00,2020/01/02 10:29:00+00,2018-01-12T10:29:19Z,3:29:19,2018/01/12 10:32:13+00,2020/01/02 10:32:13+00,TEMPE,8293,DB,2018/01/12 17:28:00+00,2018/01/12 17:29:00+00,1/12/2018 10:29,2018/01/12 17:32:00+00,69
BC271,18016359,2018/01/12 10:36:34+00,2020/01/02 10:36:34+00,2018/01/12 10:37:05+00,2020/01/02 10:37:05+00,2018-01-12T10:37:21Z,3:37:21,2018/01/12 10:40:25+00,2020/01/02 10:40:25+00,TEMPE,8293,CODE,2018/01/12 17:36:00+00,2018/01/12 17:37:00+00,1/12/2018 10:37,2018/01/12 17:40:00+00,70
E277,18016598,2018/01/12 13:20:49+00,2020/01/02 13:20:49+00,2018/01/12 13:21:48+00,2020/01/02 13:21:48+00,2018-01-12T13:22:13Z,6:22:13,2018/01/12 13:26:06+00,2020/01/02 13:26:06+00,TEMPE,8293,ILLA,2018/01/12 20:20:00+00,2018/01/12 20:21:00+00,1/12/2018 13:22,2018/01/12 20:26:00+00,71
LT273,18016872,2018/01/12 16:43:16+00,2020/01/02 16:43:16+00,2018/01/12 16:43:51+00,2020/01/02 16:43:51+00,2018-01-12T16:44:53Z,9:44:53,2018/01/12 16:47:57+00,2020/01/02 16:47:57+00,TEMPE,8293,CVA,2018/01/12 23:43:00+00,2018/01/12 23:43:00+00,1/12/2018 16:44,2018/01/12 23:47:00+00,72
