3974.personpremise,TELEEPRFORMANCE,TELEPERFORMANCE
3442.activity_type_desc,eFIELD,FIELD
1688.personpremise,ST JAMES CHmURCH,ST JAMES CHURCH
2412.activity_type_desc,FIEDL,FIELD
2038.address_one,4520 POLAR LEVEL RD,4520 POPLAR LEVEL RD
3654.activity_type_desc,nFIELD,FIELD
3277.activity_date,020/08/05 03:59:59+00,2020/08/05 03:59:59+00
1822.personpremise,EXTENDjED STAY AMERICA,EXTENDED STAY AMERICA
745.request_date,202/05/08 03:59:59+00,2020/05/08 03:59:59+00
1070.address_one,9429 VIKING CNTER DR,9429 VIKING CENTER DR
2604.address_one,301 S 18H ST,301 S 18TH ST
859.address_one,4734u ROCKFORD PLAZA,4734 ROCKFORD PLAZA
2559.address_one,100 BRECKINRIDGE LN,1001 BRECKINRIDGE LN
3896.activity_date,2020/10/22 0:59:59+00,2020/10/22 03:59:59+00
2122.activity_type_desc,FELD,FIELD
981.address_one,11909 DIXkIE HWY,11909 DIXIE HWY
132.activity_date,2020/04/10 03:59:5+900,2020/04/10 03:59:59+00
4090.address_one,520 N 22ND TS,520 N 22ND ST
4054.request_date,2020/c12/02 05:00:00+00,2020/12/02 05:00:00+00
4428.activity_date,2021/02/080 5:00:00+00,2021/02/08 05:00:00+00
3620.address_one,19 1OUTER LOOP,191 OUTER LOOP
432.address_one,413 E MUHAMMAD ALI BVD,413 E MUHAMMAD ALI BLVD
3605.personpremise,MPELLIZZERI'S,IMPELLIZZERI'S
839.personpremise,MBY DICK,MOBY DICK
2125.request_date,2020/11/12 0500:00+00,2020/11/12 05:00:00+00
1438.personpremise,RALYL'S,RALLY'S
1538.personpremise,bGE APPLIANCES,GE APPLIANCES
119.personpremise,MARTINI ITALAIN BISTRO,MARTINI ITALIAN BISTRO
3631.address_one,12430 SHEeLBYVILLE RD,12430 SHELBYVILLE RD
1823.activity_type_desc,FoIELD,FIELD
2214.request_date,2020/09/14 035:9:59+00,2020/09/14 03:59:59+00
1823.activity_date,2020/07/29 03:v59:59+00,2020/07/29 03:59:59+00
63.address_one,0602 SHELBYVILLE RD,10602 SHELBYVILLE RD
2919.personpremise,HIDEOUT jPIZZARIA,HIDEOUT PIZZARIA
3961.request_date,2020/11/18 05:00:00+00***,2020/11/18 05:00:00+00
2128.request_date,2020/11/18 05:00:0000,2020/11/18 05:00:00+00
3665.activity_date,2020/07/29 03:59:59+v00,2020/07/29 03:59:59+00
4716.personpremise,DENYN'S,DENNY'S
1635.activity_date,2020/07/2203:59:59+00,2020/07/22 03:59:59+00
4310.address_one,2020 BAHFORD MANOR LN,2020 BASHFORD MANOR LN
2340.activity_date,2020/08/31 03:59:59+0,2020/08/31 03:59:59+00
2562.address_one,4014 TAYOLR BLVD,4014 TAYLOR BLVD
4387.address_one,5442 DL MARIA WAY,5442 DEL MARIA WAY
108.request_date,2020/05/18 03:59:59+0t0,2020/05/18 03:59:59+00
3247.request_date,2020/07/27 0:359:59+00,2020/07/27 03:59:59+00
3396.personpremise,SHHAEEN'S,SHAHEEN'S
995.activity_type_desc,FsIELD,FIELD
4587.request_date,2021/05/11 03:59:5900,2021/05/11 03:59:59+00
4671.address_one,4601A OUTER LOvOP,4601A OUTER LOOP
4477.request_date,2021/01/05v 05:00:00+00,2021/01/05 05:00:00+00
482.activity_date,200/07/16 03:59:59+00,2020/07/16 03:59:59+00
3033.address_one,2029 TAYLORSVILLE RD,2209 TAYLORSVILLE RD
889.personpremise,MCDONAgLD'S,MCDONALD'S
2387.personpremise,GREEN DISTRICT SALAvDS,GREEN DISTRICT SALADS
1507.activity_type_desc,FILD,FIELD
1653.activity_type_desc,FEILD,FIELD
917.request_date,2020/07/40 03:59:59+00,2020/07/04 03:59:59+00
2388.address_one,301 CLAREDON AVE,2301 CLAREDON AVE
1485.personpremise,hMARYHURST SCHOOL,MARYHURST SCHOOL
4519.activity_type_desc,FIELuD,FIELD
4382.address_one,4700 UQINN DR,4700 QUINN DR
2643.personpremise,SIGNATURE HEALTHCARE TA ROCKFORD,SIGNATURE HEALTHCARE AT ROCKFORD
706.activity_type_desc,FILED,FIELD
2546.personpremise,SOUTHEASERN FREIGHT,SOUTHEASTERN FREIGHT
4537.request_date,0221/02/15 05:00:00+00,2021/02/15 05:00:00+00
2583.address_one,4628 DIXIEHWY,4628 DIXIE HWY
2159.request_date,20201/1/03 05:00:00+00,2020/11/03 05:00:00+00
3449.request_date,2020/80/12 03:59:59+00,2020/08/12 03:59:59+00
3276.activity_type_desc,FIEDL,FIELD
1238.activity_type_desc,xFIELD,FIELD
3140.request_date,2020/07/24 0v3:59:59+00,2020/07/24 03:59:59+00
3702.personpremise,WALMATR #5297,WALMART #5297
2855.address_one,11900 WESTPORT RnD,11900 WESTPORT RD
2552.activity_type_desc,FIEDL,FIELD
1944.activity_type_desc,FIEqLD,FIELD
1126.request_date,2020/07/13 03:9:59+00,2020/07/13 03:59:59+00
288.activity_type_desc,IELD,FIELD
1283.address_one,4i601 OUTER LOOP,4601 OUTER LOOP
1826.address_one,48 N 28TH ST,438 N 28TH ST
3463.address_one,50h09 S 3RD ST,5009 S 3RD ST
3667.activity_date,20200/8/12 03:59:59+00,2020/08/12 03:59:59+00
1484.request_date,202004/30 03:59:59+00,2020/04/30 03:59:59+00
634.personpremise,CARDINALK EY MARKET,CARDINAL KEY MARKET
3002.activity_date,202r0/08/27 03:59:59+00,2020/08/27 03:59:59+00
2180.activity_date,20p20/12/08 05:00:00+00,2020/12/08 05:00:00+00
4050.personpremise,WALGREEN #15183,WALGREENS #15183
2537.address_one,7515 SEHLBYVILLE RD,7515 SHELBYVILLE RD
626.address_one,7611 DIIE HWY,7611 DIXIE HWY
3549.activity_type_desc,FIED,FIELD
3912.activity_date,2020/05/05 03:59:59+0d0,2020/05/05 03:59:59+00
1758.request_date,020/07/13 03:59:59+00,2020/07/13 03:59:59+00
3277.personpremise,WALMAT #1170,WALMART #1170
3056.request_date,2020/08/6 03:59:59+00,2020/08/06 03:59:59+00
4366.activity_date,2021/02/24 5:00:00+00,2021/02/24 05:00:00+00
3826.activity_type_desc,FIrELD,FIELD
3423.personpremise,MAKR'S FEED STORE,MARK'S FEED STORE
3494.address_one,5035 MUDLN,5035 MUD LN
335.activity_date,0220/04/08 03:59:59+00,2020/04/08 03:59:59+00
700.activity_type_desc,FIuELD,FIELD
2979.activity_type_desc,FItELD,FIELD
388.address_one,1871 BdERRY BLVD,1871 BERRY BLVD
1903.address_one,9204 TAYLORSVILEL RD,9204 TAYLORSVILLE RD
4541.activity_type_desc,FIEcLD,FIELD
3790.personpremise,LOUISVILLE MEMORIAL AUDITOfRIUM,LOUISVILLE MEMORIAL AUDITORIUM
3237.request_date,2020/07/25 30:59:59+00,2020/07/25 03:59:59+00
2425.personpremise,PIZZA HUT #03697k0,PIZZA HUT #036970
644.request_date,2020/07/27 03:59:5900,2020/07/27 03:59:59+00
604.activity_date,2020/05/09 03:95:59+00,2020/05/09 03:59:59+00
4015.activity_type_desc,FEILD,FIELD
3098.request_date,2020/09/03 03:e59:59+00,2020/09/03 03:59:59+00
625.activity_type_desc,FIExLD,FIELD
333.personpremise,oUNKNOWN,UNKNOWN
1464.request_date,2020/03v/25 03:59:59+00,2020/03/25 03:59:59+00
3857.personpremise,ERSIDENCE,RESIDENCE
2925.activity_date,2020/10/0y3 03:59:59+00,2020/10/03 03:59:59+00
2578.personpremise,L  &W SUPPLY,L & W SUPPLY
1280.personpremise,AmLDI #38,ALDI #38
1262.activity_date,2020/05/05 03:5:959+00,2020/05/05 03:59:59+00
3038.activity_date,2020/70/21 03:59:59+00,2020/07/21 03:59:59+00
4504.address_one,849z S 6TH ST,849 S 6TH ST
3149.address_one,700 S ENGISH STAThION RD,700 S ENGISH STATION RD
834.address_one,136 W MARKET zST,136 W MARKET ST
4171.activity_type_desc,FzIELD,FIELD
3889.request_date,2020/03/26 03:9:59+00,2020/03/26 03:59:59+00
529.request_date,2020/0/417 03:59:59+00,2020/04/17 03:59:59+00
2995.request_date,2020/08/120 3:59:59+00,2020/08/12 03:59:59+00
94.activity_date,2020/05/13 03:s59:59+00,2020/05/13 03:59:59+00
3673.request_date,2020/080/7 03:59:59+00,2020/08/07 03:59:59+00
1840.address_one,2354 GRINSTEcAD DR,2354 GRINSTEAD DR
218.address_one,4611 BEECHBROOK RD UIT 4,4611 BEECHBROOK RD UNIT 4
4273.activity_type_desc,FoIELD,FIELD
1582.address_one,969 BAXTR AVE,969 BAXTER AVE
3398.activity_date,2020/08/z06 03:59:59+00,2020/08/06 03:59:59+00
1993.request_date,202o0/08/13 03:59:59+00,2020/08/13 03:59:59+00
4069.request_date,2020/12/03 05:0000+00,2020/12/03 05:00:00+00
4175.request_date,202/004/13 03:59:59+00,2020/04/13 03:59:59+00
26.activity_date,20200/4/26 03:59:59+00,2020/04/26 03:59:59+00
4217.personpremise,CRICKET WIRELESS AUTHORIZED RETAIELR,CRICKET WIRELESS AUTHORIZED RETAILER
2497.activity_date,220/07/25 03:59:59+00,2020/07/25 03:59:59+00
1145.activity_type_desc,FELD,FIELD
283.activity_type_desc,yFIELD,FIELD
2375.activity_date,20n20/08/14 03:59:59+00,2020/08/14 03:59:59+00
1006.activity_type_desc,FIEDL,FIELD
270.activity_date,2020/05/1503:59:59+00,2020/05/15 03:59:59+00
4564.activity_date,2020/1/230 05:00:00+00,2020/12/30 05:00:00+00
3761.address_one,432 EJEFFERSON ST,432 E JEFFERSON ST
2057.personpremise,SPEEDWAY #964b5,SPEEDWAY #9645
873.activity_date,2020/05/02 03:59:5+900,2020/05/02 03:59:59+00
2180.request_date,2020/12/0 05:00:00+00,2020/12/08 05:00:00+00
1804.address_one,1400 HEMLOC ST,1400 HEMLOCK ST
39.address_one,704d0 INTERNATIONAL DR,7040 INTERNATIONAL DR
1080.request_date,2020/07/22 03:59:59+0p0,2020/07/22 03:59:59+00
482.address_one,1820 BLANKENBAKER PKYW,1820 BLANKENBAKER PKWY
4608.activity_date,2020/07/24 03:59:59+x00,2020/07/24 03:59:59+00
2131.personpremise,STONY nBROOK CHILD CARE,STONY BROOK CHILD CARE
3588.personpremise,HRADEE'S,HARDEE'S
1067.personpremise,MARTIN FOX AND ASSOCIATSE,MARTIN FOX AND ASSOCIATES
4404.personpremise,KROeGER L-753,KROGER L-753
475.request_date,2020/06/10h 03:59:59+00,2020/06/10 03:59:59+00
2114.request_date,2020/10/20 03:5959+00,2020/10/20 03:59:59+00
74.activity_type_desc,FIEDL,FIELD
3984.request_date,2020/11/18 0:00:00+00,2020/11/18 05:00:00+00
240.address_one,964 BRECKERIDGE LN,964 BRECKENRIDGE LN
2647.activity_type_desc,IELD,FIELD
2296.request_date,2020/11/10 05:00:00+00***,2020/11/10 05:00:00+00
3001.address_one,3517 CANE URN RD,3517 CANE RUN RD
3338.address_one,407d CHARLESTOWN CT,407 CHARLESTOWN CT
76.activity_date,2020/04/13 03:59:9+00,2020/04/13 03:59:59+00
3919.request_date,2020/05/2 03:59:59+00,2020/05/12 03:59:59+00
110.request_date,2020/06/01 03:59:59+00***,2020/06/01 03:59:59+00
309.address_one,9012 TAYLORVILLE RD,9012 TAYLORSVILLE RD
4212.personpremise,SOzNIC DRIVE-IN,SONIC DRIVE-IN
4472.address_one,5594 SHEPHERDSVgILLE RD,5594 SHEPHERDSVILLE RD
822.address_one,1302 DXIIE HWY,1302 DIXIE HWY
1035.personpremise,AFMILY DOLLAR #22087,FAMILY DOLLAR #22087
581.activity_date,2020/04/30 03:9:59+00,2020/04/30 03:59:59+00
3286.activity_date,2020/09/17 03:95:59+00,2020/09/17 03:59:59+00
367.request_date,202/004/16 03:59:59+00,2020/04/16 03:59:59+00
449.request_date,2020/04/08 0i3:59:59+00,2020/04/08 03:59:59+00
2767.personpremise,SMOOTHIE KIGN,SMOOTHIE KING
2754.activity_type_desc,FELD,FIELD
3711.address_one,2601 VIGRINIA AVE,2601 VIRGINIA AVE
811.activity_date,2020/07/04 03:5:59+00,2020/07/04 03:59:59+00
720.activity_date,20r20/04/14 03:59:59+00,2020/04/14 03:59:59+00
3097.activity_type_desc,FIED,FIELD
2255.personpremise,wWALMART #4524,WALMART #4524
1940.personpremise,BRISTOL BLUFSF,BRISTOL BLUFFS
4367.activity_date,2021/05/12 0x3:59:59+00,2021/05/12 03:59:59+00
3973.request_date,2021/03/01 05t:00:00+00,2021/03/01 05:00:00+00
4222.activity_type_desc,FIEjLD,FIELD
745.activity_type_desc,FELD,FIELD
3381.activity_type_desc,FELD,FIELD
4480.activity_date,2020/1/19 05:00:00+00,2020/11/19 05:00:00+00
2999.activity_date,2020/08/27 03:59:s59+00,2020/08/27 03:59:59+00
4630.activity_type_desc,FIEDL,FIELD
1920.request_date,200/10/23 03:59:59+00,2020/10/23 03:59:59+00
637.request_date,2020/07/16 03:59:59+00***,2020/07/16 03:59:59+00
4262.activity_type_desc,FIEDL,FIELD
1173.activity_date,2020/05/01 30:59:59+00,2020/05/01 03:59:59+00
3002.request_date,2020/08/24 0:359:59+00,2020/08/24 03:59:59+00
2728.activity_type_desc,FIEDL,FIELD
4487.activity_date,202/10/14 03:59:59+00,2020/10/14 03:59:59+00
1711.activity_type_desc,FIED,FIELD
106.request_date,2020/05/14 03f:59:59+00,2020/05/14 03:59:59+00
4380.personpremise,aDAIRY QUEEN,DAIRY QUEEN
1637.personpremise,SUBAY,SUBWAY
2708.personpremise,MCALISTRE'S,MCALISTER'S
438.personpremise,FAMILY DOLLA R#30270,FAMILY DOLLAR #30270
3450.activity_type_desc,FIEDL,FIELD
1860.address_one,3325 BARDSTOWN RD STE f103,3325 BARDSTOWN RD STE 103
2496.address_one,613 RIVER RD,6313 RIVER RD
1732.personpremise,PCI PAC,PIC PAC
2167.activity_type_desc,aFIELD,FIELD
683.personpremise,DOLLRA GENERAL #538,DOLLAR GENERAL #538
1026.request_date,2020/05/04 03:59:95+00,2020/05/04 03:59:59+00
3046.activity_type_desc,FELD,FIELD
3197.personpremise,THIRD TREET GAS STATION,THIRD STREET GAS STATION
2672.request_date,020/08/18 03:59:59+00,2020/08/18 03:59:59+00
919.activity_type_desc,FIELrD,FIELD
808.address_one,605 LnYNDON LN,605 LYNDON LN
1932.activity_type_desc,FILED,FIELD
1798.personpremise,FIV POINTS FOOD MART,FIVE POINTS FOOD MART
1653.personpremise,PAiPA JOHN'S #25,PAPA JOHN'S #25
698.personpremise,RAyLLY'S,RALLY'S
2708.activity_type_desc,FILD,FIELD
2876.activity_type_desc,FELD,FIELD
3236.request_date,2020/01/30 03:59:59+00,2020/10/30 03:59:59+00
2333.address_one,12951 SHELBYVILLE RD  STE #11,12951 SHELBYVILLE RD  STE #101
332.address_one,521 INDUSTpRY RD,521 INDUSTRY RD
3807.activity_date,2020/08/12 03:59:9+00,2020/08/12 03:59:59+00
2938.address_one,036 BARDSTOWN RD,3036 BARDSTOWN RD
2480.request_date,2020/11/28 5:00:00+00,2020/11/28 05:00:00+00
1105.personpremise,SPEEDWAY 5043,SPEEDWAY #5043
2599.activity_type_desc,FpIELD,FIELD
4441.activity_date,2020/12/22 05:00:00+m00,2020/12/22 05:00:00+00
4281.activity_date,2020/11/91 05:00:00+00,2020/11/19 05:00:00+00
2219.personpremise,DAIR YQUEEN,DAIRY QUEEN
2391.activity_type_desc,FILED,FIELD
371.activity_type_desc,FELD,FIELD
1686.personpremise,UNKNOhWN,UNKNOWN
2777.activity_date,2020/09/01 03:59:95+00,2020/09/01 03:59:59+00
4084.personpremise,MERCATO IkTALIANO,MERCATO ITALIANO
3912.address_one,3i556 TAYLOR BLVD,3556 TAYLOR BLVD
1738.activity_type_desc,FELD,FIELD
4082.personpremise,UPS SUPPLY CHAIN SOLUTIOS,UPS SUPPLY CHAIN SOLUTIONS
2209.activity_date,2020/11/19 05:00:00+0i0,2020/11/19 05:00:00+00
1220.request_date,2020/06/17 03:595:9+00,2020/06/17 03:59:59+00
1845.activity_type_desc,FILED,FIELD
1191.activity_date,2020/05/27 03:59:5+00,2020/05/27 03:59:59+00
147.personpremise,RESIfDENT,RESIDENT
2938.activity_type_desc,FIEDL,FIELD
4569.address_one,9125 GLENE DR,9125 GALENE DR
673.address_one,10801 LOCUT DR,10801 LOCUST DR
3303.activity_date,020/10/08 03:59:59+00,2020/10/08 03:59:59+00
2610.personpremise,JETS PIZZA #007***,JETS PIZZA #007
3226.personpremise,FERRARA/MOTHE COOKIES,FERRARA/MOTHER COOKIES
2139.address_one,722 W MAINS T,722 W MAIN ST
3738.activity_type_desc,vFIELD,FIELD
3692.activity_date,020/12/10 05:00:00+00,2020/12/10 05:00:00+00
797.address_one,3980 DIXIE HYW,3980 DIXIE HWY
3341.personpremise,GROPO,GROUPO
3373.address_one,438  28TH ST,438 N 28TH ST
4373.activity_date,2021/02/05 05:0:000+00,2021/02/05 05:00:00+00
1476.personpremise,ESIDENT,RESIDENT
815.personpremise,JIMMY JOHoN'S,JIMMY JOHN'S
648.request_date,2020/03/30 03:59:5+900,2020/03/30 03:59:59+00
1183.activity_date,020/05/15 03:59:59+00,2020/05/15 03:59:59+00
2520.address_one,6400 GREEqNWOOD RD,6400 GREENWOOD RD
4641.address_one,5414 VALLEY STATIO NRD,5414 VALLEY STATION RD
4584.activity_type_desc,FIED,FIELD
3042.request_date,2020v/07/23 03:59:59+00,2020/07/23 03:59:59+00
2851.activity_type_desc,FIEDL,FIELD
1305.activity_date,2020/04/17t 03:59:59+00,2020/04/17 03:59:59+00
3081.address_one,5530 NEW CUT pRD,5530 NEW CUT RD
1339.personpremise,CIRLE K #4700107,CIRCLE K #4700107
3444.activity_date,2020/1021 03:59:59+00,2020/10/21 03:59:59+00
2217.personpremise,BmIG AL'S BEERITAVILLE,BIG AL'S BEERITAVILLE
3721.personpremise,U. S. BANK BRANH,U. S. BANK BRANCH
2904.request_date,2020/08/6 03:59:59+00,2020/08/06 03:59:59+00
453.address_one,270 W BROADWAY,2710 W BROADWAY
4171.request_date,2020/04/03 03:5z9:59+00,2020/04/03 03:59:59+00
2764.address_one,1229 GOSS VE,1229 GOSS AVE
4283.activity_date,2020/12/14 050:0:00+00,2020/12/14 05:00:00+00
671.request_date,2020/07/23 03:m59:59+00,2020/07/23 03:59:59+00
3758.personpremise,LOGAN'ST REEHOUSE,LOGAN'S TREEHOUSE
4284.personpremise,THEE XCLUSIvVE,THEE XCLUSIVE
2399.request_date,2020/10/28 0i3:59:59+00,2020/10/28 03:59:59+00
4005.request_date,2020/11/30 05:00:0000,2020/11/30 05:00:00+00
220.activity_date,2020/05/09 03:59:59+0z0,2020/05/09 03:59:59+00
2377.personpremise,LONG JOHN SLIVER'S,LONG JOHN SILVER'S
685.activity_type_desc,FIkELD,FIELD
1235.address_one,183 S 3RD ST,1832 S 3RD ST
4081.activity_type_desc,IELD,FIELD
1234.address_one,4419 CANE RN RD,4419 CANE RUN RD
2541.address_one,12981 SHELBYVILL RD,12981 SHELBYVILLE RD
2930.activity_date,2020/10/09 03:5:59+00,2020/10/09 03:59:59+00
3506.activity_date,020/11/18 05:00:00+00,2020/11/18 05:00:00+00
4047.address_one,9737 3RD STREETj RD,9737 3RD STREET RD
2931.request_date,202/010/15 03:59:59+00,2020/10/15 03:59:59+00
2848.activity_date,2020/08/2 03:59:59+00,2020/08/12 03:59:59+00
1784.request_date,2020/05/04 0359:59+00,2020/05/04 03:59:59+00
4367.personpremise,MEIJER #62,MEIJER #162
1297.request_date,2020/07/17 03:5:959+00,2020/07/17 03:59:59+00
1088.address_one,911  SBROOK ST,911 S BROOK ST
3289.request_date,2020/08/9 03:59:59+00,2020/08/29 03:59:59+00
2052.personpremise,B QUICKx FOODMART,B QUICK FOODMART
2687.request_date,2020/09/1 803:59:59+00,2020/09/18 03:59:59+00
131.activity_type_desc,FIEDL,FIELD
3284.activity_date,2020/08/12 035:9:59+00,2020/08/12 03:59:59+00
49.activity_type_desc,FIEuLD,FIELD
4250.address_one,111 S ENLISH STATION RD,111 S ENGLISH STATION RD
530.activity_date,2020/f04/20 03:59:59+00,2020/04/20 03:59:59+00
3078.activity_date,2020/12/01 i05:00:00+00,2020/12/01 05:00:00+00
2080.personpremise,SHOTY'S FOOD MART #3,SHORTY'S FOOD MART #3
2382.activity_date,2020/08/1503:59:59+00,2020/08/15 03:59:59+00
2757.personpremise,BAPTIST HEALTH URGENT CRAE,BAPTIST HEALTH URGENT CARE
2142.address_one,f934 BAXTER AVE,934 BAXTER AVE
4032.request_date,2021/01/v06 05:00:00+00,2021/01/06 05:00:00+00
3583.address_one,731o4 FEGENBUSH LN,7314 FEGENBUSH LN
4563.personpremise,OXMOOR FOOD LINCONL,OXMOOR FOOD LINCOLN
3810.request_date,2020/08/5 03:59:59+00,2020/08/15 03:59:59+00
1210.personpremise,REAT CLIPS,GREAT CLIPS
418.address_one,7010 RdAGGARD RD,7010 RAGGARD RD
170.address_one,2401 DIXIE HYW,2401 DIXIE HWY
857.activity_type_desc,IELD,FIELD
4314.request_date,2021/03/08 0g5:00:00+00,2021/03/08 05:00:00+00
209.activity_date,2020/04/23 03:59:95+00,2020/04/23 03:59:59+00
4209.address_one,2600 S. HURSTOBURNE PKWY,2600 S. HURSTBOURNE PKWY
1575.request_date,2020/05/04 03:59:5+00,2020/05/04 03:59:59+00
243.address_one,11320 AIKEN RD,13120 AIKEN RD
1501.address_one,596 DIXIE HWY,8596 DIXIE HWY
2959.personpremise,ADANCE AMERICA,ADVANCE AMERICA
2439.address_one,10620 WESPTORT RD,10620 WESTPORT RD
4493.personpremise,ILLENNIUM FORGE,MILLENNIUM FORGE
4717.personpremise,SMOOTHIE KING# 716,SMOOTHIE KING #716
2272.address_one,318 BARDSTOWN ROAD,3718 BARDSTOWN ROAD
1009.activity_date,2v020/04/29 03:59:59+00,2020/04/29 03:59:59+00
2622.address_one,6312 GREEWOOD RD,6312 GREENWOOD RD
848.personpremise,THONTONS #102,THORNTONS #102
3527.activity_type_desc,IELD,FIELD
3805.personpremise,ATUOZONE AUTO PARTS,AUTOZONE AUTO PARTS
1267.request_date,2020/04/27 03:59:59+00***,2020/04/27 03:59:59+00
1842.address_one,617 Sy HURSTBOURNE PKWY,617 S HURSTBOURNE PKWY
250.activity_date,2020/07/04 03:59:59+00***,2020/07/04 03:59:59+00
1090.request_date,2020/04/15 0:359:59+00,2020/04/15 03:59:59+00
4300.request_date,2020/12/18 50:00:00+00,2020/12/18 05:00:00+00
2010.address_one,5316 BARDSTON RD,5316 BARDSTOWN RD
2019.personpremise,PREMIER PACKNIG,PREMIER PACKING
2395.activity_type_desc,FEILD,FIELD
692.request_date,2020/04/22 03:59:5o9+00,2020/04/22 03:59:59+00
3720.activity_date,201/03/11 05:00:00+00,2021/03/11 05:00:00+00
1768.address_one,2730 FRANKFhORT AVE,2730 FRANKFORT AVE
3398.address_one,4520 POPLARo LEVEL RD,4520 POPLAR LEVEL RD
4112.activity_date,2020/11/230 5:00:00+00,2020/11/23 05:00:00+00
4624.activity_date,2021/02/12 05:00:00+w00,2021/02/12 05:00:00+00
3449.address_one,420 E MARKETST,420 E MARKET ST
2252.request_date,2020/12/03 05:00:00+0r0,2020/12/03 05:00:00+00
833.address_one,1000 W BROADAY,1000 W BROADWAY
1887.personpremise,YMwCA,YMCA
3438.personpremise,QUILS COFFEE,QUILLS COFFEE
1343.address_one,170 OUTER LOOP,4170 OUTER LOOP
1551.activity_date,2020/08/1 03:59:59+00,2020/08/10 03:59:59+00
1450.address_one,5713 PRESTONHWY,5713 PRESTON HWY
2315.address_one,"6716 GRADE LN BLD G9, STE 910","6716 GRADE LN BLDG 9, STE 910"
2795.personpremise,VSIIONWORKS,VISIONWORKS
1305.activity_type_desc,FELD,FIELD
800.activity_date,2020/0/723 03:59:59+00,2020/07/23 03:59:59+00
3961.personpremise,FEST BBQ,FEAST BBQ
1185.personpremise,GbE,GE
2454.activity_type_desc,sFIELD,FIELD
4091.request_date,2021/02/24 05:00:00d+00,2021/02/24 05:00:00+00
869.activity_date,2020/10/28 0:359:59+00,2020/10/28 03:59:59+00
533.address_one,5410 RBBS LANE,5410 ROBBS LANE
3138.activity_type_desc,FELD,FIELD
3616.address_one,12981 SHELBYVILE RD,12981 SHELBYVILLE RD
1134.personpremise,WALMART #3249,WALMART #3294
4660.activity_date,z2021/01/28 05:00:00+00,2021/01/28 05:00:00+00
2627.activity_type_desc,IELD,FIELD
1760.activity_type_desc,FILD,FIELD
2378.request_date,2020/08/100 3:59:59+00,2020/08/10 03:59:59+00
638.request_date,2020/0s7/20 03:59:59+00,2020/07/20 03:59:59+00
2226.address_one,84v9 S 6TH ST,849 S 6TH ST
1081.personpremise,kKROGER L-376,KROGER L-376
721.address_one,134 E WOODLAWN AVENE,134 E WOODLAWN AVENUE
1474.personpremise,GRACETEMPLE,GRACE TEMPLE
1274.address_one,1018 MAGAZINE SlT,1018 MAGAZINE ST
3280.personpremise,vMCDONALD'S #6206,MCDONALD'S #6206
1490.request_date,2020/05/110 3:59:59+00,2020/05/11 03:59:59+00
4587.activity_date,2021/05/11 0359:59+00,2021/05/11 03:59:59+00
3960.personpremise,SAVEA-LOT,SAVE-A-LOT
4219.request_date,2020/12/21 05:00:00+00***,2020/12/21 05:00:00+00
611.request_date,2020/05/b06 03:59:59+00,2020/05/06 03:59:59+00
