Community,"Title Author/Editor, Publisher, Year",pp.,Index,Repository
Milk River,"Milk River Country Campbell, Alice Lethbridge Herald, 1959",439,No,"CPL,G"
Milk River,"Under Eight Flags Milk River Historical Society & Milk River New Horizons Society, 1989",1683,Yes,"CPL,MACKU/C,G,BSSF"
Milk River Region,"Hills of Home, The Hills of Home Historical Committee, 1975",220,Yes,CPL
Milk River Region,"Search For a Town Fiander, Ailsa M., 1986",166,No,CPL
Millarville,"Foothills Echoes Millarville Historical Society, 1979",571,Yes,"CPL,MACKU/C,G,NPL,OFHC"
Millarville,"Leaves From the Medicine Tree High River Pioneers & Old Timers Association, 1960",527,Yes,"CPL,G,BSSF,NPL"
Millarville,"Our Foothills Millarville, Kew, Priddis & Bragg Creek Historical Society, 1975",486,Yes,"CPL,G"
Millet & Region,"Tales and Trails of Millet Millet & District Historical Society, 1978 2 Volumes",842,Yes,"CPL,MACKU/C,G"
Millicent,"Spurs & Shovels Along the Royal Line M.I.P. History Book Society, 1979",448,Yes,"CPL,MACKU/C,G,BSSF"
Millicent,"Swedish Roots & Prairie Blossons The Story of the Bergs of Millicent Berg, Roy, T., 1999",316,No,BSSF
Milo,"Milo - Queenstown U.F.W.A. & F.W.U.A.: 50 Golden Years 1917-1968 Milo - Queenstown U.F.W.A. & F.W.U.A, 1967",--,No,G
Milo,"Snake Valley Milo and District Historical Society, 1973",610,Yes,"CPL,G,BSSF"
Minburn Region,"Miles to Minburn E.: Ruth Gray & Evelyn Rustad Minburn Golden Age Society, 1980",381,Yes,"CPL,MACKU/C,G"
Mirror - Churches,"Parish Paths Parlby, Beatrice Georgina W. R. Newson, 1961",46,No,"CPL,G"
Monarch,"Sons of Wind and Soil Nobleford Monarch History Book Club, 1976",415,Yes,"CPL,MACKU/C,G"
Monarch - Churches,"Down the Trail of Memories Dorcas Ladies Aid, 1963",148,No,"MACKU/C,G"
Monarch Region,"Strength of Their Years, The Hofman, Tymen E. Knight Pub., 1983",164,No,CPL
Monitor District,"Treasure of Memories, A E.: Elaine Rutledge & Marion Liknes Monitor L.A.C.C., 1975",682,No,"CPL,MACKU/C,G,BSSF"
Morinville,"Morinville (1891-1941), Cinquante Ans de Vie Paroissiate Philippot, Aristide, 1941/microfiche",140,No,"MACKU/C,G"
Morinville,"Morinville Book of Pictorial History Morinville Heritage Society, 1981",378,Yes,"CPL,MACKU/C,G"
Morinville,"Morinville Book of Pictorial History Morinville Historical Society, 1981",?,Yes,"CPL,MACKU/C,G"
Morley,"Elizabeth McDougall, Madonna of the Plains Newton, Elise Frontier Books, 1978",65,No,"C,MACKU/C,G,BSSF"
Morley - Churches,"They Gather at the River Centennial Book Committee of the Central Church, Central United Church, Calgary,1975",504,Yes,"MACKU/C,G,BSSF,CFHC,OFHC"
Morrin,"Blooming Prairie Morrin and District History Book Committee, 1970",639,Yes,"CPL,MACKU/C,G"
Morrison District,"Morrison S. D. No. 1639 Ronaghan, Allen",56,No,"CPL,MACKU/C,G"
Mosside,"Country Crossroads Country Crossroads Seniors Society, 1989",874,Yes,"CPL,G"
Mossleigh,"Furrows in Time Arrowwood-Mossleigh Historical Society, 1982",656,Yes,"CPL,G,BSSF"
Mount Assiniboine,"History of Mount Assiniboine in the Canadian Rockies Gest, Lillian, 1979",60,No,"CPL,G"
Mountain View,"People and Places Stone, Pearl R., 1978",157,No,"CPL,MACKU/C"
Mountainview,"Alberta's County of Mountain View 1890-1925 Jensen, Bodil J., 1983",132,Yes,"MACKU/C,G,CFHC"
MountainView Municipality,MountainView Remembers E.: Julia M. Nelson. 1967,84,No,G
Moyerton,"Moyerton Story: ""Cradled 'Twixt Hills"", The E.: Mabel Warren, 1970",52,No,"CPL,MACKU/C,G"
Mundare,"Memories of Mundare Mundare Historical Society, 1980",567,Yes,"CPL,G"
Munson,"Munson & District Munson Centennial Book Committee, 1967",564,No,"CPL,MACKU/C,G"
